l_ukrainian:
 ENABLE_ESTATE_DECISION:0 "Увімкнути станове рішення"
 has_enabled_estate_action_RECRUIT_INQUISITOR_CHURCH_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetClergyName]: Найняти інквізитора§!"
 has_enabled_estate_action_RELIGIOUS_DELEGATION_CHURCH_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetClergyName]: Релігійне представництво§!"
 has_enabled_estate_action_DEMAND_SUPPORT_CHURCH_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetClergyName]: Вимагати адміністративну підтримку§!"
 has_enabled_estate_action_SEEK_SUPPORT_OF_CLERGY_CHURCH_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetClergyName]: Шукати підтримки духовенства§!"
 has_enabled_estate_action_NEW_WORLD_MISSION_CHURCH_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetClergyName]: Колоніальні місії§!"
 has_enabled_estate_action_EXPAND_COSSACK_REGISTRY_COSSACKS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetCossacksName]: Розширити реєстр козаків§!"
 has_enabled_estate_action_RAISE_COSSACK_HOST_COSSACKS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetCossacksName]: Підняти козацьке військо§!"
 has_enabled_estate_action_COSSACK_CONQUISTADOR_COSSACKS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetCossacksName]: Козацька дослідницька експедиція§!"
 has_enabled_estate_action_RECRUIT_MINISTER_COSSACKS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetCossacksName]: Найняти міністра§!"
 has_enabled_estate_action_CONSCRIPT_COSSACK_ELITE_COSSACKS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetCossacksName]: Мобілізувати козацьку еліту§!"
 has_enabled_estate_action_SUPPLY_ARMS_COSSACKS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetCossacksName]: Постачати зброю§!"
 has_enabled_estate_action_PERMIT_SELF_GOVERNANCE_COSSACKS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetCossacksName]: Дозволити самоврядування§!"
 has_enabled_estate_action_RECRUIT_MINISTER_DHIMMI_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetDhimmiName]: Найняти міністра§!"
 has_enabled_estate_action_LIGHTEN_DHIMMI_TAX_BURDEN_DHIMMI_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetDhimmiName]: Полегшити зіммі податкове навантаження§!"
 has_enabled_estate_action_PROMOTE_DHIMMI_NOBLES_DHIMMI_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetDhimmiName]: Підтримати знать зіммі§!"
 has_enabled_estate_action_RECRUIT_FROM_THE_DHIMMI_DHIMMI_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetDhimmiName]: Рекрутувати зіммі§!"
 has_enabled_estate_action_DEMAND_CONTRIBUTION_DHIMMI_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetDhimmiName]: Ввести новий релігійний податок§!"
 has_enabled_estate_action_PROCURE_LOANS_JAINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetJainsName]: Взяти позику§!"
 has_enabled_estate_action_INVESTIGATE_CORRUPTION_JAINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetJainsName]: Розслідувати корупцію§!"
 has_enabled_estate_action_PATRONIZE_JAIN_FAMILIES_JAINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetJainsName]: Заступництво джайнським сім'ям§!"
 has_enabled_estate_action_COMMISSION_JAIN_SCRIPTURES_JAINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetJainsName]: Написання священних книг джайнів§!"
 has_enabled_estate_action_DEMAND_SUPPORT_JAINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetJainsName]: Вимагати дипломатичну підтримку§!"
 has_enabled_estate_action_PROMOTE_MARATHA_NOBILITY_MARATHA_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetMarathasName]: Просунути знать маратхів§!"
 has_enabled_estate_action_RECRUIT_MINISTER_MARATHA_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetMarathasName]: Найняти міністра§!"
 has_enabled_estate_action_RECRUIT_MARATHI_TROOPS_MARATHA_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetMarathasName]: Набрати маратхів§!"
 has_enabled_estate_action_DEMAND_SUPPORT_MARATHA_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetMarathasName]: Вимагати військову підтримку§!"
 has_enabled_estate_action_CALL_DIET_NOBLES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetNobilityName]: Скликати раду§!"
 has_enabled_estate_action_GRANT_GENERALSHIP_NOBLES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetNobilityName]: Надати генеральство§!"
 has_enabled_estate_action_RECRUIT_CONQUISTADOR_ESTATES_NOBLES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetNobilityName]: Найняти землепрохідця§!"
 has_enabled_estate_action_DEMAND_SUPPORT_NOBLES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetNobilityName]: Вимагати військову підтримку§!"
 has_enabled_estate_action_RECRUIT_MINISTER_NOBLES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetNobilityName]: Найняти міністра§!"
 has_enabled_estate_action_DEMAND_MORE_TROOPS_NOBLES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetNobilityName]: Підняти додаткове ополчення§!"
 has_enabled_estate_action_SUPPORT_TRIBES_NOMADIC_TRIBES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetTribesName]: Підтримати клани§!"
 has_enabled_estate_action_REDISTRIBUTE_HORDE_AUTHORITY_TRIBES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetTribesName]: Перерозподілити ординську владу§!"
 has_enabled_estate_action_STRENGTHEN_TRIBAL_AUTONOMY_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetTribesName]: Зміцнити автономію племені§!"
 has_enabled_estate_action_CONTRIBUTE_WARRIORS_NOMADIC_TRIBES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetTribesName]: Передати воїнів§!"
 has_enabled_estate_action_RAISE_HOST_NOMADIC_TRIBES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetTribesName]: Підняти військо§!"
 has_enabled_estate_action_RECRUIT_MINISTER_NOMADIC_TRIBES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetTribesName]: Найняти міністра§!"
 has_enabled_estate_action_RECRUIT_RAJPUT_GENERAL_RAJPUT_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetRajputsName]: Найняти генерала раджпутів§!"
 has_enabled_estate_action_LOOK_UP_PURBIAS_RAJPUT_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetRajputsName]: Вербувати пурбіїв§!"
 has_enabled_estate_action_DEMAND_SUPPORT_RAJPUT_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetRajputsName]: Вимагати військову підтримку§!"
 has_enabled_estate_action_EXEMPT_FROM_JIZYA_RAJPUT_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetRajputsName]: Звільнення від джизії§!"
 has_enabled_estate_action_PROMOTE_RAJPUT_NOBILITY_RAJPUT_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetRajputsName]: Просунути знать раджпутів§!"
 has_enabled_estate_action_RECRUIT_RAJPUT_TROOPS_RAJPUT_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetRajputsName]: Раджпутські збори§!"
 has_enabled_estate_action_ASK_FOR_CONTRIBUTION_VAISYAS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetVaishyasName]: Запросити контрибуції§!"
 has_enabled_estate_action_DEMAND_SUPPORT_VAISYAS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetVaishyasName]: Вимагати дипломатичну підтримку§!"
 has_enabled_estate_action_SEEK_GUILD_SUPPORT_VAISYAS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetVaishyasName]: Шукати підтримку гільдій§!"
 has_enabled_estate_action_RECRUIT_MINISTER_VAISYAS_tt:1 "[Root.HasEstateDecisionText] §Y[Root.GetVaishyasName]: Найняти міністра§!"
 has_enabled_estate_action_COMISSION_MERCHANT_SHIPS_FOR_WAR_VAISYAS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetVaishyasName]: Набрати кораблі на війну§!"
 has_enabled_estate_action_PROMOTE_CAUCASIAN_TROOPS_tt:1 "[Root.HasEstateDecisionText] §Y[Root.GetGhilmanName]: Сприяти кавказьким військам§!"
 has_enabled_estate_action_GRANT_QIZILBASH_HORSES_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetQizilbashName]: Надати кизилбаші коней§!"
 ###ESTATE ACTIONS###
 #MAKE_GENEROUS_DONATION_BRAHMINS: "[Root.GetBrahminsName]: Зробити щедру пожертву"
 #SEEK_SUPPORT_OF_BRAHMINS: "[Root.GetBrahminsName]: Отримати схвалення брагманів"
 #RECRUIT_MINISTER_BRAHMINS: "[Root.GetBrahminsName]: Найняти міністра"
 #RECRUIT_INQUISITOR_BRAHMINS: "[Root.GetBrahminsName]: Найняти інквізитора"
 #DEMAND_SUPPORT_BRAHMINS: "[Root.GetBrahminsName]: Вимагати адміністративну підтримку"
 #SEEK_BRAHMIN_LEGITIMACY_BRAHMINS: "[Root.GetBrahminsName]: Просити підтримки"
 #ASK_FOR_CONTRIBUTION_BURGHERS: "[Root.GetBurghersName]: Запросити контрибуції"
 #DEMAND_SUPPORT_BURGHERS: "[Root.GetBurghersName]: Вимагати дипломатичну підтримку"
 #GRANT_MONOPOLY_CHARTER_BURGHERS: "[Root.GetBurghersName]: Створити торгові монополії"
 #RECRUIT_MINISTER_BURGHERS: "[Root.GetBurghersName]: Найняти міністра"
 #GRANT_ADMIRALSHIP_BURGHERS: "[Root.GetBurghersName]: Надати адміральство"
 #GRANT_NEW_WORLD_CHARTER_BURGHERS: "[Root.GetBurghersName]: Надати права на Новий Світ"
 #COMISSION_MERCHANT_SHIPS_FOR_WAR_BURGHERS: "[Root.GetBurghersName]: Набрати кораблі на війну"
 #MAKE_GENEROUS_DONATION_CHURCH: "[Root.GetClergyName]: Зробити щедру пожертву"
 #RECRUIT_MINISTER_CHURCH: "[Root.GetClergyName]: Найняти міністра"
 #RECRUIT_INQUISITOR_CHURCH: "[Root.GetClergyName]: Найняти інквізитора"
 #RELIGIOUS_DELEGATION_CHURCH: "[Root.GetClergyName]: Релігійне представництво"
 #DEMAND_SUPPORT_CHURCH: "[Root.GetClergyName]: Вимагати адміністративну підтримку"
 #SEEK_SUPPORT_OF_CLERGY_CHURCH: "[Root.GetClergyName]: Шукати підтримки духовенства"
 #NEW_WORLD_MISSION_CHURCH: "[Root.GetClergyName]: Колоніальні місії"
 #EXPAND_COSSACK_REGISTRY_COSSACKS: "[Root.GetCossacksName]: Розширити реєстр козаків"
 #RAISE_COSSACK_HOST_COSSACKS: "[Root.GetCossacksName]: Підняти козацьке військо"
 #COSSACK_CONQUISTADOR_COSSACKS: "[Root.GetCossacksName]: Козацька дослідницька експедиція"
 #RECRUIT_MINISTER_COSSACKS: "[Root.GetCossacksName]: Найняти міністра"
 #CONSCRIPT_COSSACK_ELITE_COSSACKS: "[Root.GetCossacksName]: Мобілізувати козацьку еліту"
 #SUPPLY_ARMS_COSSACKS: "[Root.GetCossacksName]: Постачати зброю"
 #PERMIT_SELF_GOVERNANCE_COSSACKS: "[Root.GetCossacksName]: Дозволити самоврядування"
 #RECRUIT_MINISTER_DHIMMI: "[Root.GetDhimmiName]: Найняти міністра"
 #LIGHTEN_DHIMMI_TAX_BURDEN_DHIMMI: "[Root.GetDhimmiName]: Полегшити зіммі податкове навантаження"
 #PROMOTE_DHIMMI_NOBLES_DHIMMI: "[Root.GetDhimmiName]: Підтримати знать зіммі"
 #RECRUIT_FROM_THE_DHIMMI_DHIMMI: "[Root.GetDhimmiName]: Рекрутувати зіммі"
 #DEMAND_CONTRIBUTION_DHIMMI: "[Root.GetDhimmiName]: Ввести новий релігійний податок"
 #PROCURE_LOANS_JAINS: "[Root.GetJainsName]: Взяти позику"
 #INVESTIGATE_CORRUPTION_JAINS: "[Root.GetJainsName]: Розслідувати корупцію"
 #PATRONIZE_JAIN_FAMILIES_JAINS: "[Root.GetJainsName]: Заступництво джайнським сім'ям"
 #COMMISSION_JAIN_SCRIPTURES_JAINS: "[Root.GetJainsName]: Написання священних книг джайнів"
 #DEMAND_SUPPORT_JAINS: "[Root.GetJainsName]: Вимагати дипломатичну підтримку"
 #PROMOTE_MARATHA_NOBILITY_MARATHA: "[Root.GetMarathasName]: Просунути знать маратхів"
 #RECRUIT_MINISTER_MARATHA: "[Root.GetMarathasName]: Найняти міністра"
 #RECRUIT_MARATHI_TROOPS_MARATHA: "[Root.GetMarathasName]: Набрати маратхів"
 #DEMAND_SUPPORT_MARATHA: "[Root.GetMarathasName]: Вимагати військову підтримку"
 #CALL_DIET_NOBLES: "[Root.GetNobilityName]: Скликати раду"
 #GRANT_GENERALSHIP_NOBLES: "[Root.GetNobilityName]: Надати генеральство"
 #RECRUIT_CONQUISTADOR_ESTATES_NOBLES: "[Root.GetNobilityName]: Найняти землепрохідця"
 #DEMAND_SUPPORT_NOBLES: "[Root.GetNobilityName]: Вимагати військову підтримку"
 #RECRUIT_MINISTER_NOBLES: "[Root.GetNobilityName]: Найняти міністра"
 #DEMAND_MORE_TROOPS_NOBLES: "[Root.GetNobilityName]: Підняти додаткове ополчення"
 #SUPPORT_TRIBES_NOMADIC_TRIBES: "[Root.GetTribesName]: Підтримати клани"
 #CONTRIBUTE_WARRIORS_NOMADIC_TRIBES: "[Root.GetTribesName]: Передати воїнів"
 #RAISE_HOST_NOMADIC_TRIBES: "[Root.GetTribesName]: Підняти військо"
 #RECRUIT_MINISTER_NOMADIC_TRIBES: "[Root.GetTribesName]: Найняти міністра"
 #RECRUIT_RAJPUT_GENERAL_RAJPUT: "[Root.GetRajputsName]: Найняти генерала раджпутів"
 #LOOK_UP_PURBIAS_RAJPUT: "[Root.GetRajputsName]: Вербувати пурбіїв"
 #DEMAND_SUPPORT_RAJPUT: "[Root.GetRajputsName]: Вимагати військову підтримку"
 #EXEMPT_FROM_JIZYA_RAJPUT: "[Root.GetRajputsName]: Звільнення від джизії"
 #PROMOTE_RAJPUT_NOBILITY_RAJPUT: "[Root.GetRajputsName]: Просунути знать раджпутів"
 #RECRUIT_RAJPUT_TROOPS_RAJPUT: "[Root.GetRajputsName]: Раджпутські збори"
 #ASK_FOR_CONTRIBUTION_VAISYAS: "[Root.GetVaishyasName]: Запросити контрибуції"
 #DEMAND_SUPPORT_VAISYAS: "[Root.GetVaishyasName]: Вимагати дипломатичну підтримку"
 #SEEK_GUILD_SUPPORT_VAISYAS: "[Root.GetVaishyasName]: Шукати підтримку гільдій"
 #RECRUIT_MINISTER_VAISYAS: "[Root.GetVaishyasName]: Найняти міністра"
 #COMISSION_MERCHANT_SHIPS_FOR_WAR_VAISYAS: "[Root.GetVaishyasName]: Набрати кораблі на війну"
 #GRANT_QIZILBASH_HORSES: "[Root.GetQizilbashName]: Надати кизилбаші коней"
 #PROMOTE_CAUCASIAN_TROOPS: "[Root.GetGhilmanName]: Сприяти кавказьким військам"
 #
 estate_brahmins_make_generous_donation_title:0 "[Root.GetBrahminsName]: Зробити щедру пожертву"
 estate_brahmins_make_support_of_brahmins_title:0 "[Root.GetBrahminsName]: Отримати схвалення брагманів"
 estate_brahmins_recruit_minister_title:0 "[Root.GetBrahminsName]: Найняти міністра"
 estate_brahmins_recruit_inquisitor_title:0 "[Root.GetBrahminsName]: Найняти інквізитора"
 estate_brahmins_demand_support_brahmin_title:0 "[Root.GetBrahminsName]: Вимагати адміністративну підтримку"
 estate_brahmins_seek_brahmin_legitimacy_title:0 "[Root.GetBrahminsName]: Просити підтримки"
 estate_burghers_ask_for_contribution_title:0 "[Root.GetBurghersName]: Запросити контрибуції"
 estate_burghers_demand_support_title:0 "[Root.GetBurghersName]: Вимагати дипломатичну підтримку"
 estate_burghers_grant_monopoly_charter_title:0 "[Root.GetBurghersName]: Створити торгові монополії"
 estate_burghers_recruit_ministers_title:0 "[Root.GetBurghersName]: Найняти міністра"
 estate_burghers_grant_admiralship_title:0 "[Root.GetBurghersName]: Надати адміральство"
 estate_burghers_grant_new_world_charter_title:0 "[Root.GetBurghersName]: Надати права на Новий Світ"
 estate_burghers_comission_merchant_ships_for_war_title:0 "[Root.GetBurghersName]: Набрати кораблі на війну"
 estate_church_make_generous_donation_title:0 "[Root.GetClergyName]: Зробити щедру пожертву"
 estate_church_recruit_minister_title:0 "[Root.GetClergyName]: Найняти міністра"
 estate_church_recruit_inquisitor_title:0 "[Root.GetClergyName]: Найняти інквізитора"
 estate_church_religious_delegation_action_title:0 "[Root.GetClergyName]: Релігійне представництво"
 estate_church_demand_support_title:0 "[Root.GetClergyName]: Вимагати адміністративну підтримку"
 estate_church_seek_support_of_clergy_title:0 "[Root.GetClergyName]: Шукати підтримки духовенства"
 estate_church_new_world_mission_action_title:0 "[Root.GetClergyName]: Нові колоніальні місії"
 estate_cossacks_expand_cossack_registry_title:0 "[Root.GetCossacksName]: Розширити реєстр козаків"
 estate_cossacks_raise_cossack_host_title:0 "[Root.GetCossacksName]: Підняти козацьке військо"
 estate_cossacks_cossack_conquistador_title:0 "[Root.GetCossacksName]: Козацька дослідницька експедиція"
 estate_cossacks_recruit_minister_title:0 "[Root.GetCossacksName]: Найняти міністра"
 estate_cossacks_conscript_cossack_elite_title:0 "[Root.GetCossacksName]: Мобілізувати елітних козаків"
 estate_cossacks_supply_arms_cossacks_title:0 "[Root.GetCossacksName]: Постачати зброю"
 estate_cossacks_permit_self_governance_title:0 "[Root.GetCossacksName]: Дозволити самоврядування"
 estate_dhimmi_recruit_minister_title:0 "[Root.GetDhimmiName]: Найняти міністра"
 estate_dhimmi_lighten_dhimmi_tax_burden_title:0 "[Root.GetDhimmiName]: Полегшити зіммі податкове навантаження"
 estate_dhimmi_promote_dhimmi_nobles_title:0 "[Root.GetDhimmiName]: Підтримати знать зіммі"
 estate_dhimmi_recruit_from_the_dhimmi_title:0 "[Root.GetDhimmiName]: Рекрутувати зіммі"
 estate_dhimmi_demand_contribution_title:0 "[Root.GetDhimmiName]: Ввести новий релігійний податок"
 estate_jains_procure_loans_title:0 "[Root.GetJainsName]: Взяти позику"
 estate_jains_investigate_corruption_title:0 "[Root.GetJainsName]: Розслідувати корупцію"
 estate_jains_patronize_jain_families_title:0 "[Root.GetJainsName]: Заступництво джайнським сім'ям"
 estate_jains_commision_jain_scriptures_title:0 "[Root.GetJainsName]: Написання священних книг джайнів"
 estate_jains_demand_support_title:0 "[Root.GetJainsName]: Вимагати дипломатичну підтримку"
 estate_maratha_promote_maratha_nobility_title:0 "[Root.GetMarathasName]: Просунути знать маратхів"
 estate_maratha_recruit_minister_title:0 "[Root.GetMarathasName]: Найняти міністра"
 estate_maratha_recruit_marathi_troops_title:0 "[Root.GetMarathasName]: Набрати маратхів"
 estate_maratha_demand_support_title:0 "[Root.GetMarathasName]: Вимагати військову підтримку"
 estate_nobles_call_diet_title:0 "[Root.GetNobilityName]: Скликати раду"
 estate_nobles_grant_generalship_title:0 "[Root.GetNobilityName]: Надати генеральство"
 estate_nobles_recruit_conquistador_estates_title:0 "[Root.GetNobilityName]: Найняти землепрохідця"
 estate_nobles_demand_support_title:0 "[Root.GetNobilityName]: Вимагати військову підтримку"
 estate_nobles_recruit_minister_title:0 "[Root.GetNobilityName]: Найняти міністра"
 estate_nobles_demand_more_troops_title:0 "[Root.GetNobilityName]: Підняти додаткове ополчення"
 estate_nomadic_tribes_support_tribes_title:0 "[Root.GetTribesName]: Підтримати клани"
 estate_nomadic_tribes_contribute_warriors_title:0 "[Root.GetTribesName]: Передати воїнів"
 estate_nomadic_tribes_raise_host_title:0 "[Root.GetTribesName]: Підняти військо"
 estate_nomadic_tribes_recruit_minister_title:0 "[Root.GetTribesName]: Найняти міністра"
 estate_nomadic_tribes_redistribute_horde_authority_tribes_title:0 "[Root.GetTribesName]: Перерозподілити ординську владу"
 estate_nomadic_tribes_strengthen_tribal_autonomy_title:0 "[Root.GetTribesName]: Зміцнити автономію племені"
 estate_rajput_recruit_rajput_general_title:0 "[Root.GetRajputsName]: Найняти генерала раджпутів"
 estate_rajput_look_up_purbias_action_title:0 "[Root.GetRajputsName]: Вербувати пурбіїв"
 estate_rajput_demand_support_title:0 "[Root.GetRajputsName]: Вимагати військову підтримку"
 estate_rajput_exempt_from_jizya_title:0 "[Root.GetRajputsName]: Звільнення від джизії"
 estate_rajput_promote_rajput_nobility_title:0 "[Root.GetRajputsName]: Просунути знать раджпутів"
 estate_rajput_recruit_rajput_troops_title:0 "[Root.GetRajputsName]: Раджпутські збори"
 estate_vaisyas_ask_for_contribution_title:0 "[Root.GetVaishyasName]: Запросити контрибуції"
 estate_vaisyas_demand_support_title:0 "[Root.GetVaishyasName]: Вимагати дипломатичну підтримку"
 estate_vaisyas_seek_guild_support_title:0 "[Root.GetVaishyasName]: Шукати підтримку гільдій"
 estate_vaisyas_recruit_minister_title:0 "[Root.GetVaishyasName]: Найняти"
 estate_vaisyas_commision_merchant_ships_for_war_title:0 "[Root.GetVaishyasName]: Набрати кораблі на війну"
 estate_qizilbash_grant_qizilbash_horses_title:0 "[Root.GetQizilbashName]: Надати кизилбаші коней"
 estate_ghulams_promote_caucasian_troops_title:1 "[Root.GetGhilmanName]: Сприяти кавказьким військам"
 estate_brahmins_make_generous_donation_desc:0 "[Root.EstateDecisionDescription]"
 estate_brahmins_make_support_of_brahmins_desc:0 "[Root.EstateDecisionDescription]"
 estate_brahmins_recruit_minister_desc:0 "[Root.EstateDecisionDescription]"
 estate_brahmins_recruit_inquisitor_desc:0 "[Root.EstateDecisionDescription]"
 estate_brahmins_demand_support_brahmin_desc:0 "[Root.EstateDecisionDescription]"
 estate_brahmins_seek_brahmin_legitimacy_desc:0 "[Root.EstateDecisionDescription]"
 estate_burghers_ask_for_contribution_desc:0 "[Root.EstateDecisionDescription]"
 estate_burghers_demand_support_desc:0 "[Root.EstateDecisionDescription]"
 estate_burghers_grant_monopoly_charter_desc:0 "[Root.EstateDecisionDescription]"
 estate_burghers_recruit_ministers_desc:0 "[Root.EstateDecisionDescription]"
 estate_burghers_grant_admiralship_desc:0 "[Root.EstateDecisionDescription]"
 estate_burghers_grant_new_world_charter_desc:0 "[Root.EstateDecisionDescription]"
 estate_burghers_comission_merchant_ships_for_war_desc:0 "[Root.EstateDecisionDescription]"
 estate_church_make_generous_donation_desc:0 "[Root.EstateDecisionDescription]"
 estate_church_recruit_minister_desc:0 "[Root.EstateDecisionDescription]"
 estate_church_recruit_inquisitor_desc:0 "[Root.EstateDecisionDescription]"
 estate_church_religious_delegation_action_desc:0 "[Root.EstateDecisionDescription]"
 estate_church_demand_support_desc:0 "[Root.EstateDecisionDescription]"
 estate_church_seek_support_of_clergy_desc:0 "[Root.EstateDecisionDescription]"
 estate_church_new_world_mission_action_desc:0 "[Root.EstateDecisionDescription]"
 estate_cossacks_expand_cossack_registry_desc:0 "[Root.EstateDecisionDescription]"
 estate_cossacks_raise_cossack_host_desc:0 "[Root.EstateDecisionDescription]"
 estate_cossacks_cossack_conquistador_desc:0 "[Root.EstateDecisionDescription]"
 estate_cossacks_recruit_minister_desc:0 "[Root.EstateDecisionDescription]"
 estate_cossacks_conscript_cossack_elite_desc:0 "[Root.EstateDecisionDescription]"
 estate_cossacks_supply_arms_cossacks_desc:0 "[Root.EstateDecisionDescription]"
 estate_cossacks_permit_self_governance_desc:0 "[Root.EstateDecisionDescription]"
 estate_dhimmi_recruit_minister_desc:0 "[Root.EstateDecisionDescription]"
 estate_dhimmi_lighten_dhimmi_tax_burden_desc:0 "[Root.EstateDecisionDescription]"
 estate_dhimmi_promote_dhimmi_nobles_desc:0 "[Root.EstateDecisionDescription]"
 estate_dhimmi_recruit_from_the_dhimmi_desc:0 "[Root.EstateDecisionDescription]"
 estate_dhimmi_demand_contribution_desc:0 "[Root.EstateDecisionDescription]"
 estate_jains_procure_loans_desc:0 "[Root.EstateDecisionDescription]"
 estate_jains_investigate_corruption_desc:0 "[Root.EstateDecisionDescription]"
 estate_jains_patronize_jain_families_desc:0 "[Root.EstateDecisionDescription]"
 estate_jains_commision_jain_scriptures_desc:0 "[Root.EstateDecisionDescription]"
 estate_jains_demand_support_desc:0 "[Root.EstateDecisionDescription]"
 estate_maratha_promote_maratha_nobility_desc:0 "[Root.EstateDecisionDescription]"
 estate_maratha_recruit_minister_desc:0 "[Root.EstateDecisionDescription]"
 estate_maratha_recruit_marathi_troops_desc:0 "[Root.EstateDecisionDescription]"
 estate_maratha_demand_support_desc:0 "[Root.EstateDecisionDescription]"
 estate_nobles_call_diet_desc:0 "[Root.EstateDecisionDescription]"
 estate_nobles_grant_generalship_desc:0 "[Root.EstateDecisionDescription]"
 estate_nobles_recruit_conquistador_estates_desc:0 "[Root.EstateDecisionDescription]"
 estate_nobles_demand_support_desc:0 "[Root.EstateDecisionDescription]"
 estate_nobles_recruit_minister_desc:0 "[Root.EstateDecisionDescription]"
 estate_nobles_demand_more_troops_desc:0 "[Root.EstateDecisionDescription]"
 estate_nomadic_tribes_support_tribes_desc:0 "[Root.EstateDecisionDescription]"
 estate_nomadic_tribes_contribute_warriors_desc:0 "[Root.EstateDecisionDescription]"
 estate_nomadic_tribes_raise_host_desc:0 "[Root.EstateDecisionDescription]"
 estate_nomadic_tribes_recruit_minister_desc:0 "[Root.EstateDecisionDescription]"
 estate_nomadic_tribes_redistribute_horde_authority_tribes_desc:0 "[Root.EstateDecisionDescription]"
 estate_nomadic_tribes_strengthen_tribal_autonomy_desc:0 "[Root.EstateDecisionDescription]"
 estate_rajput_recruit_rajput_general_desc:0 "[Root.EstateDecisionDescription]"
 estate_rajput_look_up_purbias_action_desc:0 "[Root.EstateDecisionDescription]"
 estate_rajput_demand_support_desc:0 "[Root.EstateDecisionDescription]"
 estate_rajput_exempt_from_jizya_desc:0 "[Root.EstateDecisionDescription]"
 estate_rajput_promote_rajput_nobility_desc:0 "[Root.EstateDecisionDescription]"
 estate_rajput_recruit_rajput_troops_desc:0 "[Root.EstateDecisionDescription]"
 estate_vaisyas_ask_for_contribution_desc:0 "[Root.EstateDecisionDescription]"
 estate_vaisyas_demand_support_desc:0 "[Root.EstateDecisionDescription]"
 estate_vaisyas_seek_guild_support_desc:0 "[Root.EstateDecisionDescription]"
 estate_vaisyas_recruit_minister_desc:0 "[Root.EstateDecisionDescription]"
 estate_vaisyas_commision_merchant_ships_for_war_desc:0 "[Root.EstateDecisionDescription]"
 estate_qizilbash_grant_qizilbash_horses_desc:0 "[Root.EstateDecisionDescription]"
 estate_ghulams_promote_caucasian_troops_desc:0 "[Root.EstateDecisionDescription]"
 ###AUTO COMPLETION EFFECT###
 auto_complete_first_string:0 "Автоматично виконає поточний порядок денний стану"
 auto_complete_second_string:0 ", якщо він активний."
 auto_complete_estate_agenda_estate_nobles_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetNobilityName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_brahmins_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetBrahminsName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
 auto_complete_estate_agenda_estate_burghers_tt:0 "[Root.GetEstateAgendaAutoCompletionFirstString] §Y[Root.GetBurghersName]§! [Root.GetEstateAgendaAutoCompletionSecondString]"
