l_ukrainian:
 veche_republic:0 "Вічова республіка"
 custom_backrow_artillery_damage_desc:1 "With artillerymen strictly trained in how to react in the flow of battle, their effectiveness in supporting the front-line can be increased, so long as the line holds."
 custom_harsh_treatment_cost:1 "Harsher Treatment"
 custom_harsh_treatment_cost_desc:1 "Sometimes slaughtering dissidents is not enough. Their families, homes and even villages have to be torched to really get the point across."
 custom_fire_damage_received:1 "Stoicism"
 custom_fire_damage_received_desc:1 "Standing in the fire of enemy projectiles is an unpleasant affair, but we are a stoic people and can maintain composure in the harshest of situations."
 custom_shock_damage_received:2 "Camaraderie"
 custom_shock_damage_received_desc:1 "When the enemy comes charging, first instinct is to flee. With a strong spirit of camaraderie drilled into our army, we can ensure they do not break in the heat of battle."
 custom_cavalry_flanking:1 "Tradition of the Hunt"
 custom_cavalry_flanking_desc:1 "With hunting by horseback a vital skill learned in childhood for our people, applying the techniques to battle come as second nature."
 custom_shock_damage:1 "War Cry"
 custom_shock_damage_desc:1 "At any time in any place, our warriors are willing to charge at their opponents, letting out deafening war cries, never looking back."
 custom_fire_damage:1 "Accuracy Training"
 custom_fire_damage_desc:1 "By tying military training with weekly religious adherences, we can ensure a population who can hit a target from at least twenty paces."
 custom_movement_speed:1 "Local Expertise"
 custom_movement_speed_desc:1 "Prudently enlisting the services of locals ensures that they can assist our armies in finding the fastest passage through lands they know best."
 custom_army_tradition_from_battle:1 "Enlisted Observers"
 custom_army_tradition_from_battle_desc:1 "Win or lose, there is much to learn from a battle. We shall ensure that scouts observe from afar so that we can better our battle doctrine with our findings."
 custom_monthly_militarized_society:1 "Militant Society"
 custom_monthly_militarized_society_desc:1 "Our military budget is the same as our state budget. Let nothing get in the way of our unparalleled military might."
 custom_reinforce_cost_modifier:1 "Warrior Spirit"
 custom_reinforce_cost_modifier_desc:1 "Our nation's young, steeped in martial tradition, are always quick to leap to the front lines to claim the glory of their forefathers."
 custom_loot_amount:1 "Spoils of War"
 custom_loot_amount_desc:1 "It has always been the way of our people that the victor enjoys the spoils of war. Our enemies may not appreciate our plundering of their lands, but perhaps they should have tried winning."
 custom_garrison_size:1 "To The Last Man"
 custom_garrison_size_desc:1 "By ensuring that we have extra garrisoned fortifications, fighting to the last man makes things much more terrifying for our invaders."
 custom_land_attrition:1 "Terrain Resilience"
 custom_land_attrition_desc:1 "We are no strangers to hostile terrain. Mountains, snakes, biting cold we've seen it all."
 custom_mil_tech_cost_modifier:1 "Lessons of War"
 custom_mil_tech_cost_modifier_desc:1 "Enemies shall fall before us in all conflicts but we should not overlook the tactics that they use. Clever adoption of what we see in battle will help advance our military thought."
 custom_free_leader_pool:1 "Advancement Through Achievement"
 custom_free_leader_pool_desc:1 "It is foolish to limit ourselves in regards to military leaders. Within reason, should a man prove himself, then he can lead our armies."
 custom_global_regiment_cost:1 "Service Guarantees Citizenship"
 custom_global_regiment_cost_desc:1 "Like the Romans before us, we shall allow foreigners to prove their loyalty to the state through military service. Finding cannon fodder should thus prove easier and cheaper."
 custom_mercenary_cost:1 "Mercenary Contacts"
 custom_mercenary_cost_desc:1 "By keeping many contacts within the mercenary forces, we can ensure that we are preferential customers not out of the size of our payments, but our reliability."
 custom_recover_army_morale_speed:1 "The War Hautbois"
 custom_recover_army_morale_speed_desc:1 "The presence of our national instrument on the battlefield has long driven up the fighting spirit of our soldiers."
 custom_warscore_cost_vs_other_religion:1 "Religious Intolerance"
 custom_warscore_cost_vs_other_religion_desc:1 "Heretics and Heathens will forever be devils in our society. While building good foreign relations may be difficult, at least our claims in war will be more just."
 custom_war_taxes_cost_modifier:1 "Wartime Austerity"
 custom_war_taxes_cost_modifier_desc:1 "When in times of war, our nation will call upon our people to do all they can to provide and our people shall expect this."
 custom_monarch_diplomatic_power:1 "Cosmopolitan Upbringing"
 custom_monarch_diplomatic_power_desc:1 "No ruler worth their salt cannot hold their own in a negotiation. All future rulers' upbringings shall involve education in courts both home and away to learn diplomatic nuance."
 custom_liberty_desire_from_subject_development:1 "Foreign Projects"
 custom_liberty_desire_from_subject_development_desc:1 "By encouraging investments in our foreign subjects' lands, we can make them ever grateful towards us, even when they grow in power themselves."
 custom_reduced_liberty_desire_on_same_continent:1 "Military Displays"
 custom_reduced_liberty_desire_on_same_continent_desc:1 "Ensuring that our nearby subjects are kept fully aware of our military prowess should ensure they know their place in the grand scheme."
 custom_naval_tradition_from_battle:1 "Captured Seamen"
 custom_naval_tradition_from_battle_desc:1 "When emerging victorious from battles at sea, we should make the most of the seamen we capture and learn what we can from them to advance our own naval prowess."
 custom_capture_ship_chance:1 "Enlisted Pirates"
 custom_capture_ship_chance_desc:1 "Pirates are the scourge of the seas, but should we offer captured ones our employment, they may teach us a thing or two about securing enemy vessels in battle."
 custom_sunk_ship_morale_hit_recieved:1 "Rigorous Naval Drilling"
 custom_sunk_ship_morale_hit_recieved_desc:1 "Watching an allied ship sink below the sea can break the spirits of one's crew. With sufficient training, our sailors can put up a brave face in the harshest of situations."
 custom_global_naval_engagement_modifier:1 "Adaptive Naval Doctrine"
 custom_global_naval_engagement_modifier_desc:1 "We shall let no tactics at sea be unquestionable. We shall adapt to the situations and secure the advantage in any engagement."
 custom_global_ship_trade_power:1 "Aggressive Trading Procedure"
 custom_global_ship_trade_power_desc:1 "Timing is everything in a deal. Wait too long and the currents will be unfavorable for future trade voyages. With an edge in trade negotiations, our trade fleets will have an easier time getting from port to port."
 custom_native_assimilation:1 "Native Negotiations"
 custom_native_assimilation_desc:1 "Everyone has a price. By buying out local native Chiefs we can ensure that the the natives of our new lands toil for our profit"
 custom_native_uprising_chance:1 "Beads and Blankets"
 custom_native_uprising_chance_desc:1 "Fire and sword is certainly one way to take care of the native menace, but it is not the only way. Coming to the natives on friendly terms can keep them out of our way and allow us to build our settlements without interruption."
 custom_reduced_liberty_desire:1 "Protective Agreements"
 custom_reduced_liberty_desire_desc:1 "Not all overlords are tyrants. In our case we are simply protecting weaker states from their aggressive neighbors, and we ensure they are aware of this."
 custom_migration_cooldown:1 "Migratory Ways"
 custom_migration_cooldown_desc:1 "Our people have always been quick to move from place to place, never settling in one place for too long."
 custom_envoy_travel_time:1 "Diplomatic Privilege"
 custom_envoy_travel_time_desc:1 "We shall ensure that our diplomats always have preferential treatment when it comes to getting the fastest horses and quickest ships."
 custom_province_warscore_cost:1 "Strong Negotiators"
 custom_province_warscore_cost_desc:1 "When we have the edge in a situation and we know it, we can and will press for more."
 custom_dip_tech_cost_modifier:1 "Expanding Literacy"
 custom_dip_tech_cost_modifier_desc:1 "If we ensure that more than just the Clergy have a passing familiarity with reading and writing, we may find that there are more people able to contribute to our technological advancements."
 custom_papal_influence:1 "Clerical Ties"
 custom_papal_influence_desc:1 "By always keeping ourselves on the right side of the clergy, we ensure that we remain in the Papacy's good graces as well."
 custom_auto_explore_adjacent_to_colony:1 "Frontier Outposts"
 custom_auto_explore_adjacent_to_colony_desc:1 "When settling new lands, we shall ensure that we also construct outposts at the very edge of our claims, so that we can better know what lies beyond."
 custom_establish_frontier_ability:1 "Settling the Frontier"
 custom_establish_frontier_ability_desc:2 "The time has come to go forth and settle the open lands that lie before us."
 custom_unjustified_demands:1 "Never Unjust"
 custom_unjustified_demands_desc:1 "By ensuring that surrounding nations are kept well aware of the justness of our cause, we can ensure that we are never the tyrant at the peace table."
 custom_rebel_support_efficiency:1 "Support for Dissidents"
 custom_rebel_support_efficiency_desc:1 "We have no qualms about supplying and funding dissidents abroad to keep our enemies weakened and new emergent states in line with our way of thinking."
 custom_placed_merchant_power:1 "Merchant Funding"
 custom_placed_merchant_power_desc:1 "With the proper assistance we can ensure our merchants gain an extra edge in trading home and abroad."
 custom_global_own_trade_power:1 "New Trading Practices"
 custom_global_own_trade_power_desc:1 "With some effort, our domestic trading techniques have been refined."
 custom_recover_navy_morale_speed:1 "Oars to Freedom"
 custom_recover_navy_morale_speed_desc:1 "With a system in place ensuring that an enslaved man at sea can work his way towards emancipation we can end up with a crew who are more resilient to harsh times at sea."
 custom_global_foreign_trade_power:1 "Gunboat Diplomacy"
 custom_global_foreign_trade_power_desc:1 "By backing our words with mighty naval dominance, we can ensure that our merchants are given more preferential treatment overseas."
 custom_improve_relation_modifier:1 "Seasoned Diplomats"
 custom_improve_relation_modifier_desc:1 "Keeping around the best and brightest diplomats familiar with foreign tongues and nuance will ensure we have an easier time smoothing over any transgressions."
 custom_possible_condottieri:1 "Mercenary Traditions"
 custom_possible_condottieri_desc:1 "With prospects at home frequently unsteady, our people often turn to foreign coin. A strong mercenary tradition keeps us as a popular supplier of manpower."
 custom_naval_attrition:1 "Supplied Ships"
 custom_naval_attrition_desc:1 "The ship itself is not the only thing to worry about on long voyages, the crew's well-being is equally vital. Our tradition of keeping our sailors' dietary needs in check keeps our navy afloat for longer."
 custom_idea_sailors_recovery_speed:1 "One with the Sea"
 custom_idea_sailors_recovery_speed_desc:1 "Our people take naturally to the oceans and excel at seafaring. When our active Sailors are depleting there is no shortage of replacements ready to sail."
 custom_trade_range_modifier:1 "Insurance Policies"
 custom_trade_range_modifier_desc:1 "Long distance trading can be a dicey affair. By ensuring our traders can insure themselves against risks of trading, we can see to it that they reach further afield."
 FIND:0 "Find"
 streltsy_concessions:0 "Streltsy Privileges"
 desc_streltsy_concessions:0 "The Streltsy have been given privileges that other parts of our armed forces lack. This is putting additional financial strain on our army administration."
 streltsy_angered:0 "Discontent Among the Streltsy"
 desc_streltsy_angered:0 "We have refused the Streltsy the right to return home while also denying them privileges to support their families there. This has left them feeling unhappy and left them open to the subversive elements in our country."
 streltsy_revolted:0 "Streltsy Revolted"
 desc_streltsy_revolted:0 "The discontent among the Streltsy have revolted and left their ranks, leaving an army purged of subversive elements."
 streltsy_inspection:0 "Streltsy Inspections"
 desc_streltsy_inspection:0 "We have increased funding for the regular inspections and replacement of equipment for the Streltsy."
 streltsy_garrison:0 "Strengthened Garrisons"
 desc_streltsy_garrison:0 "Our recruitment of Streltsy has allowed us to offer an attractive means of employment for subjects all around our country. Often this means that our local fortresses can be better staffed and equipped, making our country more well defended than ever before."
 streltsy_events.1.t:0 "Streltsy Protests"
 streltsy_events.1.d:0 "Our prolonged wars have left the Streltsy troops weary. As lifelong soldiers they have families and businesses at home that they attend in peacetime and long wars make it hard for them to maintain this life. A delegation of Streltsy soldiers arrived today in [Root.Capital.GetCapitalName] asking to be allowed to return to their homes or to be compensated with higher pay."
 streltsy_events.1.a:0 "We can make some concessions."
 streltsy_events.1.b:0 "They must return to their regiments or face desertion charges!"
 streltsy_events.1.b.tt:0 "This may provoke a Streltsy revolt.\nChances of a revolt will increase if you have War Exhaustion."
 streltsy_events.1.c:0 "Let us execute them for deserting their posts!"
 streltsy_events.1.c.tt:0 "This will provoke a Streltsy revolt. The size of the revolt will depend on how many Streltsy you currently employ."
 streltsy_events.2.t:0 "Streltsy Revolt"
 streltsy_events.2.d:0 "We have received word from [streltsy_revolt.GetName] that an increasing number of Streltsy are amassing in the area. They have deposed their captains and elected new leaders. Unhappy with our treatment of them and their families they are now marching on [Root.Capital.GetCapitalName] to punish the Boyars and install a new ruler on the throne."
 streltsy_events.2.a:0 "Death to all deserters and traitors!"
 streltsy_events.3.t:0 "The Daily Life of the Streltsy"
 streltsy_events.3.d:0 "While being a Strelets means devoting your life to serve the [Root.GovernmentName] it does not necessarily mean you have an occupation you can live on in times of peace. Many of our Streltsy have settled in or around [Root.Capital.GetCapitalName] and lead normal lives as shopkeepers, craftsmen or other less martial occupations on the side. While they do get a certain salary for being at our disposal this is by no means enough to support a family and the state has often tolerated and even encouraged the soldiers to have alternate means of income.\nSome fear, however, that our Streltsy are forgetting what it is to be a soldier, and that they lack interest in keeping their equipment up to date or in good shape."
 streltsy_events.3.a:0 "Divert funds to train the Streltsy."
 streltsy_events.3.b:0 "There is no need to be alarmed."
 streltsy_events.4.t:0 "Inspecting the Streltsy"
 streltsy_events.4.d:0 "While the Streltsy are expected to maintain much of their equipment themselves they cannot be expected to keep up with the developments in firearm technology. As the years go by many of their weapons grow evermore outdated, and in some cases worn and inefficient. Regular inspections are supposed to allow us to keep up to date with the training and equipment of all our Streltsy but it is no secret these are quite costly."
 streltsy_events.4.a:0 "It is time we invest in better equipment and renewed inspections."
 streltsy_events.4.b:0 "There is no reason to waste government funds yet."
 streltsy_events.5.t:0 "Well Staffed Garrisons"
 streltsy_events.5.d:0 "A Strelets is offered a plot of land and the promise of a salary in exchange for a lifelong service to the state. Often his position will then be inherited by his son and so the state is assured well armed and motivated soldiers for long times to come. All over our country this type of employment has made men seek our service, and while not everyone can join in offensive warfare, many make a welcome addition to the garrisons of our border fortresses."
 streltsy_events.5.a:0 "Excellent."
 streltsy_events.6.t:0 "Expanding the Prikaz"
 streltsy_events.6.d:0 "In the Streltsy the state has acquired a reliable source of professional infantry. In order to administrate their permanent service the state needs to keep an efficient bureaucracy. If we expanded the Streletsy Prikaz we could more quickly and efficiently organize, train and provision larger numbers of Streltsy. Some would caution that there is a cost to emphasizing speed, however."
 streltsy_events.6.a:0 "Let us increase our efforts."
 streltsy_events.6.b:0 "We must increase spending."
 streltsy_events.6.c:0 "There is no need for this right now."
 orthodox_cathedral:0 "Renovated Cathedral"
 desc_orthodox_cathedral:0 "We are paying for the restoration and renovation of a local Cathedral, winning us the good will of the population."
 took_land_from_monastics:0 "Conflict over Land"
 desc_took_land_from_monastics:0 "There has been a conflict over where our estates begin and those of a local monastery end. In the end we made sure our interpretation won but this has won us few favors locally and has made the whole area harder to develop for the foreseeable future."
 rooting_out_heresy:0 "Supporting Local Inquisition"
 desc_rooting_out_heresy:0 "This state is undergoing an inquisition lead by its Metropolitan in order to ensure religious conformance and the rooting out of all heresy."
 saints_enforced:0 "Religious Conformance"
 desc_saints_enforced:0 "We have forced the population in this state to adhere to our own religious customs at the cost of them highly resenting our rule. Over time it will, however, allow us to better integrate them into our society."
 patriarch_events.1.t:0 "The Saints of [local_saint_state_province.GetAreaName]"
 patriarch_events.1.d:0 "There is great uncertainty in the see of [local_saint_state_province.GetAreaName]. While we are united in faith the people of the state, including many of the local priests, are refusing to participate in the feasts and celebrations of saints that are customary within our borders. They claim that these are not canonical and that they will observe the religious customs of their own ancestors, including the veneration of a number of suspect saints from the area."
 patriarch_events.1.a:0 "We must enforce the [Root.GetAdjective] saints and feasts."
 patriarch_events.1.b:0 "There is little to be gained on insisting."
 patriarch_events.2.t:0 "Liturgical Influence"
 patriarch_events.2.d:0 "The bishop of [local_see_province.GetAreaName] has objected to [Root.Monarch.GetName] and the aggrandizing way [Root.Monarch.GetSheHe] conducted the consecration of a Cathedral in [local_see_province.GetCapitalName]. While he insists he is not ungrateful for the great donations we have given to the Church the Bishop is questioning the use of breaking the liturgical canon to further the interests of the [Root.GovernmentName]."
 patriarch_events.2.a:0 "He must learn his place!"
 patriarch_events.2.b:0 "We will make a further donation to the church to show our humility."
 patriarch_events.3.t:0 "A Cathedral for [local_see_province.GetName]"
 patriarch_events.3.d:0 "The Cathedral of [local_see_province.GetName] has been damaged and is in urgent need of repair. The Metropolitan has let it be known that he expects us to help fund the repairs and that a general redecoration would also be quite beneficial for the church.\nPious architecture has seen great development since this house of worship was first built and it could certainly benefit from us bringing in foreign experts..."
 patriarch_events.3.a:0 "Let us give it a worthy renovation!"
 patriarch_events.3.b:0 "We can repair the damages but no more."
 patriarch_events.4.t:0 "Heresy in [judaizers_province.GetAreaName]!"
 patriarch_events.4.d:0 "Our newly appointed Metropolitan of [judaizers_province.GetAreaName] has uncovered a horrifying local heresy. He claims that the sect is denouncing the trinity, the divinity of Christ and the ecclesiastical hierarchy. The Metropolitan has asked us to help him in this time of need as he will require many more resources to root out this heresy which is widespread among high as well as low.\nThe case seems very clear. Except it seems the sect has some supporters even in [Root.Capital.GetCapitalName]. Can we really afford to lose the support of these men and women and are they really as heretic as the Metropolitan claims?"
 patriarch_events.4.a:0 "Heretics must burn!"
 patriarch_events.4.b:0 "Clearly he is mistaken."
 patriarch_events.5.t:0 "Monasteries flourish in [monastic_province.GetName]"
 patriarch_events.5.d:0 "The Bishop of [monastic_province.GetAreaName] reports that the local monastic communities are growing at an unprecedented speed. The Estates of a local monastery in [monastic_province.GetCapitalName] have in fact grown so big and are so well kept that they have become the envy of our local administrator. The governor has become entangled in a conflict with the Monks over where exactly the demarcation between their lands and those of the [Root.GovernmentName] goes.\nThe time has come for central authorities to step in and settle the dispute. Helping the monastery would undoubtedly secure their gratitude, but this could also be an opportunity to get hold of more land for the state..."
 patriarch_events.5.a:0 "Clearly our governor is right!"
 patriarch_events.5.b:0 "We must listen to these men of God."
