l_ukrainian:
 NUDGE_END_NODE_TITLE:0 "Немає вихідних шляхів"
 anglican_center_of_reformation:0 "Центр реформації"
 ignore_marprelate:0 "Ігнорувати Марпрелатські трактати"
 desc_ignore_marprelate:0 "Ми відмовляємося визнати марення цих пуритан."
 respond_marprelate:0 "Памфлетні війни"
 desc_respond_marprelate:0 "Ми реагуємо аналогічно на отруйні випади Марпрелатських памфлетистів."
 imprison_marprelate:0 "Ув'язнення Марпрелатів"
 desc_imprison_marprelate:0 "Не можна ігнорувати публікацію єресі проти Церкви, ми прагнемо знайти і посадити до в'язниці авторів Марпрелатських трактатів."
 fancy_vestments:0 "Розробка вбрання"
 desc_fancy_vestments:0 "Духовенство з'являється на публіці у все складнішому вбранні. Це, звичайно, дуже вражає."
 nonconformist_anglican_monarch:0 "Нонконформістський монарх"
 desc_nonconformist_anglican_monarch:0 "Монарх є Верховним правителем Церкви, але не слідує вірі."
 COMMONS_REFORM_CHURCH:0 "Палата громад реформує Церкву: §Y$VAL$%§!"
 EST_VAL_VESTMENTS_BANNED:0 "Церковне вбрання заборонено: §Y$VAL$%§!"
 innovativeness:0 "Інноваційність"
 NEWS_BANNER_OK_TOOLTIP:0 "Закрити й не показувати знову."
 critical_press:1 "Нелояльні друкарі"
 desc_critical_press:0 "Наше небажання вистежити тих, хто поширює пропаганду проти держави, викликало деяке невдоволення на всій території нашої держави."
 harbored_inventor:0 "Прихистили ворожого винахідника"
 public_schools:0 "Школи для громадськості"
 desc_public_schools:0 "Школи, відкриті для бідних і неосвічених мас, фінансуються місцевим філантропом і релігійними громадами в цій провінції. Хоча це творить дива з ліквідації неписьменності, воно також вкладає деякі дивні ідеї в голови людей, не кажучи вже про посилення влади церкви."
 EST_VAL_PUBLIC_SCHOOLS:0 "Громадські школи: §Y$VAL$%§!"
 new_royal_society:0 "Підтримка нового наукового товариства"
 desc_new_royal_society:0 "Ми протегуємо новому науковому товариству, що прагне працювати на благо нашої держави."
 unpopular_dissections:0 "Непопулярні розтинання"
 desc_unpopular_dissections:0 "Люди цієї провінції незадоволені тим, що вони вважають нечестивою поведінкою тих, хто вивчають анатомію і розтинають свіжі трупи для подальшого розвитку науки."
 dissenting_academies:0 "Дисидентські академії"
 desc_dissenting_academies:0 "Ряд закладів у країні навчає за межами встановленої релігійної доктрини."
 PHYSIOCRACY:0 "Фізіократія: §Y$VAL$%§!"
 blasphemous_scientist_punished:0 "Натурфілософа-богохульника покарано"
 desc_blasphemous_scientist_punished:0 "Трактат про природну філософію образив релігійні почуття населення, тому автора було суворо покарано."
 religion_mocked:0 "Натурфілософ збиткується над релігією"
 desc_religion_mocked:0 "Нещодавній трактат познущався над релігійною громадою в скандальній формі. Хоча публікацію було дозволено, вона спричинила образу серед віруючих."
 coffee_houses:0 "Кав'ярні"
 desc_coffee_houses:0 "Кав'ярні користуються популярністю у всій країні, виступаючи як пункти збору для інтелектуалів для обговорення своїх ідей."
 coffee_houses_banned:0 "Кав'ярні заборонено"
 desc_coffee_houses_banned:0 "Кав'ярні розповсюджували небезпечні ідеї серед населення. Вони по праву були заборонені."
 cabinet_of_curiosities:0 "Кабінет чудасій"
 desc_cabinet_of_curiosities:0 "Держава підготувала і виставила колекцію дивовижних і цікавих предметів з усього світу."
 turned_away_inventor:0 "Винахідник-вигнанець"
 innovativeness_events.1.t:0 "Свобода друку"
 innovativeness_events.1.d:0 "With the spread of Popular Literacy a great number of cheap minor publications; pamphlets, chapbooks and similar, have begun to circulate in greater numbers. While many of them are just popular ballads, stories or gossip, some are thinly veiled attempts at criticizing the pillars of our state, and the religious establishment.\nThe spread of a particularly immoral and political ballad has led to demands that we limit the press more harshly and that we take disloyal printers and their products into our care."
 innovativeness_events.1.a:1 "Заборонити публікації."
 innovativeness_events.1.b:0 "Це просто шматки паперу."
 innovativeness_events.2.t:0 "[Root.Adm_Advisor.GetName] винаходить"
 innovativeness_events.2.d:0 "As a member of the cabinet [Root.Adm_Advisor.GetName] has had good opportunity to expand on [Root.Adm_Advisor.GetHerHis] personal interests. As a result [Root.Adm_Advisor.GetHerHis] manor outside [Root.Capital.GetCapitalName] boasts one of the largest laboratories in the country, with many furnaces, and large stores of all kinds of materials imaginable.  [Root.Adm_Advisor.GetSheHeCap] is also particularly proud of what [Root.Adm_Advisor.GetSheHe] calls [Root.Adm_Advisor.GetHerHis] ‘chamber of wonders’, a large office filled with curiosities from roof to floor, as well as a library dedicated to explaining the objects. Such habits do not come cheap however and as our dear minister asks for a place to study the moon and the stars as well, a tailor made castle observatory, some feel that perhaps this should be the limit of our generosity."
 innovativeness_events.2.a:0 "Все для поліпшення [Root.GetAdjective]ої науки!"
 innovativeness_events.2.b:0 "Зрозуміло, що гроші можна було б використати краще."
 innovativeness_events.3.t:0 "Анатомічний театр"
 innovativeness_events.3.d:0 "Local doctors in [doctor_province.GetCapitalName] have begun to pay good money to study fresh corpses. The physicians claim this allows them to improve their knowledge of the human body, documenting it for the betterment of mankind. Improving the grasp of human anatomy is not an argument that impresses locals when the graves of recently deceased are found open in the morning however. The citizens of [doctor_province.GetCapitalName] are now demanding that we restrict these horrible practices and that we put a stop to the grave robbers."
 innovativeness_events.3.a:0 "Засудити та обмежити лікарів."
 innovativeness_events.3.b:0 "Вони можуть розтинати тіла засуджених."
 innovativeness_events.3.c:0 "Працюймо, щоб забезпечити постійне постачання органів для їх роботи."
 innovativeness_events.4.t:0 "Іноземний винахідник"
 innovativeness_events.4.d:0 "A brilliant [inventor_country.GetAdjective] inventor from [inventor_country.GetName] has come to seek our patronage after a falling out with the [inventor_country.GovernmentName]. [Root.inventor.GetName] has been described by some as one of the great minds of this age, producing many mechanical and chemical inventions beyond the understanding of most others."
 innovativeness_events.4.a:0 "[Root.inventor.GetName] повинен бути прийнятий!"
 innovativeness_events.4.b:0 "Ми не ризикнемо гнівити державу [inventor_country.GetDefiniteArticleBeforePluralCountry][inventor_country.GetName]."
 innovativeness_events.5.t:0 "Освіта для бідних?"
 innovativeness_events.5.d:0 "A religious local philanthropist has begun to create schools for poor children in [poor_province.GetName]. The ambition is to bring literacy to the poor and educate them in the way of the [Root.Religion.GetName] faith.\nOf course there are those who would argue that this is not an activity without risks."
 innovativeness_events.5.a:0 "Чудова ініціатива!"
 innovativeness_events.5.b:0 "Ми не можемо це дозволити."
 innovativeness_events.6.t:0 "[Root.GetRoyalOrState] підтримає"
 innovativeness_events.6.d:0 "Among some of our [Root.GetNoblesReplacementForOtherGovernments] it has become increasingly fashionable to spend time on experimentation and philosophy. Some have begun to form regular discussion groups while others use letters to correspond with other inquisitive minds.\nOne such group has contacted our [Root.Monarch.GetTitle], asking for patronage and support. They insist that such endorsement will bring great benefits to the [Root.GovernmentName] in the near future."
 innovativeness_events.6.a:0 "Вони матимуть наше схвалення."
 innovativeness_events.6.b:0 "Яка трата часу!"
 innovativeness_events.7.t:0 "Університет в провінції [university_province.GetName]"
 innovativeness_events.7.d:0 "The university of [university_province.GetName] has attracted a new strand of teachers and students who are eager to modernize the institution. They are asking for funding to open a new college where they can further develop what they call ‘new science’, with a more experimental outlook and what they claim to be a less dogmatic approach to the world.\nOf course within the existing academy there is some resistance to these would-be reformers. They argue that the money could be better spent supporting the existing institution as new ideas are not necessarily better ideas."
 innovativeness_events.7.a:0 "Розширити університет? Схоже, це - непогана ідея."
 innovativeness_events.7.b:0 "Прислухаємося до консерваторів."
 innovativeness_events.8.t:0 "Дисидентські академії"
 innovativeness_events.8.d:0 "Institutions of higher learning typically restrict enrollment to adherents of the dominant faith. This forces nonconforming prospective students to seek their education outside of state-sanctioned universities. Thankfully for them, a number of informal academies have been founded in $COUNTRY$ that cater to religious dissidents of various sorts, often promoting a particular theological position. Such academies may strictly be at odds with the law, as schools generally require the assent of local or national religious authorities, but they provide education to students who would otherwise be barred from admission."
 innovativeness_events.8.a:0 "Хай вони вчать, як їм заманеться."
 innovativeness_events.8.b:0 "Релігійну єдність має бути дотримано."
 innovativeness_events.9.t:0 "Трактат про природну філософію"
 innovativeness_events.9.d:0 "A promising thinker to some, a dangerous instigator to others, [Root.scientist.GetName] has recently published a new work of natural philosophy, showing that it is very likely that many of the things we have held evident up until now might in fact be wrong. To make matters worse the thinker has also used the opportunity provided by the publication to mock the religious establishment. Taken together this has created a strong aversion against these new ideas, with some arguing that [Root.scientist.GetName] should be incarcerated and punished, while others at the very least distance themselves from the text."
 innovativeness_events.9.a:0 "Ці цікаві ідеї..."
 innovativeness_events.9.b:0 "Ми не дозволимо таке богохульство!"
 innovativeness_events.10.t:0 "Непопулярный математик"
 innovativeness_events.10.d:0 "Like many rulers of this age [Root.Monarch.GetName] has wanted to surround [Root.Monarch.GetHerselfHimself] with great minds that can debate the secrets of the world. Some poses great wit and excell at debates, while others are more suited for solitary experiments or mathematical calculations. There is no doubt quite a bit of rivalry at times, as the favor of the [Root.Monarch.GetTitle] can be a very beneficial thing to have for any thinker, scientist or inventor.\nOne such intelligent fool has lately come to be ridiculed by many peers. [Root.mathematician.GetName] has a great mind for mathematics but is a notably poor debater, and some would argue the reputation of the court suffers for indulging such work."
 innovativeness_events.10.a:0 "Хай говорять."
 innovativeness_events.10.b:0 "Він нас бентежить."
 innovativeness_events.11.t:0 "Terra Australis"
 innovativeness_events.11.d:0 "Scholars as ancient as Aristotle have theorized that there must exist a great unknown continent in the extreme south of the world. Now that traversing the globe has become dramatically more accessible, explorers, cartographers, and scientists are beginning to take an interest in the missing continent once again. They speculate that some of the islands thus far discovered in the region may be the terminus of large archipelagos. An expedition to the far south would be expensive, take a great deal of preparation, and test the limits of our seafaring technology."
 innovativeness_events.11.a:0 "Фінансувати наукові дослідження і дослідницьку експедицію."
 innovativeness_events.11.b:0 "Це марна трата часу і ресурсів."
 innovativeness_events.12.t:0 "Кав'ярні"
 innovativeness_events.12.d:0 "The introduction of coffee to $COUNTRY$ has hit the nation by storm, with coffee houses springing up in cities throughout the land. Miniscule admission fees ensure that the educated and uneducated, rich and poor alike can go to a coffee house and join the lively debates within. Popular topics of discussion include philosophy, politics, gossip, and finance. A natural meeting place for intellectuals, the coffee house is becoming synonymous with debate and learning."
 innovativeness_events.12.a:0 "Заохочувати ці зустрічі."
 innovativeness_events.12.b:0 "Небезпечні ідеї поширяться."
 innovativeness_events.13.t:0 "Наукові прилади"
 innovativeness_events.13.d:0 "With new developments in the art of glassmaking and metalwork comes the ability to create more refined scientific instruments. Lenses that magnify the very distant and the very small are invaluable to our astronomers and natural philosophers, while chemists hone their craft with more complex metal tools. Recent breakthroughs have given $COUNTRY$ a scientific edge in the production of this equipment. We can but eagerly await the discoveries that have been made possible."
 innovativeness_events.13.a:0 "Чи можуть вони перетворити свинець у золото?"
 innovativeness_events.14.t:0 "Фізіократи"
 innovativeness_events.14.d:0 "A new flavour of economics, known as physiocracy, is becoming popular among the [Root.GetNoblesReplacementForOtherGovernments]. Physiocrats hold that the basis of wealth is agricultural production, by which all of civilization is made possible. The most important members of society therefore, are the landed gentry who own the fields and lease the land. The physiocrats reject the dominant economics of mercantilism in favour of an agrarian laissez faire approach; merchants of course do not generate wealth, but merely transport extraneous produce from place to place. While many find the depth of their economics impressive, others are more swayed by the tangible benefits of existing protectionist policies."
 innovativeness_events.14.a:0 "Можливо, це варто спробувати."
 innovativeness_events.14.b:0 "Землевласники вже мають занадто багато привілеїв."
 innovativeness_events.15.t:0 "Кабінет чудасій"
 innovativeness_events.15.d:0 "The exploration of new lands and the opening of trade with distant nations has brought all manner of curious objects to our shores. It has become fashionable to gather collections of these often bizarre items and display them alongside more mundane treasures such as portraits and religious icons. These fantastic collections include trophies from strange or mythical animals, artifacts from unknown cultures, rare minerals, and brightly-coloured shells from foreign shores. These cabinet exhibits are visited not only by curious aristocrats but also by naturalists interested in their scientific value. Of course it sometimes turns out that the [Root.Monarch.GetTitle]’s prized unicorn horn is simply the tusk of a narwhal."
 innovativeness_events.15.a:0 "Як романтично. Організуйте негайно."
 innovativeness_events.15.b:0 "Це нерозумно. Замість цього ми повинні протегувати релігійним установам."
 ICON_KNOWLEDGESHARE:0 "Пропозиція §Yобміну знаннями§!"
 ICON_STEER_TRADE:1 "Пропозиція §Yперенаправляти торгівлю§!"
 WG_ALLOW_STEER_TRADE:0 "Перенаправлення торгівлі"
 NO_WAR_STEER_TRADE:0 "Ви не можете вступити у війну з тим, хто перенаправляє до вас торгівлю."
 STEER_TRADE_ASK_DESC:0 "Держава $ACTOR$ пропонує вашим торговцям перенаправляти до них торгівлю.\n\nЧи є ця ідея божевільною, чи доцільною, за поточних обставин?"
 AI_RULER_SHARE_KNOWLEDGE:0 "Збільшити обмін знаннями."
 STEERING_TRADE_TO_LIST:0 "Перенаправляти торгівлю у вузол $LIST$."
 TRADE_STEERED_FROM_LIST:0 "Перенаправляти торгівлю з вузла $LIST$."
 STEER_TRADETITLE:0 "Перенаправлення торгівлі"
 STEER_TRADEDESC:0 "Пропонувати, щоб їхні купці перенаправляли до вас торгівлю."
 TRANSFER_STEER_TRADE_DESC_AT_WAR:0 "Припускати, що вони добровільно погодяться на це поки ми воюємо, було б нерозумно."
 STEER_TRADE_SELECT_DESC:0 "Бажаєте, щоб торговці з держави $WHO$ спрямовували торгівлю до вас, а не на власне збагачення?"
 STEER_TRADE_MERCHANT_COUNT:0 "Враховуючи число торгових вузлів і торговців, $X|Y$ з $Y$ торговців перенаправлятиме до нас торгівлю."
 CANCEL_STEER_TRADE_SELECT_DESC:0 "Бажаєте припинити вимагати у купців держави $WHO$ перенаправляти сюди торгівлю?"
 OUR_CANCEL_STEER_TRADE_SELECT_DESC:0 "Чи наважилися ви припинити перенаправлення торгівлі в державу $WHO$, від якого потерпають наші купці?"
 CANCEL_STEER_TRADETITLE:0 "Скасувати перенаправлення торгівлі"
 CANCEL_STEER_TRADEDESC:0 "Більше не вимагати у їхніх купців перенаправляти до нас торгівлю!"
 OUR_CANCEL_STEER_TRADEDESC:0 "Більше не погоджуватися перенаправляти торгівлю в державу $RECIPIENT$!"
 CANCEL_STEER_TRADE_SELECT_DESC_GIVE_CB:0 "Ми втратимо $PRESTIGEHIT|R$ престижу, а стосунки з державою $WHOS$ погіршаться на деякий час, оскільки цю угоду було нав'язано за мирним договором. Держава $WHO$ отримає проти нас Casus Belli 'Торговий конфлікт'."
 STEER_TRADE_ENFORCED:0 "Неможливо скасувати перенаправлення торгівлі, поки триває перемир'я."
 ALREADY_STEERING_TRADE_TO:0 "Торгівля вже перенаправляється в державу $WHO$."
 CANT_STEER_TRADE_SUBJECT_TYPE:0 "$SUBJECTTYPE$ може перенаправляти торгівлю лише сюзерену."
 PEACE_STEER_TRADE:0 "Перенаправлення торгівлі"
 PEACE_OTHERS_STEER_TRADE:0 "Перенаправлення торгівлі в державу $WHOS$"
 STEER_TRADE_TO_DESC:0 "Торговці держави $FROM$ будуть змушені перенаправляти торгівлю в державу $TO$, поки не закінчиться перемир'я."
 OTHERS_STEER_TRADE_TO_DESC:0 "Держава $FROM$ більше не перенаправляє торгівлю в державу $ORG$. Замість цього їхні торговці будуть перенаправляти торгівлю в державу $TO$. Ця угода буде діяти поки не закінчиться перемир'я."
 KNOWLEDGE_SHARING_INTERACT_WHAT:0 "почати ділитися знаннями"
 KNOWLEDGE_SHARING_INTERACT_EFFECT:0 "Запровадження інституції $INSTITUTION$ у столичній області держави $SUBJECT$ буде прискорено."
 KNOWLEDGE_SHARING_INTERACT_OVERLORD_EFFECT:0 "Ми будемо платити §R$PERCENT$%§! щомісячного прибутку держави $SUBJECT$."
 NO_KNOWLEDGE_SHARING_FEES:0 "Ми не платимо за розподіл знань."
 NO_KNOWLEDGE_SHARING:0 "На разі ніхто не платить нам за розподіл знань."
 KS_REASON_WAR:0 "Спалахнула війна, скасувавши всі попередні угоди!"
 KS_REASON_EXPIRE:0 "Термін дії угоди закінчився після $YEARS$ років."
 KS_REASON_NO_KNOWLEDGE:0 "Більше не лишилося нерозподілених знань про цю інституцію."
 KS_REASON_NOT_SUBJECT:0 "$RECIPIENT$ не є суб'єктом держави $ACTOR$."
 SHARING_KNOWLEDGE_WITH:0 "Розподіл знань з: $LIST$."
 SHARING_KNOWLEDGE_PROPERTIES:0 "Зараз ділиться знаннями про інституцію $INSTITUTION|Y$, що може тривати до $DATE|Y$."
 KNOWLEDGE_SHARED_BY:0 "Розподіл знань з: $LIST$."
 KNOWLEDGE_SHARING_EFFECT:0 "У столичній області держави $RECIPIENT$ прискориться запровадження інституції $INSTITUTION$."
 KNOWLEDGE_SHARING_INTERACT_DESC:0 "Виплачуючи щомісяця §R$PERCENT$%§! від свого прибутку ($INCOME|Y$ ¤), вони прискорять на $GROWTH$ щомісяця поширення у своїй столичній області нашої найстарішої загальноприйнятої інституції, ще не запровадженої ними (зараз це $INSTITUTION|Y$)."
 OFFER_KNOWLEDGESHARENEWDESC:0 "Бажаєте продовжити ділитися знаннями з державою $COUNTRY|Y$? Якщо вони погодяться, вони будуть виплачувати нам §G$PERCENT$%§! від свого прибутку ($INCOME|Y$ ¤) щомісяця. У той же час зростання нашої найстарішої загальноприйнятої інституції, не запровадженої ними (зараз це $INSTITUTION|Y$), прискориться на $GROWTH$ щомісяця в їхній столичній області."
 KNOWLEDGESHARE_EXPIRY:0 "Ми припинимо ділитися знаннями або коли закінчиться термін дії угоди після $YEARS|Y$ років, або якщо ми опинимося по різні боки у війні, в залежності від того, що станеться раніше."
 OUTSIDE_COLONIAL_RANGE_ANY:0 "За межами колоніальної дистанції (від будь-якої провінції)."
 NO_INSTITUTION_TO_SHARE:0 "Немає інституції, про яку вони моли б від нас дізнатися."
 WE_SHARING_KNOWLEDGE:1 "Ми вже ділимося знаннями з державою @$TAG$ $NAME$ до $EXPIRY$."
 WE_HAVE_KNOWLEDGE_SHARED:0 "Ми не можемо пропонувати поділитися знаннями, поки держава @$TAG$ $NAME$ ділиться знаннями з нами."
 THEY_HAVE_KNOWLEDGE_SHARING:1 "Вони вже діляться знаннями з державою @$TAG$ $NAME$ до $EXPIRY$."
 ONLY_CANCELLED_BY_WAR_OR_EXPIRY:0 "Дія цієї угоди може бути припинена тільки в результаті початку війни або по закінченню терміну дії $DATE|Y$."
 KNOWLEDGE_SHARING:0 "Ділитися знаннями"
 KNOWLEDGESHARETITLE:0 "Ділитися знаннями"
 KNOWLEDGESHAREDESC:1 "(вже ділимося з ними знаннями до $EXPIRY$.)"
 OFFER_KNOWLEDGESHARETITLE:0 "Пропозиція поділитися знаннями"
 OFFER_KNOWLEDGESHAREDESC:0 "Пропонуємо поділитися знаннями технологічних досягнень наших інституцій."
 ASK_KNOWLEDGESHARE:0 "Багатий досвід держави $COUNTRY|Y$ дає нам шанс наздогнати технологічний прогрес за допомогою засобів розподілу знань, що дасть нам $GROWTH$ зростання інституції $INSTITUTION$ в провінціях столичної області. Зрозуміло, нам також належить виплачувати щомісячно §R$PERCENT$%§! нашого доходу ($FEE$ ¤), якщо ми приймемо цю пропозицію."
 SELECT_NAVAL_DOCTRINE:0 "§YВибрати морську доктрину§!"
 SELECT_NAVAL_DOCTRINE_HEADER:0 "Вибрати морську доктрину"
 NO_NAVAL_DOCTRINE_SELECTED:3 "Не вибрано жодної морської доктрини.\n\nКоли ми назбираємо сили для створення грізного флоту, ми зможемо вибрати національну доктрину, якої дотримуватимуться наші хоробрі моряки. Це дасть нашому флотові певну постійну перевагу."
 CURRENT_NAVAL_DOCTRINE:0 "Зараз: "
 NAVAL_DOCTRINE_NOT_ENOUGH_FORCE_LIMIT:2 "§RВи повинні мати ліміт флоту щонайменше $VALUE$, щоб змінити свою морську доктрину.§!"
 NAVAL_DOCTRINE_COST:0 "Вибір цієї морської доктрини обійдеться вам в $COST|Y2$¤ завдяки тому, що ваш флот має обсяг $SAILORS|Y0$ моряків."
 NAVAL_DOCTRINE_NOT_AVAILABLE:1 "§RЦя морська доктрина вам недоступна:§!"
 NAVAL_DOCTRINE_CHANGE_TITLE:0 "Зміна морської доктрини"
 NAVAL_DOCTRINE_CHANGE_DESC:3 "Впевнені, що хочете встановити морську доктрину $DOCTRINE|Y$?\nЦе коштуватиме вам $COST|Y2$¤ завдяки тому, що ваш флот має обсяг $SAILORS|Y0$ моряків і надає вам такий постійний ефект:"
 NAVAL_DOCTRINE_CHANGE_REMOVAL:0 "Вашу поточну доктрину $DOCTRINE|Y$ буде вилучено, і ви втратите її переваги."
 NAVAL_DOCTRINE_CURRENT:0 "Це ваша поточна доктрина."
 NAVAL_DOCTRINE_CANNOT_AFFORD:1 "§RВи не можете дозволити собі змінити свою морську доктрину прямо зараз.§!"
 NAVAL_DOCTRINE_REMOVE_CURRENT:0 "Вашу поточну доктрину $DOCTRINE|Y$ буде вилучено і ви втратите її переваги під час вибору наступної доктрини."
 fleet_in_being:0 "Вплив флоту"
 fleet_in_being_desc:0 "Наш військово-морський вплив має відчуватися навіть без виходу нашого флоту з портів, за винятком найсприятливіших умов."
 free_oarsmen:0 "Вільні веслярі"
 free_oarsmen_desc:0 "Ми повинні уникати використання рабів і засуджених на наших галерах. Вільні люди, стійкі до незгод, які не мають бажання дезертувати, повинні стати головною опорою нашого флоту."
 merchant_navy:0 "Торговий флот"
 merchant_navy_desc:0 "Основне завдання нашого флоту – служити фінансовим інтересам держави. Необхідно докласти всіх зусиль для забезпечення наповнення наших вантажних суден іноземними багатствами."
 ship_boarding:0 "Абордаж"
 ship_boarding_desc:0 "Встановивши морське Призове Право й почавши щедру роздачу каперських свідоцтв, ми збережемо захоплені судна в цілісності."
 wooden_wall:0 "Дерев'яні стіни"
 wooden_wall_desc:0 "У швидкоплинному світі моря залишаються вирішальними для нашої нації. Дерев'яні стіни флоту превалюють і як засіб для забезпечення нашого панування, і як перша лінія нашої оборони."
 alert_can_set_naval_doctrine_instant:1 "§YВи можете обрати морську доктрину§!"
 alert_can_set_naval_doctrine_delayed:1 "Ми досягли достатнього військово-морського ліміту, щоб обрати доктрину, що надасть нам постійні морські бонуси."
 alert_losing_innovativeness_instant:0 "§YІнноваційність зменшується§!"
 alert_losing_innovativeness_delayed:1 "Наші сусіди технологічно просунутіші, ніж ми, в результаті чого наша інноваційність змінюється на $VAL|R$ щомісяця."
 MACRO_BUILD_MANUFACTORY_TITLE:0 "Будівництво мануфактур"
 MACRO_BUILDING_LIST_WINDOW_MANUFACTORIES_TITLE:0 "Побудувати мануфактури"
 MACRO_BUILDING_GENERIC_MANUFACTORY_TITLE:0 "§YМануфактура§!\n"
 IDEA_WILL_INCREASE_INNOVATIVENESS:0 "\n\nВибір цієї ідеї тепер збільшить нашу §Yінноваційність§! на $VAL|G$."
 TECH_WILL_INCREASE_INNOVATIVENESS:0 "\nДослідження цієї технології тепер збільшить нашу §Yінноваційність§! на $VAL|G$."
 INNOVATIVENESS_INCREASE:0 " (Отрим. $VAL$ §Yінноваційності§!)"
 INNOVATIVENESS_DECREASE_DESC:2 "На даний час змінюється на $VAL|3R$/місяць, оскільки інші країни є технологічнішими, ніж ми.\n"
 INNOVATIVENESS_INCREASE_DESC:1 "На даний час змінюється на $VAL|3G$/місяць через те, що ми технологічно випереджаємо час.\n"
 NAVAL_DOCTRINE_TITLE:0 "Морська доктрина"
 MERCHANTS_TRADE_STEER_LOCKED:0 "Купці не можуть бути переміщені, поки ми перенаправляємо торгівлю в державу $TO$."
 MERCHANTS_TRADE_STEER_LOCKED_BUT_NO_NODES:0 "(Недостатньо торгових вузлів, щоб автоматично призначити цього торговця перенаправляти торгівлю.)"
 PROTESTANT_ASPECTS_LONG:0 "Доктрини віри"
 PROTESTANT_ASPECTS_SHORT:0 "доктрини"
 ANGLICAN_ASPECTS_LONG:0 "Релігійні дії"
 ANGLICAN_ASPECTS_SHORT:0 "дії"
 SHIP_CAPTURED:1 "$VAL$ кораблів захоплено під час дії морської доктрини абордажу."
 SHIP_NOT_CAPTURED:0 "Захоплено менше $VAL$ кораблів"
 anglican_rebels_title:0 "Релігійні фанатики"
 anglican_rebels_name:0 "Фанатики релігії $RELIGION$"
 anglican_rebels_desc:0 "Релігійні фанатики прагнуть піднятися у провінціях, контрольованих державами, що сповідують інші релігії. Вони прагнуть поширити свою віру та вбити всіх невіруючих."
 anglican_rebels_army:0 "Військо за релігію $RELIGION$"
 anglican_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 anglican_rebels_demand_desc:0 "Релігійні повстанці борються за релігію $RELIGION$. Вони вимагають, щоб ми визнали її перевагу чи, принаймні, припинили наші зусилля щодо їхнього навернення і дозволили їм богослужіння."
 divorce_consort_tooltip:1 "Ваш Консорт отримає розлучення.\nДинастичні шлюби розірвані не будуть."
 Alba:0 "Альба"
 A_Battle_in_the_Highlands:0 "Битва за нагір'я"
 Piper_Lead_Your_Clansmen:0 "Волинщик, веди свій клан"
 NOT_ENOUGH_CONSORTS:0 "Число Консортів менше $VAL$"
 ENOUGH_CONSORTS:0 "Число Консортів: $VAL$"
 FOREIGN_PROVINCES_HRE_NOT:0 "Число провінцій під контролем не-членів Імперії або суб'єктів держав не-членів менше §Y$NUM$§!."
 FOREIGN_PROVINCES_HRE:0 "Число провінцій під контролем не-членів Імперії або суб'єктів держав не-членів §Y$NUM$§!."
 LORDSHIP:0 "Панство"
 cb_hundred_years_union:0 "Примусити до унії"
 cb_hundred_years_union_desc:0 "Французьке герцогство повинно вклонятися нам вічно."
 MISSIONS_SWAPPED:0 "Отримати нові місії"
 LEDGER_INNOVATIVENESS:0 "Інноваційність"
 SHARE_OF_STARTING_INCOME_LESS:0 "Прибуток щонайбільше §Y$TARGET$§!¤. (Зараз §Y$CURRENT$§!¤)"
 SHARE_OF_STARTING_INCOME_MORE:0 "Прибуток щонайменше §Y$TARGET$§!¤. (Зараз §Y$CURRENT$§!¤)"
 INNOVATIVENESS_AMOUNT:0 "Ми досягли $AMOUNT|Y$ інноваційності."
 INNOVATIVENESS_CHANGE_DESC:0 "На нашу інноваційність впливають такі параметри:\n"
 INNOVATIVENESS_FULL_MOD_DESC:0 "\nЕфект від §Y100§! інноваційності:\n$MOD$"
 INNOVATIVENESS_DESC:1 "Інноваційність підвищується через:\nВипередження за технологіями: §G+2§!\nВипередження за ідеями: §G+1§!\nВипередження часу: §G+0.005§!/місяць\n\nІнноваційність зменшується через:\nВплив сусідів: §R-0.03§!/місяць\n"
 INNOVATIVENESS_MOD_DESC:0 "\nЕфект нашої нинішньої інноваційності:\n$MOD$"
 TECH_INNOVATIVENESS_DATE:0 "\nТехнологічний рівень $TECH|Y$ вперше було досягнуто $DATE|Y$."
 TECH_INNOVATIVENESS_DAYS_LEFT:0 " Доступно протягом $DAYS|Y$ днів."
 IDEA_INNOVATIVENESS_DATE:0 "\nІдею було обрано вперше $DATE|Y$."
 IDEA_INNOVATIVENESS_DAYS_LEFT:0 " Доступно протягом $DAYS|Y$ днів."
 city_of_the_kings:0 "Місто королів"
 OWNS_ALL_ISLAND_NOT_COMPLETED:0 "Лише $OWNED_ISLAND_PROVINCES$ з $ISLAND_PROVINCES$ острівних провінцій під контролем.\n"
 OWNS_ALL_ISLAND_COMPLETED:0 "Усі острівні провінції під контролем.\n"
 PROVINCE_IS_NOT_ON_AN_ISLAND:0 "Провінція §Y$PROVINCE$§ не є острівною.\n"
 PROVINCE_IS_ON_AN_ISLAND:0 "Провінція §Y$PROVINCE$§ є острівною.\n"
 MODIFIER_INNOVATIVENESS_GAIN:0 "Приріст інноваційності"
 CHANGE_ASPECT_COST:0 "Вартість Церковного Впливу: $COST|Y$."
 COMPLETE_MISSION_EFFECT:0 "Завершує місію $MISSION|Y$ без нагород"
 island_provinces_tooltip:0 "Володіти безпосередньо або через суб'єктів усіма провінціями, які не мають прямого сухопутного сполучення зі Стокгольмом, Панамою або Гуугу йімітір."
 CLICK_TO_CENTER_HIGHLIGHTED:0 "Клацніть, щоб відцентрувати"
