l_ukrainian:
 # New Manchu culture
 manchu_new:0 "Maньчжуpcьк"
 soo_elementary_school_desc:0 "Початкові школи важливі для базової освіти дітей. Вони формують наступні покоління й повинні привести нашу країну в нову еру."
 # Manchuria Provinces
 PROV4651:0 "Цусіма"
 PROV_ADJ4651:0 "Цусімськ"
 PROV4652:0 "Хайчен"
 PROV_ADJ4652:0 "Хайченськ"
 PROV4653:0 "Маолян"
 PROV_ADJ4653:0 "Маолійськ"
 PROV4654:0 "Фу'ерхе"
 PROV_ADJ4654:0 "Фу'ерхеськ"
 PROV4655:0 "Шиліміан"
 PROV_ADJ4655:0 "Шиліміанськ"
 PROV4656:0 "Воланхе"
 PROV_ADJ4656:0 "Воланхеськ"
 PROV4657:0 "Гори Чангбай"
 PROV_ADJ4657:0 "Чангбайськ"
 PROV4658:0 "Нангха'ер"
 PROV_ADJ4658:0 "Нангха'ерськ"
 PROV4659:0 "Тулутінгшан"
 PROV_ADJ4659:0 "Тулутінгшанськ"
 PROV4660:0 "Тунхе"
 PROV_ADJ4660:0 "Тунхеськ"
 PROV4661:0 "Едала"
 PROV_ADJ4661:0 "Едальськ"
 PROV4662:0 "Галаха"
 PROV_ADJ4662:0 "Галахськ"
 PROV4663:1 "Хурка"
 PROV_ADJ4663:1 "Хуркаськ"
 furdan_area:0 "Фурдан"
 furdan_area_name:0 "Фурдан"
 furdan_area_adj:0 "Фурданськ"
 sakhalin_area:0 "Сахалін"
 sakhalin_area_name:0 "Сахалін"
 sakhalin_area_adj:0 "Сахалінськ"
 evenk:0 "Евенкійськ"
 # Manchuria Tags
 SOL:0 "Солони"
 SOL_ADJ:0 "Солонськ"
 NVK:0 "Нівхи"
 NVK_ADJ:0 "Нівхськ"
 EJZ:2 "Нанай"
 EJZ_ADJ:2 "Нанайськ"
 NHX:2 "Орочі"
 NHX_ADJ:2 "Орочійськ"
 manchu_manchuria_decision.tooltip:1 "Національні провінції з §Yчжурчженьською§! або §Yманьчжурською§! культурами."
 # Ming modifier
 desc_repaired_great_wall:0 "Ми ремонтуємо Великий мур, який повинен запобігти набігам північних варварів."
 # Tumu Crisis
 flavor_oir.1.t:0 "Тумуська катастрофа"
 flavor_oir.1.d:0 "Оскільки конфлікт з ойратами переростає у відкриту війну, імператор необачно вирішив особисто очолити війська Мін. Незважаючи на брак військових талантів і попередження радників, Імператор непохитний у своєму рішенні стати на чолі війська."
 flavor_oir.1.a:0 "Мій імператоре, це нерозумно!"
 flavor_oir.2.t:0 "Полон імператора Мін"
 flavor_oir.2.d:0 "У несподіваному повороті подій виявилося, що імператор Мін особисто вів свої війська в бій. Було нерозважливо з [MNG.Monarch.GetMJOGO] боку зустрітися з нами на полі битви; ми швидко розправилися з [MNG.Monarch.GetMJOGO] жалюгідними, недисциплінованими солдатами і навіть змогли захопити самого імператора.\n\nЦе може дати нам великі важелі впливу на уряд Мін, але ми повинні діяти швидко, щоби скористатися ситуацією. Ми маємо якумога швидше захопити Пекін, де будемо домагатися виконання наших умов."
 flavor_oir.2.a:0 "На Пекін!"
 oir_emperor_captured_tt:1 "§YМи окупуємо регіон Північного Китаю, якщо захопимо Пекін до того, як полонений імператор помре або його буде замінено§!"
 flavor_oir.3.d:1 "Сталося лихо! Через свою дурість імператора полонили в бою ойрати.\n\nМи повинні запобігти захопленню Пекіна нашими ворогами, інакше у нас не залишиться іншого вибору, окрім як прийняти вимоги варварів. Якщо імператор буде занадто довго перебувати в полоні, ймовірно, що трон захопить якийсь інший член династії [Root.Monarch.Dynasty.GetName]."
 flavor_oir.3.a:0 "Катастрофа!"
 flavor_oir.4.t:0 "Призначення нового імператора"
 flavor_oir.4.d:0 "Ми не можемо вічно чекати, поки варвари повернуть нам імператора. Мандат вимагає, щоб імператор сидів на Троні Дракона, і тому було вирішено, що [Root.Heir.GetName] негайно прийме титул."
 flavor_oir.4.d2:0 "Ми не можемо вічно чекати, поки варвари повернуть нам імператора. Мандат вимагає, щоб імператор сидів на Троні Дракона, і тому було вирішено, що член династії [Root.Monarch.Dynasty.GetName] має зайняти [Root.Monarch.GetHerHis] трон."
 flavor_oir.4.a:0 "Хай же він буде мудрішим за попередника."
 flavor_oir.5.t:0 "Захоплення Пекіна"
 flavor_oir.5.d:0 "Пекін упав! Оскільки столиця під нашим контролем, а імператор перебуває в полоні, Мін не можє відмовитися від наших вимог. До залишків уряду Мін було надіслано місію з вимогою негайної капітуляції."
 flavor_oir.5.a:0 "Ми приймемо тільки повну капітуляцію."
 ming_surrender_tt:0 "§YУсі провінції, приналежні та підконтрольні Мін у Північному Китаї, будуть окуповані державою [Root.GetName]§!"
 flavor_oir.6.t:0 "Захоплення Пекіна ойратами"
 flavor_oir.6.d:0 "Ойратські варвари захопили Пекін. Ми можемо тільки здатися та прийняти їхні вимоги."
 flavor_oir.6.a:0 "У нас немає іншого вибору."
 flavor_oir.7.t:0 "Імператор помирає в полоні"
 flavor_oir.7.d:0 "Попри всі наші зусилля, імператор Мін помер у нашому полоні. Ми сподівалися, що зможемо використати його як важіль для виконання наших вимог, але, схоже, це вже неможливо."
 flavor_oir.7.a:0 "Ми втратили важіль впливу!"
 mng_militry_incompetence:0 "Військова некомпетентність"
 desc_mng_militry_incompetence:0 "Імператор нерозумно вирішив очолити армії особисто, незважаючи на відсутність військового таланту."
 oir_captured_mng_emperor:0 "Захоплення імператора"
 desc_oir_captured_mng_emperor:0 "Наш правитель захопив імператора династії Мін. Поки він живе, він надихатиме наші армії на великі справи."
 # Misc
 warriors_do_not_read_books:0 "Воїни не читають книги"
 desc_warriors_do_not_read_books:0 "Наш народ присвячує себе військовим питанням на шкоду культурному та адміністративному прогресу."
 IS_NOT_GETTING_EXPELLED_MINORITY:0 "Не стає вигнаною меншістю"
 IS_GETTING_EXPELLED_MINORITY:0 "Стає вигнаною меншістю"
 IS_RULER_NOT_COMMANDING_UNIT:0 "Правитель не командує підрозділом"
 IS_RULER_COMMANDING_UNIT:0 "Правитель командує підрозділом"
 CLEAR_REBELS:0 "Очистити від повстанців провінцію $PROVINCE$"
 # Japanese Missions
 JAP_expand_the_kokka_title:0 "Розширити володіння на Кокка"
 JAP_expand_the_kokka_desc:0 "Наші політичні зусилля підтримує весь клан. Може це й задовольняло попередні покоління, але цього недостатньо для фінансування всіх наших амбіцій. Ми повинні розширити наші володіння!"
 JAP_balance_the_four_divisions_title:0 "Баланс чотирьох частин"
 JAP_balance_the_four_divisions_desc:0 "Суспільство розділене на чотири частини, які повинні бути в ідеальній рівновазі, щоби створити дійсно гармонійну структуру. Цей період, на жаль, є періодом ґекокудзьо, коли в суспільстві навіть нижчий може підвищитися над вищим. Ми повинні знайти спосіб вилікувати це важке захворювання й відновити гармонію."
 JAP_balance_the_four_divisions_tt:1 "§YДва стани§! мають мати §Y60§! або більше лояльності"
 JAP_establish_political_supremacy_title:0 "Здобути політичну перевагу"
 JAP_establish_political_supremacy_desc:0 "Наші прагнення більші, ніж у будь-якого звичайного даймьо. Наш обов'язок, наша доля, – досягти найвищих рівнів влади на землі."
 JAP_issue_new_erizeni_rei_title:0 "Запровадити новий Ерізені-Рей"
 JAP_issue_new_erizeni_rei_desc:0 "Надійні фінанси – основа стабільного уряду. Для підтримки порядку і торгівлі, ми повинні заохочувати постійний приплив добре викарбуваних монет до держави."
 JAP_survey_the_secret_fields_title:0 "Огляд таємних ділянок"
 JAP_survey_the_secret_fields_desc:0 "Дуже часто у провінціях селяни тримають так звані 'таємні поля' – сільськогосподарські угіддя, сховані від очей збирачів податків. Ретельний облік цих незареєстрованих земельних ділянок повинен суттєво сприяти зміцненню здоров'я нашої економіки та нашої скарбниці."
 JAP_construct_the_gokaido_title:0 "Розбудова Гокайдо"
 JAP_construct_the_gokaido_desc:0 "Хоча наших внутрішню опозицію переможено, важливо, щоби ми тримали цих лордів під контролем. Побудова нової мережі доріг та станцій допоможе покращити сполучення між володіннями даймьо та столицею, а також стимулювати місцеву торгівлю на цих маршрутах."
 JAP_permit_ryogaesho_title:0 "Дозволити Райоґешо"
 JAP_permit_ryogaesho_desc:0 "Багато даймьо страждають від нестійких фінансів, внаслідок чого дехто з них не може виплачувати взяті кредити. Надання змоги невеликим пунктам обміну пропонувати більш надійні кредити та підкріплення цих кредитів нашими власними резервами має допомогти стабілізувати їхні фінанси та, можливо, сприяти оздоровленню внутрішньої економіки."
 JAP_pacify_the_north_title:0 "Вгамувати північ"
 JAP_pacify_the_north_desc:0 "Жителі Едзо-ті – це скалка у нас в боці, острів служить базою для розбійників, які роблять набіги на південь, на наших мирних підданих. Ми повинні поширити наше благодатне правління на північ, на цю дику землю і піпіклуватися, щоби тамтешні люди дізналися про переваги нашого шляху."
 JAP_take_the_thousand_islands_title:0 "Захопити Курили"
 JAP_take_the_thousand_islands_desc:0 "Син Небес вимагає, щоб острови на півночі Японії були заселені безземельними ронінами задля спокою імператора."
 JAP_siberian_intervention_title:0 "Сибірська інтервенція"
 JAP_siberian_intervention_desc:0 "Наша причетність до Маньчжурії та Тисячі островів вимагає нового оборонного кордону. Сибірська тайга, можливо, не найпривабливіша земля, але вона забезпечить добру першу лінію оборони проти будь-якого західного загарбника, який захоче напасти на наші заможніші території."
 JAP_sankin_kotai_title:0 "Санкін котай"
 JAP_sankin_kotai_desc:0 "Замість того, щоб просто ув'язнити найгірших лордів, ризикуючи викликати заколот, ми можемо скористатися більш виточеним підходом для їхнього послаблення та інтеграції, зобов'язавши їх регулярно відвідувати столицю. Реалізація політики 'позмінного прибуття на службу' змусить лордів утримувати дві резиденції, – одну у власних землях, та одну в столиці і, звичайно ж, варто очікувати, що вони подорожуватимуть туди-сюди з екстравагантними процесіями. Витрати на все це пустять по вітру всіх, крім найбагатших лордів, що завадить їм накопичити кошти, необхідні для утримання приватної армії. Це також допоможе зміцнити нашу владу в столиці та зробить її набагато привабливішою для придворних та дипломатів."
 JAP_encourage_financial_cliques_title:0 "Заохочення багатих клік"
 JAP_encourage_financial_cliques_desc:0 "Оскільки наша економіка продовжує зростати, неминуче зростає й багатство та сила купецьких станів. Хоча офіційно вони знаходяться на нижніх щаблях соціальної драбини, важко дивитися зверхньо на людей, настільки багатих і досвідчених у фінансових справах. Можливо, настав час активно підтримати цих купців і допомогти їм розвивати ці... як ми назвемо ці торгові конгломерати? 'Дзайбацу'?"
 JAP_emperor_of_china_title:0 "Імператорський мандат"
 JAP_emperor_of_china_desc:0 "Колись Китай називав нас 'карликами', але тепер карликом став він сам! Сину Небес не має рівних; ми повинні відстоювати верховенство Хризантемного трону над усіма іншими правителями."
 JAP_secure_the_pacific_title:0 "Захистити Тихий океан"
 JAP_secure_the_pacific_desc:0 "Зі зростанням нашої сфери впливу зростає й потреба в обороні. Поки ми шукаємо можливості для розширення на заході, потрібно також брати до уваги великі простори на нашому сході – Тихий океан. Хто знає, які загрози можуть прийти з цього напрямку? Було б доцільно затвердити свою владу над островами Тихого океану, щоб інша країна не захопила їх і не завдала удару зі сходу."
 JAP_regulate_the_social_order_title:0 "Регулювати соціальний порядок"
 JAP_regulate_the_social_order_desc:0 "Для запобігання новій добі хаосу, ми повинні переконатися, що кожен знає своє місце в суспільстві. Самураї мають залишатися самураями, купці мають залишатися купцями, селяни мають залишатися селянами, і ніхто не плекатиме смішних ідей про інше."
 JAP_dominate_the_market_title:0 "Домінування на ринках"
 JAP_dominate_the_market_desc:0 "Наша економічна потужність вражає, а престиж не має рівних, але наші люди за кордоном все ще не отримують тієї поваги, на яку справедливо заслуговують."
 JAP_go_to_indochina_title:0 "Індокитайська гегемонія"
 JAP_go_to_indochina_desc:1 "Наше панування не має бути обмежене лише Китаєм – потрібно ще більше розширити межі впливу Імператора, щоб усі могли насолоджуватися нашою сферою співпроцвітання."
 JAP_colonize_california_title:0 "Колонізація Каліфорнії"
 JAP_colonize_california_desc:0 "За морем лежить сповнений можливостей Новий Світ. Дехто навіть шепоче про казково багате королівство, золоту державу, що дозріла для збору. Ми повинні створити бази на тих землях і отримувати прибуток від того, що змогли виявити."
 JAP_siberian_boom:0 "Сибірський бум"
 JAP_gokaido_stations:0 "Станції Гокайдо"
 JAP_gokaido_stations_for_everyone:0 "Кожна підконтрольна провінція в державі отримає модифікатор §YСтанції Гокайдо§! на 20 років, який матиме такі ефекти:\nШвидкість пересування для дружніх військ §G+10.0%§!\nЩомісячна зміна автономії: §G-0.05§!"
 JAP_sankin_kotai_modifier:0 "Санкін котай"
 JAP_social_hierarchy:0 "Регулювання соціальної ієрархії"
 JAP_indochinese_trade:0 "Індокитайські кораблі червоної печатки"
 JAP_trade_hegemon:0 "Торговий гегемон"
 JAP_cadastral_surveys:0 "Кадастрові огляди"
 JAP_currency_regulations:0 "Валютний регламент"
 JAP_sengoku_contender:0 "Претендент Сенґоку"
 JAP_californian_colonization:0 "Держава §Y[Root.GetName]§! або її суб'єкти володіють принаймні однією колонізованою провінцією в регіоні Колоніальна Каліфорнія"
 JAP_build_a_factroy:0 "Збудовано щонайменше §Y12§! мануфактур будь-якого типу в провінціях держави §Y[Root.GetName]§!."
 JAP_toughed_it_out_MoH:1 "Держава §Y[Root.GetName]§! врегулювала всі інциденти, які не відносяться до сьоґунату або більше не сповідує синтоїзм."
 JAP_toughed_it_out_no_MoH:0 "Держава §Y[Root.GetName]§! розібралася з прибуттям киришитянства або більше не сповідує синтоїзм."
 JAP_cn_in_rnw:0 "Особисто або через суб'єкти (за виключенням данників) контролювати §Y10§! провінцій у Новому Світі."
 JAP_no_corruption:0 "Корупція менше §Y0.1%§!."
 # Mandate modifiers
 lost_control_of_beijing:1 "Імператор не володіє та не контролює Пекін"
 desc_lost_control_of_beijing:0 "Наші посягання на Небесний Мандат марні, якщо ми не зможемо втримати Пекін, одне з головних міст Китаю."
 lost_control_of_nanjing:1 "Імператор не володіє та не контролює Нанкін"
 desc_lost_control_of_nanjing:0 "Наші посягання на Небесний Мандат марні, якщо ми не зможемо утримати Нанкін, одне з головних міст Китаю."
 lost_control_of_canton:1 "Імператор не володіє та не контролює Кантон"
 desc_lost_control_of_canton:0 "Наші посягання на Небесний Мандат марні, якщо ми не зможемо утримати Кантон, одне з головних міст Китаю."
 humane_personality:0 "Гуманний"
 desc_humane_personality:0 "Цей правитель – гуманний. Доброта, доброзичливість та непохитна відданість високим моральним цінностям характерні для взаємодії нашого правителя з усіма людьми."
 humane_personality_die_desc:0 "[Root.Monarch.GetHerHisCap] піддані з любов'ю згадуватимуть [Root.Monarch.GetHerHis] співчуття і доброзичливість."
 petty_personality:0 "Дріб'язковий"
 desc_petty_personality:0 "Цей правитель – дріб'язковий. Навіть найтривіальніша дурниця розбурхає такого правителя, і кожна річ, якою б нікчемною вона не була, викликатиме у нього заздрість."
 petty_personality_die_desc:0 "[Root.Monarch.GetHerHisCap] дріб'язковість і заздрість не принесли нашій династії нічого, крім хвороби."
 #Scripted Loc
 plural_country_name:0 "[This.GetAdjective]. [This.GovernmentName]"
 already_has_proper_name:0 "[This.GetName]"
 plural_country_name_CAP:0 "[This.GetAdjective]. [This.GovernmentName]"
 string_noblemen:0 "дворянин"
 string_members_nobility:0 "представник дворянства"
 string_politicians:0 "політик"
 string_clergy_members:0 "член духовенства"
 string_clergymen:0 "священник"
 string_govtname:0 "[This.GovernmentName]"
 string_ruler_adj_and_title:0 "[This.GetAdjective][This.Monarch.GetMEndAYJ] [This.Monarch.GetTitleKHTO]"
 string_ruler_title:0 "[This.Monarch.GetTitle]"
 string_adj_and_regency_council:0 "[This.GetAdjective]а Регентська рада"
 string_regency_council_2:0 "Регентська рада"
 string_ruler_title_and_name:0 "[This.Monarch.GetTitle] [This.Monarch.GetName]"
 string_regency_council_no_cap:0 "регентська рада"
 has_manufactory_trigger_tooltip:0 "Є будь-яка §Yмануфактура§!"
 # Colonial borders event
 pretty_colonial_borders.3.name:0 "Міжколоніальні суперечки"
 pretty_colonial_borders.3.desc:0 "[colonial_country_1.GetName] і [colonial_country_2.GetName] встрягли в запеклу суперечку через провінцію [pretty_colonial_province.GetName]. Попри те, що зараз колонія [colonial_country_1.GetName] володіє цією провінцією, колонія [colonial_country_2.GetName] посилається на власну колоніальну хартію, котра, здається, встановлює їхні права на ці території. Це нещодавно призвело до кількох прикордонних інцидентів за участю місцевого ополчення, яке зібралося недалеко від кордону. Прагнучи уникнути початку військових дій, губернатори колоній обох держав звернулися до [Root.GetTitleOGO] з проханням вирішити суперечку."
 pretty_colonial_borders.3.A:0 "Право на територію має держава [colonial_country_1.GetName]."
 pretty_colonial_borders.3.B:0 "Право на територію має колонія [colonial_country_2.GetName]."
 pretty_colonial_borders.3.B.tooltip:0 "§Y[pretty_colonial_province.GetName]§! і будь-які сусідні провінції, котрими володіє колонія §Y[colonial_country_1.GetName]§! в §Y[colonial_country_2.GеtАdjесtivе]ому§! §Yколоніальному регіоні§! будуть передані колонії §Y[colonial_country_2.GetName]§!."
 #Copied from annex_country
 annex_country_japan:0 "Анексувати державу"
 annex_country_japan_desc:0 "Мета війни – захопити столицю. Ви зможете анексувати цільову державу, навіть якщо інший правитель проти цього."
 #Korean missions
 kor_conquer_changbai_title:0 "Доступ до гори Пекту"
 kor_conquer_changbai_desc:1 "Поколіннями корейці вважали гору Пекту – активний вулкан з великим кратерним озером, відомим як Небесне озеро, яке утворилося в результаті потужного виверження багато років тому – священною. Ми повинні забезпечити доступ до неї Кореї, незалежний від доброзичливості чи ворожнечі маньчжурів."
 kor_seize_southern_manchuria_title:0 "Захопити прикордонні землі"
 kor_seize_southern_manchuria_desc:0 "Ми можемо значно підвищити міцність та безпеку корейського народу, якщо відсунемо маньчжурський кордон назад за межі Корейського півострова, ."
 kor_end_manchuria_title:0 "Кінець Маньчжурії"
 kor_end_manchuria_desc:0 "Відколи ми можемо згадати, маньчжури становили загрозу для корейського народу. Нещодавно ми переломили ситуацію на нашу користь, коли відсунули порубіжжя вглиб їхньої батьківщини. Час переконатися, що вони ніколи не піднімуть голову."
 kor_end_manchu.tooltip:0 "Кожна приналежна провінція в регіоні Маньчжурія отримає модифікатор §YКорейське правління в Маньчжурії§!, який матиме такі ефекти:\n Щомісячна зміна автономії: §G-0.05§!"
 kor_build_army_mission_title:0 "Розбудувати військо до ліміту"
 kor_build_army_mission_desc:0 "Будь-яка країна, що зростає, повинна підтримувати армію адекватних розмірів. Завдяки збільшенню наших військ, ми можемо просувати наші політичні інтереси за кордоном і стимулювати нашу внутрішню економіку."
 kor_harness_seokleon_title:0 "Освоїти сокджон"
 kor_harness_seokleon_desc:2 "Сокджон ('кам'яна битва') – це унікальна командна корейська гра, учасники якої кидають каміння одне в одного. Неминуче високий рівень травматизму серед учасників і глядачів, а також загроза від буйних молодиків, що блукають вулицями, озброєні великими каменюками, викликають бажання заборонити цю традицію. Проте, далекоглядн[Root.Monarch.GetTitleGetMEndAYJ] [Root.Monarch.GetTitleKHTO] перетвори[Root.Monarch.GetTitleGetMEndVLa] би це у вид бойової підготовки для загартування наших військ і гарантій, що вони можуть вистояти перед будь-якою метальною зброєю ворога!"
 kor_expand_hwacha_title:0 "З хвачи, вогонь!"
 kor_expand_hwacha_desc:2 "Хвача – це багаторакетна установка, розроблена нашими інженерами, здатна запускати одночасно 100 ракет – руйнівно проти щільних піхотних формувань. Поповнивши наш арсенал хвачами та розгорнувши їх у наших збройних силах, ми будемо впевнені, що жахливий вогневий вал нашої грізної військової міці прославиться і вжахне всю Азію."
 hwacha_firepower_bonus:0 "Вогнева сила хвачи"
 desc_hwacha_firepower_bonus:2 "Хвача – це багаторакетна установка, розроблена нашими інженерами, здатна запускати одночасно 100 ракет – руйнівно проти щільних піхотних формувань. Її розгортання в наших збройних силах вселить страх у серця наших ворогів!"
 kor_control_yellow_sea_title:0 "Контролювати Жовте море"
 kor_control_yellow_sea_desc:1 "Китайська імперія контролює західні та північні береги Жовтого моря, що дозволяє їй загрожувати доступу на Корейський півострів. Якби Корея могла претендувати на ці території, наша держава значно збільшила б свій достаток."
 kor_yellow_sea:0 "Корейську затоку об'єднано"
 kor_seize_celestial_throne_title:0 "Приручити Дракона"
 kor_seize_celestial_throne_desc:2 "Корея ('ввічливий сусід Китаю на Сході') віддає данину поваги своїм китайським володарям протягом поколінь. Однак багато хто в нашій впливовій корейській державі прагнуть захопити Піднебесний Трон для себе. Якщо це вдасться – це ознаменує початок нової ери Корейської імперії та історії Східної Азії в цілому."
 kor_emperor_of_china:0 "Сходження на Піднебесний Трон"
 desc_kor_emperor_of_china:1 "Після поколінь підпорядкування китайському Небесному імператорові, Корея помінялася з ним ролями та узурпувала його владу. Це знаменує початок нової ери Корейської імперії."
 kor_befriend_ming_title:1 "Китайська дипломатія"
 kor_befriend_ming_desc:0 "Дружба з Китаєм є життєво важливою для виживання корейської нації... принаймні в короткостроковій перспективі."
 kor_chinese_patronage:0 "Заступництво імператора"
 desc_kor_chinese_patronage:0 "Під заступництвом імператора Піднебесної, Корея може процвітати без ризику анексії з боку своїх сусідів."
 kor_fortify_korea_title:0 "Відновлення Північної стіни"
 kor_fortify_korea_desc:2 "Чхоллі чонсон, або 'Стіна довжиною в тисячу лі' – це мережа фортець в північній частині Корейського півострова, побудована нашими предками для захисту нашого народу від манчжурських племен. Вона повинна бути в належному стані, щоби тримати Корею в безпеці."
 kor_built_the_wall:0 "Чхоллі чонсон"
 desc_kor_built_the_wall:2 "Чхоллі чонсон, або 'Стіна довжиною в тисячу лі' – це мережа фортець у північній частині Корейського півострова, побудована нашими предками для захисту нашого народу від манчжурських племен."
 kor_fortify_korea_tooltip:0 "Провінція, яка відповідатиме умовам цієї місії, отримає §Y+2§! до базового числа рекрутів і модифікатор §YЧхоллі чонсон§!, що додасть §G+25%§! до місцевої захищеності."
 kor_fortify_korea_2_title:0 "Королівство відлюдників"
 kor_fortify_korea_2_desc:0 "З огляду на її невеликі розміри та її розташування між могутнішими (коли об'єднані) державами: Китаєм, Японією і Маньчжурією – не дивно, що Корею роками зазнавала атак з боку войовничих сусідів. Тільки зробивши нашу країну неприступною ми зможемо гарантувати їй безпеку від вторгнень."
 kor_built_the_wall_2:0 "Королівство відлюдників"
 desc_kor_built_the_wall_2:1 "Щоб захистити себе від частих вторгнень своїх могутніших сусідів, Корея повинна стати неприступною."
 kor_righteous_army_title:0 "Праведна армія"
 kor_righteous_army_desc:1 "Наше селянство не змириться з розчленуванням Кореї ворогами, хоч би якою безнадійною не здавалася б наша ситуація! Замість підкоритися іноземній окупації, вони, безсумнівно, повстануть проти наших гнобителів і побачать, що свобода Кореї залишилася незаплямованою."
 kor_japanese_piracy_title:0 "Захист від японського піратства"
 kor_japanese_piracy_desc:0 "Японські даймьо традиційно розглядали корейських торговців і торгові порти як багату, беззахисну здобич для свого флоту. Ми повинні гарантувати, що вони вже не є такою спокусливою ціллю."
 kor_foothold_in_japan_title:0 "Закріпитися в Японії"
 kor_foothold_in_japan_desc:1 "Багато хто побоюється, що дуже сильний японський сьоґун може спробувати розширити свою владу за межі японських островів — у цьому випадку Корея, безсумнівно, стане головною ціллю. Якщо ми хочемо уникнути цієї долі, нам доведеться змінити ситуацію та змусити японців оборонятися."
 kor_defeat_shogun_title:0 "Перемогти сьоґуна"
 kor_defeat_shogun_desc:0 "Багата земля Японії дозріла для збору. Якщо ми зможемо захопити Кіото – імператорську столицю Японії – подальший опір нашому завоюванню швидко зникне."
 kor_turtle_ships_title:0 "Корабель-черепаха піднімає вітрила"
 kor_turtle_ships_desc:1 "Наші корабельники накреслили план нового типу важкоброньованого військового корабля. Міцна обшивка з боків і на даху покривають його ніби панцир, чим захищають команду від ракетного вогню, що надихнуло творців назвати його кораблем-черепахою або 'кобуксон'. Страхітливий зовнішній вигляд цього нового військового корабля та сила його оборони гарантують, що перевага морського флоту, так необхідна Кореї, ніколи не зникне!"
 kor_turtle_fleets:0 "Черепаховий флот"
 desc_kor_turtle_fleets:0 "Корабель-черепаха або 'кобуксон', належить до класу великих військових суден, котрі використовував військовий флот Кореї під час японських вторгнень у Корею (1592–1598), де вони відігравали ключову роль у запобіганні досягнення японцями морської переваги, зрештою змусивши їх відступити. Його назва походить від корабельних огороджень з критим дахом, схожим на панцир черепахи.\n\nІноді стверджується, що це були перші військові кораблі із залізною обшивкою, але насправді невідомо, чи були коли-небудь побудовані моделі із залізним покриттям."
 kor_settle_north_title:0 "Заселити північ"
 kor_settle_north_desc:0 "Північні провінції Кьонсон і Юкчин недавно відвойовані в маньчжурських племен. Ми повинні просвітити ці території за допомогою корейських звичаїв і практик."
 kor_settle_general_title:0 "Розширити батьківщину"
 kor_settle_general_desc:0 "Корейський півострів став занадто тісний для нашого народу. Оселяючись на нових територіях, ми можемо розширити батьківщину нашого народу й гарантувати, що корейську культуру не буде втрачено у вирі історії та пісках часу."
 kor_harmonise_shinto_title:0 "У гармонії з Японією"
 kor_harmonise_shinto_desc:0 "Наша влада над японськими територіями не буде повною, доки ми не інтегруємо їхніх людей у культурному, духовному та військовому плані."
 kor_higher_income_title:0 "Успішна економіка"
 kor_higher_income_desc:0 "Ми повинні збільшувати дохід держави всіма можливими шляхами. Будь-яка діяльність держави вимагає грошей: від щоденних витрат уряду – до утримання армій для вторгнення до наших ворогів."
 kor_growing_economy:0 "Економічний ріст" #copied from growing_economy
 desc_kor_growing_economy:0 "Наші зусилля по збільшенню доходів держави справили синергетичний ефект, коли ми можемо отримати більше від інвестицій, якщо об'єднаємо наші дії."
 kor_peasant_struggles_title:0 "Тяжке становище селянства"
 kor_peasant_struggles_desc:0 "Скрутне становище селянства ігнорувалося занадто довго, і тепер загрожує стабільності та процвітанню нашого народу. Ми повинні вжити заходів для полегшення їхньої долі."
 kor_peasant_struggles_mission_tt1:0 "Дострокове виконання цієї місії не допустить подію §YСелянський переворот у Кореї§!."
 kor_peasant_struggles_mission_tt2:0 "Дострокове виконання цієї місії не допустить подію §YПовстання Ім Ккеокьонга§!."
 kor_develop_korea_title:0 "Розвиток Кореї"
 kor_develop_korea_desc:0 "Корейські землі ніколи не були настільки заможні, як сусідній Китай. Ми повинні це змінити, якщо ми хочемо конкурувати на регіональній арені."
 kor_prosperous_korea:0 "Заможна Корея"
 desc_kor_prosperous_korea:0 "Корейський півострів вступив у нову еру покращенного добробуту."
 kor_achieve_juche_title:0 "Корейське самозабезпечення"
 kor_achieve_juche_desc:1 "Майбутнє корейського народу залежить від їхньої політичної, економічної та військової незалежності. Забезпечивши це, ми можемо відкрити нову еру корейської єдності, процвітання і сили."
 korea_in_balance:0 "Корея в гармонії"
 desc_korea_in_balance:0 "Забезпечивши політичну, економічну та військову незалежність Кореї, держава вступила в нову еру гармонії та рівноваги."
 kor_end_factional_strife_title:0 "Звільнення від фракційних конфліктів"
 kor_end_factional_strife_desc:1 "Після першого славного століття царства Чосон, повсюдна фракційна боротьба залишила нашу країну слабкою і розділеною. Правителі не змогли залагодити розбіжності між фракціями, що призвело до періодів запеклої боротьби не на життя, а на смерть. На жаль, кожен раз, коли якась сторона, здається, бере гору, вона раптом розколюється, а підфракції знову атакують одна одну. Ми повинні приборкати цю фракційність і відновити єдність у корейській державі!"
 KOR_has_factional_upheaval_tooltip:1 "Відбулася подія §YПовстання неоконфуціанців§!."
 kor_end_factional_strife_tt:2 "Фракційна боротьба, що вразила державу §Y[Root.GetName]§!, закінчиться."
 kor_develop_capital_title:0 "Розширити столичне місто [Root.Capital.GetCapitalName]"
 kor_develop_capital_desc:0 "Корея — значною мірою сільська країна з декількома великими містами. Дійсно, порівняно з великими містами сусіднього Китаю, навіть найбільше з корейських міст здається просто провінційним містечком. Якщо ми хочемо, щоб нас сприймали серйозно як панівну силу, ми повинні змінити цей стан справ."
 kor_developed_capital:0 "Місто королів"
 desc_kor_developed_capital:0 "Наша столиця виросла по-справжньому велебною слави та гідності корейської нації."
 kor_korean_trade_ports_title:0 "Корейські торгові порти"
