l_ukrainian:
 flavor_ter.1.t:0 "Прянощі мають текти неспинно"
 mnd_bei_conquer_berau_desc:0 "Ми почнемо наше завоювання східного Борнео з нападу на королівство Берау."
 mnd_bei_civil_strife_title:0 "Уникнути громадянського протистояння"
 mnd_bei_civil_strife_desc:0 "Можливість громадянської війни завжди існує, коли не врегульовано престолонаслідування. Ми повинні уникнути такого результату або боротися з його наслідками."
 bei_civil_war_tt:0 "Сталося лихо §YГромадянська війна§!"
 no_bei_civil_war_tt:0 "Не сталося лиха §YГромадянська війна§!"
 mnd_maj_subjects_title:0 "Вимагати відданості"
 mnd_maj_subjects_desc:0 "Колись Маджапагіт правив цілою мережею васалів та данників. Ми повинні домогтися вірності тих королівств, які перебувають під нашою владою, і спробувати відновити втрачені частини нашої старої імперії."
 maj_no_more_subject_liberty_tt:0 "Подія §YНевірність Маджапагіту§! більше не відбуватиметься"
 mnd_maj_stability_title:0 "Відновити порядок"
 mnd_maj_stability_desc:0 "Віра в монархію слабшає, оскільки спадкоємність постійно заперечується. Ми повинні відновити порядок у королівстві та переконати народ, що небезпека минула."
 maj_no_more_pretenders_tt:0 "§YПретенденти§! більше не повставатимуть при кожній зміні влади"
 maj_end_disaster_mission_tt:0 "Лихо §YПадіння Маджапагіта§!  закінчиться"
 mnd_maj_end_disaster_title:0 "Запобігти розпаду"
 mnd_maj_end_disaster_desc:0 "Наш драматичний занепад треба різко повернути назад. Як тільки ми здобудемо трон, свою віру та відданість наших підданих, ми зможемо вийти з темряви."
 mnd_maj_religion_title:0 "Захистити віру"
 mnd_maj_religion_desc:0 "Традиційна індуїстсько-буддійська віра Маджапагіта слабшає, оскільки торговці та мусульмани-завойовники стають все більш впливовими в Нусантарі. Ми повинні домогтися, щоб віра нашого народу була сильною."
 maj_religion_mission_tt:0 "Лихо §YПадіння Маджапагіта§! діяло якнайменше §Y10§! років"
 maj_no_more_bad_religion_events_tt:0 "Подія §YПоширення ісламу§! більше не відбуватиметься і зникне ризик відокремлення частини території від держави."
 maj_no_more_bad_religion_events_tt_2:0 "Ризик відокремлення частини території від держави зник"
 maj_subject_liberty_modifier:0 "Вірність Маджапагіту"
 desc_maj_subject_liberty_modifier:0 "Ми домоглися вірності правлінню Маджапагіта."
 maj_legitimacy_modifier:0 "Легітимність відновлено"
 desc_maj_legitimacy_modifier:0 "Ми відновили віру в державу Маджапагіт і її монархію."
 maj_religion_modifier:0 "Релігійний тріумф"
 desc_maj_religion_modifier:0 "Релігійні розбіжності у Маджапагіті улагоджено."
 mnd_maj_enforce_loyalty_title:0 "Домогтися вірності"
 mnd_maj_enforce_loyalty_desc:0 "Вже замало повного підпорядкування наших васалів. Прийшов час нав'язати справжню відданість."
 mnd_maj_rein_in_malacca_title:0 "Влада над Малаккою"
 mnd_maj_rein_in_malacca_desc:0 "Наші давні суперники, Малакка, стали відомими завдяки жахливому 'флоту скарбів' Чжен Хе, який також поклав край нашій гегемонії в Нусантарі. Ми повинні розтрощити наших суперників і повернути півострів."
 mnd_maj_rein_in_brunei_title:0 "Влада над Брунеєм"
 mnd_maj_rein_in_brunei_desc:0 "Колись Бруней віддано служив Маджапагіту, перш ніж вони кинули нам виклик і створили свою власну імперію. Ми повинні знову поставити їх навколішки."
 mnd_maj_gaja_madas_oath_title:0 "Присяга Гаджі Мади"
 mnd_maj_gaja_madas_oath_desc:0 "Великий державник, Гаджа Мада, заприсягся, що вся Нусантара буде завойована Маджапагітом. Ми пам’ятаємо цю присягу, і ми її виконаємо."
 mnd_maj_subjugate_the_mainland_title:0 "Підкорити материк"
 mnd_maj_subjugate_the_mainland_desc:0 "Навіть Гаджа Мада ніколи не мріяв про те, що одного дня Маджапагіт може домінувати над тайськими та кхмерськими державами. Ми розширимо імперію до небувалих висот, яких ніколи раніше собі не уявляли."
 mnd_maj_negara_agung_title:0 "Негара Агунг"
 mnd_maj_negara_agung_desc:0 "Розширити межі нашої імперії та підкорити нові народи – велике зусилля. Але ми також повинні дбати про благо наших основних територій, Негара Агунг. Наша столиця повинна бути великим містом, осередком торгівлі та культури з усієї Нусантари."
 mnd_maj_chakravarti_title:0 "Чакраварті"
 mnd_maj_chakravarti_desc:0 "Ідеальний монарх править ідеальною державою, матеріальним і духовним центром світу. Маджапагіт стане цією державою."
 mnd_maj_candi_shrines_title:0 "Святині Канді"
 mnd_maj_candi_shrines_desc:0 "По всій Нусантарі розкидано кілька зруйнованих або покинутих храмів Канді змішаного індуїстського та буддистського поклоніння. Ми повинні відновити ці храми, щоб відновити нашу віру."
 mnd_maj_porch_of_mecca_title:0 "Ґанок Мекки"
 mnd_maj_porch_of_mecca_desc:0 "Регіон Ачех став відправною точкою для поширення ісламу в Нусантарі. Ми повинні викорінити цю нову віру і повернути Ачех Маджапагіту."
 no_more_muslims_tt:0 "Жодна країна зі столицею в регіонах §YМалайя§! або §YІндонезія§! не сповідує релігію з §Yмусульманської§! групи"
 all_muslims_tt:0 ""Жодна країна зі столицею в регіонах §YМалайя§! або §YІндонезія§! не сповідує релігію не з §Yмусульманської§! групи"
 mnd_maj_prepare_eastern_campaigns_title:0 "Східні колонії"
 mnd_maj_prepare_eastern_campaigns_desc:0 "Колись Маджапагіт збирав данину з численних дрібних королівств Нуса-Тенґара – Малих Зондських островів. Прийшов час керувати ними більш безпосередньо. Ми повинні зібрати флот і потенціал для колонізації цих островів, щоб підготуватися до нашої кампанії на сході."
 mnd_maj_subjugate_makassar_title:0 "Підпорядкувати Макасар"
 mnd_maj_subjugate_makassar_desc:0 "Наше правління на Сулавесі повністю зазнало краху, і ми повинні це виправити. Зокрема, королівство Макасар стало занадто могутнім, чим нам би хотілося."
 mnd_maj_cloves_title:0 "Панування над Молуккськими островами"
 mnd_maj_cloves_desc:0 "Торгівля гвоздикою є однією з найприбутковіших у світі. Колись Маджапагіт контролював цю торгівлю, коли наша гегемонія була абсолютною, і ми повинні знову досягти цього домінування."
 mnd_maj_sunda_relations_title:0 "Відносини з Сундою"
 mnd_maj_sunda_relations_desc:0 "Колись Маджапагіт мав тісні відносини з сусіднім королівством Сунда, але їх заплямував Гаджа Мада в битві при Бубаті. Ми повинні або спробувати відновити ці стосунки, або припинити чвари, підкоривши Сунду нашому правлінню."
 mnd_maj_fleet_title:0 "Відновити флот"
 mnd_maj_fleet_desc:0 "Колись флоти Маджапагіта були чудовим видовищем, наші могутні кораблі-джонги панували над горизонтом. Флот треба відновити."
 mnd_maj_privateer_china_title:0 "Порушити китайську торгівлю"
 mnd_maj_privateer_china_desc:0 "Коли Чжен Хе зі своїм флотом зі скарбами увійшов до Нусантари, він порушив баланс сил і торгівлі в нашій імперії. Ми повинні відплатити тією самою монетою, відправивши наш новий флот, щоб порушити торгівлю в Китаї."
 mnd_maj_blockade_china_title:0 "Велика блокада"
 mnd_maj_blockade_china_desc:0 "Ми придумали нашу остаточну помсту проти династії Мін: велику блокаду, яка повністю відріже їхні порти від усієї морської торгівлі. Щоб досягти цього, нам знадобиться вся наша морська відвага, але ми впевнені, що в нас достатньо чисельності та навичок, щоб провести Велику блокаду."
 majapahit_respected:0 "Відродження Маджапагіта"
 desc_majapahit_respected:0 "Імперія Маджапахіт увійшла в період відродження."
 negara_agung:0 "Негара Агунг"
 desc_negara_agung:0 "Серце імперії населене та захищене."
 maj_colony_modifier:0 "Потенційна колонія Маджапагіта"
 desc_maj_colony_modifier:0 "Це місце чудово підходить для колонізації Маджапагітом."
 maj_trade_modifier:0 "Торгова імперія Маджапагіта"
 desc_maj_trade_modifier:0 "Наші торговці мандрують далеко, щоб принести багатство нашому народові."
 maj_privateer_china:0 "Зрив китайської торгівлі"
 desc_maj_privateer_china:0 "Ми наказали нашим каперам якнайбільше перешкоджати китайській торгівлі."
 maj_china_trade:0 "Зрив китайської торгівлі"
 desc_maj_china_trade:0 "Ми наказали нашим каперам якнайбільше перешкоджати китайській торгівлі."
 maj_great_blockade:0 "Велика блокада"
 desc_maj_great_blockade:0 "Колосальна дерев'яна стіна повністю загородить узбережжя Китаю, перекриваючи всі морські подорожі та торгівлю."
 maj_religious_unity:0 "Релігійний мир"
 desc_maj_religious_unity:0 "Ми прагнемо релігійного миру в нашій країні."
 is_buddhist_tt:0 "Сповідує §Yбуддизм§!"
 follows_buddha_tt:0 "Дотримується вчення §YБудди§!"
 majapahit_cb_1_tt:0 "Дає casus belli §YКампанії Маджапагіта§! проти держав з  §Yмалайською§! основною культурою"
 majapahit_cb_2_tt:0 "Дає casus belli §YКампанії Маджапагіта§! проти держав з §Yкитайською§! технологічною групою"
 majapahit_cb_3_tt:0 "Дає casus belli §YКампанії Маджапагіта§! проти §Yвсіх держав§!"
 buddha_deity_tt:0 "Відкриває §YБудду§! як особисте божество"
 propagate_religion_maj_tt:0 "Відкриває торгову політику §YПоширення релігії§!\nВаші §Yгіндуїстські§! провінції стають несприйнятливими до торгової політики §YПоширення релігії§!"
 maj_china_coast_claims_tt:0 "§Y[Root.GetName]§! отримає довічні претензії на всі §Yприбережні§! прибережні провінції на субконтиненті §YКитай§!"
 VASSAL_MISSION_WAR_NAME_MAJ:0 "$ORDER$$FIRST$ кампанія проти $SECOND_NAME$"
 cb_vassalize_majapahit:0 "Кампанії Маджапагіта"
 cb_vassalize_majapahit_desc:0 "Імперія Маджапагіт, яка знаходилася на межі краху, відновилася та готова вести свої поневолювальні кампанії."
 cb_vassalize_malacca:0 "Кампанії Малакки"
 cb_vassalize_malacca_desc:0 "Малакка зайняла місце Маджапагіта як гегемона Нусантари. Ми підкоримо будь-кого, хто протистоїть нам."
 maj_reduced_lib_desire:0 "Вимушена вірність"
 desc_maj_reduced_lib_desire:0 "Ми вірні нашим володарям, Маджапагіту"
 indonesia_palopo_iron_title:0 "Залізо Палопо"
 indonesia_palopo_iron_desc:0 "Сулавесі названо на честь багатих покладів заліза. З нашого боку було б нерозумно не використати ці ресурси, побудувавши збройову мануфактуру."
 indonesia_banjar_textiles_title:0 "Банджарський текстиль"
 indonesia_banjar_textiles_desc:1 "Банджарське виробництво текстилю процвітає. Ми повинні заохочувати цю галузь, побудувавши текстильну мануфактуру."
 indonesia_lampung_pepper_title:0 "Лампунгський перець"
 indonesia_lampung_pepper_desc:0 "Південний регіон Суматри відомий тим, що вирощує величезну частину світового перцю. Ми повинні забезпечити максимальні врожаї, заснувавши у Лампунгу факторії."
 indonesia_moluccan_cloves_title:0 "Молуккська гвоздика"
 indonesia_moluccan_cloves_desc:0 "Гвоздика є одним з найцінніших товарів у світі. Якби ми змогли отримати монополію на гвоздику, ми б стали надзвичайно багатими."
 indonesia_sea_cucumbers_title:0 "Морські огірки"
 indonesia_sea_cucumbers_desc:0 "Торговці з Сулавесі розповідають про острів на півдні, де люди збирають морські огірки. Ми повинні відкрити цей острів і або торгувати цим цінним товаром, або силою захопити його виробництво."
 indonesia_trade_dominance_title:0 "Торгове панування"
 indonesia_trade_dominance_desc:0 "У Нусантарі успіх імперії вимірюється її здатністю контролювати торгівлю."
 indonesia_spice_must_flow_title:0 "Прянощі тектимуть рікою"
 indonesia_spice_must_flow_desc:0 "Ми повинні досягти повного домінування над торгівлею прянощами, як у виробництві, так і збуті."
 indonesia_navy_title:0 "[Root.GetAdjective]ий флот"
 indonesia_navy_desc:0 "Вести піші завойовницькі походи в цьому регіоні практично неможливо. Ми повинні підтримувати потужний флот галер і достатню кількість транспортних кораблів, щоб перевозити наших солдатів."
 indonesia_convert_island_title:0 "Релігійне навернення"
 indonesia_convert_island_desc:0 "Релігійний ландшафт Нусантари змінюється, і не завжди в наших інтересах. Ми повинні подбати про те, щоб люди нашого регіону дотримувалися істинної віри."
 indonesia_convert_island.tooltip:0 "Усі провінції нашого острова повинні сповідувати §Y[Root.Religion.GetName]§!."
 indonesia_convert_region_title:0 "Релігійне навернення"
 indonesia_convert_region_desc:0 "Поширювати віру – наш святий обов'язок. Уся Нусантара повинна пізнати світло Божественне."
 obj_convert_60_provinces_tooltip_tt:0 "Принаймні 60 провінцій у регіонах §YІндонезія§!, §YМалайя§! і/або §YМолукка§! повинні сповідувати §Y[Root.Religion.GetName]§!."
 obj_convert_20_provinces_tooltip_tt:0 "Навернули принаймні 20 провінцій у цьому регіоні."
 indonesia_vassals_title:0 "Васальні королівства"
 indonesia_vassals_desc:0 "Ми не повинні розширюватися лише шляхом прямого завоювання. Ми також повинні підкорити інші королівства і збирати з них данину."
 indonesia_expel_europeans_title:0 "Вигнати європейців"
 indonesia_expel_europeans_desc:0 "Європейські держави – небажані гості у Нусантарі. Ми не підемо на жодні нерівні торгові угоди та не приймемо жодних оманливих обіцянок про захист. Ми їх виженемо."
 indonesia_best_trade_node_title:0 "Торгова перевага"
 indonesia_best_trade_node_desc:0 "Малаккська протока буде не просто однією зупинкою на морському шовковому шляху. Ми зробимо нашу батьківщину центром світової торгівлі."
 indonesia_unite_nusantara_title:0 "Об'єднати Нусантару"
 indonesia_unite_nusantara_desc:0 "Усі острівні народи мусять об'єднатися в єдину націю."
 malay_united_nusantara:0 "Об'єднана Нусантара"
 desc_malay_united_nusantara:0 "Ми всі – Нусантара."
 indonesia_invade_the_mainland_title:0 "Вторгнутися на материк"
 indonesia_invade_the_mainland_desc:0 "Тепер, коли ми зібрали всю силу Нусантари, ми можемо націлитися на материк, де зруйновані королівства дозріли для завоювання."
 malay_military_domination:0 "Військове панування"
 desc_malay_military_domination:0 "Ми пануватимемо не лише над морями."
 malay_galleys:0 "Галерна війна"
 desc_malay_galleys:0 "Ми стали експертами у використанні малих суден у морських боях."
 indonesia_trade_dominance:1 "Торгове панування Індонезії."
 desc_indonesia_trade_dominance:0 "Ми досягли комерційної панування в Нусантарі."
 indonesia_spice_must_flow:0 "Прянощі тектимуть рікою"
 desc_indonesia_spice_must_flow:0 "Наше виробництво прянощів не має собі рівних."
 malay_vassal_income:0 "Стягування данини"
 desc_malay_vassal_income:0 "Ми стягуємо данину з підкоренних нами держав."
 malay_convert_cost_modifier:0 "Прихильники віри"
 desc_malay_convert_cost_modifier:0 "Багато наших людей стають священниками, добровільно поширюючи віру там, де вона слабка."
 malay_tolerance_own:0 "Релігійне панування"
 desc_malay_tolerance_own:0 "Наші євангельські зусилля зміцнюють серця тих, хто слідує вірі."
 palopo_iron:0 "Залізо Палопо"
 desc_palopo_iron:0 "На Сулавесі легко можна видобути залізо."
 banjar_textiles:0 "Банджарський текстиль"
 desc_banjar_textiles:0 "Ми розвинули текстильну промисловість у Банджарі."
 lampung_pepper:0 "Лампунгський перець"
 desc_lampung_pepper:0 "Регіон Лампунг виробляє велику кількість перцю у світі."
 clove_boom:0 "Гвоздичний бум"
 desc_clove_boom:0 "Ми збільшили виробництво гвоздики на Молуккських островах."
 tiwi_sea_cucumbers:0 "Морські огірки"
 desc_tiwi_sea_cucumbers:0 "Острів Тіві використовується для збору морських огірків, якими торгують навіть у Китаї."
 no_europeans_in_indonesia_tt:0 "Жодна §Yєвропейська§! держава не володіє будь-якою провінцією в регіоні §YМалайя§! або §YІндонезія§!."
 cha_reconquer_indrapura_title:0 "Відвоювати Індрапуру"
 cha_reconquer_indrapura_desc:0 "Міста Індрапура і Кандарапура впали від в'єтнамської навали. Ми повинні звернути назад цю тенденцію та повернути міста."
 cha_conquer_vietnam_title:0 "Підкорити В'єтнам"
 cha_conquer_vietnam_desc:0 "Загарбників Дай В'єту потрібно не тільки відкинути, але й підпорядкувати нашій владі, щоб гарантувати, що вони більше ніколи не становитимуть загрози для Чампи."
 cha_subjugate_highlands_title:0 "Підпорядкувати нагір'я"
 cha_subjugate_highlands_desc:0 "Високогірні племена ухиляються від влади будь-якої держави. Треба познайомити їх із цивілізацією."
 cha_navy_title:0 "Чампський флот"
 cha_navy_desc:0 "Чампа – морське королівство, але в'єтнамське вторгнення змусило нас зосередитися на суші. Нам треба відновити торговий флот."
 cha_malay_connections_title:0 "Малайські зв'язки"
 cha_malay_connections_desc:0 "Чам – малайський народ, але ми ізольовані від більшої частини малайського світу. Ми повинні відновити наші зв'язки, уклавши союз з однією з нових мусульманських держав у Нусантарі."
 champa_tt:0 "Будь-яка держава-союзниця з §Yмалайської§! культурної групи, що сповідує §Yсунізм§! і має принаймні §Y50§! загального розвитку"
 cha_prey_on_khmer_title:0 "Напасти на кхмерів"
 cha_prey_on_khmer_desc:0 "Кхмерська імперія оговтується від тайського вторгнення. Ми повинні використати цю можливість, щоб розграбувати їхню нову столицю та заявити права на Меконг."
 cha_tondo_expedition_title:0 "Похід до Тондо"
 cha_tondo_expedition_desc:0 "Ми повинні розпочати військовий похід до Тондо, поклавши початок морській імперії Чампа."
 cha_expedition_to_the_east_title:0 "Східні походи"
 cha_expedition_to_the_east_desc:0 "Ходять чутки про великий континент на сході, дозрілий для дослідження та освоєння. Ми повинні організувати експедицію та підтвердити правдивість цих чуток."
 opinion_champa_islam:0 "Прийняли іслам"
 opinion_champa_hindu:0 "Непохитні гіндуїсти"
 flavor_cha.1.t:0 "Іслам у Чампі"
 flavor_cha.1.d:0 "Завдяки нашим відновленим зв'язкам із малайською торговельною мережею ми все більше контактуємо з мусульманами. Султани та торговці закликають нас прийняти їхню віру, що, безперечно, зміцнить наші стосунки з нашими новими союзниками."
 flavor_cha.1.a:0 "Іслам нам підходить."
 flavor_cha.1.b:0 "Ми дотримуватимемося старих звичаїв."
 cham_culture_resurgent:0 "Відродження чамської культури"
 desc_cham_culture_resurgent:0 "Чамська культура зараз розквітла, коли ми звільнилися від загрози в'єтнамського вторгнення."
 cham_maritime_state:0 "Морська держава Чампа"
 desc_cham_maritime_state:0 "Чампа значною мірою покладається на морську торгівлю, і ми майстерно її опанували."
 champa_expeditions:0 "Чампські походи"
 desc_champa_expeditions:0 "Наші дослідники починають прокладати шляхи до східних земель."
 bli_independence_title:0 "Набути незалежність"
 bli_independence_desc:0 "Надто довго Балі платив данину невдячним володарям Маджапагіта. Якщо ми коли-небудь захочемо досягти величі нашої держави, ми повинні скинути ярмо своїх володарів."
 bli_colony_1_title:0 "Експансія на схід"
 bli_colony_1_desc:0 "Нам слід придивитися до островів Ломбок і Сумбава на сході як до цілей наших перших завоювань, тому що місцеві королівства надто слабкі, щоб протистояти нашому правлінню."
 bli_majapahit_refugees_title:0 "Біженці з Маджапагіта"
 bli_majapahit_refugees_desc:0 "Оскільки імперія Маджапагіт наближається до повного розпаду, багато дворян тікають з Яви. Нам слід прийняти їх на Балі, щоб покращити наше становище."
 bli_majapahit_reconquest_title:0 "Претензії на Яву"
 bli_majapahit_reconquest_desc:0 "Знатні родини, яких ми запросили на Балі, все ще стверджують, що претендують на свої землі на Яві. Ми повинні вдертися на Яву від їхнього імені та встановити там свою владу."
 bli_colonies_modifier:0 "Балійські колонії"
 desc_bli_colonies_modifier:0 "Ми розширили наше королівство до Ломбока та Сумбави, але немає жодних причин, щоб ми не могли заснувати колонії далі."
 bli_majapahit_refugees:0 "Біженці з Маджапагіта"
 desc_bli_majapahit_refugees:0 "Ми прийняли дворян з Маджапагіта, які радо готові служити у нас при дворі."
 atj_propagate_religion_tt:0 "Торгова політика §YПоширення релігії§! тепер потребує лише §Y35%§! торгового впливу у вузлі"
 atj_holy_war_cb_sumatra_tt:0 "Дає casus belli §YМеч ісламу§! проти держав-§Yчужовірців§! з основною §Yсуматранською§! культурою"
 atj_holy_war_cb_java_tt:0 "Дає casus belli §YМеч ісламу§! проти держав-§Yчужовірців§! з основними §Yяванською§! або §Yсундською§! культурами"
 atj_holy_war_cb_moluccas_tt:0 "Дає casus belli §YМеч ісламу§! проти держав-§Yчужовірців§! з основними §Yсулавеською§! або §Yмолуккською§! культурами"
 atj_holy_war_cb_neighbors_tt:0 "Дає casus belli §YМеч ісламу§! проти §всіх сусідніх країн-чужовірців§!"
 atj_sumatra_islam_tt:0 "Усі країни з основною §Yсуматранською§! культурою приймуть §Yіслам§!"
 atj_java_islam_tt:0 "Усі країни з основними §Yяванською§! або §Yсундською§! культурами приймуть §Yіслам§!"
 atj_moluccas_islam_tt:0 "Усі країни з основними §Yсулавеською§! або §Yмолуккською§! приймуть §Yіслам§!"
 atj_porch_of_mecca_modifier:0 "Ґанок Мекки"
 desc_atj_porch_of_mecca_modifier:0 "Наша країна взяла на себе завдання поширити іслам на всю Нусантару."
 atj_porch_of_mecca_title:0 "Ґанок Мекки"
 atj_porch_of_mecca_desc:0 "Під час хаджу прочани приходять до [Root.GetTagOGO], щоб знайти шлях до Мекки. Ми повинні прийняти цих прочан і підтримати добрі стосунки з улемами."
 atj_sumatra_islam_title:0 "Ісламізувати Суматру"
 atj_sumatra_islam_desc:0 "Багато міст-держав на Суматрі вже прийняли іслам. Ми повинні виконати завдання – донести істину Аллаха до всього острова."
 atj_java_islam_title:0 "Ісламізувати Яву"
 atj_java_islam_desc:0 "На Яві вже існує багато мусульманських громад, і їхні правителі покладаються у веденні торгівлі на мусульманських торговців. Ми покажемо їм, як безглуздо відмовлятися від прийняття ісламу."
 atj_moluccas_islam_title:0 "Ісламізувати Молукку"
 atj_moluccas_islam_desc:0 "Народи Сулавесі та Молуккських островів досі сповідують свою давню язичницьку віру. Ми повинні знищити їхніх фальшивих ідолів."
 cb_sword_of_islam:0 "Меч ісламу"
 cb_sword_of_islam_desc:0 "Ці чужовірці надто далеко відійшли від шляху Аллаха. Ми вкажемо їм шлях."
 SWORD_OF_ISLAM_WAR_NAME:0 "$ORDER$$FIRST$ джихад проти $SECOND_NAME$"
 atj_sublime_porte_title:0 "Блискуча Порта"
 atj_sublime_porte_desc:0 "Османський султан є наймогутнішим правителем у мусульманському світі. Ми повинні домагатися його прихильності в надії отримати допомогу."
 atj_conquer_aceh_title:0 "Об'єднати Ачех"
 atj_conquer_aceh_desc:0 "Ачех розділений між панівним султанатом Пасай та новоз'явленим султанатом Ачех. Вони обидва мають бути об’єднані в єдиний султанат."
 atj_sumatra_campaign_title:0 "Суматранська кампанія"
 atj_sumatra_campaign_desc:0 "Нашим першочерговим імперським пріоритетом має стати встановлення верховенства на Суматрі."
 atj_peninsula_campaign_title:0 "Півострівна кампанія"
 atj_peninsula_campaign_desc:0 "Утвердившись на Суматрі, ми можемо звернути увагу на багаті торгові порти півострова."
 atj_sublime_port:0 "Допомога Блискучої Порти"
 desc_atj_sublime_port:0 "Ми справили на османського султана досить сильне враження, і він надсилає нам допомогу."
 mnd_dai_control_the_army_title:0 "Контроль над армією"
 mnd_dai_control_the_army_desc:0 "Арміями Дай В'єту досі командують знатні сім'ї. Ми повинні поставити армію під контроль держави."
 mnd_dai_curtail_noble_families_title:0 "Обмежити владу дворян"
 mnd_dai_curtail_noble_families_desc:0 "Суперницькі знатні династії домагаються трону. Їхній вплив необхідно обмежити, а повноваження держави розширити."
 mnd_dai_prevent_division_title:0 "Запобігти поділу"
 mnd_dai_prevent_division_desc:0 "Ми не можемо допустити, щоб Дай В'єт став жертвою династичних міжусобиць. Ми залишимося єдиним народом, сильним і стабільним."
 prevent_dai_disaster_tt:0 "Подія-катастрофа §YПівнічна та Південна династії§! ніколи не станеться"
 mnd_dai_examination_system_title:0 "Відновити іспити"
 mnd_dai_examination_system_desc:0 "Конфуціанська система іспитів за останні десятиліття занепала. Ми повинні ще раз підтвердити свою відданість освіченій та ефективній бюрократії."
 mnd_dai_defy_ming_title:0 "Кинути виклик Мін"
 mnd_dai_defy_ming_desc:0 "Ле Лой вигнав тиранів Мін з Дай В'єту, але вони все ще відчувають себе господарями на нашій землі. Ми повинні показати Мін, що не будемо вклонятися імператору в Пекіні."
 mnd_dai_conquer_canton_title:0 "Підкорити Кантон"
 mnd_dai_conquer_canton_desc:0 "Наше завоювання Китаю розпочнеться з міста Гуанчжоу. Потрібно почекати, поки хватка Мін на півдні ослабне, щоб вони не змогли нічого протиставити нашому наступу."
 mnd_dai_mandate_of_heaven_title:0 "Претендувати на мандат"
 mnd_dai_mandate_of_heaven_desc:0 "Мандат нелегко зберегти, а Мін показали, що вони його не гідні. Прийшов час новому імператорові та новій династії зайняти трон."
 mnd_dai_cham_conquest_title:0 "Підкорити Чампу"
 mnd_dai_cham_conquest_desc:0 "Ми досягли багатонадійних успіхів на землях чамів, але завоювання ще не завершене. Ми маємо остаточно розгромити чамів і повністю інтегрувати землі Чампи у Дай В'єт."
 mnd_dai_great_march_south_title:0 "Великий південний похід"
 mnd_dai_great_march_south_desc:0 "Хватка нашої імперії повинна поширюватися ще південніше, до дельти Меконгу, де все ще панує занепала Кхмерська імперія."
 mnd_dai_subjugate_cambodia_title:0 "Підпорядкувати Камбоджу"
 mnd_dai_subjugate_cambodia_desc:0 "Кхмерська імперія віджила свій вік. Колись могутня, зараз вона занепала і зневірилася. Її народу буде краще під нашою владою."
 mnd_dai_muang_phuan_title:0 "Влада над Муанг Фуань"
 mnd_dai_muang_phuan_desc:0 "Муанг Фуань – маленьке королівство, що користується прихильністю Дай В'єта та Лан Ксанга. Такий стан справ незадовільний; вони мають вибрати нас."
 mnd_dai_lxa_title:0 "Підпорядкувати Лан Ксанг"
 mnd_dai_lxa_desc:0 "Лаоське королівство вже давно було для нас як шипка в боці. Прийшов час видалити цей шип."
 mnd_dai_lna_title:0 "Підпорядкувати Ланну"
 mnd_dai_lna_desc:0 "Земля мільйона рисових полів дозріла для завоювання, і незабаром голодні [Root.GetAdjective]і роти зможуть насолодитися її багатими дарами."
 mnd_dai_siam_title:0 "Підпорядкувати Сіам"
 mnd_dai_siam_desc:0 "Якби Сіам міг, він правив би імперією, що охоплювала б усю Азію. Ми не можемо дозволити їм досягти цієї гегемонії, бо це наша власна доля."
 mnd_dai_japan_relations_title:0 "Відносини з Японією"
 mnd_dai_japan_relations_desc:0 "Відомо, що домагтися прихильності японських володарів важко, але й винагорода за це буде велика."
 mnd_dai_purchase_arms_title:0 "Придбання зброї на Заході"
 mnd_dai_purchase_arms_desc:0 "Виготовлення артилерії дороге й займає багато часу, а європейські торговці, здається, мають її в надлишках. Ми повинні домовитися про закупівлю зброї для [Root.GetTagOGO]."
 dai_arms_tt:0 "Будь-яка §Yєвропейська§! держава з §Yзахідною§!, §Yсхідною§! або §Yанатолійською§! технологічною групою та провінціями в суперрегіоні §YІндонезія§! змінить думку про [Root.GetTagOGO] щонайменше на §Y100§!"
 mnd_dai_temples_title:0 "Віра і навчання"
 mnd_dai_temples_desc:0 "У Конфуція і Будди є багато чого мудрого, чого треба навчитися. Ми повинні заснувати храми, через які можна було б поширювати цю мудрість."
 mnd_dai_universities_title:0 "Державна освіта"
 mnd_dai_universities_desc:0 "Система іспитів надійна, але багато хто ніколи не зможе взяти участь через безграмотність. Ми повинні покращити рівень освіти в нашій країні."
 mnd_dai_imperial_citadel_title:0 "Імперська цитадель"
 mnd_dai_imperial_citadel_desc:0 "Ми повинні зробити так, щоб наша столиця була взірцем слави та багатства, де велика імперська цитадель утверджує могутність держави."
 dai_discipline:0 "Контроль над армією"
 desc_dai_discipline:0 "Армія більше не контролюється знатними родинами, які служать власним інтересам."
 dai_curtailed_nobles:0 "Знать ослаблено"
 desc_dai_curtailed_nobles:0 "Ми обмежили владу знаті."
 dai_stability:0 "Неподільність"
 desc_dai_stability:0 "Ми створили єдину державу, яку не розідрати розсвареним родинам."
 dai_discipline_permanent:0 "Імперські завоювання"
 desc_dai_discipline_permanent:0 "Наші численні кампанії у Південно-Східній Азії навчили нас цінувати дисципліновану армію."
 dai_japan_relations:0 "Відносини з Японією"
 desc_dai_japan_relations:0 "Ми досягли міцних відносин з правителями Японії."
 dai_arms_trade:0 "Придбання зброї на Заході"
 desc_dai_arms_trade:0 "Ми домовилися про закупівлю артилерії в європейських держав."
 dai_harmonization:0 "Релігійна гармонія"
 desc_dai_harmonization:0 "У нашій державі є місце для багатьох конфесій, якщо вони підтримують державу."
 dai_learning:0 "Монастирське навчання"
 desc_dai_learning:0 "Будда може нас багато чому навчити."
