l_english:
 ###ETH FLAVOR EVENTS###
 flavor_eth.29.t:0 "The Itinerant Capital of [Root.GetName]"
 estate_church_integrated_school:0 "Надати вченому місцеву резиденцію"
 estate_church_integrated_school_desc:0 "By granting a scholar from a foreign country a residence within our borders we can assure access to his knowledge without the need of political affairs."
 estate_nobles_neighbor_raids:0 "Neighbor Raid"
 estate_nobles_neighbor_raids_desc:0 "Manpower is not a guaranteed good for any state. By granting the [Root.GetNobilityOrFallbackName] the means to control the subjugated forces, we can assure new gains of manpower for the [Root.GovernmentName]."
 estate_nobles_decentralized_tribe:0 "Децентралізована конфедерація"
 estate_nobles_decentralized_tribe_desc:0 "The state of [Root.GetName] is made of several vassal states, all governed by the [Root.GetNobilityOrFallbackName]. The internal tribes may have less leeway than normal vassals, but the absolutism of the ruler is without a doubt undermined unless centralization efforts are made."
 estate_nobles_decentralized_tribe_tt:0 "[Root.GetNobilityOrFallbackName] втрачає цей привілей через отримання привілею '§YВідкликаний привілей племені§!'."
 estate_nobles_tribe_unification:0 "Відкликаний привілей племені"
 estate_nobles_tribe_unification_desc:0 "[Root.GetName] receives grand centralization efforts, revoking the privileges of the ruling [Root.GetNobilityOrFallbackName]. While the power of the confederate tribes within [Root.GetName] is still undeniable, it makes room for the complete centralization of the [Root.GovernmentName] and the strengthening of the authority of the [Root.Monarch.GetTitle]."
 estate_nobles_tribe_unification_tt:0 "[Root.GetNobilityOrFallbackName] втрачає цей привілей через отримання привілею '§YЦентралізовані племена§!'."
 estate_nobles_tribe_centralization:0 "Централізація племен"
 estate_nobles_tribe_centralization_desc:0 "Прийшов час розпустити племінну конфедерацію та централізувати владу!"
 can_not_have_tributaries:0 "We are not able to establish §YTributary States§!."
 estate_nobles_grant_power_to_the_bashorun:0 "Надати владу Башоруну"
 estate_nobles_grant_power_to_the_bashorun_desc:0 "Башорун є лідером стану [Root.GetNobilityOrFallbackName] і тримає владу [Root.Monarch.GetTitleOGO] під контролем. Надавши Башоруну додаткові повноваження щодо управління та організації, ми можемо забезпечити стабільність [Root.GetTagOGO] навіть під час правління непридатних правителів."
 ###TRADE MODIFIER###
 ETH_CONTROL_OVER_GATE_OF_TEARS:0 "Контроль над Баб аль-Мандабом"
 MALI_IVORY:0 "Малійська слонова кістка"
 ###SCRIPTED EFFECTS AND TRIGGERS###
 unlock_privilege_estate_burghers_control_over_the_mint_tt:0 "[Root.BurghersNZ_CAP] отримують прівелей '§YКонтрольований видобуток золота§!'"
 unlock_privilege_estate_nobles_cawa_peace_keepers_tt:1 "[Root.GetNobilityOrFallbackName] отримують прівелей '§YВикористання миротворців чава§!'."
 unlock_privilege_estate_nobles_cawa_offensive_fighters_tt:0 "[Root.GetNobilityOrFallbackName] отримують прівелей '§YВикористання завойовників чава§!'."
 mal_add_disaster_stability_tt:1 "Дає §G1§! стабільності (або §G50§! адміністративних балів, якщо у вас вже є 3 стабільності), якщо активно лихо §YЗанепад Малі§!."
 set_prestige_to_zero_tt:0 "Престиж держави [This.GetName] дорівнюватиме §Y0§!."
 enable_cult_for_heirs_tt:0 "Спадкоємці більш пом'якшену версію §Yкульта§!."
 disable_cult_for_heirs_tt:0 "§RСпадкоємці більше не можуть обрати більш пом'якшену версію §Yкульта!.§!"
 unlock_cult_through_selection_tt:0 "Розблокуйте §Yкульт§! на ваш вибір.\nКульти інших релігій вимагають, щоб ми спочатку дізналися про їхнє існування, щоб розблокувати їх."
 enable_development_on_buildings_built_tt:0 "Будівництво необоронних будівель §Yзбільшить§! розвиток провінції.\nОднак руйнування будівель, збудованих під час дії цього ефекту, зупинить розвиток."
 enable_primary_cult_tt:1 "Увімкніть використання §Yосновного культу§!, що збільшить силу культу та усуне втрату стабільності після смерті монарха, але заборонить використання інших культів.\nОсновні культи можна міняти місцями кожні §Y50§! років."
 disable_primary_cult_tt:0 "Вимкніть використання §Yосновного культу§!, що дозволить використання інших культів."
 select_primary_cult_yemoja_cult_tt:0 "§YЙемайя§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Йемайї.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_roog_cult_tt:0 "§YРуг§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Руга.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_nyame_cult_tt:0 "§YНьяме§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Ньяме.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_cwezi_cult_tt:0 "§YСвезі§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Свезі.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_central_african_ancestor_cult_tt:0 "§YМліра§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Мліри.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_mwari_cult_tt:0 "§YМварі§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Мварі.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_enkai_cult_tt:0 "§YЕнгаї§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Енгаї.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_waaq_cult_tt:0 "§YВаак§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Ваака.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_zanahary_cult_tt:0 "§YЗанахарі§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Занахарі.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_christianity_cult_tt:0 "§YХристиянство§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Християнствоа.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_islam_cult_tt:0 "§YІслам§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Іслама.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_buddhism_cult_tt:0 "§YБуддадхарма§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Буддадхарми.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_dharmic_cult_tt:0 "§YСанатана Дгарма§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Санатана Дгарми.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_south_central_american_cult_tt:0 "§YТеотль§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Теотля.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_norse_cult_tt:0 "§YФрея§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Фрейї.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_jewish_cult_tt:0 "§YМаздаясна§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Маздаясни.[Root.GetHeirPrimaryCultFeature]"
 select_primary_cult_zoroastrian_cult_tt:0 "§YГайманот§! стає нашим §Yосновним культом§!.\nІнші культи стають недоступними, але ми не зазнаємо втрати стабільності після смерті нашо[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO]. Крім того, посилено модифікатори Гайманота.[Root.GetHeirPrimaryCultFeature]"
 empty_text:0 ""
 primary_cults_for_heirs_tt:0 "\n§YКультом нашого спадкоємця завжди буде наш основний культ§!"
 has_a_primary_cult_selected_tt:0 "Обрано §Yосновний культ§!."
 unlock_privilege_estate_church_one_faith_one_culture_tt:0 "Обрано привілей [Root.ChurchRD] '§YРелігійна культура§!'"
 increase_same_religion_opinion_tt:0 "Кожна країна з модифікатором думки '§YОднакова релігія§!' збільшить свою думку про [Root.GetTagKUDY] на §G+25§!."
 remove_increase_same_religion_opinion_tt:0 "Буде вилучено додатковий бонус до модифікатора думки '§YОднакова релігія§!'."
 INCOME_FROM_WORKSHOPS_DESC:0 "з майстерень та контор."
 unlock_privilege_estate_dhimmi_guarantee_of_traditions_tt:0 "Привілеї [Root.GetDhimmiName] '§Гарантовані права релігійних меншин§!' і '§YЗбільшення автономії зіммі§!' будуть замінені на привілей '§YГарантовані традиції§!'."
 add_increase_opinion_of_fetishists_tt:0 "Думка кожної країни, що сповідає §Yфетишизм§!, про [Root.GetTagKUDY] збільшиться на §G+40§!."
 add_increase_opinion_of_fetishists_when_same_religion_tt:0 "Думка кожної країни, що сповідає §Yфетишизм§!, про [Root.GetTagKUDY] збільшиться на §G+40§! доки [Root.GetName] сповідатиме фетишизм."
 add_temporary_colonist_tt:1 "Колоніст буде доступний, поки ми НЕ розблокуємо ще одного колоніста за допомогою будь-якої ідеї."
 disable_annexation_penalty_tt:0 "Буде §Yвилучено§! штраф до дипломатичної репутації через §YАнексування суб'єктів§!."
 enable_propogate_religion_effect_tt:1 "Дозволяє використання торгової політики '§YПоширення релігії§!'."
 disable_propogate_religion_effect_tt:1 "Виключає використання торгової політики '§YПоширення релігії§!'."
 enable_propogate_religion_immunity_tt:1 "На провінції [Root.GetTagOGO] більше не впливатиме торгова політика '§YПоширення релігії§!'."
 disable_propogate_religion_immunity_tt:1 "Провінції [Root.GetTagOGO] знову зазнають впливу торгової політики '§YПоширення релігії§!'."
 enable_propogate_religion_in_abrahamic_provinces_tt:1 "Торгова політика '§YПоширення релігії§!' тепер може навертати §Yюдейські§!, §Yхристиянські§! та §Yмусульманські§! провінції."
 disable_propogate_religion_in_abrahamic_provinces_tt:1 "Торгова політика '§YПоширення релігії§!' більше не може навертати §Yюдейські§!, §Yхристиянські§! та §Yмусульманські§! провінції."
 enable_annexation_penalty_tt:0 "Буде §Yповернуто§! штраф до дипломатичної репутації через §YАнексування суб'єктів§!."
 enable_cult_switching_tt:0 "Відкриває рішення, що дозволяє змінювати свій активний культ кожні §Y20§! років за §Y25§! легітимності."
 disable_cult_switching_tt:0 "Виключає рішення, що дозволяє змінювати свій активний культ кожні §Y20§! років за §Y25§! легітимності."
 disable_scholar_cost_tt:1 "Для запрошення вченого більше не потрібні §Yадміністративні бали§!."
 enable_scholar_cost_tt:0 "Для запрошення вченого знову потрібні §Yадміністративні бали§!."
 disable_baseline_invite_scholar_tt:0 "Для запрошення вчених знову потрібні дипломатичні відносини."
 enable_baseline_invite_scholar_tt:0 "Вчений обраної релігійної школи стає постійним резидентом [Root.GetTagOGO], усуваючи дипломатичні відносини, необхідні для запрошення вченого.\nВідкриває рішення, що дозволяє змінити одного вченого на другого з іншої школи кожні §Y20§! років."
 enable_capital_slave_raid_tt:0 "[Root.GetName] отримуватиме число рекрутів від §G0.1 року§! приросту при окупації ворожої фортеці.\nКількість отримуваних рекрутів залежить від рівня фортеці (+0.1 років приросту рекрутів за кожний рівень фортеці).\n\nЦей ефект відбуватиметься лише раз у §Y5 років§! з однією й тією ж фортецею."
 disable_capital_slave_raid_tt:0 "Окупація фортець більше не даватиме рекрутів [Root.GetTagOMU]."
 enable_slave_raid_pillage_tt:0 "Розграбування столиць також даватиме [Root.GetTagOMU] рекрутів, число яких дорівнюватиме §G1 року§! приросту."
 disable_slave_raid_pillage_tt:0 "Розграбування столиць більше не даватиме рекрутів"
 disable_stab_hit_on_ruler_death_tt:0 "Смерть нашого правителя більше не призведе до втрати §Yстабільності§!."
 enable_stab_hit_on_ruler_death_tt:0 "Смерть нашого правителя знову призведе до втрати §Yстабільності§!."
 enable_tributary_state_use_tt:0 "Дозволить мати §Yданників§!."
 disable_tributary_state_use_tt:0 "Забороняє мати §Yданників§!."
 unlock_privilege_estate_nobles_grant_power_to_the_bashorun_tt:0 "[Root.GetNobilityOrFallbackName] зможе отримати привілей '§YНадати владу Башоруну§!'."
 unlock_merc_oyo_cavalry_tt:0 "Можна буде найняти компанію найманців §YКавалерія Ойо§!."
 has_completed_one_adm_idea_group:0 "Завершено одну групу §Yадміністративних§! ідей."
 has_completed_one_dip_idea_group:0 "Завершено одну групу §Yдипломатичних§! ідей."
 has_completed_one_mil_idea_group:0 "Завершено одну групу §Yвійськових§! ідей."
 ###DISASTER###
 decline_of_mali:0 "Занепад Малі"
 ###BUILDINGS###
 building_temple_jewish:0 "Синагога"
 building_cathedral_jewish:0 "Велика синагога"
 ###IDEAS###
 horn_of_african_ideas:0 "Ідеї Африканського Рогу"
 horn_of_african_ideas_start:0 "Традиції Африканського Рогу"
 horn_of_african_ideas_bonus:0 "Амбіції Африканського Рогу"
 ###DECISIONS###
 bulgaria_nation_title:0 "Відновити Болгарію"
 bulgaria_nation_desc:0 "Since the fall of the Second Bulgarian Empire the Bulgarians have been slaves of foreign powers and had rarely anything to say.\nThe time has come to change this, to liberate the Bulgarians and restore Bulgarian glory!"
 swap_primary_cult_title:0 "Switch Primary Cult"
 swap_primary_cult_desc:0 "The [Root.Monarch.GetTitle] of our [Root.GovernmentName] has the authority to select a new Primary Cult for [Root.GetName]. Choosing so will however upset our people."
 swap_primary_cult_tt:1 "Has not switched the Primary Cult within the last §Y50§! years."
 ###MAL DECISIONS###
 colonize_tuat_decision_title:0 "Колонізувати провінцію [1127.GetName]"
 colonize_tuat_decision_desc:0 "We can settle the province [1127.GetName] and send some of our people there. This will allow us to have a direct connection to the Maghreb."
 colonize_djado_and_tajarhi_decision_title:0 "Колонізувати the Corridor"
 colonize_djado_and_tajarhi_decision_desc:1 "[2474.GetName] and [2475.GetName] are vital connections between Sahel and Maghreb. By resettling some of our people we can claim this corridor for ourselves."
 mal_purchase_trade_colony_title:0 "Purchase Trade Colony"
 mal_purchase_trade_colony_desc:0 "While the Europeans are not very trusting towards our kind, our gold will allow us to convince them anyway to sell one of their provinces to us.\nWe should however make sure that our relation with the target country is somewhat good though."
 mal_purchase_trade_colony_tt:1 "§YWe will be able to ask the owner of one of five selected provinces to purchase the mentioned province from them.\nThe chance of the owner to sell their province to us depends on their opinion of us. The lower it is, the more unlikely they are to sell the desired province to us.§!"
 can_use_propagate_religion_tt:1 "Is allowed to use §YПоширення релігії§!."
 has_reached_level_2:0 "Досягли §Y2§! рівня державних реформ."
 has_reached_level_3:0 "Досягли §Y3§! рівня державних реформ."
 has_reached_level_4:0 "Досягли §Y4§! рівня державних реформ."
 has_reached_level_5:0 "Досягли §Y5§! рівня державних реформ."
 has_reached_level_6:0 "Досягли §Y6§! рівня державних реформ."
 has_reached_level_7:0 "Досягли §Y7§! рівня державних реформ."
 has_reached_level_8:0 "Досягли §Y8§! рівня державних реформ."
 has_reached_level_9:0 "Досягли §Y9§! рівня державних реформ."
 has_reached_level_10:0 "Досягли §Y10§! рівня державних реформ."
 enables_focus_on_armies_tt:0 "Enables '§YFocus on Professional Army§!' Decision."
 no_more_comet_sighted_event_tt:0 "The [Root.GetAdjective] people live now in a more enlightened time."
 allow_baseline_invite_scholar_privilege_tt:0 "The scholar gives following bonus if invited:"
 allows_every_time_invite_of_hanafi_school:0 "Дозволяє запросити вченого з §Yханафітського мазгаба§! без дипломатичних відносин."
 allows_every_time_invite_of_hanbali_school:0 "Дозволяє запросити вченого з §Yханбалійського мазгаба§! без дипломатичних відносин."
 allows_every_time_invite_of_maliki_school:0 "Дозволяє запросити вченого з §Yмалікійського мазгаба§! без дипломатичних відносин."
 allows_every_time_invite_of_shafii_school:0 "Дозволяє запросити вченого з §Yшафіїтського мазгаба§! без дипломатичних відносин."
 allows_every_time_invite_of_ismaili_school:0 "Дозволяє запросити вченого з §Yісмаїлітського мазгаба§! без дипломатичних відносин."
 allows_every_time_invite_of_jafari_school:0 "Дозволяє запросити вченого з §Yджафаритського мазгаба§! без дипломатичних відносин."
 allows_every_time_invite_of_zaidi_school:0 "Дозволяє запросити вченого з §Yзейдитського мазгаба§! без дипломатичних відносин."
 hanafi_school_bonus_tt:0 "Вартість адміністративних технологій: §G-5.0%§!"
 hanbali_school_bonus_tt:0 "Вплив агресивного розширення: §G-10.0%§!"
 maliki_school_bonus_tt:0 "Ціна розвитку: §G-10.0%§!"
 shafii_school_bonus_tt:0 "Торговці: §G+1§!"
 ismaili_school_bonus_tt:0 "Річна зміна легітимності: §G+1.00§!"
 jafari_school_bonus_tt:0 "Втрати від натиску: §G+10.0%§!"
 zaidi_school_bonus_tt:0 "Втрати від натиску Received: §G-10.0%§!"
 ###CUSTOM LOCALIZATION###
 ZERO:0 "0"
 NUM_OF_CONVERTED_PROVINCES_COUNTER:0 "[Root.num_converted_religion.GetValue]"
 ###JEWISH MECHANICS###
 JEWISH_ASPECTS_LONG:0 "Доктрини Тори"
 JEWISH_ASPECTS_SHORT:0 "доктрина"
 JUDAISM_HAS_ADM_ASPECT:0 "Активна інша £adm£ §Yдоктрина§!."
 celebrate:0 "Святкування фестивалю"
 judaism_rosh_hashanah_aspect:0 "Фестиваль Рош га-Шана"
 desc_judaism_rosh_hashanah_aspect:0 "£adm£ §Yдоктрина§!\n§YСвяткування фестивалю§! дає нам §G+1§! стабільності.\n\nПопри те, що наш народ прожив багато років під гнітом фараонів, він ніколи не втрачав ні почуття себе, ні віри в Бога, і швидко утвердився як нація покинувши Єгипет."
 judaism_simchat_torah_aspect:0 "Фестиваль Сімхат Тора"
 desc_judaism_simchat_torah_aspect:1 "£adm£ §Yдоктрина§!\n§YСвяткування фестивалю§! дає нам §G+20§! до прогреса реформ, §G+5§! до легітимності (або її еквівалента для інших урядів) і §G+5§! до рівня прав спадкоємця.\n\nТора є священним писанням юдаїзму і містить перші п’ять книг юдейської Біблії. Вона також є джерелом наших найсвятіших законів і традицій і володіє знаннями, які є для нас дуже цінними."
 judaism_sukkot_aspect:0 "Фестиваль Суккот"
 desc_judaism_sukkot_aspect:2 "£adm£ §Yдоктрина§!\n§YСвяткування фестивалю§! дає нам §G0.3§! років прибутку і зменшує інфляцію на §G-1§!.\n\nСуккот – це юдейське свято, яке має велике значення, оскільки це одночасно символ врожаю, а також символ нашого зв'язку з Божою волею. Протягом цього періоду робота або заборонена, або обмежена."
 judaism_communities_aspect:0 "Юдейська громада"
 desc_judaism_communities_aspect:1 "£dip£ §Yдоктрина§!\nПідконтрольні, не §Yюдейські§! провінції зазнають штрафів як §YНе визнана культура§! та §YОднакова культурна група§! поки ця доктрина активна.\n\nПротягом століть юдейський народ становив меншість у багатьох провінціях і країнах. Хоча цей статус зробив життя невиправдано суворішим, він принаймні сприяв створенню великого почуття спільності в юдаїзмі, навіть подоланню культурних відмінностей, з якими стикалися б інші релігії."
 jewish_abrahamic_aspect:0 "Авраамове коріння"
 desc_jewish_abrahamic_aspect:0 "£dip£ §Yдоктрина§!\nКожна підконтрольна §Yхристиянська§! або §Yмусульманська§! провінція більше не зазнаватиме штрафів за неправильну релігію та зменшить місцевий внесок до релігійної єдності на §G-100.0%§! і місцеву ефективність місіонерів на §R-100.0%§!.\n\nУ євреїв, християн і мусульман можуть бути розбіжності, але зрештою всі наші релігії можуть бути пов'язані з великим Авраамом. Через це християни та мусульмани в нашій державі розглядаються як брати – навіть якщо їхній шлях відрізняється від нашого."
 judaism_diplomatic_rabbi_aspect:0 "Home of the Jews"
 desc_judaism_diplomatic_rabbi_aspect:0 "£dip£ §Yдоктрина§!\nEvery non-Theocratic §YChristian§! or §YMuslim§! country will get an opinion of §G+35§! of us.\n\nWe are a beacon for our people and as such we attract many Jews from foreign countries into our nation. As a side effect, the Christians and Muslims are glad that their "Unwanted Ones" are in our home."
 judaism_yom_kippur_aspect:0 "Йом-Кіпур"
 desc_judaism_yom_kippur_aspect:2 "£mil£ §Yдоктрина§!\nWhile at war, our country gets §G+10.0%§! Швидкість поповнення новобранців and §G+5.0%§! Faith Power. This effect is doubled if we are in a §Ydefensive§! war instead.\n\nThe holiest of our days, the Yom Kippur is a day of atonement for our transgressions and repentance for our sins. During Yom Kippur, every Jew is expected to fast, confess and pray, often while servicing in the synagogue."
 judaism_remember_passover_aspect:0 "Пам'ятати про Песах"
 desc_judaism_remember_passover_aspect:2 "£mil£ §Yдоктрина§!\nSieges of our own fallen forts start with §G+2§! Siege Progress in our favor. Winning sieges against hostile forts gives us §G+5§! Faith Power.\n\nThe Passover is a major holiday in Judaism and a reminder of the time of our people under the Egyptians - and our liberation from them. Every person shall remember the endurance the people of our past had shown, and that every victory deserves celebration."
 judaism_purim_teachings_aspect:0 "Вчення Пуріма"
 desc_judaism_purim_teachings_aspect:1 "£mil£ §Yдоктрина§!\nEvery won battle reduces War Exhaustion by §G-0.05§!. Every won war grants us §G+10§! Faith Power.\n\nPurim is a Jewish holiday, and serves as a memorial for the saving of our people from Haman of the Achaemenid Persian Empire. As such we remember and honor the endurance of our people during difficult times, and live by their example."
 ###OPINION###
 diplomatic_rabbi_opinion:0 "Авраамічний зв'язок"
 diplomatic_rabbi_opinion_reverse:0 "Авраамічний зв'язок"
 increased_fetishist_opinion:0 "Фетишистський зв'язок"
 increased_same_religion:0 "Брати по вірі"
 increased_religion_opinion:0 "Релігійна думка"
 same_government_opinion:0 "Той самий уряд"
 zul_let_the_zulu_alone:0 "Станьмо незалежними"
 hau_military_support:0 "Надали нам військову допомогу"
 hau_refused_to_help:0 "Відмовлялися нам допомагати"
 zan_has_embassy:0 "Приняли наше посольство"
 zan_declined_embassy:0 "Відмовились від нашого посольства"
 msi_accepts_muslims:0 "Надали привілеї нашим братам по вірі"
 ###DECISIONS###
 kongo_nation_title:0 "Відновити королівство Конго"
 kongo_nation_desc:1 "The tribal kingdom of Kongo was once the major regional power and the name giver to the Kongo region. With its fall and with nobody left replacing them, a void has emerged in the Kongo region, which is now attracting the Europeans and other foreigners to exploit. It is time to fill this void ourselves and continue the legacy of the kingdom!"
 ethiopia_nation_title:0 "Відновити спадщину Соломона"
 ethiopia_nation_desc:1 "The empire of Ethiopia is the spiritual successor of the Aksumite Empire, the home of the son of the legendary king Solomon and the queen of Sheba and the defender of the Coptic faith. Their fall has been a tragedy for the Ethiopian Coptic faith, but the spirit of Ethiopia still lives on - waiting to be revived by a worthy successor like us!"
 set_focus_on_professional_army_title:0 "Акцент на професійну армію"
 set_focus_on_professional_army_desc:0 "With the [Root.Monarch.GetName]'s ascension to the throne, the military is awaiting the resources needed for focusing on a more impactful yet smaller army."
 set_focus_on_professional_army_ct:1 "The military did NOT receive a focus during §Y[Root.Monarch.GetName]§!'s lifetime in the last §Y20 years§!."
 send_the_shaman_to_a_foreign_country_title:0 "Send the Shaman to foreign Cults"
 send_the_shaman_to_a_foreign_country_desc:0 "We can send the shaman of our [Root.GovernmentName] to a country with a foreign cult in order to study the religious and cult practices of said country."
 zulu_nation_ct:0 "Provocate the local Nguni people, which might result into the creation of §Y[ZUL.GetName]§! prematurely."
 federal_kingdoms_gather_the_armies_tt:0 "Королівства Конфедерації зберуть свої війська в наступні §Y6 місяців§!, що призведе до збільшення числа рекрутів на §Y1000§! від базової кількості рекрутів в провінціях з §Y[Root.Culture.GetName]ою§! культурою.\nПриріст рекрутів залежить від §Yмодифікаторів числа рекрутів§!.\nКожна провінція з §Y[Root.Culture.GetName]ою§! культурою отримає §R+20.0%§! місцевої автономії."
 federal_kingdoms_internal_royal_marriage_tt:0 "Королівства Конфедерації організують шлюб в наступні §Y6 місяців§!, завдяки чому буде укладено внутрішній династичний шлюб, що матиме такі ефекти в наступні §Y20 років§!:\nРівновага лояльності [Root.GetNobilityOrFallbackName]: §G+10.0%§!\nВплив [Root.GetNobilityOrFallbackName]: §Y+5.0%§!\nШанс на спадкоємця: §G+100.0%§!"
 federal_celebrate_rituals_together_tt:0 "Королівства Конфедерації підготують фестиваль в наступні §Y6 місяців§!, що призведе пізніше до зросту стабільності на §G+1§!.\nКожна провінція з §Y[Root.Culture.GetName]ою§! культурою отримає §R+10.0%§! місцевої автономії."
 federal_gain_tribal_allegiance_tt:0 "Королівства Конфедерації висловлять свою вірність [Root.Monarch.GetName] протягом наступних §Y6 місяців§!, що призведе до збільшення племінної відданості на §G+3§! і зростання місцевої автономії на §R+5.0%§! у кожній провінції з §Y[Root.Culture.GetName]ою§! культурою."
 has_adopted_any_cult:0 "Has adopted any §YCult§!."
 switch_active_cult_decision_title:0 "Choose a new Cult"
 switch_active_cult_decision_desc:0 "The faith of [Root.Religion.GetName] is not a rigid one with only one deity. We believe in a collection of different deities and cults, who worship said deities. From time to time it is necessary for a ruler to change the focus of worship for the country though. With the help of our [Root.GetClergyName] we can swap the focus quite easily."
 switch_permanent_scholar_title:0 "Replace Resident Scholar"
 switch_permanent_scholar_desc:0 "Sometimes the teachings of a certain school are no longer of value for our state. In cases like that it is recommended to expel the foreign scholar and replace him with a scholar from a more beneficial school.\nAnd thanks to the connections of our [Root.GetClergyName] we will not even suffer any penalty in our foreign diplomacy."
 invest_into_the_seven_cities_title:0 "Invest into the Seven Cities"
 invest_into_the_seven_cities_desc:0 "The Seven Cities of the Hausa are of great importance in our cultural history. We can invest into the prosperity of these cities to resurrect their regional and cultural importance for our state."
 zulu_nation_title:0 "Militarize the Nguni"
 zulu_nation_desc:0 "The armies of [Root.GetName] are splendid. But it can be better. By equipping the local Nguni and militarizing their people we assure hundreds of new recruits for the [Root.GetAdjective] [Root.GovernmentName]."
 aksumite_nation_title:0 "Відновити Аксум"
 aksumite_nation_desc:0 "The elders tell the tale of the ancient and powerful Kingdom of Aksum and its mighty king, Kaleb, who ruled the Red Sea unopposed and was known as Saint Elesbaan. Now we are finally ready to write a new chapter in history by taking the mantle of our forefathers and reclaiming their past glory."
 great_zimbabwe_nation_title:0 "Відновити Зімбабве"
 great_zimbabwe_nation_desc:0 "Rejoice! The great stone city is populated again, its buildings rebuilt and its strength regained! It is now time for us to raise its banner high and let the world know that Great Zimbabwe is again the shining jewel of Africa that it once was."
 hausa_nation_title:0 "Об'єднати Хауські держави"
 hausa_nation_desc:0 "After many years of feuds and wars shattering the land, the old rivalries are finally quenched and peace has been reached. The sons of Bawo are again reunited under the same banner. It is time for the Hausa to rise as one again!"
