l_ukrainian:

 revolution.30.name:0 "[Root.philosopher_dude.GetName] фонтанує ідеями"
 republics.102.A.revolution:0 "Хай їхнє правління буде недовгим і успішним!"
 republics.102.A.revolution.tooltip:0 "§YКомітет громадської безпеки (2/2/2) прийде до влади. Це перепинить вибори, поки республіканські традиції залишатимуться нижче 50.§!"
 elections.700.caretaker:0 "З поверненням певною мірою нормального життя в Республіці, Комітет громадської безпеки погодився піти у відставку й дозволити проведення виборів. Було висунуто три основні кандидати на посаду [Root.Monarch.GetTitleOGO]."
 pirates.1.desc3:0 "Безпеку [Root.GovernmentOGO] було забезпечено, Рада заколотників загрузла у сварках і чварах, і врешті-решт розпустилася. Команди були зібрані для обрання нов[Root.Monarch.GetMEndOjiOgo] [Root.Monarch.GetTitleOGO].\n\n[Root.Monarch.GetTitle] править нацією злодіїв і вбивць, єдине політичне бажання яких – взагалі не мати ніякого уряду. Це завдання, порівнянне з випасом акул, але якась смілива чи безрозсудна душа повинна виконувати цю роль."

 center_of_revolution.1000.name:0 "Місце народження революції"
 center_of_revolution.1000.desc:0 "Філософ з міста [Root.GetCapitalName], [Root.first_center_revolutionary_philosopher.GetName], опублікував декілька трактатів, які критикують нерівність в державі [Root.Owner.GetUsableName] і закликають до нового 'суспільного договору'. Оскаржуючи божественне право монархів правити так, як вони вважають за потрібне, він проголошує, що суверенітет тримається на людях і що остаточна влада над законами та політикою країни повинна належати їм.\n\nЙого тези дуже популярні серед середнього класу підприємців і літераторів, які почали поширювати його ідеї за допомогою брошур, котрі закликають до мобілізації населення проти абсолютної влади. Вже зараз вони завойовують своїх прихильників по всьому континенту [Root.GetContinentName], зароджуючи перші іскри революції."
 center_of_revolution.1000.A:0 "Це похитне поточний стан речей..."
 center_of_revolution.1001.name:0 "Смолоскип Революції знову запалено"
 center_of_revolution.1001.desc:1 "Після провалу революційних зусиль у місті [first_revolution_center.GetCapitalName], усталений порядок на континенті [Root.GetContinentName] зітхнув з полегшенням, думаючи, що виклик їхньому статусу подоланий і все може нормалізуватися. Однак тепер здається, що це було передчасно: середній клас у місті [Root.GetCapitalName] прийняв революційні ідеали, що проповідує  [first_revolution_center.first_center_revolutionary_philosopher.GetName] і прагне домогтися успіху там, де їхні попередники зазнали невдачі, звільнивши третій стан від надлишків абсолютної влади."
 center_of_revolution.1001.A:1 "Їх чекає та ж доля, що й місто [first_revolution_center.GetCapitalName]!"
 center_of_revolution.1001.B:0 "Хай живе революція!"
 center_of_revolution.1500.name:0 "Кінець революції"
 center_of_revolution.1500.desc:0 "Війська держави [From.GetUsableName] повністю розтрощили [Root.GetAdjective]у революційну армію! Оскільки ідеалістів нещадно винищують, мовчазна більшість почала витирати пил зі своїх старих монархічних символів."
 center_of_revolution.1500.A:0 "Хай живе король!"

 center_of_revolution.2000.name:0 "Обмежити торгівлю зерном?"
 center_of_revolution.2000.desc:0 "Торговці зерном вже давно страждають від жорстких обмежень на їхню діяльність, у тому числі від контролю цін і перевірки чистоти їхніх товарів. Вони виступили з пропозицією значно збільшити свій прибуток – і, у свою чергу, наші податкові надходження – від торгівлі зерном шляхом реалізації політики невтручання, по суті знявши більшість накладених на них обмежень.\n\nОднак інші відзначають, що ці обмеження лише гарантують людям більш-менш їстівну їжу за доступними цінами; і що багато хто вважає торговців зерном 'найбезжальнішими ворогами народу', які змішують борошно з крейдою або подрібнюють кістки й активно роздмухують ціни, щоб заробити гроші на стражданнях людей. У такому випадку може виявитися ризиковано давати торговцям зерном повну свободу дій..."
 center_of_revolution.2000.A:0 "Хай вони роблять, як їм заманеться."
 center_of_revolution.2000.B:0 "Немає необхідності змінювати діючі домовленості."
 center_of_revolution.2001.name:0 "Борошняні війни"
 center_of_revolution.2001.desc:0 "Минула зима була особливо суворою, а весняний врожай поки залишає бажати кращого. Запаси зернових культур в державі [Root.GetUsableName] вичерпані; люди стикаються з голодом. Торговці зерном погіршили ситуацію, обмеживши свої постачання в надії, що ціни будуть рости. Гнів на [Root.Monarch.GetTitleOGO] поширюється як лісова пожежа, оскільки агітатори нагадують людям про [Root.Monarch.GetHerHis] нещодавнє рішення послабити обмеження, накладені на торговців зерном – обмеження, які, як вони стверджують, запобігли б виникненню такої ситуації. Вони вимагають скасувати реформи та розподілити зерно людям, щоб полегшити їхні страждання."
 center_of_revolution.2001.A:0 "Ми не можемо терпіти ці страждання – робіть як вони кажуть!"
 center_of_revolution.2001.B:0 "Економічний лібералізм – це майбутнє, ми не повинні стояти на шляху прогресу."
 laissez_faire_grain_trade:0 "Торгівля зерном за принципом Laissez-Faire"
 desc_laissez_faire_grain_trade:0 "Ми відпустили віжки продавцям зерна, щоб отримати якомога більше прибутку від продажу борошна."
 revolutionary_sentiment_warning:0 "§RВибір цього варіанту збільшить ймовірність виникнення Центру революції [Root.Get_UV] [Root.GetTagDE].§!\n"
 laissez_faire_grain_trade_tooltip:0 "Усі наші провінції, які виробляють §YЗерно§! та належать до §Y[Root.Culture.GetGroupName]ої§! культурної групи отримають приріст §G+50%§! до ефективності місцевого виробництва на наступні 5 років."
 laissez_faire_grain_trade_removed_tooltip:0 "Модифікатор "§YТоргівля зерном за принципом Laissez-Faire§!" видаляється з усіх провінцій §Y[Root.Culture.GetGroupName]§! культурної групи, які виробляють §YЗерно§!."

 center_of_revolution.2002.name:0 "[Root.GetAdjective]ий національний борг"
 center_of_revolution.2002.desc:0 "Безперервні конфлікти та слабка економіка в сукупності призвели до того, що борг [Root.Monarch.GetTitleOGO] досяг високого рівня й багато хто побоюється, що його ніколи не буде погашено. Оскільки обслуговування цих боргів займає дедалі більшу частину національного бюджету, для пошуку рішення було скликано раду міністрів. Хоча всі виключають дефолт як бажаний варіант, деякі виступають за підвищення податків, тоді як інші зазначають, що це було б непопулярно серед простого народу, а натомість віддають перевагу більш масштабним реформам для покращення [Root.GetAdjective]их бюджетних процесів."
 center_of_revolution.2002.A:0 "Вищі податки допоможуть повернути наші борги."
 center_of_revolution.2002.B:0 "Відповідь криється у фінансових реформах."
 revolution_higher_taxes_for_debts:0 "Надзвичайні податки"
 desc_revolution_higher_taxes_for_debts:0 "Державний борг повинен бути погашений коштом важкої праці простих людей."
 revolution_administrative_reforms:0 "Бюджетні реформи"
 desc_revolution_administrative_reforms:0 "Завдяки амбітній програмі бюджетних реформ, впевненість у фінансовий сектор поступово зростає."

 center_of_revolution.2003.name:0 "[Root.Adm_Advisor.GetName] проводить реформи"
 center_of_revolution.2003.desc:0 "Потреби сучасної абсолютистської держави набагато більші за потреби наших предків. Особливо це стосується державних фінансів. Тому пощастило, що ми найняли видатного фінансового реформатора, який має повну довіру фінансового сектору.\n\nОднак нещодавно [Root.Adm_Advisor.GetName] поча[Root.GetAAEndVLa] бажати більшого. Вимагаючи всеосяжних повноважень для впровадження нових політик,  [Root.Adm_Advisor.GetSheHe] пропонує амбітний комплекс реформ, які можуть виявитися корисними не тільки для держави, а й, безумовно, підвищать престиж нашого міністра фінансів..."
 center_of_revolution.2003.A:0 "Дайте [Root.Adm_Advisor.GetHerHim] повну свободу дій."
 center_of_revolution.2003.B:0 "Неприпустимо! Вигнати [Root.Adm_Advisor.HerHis] з нашої адміністрації!"

 center_of_revolution.2010.name:0 "Вимоги третього стану"
 center_of_revolution.2010.desc:0 "Протягом останніх років [Root.BurghersNZ] все більше не вдоволені своїм статусом у державі [Root.GetUsableName]. Попри те, що їхній внесок до скарбниці через податки на виробництво і торгівлю становить більшу частину доходів держави, вони мають недостатній вплив на керування нею. Насправді, вони з тривогою дивилися на те, як [Root.Monarch.GetTitleKHTO] прокладає шлях до все більшої централізації королівської влади, обмежуючи можливості стримувань і противаг, котрі колись могли нав'язати [Root.Monarch.GetHerHim] стани.\n\nТепер вони висунули вимоги про скасування деяких абсолютистських реформ останніх років і надання їм додаткових земель як компенсації за їхній внесок. У разі відмови їхнє розчарування посилиться, а довіру до [Root.GetGovernmentOGO] буде зруйновано."
 center_of_revolution.2010.A:0 "Поступіться їхнім вимогам."
 center_of_revolution.2010.B:0 "Ми з цим не погоджуємося."

 has_parliament_with_at_least_one_seat:0 "Держава §Y[Root.GetName]§! має парламент, де є щонайменше одне місце"

 reactionaries_failed:0 "Провал реакційних сил"
 desc_reactionaries_failed:0 "Вкорінені реакційні сили в цій державі вели запеклу громадянську війну, щоб перешкодити революціонерам прийти до влади. Хоча в кінцевому підсумку вони зазнали невдачі, нація, як і раніше, розділена на тих, хто підтримував революцію і тих, хто виступав проти неї."

 revolution.1.A:0 "Ми повинні поставити цих випанків на місце!"
 revolution.1.B:0 "Можливо, вони праві..."
 revolution_disaster_go_for_it_tooltip:0 "Держава §Y[Root.GetName] стане революційною республікою. Реакціонери намагатимуться скасувати цю зміну.§!\n"
 the_revolution_will_succeed:0 "§YРеволюція вдасться\n§!"
 revolution.9.won_revolution:0 "З перемогою наших революційних сил безладдя останніх років підійшло до кінця. Тепер ми можемо сподіватися на світліше майбутнє для народа [Root.GetTagOGO]."
 revolution.9.lost_revolution:0 "Солдатів Революції булп розчавлено! Тепер наш народ повинен змиритися з подальшим правлінням [Root.Monarch.GetTitleOGO]..."
 revolution.9.won_reactionary:0 "Ми придушили цих випанків-революціонерів! Влада [Root.Monarch.GetTitleOGO] тепер беззаперечна..."
 revolution.9.lost_reactionary:0 "От лихо! Революціонери-випанки перемогли законний уряд нашої держави. Зрештою, можливо, стабільність минулих часів повернеться."
 revolution.9.A:0 "Радіймо перемозі!"
 revolution.9.B:0 "Принаймні конфлікт закінчився..."
 add_as_much_revolutionary_zeal_as_you_can_take:0 "Революційне завзяття [Root.Get_UV] §Y[Root.GetTagDE]§! встановлено на максимум."
 remove_revolution_from_all_provinces:0 "Революційні настрої видаляються з усіх приналежних провінцій.\nВоно не повернеться до них, поки ми ними володіємо."
 french_revolution.10.name:0 "Наслідки республіканських воєн"
 french_revolution.11.name:0 "Люди втомилися від війни"
 french_revolution.12.name:0 "Наші скрині порожні"
 french_revolution.13.name:0 "Стан фінансів республіки"
 french_revolution.14.name:0 "Поширення опозиції в Республіці"
 french_revolution.15.name:0 "Республіка в смуті"
 french_revolution.16.name:0 "Поширення розчарування в Республіці"
 french_revolution.18.e:0 "Принаймні закінчився цей конфлікт..."
 french_revolution.18.f:0 "Радіймо перемозі!"

 center_of_revolution.1600.name:0 "Революціонерів переможено"
 center_of_revolution.1600.desc:0 "Поразка революційних сил [From.Get_UV] [From.GetTagDE] – це серйозний удар по їхній справі. Через їхню нездатність зробити переворот у державі, багато хто з їхніх колишніх прихильників у всьому регіоні [From.GetRegionName] втратили віру в успіх революції, підкорившись вимогам [Root.GetGovernmentOGO]."
 center_of_revolution.1600.A:0 "За [Root.Monarch.GetTitleOGO]!"
 root_is_most_powerful_in_europe:0 "§Y[Root.GetName]§! є найпотужнішою державою §YЄвропи§!."
 root_is_most_powerful_in_europe_2:0 "Як піддані наймогутнішої держави §YЄвропи§!, наші занепаднецькі громадяни бажають більшої свободи."

 center_of_revolution.2950.name:0 "Революція в небезпеці"
 center_of_revolution.2950.desc:0 "За останні десять років революція зазнала численних невдач. Без лідера вона руйнується і напевно загине, якщо нам не вдасться пожвавити рух."
 center_of_revolution.2950.A:0 "Тривожно."
 center_of_revolution.2950.A.tt:0 "§YЯкщо жодна країна не претендує на звання джерела революції протягом наступних 10 років, революція закінчиться і держава [Root.GetName] повернеться до Парламентської республіки.§!"
 center_of_revolution.3000.name:0 "Кінець революцій"
 center_of_revolution.3000.desc.last_rev:1 "Після падіння [last_revolutionary_country.GetAdjective]ої революції ніхто не наважився підхопити їхній прапор або вести боротьбу з контрреволюційними силами. Ті, хто колись прагнули до радикальних змін, тепер змирилися зі старою приказкою: Чим більше речі змінюються, тим більше вони залишаються колишніми."
 center_of_revolution.3000.desc.no_last_rev:0 "Рухи, породжені революційними ідеалами, вперше вираженими в місті [revolution_center.GetCapitalName], не змогли істотно змінити становище людей. Ті, хто колись прагнув до радикальних змін, тепер змирилися зі старою приказкою: Чим більше речі змінюються, тим більше вони залишаються колишніми."
 center_of_revolution.3000.desc.never_rev:0 "Революційні ідеали, проповідувані в місті [revolution_center.GetCapitalName], не знайшли достатньої підтримки, щоб істотно змінити становище людей. Рухи, які вони породили, не змогли повалити державний устрій, як вони колись планували. Ті, хто колись прагнув до радикальних змін, тепер змирилися зі старою приказкою: Чим більше речі змінюються, тим більше вони залишаються колишніми."
 center_of_revolution.3000.A:0 "З Богом, Парасю!"
 center_of_revolution.3000.A.tt:0 "§YРеволюційні ідеали вилучено з усіх провінцій.§!"
 center_of_revolution.3000.A.tt2:0 "§YУсі центри революції вилучено.§!"
 center_of_revolution.3000.B:0 "Сумний день."
 disaster_active_for_20_years_tooltip:0 "Лихо було активне протягом 20 років."
 no_spread_here_for_15_years_tt:0 "Революційні ідеї [This.Get_UV] §Y[This.GetTagDE]§! буде вилучено. Вони не зможуть там знову поширюватися протягом 15 років."

 french_revolution.18.d.reactionary:0 "Час повстань і постійної нестабільності, схоже, позаду. Революцію було повністю придушено й усе нарешті повернулося на свої місця."

 TURKEY_STRING:0 "Туреччина"
 TURKEY_STRING_ADJ:0 "Турецьк"
 REV_TURKEY_STRING:0 "Революційна Туреччина"
 REV_TURKEY_STRING_ADJ:0 "Турецьк"
 CHINA_STRING:0 "Китай"
 CHINA_STRING_ADJ:0 "Китайськ"
 REV_CHINA_STRING:0 "Революційний Китай"
 REV_CHINA_STRING_ADJ:0 "Китайськ"
 GURKANI_EMPIRE_STRING:0 "Імперія Тимуридів"
 GURKANI_EMPIRE_STRING_ADJ:0 "Тимуридськ"
 REV_GURKANI_EMPIRE_STRING:0 "Революційна імперія Тимуридів"
 REV_GURKANI_EMPIRE_STRING_ADJ:0 "Тимуридськ"

 revolution.40.name:0 "Піднебесна революція"
 revolution.40.desc:0 "Революція! Великі натовпи зібралися в місті [Root.Capital.GetCapitalName] вимагаючи припинення тисячолітнього імперського режиму, який, на думку багатьох, мало що робить для більшості свого населення. Спочатку вимагаючи конституційно обмежити владу [Root.Monarch.GetTitleOGO] та збільшити власний вплив в уряді, натовп був розлючений проявами жорстокості з боку імперських сил і відбившись, взяв штурмом Заборонене місто. Коли стало відомо, як розкішно жи[Root.Monarch.GetMEndVLa] [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName], далеко не всі проявили до [Root.Monarch.GetHerHis] милосердя. Не бачачи можливості втекти, [Root.Monarch.GetName] вкороти[Root.Monarch.GetMEndVLa] собі віку, щоб уникнути приниження публічної страти.\n\nНові правителі з міста [Root.Capital.GetCapitalName] оголосили Китай республікою, пообіцявши реорганізувати державу шляхом перерозподілу земель дворянства на користь селянства та встановленню повної рівності перед законом. Вони заявляють, що майбутнє стане краще й принесе свободу всьому народу Китаю!"
 revolution.40.A:0 "Хай живе Велика і славна Китайська Республіка!"
 revolution.41.name:0 "[Root.GetAdjective]а революція"
 revolution.41.desc:0 "Революція! Після кількох тижнів протестів численні натовпи зібралися в місті [Root.Capital.GetCapitalName], вимагаючи більшої свободи для людей Індії. Хоча [Root.Monarch.GetTitleKHTO] наказа[Root.Monarch.GetMEndVLa] своїм військам відкрити вогонь по натовпу, вони не захотіли виконувати цей наказ, оскільки демонстранти відмовилися провокувати їх, застосовуючи насильство або образи. Зіткнувшись з ще більш відчайдушними наказами [Root.Monarch.GetTitleOGO], які продовжували надходити, вимагаючи все більше суворих покарань усіх інодумців, армія замість цього вирішила скинути [Root.Monarch.GetHerHis] з престолу. [Root.Monarch.GetTitle] бу[Root.Monarch.GetMEndVLa] змушен[Root.Monarch.GetMEndAYJ] негайно відправитися у вигнання, як тільки було проголошено нову республіку.\n\nНові правителі держави [Root.GetName] обіцяють реорганізувати державу шляхом перерозподілу землі на користь селянства й встановленням повної рівності перед законом, усунути найгірші прояви несправедливості минулого режиму й повести всі народи Індії до світлішого і вільного майбутнього."
 revolution.41.desc2:0 "Революція! Після кількох тижнів протестів численні натовпи зібралися в місті [Root.Capital.GetCapitalName], вимагаючи більшої свободи для людей. Хоча [Root.Monarch.GetTitleKHTO] наказа[Root.Monarch.GetMEndVLa] своїм військам відкрити вогонь по натовпу, вони не захотіли виконувати цей наказ, оскільки демонстранти відмовилися їх провокувати, застосовуючи насильство або образи. Зіткнувшись з ще більш відчайдушними наказами [Root.Monarch.GetTitleOGO], які продовжували надходити, вимагаючи все більше суворих покарань усіх інодумців, армія замість цього вирішила скинути [Root.Monarch.GetHerHis] з престолу. [Root.Monarch.GetTitle] бу[Root.Monarch.GetMEndVLa] змушен[Root.Monarch.GetMEndAYJ] негайно відправитися у вигнання, як тільки було проголошено Велику республіку Тимуридів.\n\nНові правителі Республіки обіцяють реорганізувати державу шляхом перерозподілу землі на користь селянства й встановленням повної рівності перед законом, усунути найгірші прояви несправедливості минулого режиму й повести всі народи Республіки до світлішого і вільного майбутнього."
 revolution.41.A:0 "Перемога і свобода для народу!"
