l_ukrainian:
 BOLD:0 "Сміливий"
 revolution:0 "Революція"
 desc_revolution:0 "Гноблення селян феодалами, релігійна нетерпимість і недосконалість податкової системи стали основними факторами, що сприяли поширенню в країні революційних рухів. Ситуація в державі практично вийшла з-під контролю."
 peasant_war:0 "Селянська війна"
 desc_peasant_war:0 "Протягом багатьох років селяни вимагали від влади полегшити життя простих людей. Тепер їх терпінню прийшов кінець, і з усіх кінців країни приходять повідомлення про масові протести незадоволених."
 religious_intolerance:0 "Релігійна нетерпимість"
 desc_religious_intolerance:0 "Країну захлинула хвиля насильства. Адепти різних релігій безжалісно знищують одне одного."
 religious_tolerance:0 "Віротерпимість"
 desc_religious_tolerance:0 "Конфлікти між представниками різних релігійних громад спалахують з великою частотою, і ніхто не має сил примирити супротивників."
 decreased_morale:0 "Зниження бойового духу"
 desc_decreased_morale:0 "Безкінечні війни знекровили країну. Фінансові проблеми і політична нестабільність змушують уряд скоротити військові витрати."
 domestic_improvements:0 "Покращення внутрішньої ситуації"
 desc_domestic_improvements:0 "Безкінечні війни знекровили країну. Фінансові проблеми і політична нестабільність змушують зосередитися на врегулюванні внутрішніх проблем."
 enforce_serfdom:0 "Посилення кріпосного права"
 desc_enforce_serfdom:0 "Постійні утиски селян з боку аристократії і держави викликають невдоволення простих людей. Нижчі класи готові взяти зброю до рук."
 restrict_serfdom:0 "Ослаблення кріпосного права"
 desc_restrict_serfdom:0 "Обговорюються плани стосовно покращення умов життя селян, і повного скасування кріпосного права."
 disarmament:0 "Роззброєння"
 desc_disarmament:0 "Безкінечні війни знекровили країну. Фінансові проблеми і політична нестабільність змушують уряд скоротити військові витрати."
 support_monarch:0 "Підтримка монарха"
 desc_support_monarch:0 "Незважаючи на посилення революційних рухів і серію замахів на монарха, правитель користується підтримкою більшості населення країни."
 oppose_monarch:0 "Спротив монархові"
 desc_oppose_monarch:0 "Нерішучість монарха і його нездатність ефективно керувати країною привели до того, що противників у правителя стає все більше."
 alleviate_population:0 "Полегшення страждань народу"
 desc_alleviate_population:0 "Неврожай залишив людей без їжі, однак уряд вжив термінових заходів, щоб не дати людям вмерти з голоду."
 starvation:0 "Голод"
 desc_starvation:0 "Неврожай залишив людей без їжі, однак у нас немає грошей щоб допомогти їм."
 suppress_free_thinkers:0 "Придушення вільнодумства"
 desc_suppress_free_thinkers:0 "Щоб уникнути дестабілізації внутрішньої ситуації, ми забороняємо будь-яке обговорення соціальних реформ, а всіх вільнодумних філософів висилаємо з країни."
 bureaucratic_expansion:0 "Розширення бюрократії"
 desc_bureaucratic_expansion:0 "Незважаючи на те, що уряд звинувачують у корупції, ми прийняли рішення розширити державний апарат."
 bureaucratic_reduction:0 "Скорочення бюрократії"
 desc_bureaucratic_reduction:0 "Ми намагаємося скоротити роздутий і корумпований державний апарат."
 fight_inflation:0 "Боротьба з інфляцією"
 desc_fight_inflation:0 "Щоб стабілізувати економічну ситуацію та не допустити фінансової кризи, ми спрямовуємо всі ресурси на підтримку нашої валюти."
 mint_money:0 "Карбування грошей"
 desc_mint_money:0 "Постійні війни, неврожаї та неефективна економічна система привели до серйозної фінансової кризи. Наші гроші стрімко втрачають цінність, і купівельна спроможність стає дедалі меншою."
 financial_disaster:0 "Фінансовий крах"
 desc_financial_disaster:0 "Наша нерозумна економічна політика привела до повного спустошення скарбниці. Щоб подолати фінансову кризу, ми повинні терміново скоротити військові витрати."
 support_troops:0 "Підтримка солдатів"
 desc_support_troops:0 "Військові дослідження та впровадження пороху зробили наші колишні війська застарілими. Ми вирішили надати солдатам певну фінансову допомогу, оскільки вони все ще можуть бути корисними для нас."
 obsolete_forces:0 "Застарілі війська"
 desc_obsolete_forces:0 "Військові дослідження та впровадження пороху зробили наші колишні війська застарілими. Ми вирішили, що настав час реформувати наші збройні війська."
 peasant_negotiation:0 "Переговори з бунтівниками"
 desc_peasant_negotiation:0 "Селянське повстання почалося з декількох дрібних бунтів, а тепер переросло в повномасштабну війну. Ми намагаємося почати переговори з бунтівниками, щоб добитися відновлення порядку."
 isolate_rebels:0 "Боротьба з бунтівниками"
 desc_isolate_rebels:0 "Селянське повстання почалося з декількох дрібних бунтів, а тепер переросло в повномасштабну війну. Ми повинні оточити сили бунтівників і розгромити їх."
 suppress_minority:0 "Боротьба з етнічними меншинами"
 desc_suppress_minority:0 "Протистояння етнічних громад досягло свого апогею. Ми повинні раз і назавжди покінчити з бунтівниками."
 rebel_negotiation:0 "Переговори з бунтівниками"
 desc_rebel_negotiation:0 "Протистояння етнічних громад досягло свого апогею. Ми намагаємося почати переговори з бунтівниками, щоб знайти рішення, прийнятне для всіх сторін."
 army_reform:0 "Реформа сухопутних військ"
 desc_army_reform:0 "Ми проводимо реформу сухопутних військ. Тепер наша армія буде регулярно проводити навчання і підвищувати свою боєздатність. Проте офіцерами, як і раніше, можуть стати лише дворяни."
 naval_reform:0 "Реформа флоту"
 desc_naval_reform:0 "Ми проводимо реформу флоту. Бойовий дух моряків повинен значно підвищитися, а сам флот стати набагато сильнішим. Проте офіцерами, як і раніше, можуть стати лише дворяни."
 military_reform:0 "Військова реформа"
 desc_military_reform:0 "Ми проводимо масштабну військову реформу. Наша армія регулярно проводить навчання, а зі стапелів сходять найсучасніші бойові кораблі. Проте офіцерами, як і раніше, можуть стати лише дворяни."
 western_influences:0 "Західний вплив"
 desc_western_influences:0 "Ми починаємо модернізацію нашої держави. Масштабні перетворення проводяться при сприянні західних радників."
 resist_western_influences:0 "Протистояння західним впливам"
 desc_resist_western_influences:0 "Іноземні радники пропонують провести масштабні перетворення за західним зразком у всіх сферах життя суспільства. Але ми не бачимо в цьому змісту."
 diplomatic_negotiation:0 "Дипломатичні переговори"
 desc_diplomatic_negotiation:0 "Впливові люди у кількох наших колоніях вирішили провести загальні збори. Ми повинні вступити з ними в переговори, інакше вони виступлять проти метрополії."
 trade_investment:0 "Торгівля з тубільцями"
 desc_trade_investment:0 "Торгівля з тубільцями приносить величезну вигоду, отож економічне становище колоністів невпинно покращується. Ми можемо вкласти отримані кошти в подальше розширення торгових зв'язків."
 disregard_natives:0 "Байдуже ставлення до тубільців"
 desc_disregard_natives:0 "Знущання над місцевими жителями та епідемії хвороб, завезених колоністами, привели до різкого зниження чисельності тубільного населення. На жаль, ми нічого не можемо з цим зробити."
 aid_natives:0 "Допомога тубільцям"
 desc_aid_natives:0 "Знущання над місцевими жителями та епідемії хвороб, завезених колоністами, привели до різкого зниження чисельності тубільного населення. Ми робимо все можливе, щоб полегшити страждання нещасних."
 expand_colonial_territory:0 "Розширення колоніальних володінь"
 desc_expand_colonial_territory:0 "Ускладнення політичної та економічної ситуації на батьківщині змушує багатьох людей покинути країну в пошуках кращої долі. Вони освоюють нові території, які входять до складу нашої держави."
 restrict_colonial_expansion:0 "Обмеження колоніальної експансії"
 desc_restrict_colonial_expansion:0 "Ускладнення політичної й економічної ситуації на батьківщині змушує багатьох людей покинути країну в пошуках кращої долі. На жаль, ми не маємо можливості допомогти їм облаштуватися на новому місці."
 export_restrictions:0 "Експортні обмеження"
 desc_export_restrictions:0 "Колоністи наклали заборону на імпорт наших товарів, щоб захистити свою економіку. У відповідь ми значно скорочуємо об'єм експорту до колоній."
 military_reinforcement:0 "Мобілізація збройних сил"
 desc_military_reinforcement:0 "Колоністи ввели заборону на імпортні товари, щоб захистити свою економіку. Ми починаємо збирати війська, щоб рішуче розібратися з цією проблемою."
 convert_heretics:0 "Навернення єретиків"
 desc_convert_heretics:0 " Незважаючи на всі спроби викорінити єресь, жителі деяких провінцій продовжують дотримуватися нових релігійних поглядів, і відмовляються приймати нашу віру. Але ми прийняли певні заходи для врегулювання ситуації."
 military_funding:0 "Силова розв'язка"
 desc_military_funding:0 "Незважаючи на всі зусилля, нам не вдалося відновити порядок і об'єднати країну. Навпаки, рішучіші заходи лише налаштували населення проти влади, і спровокували чергову хвилю насильства. Єдиний вихід з цієї ситуації – застосувати силу проти бунтівників."
 military_funding2:0 "Військове фінансування"
 desc_military_funding2:0 "Нам вдалося збільшити виробництво агропродукції, що сприятиме росту кількості населення, і відповідно кількості новобранців для нашої армії."
 disorder:0 "Масові заворушення"
 desc_disorder:0 "Нездатність уряду вивести державу з кризи викликала народні хвилювання. Ситуація в країні дестабілізована."
 cut_military_investments:0 "Скорочення інвестицій у військову справу"
 desc_cut_military_investments:0 "Відкривши нові континенти, людство вступило в нову епоху. Чужоземні мандрівники привозять із далеких мандрівок прянощі та предмети розкоші, ми ж поступово втрачаємо позиції. Зовсім недавно наша країна була потужним економічним центром, а тепер уряду доводиться шукати шляхи зниження витрат. У першу чергу було вирішено обмежити фінансування армії."
 cut_trade_investments:0 "Скорочення інвестицій у виробництво"
 desc_cut_trade_investments:0 "Відкривши нові континенти, людство вступило в нову епоху. Чужоземні мандрівники привозять із далеких мандрівок прянощі та предмети розкоші, ми ж поступово втрачаємо позиції. Зовсім недавно наша країна була потужним економічним центром, а тепер уряду доводиться шукати шляхи зниження витрат. У першу чергу було вирішено обмежити інвестиції в інфраструктуру."
 cut_government_investments:0 "Скорочення інвестицій у керування"
 desc_cut_government_investments:0 "Відкривши нові континенти, людство вступило в нову епоху. Чужоземні мандрівники привозять із далеких мандрівок прянощі та предмети розкоші, ми ж поступово втрачаємо позиції. Зовсім недавно наша країна була потужним економічним центром, а тепер уряду доводиться шукати шляхи зниження витрат. У першу чергу було вирішено обмежити витрати на модернізацію системи державного керування."
 debt_funding_plan:0 "Консолідація державного боргу"
 desc_debt_funding_plan:0 "Для ефективного управління великою країною необхідно приділяти особливої увагу економічним питанням. Наш радник запропонував провести консолідацію державного боргу."
 tax_reform:0 "Податкова реформа"
 desc_tax_reform:0 "Для ефективного управління великою країною необхідно приділяти особливу увагу економічним питанням. Наш радник запропонував створити більш гнучку податкову систему."
 naval_improvements:0 "Розвиток флоту"
 desc_naval_improvements:0 "Відкриття Нового Світу стало для нас початком епохи процвітання. Величезний приплив золота в країну дозволяє вкладати все більше ресурсів у будівництво сильного флоту."
 naval_disarmament:0 "Відмова від розвитку флоту"
 desc_naval_disarmament:0 "Відкриття Нового Світу стало для нас початком епохи процвітання. На жаль, навіть величезний приплив золота в країну не дозволив створити сильний флот."
 tax_reduction:0 "Зниження податків"
 desc_tax_reduction:0 "Високі податки разом з культурними або релігійними відмінностями часто приводили до невдоволення населення. У більшості випадків за цим йшли повстання."
 church_functions:0 "Передача повноважень церкви дворянству"
 desc_church_functions:0 "Шляхетні сімейства часто отримували контроль над церковними землями в обмін на грошові внески в королівську скарбницю. Таким чином, корона втрачала контроль над доходами від земель у майбутньому в обмін на одноразовий прибуток."
 reduced_taxes_off:0 "Зниження податкових зборів"
 desc_reduced_taxes_off:0 "Шляхетні сімейства часто отримували контроль над церковними землями в обмін на грошові внески в королівську скарбницю. Таким чином, корона втрачала контроль над доходами від земель у майбутньому в обмін на одноразовий прибуток."
 obscurantism:0 "Обскурантизм"
 desc_obscurantism:0 "Обскурантизм, або мракобісся, був закономірною відповіддю населення на незліченні лиха Середніх віків. Але зараз на зміну темному середньовіччю прийшли часи освіти і науки."
 exceptional_year:0 "Врожайний рік"
 desc_exceptional_year:0 "Відмінний урожай у поєднанні з розвиненою промисловістю дозволяв значно підвищити рівень податкових зборів, прибутків від виробництва і товарообміну."
 monetary_benefits:0 "Значна перспектива"
 desc_monetary_benefits:0 "Під впливом демографічного, політичного і економічного тиску, багато жителів вирішили пошукати кращого життя в Новому Світі. Підприємці та авантюристи сподіваються розбагатіти за рахунок морської торгівлі."
 plague:0 "Чума"
 desc_plague:0 "У Середні віки епідемії забирали більше життів, ніж війни і голод. Такі недуги як віспа і грип, з якими повністю впоралася сучасна медицина, в ті часи збирали жахливий врожай, особливо серед дітей."
 trade_disaster:0 "Занепад торгівлі"
 desc_trade_disaster:0 "Торгові компанії часто створювалися на дуже ризикованих умовах. Крах таких компаній міг привести до втрати значних коштів, і знижував довіру до уряду."
 medical_evolution:0 "Еволюція медицини"
 desc_medical_evolution:0 "Держави почали збільшувати кількість лікарів у XVI столітті, а також регулювати і контролювати їхнє навчання в університетах."
 trade_income_increase:0 "Зростання доходів від торгівлі"
 desc_trade_income_increase:0 "Монархи часто надавали торговим компаніям виключні права на торгівлю в регіоні. Ці монополії надавалися в обмін на одноразові виплати в скарбницю і такі відрахування від доходів торговців."
 trade_income_loss:0 "Зниження доходів від торгівлі"
 desc_trade_income_loss:0 "Це була епоха твердого регулювання торгівлі, однак ринок не стояв на місці. Час від часу торговці пробували вийти на нові ринки або вивести на них нові товари. Місцеві купці вимагали введення нових або більш високих мит, щоб зупинити зовнішніх конкурентів."
 tax_income_loss:0 "Скорочення податків"
 desc_tax_income_loss:0 "Монархи використовували безліч методів, щоб підтримувати порядок у рядах знаті. Одним з найбільш діючих методів були гроші. Дворяни вимагали збільшення платні в обмін на надання королю певних прав."
 tax_income_boost:0 "Ріст податків"
 desc_tax_income_boost:0 "Коли монархи не могли або не хотіли платити дворянам, вони видавали їм дозвіл на збір спеціальних податків, які могли служити джерелом значного доходу."
 scientific_evolution:0 "Науковий прогрес"
 desc_scientific_evolution:0 "Видатні наукові досягнення прославили нашого радника на весь світ."
 land_investment:0 "Розвиток сухопутних військ"
 desc_land_investment:0 "Видатні досягнення прославили нашого військового радника на весь світ."
 naval_investment:0 "Розвиток флоту"
 desc_naval_investment:0 "Видатні досягнення прославили нашого військового радника на весь світ."
 trading_investment:0 "Розвиток торгівлі"
 desc_trading_investment:0 "Видатні досягнення прославили нашого скарбника на весь світ."
 government_investment:0 "Розвиток державного керування"
 desc_government_investment:0 "Видатні досягнення прославили нашого радника на весь світ. Нашому уряду пощастило з цією людиною."
 reduced_stability_cost:0 "Зниження вартості стабільності"
 desc_reduced_stability_cost:0 "Видатні досягнення прославили нашого художника на весь світ. Ми пишаємося рівнем мистецтва у нашій державі."
 trade_company:0 "Торговельна компанія"
 trade_company_benefits:0 "Ост-Індійська компанія"
 desc_trade_company_benefits:0 "Бажання монарха перетворити нашу країну в найбільший центр світової торгівлі привело до створення Ост-Індійської компанії."
 reform_tensions:0 "Суперечки навколо реформ"
 desc_reform_tensions:0 "У нашій країні відбуваються радикальні перетворення в економічній та адміністративній областях. Однак проведення реформ обходиться недешево, і викликає невдоволення населення."
 colonial_tensions:0 "Напружені відносини з колоніями"
 desc_colonial_tensions:0 "Впливові люди у кількох наших колоніях вирішили провести загальні збори. Ми боїмося, що вони захочуть спільно виступити проти метрополії."
 hanseatic_league:0 "Ганзейський союз"
 desc_hanseatic_league:0 "У 1241 році купецькі міста півночі Німеччини створили торгову асоціацію – Ганзу. Згодом до неї почали входити міста з усієї Балтики. В епоху розквіту союз нараховував більше півтора сотень учасників."
 hanseatic_league_declines:0 "Занепад Ганзейського союзу"
 desc_hanseatic_league_declines:0 "Відсутність ефективної внутрішньої організації, а також політичні зміни в Європі, привели до занепаду Ганзи. Всі досягнуті домовленості вже не мали сили, що обмежило членів асоціації у торгівлі."
 morale_boost:0 "Підвищення бойового духу"
 desc_morale_boost:0 "Тривала громадянська війна негативно впливає на бойовий дух наших солдат, і ми робимо все можливе, щоб це припинилося."
 deserters:0 "Дезертири"
 desc_deserters:0 "Тривала громадянська війна негативно впливає на бойовий дух наших солдат, і ми нічого не можемо з цим зробити."
 battle_preparations:0 "Підготовка до вирішальної битви"
 desc_battle_preparations:0 "Ми готуємося до вирішального бою з армією повстанців. Сподіваємося, що нашим військам вдасться покінчити з бунтівниками."
 sound_toll:0 "Плата за прохід через Зунд"
 desc_sound_toll:0 "Мито за прохід кораблів через протоку Ересунн було започатковане Еріком Померанським в 1429 році. Це мито дозволяє нам збирати плату з усіх іноземних кораблів, які проходять через протоку."
 bosphorous_sound_toll:0 "Плата за прохід через Босфор"
 desc_bosphorous_sound_toll:0 "Ми тримаємо під контролем торгівлю в Чорному морі. Всі іноземні торгові кораблі платять нам за прохід через Босфорську протоку."
 east_indian_trade_route:0 "Східний шлях в Індію"
 desc_east_indian_trade_route:0 "Наші мандрівники відкрили новий шлях в Індію – навколо Африки. Тепер ми можемо значно збільшити об'єми торгівлі предметами розкоші."
 non_catholic_rome:0 "Завоювання Риму"
 desc_non_catholic_rome:0 "Наша непереможна армія захопила стародавній Рим!"
 catholic_rome:0 "Окупація Риму"
 desc_catholic_rome:0 "Ми захопили Рим, резиденцію Курії. Папа буде незадоволеним таким ходом подій."
 papal_subjugation:0 "Підпорядкування Папства"
 desc_papal_subjugation:0 "Ми підкорили землі Папської держави. Це зашкодить нашій репутації в очах інших католиків."
 IS_HRE_EMPEROR:0 "Священна Римська Імперія"
 HRE_ELECTOR:0 "§Y$NAME$§W є курфюрстом Священної Римської Імперії. Якщо імператор помре, вона підтримає кандидатуру правителя держави §Y$VOTE$§W."
 HRE_MEMBER:0 "§Y$NAME$§W є частиною Священної Римської Імперії."
 HRE_FREE_CITY:0 "§Y$NAME$§W є вільним містом Священної Римської Імперії."
 HRE_RELATION:0 "$NAME$ дасть нам §Y$POINTS$§W балів для визначення того, чи будуть вони підтримувати нас на виборах імператора."
 EMPEROR_BENEFIT:0 "Титул імператора дає такі переваги:\n"
 NUM_OF_PRINCES:0 "Усі князівства Імперії (числом $TOTAL$) дають Імператорові такі бонуси:\n"
 HRE_NUM_MEMBERS:1 "Це держави-члени Імперії."
 HRE_NUM_MEMBERS_DELAYED:1 "Інші країни можуть приєднатися до Священної Римської Імперії, якщо вони знаходяться під загрозою зовнішніх сил і мають дружнє ставлення до Імператора. Високий імперський авторитет може допомогти переконати їх."
 MONARCH_ACTION_KING:0 "сходить на трон"
 MONARCH_ACTION_PRES:0 "обирається на свій пост"
 MONARCH_HOW_KING:0 "сходить на престол"
 MONARCH_HOW_PRES:0 "обирається на свій пост"
 CURRENT_DEFENDER:0 "$COUNTRY$ є захисником віри $RELIGION$."
 DEFENDER_MONEY:0 "Щоб зробити це, потрібно щонайменше $VALUE$¤"
 SPY_FOUND_MAP:0 " "
 SPY_UNKNOWN:0 ", країна походження невідома"
 PLAYER_LOST_TITLE:0 "Гравця від'єднано"
 PLAYER_LOST_DESC:0 "Гравець $playername$ від'єднаний. Ваші дії?"
 SERVER_LOST_TITLE:0 "Сервер втрачено!"
 SERVER_LOST_DESC_removed:0 "З'єднання із сервером втрачено. Гру буде завершено."
 OK:0 "Гаразд"
 CANCEL:0 "Скасувати"
 SAVE:0 "Зберегти"
 QUIT:0 "Вийти"
 START:0 "Почати"
 CONTINUE:0 "Продовжити"
 CONNECTED:0 "З'єднано."
 NAME_TAKEN:0 "Гравець з таким іменем вже існує. Будь ласка, покиньте гру і виберіть інше ім'я."
 CONNECTING:0 "Підключення..."
 BANNED:0 "Ви виключені із цієї гри."
 CONNECTION_FAILED:0 "З'єднання не вдалося!"
 GAME_NOT_FOUND:0 "Гра не знайдена."
 WAITING_FOR_PLAYERS:0 "Очікуємо інших гравців..."
 LOOKING_FOR_HOST:0 "Пошук хоста..."
 LOST_PLAYER:0 "Гравець покинув гру..."
 SERVER_LOST:0 "Сервер покинув гру."
 HOST_BUTTON:0 "Створити"
 JOIN_BUTTON:0 "Приєднатися"
 LOG_SETTING_LOG:0 "Показувати лише у вікні звіту."
 LOG_SETTING_POPUP:0 "Показувати в окремому вікні."
 LOG_SETTING_MAP:0 "Показувати на карті."
 LOG_SETTING_IDLE:0 "Не показувати."
 COMBAT_TRIUMPH:0 "здобув рішучу перемогу"
 COMBAT_FLEE:0 "безладно відступив"
 MY:0 "Мій"
 COMBAT_WINNERTYPE_THEIR:0 "Їх"
 COMBAT_WINNERTYPE_OUR:0 "Наш"
 NO_SHIPS:0 "Немає кораблів"
 WORLD_YEAR:0 "Рік $YEAR$ н.е."
 NEWWORLD_NAME:0 "Новий світ!"
 NEWWORLD_DESC:0 "У 1492 році Христофор Колумб зміг переконати еспанських правителів Ізабеллу I Кастильську і Фердинанда II Арагонського в тому, що берегів Індії можна досягти, якщо плисти на захід через Атлантику. Відважний мореплавець готовий відправитися в ризиковану подорож. Надайте йому необхідну допомогу, і незабаром Еспанія підкорить величезний континент і стане фантастично багатою державою."
 LEAGUE_OF_CAMBRAI_NAME:0 "Камбрейська ліга"
 LEAGUE_OF_CAMBRAI_DESC:0 "Папа Римський Юлій II взяв за мету зробити свою державу найсильнішою на Апеннінському півострові. Його основним суперником була багата Венеція, що також претендувала на лідерство в Італії. У 1504 році Юлій створив анти-венеціанський військовий союз, який у 1508 році оформився як Камбрейська ліга. У коаліцію ввійшли також Франція, Еспанія і Священна Римська Імперія, що також мали чимало претензій до венеціанців. У 1509 році Венеція зазнала поразки в битві під Аньяделло. У результаті вона втратила владу над багатьма містами Північної Італії, і відмовилася від територіальних домагань на півдні півострова."
 EIGHTY_YEARS_WAR_NAME:0 "Вісімдесятирічна війна"
 EIGHTY_YEARS_WAR_DESC:0 "Вісімдесятирічна війна (1567-1648) була боротьбою Нідерландів за незалежність від еспанського короля. Спершу еспанцям вдалося розгромити армію повстанців, однак в 1572 повстанці захопили місто Брілле, і конфлікт спалахнув з новою силою. У 1609 Еспанія фактично визнала північну частину Нідерландів незалежною, і сторони уклали перемир'я строком на 12 років. У 1621 війна відновилася, однак ні Нідерландам, ні Еспанії так і не вдалося добитися перемоги. За умовами Вестфальского миру 1648 року Республіка Об'єднаних провінцій отримала міжнародне правове визнання."
 THIRTY_YEARS_WAR_NAME:0 "Тридцятирічна війна"
 THIRTY_YEARS_WAR_DESC:0 "Тридцятирічна війна (1618-1648) почалася в германських землях через конфлікт на релігійному ґрунті між імператором СРІ та протестантськими державами у складі Імперії. Згодом у протистояння було втягнуто майже всі основні європейські держави."
 SPANISH_SUCCESSION_NAME:0 "Війна за еспанську спадщину"
 SPANISH_SUCCESSION_DESC:0 "Карл II, останній еспанський король з династії Габсбургів, помер у 1701 році. Він заповів престол Пилипу Анжуйскому, онукові французького монарха Людовика XIV. Однак Австрія, Англія і Нідерланди не могли допустити створення єдиної франко-еспанської держави. Почалася війна, у ході якої бойові дії велися навіть на території Північної Америки. Протистояння завершилося в 1714 році Утрехтським миром. Відповідно до його положень, Еспанія з її колоніями була залишена в спадщину Пилипу за умови, що той відмовлявся від прав на французький престол."
 QUADRUPLE_ALLIANCE_NAME:0 "Війна Четвірного союзу"
 QUADRUPLE_ALLIANCE_DESC:0 "Війну Четвірного союзу спровокували претензії еспанської королівської родини на Парму, П'яченцу і Тоскану. Друга дружина Пилипа V, Єлизавета Фарнезе, хотіла зробити свого сина, який не мав прав на еспанський трон, князем в Італії. У 1717 році еспанці завоювали Сардинію, в 1718 році – Сицилію, але у війну з Еспанією вступили Англія, Франція, Нідерланди і Священна Римська Імперія. За умовами укладеного миру син королеви отримав лише кандидатське право на італійські землі."
 SEVEN_YEARS_WAR_NAME:0 "Семирічна війна"
 SEVEN_YEARS_WAR_DESC:0 "Семирічна війна (1756-63) була одним з найбільших конфліктів у Європі. У ній брали участь Австрія, Франція, Росія, Еспанія, Саксонія, Швеція з однієї сторони і Прусія, Великобританія (в унії з Ганновером) та Португалія – з іншої. Основними причинами протистояння стали загострення англо-французької конкуренції в колоніях і серйозні протиріччя між Прусією і Австрією, Францією та Росією. Війна завершилася підписанням Паризького мирного договору. Її основним підсумком стала перемога Великобританії над Францією в боротьбі за колонії і торгову першість."
 USA_NAME:0 "Війна за незалежність"
 USA_DESC:0 "Війна північноамериканських колоній за незалежність почалася у 1775 році. Її основною причиною стало невдоволення переселенців економічною політикою англійської корони стосовно заокеанських володінь. Підтримка Еспанії, Франції та Нідерландів дозволила колоністам здобути перемогу і проголосити в Америці незалежну державу."
 SELECTED_RULER:0 "Править $KING$"
 invasion_nation:0 "Вторгнення"
 opinion_invasion:0 "Вторгнення"
 INDEPENDANT:0 "Незалежна держава"
 all_nations:0 "Базове значення"
 subject_nation:0 "Залежна держава"
 SUBJECT_OF:0 "$SUBJECTTYPE$ держави $LORD$"
 vassal_nation:0 "Васальна держава"
 VASSAL_SUBJECT:0 "Васал держави $LORD$"
 UNION_SUBJECT:0 "В унії з державою $LORD$"
 NOT_EXIST:0 "Держави $TAG$ на даний момент не існує."
 NOT_SELECT:0 "Всі гравці повинні зробити вибір держави."
 ATPEACE:0 "Ворогів немає"
 NOALLIES:0 "Союзників немає"
 ATWAR:0 "Вороги:"
 ALLIES:0 "Союзники:"
 SHORTCUT_SHIELD:0 "Держава $TAG$ становить великий інтерес для гри у цей період. Клацніть для її вибору."
 ZOOM_IN:0 "Наблизити"
 ZOOM_OUT:0 "Віддалити"
 RESIGN_TITLE:0 "Вийти в головне меню"
 RESIGN_DESC:0 "Бажаєте вийти з поточного сценарію в головне меню гри?"
 MAR_THEY_SUBJ:0 "Перебуваючи в підпорядкуванні в держави $LORD$, вони не можуть укладати династичні шлюби."
 DEFICIT_WHEN:0 "§Y$WHEN$§! ми збанкрутуємо."
 alert_call_to_peace_instant:0 "Вимога миру!"
 alert_call_to_peace_delayed:0 "Ми вже виграли війну, і наш народ втомився підтримувати окупацію ворожих земель. Він вимагає миру!"
 alert_bankrupt_instant:0 "§YЗагроза банкрутства§!"
 alert_bankrupt_delayed:0 "Наш бюджет має негативний баланс. Щомісяця ми втрачаємо $BALANCE$¤"
 alert_low_maintenance_instant:0 "§YНизьке утримання військ!§!"
 alert_low_maintenance_delayed:0 "Низьке утримання військ негативно впливає на бойовий дух підрозділів!"
 alert_country_at_war_instant:0 "§YВійна!§!"
 alert_country_at_war_delayed:0 "Ми перебуваємо в стані війни з такими державами: $LIST$."
 alert_truce_will_expire_instant:0 "§YПеремир'я§!"
 alert_truce_will_expire_delayed:0 "$LIST$"
 alert_alliance_breaking_instant:0 "§YРозрив союзу§!"
 alert_alliance_breaking_delayed:1 "Ці союзники більше не вважатимуть, що з нами варто підтримувати союз і невдовзі його розірвуть:\n$LIST$."
