l_ukrainian:
 FAVORSGAINED_TITLE: "Накопичено прихильність"
 OTHERDEFECT_4: "приєдналися до їхньої держави."
 OTHERDEFECT_5: ""
 OTHERDEFECT_6: ""
 OTHERDEFECT_LOG: "Заколотники провінції $PROV$ приєдналися до держави $COUNTRY$."
 OTHERDEFECT_BTN1: "Гаразд"
 OTHERDEFECT_BTN2: "Гаразд"
 OTHERDEFECT_BTN3: "Перейти"
 OTHERDEFECT_MAP: "Провінція відкололася"
 EVENTHAPPENOTHEROPTION_TITLE: "Відбулася подія"
 EVENTHAPPENOTHEROPTION_SETUP: "В іншій державі відбувається подія з варіантами вибору"
 EVENTHAPPENOTHEROPTION_HEADER: "Вісник держави"
 EVENTHAPPENOTHEROPTION_1: "$COUNTRY$"
 EVENTHAPPENOTHEROPTION_2: " повідомляє, що в події"
 EVENTHAPPENOTHEROPTION_3: "$EVENT$"
 EVENTHAPPENOTHEROPTION_4: "ця держава вибрала варіант"
 EVENTHAPPENOTHEROPTION_5: "$OPTION$."
 EVENTHAPPENOTHEROPTION_6: ""
 EVENTHAPPENOTHEROPTION_LOG: "Держава $COUNTRY$ вибрала варіант '$OPTION$', коли відбулася подія '$EVENT$'."
 EVENTHAPPENOTHEROPTION_BTN1: "Гаразд"
 EVENTHAPPENOTHEROPTION_BTN2: "Гаразд"
 EVENTHAPPENOTHEROPTION_BTN3: "Перейти"
 EVENTHAPPENOTHEROPTION_MAP: ""
 EVENTHAPPENOTHER_TITLE: "Відбулася подія"
 EVENTHAPPENOTHER_SETUP: "В іншій державі відбувається історична подія"
 EVENTHAPPENOTHER_HEADER: "Вісник держави"
 EVENTHAPPENOTHER_1: "$COUNTRY$"
 EVENTHAPPENOTHER_2: " повідомляє нас про подію"
 EVENTHAPPENOTHER_3: "$EVENT$."
 EVENTHAPPENOTHER_4: "Це трапилася з ними недавно."
 EVENTHAPPENOTHER_5: ""
 EVENTHAPPENOTHER_6: ""
 EVENTHAPPENOTHER_LOG: "У державі $COUNTRY$ відбулася подія '$EVENT$'."
 EVENTHAPPENOTHER_BTN1: "Гаразд"
 EVENTHAPPENOTHER_BTN2: "Гаразд"
 EVENTHAPPENOTHER_BTN3: ""
 EVENTHAPPENOTHER_MAP: ""
 EVENTHAPPENUS_TITLE: "Відбулася подія"
 EVENTHAPPENUS_SETUP: "У нашій державі відбувається історична подія"
 EVENTHAPPENUS_HEADER: "Наш канцлер повідомляє:"
 EVENTHAPPENUS_1: "Нова подія!"
 EVENTHAPPENUS_2: "Правителю, подія"
 EVENTHAPPENUS_3: "$EVENT$"
 EVENTHAPPENUS_4: "відбулася в нашій країні."
 EVENTHAPPENUS_5: ""
 EVENTHAPPENUS_6: ""
 EVENTHAPPENUS_LOG: "Відбулася подія: '$EVENT$'."
 EVENTHAPPENUS_BTN1: "Гаразд"
 EVENTHAPPENUS_BTN2: "Гаразд"
 EVENTHAPPENUS_BTN3: ""
 EVENTHAPPENUS_MAP: ""
 COLSUCCESS_TITLE: "Засновано колонію"
 COLSUCCESS_SETUP: "Ми успішно засновуємо нову колонію або розширюємо стару"
 COLSUCCESS_HEADER: "Наш губернатор повідомляє:"
 COLSUCCESS_1: "Успішна колонізація!"
 COLSUCCESS_2: "$MONARCHTITLE$, ми успішно заснували нашу колонію в провінції"
 COLSUCCESS_3: "$PROV$."
 COLSUCCESS_4: "Якщо ми й далі будемо посилати туди колоністів, у нас буде шанс заснувати там місто!"
 COLSUCCESS_5: ""
 COLSUCCESS_6: ""
 COLSUCCESS_LOG: "Ми успішно заснували колонію в провінції $PROV$."
 COLSUCCESS_BTN1: "Гаразд"
 COLSUCCESS_BTN2: "Гаразд"
 COLSUCCESS_BTN3: "Перейти"
 COLSUCCESS_MAP: ""
 TRIGMOD_TITLE: "Активовано модифікатор"
 TRIGMOD_SETUP: "Вступає в дію активований модифікатор"
 TRIGMOD_HEADER: "$MESSENGER$"
 TRIGMOD_1: "$NAME$"
 TRIGMOD_2: "$MONARCHTITLE$, було активовано модифікатор"
 TRIGMOD_3: "$NAME$."
 TRIGMOD_4: ""
 TRIGMOD_5: "Ефекти:"
 TRIGMOD_6: "$EFFECT$"
 TRIGMOD_LOG: "Нами був активований модифікатор '$NAME$'."
 TRIGMOD_BTN1: "Гаразд"
 TRIGMOD_BTN2: "Гаразд"
 TRIGMOD_BTN3: "Докладніше"
 TRIGMOD_MAP: ""
 TRIGMODLOST_TITLE: "Деактивовано модифікатор"
 TRIGMODLOST_SETUP: "Припиняється дія активованого модифікатора"
 TRIGMODLOST_HEADER: "$MESSENGER$"
 TRIGMODLOST_1: "$NAME$"
 TRIGMODLOST_2: "Правителю, ми втратилися ефектів від впливу модифікатора"
 TRIGMODLOST_3: "$NAME$."
 TRIGMODLOST_4: ""
 TRIGMODLOST_5: "Ефект:"
 TRIGMODLOST_6: "$EFFECT$"
 TRIGMODLOST_LOG: "Модифікатор '$NAME$' на нас більше не діє."
 TRIGMODLOST_BTN1: "Гаразд"
 TRIGMODLOST_BTN2: "Гаразд"
 TRIGMODLOST_BTN3: "Докладніше"
 TRIGMODLOST_MAP: ""
 MESS_BADWORDS1: "негідники"
 MESS_BADWORDS2: "поріддя"
 MESS_BADWORDS3: "невірні"
 MESS_BADWORDS4: "зрадники"
 PEACEACCEPT_TITLE: "Прийнято пропозицію миру"
 PEACEACCEPT_SETUP: "Держава приймає нашу мирну угоду"
 PEACEACCEPT_HEADER: "Вісник держави"
 PEACEACCEPT_1: "$RECIPIENT$"
 PEACEACCEPT_2: " повідомляє,"
 PEACEACCEPT_3: "що вони прийняли"
 PEACEACCEPT_4: "нашу великодушну"
 PEACEACCEPT_5: "пропозицію миру"
 PEACEACCEPT_6: "на таких умовах: $TERMS$"
 PEACEACCEPT_LOG: "Держава $RECIPIENT$ прийняла нашу мирну пропозицію на таких умовах: $TERMS$"
 PEACEACCEPT_BTN1: "Відмінно!"
 PEACEACCEPT_BTN2: "Відмінно!"
 PEACEACCEPT_BTN3: "Перейти"
 PEACEACCEPT_MAP: "Мир!"
 PEACEACCEPTOTHER_TITLE: "Прийнято пропозицію миру"
 PEACEACCEPTOTHER_SETUP: "Дві держави укладають між собою мир"
 PEACEACCEPTOTHER_HEADER: "Вісник держави"
 PEACEACCEPTOTHER_1: "$RECIPIENT$"
 PEACEACCEPTOTHER_2: " повідомляє,"
 PEACEACCEPTOTHER_3: "що вони погодилися на мир з державою"
 PEACEACCEPTOTHER_4: "$ACTOR$"
 PEACEACCEPTOTHER_5: "на таких умовах:"
 PEACEACCEPTOTHER_6: "$TERMS$"
 PEACEACCEPTOTHER_LOG: "Держава $RECIPIENT$ прийняла пропозицію миру, зроблену державою $ACTOR$, на таких умовах: $TERMS$"
 PEACEACCEPTOTHER_BTN1: "Відмінно!"
 PEACEACCEPTOTHER_BTN2: "Відмінно!"
 PEACEACCEPTOTHER_BTN3: "Перейти"
 PEACEACCEPTOTHER_MAP: "Мир!"
 PEACEREJECT_TITLE: "Відхилено пропозицію миру"
 PEACEREJECT_SETUP: "Наша пропозиція про мир відхиляється"
 PEACEREJECT_HEADER: "Вісник держави"
 PEACEREJECT_1: "$RECIPIENT$"
 PEACEREJECT_2: " повідомляє, що вони"
 PEACEREJECT_3: "відхилили"
 PEACEREJECT_4: "нашу пропозицію"
 PEACEREJECT_5: "мирної угоди."
 PEACEREJECT_6: ""
 PEACEREJECT_LOG: "Держава $RECIPIENT$ відхилила нашу пропозицію миру."
 PEACEREJECT_BTN1: "Неприємно"
 PEACEREJECT_BTN2: "Неприємно"
 PEACEREJECT_BTN3: "Перейти"
 PEACEREJECT_MAP: ""
 PEACEWEACCEPT_TITLE: "Прийнято пропозицію миру"
 PEACEWEACCEPT_SETUP: "Ми ухвалюємо пропозицію миру"
 PEACEWEACCEPT_HEADER: "$MESSENGER$"
 PEACEWEACCEPT_1: "Війна закінчена!"
 PEACEWEACCEPT_2: "$MONARCHTITLE$, ми прийняли пропозицію миру, висунуту державою"
 PEACEWEACCEPT_3: "$ACTOR$,"
 PEACEWEACCEPT_4: "на таких умовах:"
 PEACEWEACCEPT_5: "$TERMS$"
 PEACEWEACCEPT_6: ""
 PEACEWEACCEPT_LOG: "Ми прийняли пропозицію миру, зроблену державою $ACTOR$, на таких умовах: $TERMS$"
 PEACEWEACCEPT_BTN1: "Відмінно!"
 PEACEWEACCEPT_BTN2: "Відмінно!"
 PEACEWEACCEPT_BTN3: "Перейти"
 PEACEWEACCEPT_MAP: "Мир!"
 PEACEWEREJECT_TITLE: "Відхилено пропозицію миру"
 PEACEWEREJECT_SETUP: "Ми відхиляємо пропозицію миру"
 PEACEWEREJECT_HEADER: "$MESSENGER$"
 PEACEWEREJECT_1: "Війна триває!"
 PEACEWEREJECT_2: "$MONARCHTITLE$, ми відхилили"
 PEACEWEREJECT_3: "пропозицію миру,"
 PEACEWEREJECT_4: "зроблену державою"
 PEACEWEREJECT_5: "$ACTOR$."
 PEACEWEREJECT_6: ""
 PEACEWEREJECT_LOG: "Ми відхилили пропозицію миру, зроблену державою $ACTOR$."
 PEACEWEREJECT_BTN1: "Гаразд"
 PEACEWEREJECT_BTN2: "Гаразд"
 PEACEWEREJECT_BTN3: "Перейти"
 PEACEWEREJECT_MAP: ""
 PEACEREJECTOTHER_TITLE: "Відхилено пропозицію миру"
 PEACEREJECTOTHER_SETUP: "Одна держава відхиляє пропозицію миру від іншої"
 PEACEREJECTOTHER_HEADER: "Вісник держави"
 PEACEREJECTOTHER_1: "$RECIPIENT$"
 PEACEREJECTOTHER_2: " повідомляє, що вони"
 PEACEREJECTOTHER_3: "відхилили пропозицію миру,"
 PEACEREJECTOTHER_4: "зроблену державою"
 PEACEREJECTOTHER_5: "$ACTOR$."
 PEACEREJECTOTHER_6: ""
 PEACEREJECTOTHER_LOG: "Держава $RECIPIENT$ відхилила пропозицію миру, зроблену державою $ACTOR$."
 PEACEREJECTOTHER_BTN1: "Гаразд"
 PEACEREJECTOTHER_BTN2: "Гаразд"
 PEACEREJECTOTHER_BTN3: "Перейти"
 PEACEREJECTOTHER_MAP: "Миру немає!"
 ROYMARACCEPT_TITLE: "Укладено династичний шлюб"
 ROYMARACCEPT_SETUP: "Держава погоджується укласти з нами династичний шлюб"
 ROYMARACCEPT_HEADER: "Вісник держави"
 ROYMARACCEPT_1: "$RECIPIENT$"
 ROYMARACCEPT_2: " повідомляє, що вони згодні укласти з нами"
 ROYMARACCEPT_3: "династичний шлюб."
 ROYMARACCEPT_4: "Наші стосунки зміцнилися."
 ROYMARACCEPT_5: ""
 ROYMARACCEPT_6: ""
 ROYMARACCEPT_LOG: "Ми уклали династичний шлюб з державою $RECIPIENT$."
 ROYMARACCEPT_BTN1: "Чудово!"
 ROYMARACCEPT_BTN2: "Чудово!"
 ROYMARACCEPT_BTN3: "Перейти"
 ROYMARACCEPT_MAP: ""
 ROYMARREJECT_TITLE: "Пропозицію династичного шлюбу відхилено"
 ROYMARREJECT_SETUP: "Держава не бажає укладати з нами династичний шлюб"
 ROYMARREJECT_HEADER: "Вісник держави"
 ROYMARREJECT_1: "$RECIPIENT$"
 ROYMARREJECT_2: " повідомляє, що вони"
 ROYMARREJECT_3: "відмовилися"
 ROYMARREJECT_4: "укладати з нами"
 ROYMARREJECT_5: "династичний шлюб."
 ROYMARREJECT_6: ""
 ROYMARREJECT_LOG: "Держава $RECIPIENT$ відмовилася укладати з нами династичний шлюб."
 ROYMARREJECT_BTN1: "Неприємно"
 ROYMARREJECT_BTN2: "Неприємно"
 ROYMARREJECT_BTN3: "Перейти"
 ROYMARREJECT_MAP: ""
 ROYMARACCEPTOTHER_TITLE: "Укладено династичний шлюб"
 ROYMARACCEPTOTHER_SETUP: "Одна держава укладає династичний шлюб з іншою"
 ROYMARACCEPTOTHER_HEADER: "Вісник держави"
 ROYMARACCEPTOTHER_1: "$RECIPIENT$"
 ROYMARACCEPTOTHER_2: " повідомляє, що вони"
 ROYMARACCEPTOTHER_3: "вступили в династичний шлюб"
 ROYMARACCEPTOTHER_4: "з їхнім новим союзником, державою"
 ROYMARACCEPTOTHER_5: "$ACTOR$."
 ROYMARACCEPTOTHER_6: ""
 ROYMARACCEPTOTHER_LOG: "Держава $RECIPIENT$ уклала династичний шлюб з державою $ACTOR$."
 ROYMARACCEPTOTHER_BTN1: "Гаразд"
 ROYMARACCEPTOTHER_BTN2: "Гаразд"
 ROYMARACCEPTOTHER_BTN3: "Перейти"
 ROYMARACCEPTOTHER_MAP: ""
 ROYMARREJECTOTHER_TITLE: "Пропозицію династичного шлюбу відхилено"
 ROYMARREJECTOTHER_SETUP: "Одна держава відмовляється укласти династичний шлюб з іншою"
 ROYMARREJECTOTHER_HEADER: "Вісник держави"
 ROYMARREJECTOTHER_1: "$RECIPIENT$"
 ROYMARREJECTOTHER_2: " повідомляє, що вони"
 ROYMARREJECTOTHER_3: "відхилили пропозицію династичного шлюбу,"
 ROYMARREJECTOTHER_4: "висунуте державою"
 ROYMARREJECTOTHER_5: "$ACTOR$."
 ROYMARREJECTOTHER_6: ""
 ROYMARREJECTOTHER_LOG: "Держава $RECIPIENT$ відмовилася укласти династичний шлюб з державою $ACTOR$."
 ROYMARREJECTOTHER_BTN1: "Гаразд"
 ROYMARREJECTOTHER_BTN2: "Гаразд"
 ROYMARREJECTOTHER_BTN3: "Перейти"
 ROYMARREJECTOTHER_MAP: ""
 ROYMARWEACCEPT_TITLE: "Укладено династичний шлюб"
 ROYMARWEACCEPT_SETUP: "Ми погоджуємося укласти династичний шлюб"
 ROYMARWEACCEPT_HEADER: "$MESSENGER$"
 ROYMARWEACCEPT_1: "Династичний шлюб!"
 ROYMARWEACCEPT_2: "$MONARCHTITLE$, ми уклали"
 ROYMARWEACCEPT_3: "династичний шлюб"
 ROYMARWEACCEPT_4: "з державою"
 ROYMARWEACCEPT_5: "$RECIPIENT$."
 ROYMARWEACCEPT_6: "Наші стосунки зміцнилися."
 ROYMARWEACCEPT_LOG: "Ми уклали династичний шлюб з державою $RECIPIENT$."
 ROYMARWEACCEPT_BTN1: "Чудово!"
 ROYMARWEACCEPT_BTN2: "Чудово!"
 ROYMARWEACCEPT_BTN3: "Перейти"
 ROYMARWEACCEPT_MAP: ""
 ROYMARWEREJECT_TITLE: "Пропозицію династичного шлюбу відхилено"
 ROYMARWEREJECT_SETUP: "Ми відмовляємося укладати династичний шлюб"
 ROYMARWEREJECT_HEADER: "$MESSENGER$"
 ROYMARWEREJECT_1: "Пропозицію відхилено!"
 ROYMARWEREJECT_2: "$MONARCHTITLE$, ми відмовилися"
 ROYMARWEREJECT_3: "укладати династичний шлюб "
 ROYMARWEREJECT_4: "з державою"
 ROYMARWEREJECT_5: "$ACTOR$."
 ROYMARWEREJECT_6: ""
 ROYMARWEREJECT_LOG: "Ми відмовилися укладати династичний шлюб з державою $ACTOR$."
 ROYMARWEREJECT_BTN1: "Гаразд"
 ROYMARWEREJECT_BTN2: "Гаразд"
 ROYMARWEREJECT_BTN3: "Перейти"
 ROYMARWEREJECT_MAP: ""
 ROYMAROTHERBREAK_TITLE: "Розірвано династичний шлюб"
 ROYMAROTHERBREAK_SETUP: "Одна держава розриває династичний шлюб з іншою"
 ROYMAROTHERBREAK_HEADER: "Вісник держави"
 ROYMAROTHERBREAK_1: "$ACTOR$"
 ROYMAROTHERBREAK_2: " повідомляє, що вони"
 ROYMAROTHERBREAK_3: "розірвали династичний шлюб"
 ROYMAROTHERBREAK_4: "з державою"
 ROYMAROTHERBREAK_5: "$RECIPIENT$."
 ROYMAROTHERBREAK_6: ""
 ROYMAROTHERBREAK_LOG: "Держава $ACTOR$ розірвала династичний шлюб з державою $RECIPIENT$."
 ROYMAROTHERBREAK_BTN1: "Гаразд"
 ROYMAROTHERBREAK_BTN2: "Гаразд"
 ROYMAROTHERBREAK_BTN3: "Перейти"
 ROYMAROTHERBREAK_MAP: ""
 ROYMAROTHERBREAKUS_TITLE: "Розірвано династичний шлюб"
 ROYMAROTHERBREAKUS_SETUP: "Держава розриває династичний шлюб з нами"
 ROYMAROTHERBREAKUS_HEADER: "Вісник держави"
 ROYMAROTHERBREAKUS_1: "$ACTOR$"
 ROYMAROTHERBREAKUS_2: " повідомляє, що вони"
 ROYMAROTHERBREAKUS_3: "розірвали "
 ROYMAROTHERBREAKUS_4: "династичний шлюб,"
 ROYMAROTHERBREAKUS_5: "укладений з нами."
 ROYMAROTHERBREAKUS_6: ""
 ROYMAROTHERBREAKUS_LOG: "Держава $ACTOR$ розірвала укладений з нами династичний шлюб."
 ROYMAROTHERBREAKUS_BTN1: "Неприємно"
 ROYMAROTHERBREAKUS_BTN2: "Неприємно"
 ROYMAROTHERBREAKUS_BTN3: "Перейти"
 ROYMAROTHERBREAKUS_MAP: ""
 ROYMARWEBREAK_TITLE: "Розірвано династичний шлюб"
 ROYMARWEBREAK_SETUP: "Ми розриваємо династичний шлюб"
 ROYMARWEBREAK_HEADER: "Наш канцлер повідомляє:"
 ROYMARWEBREAK_1: "Розірвання шлюбу!"
 ROYMARWEBREAK_2: "$MONARCHTITLE$, ми"
 ROYMARWEBREAK_3: "розірвали династичний шлюб,"
 ROYMARWEBREAK_4: "укладений з державою"
 ROYMARWEBREAK_5: "$RECIPIENT$."
 ROYMARWEBREAK_6: ""
 ROYMARWEBREAK_LOG: "Ми розірвали династичний шлюб, укладений з державою $RECIPIENT$."
 ROYMARWEBREAK_BTN1: "Гаразд"
 ROYMARWEBREAK_BTN2: "Гаразд"
 ROYMARWEBREAK_BTN3: "Перейти"
 ROYMARWEBREAK_MAP: ""
 MILALLACCEPT_TITLE: "Згода на військовий союз"
 MILALLACCEPT_SETUP: "Держава погодилася укласти з нами військовий союз"
 MILALLACCEPT_HEADER: "Вісник держави"
 MILALLACCEPT_1: "$RECIPIENT$"
 MILALLACCEPT_2: " повідомляє, що вони"
 MILALLACCEPT_3: "прийняли"
 MILALLACCEPT_4: "нашу пропозицію "
 MILALLACCEPT_5: "укласти військовий союз."
 MILALLACCEPT_6: ""
 MILALLACCEPT_LOG: "Держава $RECIPIENT$ погодилася укласти з нами військовий союз."
 MILALLACCEPT_BTN1: "Чудово!"
 MILALLACCEPT_BTN2: "Чудово!"
 MILALLACCEPT_BTN3: "Перейти"
 MILALLACCEPT_MAP: ""
 MILALLREJECT_TITLE: "Відмова у військовому союзі"
 MILALLREJECT_SETUP: "Держава відмовляється укласти з нами військовий союз"
 MILALLREJECT_HEADER: "Вісник держави"
 MILALLREJECT_1: "$RECIPIENT$"
 MILALLREJECT_2: " повідомляє, що вони"
 MILALLREJECT_3: "відмовилися"
 MILALLREJECT_4: "укласти з нами"
 MILALLREJECT_5: "військовий союз."
 MILALLREJECT_6: ""
 MILALLREJECT_LOG: "Держава $RECIPIENT$ відмовилася укласти з нами військовий союз."
 MILALLREJECT_BTN1: "Неприємно"
 MILALLREJECT_BTN2: "Вони ще пожалкують про це"
 MILALLREJECT_BTN3: "Перейти"
 MILALLREJECT_MAP: ""
 MILLALLJOINREJECTOTHER_TITLE: "Відмова у військовому союзі"
 MILLALLJOINREJECTOTHER_SETUP: "Якась держава відмовляється укласти військовий союз із іншою"
 MILLALLJOINREJECTOTHER_HEADER: "Вісник держави"
 MILLALLJOINREJECTOTHER_1: "$RECIPIENT$"
 MILLALLJOINREJECTOTHER_2: " повідомляє, що вони"
 MILLALLJOINREJECTOTHER_3: "відмовилися укласти\nвійськовий союз "
 MILLALLJOINREJECTOTHER_4: "з державою"
 MILLALLJOINREJECTOTHER_5: "$ACTOR$."
 MILLALLJOINREJECTOTHER_6: ""
 MILLALLJOINREJECTOTHER_LOG: "Держава $RECIPIENT$ відмовилася укласти військовий союз із державою $ACTOR$."
 MILLALLJOINREJECTOTHER_BTN1: "Гаразд"
 MILLALLJOINREJECTOTHER_BTN2: "Гаразд"
 MILLALLJOINREJECTOTHER_BTN3: "Перейти"
 MILLALLJOINREJECTOTHER_MAP: ""
 MILLALLINVACCEPTENEMY_TITLE: "Згода на військовий союз"
 MILLALLINVACCEPTENEMY_SETUP: "Якась держава укладає військовий союз із нашим супротивником"
 MILLALLINVACCEPTENEMY_HEADER: "Вісник держави"
 MILLALLINVACCEPTENEMY_1: "$ACTOR$."
 MILLALLINVACCEPTENEMY_2: " повідомляє, що вони"
 MILLALLINVACCEPTENEMY_3: "уклали військовий союз"
 MILLALLINVACCEPTENEMY_4: "з нашим противником - державою"
 MILLALLINVACCEPTENEMY_5: "$RECIPIENT$"
 MILLALLINVACCEPTENEMY_6: ""
 MILLALLINVACCEPTENEMY_LOG: "Держава $ACTOR$ уклала військовий союз із державою $RECIPIENT$."
 MILLALLINVACCEPTENEMY_BTN1: "Неприємно"
 MILLALLINVACCEPTENEMY_BTN2: "Неприємно"
 MILLALLINVACCEPTENEMY_BTN3: "Перейти"
 MILLALLINVACCEPTENEMY_MAP: ""
 MILLALLINVACCEPTOTHER_TITLE: "Згода на військовий союз"
 MILLALLINVACCEPTOTHER_SETUP: "Якась держава укладає військовий союз із іншою"
 MILLALLINVACCEPTOTHER_HEADER: "Вісник держави"
 MILLALLINVACCEPTOTHER_1: "$RECIPIENT$"
 MILLALLINVACCEPTOTHER_2: " повідомляє, що вони"
 MILLALLINVACCEPTOTHER_3: "уклали військовий союз"
 MILLALLINVACCEPTOTHER_4: "з державою"
 MILLALLINVACCEPTOTHER_5: "$ACTOR$."
 MILLALLINVACCEPTOTHER_6: ""
 MILLALLINVACCEPTOTHER_LOG: "Держава $RECIPIENT$ уклала військовий союз із державою $ACTOR$."
 MILLALLINVACCEPTOTHER_BTN1: "Гаразд"
 MILLALLINVACCEPTOTHER_BTN2: "Гаразд"
 MILLALLINVACCEPTOTHER_BTN3: "Перейти"
 MILLALLINVACCEPTOTHER_MAP: ""
 MILALLBANOTHER_TITLE: "Розрив військового союзу"
 MILALLBANOTHER_SETUP: "Одна держава розриває військовий союз із іншою"
 MILALLBANOTHER_HEADER: "Вісник держави"
 MILALLBANOTHER_1: "$ACTOR$"
 MILALLBANOTHER_2: " повідомляє, що вони"
 MILALLBANOTHER_3: "розірвали військовий союз,"
 MILALLBANOTHER_4: "укладений з державою"
 MILALLBANOTHER_5: "$RECIPIENT$."
 MILALLBANOTHER_6: ""
 MILALLBANOTHER_LOG: "Держава $ACTOR$ розірвала військовий союз, укладений з державою $RECIPIENT$."
 MILALLBANOTHER_BTN1: "Гаразд"
 MILALLBANOTHER_BTN2: "Гаразд"
 MILALLBANOTHER_BTN3: "Перейти"
 MILALLBANOTHER_MAP: ""
 MILALLBAN_TITLE: "Розрив військового союзу"
 MILALLBAN_SETUP: "Держава розриває військовий союз із нами"
 MILALLBAN_HEADER: "Вісник держави"
 MILALLBAN_1: "$ACTOR$"
 MILALLBAN_2: " повідомляє, що вони"
 MILALLBAN_3: "розірвали військовий союз,"
 MILALLBAN_4: "укладений з нами."
 MILALLBAN_5: ""
 MILALLBAN_6: ""
 MILALLBAN_LOG: "Держава $ACTOR$ розірвала військовий союз, укладений з нами."
 MILALLBAN_BTN1: "Неприємно"
 MILALLBAN_BTN2: "Вони ще пожалкують про це!"
 MILALLBAN_BTN3: "Перейти"
 MILALLBAN_MAP: ""
 MILALLWEBAN_TITLE: "Розрив військового союзу"
 MILALLWEBAN_SETUP: "Ми розриваємо військовий союз"
 MILALLWEBAN_HEADER: "$MESSENGER$"
 MILALLWEBAN_1: "Союз розірвано!"
 MILALLWEBAN_2: "$MONARCHTITLE$, ми"
 MILALLWEBAN_3: "розірвали військовий союз,"
 MILALLWEBAN_4: "укладений з державою"
 MILALLWEBAN_5: "$RECIPIENT$."
 MILALLWEBAN_6: ""
 MILALLWEBAN_LOG: "Ми розірвали військовий союз, укладений з державою $RECIPIENT$."
 MILALLWEBAN_BTN1: "Гаразд"
 MILALLWEBAN_BTN2: "Гаразд"
 MILALLWEBAN_BTN3: "Перейти"
 MILALLWEBAN_MAP: ""
 MILALLWEACCEPT_TITLE: "Згода на військовий союз"
 MILALLWEACCEPT_SETUP: "Ми погоджуємося укласти військовий союз"
 MILALLWEACCEPT_HEADER: "$MESSENGER$"
 MILALLWEACCEPT_1: "Створено військовий союз!"
 MILALLWEACCEPT_2: "$MONARCHTITLE$, ми погодилися"
 MILALLWEACCEPT_3: "укласти військовий союз"
 MILALLWEACCEPT_4: "з державою"
 MILALLWEACCEPT_5: "$ACTOR$."
 MILALLWEACCEPT_6: ""
 MILALLWEACCEPT_LOG: "Ми висловили бажання укласти військовий союз із державою $ACTOR$."
 MILALLWEACCEPT_BTN1: "Чудово!"
 MILALLWEACCEPT_BTN2: "Чудово!"
 MILALLWEACCEPT_BTN3: "Перейти"
 MILALLWEACCEPT_MAP: ""
 MILALLWEREJECT_TITLE: "Відмова у військовому союзі"
 MILALLWEREJECT_SETUP: "Ми відмовляємося укладати військовий союз"
 MILALLWEREJECT_HEADER: "$MESSENGER$"
 MILALLWEREJECT_1: "У військовому союзі відмовлено!"
 MILALLWEREJECT_2: "$MONARCHTITLE$, ми відмовилися"
 MILALLWEREJECT_3: "укласти військовий союз"
 MILALLWEREJECT_4: "з державою"
 MILALLWEREJECT_5: "$ACTOR$."
 MILALLWEREJECT_6: ""
 MILALLWEREJECT_LOG: "Ми відмовилися укласти військовий союз із державою $ACTOR$."
 MILALLWEREJECT_BTN1: "Гаразд"
 MILALLWEREJECT_BTN2: "Гаразд"
 MILALLWEREJECT_BTN3: "Перейти"
 MILALLWEREJECT_MAP: ""
 TRADEREFUSAL_TITLE: "Торгове ембарго"
 TRADEREFUSAL_SETUP: "Держава виганяє наших торговців"
 TRADEREFUSAL_HEADER: "$MESSENGER$"
 TRADEREFUSAL_1: "Заборона на торгівлю!"
 TRADEREFUSAL_2: "$MONARCHTITLE$, держава"
 TRADEREFUSAL_3: "$ACTOR$"
 TRADEREFUSAL_5: ""
 TRADEREFUSAL_BTN1: "Неприємно"
 TRADEREFUSAL_BTN2: "Неприємно"
 TRADEREFUSAL_BTN3: "Перейти"
 TRADEREFUSAL_MAP: ""
 TRADEREFUSALOTHER_TITLE: "Торгове ембарго"
 TRADEREFUSALOTHER_SETUP: "Одна держава виганяє торговців іншої"
 TRADEREFUSALOTHER_HEADER: "$MESSENGER$"
 TRADEREFUSALOTHER_1: "Заборона на торгівлю!"
 TRADEREFUSALOTHER_2: "$MONARCHTITLE$, держава"
 TRADEREFUSALOTHER_3: "$ACTOR$"
 TRADEREFUSALOTHER_4: "виганяє торговців держави"
 TRADEREFUSALOTHER_5: "$RECIPIENT$"
 TRADEREFUSALOTHER_BTN1: "Гаразд"
 TRADEREFUSALOTHER_BTN2: "Гаразд"
 TRADEREFUSALOTHER_BTN3: "Перейти"
 TRADEREFUSALOTHER_MAP: ""
 OWNTRADEREFUSAL_TITLE: "Торгове ембарго"
 OWNTRADEREFUSAL_SETUP: "Ми вводимо ембарго на торгівлю з іншою державою"
 OWNTRADEREFUSAL_HEADER: "$MESSENGER$"
 OWNTRADEREFUSAL_1: "Ми ввели ембарго!"
 OWNTRADEREFUSAL_2: "$MONARCHTITLE$, відтепер ми не ведемо торгівлю з державою"
 OWNTRADEREFUSAL_3: "$RECIPIENT$."
 OWNTRADEREFUSAL_4: "Тепер вони не можуть відправляти торговців до нас, а також не будуть отримувати прибуток від раніше встановлених торгових зв'язків."
 OWNTRADEREFUSAL_5: ""
 OWNTRADEREFUSAL_BTN1: "Гаразд"
 OWNTRADEREFUSAL_BTN2: "Гаразд"
 OWNTRADEREFUSAL_BTN3: "Перейти"
 OWNTRADEREFUSAL_MAP: ""
 OWNTRADEALLOW_TITLE: "Зняття ембарго"
 OWNTRADEALLOW_SETUP: "Ми поновляємо торгівлю з іншою державою"
 OWNTRADEALLOW_HEADER: "$MESSENGER$"
 OWNTRADEALLOW_1: "Поновлення торгівлі!"
