l_ukrainian:
 exploration_events.1.t:0 "Розвідка у провінції $PROVINCENAME$"
 seven_cities_events.220.a:0 "Чудово!"
 seven_cities_events.221.t:0 "Нічого, крім халуп"
 seven_cities_events.221.d:0 "'Турок' невпинно розповідав конкістадору про багатства Ківіри, про щедру землю, що омивається річками і струмками, прикрашені золотом будинки і щасливих, здорових людей. Однак, експедиція виявила лише ще одне землеробське поселення з будівлями з цегли-сирцю!"
 seven_cities_events.221.a:0 "Турок заплатить за свою брехню!"
 seven_cities_events.222.t:0 "Родюче місто"
 seven_cities_events.222.d:0 "Ківіра виявилася густонаселеним містом з родючими землями навколо, що зрошувалися численними річками і струмками. Навколо міста в достатку ростуть чорнослив, горіхи, тутовиця і солодкий виноград, а в печерах неподалік знайшлися поклади нефриту. Але на жаль, ніякого золота. Легендарний місто існує, хоча ми собі його уявляли інакше."
 seven_cities_events.222.a:0 "Принаймні ми його знайшли."
 seven_cities_events.223.t:0 "Легендарне місто Ківіра"
 seven_cities_events.223.d:0 "Золоті чаші звисають з дерев у місті Ківіра, і кожен, хто відчуває спрагу, може напитися з них. Безліч струмків і річок зрошують цю землю, – чорнослив, горіхи, тутовиця і солодкий виноград, що ростуть тут, більшого розміру, ніж деінде. Місцеві жителі численні, здорові і щасливі, а золото і нефрит в печерах забезпечують добробут міста."
 seven_cities_events.223.a:0 "Ми нарешті знайшли його!"
 # EVENT MODIFIERS
 sce_search_eldorado:0 "Пошуки Ельдорадо"
 desc_sce_search_eldorado:0 "Ваш конкістадор шукає Ельдорадо – Золоте Місто."
 el_dorado_mod:1 "Ельдорадо"
 desc_el_dorado_mod:1 "Ми відкрили одне зі стародавніх Семи золотих міст. Хоча воно давно занедбано, воно переповнене багатствами!"
 sce_search_fountainofyouth:0 "У пошуках Фонтану Молодості"
 desc_sce_search_fountainofyouth:0 "Ваш конкістадор шукає Фонтан Молодості – Води життя."
 sce_life_water:1 "'Фонтан Молодості'"
 desc_sce_life_water:1 "Вода з Фонтану Молодості освіжає і добра на смак. Він є місцем паломництва і дивиною. Проте мало що можна сказати про його здатності відновлювати життя, проте..."
 sce_search_cibola:0 "Пошуки Сіболи"
 desc_sce_search_cibola:0 "Ваш конкістадор шукає Сіболу – одне з легендарних Семи золотих міст."
 sce_cibola_silver:1 "Сібола"
 desc_sce_cibola_silver:1 "Легенда про Сіболу виявилася правдивою! Місто, покрите золотом, коштовним камінням та всілякими дорогоцінними виробами."
 sce_search_cityofcaesars:0 "Пошуки Міста Цезарів"
 desc_sce_search_cityofcaesars:0 "Наш конкістадор шукає Місто Цезарів, багате і процвітаюче, повне золота, срібла і діамантів."
 sce_city_of_caesars:1 "Місто Цезарів"
 desc_sce_city_of_caesars:1 "Легендарне місто Цезарів розташовано на справжній горі кварцу. Нам знадобляться сотні, якщо не тисячі років, щоб добути це все!"
 sce_search_sierradelaplata:0 "Пошуки Сьєрра-дель-Плати"
 desc_sce_search_sierradelaplata:0 "Наш конкістадор шукає Сьєрра-дель-Плату – Срібні гори."
 sce_sierradelaplata_quartz:1 "Сьєрра-дель-Плата"
 desc_sce_sierradelaplata_quartz:1 "У легенді про Сьєрра-дель-Плату йдеться про гори, повні срібла. Мало того, що легенда справдилася, примітно що в ній не було згадано корону з діамантів, насаджену на верхівку стародавнього трону!"
 sce_sierra_dela_plata:0 "Сьєрра-дель-Плата"
 desc_sce_sierra_dela_plata:0 "Срібну гору, де править Білий Король, було знайдено нашим конкістадором! Це принесе нам багатство і підніме престиж."
 sce_search_norumbega:0 "Пошуки Норумбеги"
 desc_sce_search_norumbega:0 "Конкістадор шукає Норумбегу – поселення вікінгів у Північній Америці, повне скарбів."
 sce_search_quivira:0 "Пошуки Квівіра"
 desc_sce_search_quivira:0 "Земля, де золоті чаші звисають з дерев, – наш конкістадор шукає це місце."
 sce_norumbega_abandoned:1 "Норумбега"
 desc_sce_norumbega_abandoned:1 "Виявлено стародавнє місто Норумбега! Багатство дорогоцінних металів лежить відкритими пластами прямо посеред вулиць."
 sce_search_saguenay:0 "Пошуки Королівства Сагеней"
 desc_sce_search_saguenay:0 "Ваш конкістадор шукає розташоване в Північній Америці Королівство Сагеней, де за чутками знаходяться багаті поклади золота, срібла і рубінів."
 sce_saguenay_abandoned:1 "Королівство Сагеней"
 desc_sce_saguenay_abandoned:1 "Стародавнє місто Сагеней наповнено єретичними ідолами та золотими статуями танцюючих поганських богів. Наш обов'язок – розплавити їх і перерозподілити багатство."
 sce_golden_cups:1 "Золоте місто Квівіра"
 desc_sce_golden_cups:1 "Попри відсутність золотих чаш на гілках, під зруйнованим містом було знайдено цінні родовища нефриту. Хоч на це піде багато часу і зусиль, але видобуток цього матеріалу виявиться найвигіднішим кроком."

 # OPINION MODIFIERS
 cannibal_conquistador:0 "Конкістадор-канібал"
 threatening_punishment:0 "Страшна кара"
 # Random Events
 seven_cities_events.300.t:0 "Жінка серед нас"
 seven_cities_events.300.d:0 "Коли ми поповнювали запаси в провінції $PROVINCENAME$, молода вагітна жінка та її чоловік, відомий мисливець, запропонували нам свої послуги провідників і перекладачів. Як виявилося, жінка володіє кількома мовами, а її чоловік, француз за національністю, відомий як чудовий мисливець і непогано знає місцевість."
 seven_cities_events.300.a:0 "Найняти їх."
 seven_cities_events.300.b:0 "Вони нам не потрібні."
 seven_cities_events.301.t:0 "Врятований принцесою"
 seven_cities_events.301.d:0 "Неможливо уявити весь жах, пережитий конкістадором, коли він лежав на великому кам'яному вівтарі в оточенні дикунів з занесеними над головами палицями. На щастя для нього, улюблена дочка вождя вийшла вперед і поклала свою голову поверх його, щоб врятувати від смерті."
 seven_cities_events.301.a:0 "Ми повинні впевнитися, що це було в перший і останній раз."
 seven_cities_events.301.b:0 "Варвари!"
 seven_cities_events.302.t:0 "Напад туземців"
 seven_cities_events.302.d:0 "Трагічні новини: наш конкістадор поліг у бою! Просуваючись на каное вгору по річці експедиція натрапила на місцевих жителів. Ті зажадали, щоб каное негайно пристали до берега і члени експедиції підкорилися. На березі їх роззброїли і роздягли догола, але конкістадор чинив опір подібному поводженню. Почалася перестрілка, і він був убитий дикунами. За словами єдиного вцілілого члена експедиції, тіло конкістадора було викинуто на берег і растерзано на шматки, а сам він уцілів лише дивом, тікаючи з усіх ніг від дикунів. Через кілька миль з наздоганяючих його, роздягненого догола, виснаженого і зраненого, залишився лише один чоловік. Насилу, але втікачеві вдалося здолати його і знайти притулок у провінції $PROVINCENAME$."
 seven_cities_events.302.a:0 "Це жахливо!"
 seven_cities_events.303.t:0 "Заблукав"
 seven_cities_events.303.d:0 "Нам варто зрозуміти, що наш конкістадор абсолютно не уміє орієнтуватися на місцевості, ще після того, як він заблукав вдруге. У перший раз він попрямував за двома нашими в'ючними кіньми і зник на шістнадцять днів. Конкістадор помер би з голоду, якби не виноград і кролики, що живуть в тих місцях. Пізніше він пояснював, що думав, що знаходиться позаду експедиції, і намагався наздогнати нас, а потім зголоднів і попрямував вниз за течією річки в пошуках торговців. Експедиція направила на пошуки кращого мисливця, і в кінці кінців конкістадор повернувся назад. Вдруге він зник на три дні, досліджуючи одну з трьох приток річки. Знову на пошуки конкістадора був посланий мисливець, і після його повернення ми почули захоплюючу історію про спроби спуститися вниз за течією і знайти нас по слідах. У підсумку, всі зійшлися на думці, що конкістадора не можна відправляти одного на дослідження віддалених частин території $PROVINCENAME$, але це не допомогло, і через всього пару хвилин конкістадор вже пішов."
 seven_cities_events.303.a:0 "Пошліть на його пошуки мисливця."
 seven_cities_events.303.b:0 "Залиште його, нехай сам нас шукає."
 seven_cities_events.304.t:0 "Собаче життя"
 seven_cities_events.304.d:0 "Великий чорний пес на прізвисько Моряк супроводжував нашу експедицію з самого початку і пережив чимало пригод. Бобер вкусив його так сильно, що лікареві довелося оперувати лапу. Москіти дошкуляли експедиції, і пес вив від заподіюваних ними мук. Аборигени з провінції $PROVINCENAME$ вкрали Моряка, але незабаром він повернувся до нас. Конкістадор сильно прив'язався до пса, і дуже розсердиться, якщо з Моряком щось станеться."
 seven_cities_events.304.a:0 "Племена з провінції $PROVINCENAME$ відчують на собі наш гнів, якщо з собакою що-небудь станеться!"
 seven_cities_events.304.b:0 "Це всього лише собака."
 seven_cities_events.305.t:0 "Ворушіться, черепахи!"
 seven_cities_events.305.d:0 "Жителі провінції $PROVINCENAME$ не були особливо доброзичливі до експедиції. Зустрінуті нами дикуни в першу ж ніч спробували вкрасти зброю. У сутичці двоє туземців були вбиті. Рятуючись від переслідування, наш загін зумів подолати понад 160 кілометрів всього за один день, і лише потім ризикнув розбити табір. Всі ознаки вказують на те, що дикуни знову їх переслідують, і члени загону повинні знайти в собі достатньо сил для нового марафону..."
 seven_cities_events.305.a:0 "Біжіть, дурні!"
 seven_cities_events.306.t:0 "Розмахуючи білим прапором"
 seven_cities_events.306.d:1 "Племена [Root.Owner.GetName] і [rival_tribe.GetName] ворогують між собою. На жаль, наш конкістадор усвідомив це занадто пізно. Обидва племені вимагають плату за право проходу по їхніх землях. Обдарувавши одного з вождів, наш конкістадор накликав на себе гнів іншого, до того ж запропоновані дари вождю не сподобалися, а кілька воїнів спробували відібрати нашу провізію. Конкістадор і його намісник оголили мечі й дали відсіч, пригрозивши застосувати силу. Вожді пішли на поступки і їм обом було піднесено щедрі дари."
 seven_cities_events.306.a:0 "Спробувати переконати їх закопати сокиру війни."
 seven_cities_events.306.b:0 "Відмінна робота!"
 seven_cities_events.307.t:0 "Кровоточать ясна і випадають зуби"
 seven_cities_events.307.d:0 "З урахуванням дієти, що складається в основному з в'яленого м'яса і сушених зерен, варто було запідозрити цингу ще за перших ознак нездужання, але, на жаль, лише коли ясна почали кровоточити, а зуби випадати, ми усвідомили, що треба щось зробити для порятунку членів експедиції. Оскільки рослини в цій провінції нам незнайомі й можуть бути отруйні, їсти їх було б нерозумно . Можливо, варто налагодити контакт з жителями провінції $PROVINCENAME$ і попросити їх про допомогу?"
 seven_cities_events.307.a:0 "Купити в них ліки!"
 seven_cities_events.307.b:0 "Ні, спочатку спробуйте з'їсти щось з фруктів."
 seven_cities_events.308.t:0 "Амазонки"
 seven_cities_events.308.d:0 "На землі $PROVINCENAME$ живуть два дуже дивні племена: жінки проживають окремо від чоловіків, яким дозволено відвідувати жіноче село лише кілька разів на рік. Будь-який хлопчик, народжений після такої зустрічі, відсилається на виховання в чоловіче селище, тоді як дівчатка залишаються в жіночому. Якщо ж чоловік ризикне наблизитися до жіночого села без дозволу, то на нього чекають стріли і списи його мешканок. Чоловіки цього дивного племені якраз готуються до чергового візиту і запросили членів експедиції приєднатися до них."
 seven_cities_events.308.a:0 "Погана ідея."
 seven_cities_events.308.b:0 "Це може бути єдиним способом краще зрозуміти їхні дивні звичаї."
 seven_cities_events.309.t:0 "Заколот в провінції $PROVINCENAME$!"
 seven_cities_events.309.d:0 "Кілька членів експедиції так захопилися ідилічним життям в провінції $PROVINCENAME$, що вирішили залишити загін. Конкістадор оголосив це заколотом, і після кількох днів погоні дезертири були схоплені. Варто їх повернути на батьківщину, або ж дозволити повернутися в загін після покарання різками?"
 seven_cities_events.309.a:0 "Відішліть їх додому."
 seven_cities_events.309.b:0 "Висікти їх."
 seven_cities_events.310.t:0 "Зимівля з туземцями"
 seven_cities_events.310.d:0 "В провінції $PROVINCENAME$ наш конкістадор зустрів місцевих жителів, які виявилися настільки привітними і гостинними, що він втратив відчуття часу. Його експедиції довелося провести всю зиму серед нових друзів і союзників, що сприяло зміцненню відносин."
 seven_cities_events.310.a:0 "Він витратив час, але придбав друзів... добре."
 seven_cities_events.400.t:0 "Той, що вижив"
 seven_cities_events.400.d:0 "На початку шляху експедиція налічувала 600 учасників. Але лише четверо повернулися додому живими. Коли вони тільки прибули, загін дізнався про долю іншої експедиції, із 600 учасників якої 450 пропали безвісти. Побоюючись повторити їхню долю багато дезертували. Незабаром після цього на експедицію обрушився ураган, після якого вона недорахувалася ще кількох людей. Проблеми слідували одна за одною: стихійні лиха, голод, хвороби, атаки дикунів. Одним з чотирьох вцілілих був Естебаніко – чорношкірий раб родом з Африки, навчений конкістадором навичок лідера. Ми можемо найняти його для участі в подальших експедиціях, хоча це буде коштувати нам престижу."
 seven_cities_events.400.a:0 "Винайняти Естебаніко, нам потрібен новий конкістадор."
 seven_cities_events.400.b:0 "Ні, ми знайдемо кращу кандидатуру."
 seven_cities_events.401.t:0 "П'яні злодії"
 seven_cities_events.401.d:0 "Ми знайшли цих двох, коли вони сиділи, на всю горлянку волали сороміцькі пісні й пили віскі прямо з пляшок. Їхня вина очевидна. Вкрасти віскі й напитися на посту – як непрофесійно! Був суд і їх засудили до сіканки різками, після чого відпустили."
 seven_cities_events.401.a:0 "Вони не заслуговують на березову кашу!"
 seven_cities_events.401.b:0 "Це їх провчить!"
 seven_cities_events.401.c:0 "Сподіваюся, це не сильно відволікає їх від основного заняття..."
 seven_cities_events.402.t:0 "Золоті копальні Перальти"
 seven_cities_events.402.d:0 "Лише кілька золотошукачів з родини Перальта пережили криваву бійню, влаштовану дикунами на землі $PROVINCENAME$. Вцілілі благають конкістадора і солдатів у складі його експедиції помститися дикунам, обіцяючи в нагороду багато золота."
 seven_cities_events.402.a:0 "Все що завгодно заради золота!"
 seven_cities_events.402.b:0 "У експедиції є справи важливіші."
 seven_cities_events.403.t:0 "Золото і алмази"
 seven_cities_events.403.d:0 "Вцілілі члени сім'ї Перальта привели нас на місце битви. Тіла загиблих лежали недоторканими, а вози було спалено. Ми поховали померлих, тоді як розвідники шукали сліди нападників. Сліди вивели до золотої шахти Перальта і стало очевидно, що дикуни сховалися в ній. Один із вцілілих підтвердив, що це саме ті, хто напав на них. Після жорстокої сутички тіла дикунів залишилися лежати зовні. Сім'я Перальта дотримала слово і щедро винагородила нас золотом."
 seven_cities_events.403.a:0 "Чесна плата за чесну роботу."
 seven_cities_events.404.t:0 "Кварц і пірит"
 seven_cities_events.404.d:0 "Тіла загиблих членів сім'ї Перальта були настільки понівечені, що їх не вдалося опізнати. Похорон зайняв багато часу, і розвідники, послані на пошуки нападників, повернулися ні з чим. Старший з синів Перальта, один з небагатьох, які пережили бійню, відмовився здатися. Він вивів експедицію до золотої шахти в надії знайти нам нападників. На жаль, шахти більше не існувало, вхід до неї був завалений. Однак, за сім'ю Перальта вдалося помститися, заставши зненацька і перебивши велику групу дикунів."
 seven_cities_events.404.a:0 "Ну хоч щось."
 seven_cities_events.405.t:0 "Він жінка!"
 seven_cities_events.405.d:0 "Ми б ніколи не здогадалися, що Барре жінка, якби не крики туземців, які повідомили нам про це ледь експедиція вступила в провінцію $PROVINCENAME$. Вона приєдналася до нас як помічник натураліста, хвора нога якого завдавала ряд незручностей, і несла на собі припаси і зібрані зразки. Барре стверджує, що просто наглядає за натуралістом, але, здається, їхні стосунки дещо глибші. Чи ми дозволимо їй і далі супроводжувати експедицію?"
 seven_cities_events.405.a:0 "Так, дозволити їй залишитися."
 seven_cities_events.405.b:0 "Ні, відіслати її додому!"
 seven_cities_events.406.t:0 "Отруйна скеля"
 seven_cities_events.406.d:0 "Дев'ять коней загинуло, харчуючись отруйною травою, а ще двоє були в настільки поганому стані, що їх довелося кинути. Це прокляте місце кишить отруйними тваринами, і конкістадор вже шкодує, що розбив тут табір. Велике скельне утворення служить відмінним захистом від суворих вітрів, але Отруйна скеля, як назвав її конкістадор, – невдале місце і для звірини, і для людини."
 seven_cities_events.406.a:0 "Йдіть пішки, якщо доведеться!"
 seven_cities_events.407.t:0 "Несправжні алмази землі $PROVINCENAME$"
 seven_cities_events.407.d:0 "Наш землепроходець послав нам каміння, знайдене ним в провінції $PROVINCENAME$. Він вважав, що ці білі та блискучі мінерали є алмазами, але вчені сказали, що це всього лише звичайний кварц. Землепроходець не знайшов багатств, але став причиною насмішок..."
 seven_cities_events.407.a:0 "Не тільки алмази блищать."
 seven_cities_events.408.t:0 "Знайшовся дезертир!"
 seven_cities_events.408.d:0 "Конкістадор попередив нас, що один з його підлеглих втік, зневірившись в успіху експедиції. Він вважав, що більше не побачить цього дезертира, але від наших агентів ми дізналися, що втікач знайшовся і активно торгує картами з торговцями і першопрохідцями держави-суперниці ..."
 seven_cities_events.408.a:0 "Зупиніть його, але дійте обережно."
 seven_cities_events.408.b:0 "Вбити його! Нехай послужить прикладом іншим!"
 seven_cities_events.409.t:0 "Право на нові землі"
 seven_cities_events.409.d:0 "Хоч конкістадор і не надіслав нам золота, зате ми отримали від нього чудово виконану карту нових земель, які тільки і чекають приходу відважних поселенців..."
 seven_cities_events.409.a:0 "Напрочуд гарні новини, хоч і не про золото."
 seven_cities_events.410.t:0 "Покинуті кургани"
 seven_cities_events.410.d:0 "Ще здалеку конкістадор помітив кілька височин на рівнині $PROVINCENAME$, але вважав їх простими пагорбами. Однак, коли експедиція наблизилася до них, стало очевидно, що їх правильне розташування говорить про штучне походження, і один з найбільш заповзятливих товаришів конкістадора припустив, що це можуть бути залишки величних пірамід, побудованих стародавніми мешканцями цих місць."
 seven_cities_events.410.a:0 "Під цими пагорбами повинно бути золото! Копайте!"
 seven_cities_events.410.b:0 "Залиште їх у спокої, це просто купи землі."
 seven_cities_events.411.t:0 "Нічого крім бруду"
 seven_cities_events.411.d:0 "Це були всього лише пагорби, хоча 'заповзятливий товариш' і вважав їх залишками стародавніх пірамід. Але він помилився, і експедиція не знайшла нічого, крім землі та бруду."
 seven_cities_events.411.a:0 "Яке розчарування!"
 seven_cities_events.412.t:0 "Трохи золота"
 seven_cities_events.412.d:0 "Пагорби насправді виявилися руїнами пірамід, споруджених стародавніми людьми, і експедиції вдалося знайти кілька золотих монет. І все ж більшість учасників походу вважають цю затію марною тратою часу, з чим ми не можемо не погодитися."
 seven_cities_events.412.a:0 "Хоча трохи золота – це добре."
 seven_cities_events.413.t:0 "Тут (мешкають) дракони – Hic Sunt Dracones"
 seven_cities_events.413.d:0 "Над рікою, височіє скеля з майже стертими зображеннями, але все ж на ній ще можна розрізнити контури шестилапого чудовиська. Туземці повідали нам історію про перемогу їхніх предків над драконоподібним монстром, але деякі з них стверджують, що цей малюнок – попередження, і ми не сміємо йти далі. Єдине, на чому наполягають всі без винятку туземці, – вони повинні обстріляти цей малюнок з усієї наявної зброї."
 seven_cities_events.413.a:0 "Давайте збережемо припаси."
 seven_cities_events.413.b:0 "Підтримаємо їх у війні з почварою."
 seven_cities_events.414.t:0 "Смертельне озеро"
 seven_cities_events.414.d:0 "Місцеві шепочуться між собою і кидають злі погляди на водну гладінь. За їхніми словами в озері живе дух у вигляді гігантського змія. Вони стверджують, що дух підстерігає каное і тягне їх під воду. Можливо, монстр тут ні до чого, але чи не буде краще обійти це озеро стороною?"
 seven_cities_events.414.a:0 "Підемо в обхід."
 seven_cities_events.414.b:0 "Ніяких монстрів не існує, перетинайте озеро."
 seven_cities_events.500.t:1 "Конкістадор-канібал з держави [long_pig_country.GetName]"
 seven_cities_events.500.d:1 "Конкістадор з держави [long_pig_country.GetName] зізнався, що члени його експедиції їли людську плоть! У своє виправдання він сказав, що вони уяви не мали що за м'ясо їм підсунули туземці, адже назву було перекладено як 'довга свиня'."
 seven_cities_events.500.a:0 "Просто огидно!"
 seven_cities_events.501.t:0 "Повага до традицій"
 seven_cities_events.501.d:0 "Конкістадор з держави $FROMCOUNTRY$ з великою увагою та повагою поставився до дотримання наших традицій."
 seven_cities_events.501.a:0 "Це важливо для нас."
 seven_cities_events.502.t:0 "Образа"
 seven_cities_events.502.d:0 "Поведінка конкістадора з держави $FROMCOUNTRY$ розлютила нас! Ці прибульці не тільки образили нас і наші традиції, але й осквернили святе-святих нашого народу!"
 seven_cities_events.502.a:0 "Хай наздожене його божественна кара!"
 seven_cities_events.503.t:0 "Залякані конкістадором"
 seven_cities_events.503.d:0 "Щось змусило конкістадора з держави $FROMCOUNTRY$ звинуватити нас у злих намірах і навіть погрожувати фізичною розправою! Це тривожні вісті."
 seven_cities_events.503.a:0 "Що ми йому зробили?"
 seven_cities_events.504.t:0 "Доброзичливий конкістадор"
 seven_cities_events.504.d:0 "Державі FROMCOUNTRY$ слід пишатися своїм конкістадором, – його візит виявився вкрай вигідний для нас."
 seven_cities_events.504.a:0 "Нам варто подякувати їм."
 seven_cities_events.505.t:0 "Мир, подарований конкістадором"
 seven_cities_events.505.d:0 "Конфлікт між нами і сусіднім народом змусив конкістадора з держави [conquistador_country.GetName] втрутитися і спробувати примирити сторони. На загальний подив його задум виявився успішним!"
 seven_cities_events.505.a:0 "Ми у захваті!"
 seven_cities_events.506.t:0 "Втручання конкістадора"
 seven_cities_events.506.d:0 "Конкістадор з держави [conquistador_country.GetName] спробував змусити нас і наших ворогів закопати сокиру війни! Через цю недолугу спробу ворожнеча між нашими народами розгорілася з небаченою силою."
 seven_cities_events.506.a:0 "Неприємний сюрприз."
 kill_conquistador:0 "Конкістадор помирає."
 sce_sacagawea:0 "Сакагавея"
 desc_sce_sacagawea:0 "Сакагавея, жінка з племені Північних Шошонів, була перекладачем і провідником в експедиції Льюїса і Кларка."
 sce_lost_woods:0 "Загублені в лісі"
 desc_sce_lost_woods:0 "У лісах цієї провінції легко заблукати."
 sce_lost_woods_tooltip:0 "Загублені в лісі"
 desc_sce_lost_woods_tooltip:0 "У цій провінції легко загубитися."
 sce_shortcut:0 "Марш-кидок"
 desc_sce_shortcut:0 "Страх відмінно мотивує, і наші люди на чолі з конкістадором дуже швидко подолають цю провінцію."
 sce_shortcut_tooltip:0 "Марш-кидок"
 desc_sce_shortcut_tooltip:0 "Страх відмінно мотивує, і наші люди на чолі з конкістадором дуже швидко подолають цю провінцію."
 respected_tribe:0 "Вдячне плем'я"
 insulted_tribe:0 "Ображене плем'я"
 sce_interfering_intruder:0 "Чужинець, що втрутився"
 sce_reluctant_peace:0 "Вимушений мир"
 sce_jeanne_baret:0 "Жанна Барре"
 desc_sce_jeanne_baret:0 "Жанна Барре була экономкою Філібера Коммерсона, поки він не приєднався до експедиції Луї Антуана де Бугенвіля. Переодягнувшись чоловіком, вона пішла за Коммерсоном і супроводжувала його в якості асистента."
 sce_cart_peddler_stopped:0 "Торгівля картами припинена"
 desc_sce_cart_peddler_stopped:0 "Дезертира, який покинув нашу експедицію, переконали припинити продаж карт торгівцям і першопрохідцям."
 sce_cart_peddler_killed:0 "Дезертир убитий"
 desc_sce_cart_peddler_killed:0 "Наші агенти розібралися з дезертиром, зробивши з його смерті приклад для інших. Ніхто не сміє дезертувати, щоб потім продавати карти торговцям і першопрохідцям конкуруючих країн!"
 sce_new_domains:0 "Нові володіння"
 desc_sce_new_domains:0 "Чудова деталізована карта нових земель надихнула нас на заселення неосвоєних територій."
 sce_mounds:0 "Покинуті кургани"
 desc_sce_mounds:0 "Під землею, що покриває напрочуд впорядковані пагорби, можуть ховатися залишки стародавніх пірамід, повні золота і дорогоцінних каменів. Їх варто дослідити."
 sce_monster_lake:0 "Озерний монстр"
 desc_sce_monster_lake:0 "Місцевий забобон, згідно з яким в озері живе монстр і тягне на дно каное, затримав експедицію."
 nahuatl_reforms:0 "Реформи Науатля"
 nahuatl_reform_1:0 "Послаблення в сумптуарних законах"
 nahuatl_reform_1_desc:0 "Наше суспільство традиційно обмежує використання вишуканого одягу, прикрас, і навіть кількість оповідей про своїх предків для класу месеуалли. Якщо ж ми надамо пільги тим, хто добре показав себе на полі бою, то кожен член нашого суспільства буде намагатися проявити себе під час війни."
 nahuatl_reform_2:0 "Розширені повноваження почтека"
 nahuatl_reform_2_desc:0 "Торгові компанії почтека часто використовувалися нами в якості емісарів, дипломатів та шпигунів у наших відносинах з іншими містами-державами. Потрібно офіційно розширити їх повноваження, щоб вони могли більш ефективно вести міжнародні відносини."
 nahuatl_reform_3:0 "Військові звання"
 nahuatl_reform_3_desc:0 "Створивши систему військових звань, де місце кожного залежить від числа взятих ним бранців, ми зможемо підтримати суперництво серед воїнів і тоді вони будуть постійно вдосконалювати свої навички."
 nahuatl_reform_4:0 "Розширення за рахунок племен"
 nahuatl_reform_4_desc:0 "Землі, що лежать на північ від нас, є домом для безлічі неорганізованих і ізольованих племен. Відправляючи групи поселенців і солдатів у ці області, ми зможемо включити ці дикі землі в число наших володінь."
 nahuatl_reform_5:0 "Правова реформа"
 nahuatl_reform_5_desc:0 "Досі міста-держави, що перебувають під нашим контролем, не мали мали єдиних законів і управлялися за стародавніми звичаями. Необхідно створити звід законів, що описує процедуру управління царством і навчання тлатоке."
 inti_reforms:0 "Реформи Інті"
 inti_reform_1:0 "Організоване вербування"
 inti_reform_1_desc:0 "Хоч підкорені народи і бездоганно надають війська для нашої армії, відсутність стабільної системи обміну повідомленнями дуже затягує цей процес. Зажадавши від кожної залежної області передачі своїх воїнів на постійній основі, ми зможемо більш ефективно розпоряджатися рекрутами."
 inti_reform_2:0 "Політика мітма"
 inti_reform_2_desc:0 "Переселення цілих сіл з лояльних областей на знову завойовані або тільки освоювані землі сильно спростить розширення імперії. Історично цей тип переселення також використовувався для переміщення населення з нещодавно завойованих земель в центральні частини імперії. При цьому закони суворо забороняли людям повертатися на колишнє місце проживання."
 inti_reform_3:0 "Реформа культу Інті"
 inti_reform_3_desc:0 "Незважаючи на те, що Інті, бог Сонця, є верховним над усіма богами, більшість народів Анд поклоняються безлічі різних Уак. Ми повинні зобов'язати мешканців усіх куточків нашої імперії визнати Інті своїм верховним божеством, а ідоли Уак оголосити його втіленнями і передати в храми."
 inti_reform_4:0 "Яна Камайук"
 inti_reform_4_desc:0 "Заборонивши спадкування командирських титулів племінним вождям і знаті, ми можемо просунути новий клас командирів, призначених безпосередньо державою. Будучи обраними за рахунок своїх особистих заслуг і тому віддані нам, вони виступлять гарантом того, що нашою армією будуть командувати тільки самі здібні командири."
 inti_reform_5:0 "Адміністративна реформа"
 inti_reform_5_desc:0 "Для того, щоб полегшити розширення нашої імперії, необхідно створити новий клас адміністраторів, чиї обов'язки будуть полягати у проектуванні мостів, доріг і Тамбо-Бланко в захоплених землях, не кажучи вже про постійний огляд споконвічних земель."
 mesoamerican_reforms:0 "Реформи Майя"
 mesoamerican_reform_1:0 "Єдина армія"
 mesoamerican_reform_1_desc:0 "Наша імперія складається з альтепетлей, кахов і безлічі дрібних міст-держав, які визнають наше верховенство. Хоч ми і можемо командувати силами всіх цих міст, вони діють незалежно один від одного і утримуються за рахунок своїх рідних міст. Єдина армія гарантує, що ресурси будуть витрачатися більш ощадливо."
