l_ukrainian:
 # Country formation decisions
 TTS:0 "Дві Сицилії"
 new_court_flavour_events.18.option:0 "Ви пошкодуєте про це."
 opinion_court_events_interfered:0 "Втручалися в наші справи"
 opinion_court_events_released_compatriot:0 "Звільнений співвітчизник"
 opinion_court_events_held_compatriot:0 "Затриманий співвітчизник ув'язнений"
 UNFORTUNATE:0 "Безталанний."
 new_court_flavour_events.20.name:0 "Сумнівне марнотратство"
 new_court_flavour_events.20.desc:1 "[Root.GetEventAdvisorName] смітить грошима так багато, що це викликає багато запитань. [Root.GetEventAdvisorSheHeCap] витрачає великі суми грошей - набагато більше, ніж дозволяє [Root.GetEventAdvisorHerHis] посада - обсипає подарунками місцевого радника у своєму рідному регіоні та покращує місцеву інфраструктуру. Розслідування виявило факти: замість того, щоб служити [Root.Monarch.GetTitleOMU] в міру своїх здібностей, [Root.GetEventAdvisorName] скеровує державні кошти до провінції [corrupt_advisor_province.GetName], щоб підвищити там свою популярність. Хоча це було благом для місцевої економіки, така практика, якщо з нею змиритися, може виявитися шкідливою для держави в цілому."
 new_court_flavour_events.20.A:0 "Закрити на це очі."
 new_court_flavour_events.20.B:0 "Заарештуйте [Root.GetEventAdvisorHerHis]!"
 new_court_flavour_events_subsidies:0 "Місцеві інвестиції"
 desc_new_court_flavour_events_subsidies:0 "Місцевий сановник вкладає кошти в інфраструктуру цієї провінції – і во власну популярність серед мешканців."
 new_court_flavour_events.21.name:0 "Іспит совісті"
 new_court_flavour_events.21.desc:0 "Серед паперів [Root.Monarch.GetTitleOGO] знайдено записку від нашого радника.\n\n"Мій [Root.Monarch.GetTitle],\n\nЯ завжди служи[Root.GetEAEndVLa] вам і державі [Root.GetUsableName] в міру своїх здібностей. Однак, з важким серцем я мушу оголосити про свою відставку, як ваш[Root.GetEAEndA] [Root.GetEventAdvisorTitle]. Оголошення війни проти держави [religious_enemy_country.GetUsableName] перейшло межу - я не можу зберігати мовчання перед обличчям ваших злочинів проти моїх релігійних братів.\n\nЗ повагою,\n[Root.GetEventAdvisorName]"\n\nСпроби встановити [Root.GetEventAdvisorHerHis] поки що виявилися невдалими. Схоже, що [Root.GetEventAdvisorSheHe] покину[Root.GetEAEndVLa] країну."
 new_court_flavour_events.22.name:0 "Закордонний досвід"
 new_court_flavour_events.22.desc:0 "Хоча [Root.GetAdjective]е дворянство трохи стривожено ідеєю іноземця, який працює на їх [Root.Monarch.GetTitleOGO], наш[Root.GetEAEndA] [Root.advisor_culture.GetCultureName] [Root.GetEventAdvisorTitle], [Root.GetEventAdvisorName], отрима[Root.GetEAEndVLa] широке схвалення при дворі за привнесення свіжих ідей і практик. Здається, ми все ще можемо дечому навчитися за кордоном!"
 new_court_flavour_events.25.name:0 "Кров людська не водиця?"
 new_court_flavour_events.25.desc:0 "Поточна війна з державою [advisor_enemy_country.GetUsableName] викликала низку інтриг при [Root.GetAdjective]ому дворі. З одного боку, [Root.GetEventAdvisorName], наш[Root.GetEAEndA] [Root.GetEventAdvisorTitle], як[Root.GetEAEndAYJ] сповідує віру [Root.advisor_culture.GetCultureName], запропонува[Root.GetEAEndVLa] почерпнути інформацію з [Root.GetEventAdvisorHerHis] мережі контактів в державі [advisor_enemy_country.GetUsableName] - великої мережі, яка за [Root.GetEventAdvisorSheHe] словами, включає декілька контактів, близьких до [advisor_enemy_country.Monarch.GetTitleOGO] - щоб допомогти військовим.\n\nЗ іншого боку, [Root.GetEventAdvisorHerHis] політичні опоненти піддали сумнівам [Root.GetEventAdvisorHerHis] відданість. Вони стверджують, що, попри [Root.GetEventAdvisorHerHis] раніше зразкову службу, ми просто не можемо довіряти раднику, як[Root.GetEAEndAYJ] сповідує віру [Root.advisor_culture.GetCultureName], брати в цей час участь у дискусіях національного значення. Тому вони вимагають, щоб [Root.GetEventAdvisorHerHis] вигнали з двору."
 new_court_flavour_events.25.A:0 "Вони мають рацію – вигнати [Root.GetEventAdvisorHerHis]!"
 new_court_flavour_events.25.B:0 "Схопить [Root.GetEventAdvisorHerHis] – [Root.GetEventAdvisorHerHis] інформація буде корисна."
 tooltip_in_30_days:0 "Через 30 днів:\n"
 new_court_flavour_events.26.name:0 "Звіти про плани [advisor_enemy_country.GetAdjective]ої війни"
 new_court_flavour_events.26.desc:0 "Попри питання, стосовно [Root.GetEventAdvisorHerHis] вірності, [Root.GetEventAdvisorName] здається, бу[Root.GetEAEndVLa] вірн[Root.GetEAEndAYJ] своєму слову. Перші донесення, що надійшли з [Root.GetEventAdvisorHerHis] мережі контактів, надали нам великі відомості про [advisor_enemy_country.GetAdjective]і військові плани."
 new_court_flavour_events.27.name:0 "[From.GetAdjective]ий перебіжчик!"
 new_court_flavour_events.27.desc:0 "Перед [Root.Monarch.GetTitleKYM] постав чоловік, який наполягає на тому, щоб його вислухали. Він стверджує, що працював на службі у [From.GetAdjective]ого [From.Monarch.GetTitleOGO] і дізнався подробиці [From.GetAdjective]их військових планів проти держави [Root.GetUsableName], його батьківщини. Як самовідданий [Root.GetAdjective]ий патріот, зараз він пропонує нам свої послуги разом з цією інформацією, яка, за його словами, була майстерно зібрана з ризиком для його життя в самих вузьких колах [From.GetAdjective]ого двору."
 new_court_flavour_events.27.option:0 "Його заслуги не забудуть - і будуть винагороджені."
 new_court_flavour_events.28.name:0 "Зрада"
 new_court_flavour_events.28.desc:0 "[Root.GetEventAdvisorName] нас зради[Root.GetEAEndVLa]! Попри пильне око [Root.GetEventAdvisorHerHis] ворогів, [Root.GetEventAdvisorHerHim] вдалося прослизнути через кордон з копіями важливих документів, що належать до наших військових планів!"
 new_court_flavour_events.30.name:0 "Зміна політики?"
 new_court_flavour_events.30.desc:0 "[Root.GetEventAdvisorName] набув багато друзів при [Root.GetAdjective]ому дворі завдяки [Root.GetEventAdvisorHerHis] відданій службі, як [Root.GetEventAdvisorTitle] [Root.Monarch.GetTitleOGO]. Проте, абсолютно зворотна ситуація сталася з [Root.GetEventAdvisorHerHis] співвідчизниками, які перебувають на службі [advisor_antiliaisons_target_country.GetAdjective]ої [advisor_antiliaisons_target_country.GetStateForm]: заздрячи [Root.GetEventAdvisorHerHis] положенню, вони дорікають [Root.GetEventAdvisorHerHim] за працевлаштування серед [Root.GetEventAdvisorHerHis] ворогів і почали поширювати чутки, що ставлять під сумнів [Root.GetEventAdvisorHerHis] надійність.\n\nТурбуючись за своє становище при [Root.GetAdjective]ому дворі, [Root.GetEventAdvisorName] ста[Root.GetEAEndVLa] затятим противником всьго, що представляє [advisor_antiliaisons_target_country.GetRulerAdjAndTitle]. [Root.GetEventAdvisorSheHeCap] об'єдна[Root.GetEAEndVSia] з декількома політиками-однодумцями і тепер вони закликають зайняти більш жорстку позицію проти держави [advisor_antiliaisons_target_country.GetUsableName]."
 new_court_flavour_events.30.A:0 "[Root.GetEventAdvisorSheHeCap] прав[Root.GetEAEndAYJ] – потрібна зміна політики."
 new_court_flavour_events.30.B:0 "Погіршення відносин не в наших інтересах."
 new_court_flavour_events.31.name:0 "Нав'язливий радник"
 new_court_flavour_events.31.desc:0 "Наші очі та вуха у державі [From.GetUsableName] повідомляють, що нещодавно [From.GetRulerAdjAndTitle] зайняв жорсткішу позицію щодо держави [Root.GetUsableName]. Схоже, що цю зміну політики значною мірою спричиняє [From.GetEventAdvisorName], [Root.Culture.GetName] [From.GetEventAdvisorTitle], турбуючись про себе при [From.GetAdjective]ому дворі, та висуває проти нас цілий ряд звинувачень і закликає до рішучої відповіді на наші передбачувані агресивні дії."
 new_court_flavour_events.31.option:0 "Чому маленький!"
 new_court_flavour_events.32.name:0 "Нав'язливий радник"
 new_court_flavour_events.32.desc:0 "Попри те, що ми не підтримуємо [Root.GetEventAdvisorHerHis] плани посіяти розбрат між нами та державою [advisor_antiliaisons_target_country.GetUsableName], [Root.GetEventAdvisorName] не припиняє свої спроби. Схоже, що до [Root.GetEventAdvisorHerHis] приєдналися впливові [Root.GetNoblemenPoliticians], які підтримують [Root.GetEventAdvisorHerHis] позицію  і терміново закликають до зміни політики. Вони поширюють своє послання, яке, мабуть, знаходить живий відгук серед простих людей, усіма можливими способами. Йти проти їх волі може виявитися ризикованим."
 new_court_flavour_events.32.A:0 "Можливо [Root.GetEventAdvisorSheHe] все ж має рацію."
 new_court_flavour_events.32.B:0 "Ні значить, ні."
 advisor_antiliaisons:0 "Сувора позиція"
 advisor_spurious_accusations:0 "Брехливі звинувачення"
 new_court_flavour_events.35.name:0 "[exile_country.GetAdjective]ий вигнанець"
 new_court_flavour_events.35.desc:1 "[Root.fleeing_advisor.GetName], політичний вигнанець з держави [exile_country.GetUsableName], з'явився при нашому дворі. Він стверджує, що він – [Root.GetExileAdvisorAAnTitle] і пропонує свої послуги [Root.GetAdjective]ому уряду в обмін на захист від [exile_country.GetRulerAdjAndTitle]. Чи повинні ми його прихистити?"
 new_court_flavour_events.35.A:0 "Його послуги знадобляться."
 new_court_flavour_events.35.B:0 "У нас немає для нього місця."
 new_court_flavour_events.36.name:0 "[exile_country.GetAdjective]і вигнанці"
 new_court_flavour_events.36.desc:0 "[Root.fleeing_advisor.GetName] вдячний за надання притулку при [Root.GetAdjective]ому дворі. Однак, в останні час він звертає увагу на той факт, що в його становищі опинилося багато інших [exile_country.GetAdjective]их відомих людей – 'людей великої мудрості та впливу', як він стверджує. Можливо було б корисним дозволити їм приєднатися до нашого двору, якщо ми хочемо посилити наше протидію [exile_country.GetAdjective]им амбіціям."
 new_court_flavour_events.36.A:0 "Ми їх приймемо."
 new_court_flavour_events.36.B:0 "У нас немає для них вільних місць."
 new_court_flavour_events.37.name:0 "Вигнанці в державі [From.GetUsableName]"
 new_court_flavour_events.37.desc:0 "Наші очі та вуха в державі [From.GetUsableName] повідомляють, що [From.GetRulerTitleOrRegency] прийняв багатьох політичних ворогів наш[Root.Monarch.GetMEndOjiOgo] [Root.Monarch.GetTitleOGO], які раніше були вигнані з [Root.GetAdjective]ого двору або поїхали в пошуках кращих можливостей. Зараз вони наполягають на рішучих діях проти нинішнього [Root.GetAdjective]ого "режиму" і надають активну допомогу [From.GetRulerAdjAndTitle] для досягнення цієї мети."
 new_court_flavour_events.37.option:0 "Як вони сміють!"
 opinion_took_in_exiles:0 "Прихистили у вигнанні"
 opinion_turned_away_exiles:0 "Відмовили в притулку"
 opinion_hosting_exiles:0 "Притулок вигнанців"
 new_court_flavour_events.39.name:0 "[heathen_advisor_country.GetUsableName] – єретик"
 new_court_flavour_events.39.desc:0 "Нам стало відомо, що [heathen_advisor_country.GetRulerAdjAndTitle] приховує єретика при [heathen_advisor_country.Monarch.GetHerHis] дворі. [heathen_advisor_country.Monarch.GetHerHisCap] [heathen_advisor_country.GetEventAdvisorTitle], [heathen_advisor_country.GetEventAdvisorName], відвернувся від вчення Папи Римського і відкрито заявляє про свою прихильність до віри [heathen_advisor_country.advisor_religion.GetReligionName] – і поширює порочну брехню проти Його Святості."
 new_court_flavour_events.39.A:0 "Нестерпно! Ми повинні подати протест."
 new_court_flavour_events.39.B:0 "Ми заплющимо очі."
 new_court_flavour_events.40.name:0 "Вимоги [PAP.Monarch.GetTitleOGO]"
 new_court_flavour_events.40.desc:0 "Папський емісар прибув. З серйозним виразом на обличчі він передає його повідомлення: "До відома Його Святістості дійшло, що ви вкриваєте єретика при своєму дворі. Ми вимагаємо, щоб ви передали [Root.GetEventAdvisorHerHim] інквізиції. В іншому випадку Папа вважатиме, що ви відмовилися від Істинного Шляху, і буде змушений прийняти проти вас всіх необхідних заходів."
 new_court_flavour_events.40.A:0 "Віддайте [Root.GetEventAdvisorHerHim]."
 new_court_flavour_events.40.B:0 "Ми не схилимося під тиском Папи."
 new_court_flavour_events.41.name:0 "[heathen_advisor_country.GetUsableName] відповідає нашим вимогам"
 new_court_flavour_events.41.desc:0 "[heathen_advisor_country.GetRulerAdjAndTitle] вибачається за те, що найняв єретика, якого доставлять до нас в ланцюгах, і його брехливий голос незабаром замовкне назавжди!"
 new_court_flavour_events.41.A:0 "Чудово."
 new_court_flavour_events.42.name:0 "[heathen_advisor_country.GetUsableName] кидає виклик нашій владі"
 new_court_flavour_events.42.desc:0 "[heathen_advisor_country.GetRulerAdjAndTitle] висловлює гнів через наше прохання, і [heathen_advisor_country.Monarch.GetSheHe] нахабно засуджує перевищення наших повноважень – як ніби Папа не є охоронцем усього духовного в християнському світі. [heathen_advisor_country.GetUsableName] дійсно пронизаний злом."
 new_court_flavour_events.42.A:0 "Він збився зі шляху."
 opinion_interfering_pope:0 "Надокучливий Папа"
 opinion_bowed_to_papal_demand_advisor:0 "Схилився папським вимогам"
 handed_over_heretic:0 "Передав єретика"
 desc_handed_over_heretic:0 "Єретики знають, що потрібно жити в страху перед правителем, який підтримує переслідування Папи."
 opinion_rejected_papal_demand_advisor:0 "Прихистив єретика"
 ##Scripted Locs for Event Advisor stuff:
 #GetEventAdvisorName
 EventAdvisorName.A:0 "[This.Adm_Advisor.GetName]"
 EventAdvisorName.D:0 "[This.Dip_Advisor.GetName]"
 EventAdvisorName.M:0 "[This.Mil_Advisor.GetName]"
 #GetEventAdvisorTitle
 EventAdvisorTitle.A:0 "[This.Adm_Advisor.GetTitle]"
 EventAdvisorTitle.D:0 "[This.Dip_Advisor.GetTitle]"
 EventAdvisorTitle.M:0 "[This.Mil_Advisor.GetTitle]"
 #GetEventAdvisorSheHeCap
 EventAdvisorSheHeCap.A:0 "[This.Adm_Advisor.GetSheHeCap]"
 EventAdvisorSheHeCap.D:0 "[This.Dip_Advisor.GetSheHeCap]"
 EventAdvisorSheHeCap.M:0 "[This.Mil_Advisor.GetSheHeCap]"
 #GetEventAdvisorSheHe
 EventAdvisorSheHe.A:0 "[This.Adm_Advisor.GetSheHe]"
 EventAdvisorSheHe.D:0 "[This.Dip_Advisor.GetSheHe]"
 EventAdvisorSheHe.M:0 "[This.Mil_Advisor.GetSheHe]"
 #GetEventAdvisorHerHisCap
 EventAdvisorHerHisCap.A:0 "[This.Adm_Advisor.GetHerHisCap]"
 EventAdvisorHerHisCap.D:0 "[This.Dip_Advisor.GetHerHisCap]"
 EventAdvisorHerHisCap.M:0 "[This.Mil_Advisor.GetHerHisCap]"
 #GetEventAdvisorHerHis
 EventAdvisorHerHis.A:0 "[This.Adm_Advisor.GetHerHis]"
 EventAdvisorHerHis.D:0 "[This.Dip_Advisor.GetHerHis]"
 EventAdvisorHerHis.M:0 "[This.Mil_Advisor.GetHerHis]"
 #GetEventAdvisorHerHim
 EventAdvisorHerHim.A:0 "[This.Adm_Advisor.GetHerHim]"
 EventAdvisorHerHim.D:0 "[This.Dip_Advisor.GetHerHim]"
 EventAdvisorHerHim.M:0 "[This.Mil_Advisor.GetHerHim]"
 #National Ideas
 ans_fayencemanufaktur:0 "Ансбахська фаянсова мануфактура"
 ans_fayencemanufaktur_desc:0 "Завдяки нашим мануфактурам ми можемо розбагатіти. Наші ремісники скопіювали методи, що використовуються в інших місцях для виробництва порцеляни, і створили свій власний стиль посуду Ансбаха."
 BYT_ideas:0 "Байройтські ідеї"
 BYT_ideas_start:0 "Байройтські традиції"
 BYT_ideas_bonus:0 "Байройтські амбіції"
 byt_land_of_the_hohenzollerns:0 "Hohenzollern Margrave"
 byt_land_of_the_hohenzollerns_desc:0 "Although we do not possess vast lands, our dynasty has secured territories across the whole Holy Roman Empire, most notably the Electorate Brandenburg. If we care for a close and good relationship with our cousins in Brandenburg, princes and noblemen far and wide will want to establish diplomatic contacts with us."
 byt_ordre_de_la_sincerite:0 "Ordre de la Sincérité"
 byt_ordre_de_la_sincerite_desc:0 "Introducing a new order and bestowing it to merited generals and nobles will bind them closer to us and make them more inclined to eagerly fight in our wars. With this in mind, we will call it Ordre de la sincérité - Order of Sincerity - and decorate the medal with a red eagle."
 byt_gravenreuther_stift:0 "Gravenreuther Stift"
 byt_gravenreuther_stift_desc:0 "One of our nobles has declared in his final will a hospital for the wounded shall be founded with his money. If we support this beneficence, our injured soldiers will recover from wars faster, enabling us to follow a more aggressive policy."
 byt_margravial_opera_house:0 "Margravial Opera House"
 byt_margravial_opera_house_desc:0 "Many thought it impossible to build a magnificent opera house in the provinces, however we have proved them otherwise by uniting the quintessence of the French and Italian baroque. If one enters the building accompanied by fanfares through the front, which is built in the style of a classic temple, one sets foot into an irreal seeming world, the realm of poesy."
 NUM_ideas:0 "Нюрнбергські ідеї"
 NUM_ideas_start:0 "Нюрнбергські традиції"
 NUM_ideas_bonus:0 "Нюрнбергські амбіції"
 num_imperial_regalia:0 "Imperial Regalia"
 num_imperial_regalia_desc:0 "In 1423, Nuremberg was granted the Imperial Regalia to everlasting preservation by Emperor Sigismund. Now that we have brought them here, transporting them hidden in fish barrels to prevent their theft, let us show the world our importance and eternal glory!"
 num_nuremberg_castle:0 "Nuremberg Castle"
 num_nuremberg_castle_desc:0 "In 1427, our city's council bought the ruins of the Burgrave's Castle from the Hohenzollern. Now the whole castle belongs to our city, so we will renovate it and then use the barracks and the Imperial Stable to accommodate our own soldiers."
 num_nuremberg_chronicle:0 "Nuremberg Chronicle"
 num_nuremberg_chronicle_desc:0 "Among our citizens are notable scientists like Hartmann Schedel, writer of an illustrated biblical paraphrase and world history. This chronicle named after our city is sought across all of Europe. We truly have profound knowledge of the whole world!"
 num_rostbratwurst:0 "Rostbratwurst"
 num_rostbratwurst_desc:0 "Our sausage is among the best and most famous in the Empire, the recipe having been honed across centuries of tradition. Let us regulate the size and the price of our Rostbratwurst in order to increase the productivity!"
 num_franconian_center_of_reformation:0 "Franconian Centre of Reformation"
 num_franconian_center_of_reformation_desc:0 "Nuremberg's citizens have always been open to new ideas, and will surely listen to the wisdom taught by the most enlightened preachers of the age."
 num_christkindlmarkt:0 "Christkindlesmarkt"
 num_christkindlmarkt_desc:0 "Ihr Herrn und Frau'n, die Ihr einst Kinder wart,\nSeid es heut' wieder, freut Euch in ihrer Art.\nDas Christkind lädt zu seinem Markte ein,\nUnd wer da kommt, der soll willkommen sein."
 num_nuremberg_exchange:0 "Nuremberg Exchange"
 num_nuremberg_exchange_desc:0 "For centuries we have been a center of trade in the middle of Europe, leading to wealth and prosperity for our citizens. To secure our trade position for the future, we will establish the Nuremberg Exchange at our capital's marketplace, so that tradesmen from Antwerp to Venice and from Dansk to Lyon will head to our city. A public balance and public exchange rates will prevent and solve conflicts between all merchants."
 BAM_ideas:0 "Бамбергські ідеї"
 BAM_ideas_start:0 "Бамбергські традиції"
 BAM_ideas_bonus:0 "Бамбергські амбіції"
 bam_bishop_of_bamberg:0 "Bishop of Bamberg"
 bam_bishop_of_bamberg_desc:0 "Emperor Henry IV established the Diocese of Bamberg at the Synod of Frankfurt in 1007. As we are also the director of the Circle of Franconia, we can pursue an independent policy in worldly matters in our region."
 bam_cathedral:0 "Bamberg Cathedral"
 bam_cathedral_desc:1 "Our cathedral, which dates back to 1004, is not only the resting place for Emperor Heinrich II and his Empress Cunigunde, but also the only preserved grave of a Pope in Germany. Pope Clement II, the former Bishop of Bamberg, was very fond of the city and stayed on as Bishop of Bamberg during his Papacy; consequently, he also wished to be buried here."
 bam_city_of_beer:0 "City of Beer"
 bam_city_of_beer_desc:0 "Since the introduction of the communal brew privilege, the number of breweries has increased rapidly. However, some misuse this privilege and sell impure beer. Let us therefore declare that nothing else other than malt, hops and water shall be used to make our beer!"
 bam_little_venice:0 "Little Venice"
 bam_little_venice_desc:0 "Near the Regnitz river, many new houses were already built towards the riverside. Our citizens even use small gondolas for transportation and trading. We should encourage even more to settle there in the style of Venice."
 bam_witch_burner:0 "Witch Burner"
 bam_witch_burner_desc:0 ""Moreover if someone harmed the people with sorcery or caused to the people's disadvantage, one should punish from life to death, and one should execute the punishment with fire.""
 bam_vierzehnheiligen:0 "Vierzehnheiligen"
 bam_vierzehnheiligen_desc:0 "According to local folklore, a shepherd had visions of children who called themselves the Fourteen Holy Helpers and performed a series of miracles, healing the terminally ill. The basilica erected to commemorate these visitations has quickly become a popular site for pilgrims from across Germany."
 bam_university:0 "Universitas Ottoniano Fridericiana"
 bam_university_desc:0 "Until now, the Academia Bambergensis contained only a theology and philosophy faculty. We will expand our university and add a faculty for jurisprudence and medicine. From now on the university will be named for its founder, Prince-Bishop Otto of Salzburg, and its enhancer Frederick of Seinsheim."
 GER_ideas:0 "Імперські німецькі ідеї"
 GER_ideas_start:0 "Імперські німецькі традиції"
 GER_ideas_bonus:0 "Імперські німецькі амбіції"
 ger_german_confederation:0 "Німецька конфедерація"
 ger_german_confederation_desc:0 "Тепер, коли німецькі землі об'єднані, ми виявили, що в нас більше спільного, ніж того, що нас розділяє. Ми можемо використовувати це для забезпечення миру і стабільності в нашій державі."
 ger_german_universities:0 "Університети Німеччини"
 ger_german_universities_desc:0 "У нашій державі є багато університетів, кожен з яких готовий забезпечити нас великими розумами з усієї Центральної Європи. Завдяки цьому наша здатність до державних інновацій не має собі рівних. Зараз люди стікаються до нашої адміністрації, щоби допомогти нам об'єднати решту Німеччини та рухатися до нових спільних цілей."
 ger_reichsheer:0 "Райхсгер"
 ger_reichsheer_desc:0 "Об'єднаній німецькій державі потрібна національна армія, яку ми зараз заснували в Райхсгері. За часів Священної Римської Імперії це була лише незначна сила, але в новій Німеччині наша армія буде сильною і добре підготовленою, і складатиметься з чоловіків з усіх частин нашої держави."
 ger_new_hanseatics:0 "Нова Ганзейська ліга"
 ger_new_hanseatics_desc:0 "До того, як Німеччина була об'єднана під одним прапором, багато міст на півночі Німеччини входили до Ганзейської ліги – торгової ліги, завдяки якій вони допомагали одне одному багатіти та захищатися. Хоча ця концепція потребує певної адаптації, щоб відповідати новій дійсності, ми можемо використати її спадщину для сприяння торгівлі та в інші зв'язки між різними частинами нашої держави."
 ger_junkers:0 "Німецькі юнкери"
 ger_junkers_desc:0 "Ми, можливо, поклали край роздрібненій Німеччині у Священній Римській Імперії та великій політичній силі її шляхти, але аристократія все ще є практичним джерелом компетентних офіцерів для наших армій. Користуючись цим, ми можемо перемикнути увагу дворянства на іншу сферу діяльності, одночасно створивши сильну військову еліту."
 ger_reichstag:0 "Райхстаґ"
 ger_reichstag_desc:0 "За традицією, що йде в глибоке середньовіччя, і яку ми пристосували до нової Німеччини, впливові люди нашої великої імперії збираються разом на Імператорському сеймі, щоб обговорити проблеми та приймати колективні рішення на боці нашого імператора і на користь нашої нещодавно об'єднаної держави. Це дозволяє нам вибудувати єдину згуртовану державу з різноманітних клаптиків, що колись складали Німеччину."
 ger_eisen_und_kohle:0 "Eisen und Kohle – Залізо та вугілля"
 ger_eisen_und_kohle_desc:0 "Наші величезні родовища заліза і вугілля дозволили нам швидко розвинути з нашої країни бурхливу індустріальну державу. Завдяки нашим етичним принципам та технологічному досвіду ми можемо виробляти все, чого потребує наша країна, швидше і за більш вигідними цінами."
 HLR_ideas:0 "Священні римські ідеї"
 HLR_ideas_start:0 "Священні римські традиції"
 HLR_ideas_bonus:0 "Священні римські амбіції"
 hlr_imperial_throne:0 "Імператорський престол"
 hlr_imperial_throne_desc:0 "Карл Великий був коронований як 'Імператор римлян' папою Львом у 800 р., розпочавши лінію імператорів, до якої ми теж належимо. Протягом багатьох років на імператорському престолі сиділо багато доблесних і мудрих людей."
 hlr_kaiserliche_armee:0 "Kaiserliche Armee – Імператорська армія"
 hlr_kaiserliche_armee_desc:0 "Імперія мала власну армію з часів Імператорського сейму 1422 року в Нюрнберзі. Тепер, коли ми об'єднані як на практиці, так і за ім'ям, ми зробимо армію сильною і добре підготовленою, відданою лише прапору Імператора."
 hlr_imperial_diplomacy:0 "Імператорська дипломатія"
 hlr_imperial_diplomacy_desc:0 "Досвід нашого дипломатичного корпусу не має собі рівних. Як Священні Римські Імператори, ми володіли різними васалами, які змінювали один одного протягом століть, дозволивши нашим дипломатам створити широку базу знань, яка передається з покоління в покоління."
 hlr_centralised_empire:0 "Централізована імперія"
 hlr_centralised_empire_desc:0 "З об'єднаною імперією ми стали більш централізованими. Це зменшило силу місцевих правителів, дозволяючи нам більшу частину їхнього багатства направляти у власну казну."
 hlr_roman_heritage:0 "Римська спадщина"
 hlr_roman_heritage_desc:0 "Як Священна Римська імперія, ми претендуємо на спадщину, яка походить від Августа, першого імператора Риму. Тепер, коли ми об'єднали своє королівство в єдину централізовану державу, прийшов час відновити давню славу Риму та возз'єднати землі, якими він колись володів."
 hlr_adopting_the_goosestep:0 "Введення гусячого кроку"
 hlr_adopting_the_goosestep_desc:0 "Офіцери з Бранденбурга піднялися на впливові позиції в нашій армії. Ми поступово переймаємо багато їхніх військових традицій у прагненні створити армію, яка не має собі рівних."
 hlr_onwards_and_upwards:0 "Вперед і вгору"
 hlr_onwards_and_upwards_desc:0 "Наша імперська адміністрація, створена в ході багатовікових переговорів між імператором і його принцами, тепер є універсальною, добре налагодженою машиною, здатною інтегрувати великі та різноманітні території в нашу державу. Тепер ми можемо нарешті виконати своє призначення і стати силою, здатною об'єднати всю Європу."
 SPI_ideas:0 "Сардіно-П'ємонтські ідеї"
 SPI_ideas_start:0 "Сардіно-П'ємонтські традиції"
 SPI_ideas_bonus:0 "Сардіно-П'ємонтські амбіції"
 spi_defensive_prowess:0 "Defensive Prowess"
 spi_defensive_prowess_desc:0 "From the French in Savoy and Piedmont to the Spanish in Sardinia, our lands have long been tempting targets for our neighbors' expansionist ideals. In protecting our sovereignty through the years, we have honed our fortification techniques and mastered the art of defending a fortress."
 spi_flexibility:0 "Diplomatic Flexibility"
 spi_flexibility_desc:0 "Wedged in between stronger powers and under constant threat of falling too far under their influence, we have been forced to practice nimble diplomacy - some would say shameless opportunism - in order to safeguard our independence and find some new opening to advance our state. Though distasteful in the eyes of traditionalists, opportunism has its upsides."
 spi_royal_sardinian_army:0 "Royal Sardinian Army"
 spi_royal_sardinian_army_desc:0 "The golden age of mercenaries has passed, and our army shall keep with the times. By implementing reforms to professionalize it, we can establish a standing army capable of projecting our power abroad in Italy and Europe as a whole."
 spi_centralized_state:0 "Centralized State"
 spi_centralized_state_desc:0 "By imitating the means and methods of the great powers of Europe in our own territories, we can forge Sardinia-Piedmont into powerhouse capable of dominating Italy and standing our ground on the European stage."
 spi_piedmontese_manufacturing:0 "Piedmontese Manufacturing"
 spi_piedmontese_manufacturing_desc:0 "Situated on the key trade route between Venice and France, there are many markets on which to sell our produce. By adopting the latest methods pioneered elsewhere, we can increase our production and bring plentiful riches to our lands."
 spi_risorgimento:0 "The Risorgimento"
 spi_risorgimento_desc:0 "Italy has not been united since the fall of Rome, but the idea of a united Italy has never died. Now, as the dream enjoys a resurgence, we have emerged as one of the main standard bearers of the Italian people's hopes and dreams."
 EPI_ideas:0 "Епірські ідеї"
 EPI_ideas_start:0 "Епірські традиції"
 EPI_ideas_bonus:0 "Епірські амбіції"
 epi_pyrrhus:0 "Legacy of Pyrrhus"
 epi_pyrrhus_desc:0 "Through his victories, King Pyrrhus secured us a place in history. Feared by Romans, Sicilians and Greeks alike, his illustrious career left a legacy which our generals study and strive to emulate. Although his days are centuries past, the dreams of a return of the glorious past are not, and we actively pursue them."
 epi_chronicle_of_the_toco:0 "Chronicle of the Tocco"
 epi_chronicle_of_the_toco_desc:0 "The Chronicle of the Tocco details our ascent to the Despotate of Epirus, our fair rule, our ties to the Empire, and our conquests of the surrounding lands. We should have it published in a simple form of Greek so all people can read and appreciate it."
 epi_serbs_and_albanians:0 "Albanian and Serbian Tribes"
 epi_serbs_and_albanians_desc:0 "While the core Epirote state has been reunified, the many Serbian and Albanian tribes who once carved out their own petty kingdoms in its territories remain. Instead of ostracizing them, we should employ these tribes to help bolster our forces."
 epi_latin_knights:0 "Latin Knights"
 epi_latin_knights_desc:0 "The elite of our army remains the cavalrymen armed and trained in the Western style. Some are native Greeks, others are Italian mercenaries, but all are effective at what they do."
 epi_metropolis_of_knowledge:0 "Metropolis of Knowledge"
