l_ukrainian:
 #Estate Privileges and related
 estate_nobles_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_nobles_retake_core:0 "Повернути провінцію [agenda_province.GetName]"
 estate_nobles_crush_revolts:0 "Розчавити повстанців"
 estate_nobles_regain_liberty:0 "Повернути нашу свободу"
 estate_nobles_convert_province_culture:0 "Змінити культуру в провінції [agenda_province.GetName] на [Root.Culture.GetName]у"
 estate_nobles_protect_our_culture:0 "Захистити [Root.GetAdjective]е населення в провінції [agenda_province.GetName]"
 estate_nobles_vassalise_vulnerable_country:0 "Васалізувати [agenda_country.GetUsableNameSCHO]"
 estate_nobles_expand_into_x:0 "Захопити землі в [agenda_province.GetAreaAdjective]ій області"
 estate_nobles_complete_conquest_of_x:0 "Завершити завоювання [agenda_province.GetAreaAdjective]ої області"
 estate_nobles_annex_subject:0 "Анексувати [agenda_country.GetUsableNameSCHO]"
 estate_nobles_build_an_army:0 "Побудувати армію для нашої держави"
 estate_nobles_bigger_army_than_rival:0 "Захиститися від [agenda_country.GetUsableNameOGO]"
 estate_nobles_build_up_manpower_reserves:0 "Відновити резерви наших рекрутів"
 estate_nobles_recover_abysmal_prestige:0 "Відновити наш престиж"
 estate_nobles_improve_prestige:0 "Підвищити наш престиж"
 estate_nobles_develop_x:0 "Збільшити базове число рекрутів у провінції [agenda_province.GetName]"
 estate_church_give_us_money:0 "Компенсувати внески стану"
 estate_church_convert_province_x:0 "Змінити релігію в провінції [agenda_province.GetName]"
 estate_church_reduce_war_exhaustion:0 "Оговтатися від жахів війни"
 estate_church_recover_stability:0 "Стабілізувати державу"
 estate_church_increase_stability:0 "Підвищити національну стабільність"
 estate_church_reduce_overextension:0 "Зменшити надрозширення"
 estate_church_restore_devotion:0 "Відновити праведність"
 estate_church_root_out_heresy:0 "Викоренити єресь [agenda_country.Get_UV] [agenda_country.GetUsableNameDE]"
 estate_church_relations_with_pope:0 "Поліпшити стосунки з Папою"
 estate_church_restore_the_holy_see:0 "Відновити Святий Престол"
 estate_church_crush_religious_revolts:0 "Знищити єретиків"
 estate_church_protect_brethren:0 "Захистити наших одновірців у провінції [agenda_province.GetName]"
 estate_church_propagate_religion:3 "Поширити [Root.ReligionSmall] у торговому вузлі [agenda_trade_node.GetTradeNodeName]"
 estate_church_relations_with_dotf:1 "Поліпшити стосунки із захисником [Root.Religion.ReligionAdjectiveKOJI] віри"
 estate_church_develop_x:0 "Збільшити прибутки від податків у провінції [agenda_province.GetName]"
 estate_burghers_give_us_money:0 "Компенсувати внески стану"
 estate_burghers_pay_off_loans:0 "Погасити державний борг"
 estate_burghers_restore_republican_tradition:0 "Відновити республіканські чесноти"
 estate_burghers_restore_currency:0 "Відновити грошовий обіг"
 estate_burghers_recovery_from_hyperinflation:0 "Оговтатися від гіперінфляції"
 estate_burghers_increase_trade_power_in_X:1 "Підвищити торговий вплив у вузлі [agenda_trade_node.GetTradeNodeName]"
 estate_burghers_access_sea:0 "Отримати доступ до моря"
 estate_burghers_build_a_fleet:0 "Побудувати флот для нашої держави"
 estate_burghers_bigger_fleet_than_rival:0 "Захиститися від флоту [agenda_country.GetAdjective]ої держави"
 estate_burghers_improve_dip_rep:0 "Покращити нашу репутацію"
 estate_burghers_get_cash:0 "Накопичити грошей"
 estate_burghers_discover_X_in_america:0 "Відкрити [agenda_province.GetAreaAdjective]у область"
 estate_burghers_colonise_X:0 "Заселити [agenda_province.GetAreaAdjective]у область"
 estate_burghers_colonise_X_requirements:1 "Колонізуйте самостійно або через колоніального суб'єкта будь-яку провінцію в §Y[agenda_province.GetAreaAdjective]ій§! області."
 estate_burghers_colonise_more_X:1 "Колонізувати [agenda_province.GetAreaAdjective]у область"
 estate_burghers_colonise_more_X_requirements:0 "Колонізуйте самостійно або через колоніального суб'єкта всі провінції в §Y[agenda_province.GetAreaAdjective]ій§! області."
 estate_burghers_colonial_nation:1 "Розширити нашу колонію в регіоні [agenda_province.GetColonialRegionName]"
 estate_burghers_colonial_nation_requirements_tooltip:1 "§Y[Root.GetName]§! є метрополією колоніальної держави, яка контролює принаймні §Y5§! міст у регіоні §Y[agenda_province.GetColonialRegionName]§!."
 estate_burghers_expand_trade_company:1 "Розширити торгову компанію [agenda_province.TradeCompany.GetName]"
 estate_burghers_trade_post_in_india:0 "Створити торгову факторію в Індії"
 estate_burghers_trade_post_in_india_reward_tooltip:1 "Провінція в §YІндії§!, що належить §Y[Root.GetUsableNameOMU]§! та виробляє §Yшовк§! або §Yпрянощі§!, отримає модифікатор '§YОсновний торговий пост§!', надаючи §G+1§! до місцевого виробництва товарів."
 estate_burghers_trade_post_in_malacca:0 "Створити торгову факторію в Ост-Індії"
 estate_burghers_trade_post_in_malacca_reward_tooltip:1 "Провінція в регіоні §YІндонезійської торгової компанії§!, що належить §Y[Root.GetUsableNameOMU]§! та виробляє §Yпрянощі§!, отримає модифікатор '§YОсновний торговий пост§!', надаючи §G+1§! до місцевого виробництва товарів."
 estate_burghers_trade_post_in_china:0 "Створити торгову факторію в Китаї"
 estate_burghers_trade_post_in_china_reward_tooltip:2 "Провінція в §YКитаї§!, що належить §Y[Root.GetUsableNameOMU]§! та виробляє §Yпосуд§!, отримає модифікатор '§YОсновний торговий пост§!', надаючи §G+1§! до місцевого виробництва товарів."
 estate_burghers_silk_trade:0 "Контролювати торгівлю шовком"
 estate_burghers_spice_trade:0 "Контролювати торгівлю прянощами"
 estate_burghers_tea_trade:0 "Контролювати торгівлю чаєм"
 estate_burghers_develop_x:0 "Збільшити базове виробництво в провінції [agenda_province.GetName]"
 estate_burghers_reduce_corruption:0 "Знизити корупцію"
 estate_burghers_protect_against_piracy:0 "Захиститися від піратства"
 estate_nomadic_tribes_give_us_money:0 "Компенсувати внески стану"
 estate_nomadic_tribes_raze_a_province:1 "Знищити наших ворогів"
 estate_nomadic_tribes_restore_horde_unity:0 "Відновити єдність"
 estate_nomadic_tribes_befriend_rival_of_rival:1 "Подружитися з суперниками [rival_country.GetUsableNameOGO]"
 estate_nomadic_tribes_relations_with_X:0 "Поліпшити стосунки з [agenda_country.GetUsableNameKYM]"
 estate_nomadic_tribes_retake_core:0 "Повернути провінцію [agenda_province.GetName]"
 estate_nomadic_tribes_crush_revolts:0 "Розчавити повстанців"
 estate_nomadic_tribes_regain_liberty:0 "Повернути нашу свободу"
 estate_nomadic_tribes_convert_province_culture:0 "Змінити культуру в провінції [agenda_province.GetName] на [Root.Culture.GetName]у"
 estate_nomadic_tribes_protect_our_culture:0 "Захистити [Root.GetAdjective]е населення в провінції [agenda_province.GetName]"
 estate_nomadic_tribes_vassalise_vulnerable_country:0 "Васалізувати [agenda_country.GetUsableNameSCHO]"
 estate_nomadic_tribes_expand_into_x:0 "Захопити землі в [agenda_province.GetAreaAdjective]ій області"
 estate_nomadic_tribes_complete_conquest_of_x:0 "Завершити завоювання [agenda_province.GetAreaAdjective]ої області"
 estate_nomadic_tribes_annex_subject:0 "Анексувати [agenda_country.GetUsableNameSCHO]"
 estate_nomadic_tribes_build_an_army:0 "Побудувати армію для нашого племені"
 estate_nomadic_tribes_bigger_army_than_rival:0 "Захиститися від [agenda_country.GetUsableNameOGO]"
 estate_nomadic_tribes_build_up_manpower_reserves:0 "Відновити резерви наших рекрутів"
 estate_nomadic_tribes_three_privileges:0 "Розширити племінні привілеї"
 estate_nomadic_tribes_recover_stability:0 "Стабілізувати Орду"
 estate_nomadic_tribes_increase_stability:0 "Підвищити стабільність"
 estate_nomadic_tribes_despoil_x:1 "Пограбувати [agenda_province.GetAreaAdjective]у область"
 estate_maratha_give_us_money:0 "Компенсувати внески стану"
 estate_maratha_condottieri_rivals:0 "Відправити кондотьєрів проти [agenda_country.GetUsableNameOGO]"
 estate_maratha_support_independence:0 "Підтримати незалежність [agenda_country.GetAdjective]ої держави"
 estate_maratha_retake_core:0 "Повернути провінцію [agenda_province.GetName]"
 estate_maratha_crush_revolts:0 "Розчавити повстанців"
 estate_maratha_regain_liberty:0 "Повернути нашу свободу"
 estate_maratha_convert_province_culture:0 "Змінити культуру в провінції [agenda_province.GetName] на [Root.Culture.GetName]у"
 estate_maratha_protect_our_culture:0 "Захистити [Root.GetAdjective]е населення в провінції [agenda_province.GetName]"
 estate_maratha_vassalise_vulnerable_country:0 "Васалізувати [agenda_country.GetUsableNameSCHO]"
 estate_maratha_expand_into_x:0 "Захопити землі в [agenda_province.GetAreaAdjective]ій області"
 estate_maratha_complete_conquest_of_x:0 "Завершити завоювання [agenda_province.GetAreaAdjective]ої області"
 estate_maratha_annex_subject:0 "Анексувати [agenda_country.GetUsableNameSCHO]"
 estate_maratha_build_an_army:0 "Побудувати армію для нашої держави"
 estate_maratha_bigger_army_than_rival:0 "Захиститися від [agenda_country.GetUsableNameOGO]"
 estate_maratha_build_up_manpower_reserves:0 "Відновити резерви наших рекрутів"
 estate_maratha_recover_abysmal_prestige:0 "Відновити наш престиж"
 estate_maratha_improve_prestige:0 "Підвищити наш престиж"
 estate_rajput_give_us_money:0 "Компенсувати внески стану"
 estate_rajput_condottieri_rivals:0 "Відправити кондотьєрів проти [agenda_country.GetUsableNameOGO]"
 estate_rajput_support_independence:0 "Підтримати незалежність [agenda_country.GetAdjective]ої держави"
 estate_rajput_retake_core:0 "Повернути провінцію [agenda_province.GetName]"
 estate_rajput_crush_revolts:0 "Розчавити повстанців"
 estate_rajput_regain_liberty:0 "Повернути нашу свободу"
 estate_rajput_convert_province_culture:0 "Змінити культуру в провінції [agenda_province.GetName] на [Root.Culture.GetName]у"
 estate_rajput_protect_our_culture:0 "Захистити [Root.GetAdjective]е населення в провінції [agenda_province.GetName]"
 estate_rajput_vassalise_vulnerable_country:0 "Васалізувати [agenda_country.GetUsableNameSCHO]"
 estate_rajput_expand_into_x:0 "Захопити землі в [agenda_province.GetAreaAdjective]ій області"
 estate_rajput_complete_conquest_of_x:0 "Завершити завоювання [agenda_province.GetAreaAdjective]ої області"
 estate_rajput_annex_subject:0 "Анексувати [agenda_country.GetUsableNameSCHO]"
 estate_rajput_build_an_army:0 "Побудувати армію для нашої держави"
 estate_rajput_bigger_army_than_rival:0 "Захиститися від [agenda_country.GetUsableNameOGO]"
 estate_rajput_build_up_manpower_reserves:0 "Відновити резерви наших рекрутів"
 estate_rajput_recover_abysmal_prestige:0 "Відновити наш престиж"
 estate_rajput_improve_prestige:0 "Підвищити наш престиж"
 estate_cossacks_give_us_money:0 "Компенсувати внески стану"
 estate_cossacks_three_privileges:0 "Розширити козацькі привілеї"
 estate_cossacks_reply_of_the_zaporozhian:0 "Образити [agenda_country.GetUsableNameSCHO]"
 estate_cossacks_expand_into_x:0 "Захопити землі в [agenda_province.GetAreaAdjective]ій області"
 estate_cossacks_complete_conquest_of_x:0 "Завершити завоювання [agenda_province.GetAreaAdjective]ої області "
 estate_cossacks_colonise_X:0 "Заселити провінцію [agenda_province.GetName]"
 estate_cossacks_go_privateering:0 "Зайнятися каперством"
 estate_cossacks_go_privateering_2:2 "Надіслати каперську експедицію до вузла [agenda_trade_node_sea.GetName]"
 estate_cossacks_despoil_x:1 "Пограбувати провінцію [agenda_province.GetAreaName]"
 estate_cossacks_recruit_more_cossacks:0 "Набрати більше козаків"
 estate_dhimmi_give_us_money:0 "Компенсувати внески стану"
 estate_jains_give_us_money:0 "Компенсувати внески стану"
 estate_jains_pay_off_loans:0 "Погасити державний борг"
 estate_jains_restore_republican_tradition:0 "Відновити республіканські чесноти"
 estate_jains_restore_currency:0 "Відновити грошовий обіг"
 estate_jains_recovery_from_hyperinflation:0 "Оговтатися від гіперінфляції"
 estate_jains_increase_trade_power_in_X:1 "Підвищити торговий вплив у вузлі [agenda_trade_node.GetTradeNodeName]"
 estate_jains_access_sea:0 "Отримати доступ до моря"
 estate_jains_build_a_fleet:0 "Побудувати флот для нашої держави"
 estate_jains_bigger_fleet_than_rival:0 "Захиститися від флоту [agenda_country.GetAdjective]ої держави"
 estate_jains_improve_dip_rep:0 "Покращити нашу репутацію"
 estate_jains_get_cash:0 "Накопичити грошей"
 estate_jains_reduce_corruption:0 "Знизити корупцію"
 estate_jains_stop_converting_province_x:0 "Захистити права меншостей у провінції [agenda_province.GetName]"
 estate_jains_three_privileges:0 "Розширити привілеї джайнів"
 estate_jains_protect_against_piracy:0 "Захиститися від піратів"
 estate_vaisyas_give_us_money:0 "Компенсувати внески стану"
 estate_vaisyas_pay_off_loans:0 "Погасити державний борг"
 estate_vaisyas_restore_republican_tradition:0 "Відновити республіканські чесноти"
 estate_vaisyas_restore_currency:0 "Відновити грошовий обіг"
 estate_vaisyas_recovery_from_hyperinflation:0 "Оговтатися від гіперінфляції"
 estate_vaisyas_increase_trade_power_in_X:1 "Підвищити торговий вплив у вузлі [agenda_trade_node.GetTradeNodeName]"
 estate_vaisyas_access_sea:0 "Отримати доступ до моря"
 estate_vaisyas_build_a_fleet:0 "Побудувати флот для нашої держави"
 estate_vaisyas_bigger_fleet_than_rival:0 "Захиститися від флоту [agenda_country.GetAdjective]ої держави"
 estate_vaisyas_improve_dip_rep:0 "Покращити нашу репутацію"
 estate_vaisyas_get_cash:0 "Накопичити грошей"
 estate_vaisyas_discover_X_in_america:0 "Відкрити [agenda_province.GetAreaAdjective]у область"
 estate_vaisyas_colonise_X:0 "Заселити [agenda_province.GetAreaAdjective]у область"
 estate_vaisyas_colonise_more_X:1 "Колонізувати [agenda_province.GetAreaAdjective]у область"
 estate_vaisyas_colonial_nation:1 "Розширити нашу колонію в регіоні [agenda_province.GetColonialRegionName]"
 estate_vaisyas_reduce_corruption:0 "Знизити корупцію"
 estate_vaisyas_protect_against_piracy:0 "Захиститися від піратів"
 estate_brahmins_give_us_money:0 "Компенсувати внески стану"
 estate_brahmins_convert_province_x:0 "Змінити релігію в провінції [agenda_province.GetName]"
 estate_brahmins_reduce_war_exhaustion:0 "Оговтатися від жахів війни"
 estate_brahmins_recover_stability:0 "Стабілізувати державу"
 estate_brahmins_increase_stability:0 "Підвищити національну стабільність"
 estate_brahmins_reduce_overextension:0 "Зменшити надрозширення"
 estate_brahmins_restore_devotion:0 "Відновити праведність"
 estate_brahmins_crush_religious_revolts:0 "Розчавити єретиків"
 estate_brahmins_relations_with_dotf:0 "Поліпшити стосунки з захисником [Root.Religion.ReligionAdjectiveKOJI] віри"
 estate_brahmins_relations_with_hindu_dotf:0 "Поліпшити стосунки з [agenda_country.GetUsableNameKYM]"
 estate_brahmins_get_allies:0 "Здобути союзників"
 estate_brahmins_befriend_rival_of_rival:1 "Подружитися з суперниками [rival_country.GetUsableNameOGO]"
 estate_brahmins_relations_with_X:0 "Поліпшити стосунки з [agenda_country.GetUsableNameKYM]"
 estate_brahmins_break_coalition:0 "Зруйнувати коаліцію"
 estate_brahmins_protect_brethren:0 "Захистити наших одновірців у провінції [agenda_province.GetName]"
 estate_brahmins_stop_converting_province_x:0 "Захистити гіндуїстів у провінції [agenda_province.GetName]"
 estate_brahmins_restore_legitimacy:1 "Відновити [Root.GetLegitimacyOrMeritocracy]"
 estate_dhimmi_develop_x:0 "Розвинути провінцію [agenda_province.GetName]"
 estate_dhimmi_build_temple_in_y:0 "Побудувати молитовний будинок для зіммі в провінції [agenda_province.GetName]"
 estate_dhimmi_build_university_in_y:0 "Профінансувати освіту для зіммі в провінції [agenda_province.GetName]"
 estate_dhimmi_stop_converting_province_x:0 "Захистити права меншостей у провінції [agenda_province.GetName]"
 estate_dhimmi_increase_autonomy_in_province_x:0 "Збільшити автономію в провінції [agenda_province.GetName]"
 estate_dhimmi_increase_autonomy_in_province_x_tooltip:0 "Автономію провінції [agenda_province.GetName] зменшено більш, ніж на 10"
 estate_dhimmi_three_privileges:0 "Розширити привілеї зіммі"
 estate_dhimmi_relations_with_X:0 "Поліпшити стосунки з [agenda_country.GetUsableNameKYM]"
 agenda_automatically_completed:0 "Це завдання виконується автоматично.."
 #Estate Agenda modifiers and stuff
 local_nobles_displeased:0 "Місцеві дворяни незадоволені"
 local_clergy_displeased:0 "Місцеве духовенство незадоволене"
 local_burghers_displeased:0 "Місцеві міщани незадоволені"
 local_brahmins_displeased:0 "Місцеві брагмани незадоволені"
 local_rajputs_displeased:0 "Місцеві раджпути незадоволені"
 local_marathas_displeased:0 "Місцеві маратхи незадоволені"
 local_nomadic_tribes_displeased:0 "Місцеві клани незадоволені"
 local_cossacks_displeased:0 "Місцеві козаки незадоволені"
 local_vaisyas_displeased:0 "Місцеві вайш'ї незадоволені"
 local_jains_displeased:0 "Місцеві джайни незадоволені"
 local_dhimmi_displeased:0 "Місцеві зіммі незадоволені"
 EST_VAL_AGENDA_DENIED:1 "План провалено: §R$VAL$§!"
 prospering_production:0 "Квітуче виробництво"
 desc_prospering_production:0 "Завдяки державним інвестиціям місцева економіка процвітає."
 agenda_conversion_zeal:0 "Завзяте навернення"
 desc_agenda_conversion_zeal:0 "Духовенство концентрує свої зусилля на наверненні населення цієї провінції."
 agenda_looting_zeal:0 "Жага до здобичі"
 desc_agenda_looting_zeal:0 "Апетит племен до грабежу розігрівся. Заради ще більшого шматка вони підуть на все."
 agenda_republicanism_restored:0 "Республіканські чесноти відновлено"
 desc_agenda_republicanism_restored:0 "Після періоду внутрішніх чвар і нестабільності, порядок було відновлено й громадяни знову повністю підтримують Республіку."
 no_coalition_against_us_tooltip:0 "Жодна держава не входить в коаліцію проти §Y[Root.GetTagOGO]§!."
 no_one_has_15_ae_on_us_tooltip:0 "Жодна країна не має §R-15§! або більшого штрафу від агресивного розширення з §Y[Root.GetTagKYM]§!."
 agenda_cultural_conversion_help:0 "Наплив поселенців"
 desc_agenda_cultural_conversion_help:0 "Велике число переселенців переїжджає до цієї провінції."
 growing_tea_trade:0 "Торгівля чаєм"
 desc_growing_tea_trade:0 "Наші зусилля щодо забезпечення більшої кількості джерел чаю не залишилися непоміченими вітчизняними торговцями. Упевнені в тому, що держава піклується про їхні інтереси, вони виявляють надзвичайну готовність платити будь-які збори та податки."
 growing_silk_trade:0 "Торгівля шовком"
 desc_growing_silk_trade:0 "Наші зусилля щодо забезпечення більшої кількості джерел шовку не залишилися непоміченими вітчизняними торговцями. Упевнені в тому, що держава піклується про їхні інтереси, вони виявляють надзвичайну готовність платити будь-які збори та податки."
 trade_post_in_india:0 "Основний торговий пост"
 desc_trade_post_in_india:0 "Цей порт є основним торговим постом для шовку та прянощів, що надходять з Індії."
 trade_post_in_malacca:0 "Основний торговий пост"
 desc_trade_post_in_malacca:0 "Цей порт є основним торговим постом для прянощів, що надходять з індонезійських островів прянощів."
 trade_post_in_china:0 "Основний торговий пост"
 desc_trade_post_in_china:0 "Цей порт є основним центром торгівлі порцеляною."
 agenda_hinduist_rallying:0 "Бастіон гіндуїзму"
 desc_agenda_hinduist_rallying:0 "Брагмани згуртовуються в цій провінції, щоб захистити її населення від навернення."
 agenda_dhimmi_rallying:0 "Фортеця зіммі"
 desc_agenda_dhimmi_rallying:0 "Зіммі згуртовуються в цій провінції, щоб захистити її населення від навернення."
 agenda_dhimmi_get_a_church:0 "Молитовний будинок для зіммі"
 desc_agenda_dhimmi_get_a_church:0 "Держава щедро спонсорувала будівництво молитовного будинку для місцевого населення зіммі."
 agenda_brahmins_get_a_church:0 "Молитовний будинок для гіндуїстів"
 desc_agenda_brahmins_get_a_church:0 "Держава щедро спонсорувала будівництво молитовного будинку для місцевого гіндуїстського населення."
 freedom_from_corruption:0 "Зменшення корупції"
 desc_freedom_from_corruption:0 "Звільнені від участі в корупційних схемах, наші підприємці тепер можуть розвиватися."
 horde_unity_defended:0 "Єдність відновлено"
 desc_horde_unity_defended:0 "Колись клани зневажали та не любили нашого правителя. Багато хто стверджував, що він не має права ними керувати. Тепер нікому й у голову не прийде таке сказати. Повністю змінивши ситуацію, легітимність нашого правителя міцна, як ніколи."
 agenda_privateering_cossacks:0 "Козаки-капери"
 desc_agenda_privateering_cossacks:0 "Відкривши можливість збагачення за допомогою каперства, козаки займаються ним все частіше."
 agenda_colonial_administration:0 "Нова колоніальна адміністрація"
 desc_agenda_colonial_administration:0 "Одна з наших колоній так розвинулася, що ввела власне самоврядування. Це не тільки привертає туди багато амбітних людей, які хочуть там влаштуватися, але й дає значні бенефіти для нашої скарбниці."
 agenda_guaranteed_minority_rights:0 "Права меншостей гарантовано"
 desc_agenda_guaranteed_minority_rights:0 "Права меншостей у цій провінції нещодавно було гарантовано, що дозволило населенню зітхнути з полегшенням."
 #New Parliamentary Debate
 increase_crown_land_share:0 "Централізувати землеволодіння"
 desc_increase_crown_land_share:0 "Централізуючи право власності на землю в королівських руках, ми можемо набагато краще контролювати необмежену владу станів."
 #Estate monopoly events 
 monopoly_privileges.1.t:0 "Розширення монополії на текстиль"
 monopoly_privileges.1.d.burghers:0 "Монополія на текстиль, яку ми надали [Root.BurghersDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від нашого текстильного виробництва. Проте, [Root.BurghersNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.1.d.vaisyas:0 "Монополія на текстиль, яку ми надали [Root.VaisyasDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від нашого текстильного виробництва. Проте, [Root.VaisyasNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.1.d.jains:0 "Монополія на текстиль, яку ми надали [Root.JainsDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від нашого текстильного виробництва. Проте, [Root.JainsNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.1.a:0 "Продовжуймо монополію."
 monopoly_privileges.1.b:0 "Не зараз."
 monopoly_privileges.1.b.tooltip:0 "Становий привілей §YМонополія на текстиль§! буде скасовано."
 monopoly_privileges.2.t:0 "Розширення монополії на барвники"
 monopoly_privileges.2.d.burghers:0 "Монополія на барвники, яку ми надали [Root.BurghersDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від виробництва барвників. Проте, [Root.BurghersNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.2.d.vaisyas:0 "Монополія на барвники, яку ми надали [Root.VaisyasDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від виробництва барвників. Проте, [Root.VaisyasNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.2.d.jains:0 "Монополія на барвники, яку ми надали [Root.JainsDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від виробництва барвників. Проте, [Root.JainsNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.2.b.tooltip:0 "Становий привілей §YМонополія на барвники§! буде скасовано."
 monopoly_privileges.3.t:0 "Розширення монополії на скло"
 monopoly_privileges.3.d.burghers:0 "Монополія на скло, яку ми надали [Root.BurghersDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від виробництва скла. Проте, [Root.BurghersNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.3.d.vaisyas:0 "Монополія на скло, яку ми надали [Root.VaisyasDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від виробництва скла. Проте, [Root.VaisyasNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.3.d.jains:0 "Монополія на скло, яку ми надали [Root.JainsDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від виробництва скла. Проте, [Root.JainsNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.3.b.tooltip:0 "Становий привілей §YМонополія на скло§! буде скасовано."
 monopoly_privileges.4.t:0 "Розширення монополії на папір"
 monopoly_privileges.4.d.burghers:0 "Монополія на папір, яку ми надали [Root.BurghersDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від виробництва паперу. Проте, [Root.BurghersNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.4.d.vaisyas:0 "Монополія на папір, яку ми надали [Root.VaisyasDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від виробництва паперу. Проте, [Root.VaisyasNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.4.d.jains:0 "Монополія на папір, яку ми надали [Root.JainsDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від виробництва паперу. Проте, [Root.JainsNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.4.b.tooltip:0 "Становий привілей §YМонополія на папір§! буде скасовано."
 monopoly_privileges.5.t:0 "Розширення монополії на видобуток та плавку корисних копалин"
 monopoly_privileges.5.d.nobles:0 "Монополія на видобуток та плавку корисних копалин, яку ми надали [Root.NoblesDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від цих операцій. Проте, [Root.NoblesNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.5.d.rajput:0 "Монополія на видобуток та плавку корисних копалин, яку ми надали [Root.RajputDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від цих операцій. Проте, [Root.RajputNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.5.d.maratha:0 "Монополія на видобуток та плавку корисних копалин, яку ми надали [Root.MarathaDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від цих операцій. Проте, [Root.MarathaNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.5.b.tooltip:0 "Становий привілей §YМонополія на видобуток та плавку корисних копалин§! буде скасовано."
 monopoly_privileges.6.t:0 "Розширення монополії на тваринництво"
 monopoly_privileges.6.d.nobles:0 "Монополія на тваринництво, яку ми надали [Root.NoblesDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від тваринництва. Проте, [Root.NoblesNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.6.d.rajput:0 "Монополія на тваринництво, яку ми надали [Root.RajputDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від тваринництва. Проте, [Root.RajputNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.6.d.maratha:0 "Монополія на тваринництво, яку ми надали [Root.MarathaDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від тваринництва. Проте, [Root.MarathaNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
 monopoly_privileges.6.b.tooltip:0 "Становий привілей §YМонополія на тваринництво§! буде скасовано."
 monopoly_privileges.7.t:0 "Розширення монополії на коштовне каміння"
 monopoly_privileges.7.d.nobles:0 "Монополія на коштовне каміння, яку ми надали [Root.NoblesDV], минула. Це означає, що тепер ми знову зможемо отримувати прибуток від видобутку коштовного каміння та ювелірного виробництва. Проте, [Root.NoblesNZ] прагнуть зберегти свої привілеї та пропонують виплатити нам одноразову суму в обмін на гарантовану монополію протягом наступних 10 років."
