l_ukrainian:
 mil_tech_cost_modifier:0 "Вартість військ. технологій"
 crusader_tradition:0 "Спадщина хрестоносців"
 crusader_tradition_desc:0 "Лицарі нашого ордену брали участь у війнах проти Саладина. Лицарі нашого ордену захищали останню фортецю хрестоносців – Акру. Якщо лицареві ордену потрібно натхнення для перемоги, йому потрібно глянути на досягнення лицарів Ордену Святого Йоана Хрестителя давньої давнини. Слава госпітальєрів вічна, так само як нескінченна наша мужність у бою!"
 KON_ideas:0 "Конголезькі ідеї"
 KON_ideas_start:0 "Традиції Конго"
 KON_ideas_bonus:0 "Амбіції Конго"
 kongolese_tax_exchange:0 "Податковий обмін"
 kongolese_tax_exchange_desc:0 "Чому б не платити податки через посередників, замість ненадійної панщини? Знать буде збирати податки із селян, а ми у свою чергу зберемо податки зі знаті. Вони можуть заплатити нам оброк або десятину в наших прадавніх грошах нзімбу."
 election_of_manikongos:0 "Обрання ваб-конго"
 election_of_manikongos_desc:0 "Наш лідер, мвене-конго, або як його іменують чужоземці ваб-конго, обирався зі членів царської родини, на раді старійшин. Коли інші держави покладаються на право первородства, ми вільно обираємо свого правителя, уникаючи міжусобиць і чвар."
 imported_european_weaponry:0 "Імпорт європейської зброї"
 imported_european_weaponry_desc:0 "Європейці прийшли до нас, приносячи із собою звичаї, що не цікавлять нас. Вони можуть бути відмінними, але абсолютно не потрібними нам. Однак ми потребуємо їхньої вогнепальної зброї. Необхідно замінити нашу традиційну зброю – луки й стріли на більш сучасні мушкети."
 diplomacy_with_european_monarchs:0 "Зв'язок з європейськими царями"
 diplomacy_with_european_monarchs_desc:0 "Немає нічого поганого в тому, що монарх однієї країни спілкується з монархом іншої країни, занадто далекої й екзотичної, щоб бути природнім ворогом. Можливо, наші далекі знайомі зможуть захистити нас від інших, більш незговірливих монархів."
 triangle_trade:0 "Торговельний трикутник"
 triangle_trade_desc:0 "Торговельний трикутник полягає в тому, що європейці продають нам зброю й купують рабів, відвозячи їх в Америку, де ті працюють на плантаціях в Америці, роблячи сільськогосподарські товари, які відвозять назад у Європу. Та зброя дозволяє нам завоювати більше ворожих племен і одержати ще більше полонених, щоб продати їх європейцям, щоб купити ще більше зброї! Деякі говорили, що торговельний трикутник аморальний, але вони змінять свою думку, коли побачать наші нові мушкети й скільки ще рабів ми можемо захопити із собою й скільки ще мушкетів ми можемо купити на виручене золото."
 foreign_demand_for_slaves:0 "Закордонна работоргівля"
 foreign_demand_for_slaves_desc:0 "Ми постійно одержуємо тривожні звістки про те, що європейці викрали одного з наших дворян і відправили його в жахливу подорож у кайданах до короткого й жахливого життя в цукровій плантації. Давайте зробимо крок до того, щоб європейці були задоволені нашою пропозицією із продажу в рабство інших племен. Якщо ми будемо продовжувати набіги на інші племена Африки, то вони забезпечать нашу безпеку й непоганий дохід, що зробить наше царство сильним, а народ вільним."
 defend_against_the_colonists:0 "Захист проти колоністів"
 defend_against_the_colonists_desc:0 "Ми намагалися поводитися мирно з декількома європейськими країнами в надії, що гарні відносини з нами будуть тримати їх у вузді, але якщо навколо нас кружляє зграя левів, один та й вкусить. Ми повинні зміцнити свою армію, якщо прагнемо вижити в майбутній боротьбі з європейцями."
 colonial_ideas:0 "Колоніальні ідеї"
 colonial_ideas_start:0 "Колоніальні традиції"
 colonial_ideas_bonus:0 "Колоніальні амбіції"
 founding_fathers:0 "Батьки-Засновники"
 founding_fathers_desc:0 "Усі ті політики, військові й дипломати, хто зіграв важливу роль у створенні своєї націй, добився незалежності своєї країни, створив нову систему керування."
 continental_trade:0 "Європейська торгівля"
 continental_trade_desc:0 "Хоча колонії Нового Світу й були змушені імпортувати мануфактурні товари, вони стали одним з основних постачальників сировини для європейського ринку."
 religious_outposts:0 "Релігійний фронтир"
 religious_outposts_desc:0 "Поширення в Новому Світі християнства шляхом обігу індіанців було пріоритетним для церкви й часто йшло поруч з комерційними інтересами колонізації."
 free_thinkers:0 "Вільнодумці"
 free_thinkers_desc:0 "У колоніях були сильні ідеї про те, що воля думки й свобода слова є правом кожної людини. Це без нього не може існувати такого поняття, як шромадянські свободи."
 colonial_militia:0 "Колоніальне ополчення"
 colonial_militia_desc:0 "При відсутності регулярної армії, ополчення відграє важливу ролі в локальних конфліктах і прикордонних рейдах проти місцевих племен і інших колоній. Ополчення складається з дорослих громадян, які самостійно купують чи виготовляють зброєю й озброєнням."
 new_frontiers:0 "Нові фронтири"
 new_frontiers_desc:0 "Прагнення розширювати кордони колоній усе далі й далі в глиб Нового Світу. Засновані вдалечині від освоєних земель торговельні факторії поступово ставали повноцінними поселеннями з більшими площами оброблюваних земель."
 liberty_heroes:0 "Герої визволителі"
 liberty_heroes_desc:0 "Багато з лідерів у війнах за незалежність у Новому Світі мають не тільки необхідну військову майстерність, але й харизму, необхідну для морального заохочення, і були при цьому надихаючим прикладом для людей."
 client_ideas:0 "Клієнтські ідеї"
 client_ideas_start:0 "Клієнтські традиції"
 client_ideas_bonus:0 "Клієнтські амбіції"
 client_self_rule:0 "Самоврядування"
 client_self_rule_desc:0 "Нам була надана значна автономія, що дозволить нам більш ефективно вирішувати місцеві проблеми, перш ніж вони виллються в що-небудь більш серйозне."
 foreign_tax_collectors:0 "Іноземна поліція"
 foreign_tax_collectors_desc:0 "Тому що основу нашої поліції становлять піддані нашого сюзерена, то вони можуть ігнорувати деякі правила під час збору податків з місцевої знаті."
 fortified_borders:0 "Укріплені кордони"
 fortified_borders_desc:0 "Наша нації, подібно щиту, захищає свого сюзерена від сонм ворогів, що бажають роздавити його. Завдяки цьому, він не жалує засобів на укріплення наших границь самими останніми зразками озброєння."
 mercantile_privileges:0 "Торгові пільги"
 mercantile_privileges_desc:0 "Наша нація особливі привелеї на контроль прикордонного обігу та на призначення мита, що дозволяє нам контролювати більшу частину торгівлі, що протікає через ці землі."
 mercenary_recruitment_center:0 "Центр вербування"
 mercenary_recruitment_center_desc:0 "Наші міста є центрами для багатьох пунктів вербування, де наш сюзерен набирає найманців для ведення своїх війн. Ми можемо мати із цього користь, використовуючи деяких із цих найманців для підтримки нашої власної армії."
 magnate_landowners:0 "Іноземні магнати"
 magnate_landowners_desc:0 "Роздавши землю іноземним дворянам, що бажають переїхати в нашу країну, ми можемо створити аристократію, повністю віддану нашим інтересам. У якості ще одного переваги можна назвати збільшення виробництва."
 foreign_advisors_client:0 "Іноземні радники"
 foreign_advisors_client_desc:0 "Радники, що перебувають при дворі нашого сюзерена, зможуть навчити нас керуванню державою."
 MAL_ideas:0 "Малійські ідеї"
 MAL_ideas_start:0 "Малійські традиції"
 MAL_ideas_bonus:0 "Малійські амбіції"
 restore_malian_suzerainity:0 "Відродити малійський сюзеренітет"
 restore_malian_suzerainity_desc:0 "Малійська імперія завжди була децентралізована та являла собою союз міст, які присягали на вірність мансі. Однім з головних обов'язків манси був захист доріг між цими містами від нападів різних грабіжників, розбійників і загарбників. Однак деякі з наших васалів відчули смак крові й на початку XV століття скористалися нашою слабістю, щоб звільнитися від васалітету. Для того щоб повернути колишню славу нашої імперії ми спочатку повинні нагадати їм про право манси на владу в державі."
 gold_of_bure:0 "Золото Бурі"
 gold_of_bure_desc:0 "Золоті поклади в регіонах Бамбук і Бурам відомі як найбільші у світі й, більше того, вони належать нам. Золоті шахти забезпечують нас багатствами, причому настільки величезними, що коли манса Муса відвідав Єгипет, у тому почалася інфляція. Однак для нашої економіки постійне уливання золота не в новинку й тому вона більш стійка до інфляції."
 reclamation_of_land:0 "Освоєння земель"
 reclamation_of_land_desc:0 "Пустеля Сахара не варто на місці... вона може те збільшуватися, то зменшуватися, залежно від частоти опадів, і ділянка землі придатної для життя, відомий як Сахель, також відповідно збільшується або ж зменшується. Сильна посуха може перетворити більшу частину нашого королівства в пустелю, де править лише смерть. Однак у сприятливі роки ми можемо освоїти небагато більшу частину земель Сахари й знову зробити їх родючими."
 mandinka_warrior_spirit:0 "Дух воїна-мандинки"
 mandinka_warrior_spirit_desc:0 "Не важливо хто, язичники або мусульмани, воїни племені Мандинка були кращими воїнами, яких знав Сахель. Сміливість наших воїнів викликає замилування, так само як і їхня пишнота. Коли манса формує армію, то їй не перебуває рівних як по чисельності, так і по майстерності."
 lost_fleet_of_abubukari_ii:0 "Загублений флот Абубакара II"
 lost_fleet_of_abubukari_ii_desc:0 "В 1312 році манса Абубакар II відрікся від престолу й відправився досліджувати океанські простори. Однак згодом ніхто більш не бачив ні його флот ні самого Абубакара II і цей факт заспокоїв його спадкоємця, мансу Мусу. Можливо Абубакар був прав і досліджувати океан дійсно важливо. Однак цього разу буде краще, якщо манса залишиться у своєму палаці."
 seek_new_markets_for_salt:0 "Пошук нових ринків для збуту солі"
 seek_new_markets_for_salt_desc:0 "У нашому королівстві сіль цінується на вагу золота. Південніше нас у лісах Ашанти і Йоруба, сіль цінується набагато дорожче золота. Але, на щастя, у нас є власні запаси солі й достатньо золота, щоб забезпечувати приплив солі. Можливо, ми б могли знайти ще ринки, де люди усе ще цінують сіль дорожче золота."
 west_african_slave_trade:0 "Работоргівля в Західній Африці"
 west_african_slave_trade_desc:0 "Задовго до нашої імперії, інша імперія Гана, також відома як Вагаду, продавала рабів арабам, які живуть по іншій стороні пустелі. Ми також пішли їхньому прикладу й поставляли арабам величезна кількість рабів. Тепер же європейці вимагають ще більше рабів для роботи в їхніх володіннях у Новому світі. Їхній попит на рабів дійсно великий і вони все частіше вертаються на наші землі, і навіть нападають на наших підданих, щоб забрати їх у рабство. Прийшов час прийняти залишковий розв'язок щодо работоргівлі й обмежити доступ європейцям лише до деяких портів, де вони змогли купувати, а не красти рабів."
 native_ideas:0 "Тубільні досягнення"
 native_ideas_start:0 "Тубільні традиції"
 native_ideas_bonus:0 "Тубільні амбіції"
 adopt_clan_totems:0 "Родові тотеми"
 adopt_clan_totems_desc:0 "Кожний рід повинен бути під захистом тваринного тотема, що описує місце клану в нашому суспільстві."
 the_little_war:0 "Маленька війна"
 the_little_war_desc:0 "Замість того, щоб воювати один з одним, ми повинні заохочувати наших людей витрачати свою енергію в Маленькій війні. Ця церемоніальна гра використовує багато військових ритуалів, але метою в ній є контроль м'яча ціпками."
 clan_mothers:0 "Матері кланів"
 clan_mothers_desc:0 "Ми повинні прислухатися до мудрості матерів наших кланів, які доглядають за полями. Нехай вони мають право голосу в управлінні племені й у виборі наших лідерів!"
 counting_coups:0 "'Торкання ворога'"
 counting_coups_desc:0 "Якщо ми будемо визнавати вдалі тактичні ходи на полях битв як дуже вдалі й гідні переказувань і святкувань, то молодь буде намагатися вирізнитися й показати свою хоробрість заради слави і популярності."
 war_and_peace_chiefs:0 "Вожді війни і миру"
 war_and_peace_chiefs_desc:0 "Як обов'язки розподілені між людьми, ми повинні започаткувати нові традиції, призначаючи вождів, які відповідатимуть виключно за воєнні справи й можуть швидко відібрати серед наших людей найкращих воїнів."
 storytelling_tradition:0 "Традиції оповідань"
 storytelling_tradition_desc:0 "Шануючи й поважаючи наших великих оповідачів казок, ми можемо гарантувати, що традиції та ідеї нашого народу передаються від покоління до покоління."
 great_winter_hunts:0 "Велике зимове полювання"
 great_winter_hunts_desc:0 "Коли мороз приходить у наші землі, наші села й поля вже не можуть нас прогодувати. У цей час ми повинні кочувати в пошуках мисливських угідь, де ще можна знайти їжу."
 HUR_ideas:0 "Гуронські ідеї"
 HUR_ideas_start:0 "Гуронські традиції"
 HUR_ideas_bonus:0 "Гуронські амбіції"
 birchback_canoes:0 "Берестяні каное"
 birchback_canoes_desc:0 "Використовуючи берестяні каное замість важких дерев'яних, ми можемо краще наших сусідів ірокезів скористатися ріками й волоками Північної Америки. Це значно підсилить нашу здатність направляти торговельні потоки."
 feast_of_the_dead:0 "Поминання Померлих"
 feast_of_the_dead_desc:0 "По цій традиції мерців ховають у тимчасових могилах і тільки раз на 8 – 12 років, під час свята Поминання Померлих, їхні останки ховають у загальні могили, поруч із предками. Тільки тоді вони зможуть покинути землю й відправитися у верхній мир. Ми повинні зберегти цю церемонію за всяку ціну."
 harsh_justice:0 "Суворе правосуддя"
 harsh_justice_desc:0 "Ми не повинні терпіти вбивства й інші жорстокі злочини серед нашого народу. Той, хто зробить подібне не повинен просто вмерти, він повинен умерти від голоду або перетерпіти інші настільки ж болісні страждання."
 great_lakes_trade:0 "Торгівля на Великих Озерах"
 great_lakes_trade_desc:0 "Ми займаємо унікальне положення на перехресті багатьох торговельних шляхів, між безліччю племен. Ми повинні скористатися цим положенням, щоб стати посередниками, фахівцями з торгівлі в Північній Америці."
 missionary_welcome:0 "Ласкаво просимо, місіонери"
 missionary_welcome_desc:0 "Є ті, хто приходить у нашу землю, щоб проповідувати віру свого народу й розповідати нам про свій світ. Ми зробимо мудро, якщо будемо привітними до них, і дозволимо слухати їх тим, хто захоче їх слухати."
 hire_allied_warriors:0 "Найняти союзних воїнів"
 hire_allied_warriors_desc:0 "Ми повинні компенсувати нечисленність наших рядів нашим дипломатичним впливом. Переконаємо поселення дружніх племен надати нам частину своїх воїнів."
 eldest_children:0 "Старші діти"
 eldest_children_desc:0 "Завдяки нашої унікальної позиції як посередників, у нас є можливість позиціонувати себе як лідерів у будь-якому альянсі в Північній Америці! Ми повинні скористатися цією можливістю за всяку ціну!"
 IRO_ideas:0 "Ірокезькі ідеї"
 IRO_ideas_start:0 "Ірокезькі традиції"
 IRO_ideas_bonus:0 "Ірокезькі амбіції"
 kainerekowa:0 "Люди довгого будинку"
 kainerekowa_desc:0 "Ми повинні шанувати дарунок великого Хайавати, Великий закон Миру, який об'єднав п'ять наших народів в одне ціле й дав нам наші традиції керування."
 keepers_of_the_western_door:0 "Хоронителі Заходу"
 keepers_of_the_western_door_desc:0 "Сенека опікують нас від набігів наших ворогів із заходу. Зараз вони є найбільш численним народом нашої конфедерації, і ми повинні використовувати їхніх воїнів і досвід, щоб дозволити собі поле більше армій."
 keepers_of_the_eastern_door:0 "Хоронителі Сходу"
 keepers_of_the_eastern_door_desc:0 "Мохоки живуть на шляху великих рік, що течуть до моря, і перебувають у стані дозволити або заборонити торгівлю іншим племенам. Ми повинні використовувати це положення для нашої економічної вигоди."
 keepers_of_the_fire:0 "Хоронителі вогню"
 keepers_of_the_fire_desc:0 "У самому серці нашої землі живуть Онондага, хоронителі вогню. Ми повинні підтримати традицію й вибрати нашого загального лідера, тадодахо, із цього народу. Адже вони є основою компромісу між східної й західної частинами нашого союзу."
 mourning_wars:0 "Жалобні війни"
 mourning_wars_desc:0 "Є давня традиція ухвалювати у свої ряди захоплених воїнів інших племен. Але, щоб поповнити наші ряди й забезпечити майбутні перемоги, ми повинні прагнути ухвалювати у свої ряди не тільки окремих воїнів, але й цілі племена."
 warriors_unity:0 "Згуртованість воїнів"
 warriors_unity_desc:0 "Ми можемо не бути самим численним народом, але фортеця нашого союзу дає нам те, чого немає в інших: згуртованість! Наші воїни виходять на бойовище й борються як брати. Поки ми підтримуємо цю традицію, ми не можемо програти!"
 the_four_kings:0 "Чотири королі"
 the_four_kings_desc:0 "Ми повинні послати деяких з наших вождів відвідати далекий будинок наших друзів і союзників, зміцнивши тим самим нашу дружбу."
 CHICK_ideas:0 "Чикасавські ідеї"
 CHICK_ideas_start:0 "Чикасавські традиції"
 CHICK_ideas_bonus:0 "Чикасавські амбіції"
 moundbilders_legacy_CHE:0 "Спадщина будівельників курганів"
 moundbilders_legacy_CRE:0 "Спадщина будівельників курганів"
 moundbilders_legacy:0 "Спадщина будівельників курганів"
 moundbilders_legacy_desc:0 "До нас жили в цих місцях умільці, які побудували більші підземні житла. Їх уже ні, але їх кургани залишаються, і ми можемо одержати багато чого якщо будемо вивчати їх використовувати для будівництва наших поселень."
 moundbilders_legacy_CHE_desc:0 "До нас жили в цих місцях умільці, які побудували більші підземні житла. Їх уже ні, але їх кургани залишаються, і ми можемо одержати багато чого якщо будемо вивчати їх використовувати для будівництва наших поселень."
 moundbilders_legacy_CRE_desc:0 "До нас жили в цих місцях умільці, які побудували більші підземні житла. Їх уже ні, але їх кургани залишаються, і ми можемо одержати багато чого якщо будемо вивчати їх використовувати для будівництва наших поселень."
 nighttime_raids:0 "Нічні рейди"
 nighttime_raids_desc:0 "Якщо наші вороги насміляться вдертися у наші землі, вони не повинні знати спокою. Ми повинні наносити удари, коли вони намагаються спати, руйнувати їхнє постачання та комунікації й переконатися, що вони залишать нашу землю і ніколи не повернуться."
 slave_raids:0 "Набіги за рабами"
 slave_raids_desc:0 "Ми сильні й ми нещадні воїни, але наші землі бідні на підходящі для торгівлі товари. А наші сусіди завжди готові платити за працездатних бранців. Роблячи набіги на ворогів і захоплюючи їх у полон для продажу, ми зможемо значно побільшати наші багатства."
 swan_feathers_mantle:0 "Лебедині мантії"
 swan_feathers_mantle_desc:0 "Накидки з лебединого пера користуються більшою повагою в наших людей. Ми повинні влаштувати так, щоб наші вожді завжди змогли ними обзавестися!"
 spartans_of_miss:0 "Спартанці з берегів Міссісіпі"
 spartans_of_miss_desc:0 "Мандрівники розповідають про прадавнє царство, у якому військові доблесті були основним критерієм для оцінки статусу. Ми повинні прагнути до того, щоб у майбутньому наш народ сприймався так само."
 unconqured_and_unconquerable:0 "Нескорені й Непереможні"
 unconqured_and_unconquerable_desc:1 "Наші старійшини більше не можуть воювати, але ми можемо скористатися їхнім досвідом, оскільки вони ніколи не зазнавали поразки."
 lessons_of_ackia:0 "Уроки Акії"
 lessons_of_ackia_desc:0 "На нашій батьківщині укріплене місто Акия опікував шляхи, що вели до інших наших поселень. Ми завжди повинні пам'ятати це, і встановити потужні фортеці там, де вони можуть перекрити підхід ворогів до нашої землі."
 tolerance_idea:0 "Терпимість"
 tolerance_idea_desc:0 "Прийняття терпимості до релігійних меншостей у нашій країні значно підвищить наша релігійна єдність."
 benign_diplomats:0 "Гарні дипломати"
 benign_diplomats_desc:0 "Будучи більш обережним у виборі й вихованні наших дипломатів, ми значно побільшаємо свої шанси вплинути на інші країни й змусити їх прийняти більш вигідні нам умови."
 CHE_ideas:0 "Черокські ідеї"
 CHE_ideas_start:0 "Черокські традиції"
 CHE_ideas_bonus:0 "Черокські амбіції"
 massacre_of_the_anikutani:0 "Побиття Ані-Кутани"
 massacre_of_the_anikutani_desc:0 "Ми ніколи не повинні забувати про шаманів, що розжиріли, яким колись дозволили управляти собою, і про те, боролися за їхнє знищення. Не можна дозволяти подібній групи царювати над собою."
 red_chiefs:0 "Червоні Вожді"
 red_chiefs_desc:0 "Організувати молодь у підлозі-військову організацію під керівництвом Червоного Вождя й при сприянні розвідників, лікарів і військової ради всіх семи племен, ми можемо суттєво підвищити якість нашого ополчення."
 cherokee_adaptability:0 "Черокська асиміляція"
 cherokee_adaptability_desc:0 "Коли ми розширюємося, то зустрічаємося з новими людьми й новими ідеями. Ми ніколи не повинні закриватися від цих ідей, замість цього ми повинні змінювати їх під потреби нашого суспільства."
 ghigau:0 "Гигау"
 ghigau_desc:0 "Іноді жінки виходять зі своїх звичайних ролей і відрізняються на поле бою. Цих жінок треба зводити у звання Улюблених Жінок або Гигау, надавати право голосу в раді вождів і покласти відповідальність за долю бранців."
 mountainous_isolation:0 "Гірська ізоляція"
 mountainous_isolation_desc:0 "Країна гір і тісних ущелин – от наша земля. Ворогам буде важко проникнути до нас і завоювати наші поселення."
 cherokee_emperor:0 "Імператор чероки"
 cherokee_emperor_desc:0 "Вибравши одного з наших вождів як нашого представника серед іноземців, ми можемо побільшати наші здатності до ведення переговорів і досягненню угод."
 MOVE_TRADE_PORT_ALREADY_TRADE_PORT:0 "Ваша торговельна столиця вже розташована в цьому вузлі."
 MOVE_TRADE_PORT_ONLY_CITY:0 "Ви можете переміщати торговельну столицю тільки в повноцінну провінцію з містом."
 MOVE_TRADE_PORT_CORE:0 "Ви можете переміщати торговельну столицю тільки в національну провінцію."
 MOVE_TRADE_PORT_AT_WAR:0 "Ви не можете переміщати торговельну столицю під час війни."
 MOVE_TRADE_PORT_DIPLOMATIC:0 "Вам необхідно §Y$POWER$§!£dip£ для переміщення торговельної столиці."
 MOVE_TRADE_PORT_NOT_OUR_PROV:0 "Ви маєте володіти провінцією $NAME|Y$ та контролювати її, якщо хочете перемістити туди свою торговельну столицю."
 KUR_ideas:0 "Курляндські ідеї"
 KUR_ideas_start:0 "Курляндські традиції"
 KUR_ideas_bonus:0 "Курляндські амбіції"
 legacy_of_sword_brethren:0 "Спадщина мечоносців"
 legacy_of_sword_brethren_desc:0 "Герцогство Курляндія встановлюється на землях Братства воїнів Христа, більш відомого як Орден мечоносців. Нашим першим герцогом був гросмейстер цього ордена, а дворянство становлять колишні лицарі-хрестоносці. Знать прийняла протестантизм і орден провів секуляризацію, але фортеця Лицарів Христа стоїть твердо."
 privilegium_gotthardinum:0 "Привілей Ґодарда"
 privilegium_gotthardinum_desc:0 "Хоча нашу державу населяють переважно латиші, наша шляхта переважно німецька. Звідси й випливає необхідність дбати про безпеку наших дворян, яку забезпечила Привілей Ґодарда, видана Ґодардом Кетлером, першим герцогом Курляндії та Семигалії. Привілей дарує знаті широкі повноваження над селянами, які проживають на їхній землі та наділяє панів високою юридичною силою. Усе це має сприяти ефективнішому управлінню державою."
 duchy_of_mercantilism:0 "Оспівування меркантилізму"
 duchy_of_mercantilism_desc:0 "Наша країна може й невелика, але маленьке герцогство Курляндія було одним з найбільш впливових торговельних держав Балтійського моря. Ми повинні на ще один крок наблизитися до своєї мети – торговельної гегемонії. Просуваючи меркантильну політику, ми зможемо створити сильну державу, до якої прислухатимуться всі країни Балтії!"
 booming_manufacture:0 "Промисловий бум"
 booming_manufacture_desc:0 "Розквіт меркантилізму та успішне сільське господарство вносять величезний вклад у розвиток нашої промисловості. Звичайно, ми не можемо бути фабрикою миру, але наша продукція має успіх у всій Європі – ми можемо робити якорі й гармати, цеглу та плитку, скло і тканини. Більше того, кораблі, побудовані в Кулдиге, Лієпає та Вентспілсі добре продаються в Англії та Франції. Із процвітаючою торгівлею, ми безумовно будемо лідирувати в промисловості..."
 couronian_colonization:0 "Курляндська колонізація"
 couronian_colonization_desc:0 "Відкриття Нового Світу принесло масу змін, які вже не можна ігнорувати. Це початок епохи можливостей, і ми повинні не відставати від неї! З нашими доходами ми можемо підтримувати досить кораблів,щоб почати колонізацію й у такий спосіб гарантувати, що наші інтереси за кордоном будуть дотримані."
 palaces_of_mitau:0 "Палаци Мітави"
 palaces_of_mitau_desc:0 "Мітавський палац є найбільшим палацом, побудованим у стилі бароко на Балтійському узбережжі. Він стоїть в одному ряді з літнім палацом у Рутенголі. Найімовірніше, він є самим величним палацом у регіоні. Побудований по проекту знаменитого архітектора Бартоломео Растреллі, цей величний будинок повинен принести нам небагато поваги на світовій арені."
 promote_the_curonian_kings:0 "Куршські королі"
 promote_the_curonian_kings_desc:0 "Куршські королі є нащадками прадавніх куршських вождів. У часи Ливонського ордена, вони насолоджувалися дарованими привілеями і під час війни служили в армії. Після заснування герцогства, вони втратили частину своїх привілеїв та перестали проходити військову службу. Можливо, ми повинні знову дарувати їм дворянські титули, щоб наша країна знайшла краще застосування цим нащадкам лютих воїнів?"
 humanist_ideas:0 "Гуманістичні ідеї"
 humanist_ideas_bonus:0 "Священний гуманізм"
 local_traditions:0 "Народні звичаї"
 local_traditions_desc:0 "Управління великою державою означає володарювання над усіма малими народами, що населяють ці землі, кожний з них має свої звичаї та культуру. Закріпивши ці звичаї в нашому зводі законів, ми зробимо населення щасливим та слухняним."
 indirect_rule:0 "Непрямий контроль"
 indirect_rule_desc:0 "Іноді кращий спосіб, щоб змусити людей робити те, що ви прагнете, це переконати їх у тому, що вони самі цього захотіли. Така система повинна втихомирити людей на недавно захоплених землях."
 cultural_ties:0 "Культурні зв'язки"
 cultural_ties_desc:0 "Далекі культури несуть далеку культуру, і чомусь, протистоять спробам влади розмити відмінності. Ми можемо перетворити цю слабість у силу, шляхом включення місцевих авторитетів у наш уряд, пом'якшивши у такий спосіб всі гострі кути."
 benevolence:0 "Меценатство"
 benevolence_desc:0 "Наша нації є оплотом терпимості й освіти. Гарантувавши це на державному рівні, ми зможемо поліпшити думку інших держав про нас."
 influence_ideas:0 "Міжнародні ідеї"
 influence_ideas_bonus:0 "Повний контроль"
 establish_cadet_branches:0 "Започаткування молодших династичних гілок"
 establish_cadet_branches_desc:0 "Успадкування може бути непростою справою. Чітко розділивши ролі та права нашої династії, призначивши її молодші гілки, ми додамо стабільності порядку успадкування."
 tribute_system:0 "Данина"
 tribute_system_desc:0 "Підвищує наш дохід за рахунок створення організованої системи збору данини з підконтрольних нам автономій."
 integrated_elites:0 "Впровадження еліт"
 integrated_elites_desc:0 "Виділивши місця в раді для еліт наших васалів, ми зможемо значно полегшити інтеграцію цих провінцій."
 state_propaganda:0 "Пропаганда"
 state_propaganda_desc:0 "Як і в простого люду, репутація для держави є все. І із цією метою ми заснували спеціальний орган, що забезпечує підтримку нашого доброго імені й очорнення наших ворогів."
 postal_service:0 "Поштові відділення"
