l_ukrainian:
 embraced_absolutism:0 "Підтримані ідеї абсолютизму"
 republic_factions.7.d:0 "Одного з наших дипломатів, який має тісні зв'язки з вітчизняною гільдією, було звинувачено кількома старими послами в укладанні угод із закордонною гільдією. Хоч він і визнає ведення справ за кордоном, він заперечує обвинувачення у компрометації своєї політичної місії. Так чи інакше, він пропонує використовувати свої закордонні зв'язки в наших інтересах.\n\nСтара гвардія дипломатів-аристократів вважає ці махінації дуже сумнівними, однак використання зв'язків між гільдіями може дати нам перевагу в таємних операціях."
 republic_factions.7.a:0 "Подивимося, члени яких гільдій найбільш віддані своїй країні."
 republic_factions.7.b:0 "Призупинити його службу, поки ми не приведемо все в порядок."
 republic_factions.8.t:0 "Дворянська спадщина держави [Root.GetName]"
 republic_factions.8.d:0 "Наша республіканська нація відмовилася від багатьох застарілих ідей, на кшталт панування еліт та феодального устрою, але іноді, коли вони корисні для нас, ми готові переглянути ці питання на ситуативній основі. Подібна ситуація виникла в державі [Root.GetName], де місцевий аристократ заявляє, що ділянка землі, що знаходиться прямо за нашим кордоном, насправді є законною вотчиною його родини.\n\nМісцеві торговці, що ведуть торгівлю із сусідньою державою, виступають проти цієї заяви. Вони стверджують, що для республіки першою турботою є торгівля, а претензії дворян приводять тільки до війни та злиднів."
 republic_factions.8.a:0 "Війна можлива, але хто говорить про злидні?"
 republic_factions.8.b:0 "Вони праві. Ми повинні облишити ці дріб'язкові претензії."
 republic_factions.9.t:0 "Кандидати змагаються за можливості"
 republic_factions.9.d:0 "Як республіка, ми прагнемо знайти баланс між економічними інтересами і традиціями. Відповідно до цього, ми підбираємо наших радників. Родини, які про це знають – патриції та аристократи – планують все наперед і намагаються проштовхнути своїх представників на гарні місця, де вони мали б важелі впливу на політику.\n\nНедавно з'явилися вакансії на подібні місця і тепер різні сторони чинять тиск на нас. Всім не догодиш, але когось таки потрібно призначити якомога швидше."
 republic_factions.9.a:0 "Хто-небудь, хто розбирається у військовій справі, може стати у нагоді."
 republic_factions.9.b:0 "У державі [Root.GetName] торгівля стоїть на першому місці."
 republic_factions.10.t:0 "Торгівля між суперниками"
 republic_factions.10.d:0 "Ми відкриті для ведення справ з усіма... поки ми зберігаємо контроль за ситуацією. Які справи ми можемо, а які не можемо контролювати - це питання стало об'єктом самих гарячих суперечок у нашій республіці. Торговці почали торгувати на дружніх засадах з одним з наших суперників, незважаючи на політичні розбіжності. Аристократи вважають це досить підозрілим та закликають до негайного припинення торговельних відносин."
 republic_factions.10.a:0 "Ми можемо дозволити собі розірвати відносини із цими свинями."
 republic_factions.10.b:0 "Ми не можемо дозволити собі розірвати відносини із цими свинями."
 republic_factions.10.b.tt:0 "[This.GetName] отримає торгову силу в одному з вузлів, де ми торгуємо."
 republic_factions.11.t:0 "Держава [From.GetName] відкрита для торгівлі"
 republic_factions.11.d:0 "Незважаючи на відкриту ненависть до нас та до наших переконань, [From.GetAdjective]а держава дозволила своїм торговцям вести справи з нами. Це дає нам шанс отримати деяку торгову силу там, де вони зазвичай витісняють наших торговців."
 republic_factions.11.a:0 "Вони повинні довіряти нам частіше."
 republic_factions.12.t:0 "Пропозиція художника на ім'я $ARTIST$"
 republic_factions.12.d:0 "Гільдії держави [Root.GetName] переграли своїх конкурентів на політичній арені, отримавши контроль над [Root.GetAdjective]им урядом, однак їх влада далеко не беззаперечна.\n\nХудожник $ARTIST$, високо оцінений республікою за свої унікальні мистецькі зідбності, пропонує вам вирішення цієї проблеми.\n'Мій [Root.Monarch.GetTitle], зміна влади зараз може звести на нівець все, над чим гільдії так старанно працювали. Ми знаємо, що ви розумна людина, однак якщо вам потрібний додатковий стимул, то гільдія не проти зробити пожертву.'"
 republic_factions.12.a:0 "Ви думаєте, що я не розпізнаю хабар?"
 republic_factions.12.b:0 "Пожертвування на фінансування суспільних проектів виглядає зовсім безневинним."
 republic_factions.13.t:0 "Пропозиція від торговця на ім'я $TRADER$"
 republic_factions.13.d:0 "'Ґрунт іде з-під наших ніг, мій [Root.Monarch.GetTitle]', заявив торговець $TRADER$ у приватній бесіді після нещодавніх політичних дебатів. 'Наша республіка залежить від торгівлі. Торгівля – це основа нашого суверенітету. Якщо ми поставимо інші інтереси вище за інтереси наших торговців, то скоро виявимо, що нами управляє не [Root.Monarch.GetTitle], а лише купка бездарних людей, які втратять все, що привело нас до величі.'\n\nВи добре розумієте, що відбудеться далі. Обіцянки багатства, які призведуть до продовження влади торговців у державі [Root.GetName]… і набагато більш матеріальні обіцянки для вас."
 republic_factions.13.a:0 "Корупція - це не те, що потрібно республіці."
 republic_factions.13.b:0 "Все, що ви сказали - чиста правда. [Root.GetName] потребує грошей."
 republic_factions.14.t:0 "Пропозиція від коменданта на ім'я $COMMANDANT$"
 republic_factions.14.d:0 "У багатьох інших країнах аристократія має набагато більшу владу, ніж у нас. В державі [Root.GetName] мають значення гроші, а не звання. Комендант $COMMANDANT$ прекрасно про це знає.\n\n'Зрештою, заявив він, якщо [Root.GetName] тепер процвітаюча держава, то їй потрібен сильний правитель. Військові встануть за вас, мій [Root.Monarch.GetTitle], якщо ви відновите частину їх колишньої величі. Багато аристократів готові підтримати такі починання значними сумами.'"
 republic_factions.14.a:0 "Республіку не можна купити!"
 republic_factions.14.b:0 "Ми високо цінуємо вашу лояльність."
 republic_factions.15.t:0 "Внутрішнє коло"
 republic_factions.15.d:0 "Як [Root.Monarch.GetTitle], ви намагалися підтримувати відносну нейтральність до гільдій, особливо зважаючи на те, що вони тепер у немилості в державі [Root.GetName]. Ви не є членом якої-небудь гільдії, та й у такій політичній ситуації це було б неприпустимо. Однак все може змінитися. Найбільш впливова гільдія республіки запропонувала вам членство, пообіцявши зберігати це в таємниці настільки довго, наскільки це необхідно. Досить смілива пропозиція, однак відмова від неї погіршить ваші відносини з гільдією."
 republic_factions.15.a:0 "Я не можу заприсягтися у вірності нікому, крім республіки."
 republic_factions.15.b:0 "Якщо вони можуть зберігати це в таємниці, я теж зможу."
 republic_factions.16.t:0 "Вигідна угода"
 republic_factions.16.d:0 "У державі [Root.GetName] торгівля з політикою вже давно нерозривно переплетені одна з одною. Іноді ми можемо наштовхнутися на угоди, які вигідні багатьом фракціям, але шкодять республіці. Коли [From.Monarch.GetTitle] є членом однієї з цих фракцій, ситуація може стати небезпечною.\n\nХороша угода сприяє хорошим стосункам із ключовими торговцями. Ми можемо уникнути відходу цих партнерів, якщо готові пожертвувати частиною своєї чесності, як представника республіки."
 republic_factions.16.a:0 "Чесність окупиться в довгостроковій перспективі."
 republic_factions.16.b:0 "Марно чекати, що ми поступимося нашими інтересами заради держави [Root.GetName]."
 republic_factions.17.t:0 "Кров - не вода"
 republic_factions.17.d:0 "У державі [Root.GetName] багато людей, для яких становище в суспільстві визначається зв'язками або багатством, однак дворяни все ще високо цінують кровні узи. Навіть із врахуванням того, що наразі знать має далеко не найсильнішу фракцію в нашій республіці, вони продовжують використовувати все ті ж методи забезпечення відданості.\n\nНедавнє прохання руки й серця вашої дочки від однієї добре відомої аристократичної родини – пряме тому підтвердження. Очевидно, що прийнявши пропозицію, вам доведеться будувати свою політику, оглядаючись на їхні бажання, що послабить республіку, однак якщо ви відмовитесь, то втратите підтримку, без якої буде ще складніше добитися підтримки запланованої вами військові реформи."
 republic_factions.17.a:0 "Відмовити їм якомога ввічливіше."
 republic_factions.17.b:0 "Нам потрібно підтримувати тісні зв'язки із цією родиною."
 republic_factions.18.t:0 "Співробітництво гільдій"
 republic_factions.18.d:0 "З тих пір як гільдії намагаються стати домінуючою силою не тільки в [Root.GetAdjective]ій торгівлі, але й у політиці, вони все частіше бачать свою силу у співробітництві. Організації, які в інших умовах були б суперниками, зараз ефективно працюють разом заради збереження влади над державою. Як позитивний побічний ефект, їх контроль над якістю та збутом [Root.GetAdjective]их товарів значно виріс."
 republic_factions.18.a:0 "Якби вони були настільки ж розважливими, коли їм не буде так щастити..."
 republic_factions.19.t:0 "Торговці направляють свої погляди за кордон"
 republic_factions.19.d:0 "Після отримання контролю над [Root.GetAdjective]ою республікою, наші торговці намагаються урвати ще шматочок торговельного впливу в усьому світові. Їхнє політичне домінування в державі [Root.GetName] дозволяє їм не турбується про те, що відбувається всередині країни, а також підштовхує їх на більші ризики, що було б неприпустимо, якби їх могли скинути у своїй країні. Зрештою, така ситуація може принести користь не тільки їм, а й республіці."
 republic_factions.19.a:0 "Нехай вони привезуть нам всі багатства світу."
 republic_factions.20.t:0 "Аристократи подолали всі розбіжності"
 republic_factions.20.d:0 "З тих пір, як держава [Root.GetName] стала служити аристократам, аристократи стали служити державі [Root.GetName]. Побоюючись того, що їх будуть розглядати, як пережиток старої форми правління, дворяни вирішили, що зберегти владу вони зможуть лише працюючи разом. Хоч це й створює розбіжності між ними та іншими [Root.GetAdjective]ими політичними силами, але вони все-таки відклали свої плани по захопленню влади в республіці, і допомагають один одному більш ефективно організовувати свою діяльність."
 republic_factions.20.a:0 "Наша велика республіка об'єднує навіть імениті сім'ї!"
 republic_factions.21.t:0 "Гільдії перешкоджають торгівлі"
 republic_factions.21.d:0 "Лідери гільдій бувають безжалісними владолюбцями, і не люблять коли їм хтось протистоїть на політичній арені. Оскільки гільдії не контролюють уряд держави [Root.Owner.GetName] вже довгий час, деякі з них почали використовувати жорсткіші засоби затвердження свого впливу. Знаючи, що республіка залежна від торгівлі, гільдія, яка контролює товар [Root.GetTradeGoodsName], стала обмежувати його торговельний оборот, що заподіює шкоду національній економіці, а також справам їх політичних конкурентів."
 republic_factions.21.a:0 "Невже вони вважають, що тепер [Root.Owner.Monarch.GetTitle] стане більше їх підтримувати?"
 republic_factions.22.t:0 "Торговець відмовляється служити республіці"
 republic_factions.22.d:0 "Незважаючи на те, що у державі [Root.GetName] все присвячено торговим інтересам, багато відомих торговців почали запевняти, що [Root.Monarch.GetTitle] не прислухається до них, і ставить власні інтереси вище тих, які зробили нашу країну такою процвітаючою. Один з торговців, на якому тримається наша міжнародна торгівля, пригрозив повністю припинити свої справи з республікою. Зрештою, ми певні, що досягнемо компромісу, але наразі, поки пристрасті не вщухли, це зашкодить нашій співпраці."
 republic_factions.22.a:0 "Про що він взагалі думає?"
 republic_factions.23.t:0 "Аристократи відхиляють республіканське правління"
 republic_factions.23.d:0 "Наша республіка діяла досить ефективно в питаннях відсторонення аристократів від влади, які зазвичай сприймали її як належне. Вони визнають, що тепер не мають на неї тих прав, які існують в інших країнах. Бувають моменти, коли старі ідеї про дворянську велич відроджуються, однак знать держави [Root.GetName] усвідомлює, що не може вплинути на політику нічим крім меча. Відповідно, меч – це те, що вони взяли в руки, почавши повстання проти республіки."
 republic_factions.23.a:0 "Якщо вони прагнуть влади, навчіть їх боротися за неї пером, а не мечем!"
 republic_factions.24.t:0 "Закон про родину"
 republic_factions.24.d:0 "Аристократи держави [Root.GetName] наполягають на впровадженні закону, відомого в народі як 'Закон про родину', з метою захисту невинних умів від серії п'єс і романів, які створюють 'вільні' автори вже кілька років. Основне обурення викликає непристойна п'єса, у якій йдеться про родину, що подорожує по країні та висміює ненажерливість аристократії. Принижені й ображені жертви цього глузування тепер вимагають, щоб уряд республіки обмежив подібне знущання."
 republic_factions.24.a:0 "Цікаво. Як вони називають постанови, подібні до цієї?"
 republic_factions.24.b:0 "Воля існує не для того, щоб служити непристойностям!"
 republic_factions.101.t:0 "Революція у державі $COUNTRY$"
 republic_factions.101.d:0 "Протягом деякого часу в Республіці спостерігалося зростання впливу гільдій на [Root.GetAdjective]ій політичній арені. Покладаючись на численних підмайстрів, таких як дрібні крамарі та ремісники, ця фракція здатна реквізувати всю владу в державі та монополізувати ключові позиції в адміністрації.\n\nЩоб не ризикувати довічною маргіналізацією, аристократи і купці почали спекулювати на ринку зерна. Це призвело до швидкого вичерпання запасів хліба в країні й багаторазового зростання цін на зерно. До поточного моменту гільдії ігнорували насування кризи, оскільки потреба бідняків у позиках для купівлі їжі представлялася доброю нагодою отримати додатковий прибуток. Це тривало до тих пір, поки не зібрався натовп на головній площі столиці [Root.Capital.GetCapitalName], у кроках від палацу правителя [Root.Monarch.GetTitle], що вилилося у жертви серед варти, яка намагалася змусити натовп розійтися.\n\nНайгірше те, що вони почали грабувати десятки крамниць!"
 republic_factions.101.a:0 "Ми не можемо дозволити натовпу затягти Республіку в анархію."
 republic_factions.101.b:0 "Поступіться їхнім вимогам."
 republic_factions.102.t:0 "Революція в державі $COUNTRY$"
 republic_factions.102.d:0 "Ввезенням багатств з далеких країн та продажем їх на ринках столиці [Root.Capital.GetCapitalName], [Root.GetAdjective]і купці змогли успішно пройти в парламент. Після цього було нескладно зайняти основні позиції в адміністрації Республіки, які дають реальну владу. І хто би міг їм у цьому дорікнути? Ніколи не було такого розквіту в державі [Root.GetName], золото тече рікою, як ніколи раніше.\n\nДійсно, хто? Сквайри, можливо, побоюються розорення, оскільки їхні маєтки скуплені можновладцями? Ймовірно ще й гільдії,позаяк торговці віддають перевагу заробітку на імпорті, а не підтримці вітчизняних виробників. Можливо, що й простолюдини поступово накопичують невдоволення збільшенням цін та подвоєнням ренти, адже велике благо торговці бачать у збільшенні свого багатства...\n\nРозлючені натовпи збираються рано вранці перед брамою палацу, в якому знаходиться [Root.Monarch.GetTitle], готуючись їх виламати."
 republic_factions.102.a:0 "Не дозволимо купці дурнів нас шантажувати!"
 republic_factions.102.b:0 "Поступіться їхнім вимогам."
 republic_factions.103.t:0 "Революція в державі $COUNTRY$"
 republic_factions.103.d:0 "Використовуючи різноманітні методи тиску, знать держави [Root.GetName] зуміла захопити владу в Республіці. Сини знатних родів святкують на вулицях і в палацах Республіки. На разі їхні суперники не можуть сподіватися на законні шляхи повернення собі втраченого впливу.\n\nЗаконний шлях? Минулої ночі молодий аристократ був убитий під час п'яної бійки в таверні. Вбивця теж відомий шляхтич, перший син і спадкоємець у своїй родині. Щоправда, після втручання органів влади винуватцем виявився ніхто інший як син майстра-ткаля, який за сумісництвом чільний речник від гільдій.\n\nНаступного ранку гільдії та торговці почали роздавати провізію та зброю простолюддю; розлючені юрби збираються біля палацу правителя. Перша ж атака міського ополчення завдала великих втрат, перш ніж натовп зміг відповісти сторицею. [Root.Monarch.GetName] в облозі."
 republic_factions.103.a:0 "Ми не можемо здатися бакалійникам!"
 republic_factions.103.b:0 "Поступіться їхнім вимогам."
 republic_factions.103.b.tt:0 "§Y[Root.Monarch.GetName]§! намагатиметься задобрити народ прискореними реформами.\n§Y[Root.Monarch.GetName]§! подасть у відставку і нові вибори будуть призначені негайно."
 wrecked_by_factional_riots:0 "Зруйновано під час бунту"
 desc_wrecked_by_factional_riots:0 "Це місто було зруйноване через зіткнення під час заворушень, викликаних слабкістю нашої політичної системи."
 dynastic_diplomacy:0 "Династична дипломатія"
 converted_monarch:0 "Навернений монарх"
 desc_converted_monarch:0 "Наш монарх являє собою приклад людини, яка стала на шлях істинної віри."
 local_popularity:0 "Місцева популярність"
 desc_local_popularity:0 "Культурні зв'язки забезпечили популярність нашого монарха серед місцевого населення."
 sided_with_foreign_heir:0 "На стороні чужоземного спадкоємця"
 sided_with_supported_heir:0 "На стороні підтриманого спадкоємця"
 golden_liberty:0 "Золота вольність"
 desc_golden_liberty:0 "Хоча наш монарх і чужоземець, він підтримав національні традиції золотої вольності."
 elective_monarchy.1.t:0 "$HEIR$ $HEIR_DYNASTY$ має підтримку сейму"
 elective_monarchy.1.d:0 "$HEIR$ $HEIR_DYNASTY$ отримав сьогодні одноголосну підтримку сейму, і незважаючи на $HEIR_ADJ$е походження, він розглядається як гідний спадкоємець на трон держави $COUNTRY$. Це збільшить його шанси на отримання влади, у разі коли наш $MONARCHTITLE$ покине нас."
 elective_monarchy.1.a:0 "$HEIR$ дійсно достойний цього."
 elective_monarchy.2.t:0 "$HEIR$ $HEIR_DYNASTY$ не має підтримки сейму"
 elective_monarchy.2.d:0 "$HEIR$ $HEIR_DYNASTY$ справляє погане враження на більшу частину сейму, яка чітко висловила своє ставлення до нього, як до чужоземця. Він поняття не має про державу, якою він має бажання правити. Ця кампанія сильно послабила $HEIR_ADJ$і шанси зайняти престол, у разі коли наш $MONARCHTITLE$ покине нас."
 elective_monarchy.2.a:0 "$HEIR$ має забиратися геть!"
 elective_monarchy.3.t:0 "Підкуп сейму"
 elective_monarchy.3.d:0 "Перемога на виборах стане набагато простішою, якщо знати кого задобрити. Представник нашої династії зараз є головним претендентом на престол іншої держави, а кілька значних феодалів заявили про своє бажання підтримати його позицію, якщо наша нація виявиться такою же щедрою, якою є її велич."
 elective_monarchy.3.a:0 "Щедро винагородити їхню підтримку."
 elective_monarchy.3.b:0 "Не давати їм ні копійки."
 elective_monarchy.4.t:0 "Змова проти спадкоємця $HEIR$ $HEIR_DYNASTY$!"
 elective_monarchy.4.d:0 "Певна фракція сейму проявляє неприховану ворожість до спадкоємця $HEIR$ $HEIR_DYNASTY$, недавно наша шпигунська мережа повідомила про плани замаху на $HEIR_ADJ$ого спадкоємця. Якщо ми допустимо цей замах, то самі можемо потрапити під обвинувачення, але арешт змовників налаштує проти нас їхніх друзів у Сеймі. Що накажете?"
 elective_monarchy.4.a:0 "Не чув ні про яку змову."
 elective_monarchy.4.b:0 "Заарештувати змовників!"
 elective_monarchy.5.t:0 "$FROM_ADJ$і інтриги"
 elective_monarchy.5.d:0 "Ми виявили, що уряд держави $FROM$ дав мовчазну згоду на вбивство змовниками нашого кандидата на їхній престол. Така тяжка образа нашої держави не залишиться безкарною!"
 elective_monarchy.5.a:0 "Негідники!"
 elective_monarchy.6.t:0 "Релігійні розбіжності"
 elective_monarchy.6.d:0 "У той час як наш народ сповідує єдину справжню віру - [Root.Religion.GetName], ми підтримуємо просування нашого кандидата на престол держави, яка сповідує оманливу, єретичну віру. Зрозуміло, вони вимагають від нього переходу в їхнє псевдоучення, якщо він хоче мати можливість зайняти трон."
 elective_monarchy.6.a:0 "Прийняти ці обурливі вимоги"
 elective_monarchy.6.b:0 "Ми не ризикуватимемо його душею!"
 elective_monarchy.7.t:0 "Підозрілий випадок"
 elective_monarchy.7.d:0 "Наш кандидат на престол держави $FROM$ зненацька помер від, як нам заявили, нещасного випадку на полюванні. І хоча ми підозрюємо, що це добре сплановане вбивство, підбудоване прихильниками іншого претендента, але доказів у нас немає. Тепер вся наша робота з просування його на $FROM_ADJ$ий престол пішла коту під хвіст."
 elective_monarchy.7.a:0 "Жах!"
 elective_monarchy.8.t:0 "[Root.Monarch.Dynasty.GetName] об'єднується завдяки кровним узам"
 elective_monarchy.8.d:0 "Хоч держава [Root.GetName] іноді й ослаблена зовнішнім впливом на нашу внутрішню політику, обрання іноземця на наш престол зміцнило відносини з його батьківщиною та відкрило нові дипломатичні можливості. [Root.Monarch.GetName] використовує свої зв'язки з родиною, й зміцнює відносини, які зберігає [Root.Monarch.GetTitle] зі своїм старим домом."
 elective_monarchy.8.a:0 "Будемо сподіватися це триватиме й надалі."
 elective_monarchy.9.t:0 "[Root.Monarch.GetName] успадковує титул"
 elective_monarchy.9.d:0 "Хоч [Root.Monarch.GetName] в першу чергу наш [Root.Monarch.GetTitle], [Root.Monarch.GetSheHe] має право на деякі титули й у своїй рідній країні. Іноземці підтримували цю кандидатуру у надії отримати владу над нами, але законні претензії нашого правителя на їх же трон дають нам шанс зробити все з точністю навпаки..."
 elective_monarchy.9.a:0 "Це [Root.Monarch.GetHerHis] земля по праву народження!"
 elective_monarchy.9.b:0 "В нас немає жодних прихованих мотивів."
 elective_monarchy.10.t:0 "Сейм вимагає зречення"
 elective_monarchy.10.d:0 "[Root.Monarch.GetName] знає, що [Root.Monarch.GetHerHis] час майже вийшов. Бажаючи зберегти титул для своєї династії, [Root.Monarch.GetSheHe] домагається підтримки одного зі своїх нащадків у якості кандидата на престол, піддаючи сумніву вибір сейму. Аристократії ці заяви не сподобалися, і тепер вони вимагають, щоб [Root.Monarch.GetTitle] відрікся від престолу на користь обраного ними спадкоємця."
 elective_monarchy.10.a:0 "Неодмінно. Не можна допускати абсолютизму."
 elective_monarchy.10.b:0 "Наш [Root.Monarch.GetTitle] так просто не здасться якимсь дворянам!"
 elective_monarchy.11.t:0 "Навернення в релігію [Root.Religion.GetName]"
 elective_monarchy.11.d:0 "Світ сьогодні спостерігає стрімкі релігійні зміни. Монарха, який змінює свою стару релігію, можна розглядати як нову тендецію, а коли [Root.Monarch.GetName] змінив свою релігію на [Root.Religion.GetName], після сходження на престол, це не пройшло непоміченим. Якщо [Root.Monarch.GetTitle] може міняти свою релігію, то що заважає іншим неосвіченим побачити правду? Нічого, - кажуть прихильники цієї думки. На всіх, і шляхетних, і простолюдинів зараз чиниться тиск, як ніколи."
 elective_monarchy.11.a:0 "Будемо сподіватися, вони мають рацію, або хоча б віру."
 elective_monarchy.12.t:0 "Занадто амбіційна кампанія"
 elective_monarchy.12.d:0 "[Root.Monarch.GetName] почав агресивну війну, і зараз вона проходить не надто вдало. Це приводить до хвилювань, тим більш, що [Root.Monarch.GetTitle] - іноземець. Війна йде, і люди починають говорити, що [Root.GetName] це миролюбна нація, а цей безрозсудний монарх веде її до загибелі."
 elective_monarchy.12.a:0 "Війна тільки почалася! Уперед!"
 elective_monarchy.12.b:0 "Ми повинні якомога швидше залагодити конфлікт."
 elective_monarchy.13.t:0 "Як вдома"
 elective_monarchy.13.d:0 "Народившись в [Root.Culture.GetName]ій культурі, [Root.Owner.Monarch.GetName] часто відвідує державу [Root.GetName]. Це не тільки нагадує йому про його минуле, але люди відчувають, як він віддалився від [Root.Owner.GetAdjective]их правителів, і радий, що сейм затвердив правителя, який говорить із ними однією мовою. Недавній візит значно покращив думку місцевих про адміністрацію."
 elective_monarchy.13.a:0 "Не було й немає причин у цьому сумніватися."
 elective_monarchy.14.t:0 "Лояльність правителя [Root.Monarch.GetName] і спадкоємця [Root.Heir.GetName]"
 elective_monarchy.14.d:0 "Обрання монархів з різних країн дозволяє нам до деякої міри уникати династій і контролювати державу [Root.GetName], але змушує іноземних аристократів сумніватися в нашій відданості. Династія [Root.Monarch.Dynasty.GetName], до якої належить [Root.Monarch.GetTitle], відзначає ріст підтримки в сеймі кандидата [Root.Heir.GetName] з династії [Root.Heir.Dynasty.GetName]. Вони розуміють, що не можуть правити нашою державою вічно, але починають задаватися питаннями про те, як це вплине на наше подальше співробітництво."
 elective_monarchy.14.a:0 "Переконати їх, що сейм лояльний до династії [Root.Monarch.Dynasty.GetName]."
 elective_monarchy.14.b:0 "Визнати, що зміни необхідні."
 elective_monarchy.14.c:0 "Зберігати нейтралітет. Сейм клявся у вірності тільки державі [Root.GetName]."
 elective_monarchy.15.t:0 "[From.GetAdjective]ий сейм міняє свої погляди"
 elective_monarchy.15.d:0 "Після того як дворянин з династії [Root.Monarch.Dynasty.GetName] зійшов на [From.GetAdjective]ий трон, ми хотіли б бачити довге й плідне правління нашої династії. Проте, підтримка сеймом іншого іноземного спадкоємця робить стосунки між країнами напруженими. Тепер держава [From.GetName] чітко дає зрозуміти, що часи змінилися, і вони не допустять ще одного монарха з держави [Root.GetName]."
 elective_monarchy.15.a:0 "До чого ж ненадійні [From.GetAdjective]і дворяни!"
 elective_monarchy.16.t:0 "[From.GetAdjective]ий сейм підтримує нас"
 elective_monarchy.16.d:0 "На державу [From.GetName] чинився тиск династією [From.Monarch.Dynasty.GetName], щоб зберегти престол за собою, але сейм виступив проти них на нашу користь. [From.Heir.GetName] має високу підтримку в сеймі, який прагне уникнути появи безперервної династії й самодержавної монархії."
 elective_monarchy.16.a:0 "[From.Heir.GetSheHeCap] поведе їх до свободи... або хоча б до нас."
 elective_monarchy.17.t:0 "Золота вільність"
 elective_monarchy.17.d:0 "Тип правління в державі [Root.GetName] не такий як у інших країнах. Направлення нації на вірний шлях буває дуже складним без дворян, а іноді й зовсім неможливим. Це може здатися дивним іноземному монархові, але саме це є основою [Root.GetAdjective]ої політичної системи, яку ми так цінуємо. Фактично, [Root.Monarch.GetName] повинен дякувати нам за довіру й надану вищу владу. Підтримка цих ідей може створити видимість, що [Root.Monarch.GetTitle] є слабким правителем, але це спростить інтеграцію й забезпечить підтримку сейму."
 elective_monarchy.17.a:0 "Вони виявилися досить мудрими, щоб нас обрати. Прислухаємося до них."
 elective_monarchy.17.b:0 "Настав час покінчити із цією анархією!"
 elective_monarchy.18.t:0 "Династія [Root.Monarch.Dynasty.GetName] здобуває претензії на [Root.GetAdjective]ий трон"
 elective_monarchy.18.d:0 "Недавні зміни влади серед іноземних родичів, яких має наш монарх [Root.Monarch.GetName], і суперечливі закони успадкування привели до невдалої ситуації в дінастії [Root.Monarch.Dynasty.GetName]. Кандидатуру одного з членів династії було запропоновано вважати законним правителем не тільки країни, звідки родом [Root.Monarch.GetName], а й нашої.\n\nНевідомо, чи буде ця претензія використана як привід до війни, або ж просто потрібна для зміцнення статусу іноземного монарха в боротьбі за внутрішню владу. Незалежно від цього є вельми загрозлива можливість примусу до вступу в унію."
 elective_monarchy.18.a:0 "Ми обрали одного з них у знак доброї волі!"
 elective_monarchy.19.t:0 "[Root.Monarch.GetName] здобув претензії на [From.GetAdjective]ий трон"
 elective_monarchy.19.d:0 "[From.Monarch.GetName] – наш кандидат на [From.GetAdjective]ий престол, приніс нам багато дипломатичних переваг, відколи [From.Monarch.GetHerHis] було обрано. Однак, останнім часом, було висловлено припущення, що претензії династії [Root.Monarch.Dynasty.GetName] на країну [From.GetName] стоять вище особистої вигоди, тому [Root.Monarch.GetName]  фактично повинен розглядатися як правитель обох держав – [Root.GetName] і [From.GetName].\n\n[From.Monarch.GetName] вважає, звичайно, [From.Monarch.GetHerselfHimself] суверенним монархом, але [Root.Monarch.GetName], поза всякими сумнівами, займає вищий статус у своїй династії. Звичайно, що [From.Monarch.GetSheHe] проявляє лояльність, в першу чергу, до своєї родини, чи не так?"
 elective_monarchy.19.a:0 "Інтригуюче..."
 republican_dictatorship.1.t:0 "[Root.Monarch.GetTitle] бере контроль над адміністрацією"
 republican_dictatorship.1.d:0 "В очах правителя [Root.Monarch.GetName] читається спрага змін, він вважає, що тільки швидке й безумовне прийняття реформ може врятувати республіку [Root.GetName], і змусити її йти в ногу з часом. [Root.Monarch.GetHerHiscap] нетерпіння в політичних питаннях викликає роздратування деяких впливових чинів, які запевняють, що попередні правителі ухвалювали більш помірковані рішення й вели більш традиційну політику. Вони побоюються, що ідея 'Мета виправдовує засоби' може мати серйозні наслідки для нашого народу в довгостроковій перспективі."
 republican_dictatorship.1.a:0 "[Root.GetName] не демократія, і вони повинні звикнути до цього."
 republican_dictatorship.1.b:0 "Ми повинні розглянути їхні вимоги."
 republican_dictatorship.2.t:0 "[Root.Monarch.GetTitle] бере контроль над дипломатією"
 republican_dictatorship.2.d:0 "[Root.GetAdjective]а політика в області міжнародної торгівлі й дипломатії завжди відрізнялася тактом і обережністю, але в очах правителя [Root.Monarch.GetName] цього недостатньо. При абсолютному правлінні не повинно бути жодних коливань і поступків у зовнішній політиці.\n\n[Root.Monarch.GetTitle] веде нас у світле майбутнє, але це шлях деспотів і монархів. Маючи авторитарного правителя сьогодні, чи вірним шляхом ми йдемо?"
 republican_dictatorship.2.a:0 "Так, ця галузь повинна підкорятися особисто мені!"
 republican_dictatorship.2.b:0 "Давайте разом вирішувати всі питання."
 republican_dictatorship.3.t:0 "[Root.Monarch.GetTitle] бере контроль над армією"
 republican_dictatorship.3.d:0 "Якщо [Root.Monarch.GetName] прокладає дорогу для майбутнього нашої улюбленої республіки [Root.GetName], [Root.Monarch.GetSheHe] повинен мати можливість особисто керувати військами заради захисту цих ідеалів. Але солдати, хоча й поважають накази командування та нашого прославленого лідера, також мають свої традиції й структуру, які не можуть бути змінені не зачепивши ідею про те, що [Root.Monarch.GetTitle] опікується про благо народу. Чи буде [Root.Monarch.GetHerHis] спадщина покладена в основу нової династії монархів?"
 republican_dictatorship.3.a:0 "Що за питання, звичайно."
