l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 CANNOT_EXTEND_REGENCY_NOT_ENOUGH_LEGITIMACY:0 "У вас недостатньо легітимності для продовження регентства!"
 CANNOT_EXTEND_REGENCY_PENDING_EVENT:0 "Неможливо продовжити регентство, поки є незавершені події!"
 EXTEND_REGENCY_PERFORM:0 "Продовжити регентство для $HEIR|Y$ на $YEARS$ років.\nВнаслідок цього легітимність зменшиться на $LEGITIMACY_HIT|R$."
 EXTEND_REGENCY_TITLE:0 "Продовжити регентство!"
 COUNTRY_HAS_BEEN_PILLAGED_TITLE:0 "Столицю розграбовано!"
 COUNTRY_HAS_BEEN_PILLAGED_SETUP:0 "Коли нашу столицю розграбовано."
 COUNTRY_HAS_BEEN_PILLAGED_HEADER:0 "Доповідає наш губернатор"
 COUNTRY_HAS_BEEN_PILLAGED_1:0 "Страшна новина!"
 COUNTRY_HAS_BEEN_PILLAGED_2:0 "Столиця нашого володіння $STATE$"
 COUNTRY_HAS_BEEN_PILLAGED_3:0 "розграбував безжальний"
 COUNTRY_HAS_BEEN_PILLAGED_4:0 "§Y$ACTUALTAKER$§!"
 COUNTRY_HAS_BEEN_PILLAGED_5:0 "Вони забрали $DEV$ розвитку."
 COUNTRY_HAS_BEEN_PILLAGED_LOG:0 "Столицю нашого володіння було розграбовано."
 COUNTRY_HAS_BEEN_PILLAGED_BTN1:0 "Гаразд"
 COUNTRY_HAS_BEEN_PILLAGED_BTN2:0 "Гаразд"
 COUNTRY_HAS_BEEN_PILLAGED_BTN3:0 "Перейти"
 ESTATE_LED_REGENCY_HAS_ATTRIBUTE:0 "Регентство стану $ESTATE|Y$ має принаймні $VALUE|Y$ $ATTRIBUTE$.\n"
 ESTATE_LED_REGENCY_HAS_NOT_ATTRIBUTE:0 "Регентство стану $ESTATE|Y$ має менше $VALUE|Y$ $ATTRIBUTE$.\n"
 IS_SUBJECT_TYPE_OF:0 "$SUBJECTTYPE$ держави $WHO$.\n"
 IS_NOT_SUBJECT_TYPE_OF:0 "Не $SUBJECTTYPE$ держави $WHO$.\n"
 HAS_SUBJECT_TYPE:0 "Є суб'єкт, що є $SUBJECTTYPE$.\n"
 HAS_NOT_SUBJECT_TYPE:0 "Нема суб'єкта, що є $SUBJECTTYPE$.\n"
 HAS_RELIGION:0 "Релігія в провінції $PROVINCE|Y$ - $RELIGION|Y$"
 HAS_NOT_RELIGION:0 "Релігія в провінції $PROVINCE|Y$ не $RELIGION|Y$"
 BREAK_ALLIANCE_CANNOT_COST:0 "Вам потрібно принаймні §Y$COST$§! прихильності від держави §Y$COUNTRY$§!, щоб попросити її розірвати союз."
 BREAK_ALLIANCE_CANNOT_OPINION:0 "Вам потрібно принаймні §Y$OPINION$§! думки від держави §Y$COUNTRY$§!, щоб попросити її розірвати союз."
 BREAK_ALLIANCE_CANNOT_NOT_ALLIES:0 "Ви повинні бути союзником держави §Y$COUNTRY$§!, щоб попросити її розірвати союз."
 FORCEBREAKALLIANCEDESC_NON_GREAT_POWER:0 "Якщо вони погодяться, держава $WITH|Y$ знизить про нас думку і отримає на нас Casus Belli.\nЦе коштуватиме нам $FAVOURS$ прихильності.\nЦе також призведе до перемир'я між державою $COUNTRY|Y$ і державою $WITH$."
 USING_FAVORS:0 "Використання прихильності: "
 refused_to_break_alliance_favor:0 "Відмовились розірвати союз"
 BREAKALLIANCE_FAVORTITLE:0 "Розірвати союз"
 BREAK_ALLIANCE_FAVOR_DESC2:0 "Витратьте $FAVOR|Y$ прихильності, щоб змусити їх розірвати один із своїх військових союзів."
 BREAK_ALLIANCE_FAVOR_DESC:0 "Ми попросимо, щоб держава $THEM|Y$ розірвала свій союз з державою $WITH|Y$."
 BREAK_ALLIANCE_FAVOR_REQDES1:0 "Держава $ACTOR|Y$ просить нас розірвати наш союз з державою $THEM|Y$ в обмін на прихильність.\nЦе призведе до перемир’я між нами та державою $ACTOR|Y$ і анулює інші дипломатичні договори, укладені з державою $THEM|Y$."
 WEFORCEDBREAKALLIANCE_FAVOR_TITLE:0 "Розірвати союз"
 WEFORCEDBREAKALLIANCE_FAVOR_SETUP:0 "Коли ми просимо державу розірвати союз в обмін на прихильність."
 WEFORCEDBREAKALLIANCE_FAVOR_HEADER:0 "$MESSENGER$"
 WEFORCEDBREAKALLIANCE_FAVOR_1:0 "Розірвати союз"
 WEFORCEDBREAKALLIANCE_FAVOR_2:0 "$MONARCHTITLE$, ми попросили державу $RECIPIENT$"
 WEFORCEDBREAKALLIANCE_FAVOR_3:0 "розірвати їхній союз"
 WEFORCEDBREAKALLIANCE_FAVOR_4:0 "з державою $WITH|Y$ @$TAG$ в обмін на нашу прихильність."
 WEFORCEDBREAKALLIANCE_FAVOR_5:0 "Держава $RECIPIENT$ отримає"
 WEFORCEDBREAKALLIANCE_FAVOR_6:0 "перемир'я з державою $WITH$ до $TRUCEDATE|Y$."
 WEFORCEDBREAKALLIANCE_FAVOR_LOG:0 "Ми попросили державу $RECIPIENT$ розірвати їхній союз з державою $WITH$ в обмін на прихильність."
 WEFORCEDBREAKALLIANCE_FAVOR_BTN1:0 "Гаразд"
 WEFORCEDBREAKALLIANCE_FAVOR_BTN2:0 "Гаразд"
 WEFORCEDBREAKALLIANCE_FAVOR_BTN3:0 "Перейти"
 FORCEDBREAKALLIANCE_FAVOR_TITLE:0 "Розірвати союз"
 FORCEDBREAKALLIANCE_FAVOR_SETUP:0 "Коли держава просить нас розірвати союз в обмін на прихильність."
 FORCEDBREAKALLIANCE_FAVOR_HEADER:0 "Вісник держави"
 FORCEDBREAKALLIANCE_FAVOR_1:0 "$ACTOR$"
 FORCEDBREAKALLIANCE_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 FORCEDBREAKALLIANCE_FAVOR_3:0 "Просить розірвати союз"
 FORCEDBREAKALLIANCE_FAVOR_4:0 "з державою $WITH|Y$ @$TAG$ в обмін на прихильність."
 FORCEDBREAKALLIANCE_FAVOR_5:0 "Перемир'я з державою $WITH$ до $TRUCEDATE|Y$."
 FORCEDBREAKALLIANCE_FAVOR_6:0 "Ми раді допомогти нашим союзникам!"
 FORCEDBREAKALLIANCE_FAVOR_LOG:0 "Держава $ACTOR$ просить нас розірвати наш союз з державою $WITH$."
 FORCEDBREAKALLIANCE_FAVOR_BTN1:0 "Гаразд"
 FORCEDBREAKALLIANCE_FAVOR_BTN2:0 "Гаразд"
 FORCEDBREAKALLIANCE_FAVOR_BTN3:0 "Перейти"
 OTHERFORCEDBREAKALLIANCE_FAVOR_TITLE:0 "Розірвати союз"
 OTHERFORCEDBREAKALLIANCE_FAVOR_SETUP:0 "Коли держава просить іншу державу розірвати союз."
 OTHERFORCEDBREAKALLIANCE_FAVOR_HEADER:0 "Вісник держави"
 OTHERFORCEDBREAKALLIANCE_FAVOR_1:0 "$ACTOR$"
 OTHERFORCEDBREAKALLIANCE_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHERFORCEDBREAKALLIANCE_FAVOR_3:0 "попросила державу $RECIPIENT$ розірвати союз"
 OTHERFORCEDBREAKALLIANCE_FAVOR_4:0 "з державою $WITH|Y$ @$TAG$ в обмін на прихильність."
 OTHERFORCEDBREAKALLIANCE_FAVOR_6:0 "Охоплює почуття невпевненості в завтрашньому дні..."
 OTHERFORCEDBREAKALLIANCE_FAVOR_LOG:0 "Держава $ACTOR$ попросила державу $RECIPIENT$ розірвати союз з державою $WITH$ в обмін на прихильність."
 OTHERFORCEDBREAKALLIANCE_FAVOR_BTN1:0 "Гаразд"
 OTHERFORCEDBREAKALLIANCE_FAVOR_BTN2:0 "Гаразд"
 OTHERFORCEDBREAKALLIANCE_FAVOR_BTN3:0 "Перейти"
 FORCEDALLYBREAKALLIANCE_FAVOR_TITLE:0 "Розірвати союз"
 FORCEDALLYBREAKALLIANCE_FAVOR_SETUP:0 "Коли держава просить нашого союзника розірвати союз з нами."
 FORCEDALLYBREAKALLIANCE_FAVOR_HEADER:0 "Вісник держави"
 FORCEDALLYBREAKALLIANCE_FAVOR_1:0 "$ACTOR$"
 FORCEDALLYBREAKALLIANCE_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 FORCEDALLYBREAKALLIANCE_FAVOR_3:0 "Попросила нашого союзника, державу $RECIPIENT$, розірвати їхній союз"
 FORCEDALLYBREAKALLIANCE_FAVOR_4:0 "з державою $WITH|Y$ @$TAG$ в обмін на прихильність."
 FORCEDALLYBREAKALLIANCE_FAVOR_6:0 "Ми не забудемо цієї зневаги!"
 FORCEDALLYBREAKALLIANCE_FAVOR_LOG:0 "Держава $ACTOR$ попросила державу $RECIPIENT$ розірвати союз з нами в обмін на прихильність."
 FORCEDALLYBREAKALLIANCE_FAVOR_BTN1:0 "Гаразд"
 FORCEDALLYBREAKALLIANCE_FAVOR_BTN2:0 "Гаразд"
 FORCEDALLYBREAKALLIANCE_FAVOR_BTN3:0 "Перейти"
 BREAKALLIANCE_FAVOR_DECLINED_TITLE:0 "Прохання розірвати союз в обмін на прихильність було відхилено"
 BREAKALLIANCE_FAVOR_DECLINED_SETUP:0 "Коли держава відмовляється розірвати союз."
 BREAKALLIANCE_FAVOR_DECLINED_HEADER:0 "Запит на розрив союзу відхилено"
 BREAKALLIANCE_FAVOR_DECLINED_1:0 "Держава $RECIPIENT$"
 BREAKALLIANCE_FAVOR_DECLINED_2:0 "відхилила наше прохання розірвати їхній союз"
 BREAKALLIANCE_FAVOR_DECLINED_3:0 "з державою $WITH|Y$ @$TAG$ в обмін на нашу прихильність."
 BREAKALLIANCE_FAVOR_DECLINED_6:0 "Ми не забудемо цього безчестя!"
 BREAKALLIANCE_FAVOR_DECLINED_LOG:0 "Держава $RECIPIENT$ відмовила в нашому проханню."
 BREAKALLIANCE_FAVOR_DECLINED_BTN1:0 "Сумно"
 BREAKALLIANCE_FAVOR_DECLINED_BTN2:0 "Сумно"
 BREAKALLIANCE_FAVOR_DECLINED_BTN3:0 "Перейти"
 WE_RETURN_CORE_TITLE:0 "Повернуто національну провінцію"
 WE_RETURN_CORE_SETUP:0 "Коли ми повертаємо національну провінцію союзнику."
 WE_RETURN_CORE_HEADER:0 "$MESSENGER$"
 WE_RETURN_CORE_1:0 "Провінцію повернено."
 WE_RETURN_CORE_2:0 "$MONARCHTITLE$, ми повернули"
 WE_RETURN_CORE_3:0 "провінцію $PROVINCE$"
 WE_RETURN_CORE_4:0 "державі"
 WE_RETURN_CORE_5:0 "$ACTOR$"
 WE_RETURN_CORE_6:0 "в обмін на прихильність нашого союзника."
 WE_RETURN_CORE_LOG:0 "Ми повернули провінцію $PROV$ державі $ACTOR$."
 WE_RETURN_CORE_BTN1:0 "Гаразд"
 WE_RETURN_CORE_BTN2:0 "Гаразд"
 WE_RETURN_CORE_BTN3:0 "Перейти"
 WE_RETURN_CORE_MAP:0 "Повернено!"
 RETURN_CORE_TITLE:0 "Повернуто національну провінцію"
 RETURN_CORE_SETUP:0 "Коли ми отримуємо провінцію від союзника"
 RETURN_CORE_HEADER:0 "$MESSENGER$"
 RETURN_CORE_1:0 "Провінцію повернено."
 RETURN_CORE_2:0 "$MONARCHTITLE$, ми отримали нашу національну провінцію"
 RETURN_CORE_3:0 "$PROVINCE$"
 RETURN_CORE_4:0 "від держави"
 RETURN_CORE_5:0 "Держава $RECIPIENT$"
 RETURN_CORE_6:0 "в обмін на нашу прихильність."
 RETURN_CORE_LOG:0 "Ми отримали національну провінцію $PROVINCE$ від держави $RECIPIENT$."
 RETURN_CORE_BTN1:0 "Гаразд"
 RETURN_CORE_BTN2:0 "Гаразд"
 RETURN_CORE_BTN3:0 "Перейти"
 RETURN_CORE_MAP:0 "Повернено!"
 OTHER_RETURN_CORE_TITLE:0 "Повернуто національну провінцію"
 OTHER_RETURN_CORE_SETUP:0 "Коли держава повертає національну провінцію іншій державі в обмін на прихильність."
 OTHER_RETURN_CORE_HEADER:0 "Вісник держави"
 OTHER_RETURN_CORE_1:0 "Держава $RECIPIENT$"
 OTHER_RETURN_CORE_2:0 "Держава $RECIPIENT$ погодилась"
 OTHER_RETURN_CORE_3:0 "повернути одну зі своїх провінцій."
 OTHER_RETURN_CORE_4:0 "Якою б не була причина, провінція $PROVINCE$ тепер належить"
 OTHER_RETURN_CORE_5:0 "державі $ACTOR$"
 OTHER_RETURN_CORE_LOG:0 "Держава $RECIPIENT$ повертає провінцію $PROVINCE$ державі $ACTOR$."
 OTHER_RETURN_CORE_BTN1:0 "Гаразд"
 OTHER_RETURN_CORE_BTN2:0 "Гаразд"
 OTHER_RETURN_CORE_BTN3:0 "Перейти"
 OTHER_RETURN_CORE_MAP:0 "Повернено!"
 THEYDECLINE_RETURN_CORE_TITLE:0 "Відмовилися повернути національну провінцію"
 THEYDECLINE_RETURN_CORE_SETUP:0 "Коли наше прохання повернути провінцію відхилено."
 THEYDECLINE_RETURN_CORE_HEADER:0 "$MESSENGER$"
 THEYDECLINE_RETURN_CORE_1:0 "Відмовилися повернути"
 THEYDECLINE_RETURN_CORE_2:0 "$MONARCHTITLE$, держава $RECIPIENT$"
 THEYDECLINE_RETURN_CORE_3:0 "відхилила наше прохання"
 THEYDECLINE_RETURN_CORE_4:0 "повернути чудову провінцію"
 THEYDECLINE_RETURN_CORE_5:0 "$PROVINCE$"
 THEYDECLINE_RETURN_CORE_LOG:0 "Держава $RECIPIENT$ відхилила наше прохання повернути провінцію $PROV$"
 THEYDECLINE_RETURN_CORE_BTN1:0 "Гаразд"
 THEYDECLINE_RETURN_CORE_BTN2:0 "Гаразд"
 THEYDECLINE_RETURN_CORE_BTN3:0 "Перейти"
 refused_to_return_core_favor:0 "Відмовилися повернути національну провінцію"
 RETURN_CORE_CANNOT_COST:0 "Вам потрібно принаймні §Y$COST$§! прихильності з державою §Y$COUNTRY$§!, щоб попросити їх повернути провінцію $PROVINCE$."
 RETURN_CORE_CANNOT_OPINION:0 "Вам потрібно принаймні §Y$OPINION$§! думки з державою §Y$COUNTRY$§!, щоб попросити їх повернути національну провінцію."
 RETURN_CORE_CANNOT_NO_CORE:0 "Держава §Y$COUNTRY$§! не володіє жодною з наших національних провінцій."
 RETURN_CORE_CANNOT_NOT_NEIGHBOURING:0 "Провінція $PROVINCE|Y$ не має спільних з нами кордонів."
 RETURN_CORE_CANNOT_CAPITAL:0 "Провінція $PROVINCE|Y$ є столичною."
 THEYNOTOWNPROV:0 "Вони не володіють провінцією $PROV|Y$"
 RETURN_CORE_REQDESC:0 "Держава $ACTOR$ просить нас повернути їхню національну провінцію $PROV$ в обмін на прихильність. Ви згодні?"
 RETURN_CORE_OFFDESC:0 "Звернення до держави $RECIPIENT$ про повернення національної провінції $PROV$ в обмін на прихильність їхньому союзнику коштуватиме вам $FAVOURS$ прихильності."
 RETURN_CORE_OWN:0 "Вони не можуть повернути провінцію, яку не контролюють."
 RETURN_CORETITLE:0 "Повернути нац. провінцію"
 RETURN_CORE_FAVOR_DESC2:0 "Витратити прихильність, запросивши повернути нам одну з наших національних провінцій."
 reduced_opinion_favor:0 "Погіршили відносини за прихильність"
 refused_to_reduce_opinion_favor:0 "Відмовилися погіршити відносини з іншою державою"
 WE_REDUCED_OPINION_FAVOR_TITLE:0 "Зменшення думки"
 WE_REDUCED_OPINION_FAVOR_SETUP:0 "Коли ми просимо державу зменшити їхню думку про іншу державу в обмін на прихильність."
 WE_REDUCED_OPINION_FAVOR_HEADER:0 "$MESSENGER$"
 WE_REDUCED_OPINION_FAVOR_1:0 "Зменшення думки"
 WE_REDUCED_OPINION_FAVOR_2:0 "$MONARCHTITLE$, ми попросили державу $RECIPIENT$"
 WE_REDUCED_OPINION_FAVOR_3:0 "зменшити свою думку"
 WE_REDUCED_OPINION_FAVOR_4:0 "про державу $WITH|Y$ @$TAG$ в обмін на нашу прихильність."
 WE_REDUCED_OPINION_FAVOR_LOG:0 "Ми попросили державу $RECIPIENT$ зменшити свою думку про державу $WITH$ в обмін на прихильність."
 WE_REDUCED_OPINION_FAVOR_BTN1:0 "Гаразд"
 WE_REDUCED_OPINION_FAVOR_BTN2:0 "Гаразд"
 WE_REDUCED_OPINION_FAVOR_BTN3:0 "Перейти"
 REDUCED_OPINION_FAVOR_TITLE:0 "Зменшення думки"
 REDUCED_OPINION_FAVOR_SETUP:0 "Коли держава просить нас зменшити нашу думку про іншу країну в обмін на прихильність."
 REDUCED_OPINION_FAVOR_HEADER:0 "Вісник держави"
 REDUCED_OPINION_FAVOR_1:0 "$ACTOR$"
 REDUCED_OPINION_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 REDUCED_OPINION_FAVOR_3:0 "Просила нас зменшити нашу думку"
 REDUCED_OPINION_FAVOR_4:0 "про державу $WITH|Y$ @$TAG$ в обмін на прихильність."
 REDUCED_OPINION_FAVOR_5:0 "Ми раді допомогти нашим союзникам!"
 REDUCED_OPINION_FAVOR_LOG:0 "Держава $ACTOR$ попросила нас зменшити нашу думку про державу $WITH$."
 REDUCED_OPINION_FAVOR_BTN1:0 "Гаразд"
 REDUCED_OPINION_FAVOR_BTN2:0 "Гаразд"
 REDUCED_OPINION_FAVOR_BTN3:0 "Перейти"
 OTHER_REDUCED_OPINION_FAVOR_TITLE:0 "Зменшення думки"
 OTHER_REDUCED_OPINION_FAVOR_SETUP:0 "Коли держава просить державу зменшити свою думку про іншу державу."
 OTHER_REDUCED_OPINION_FAVOR_HEADER:0 "Вісник держави"
 OTHER_REDUCED_OPINION_FAVOR_1:0 "$ACTOR$"
 OTHER_REDUCED_OPINION_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_REDUCED_OPINION_FAVOR_3:0 "Попросила державу $RECIPIENT$ зменшити свою думку"
 OTHER_REDUCED_OPINION_FAVOR_4:0 "про державу $WITH|Y$ @$TAG$ в обмін на прихильність."
 OTHER_REDUCED_OPINION_FAVOR_6:0 "Охоплює почуття невпевненості в завтрашньому дні..."
 OTHER_REDUCED_OPINION_FAVOR_LOG:0 "Держава $ACTOR$ поросила державу $RECIPIENT$ зменшити свою думку про державу $WITH$ в обмін на прихильність."
 OTHER_REDUCED_OPINION_FAVOR_BTN1:0 "Гаразд"
 OTHER_REDUCED_OPINION_FAVOR_BTN2:0 "Гаразд"
 OTHER_REDUCED_OPINION_FAVOR_BTN3:0 "Перейти"
 NATION_REDUCED_OPINION_OF_US_FAVOR_TITLE:0 "Зменшення думки"
 NATION_REDUCED_OPINION_OF_US_FAVOR_SETUP:0 "Коли держава просить нашого союзника зменшити їхню думку про нас."
 NATION_REDUCED_OPINION_OF_US_FAVOR_HEADER:0 "Вісник держави"
 NATION_REDUCED_OPINION_OF_US_FAVOR_1:0 "$ACTOR$"
 NATION_REDUCED_OPINION_OF_US_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 NATION_REDUCED_OPINION_OF_US_FAVOR_3:0 "Попросила нашого союзника, державу $RECIPIENT$, зменшити їхню думку"
 NATION_REDUCED_OPINION_OF_US_FAVOR_4:0 "про державу $WITH|Y$ @$TAG$ в обмін на прихильність."
 NATION_REDUCED_OPINION_OF_US_FAVOR_6:0 "Ми не забудемо цієї зневаги!"
 NATION_REDUCED_OPINION_OF_US_FAVOR_LOG:0 "Держава $ACTOR$ поросила державу $RECIPIENT$ зменшити їхню думку про нас в обмін на прихильність."
 NATION_REDUCED_OPINION_OF_US_FAVOR_BTN1:0 "Гаразд"
 NATION_REDUCED_OPINION_OF_US_FAVOR_BTN2:0 "Гаразд"
 NATION_REDUCED_OPINION_OF_US_FAVOR_BTN3:0 "Перейти"
 REDUCED_OPINION_FAVOR_DECLINED_TITLE:0 "Прохання зменшити думку в обмін на прихильність відхилено"
 REDUCED_OPINION_FAVOR_DECLINED_SETUP:0 "Коли держава відмовляється зменшити свою думку про іншу державу."
 REDUCED_OPINION_FAVOR_DECLINED_HEADER:0 "Прохання про зменшення думки відхилено"
 REDUCED_OPINION_FAVOR_DECLINED_1:0 "Держава $RECIPIENT$"
 REDUCED_OPINION_FAVOR_DECLINED_2:0 "відмовила нам в нашому проханні про зменшення своєї думки"
 REDUCED_OPINION_FAVOR_DECLINED_3:0 "про державу $WITH|Y$ @$TAG$ в обмін на прихильність."
 REDUCED_OPINION_FAVOR_DECLINED_6:0 "Ми не забудемо цього безчестя!"
 REDUCED_OPINION_FAVOR_DECLINED_LOG:0 "Держава $RECIPIENT$ відхилила наше прохання."
 REDUCED_OPINION_FAVOR_DECLINED_BTN1:0 "Сумно"
 REDUCED_OPINION_FAVOR_DECLINED_BTN2:0 "Сумно"
 REDUCED_OPINION_FAVOR_DECLINED_BTN3:0 "Перейти"
 REDUCE_OPINION_CANNOT_COST:1 "§RВам потрібно принаймні §Y$COST$§! прихильності з державою §Y$COUNTRY$§!, щоб попросити їх зменшити свою думку про іншу державу.§!"
 REDUCE_OPINION_CANNOT_OPINION:1 "§RВам потрібно принаймні §Y$OPINION$§! думки з державою §Y$COUNTRY$§!, щоб попросити їх зменшити свою думку про іншу державу.§!"
 REDUCE_OPINION_FAVOR_DESC2:0 "Витратьте $FAVOR|Y$ прихильності, щоб змусити їх зменшити свою думку про іншу державу."
 REDUCE_OPINION_REQDESC:0 "Держава $ACTOR$ просить нас знизити нашу думку про державу $WHOM$ в обмін на прихильність. Ви згодні?"
 REDUCE_OPINIONTITLE:0 "Зменшити думку"
 REDUCE_OPINION_CANNOT_ALLIANCE:0 "Ми уклали союз з державою $WHOM$."
 REDUCE_OPINION_CANNOT_THEYRE_FRIENDS:0 "Наша думка про державу $WHOM$ принаймні $OPINION$."
 REDUCE_OPINION_FAVOR_DESC:0 "Ми попросимо державу $THEM|Y$ змінити свою думку про державу $WITH|Y$ на $AMOUNT|R$ (зараз: $CURRENT$)."
 REDUCE_OPINION_FAVOR_REQDES1:0 "Держава $ACTOR|Y$ просить нас зменшити нашу думку про державу $THEM|Y$ в обмін на прихильність.\nЦе призведе до зменшення нашої думки про державу $THEM|Y$ на $OPINION$."
 SELECT_COUNTRY_TO_REDUCE_RELATIONS_WITH:0 "Виберіть державу, про яку вони повинні зменшити свою думку."
 BREAKALLIANCE_NOTHING_SELECTED_DESC:0 "Виберіть державу, з якою ми хочемо, щоб держава $THEM|Y$ розірвала союз."
 WE_TRADE_FAVORS_FOR_GOLD_TITLE:0 "Обмін прихильності на дукати"
 WE_TRADE_FAVORS_FOR_GOLD_SETUP:0 "Коли ми просимо державу надати нам грошову позику в обмін на прихильність."
 WE_TRADE_FAVORS_FOR_GOLD_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_GOLD_1:0 "Обмін прихильності на дукати"
 WE_TRADE_FAVORS_FOR_GOLD_2:0 "$MONARCHTITLE$, ми попросили державу $RECIPIENT$"
 WE_TRADE_FAVORS_FOR_GOLD_3:1 "надати нам $PERCENT$% від їхнього річного доходу ($CASH|Y$¤)"
 WE_TRADE_FAVORS_FOR_GOLD_4:0 "в обмін на $FAVOR|Y$ прихильності."
 WE_TRADE_FAVORS_FOR_GOLD_LOG:0 "Ми попросили державу $RECIPIENT$ надати нам грошову позику в обмін на прихильність."
 WE_TRADE_FAVORS_FOR_GOLD_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_GOLD_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_GOLD_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_GOLD_TITLE:0 "Обмін прихильності на дукати"
 TRADE_FAVORS_FOR_GOLD_SETUP:0 "Коли держава просить нас надати їй грошову позику в обмін на прихильність."
 TRADE_FAVORS_FOR_GOLD_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_GOLD_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_GOLD_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_GOLD_3:1 "просить нас надати їм $PERCENT$% від їхнього річного доходу ($CASH|Y$¤)"
 TRADE_FAVORS_FOR_GOLD_4:0 "в обмін на $FAVOR|Y$ прихильності."
 TRADE_FAVORS_FOR_GOLD_5:0 "Ми раді допомогти нашим союзникам!"
 TRADE_FAVORS_FOR_GOLD_LOG:0 "Держава $ACTOR$ просить надати їй грошову позику в обмін на прихильність."
 TRADE_FAVORS_FOR_GOLD_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_GOLD_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_GOLD_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_GOLD_TITLE:0 "Обмін прихильності на дукати"
 OTHER_TRADE_FAVORS_FOR_GOLD_SETUP:0 "Коли держава просить іншу державу надати їй грошову позику в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_GOLD_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_GOLD_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_GOLD_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_GOLD_3:1 "просить державу $RECIPIENT$ надати їм $PERCENT$% від їхнього річного доходу ($CASH|Y$¤)"
 OTHER_TRADE_FAVORS_FOR_GOLD_4:0 "в обмін на $FAVOR|Y$ прихильності."
 OTHER_TRADE_FAVORS_FOR_GOLD_6:0 "Охоплює почуття невпевненості в завтрашньому дні..."
 OTHER_TRADE_FAVORS_FOR_GOLD_LOG:0 "Держава $ACTOR$ просить державу $RECIPIENT$ надати їй грошову позику в обмін на прихильність."
 OTHER_TRADE_FAVORS_FOR_GOLD_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_GOLD_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_GOLD_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_GOLD_DECLINED_TITLE:0 "Прохання про гроші в обмін за прихильність відхилено"
 TRADE_FAVORS_FOR_GOLD_DECLINED_SETUP:0 "Коли держава відмовляє іншій державі в грошовій позиці в обмін на прихильність."
 TRADE_FAVORS_FOR_GOLD_DECLINED_HEADER:0 "Прохання про грошову позику в обмін за прихильність відхилено"
 TRADE_FAVORS_FOR_GOLD_DECLINED_1:0 "Держава $RECIPIENT$"
 TRADE_FAVORS_FOR_GOLD_DECLINED_2:1 "відмовила в проханні  надати $PERCENT$% від їхнього річного доходу ($CASH|Y$¤)"
 TRADE_FAVORS_FOR_GOLD_DECLINED_3:0 "в обмін на $FAVOR|Y$ прихильності"
 TRADE_FAVORS_FOR_GOLD_DECLINED_4:0 "від держави $ACTOR$."
 TRADE_FAVORS_FOR_GOLD_DECLINED_6:0 "Ми не забудемо цього безчестя!"
 TRADE_FAVORS_FOR_GOLD_DECLINED_LOG:0 "Держава $RECIPIENT$ відхилила наше прохання."
 TRADE_FAVORS_FOR_GOLD_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_GOLD_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_GOLD_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_GOLD_CANNOT_NO_CASH:0 "Держава $COUNTRY$ не отримала грошову позику ($CASH|Y$¤)"
 TRADE_FAVORS_FOR_GOLD_CANNOT_NEGATIVE:0 "Держава $COUNTRY$ втратила гроші"
 TRADE_FAVORS_FOR_GOLD_CANNOT_DEBT:0 "Держава $COUNTRY$ має борг у розмірі $AMOUNT|Y$¤"
 TRADE_FAVORS_FOR_GOLD_CANNOT_COST:0 "Вам потрібно принаймні §Y$COST$§! прихильності від держави §Y$COUNTRY$§!, щоб просити її про грошову позику."
 TRADE_FAVORS_FOR_GOLD_CANNOT_OPINION:0 "Вам потрібно принаймні §Y$OPINION$§! думки від держави §Y$COUNTRY$§!, щоб просити її про грошову позику."
