l_ukrainian: 
 TUT_PART_BAS_SHORT:0 "Основи"
 TUT_ADV_CHAPTER01_PAGE13_TITLE:0 "§YПапство (13/16)§!"
 TUT_ADV_CHAPTER01_PAGE13_TEXT:0 "Вікно Папства надає інформацію про те, хто контролює §Mпапську курію§! на даний момент, а також дозволяє витратити §Mбали папського впливу§! щоб переманити §Mкардиналів§! на свою сторону. Контроль над курією має держава, у якої найбільше кардиналів."
 TUT_ADV_CHAPTER01_PAGE13_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE14_TITLE:0 "§YПланувальник (14/16)§!"
 TUT_ADV_CHAPTER01_PAGE14_TEXT:0 "Планувальник надає швидкий доступ до інформації про статус армій, флотів, будівель, дипломатів та іншого. Ви можете налаштувати інформацію для відображення, натиснувши ПКМ на іконку."
 TUT_ADV_CHAPTER01_PAGE14_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE15_TITLE:0 "§YБали (15/16)§!"
 TUT_ADV_CHAPTER01_PAGE15_TEXT:0 "Рахунок відображає стан Вашої держави в кожній із трьох категорій: управління, дипломатія і армія. Ви можете ознайомитись з §Mрейтінгом§! в §Mлітописі§!."
 TUT_ADV_CHAPTER01_PAGE15_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE16_TITLE:0 "§YКінець розділу (16/16)§!"
 TUT_ADV_CHAPTER01_PAGE16_TEXT:0 "Різні види карт надають інформацію, яку можна відобразити на карті сівту. В наступному розділі ви дізнаєтесь про них більше."
 TUT_ADV_CHAPTER01_PAGE16_OBJECTIVES:0 "Клацніть §MДалі§! для переходу до наступного розділу§W"
 TUT_ADV_CHAPTER02_BUTTON:0 "Види карт"
 TUT_ADV_CHAPTER02_TITLE:0 "Види карт"
 TUT_ADV_CHAPTER02_DESC:0 "Цей розділ розкаже вам про різні §Mвиди карт§!, та для чого вони використовуються."
 TUT_ADV_CHAPTER02_PAGE01_TITLE:0 "§YФізична карта (1/8)§!"
 TUT_ADV_CHAPTER02_PAGE01_TEXT:0 "Різні види карт допомагають вам отримати різноманітну інформацію про ігровий світ. Стандартний тип карти - §Mфізична карта§!."
 TUT_ADV_CHAPTER02_PAGE01_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER02_PAGE02_TITLE:0 "§YПолітична карта (2/8)§!"
 TUT_ADV_CHAPTER02_PAGE02_TEXT:0 "На політичній карті всі провінції, що належать одній державі замальовані в однаковий колір. На політичній карті добре видно кордони між державами та де яка держава має провінції."
 TUT_ADV_CHAPTER02_PAGE02_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER02_PAGE03_TITLE:0 "§YТоргівельна карта (3/8)§!"
 TUT_ADV_CHAPTER02_PAGE03_TEXT:0 "Торговельна карта показує яка провінція належить до відповідної торгової зони. Також вона відображає торговельні маршрути і місця, куди ви можете відправити купців. Про §Mкерування торгівлею§! ви вивчите пізніше."
 TUT_ADV_CHAPTER02_PAGE03_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER02_PAGE04_TITLE:0 "§YКарта Імперії (4/8)§!"
 TUT_ADV_CHAPTER02_PAGE04_TEXT:0 "На карті карті Імперії відмічено провінції, які входять в склад §MСвященної Римської імперії (СРІ)§!. Зелені провінції перебувають в імперії на звичайних правах членів, помаранчеві належать державам, що мають право обирати імператора, а фіолетові землі - його власність. Зауважте, що деякі ваші провінції належать до імперських земель (Брешія, Верона та Фріулі), але сама Венеція, як держава - ні."
 TUT_ADV_CHAPTER02_PAGE04_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER02_PAGE05_TITLE:0 "§YКарта релігій (5/8)§!"
 TUT_ADV_CHAPTER02_PAGE05_TEXT:0 "Карта релігій показує розповсюдження релігій у світі. Вона дозволяє побачити які з ваших провінцій не належать до §Mдержавної релігії§! та які країни можуть стати вашими союзниками чи ворогами."
 TUT_ADV_CHAPTER02_PAGE05_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER02_PAGE06_TITLE:0 "§YКарта дипломатії (6/8)§!"
 TUT_ADV_CHAPTER02_PAGE06_TEXT:0 "Карта дипломатії надає інформацію про ваші національні провінції, ваших союзників та ворогів. Зелені смужки показують ваші §Mнаціональні провінції§!, але приналежні іншим державам. Натиснувши на провінцію, що належить іншій державі, ви побачите карту дипломатичних зв`язків відповідної країни."
 TUT_ADV_CHAPTER02_PAGE06_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER02_PAGE07_TITLE:0 "§YБільше видів карт (7/8)§!"
 TUT_ADV_CHAPTER02_PAGE07_TEXT:0 "Також існує ще багато інших карт, переглянувши їх, ви зможете краще зрозуміти що коїться у світі. Спробуйте натиснути кнопку Більше карт та огляньте їх."
 TUT_ADV_CHAPTER02_PAGE07_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER02_PAGE08_TITLE:0 "§YКінець розділу (8/8)§!"
 TUT_ADV_CHAPTER02_PAGE08_TEXT:0 "Це повідомлення вказує на кінець розділу. Наступний розділ розкаже розповість вам про §Mторгівлю§! в подробицях."
 TUT_ADV_CHAPTER02_PAGE08_OBJECTIVES:0 "Клацніть §MДалі§! для переходу до наступного розділу."
 TUT_ADV_CHAPTER03_BUTTON:0 "Торгівля"
 TUT_ADV_CHAPTER03_TITLE:0 "Торгівля"
 TUT_ADV_CHAPTER03_DESC:0 "В цьому розділі описується принципи §Mторгівлі§!."
 TUT_ADV_CHAPTER03_PAGE01_TITLE:0 "§YТоргівля (1/11)§!"
 TUT_ADV_CHAPTER03_PAGE01_TEXT:0 "Торгівля - важлива частина ігрового механізму Europa Universalis IV. Світ поділений на багато §Mторгових вузлів§!, кожен з яких складається з різної кількості провінцій. В провінціях виготовляються різноманітні §Mтовари§!, які через §Mторгівельні маршрути§! потрапляють у різні торгові вузли. Торгові вузли відображаються на карті як прибережні буйки чи міста, що зв’язані маленькими блакитними стрілочками."
 TUT_ADV_CHAPTER03_PAGE01_OBJECTIVES:0 "Клацніть на провінцію §MВенеція§! для продовження."
 TUT_ADV_CHAPTER03_PAGE02_TITLE:0 "§YТоргова сила провінції (2/11)§!"
 TUT_ADV_CHAPTER03_PAGE02_TEXT:2 "Частка товарів, що відправляється провінцією на продаж в торговий центр, називається торговою силою. Її можна збільшити за допомогою §Mторгових будівель§!. Провінції, які є §Mторговими центрами§!, а також розташовані в §Mгирлі річок§!, володіють більшою торговою силою. Ваша столиця, Венеція, є прикладом провінції, яка є центром торгівлі!"
 TUT_ADV_CHAPTER03_PAGE02_OBJECTIVES:0 "Клацніть на кнопку §MВенеція§! для продовження."
 TUT_ADV_CHAPTER03_PAGE03_TITLE:0 "§YТорговий вузол (3/11)§!"
 TUT_ADV_CHAPTER03_PAGE03_TEXT:0 "§MОборот§! в торговому центрі складається з вартості товарів всіх провінцій, що відносяться до нього. Ви можете §Mотримати прибуток§! від торгівлі в даному центрі або §Mнаправити товари§! в наступний. §MТоргова сила§! є важливим показником, що відображає вартість товарів, торгівлю якими ви контролюєте в даному центрі. Чим вищий цей показник тим більший прибуток ви можете отримати або перенаправити."
 TUT_ADV_CHAPTER03_PAGE03_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER03_PAGE04_TITLE:0 "§YОтримання прибутку (4/11)§!"
 TUT_ADV_CHAPTER03_PAGE04_TEXT:0 "§MТорговці§! в торговому центрі можуть здійснювати дві дії: отримувати прибуток і перенаправляти торгівлю. §MОтримання прибутку§! можливе лише коли ви володієте даними торговим центром. Частка §Mторгової сили§! в порівнянні з вашими конкурентами визначає ваш §Mдохід від торгівлі§!. \n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_ADV_CHAPTER03_PAGE04_OBJECTIVES:0 "Накажіть вашому торговцю §Mотримувати прибуток §! від торгівлі в §MВенеціі§! для продовження."
 TUT_ADV_CHAPTER03_PAGE05_TITLE:0 "§YПеренаправлення торгівлі (5/11)§!"
 TUT_ADV_CHAPTER03_PAGE05_TEXT:0 "§MПеренаправлення торгівлі§! - це друга дія, доступна вашим §торговцям§!. Вона переводить частину §Mторгового обороту§! з одного §Mторгового центру§! в іншій. Об'єм визначається значенням вашої §Mторгової сили§! в порівнянні з вашими конкурентами. \n§YВиберіть провінцію §MАлександрія§Y, потім перейдіть в її торговий центр. Не забудьте зняти гру з паузи.§!"
 TUT_ADV_CHAPTER03_PAGE05_OBJECTIVES:0 "Для продовження пошліть торговця у §Mторговий центр в Александрії§! із завданням §Mперенаправлення торгівлі§!"
 TUT_ADV_CHAPTER03_PAGE06_TITLE:0 "§YТоргова карта (6/11)§!"
 TUT_ADV_CHAPTER03_PAGE06_TEXT:0 "На торговій карті відображаються §Mторгові центри§!, провінції, які до них відносяться, і торгові потоки. Ви можете помітити, що торговець §Mперенаправляє торгівлю§! з Олександрії до Венеції. Торгівля може відбуватися лише в тому напрямку, куди вказують стрілки. Деякі торговельні вузли - це так звані §Mкінцеві вузли§!, що означає, що торгівля не може прямувати від них. §MВенеція§! і §MГенуя§! - два приклади кінцевих вузлів. §MТоргова сила§! визначає, скільки §Mторгового обороту§! передається з одного торгового вузла в інший."
 TUT_ADV_CHAPTER03_PAGE06_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER03_PAGE07_TITLE:0 "§YТоргова сила (7/11)§!"
 TUT_ADV_CHAPTER03_PAGE07_TEXT:0 "Торгова сила безпосередньо визначає вашу частку в обороті торгового центру. Її джерелом служать §Mпровінції§! і §Mлегкі кораблі§!, що захищають торгові потоки. Також ви можете прийняти відповідні ідеї, або найняти §Mдипломатичного радника§!, який впливає на §Mзагальну торгову силу§!."
 TUT_ADV_CHAPTER03_PAGE07_OBJECTIVES:0 "Виберіть ваші §Mкораблі§! у порту Венеції."
 TUT_ADV_CHAPTER03_PAGE08_TITLE:0 "§YЗахист торгівлі (8/11)§!"
 TUT_ADV_CHAPTER03_PAGE08_TEXT:0 "Ви можете віддати наказ захищати торгівлю своїм легким кораблям. Це означає, що вони патрулюватимуть води біля торгового вузла та збільшуватимуть кількість вашої торгової сили у торговому вузлі. Для збільшення доходу від торгівлі дуже важливо мати легкі кораблі, що захищають торгівлю."
 TUT_ADV_CHAPTER03_PAGE08_OBJECTIVES:0 "Тримайте ваші кораблі у режимі §MЗахисту торгівлві§! в торговому вузлі."
 TUT_ADV_CHAPTER03_PAGE09_TITLE:0 "§YЛегкі кораблі (9/11)§!"
 TUT_ADV_CHAPTER03_PAGE09_TEXT:0 "Найлегший шлях нарощування торгової сили - це збудувати більше §Mлегких кораблів§! Та відправити їх на §Mзахист торгівлі§!. Один барк, відправлений на захист торгівлі, збільшує вашу торгову силу у вузлі на 3 одиниці."
 TUT_ADV_CHAPTER03_PAGE09_OBJECTIVES:0 "§YКлацніть на §MМеню виробництва§Y в лівому верхньому кутку для продовження."
 TUT_ADV_CHAPTER03_PAGE10_TITLE:0 "§YБудування легких кораблів (10/11)§!"
 TUT_ADV_CHAPTER03_PAGE10_TEXT:0 "Кожен барк, що захищає торгівлю у торговому вузлі, збільшує вашу §Mторгову силу на 3 одниці§!. Чим кращий рівень легкого корабля, тим більше торгової сили він збільшує. \n\n§YВиберіть корабель §MБарк§Y зі списку ліворуч і клацніть на провінції зеленого кольору на карті щоб почати його будування. Не забудьте зняти гру з паузи.§W"
 TUT_ADV_CHAPTER03_PAGE10_OBJECTIVES:0 "Збудуйте §M5 легких кораблів (Барк)§! для продовження."
 TUT_ADV_CHAPTER03_PAGE11_TITLE:0 "§YКінець розділу (11/11)§!"
 TUT_ADV_CHAPTER03_PAGE11_TEXT:0 "Вітаємо, ви успішно завершили розділ 'Торгівля' із навчального меню. Надіюсь ви краще збагнули механізм торгівлі в Europa Universalis IV."
 TUT_ADV_CHAPTER03_PAGE11_OBJECTIVES:0 "Клацніть §MДалі§! для повернення в навчальне меню."
 TUT_CAM_CHAPTER01_TITLE:0 "Реконкіста"
 TUT_CAM_CHAPTER01_DESC:1 "В цьому розділі йдеться про §Mвиробництво§!, §Mзавдання§!, §Mвійни§! та §Mанексію§!."
 TUT_CAM_CHAPTER01_BUTTON:0 "Реконкіста"
 TUT_CAM_CHAPTER01_PAGE01_TITLE:0 "§YНабір військ (1/8)§!"
 TUT_CAM_CHAPTER01_PAGE01_TEXT:0 "Формування армії - важливий аспект ведення війни. Процес формування підрозділів відбувається в провінціях, його можна почати двома способами. Це можна зробити за допомогою §MМеню виробництва§! в лівому верхньому кутку екрану або натиснувши кнопку §MСформувати підрозділ§! у меню провінції. Вартість одного підрозділу - 1000 рекрутів та деяка сума золота."
 TUT_CAM_CHAPTER01_PAGE01_OBJECTIVES:0 "§YКлацніть на §Mменю виробництва§Y у лівому верхньому кутку для продовження."
 TUT_CAM_CHAPTER01_PAGE02_TITLE:0 "§YНабір військ (2/8)§!"
 TUT_CAM_CHAPTER01_PAGE02_TEXT:0 "Виберіть якийсь підрозділ зі списк ліворуч та клацніть на зелені провінції для початку формування. За кожен підрозділ з вас спишуть 1000 рекрутів та якусь суму золота.\n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_CAM_CHAPTER01_PAGE02_OBJECTIVES:0 "§MСформуйте 5 наземних підрозділів§! для продовження."
 TUT_CAM_CHAPTER01_PAGE03_TITLE:0 "§YЗавдання (3/8)§!"
 TUT_CAM_CHAPTER01_PAGE03_TEXT:0 "За допомогою завдання ви самі вибираєте цілі для вашої держави. Завдання бувають різної складності та мають різну винагороду. Одночасно ви можете виконувати тільки одну завдання, скасувавши яку, ви не зможете обрати наступну протягом 5-ти років.\n\n§YКлацніть на сповіщення §MЖодної місії не обрано§! щоб перейти у вкладку §Постанови§!.§W"
 TUT_CAM_CHAPTER01_PAGE03_OBJECTIVES:0 "Виберіть завдання '§MЗавершити Реконкісту§!' для продовження."
 TUT_CAM_CHAPTER01_PAGE04_TITLE:0 "§YРеконкіста! (4/8)§!"
 TUT_CAM_CHAPTER01_PAGE04_TEXT:0 "Вам неодбхідно мати §MCasus Belli (привід до війни)§! для оголошення війни іншій державі. Якщо у вас немає законного приводу війни, ви зазнаєте негативного впливу від оголошення.\n\n§YКлацніть ПКМ на провінцію §MГранада§Y і виберіть §MОголосити війну§Y. В якості Casus Belli виберіть Conquest із §MЗавоювати пров. Гранада§Y як §Mціль війни§Y а потім клацніть §MОголосити війну§Y.§W"
 TUT_CAM_CHAPTER01_PAGE04_OBJECTIVES:0 "§MОголосіть війну Гранаді§! для продовження."
 TUT_CAM_CHAPTER01_PAGE05_TITLE:0 "§YОгляд війни (5/8)§!"
 TUT_CAM_CHAPTER01_PAGE05_TEXT:0 "Вікно огляду війни надає інформацію про тривалість війни, учасників та лідерів від кожної сторони. Внизу знаходиться список боїв та облог."
 TUT_CAM_CHAPTER01_PAGE05_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_CAM_CHAPTER01_PAGE06_TITLE:0 "§YЗнищення Гранади (6/8)§!"
 TUT_CAM_CHAPTER01_PAGE06_TEXT:0 "Хід війни записується і відображається у вигляді §Mвійськового рахунку§!. Військовий рахунок дається за окупацію ворожих провінцій і перемогу в сухопутних чи морських битвах. Якщо ворог окупує вашу провінцію чи виграє битву проти вас - ви втратите військовий рахунок. Від військового рахунку залежить данина у §Mпропозиціях миру§!.\n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_CAM_CHAPTER01_PAGE06_OBJECTIVES:0 "Доведіть §Mвійськовий рахунок§! до 100% для продовження."
 TUT_CAM_CHAPTER01_PAGE07_TITLE:0 "§YАнексія Гранади (7/8)§!"
 TUT_CAM_CHAPTER01_PAGE07_TEXT:1 "Гранада розбита! Анексуйте її щоб закінчити відвоювання Еспанії.\n\n§YКлацніть ПКМ на іконку §Mогляду війни§Y в правому нижньому кутку екрану. Виберіть одну з їхніх провінцій, щоб вимагати її анексії та §Mвідправте пропозицію§!. Не забудьте зняти гру з паузи.§W"
 TUT_CAM_CHAPTER01_PAGE07_OBJECTIVES:1 "Вимагайте останні провінції Гранади для продовження."
 TUT_CAM_CHAPTER01_PAGE08_TITLE:0 "§YКінець розділу (8/8)§!"
 TUT_CAM_CHAPTER01_PAGE08_TEXT:0 "На цьому завершується розділ Реконкіста."
 TUT_CAM_CHAPTER01_PAGE08_OBJECTIVES:0 "Клацніть §MДалі§! для переходу до наступного розділу."
 TUT_CAM_CHAPTER02_TITLE:0 "Еспанська інквізиція"
 TUT_CAM_CHAPTER02_DESC:0 "В цьому розділі йдеться про §Mбали монарха§!, §Mправителя§!, §Mрадників§!, §Mнаціональні провінції§!, §Mрелігію§! та більше."
 TUT_CAM_CHAPTER02_BUTTON:0 "Еспанська інквізиція"
 TUT_CAM_CHAPTER02_PAGE01_TITLE:0 "§YПравитель (1/19)§W"
 TUT_CAM_CHAPTER02_PAGE01_TEXT:0 "Правитель - дуже важлива персона у розвитку держави. У вашого правителя є три ресурси, комбінація яких називається §Mочками правителя§!. Є §Mадміністративні§!, §Mдипломатичні§! і §Mвійськові§! бали. Бали монарха накопичуються щомісячно, їх приріст залежить від навичок правителя та його радників."
 TUT_CAM_CHAPTER02_PAGE01_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_CAM_CHAPTER02_PAGE02_TITLE:0 "§YРадники (2/19)§!"
 TUT_CAM_CHAPTER02_PAGE02_TEXT:1 "Радники збільшують місячний приріст §Mбалів монарха§!. Найняти придворних радників можна за золото, також вони будуть отримувати зарплату щомісяця за свою роботу. Наймання дорогих радників збільшить місячний приріст балів монарха, але ви зменшите свій місячний приріст золота.\n\n§YКлацніть на сповіщення §MВи можете найняти радника§! щоб перейти у вкладку §MДвір§!.§W"
 TUT_CAM_CHAPTER02_PAGE02_OBJECTIVES:1 "Відкрийте §Mвкладку Двір§! для продовження."
 TUT_CAM_CHAPTER02_PAGE03_TITLE:0 "§YРадники (3/19)§!"
 TUT_CAM_CHAPTER02_PAGE03_TEXT:0 "Радники збільшують місячний приріст §Mбалів монарха§!. Найняти придворних радників можна за золота, також вони будуть отримувати зарплату щомісяця за свою роботу. Наймання дорогих радників збільшить місячний приріст балів монарха, але ви зменшите свій місячний приріст золота.\n\n§YКлацніть на порожню рамку для переходу в список доступних для найму радників.§W"
 TUT_CAM_CHAPTER02_PAGE03_OBJECTIVES:0 "§MНайміть радника§! Для продовження."
 TUT_CAM_CHAPTER02_PAGE04_TITLE:0 "§YНаціональні провінції (4/19)§!"
 TUT_CAM_CHAPTER02_PAGE04_TEXT:0 "Національні провінції - це провінції, що вважаються вашим народом невід'ємними, рідними територіями. Щоб уникнути §Mнадрозширення§!, необхідно, щоб ваші провінції були національними. В провінції, що не є національною, значно зменшується §Mподаткові збори§! і §Mкількість рекрутів§!. Маючи §Mпретензію§! на нещодавно завойовану провінцію можна значно зменшити вартість та час, необхідний для того, щоб зробити її національною.\n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_CAM_CHAPTER02_PAGE04_OBJECTIVES:0 "§MОголосіть національною§! Гранаду для продовження."
 TUT_CAM_CHAPTER02_PAGE05_TITLE:0 "§YРелігія (5/19)§!"
 TUT_CAM_CHAPTER02_PAGE05_TEXT:0 "Підтримування релігійної єдності важливо для збереження стабільності нації та захисту від повстанців. Для збільшення релігійної єдності вам потрібно навернути жителів всіх провінцій країни в державну релігію. для цих дій вам необхідно мати місіонера. Процес зміни релігії може бути пришвидшений підвищенням стабільності. \n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_CAM_CHAPTER02_PAGE05_OBJECTIVES:0 "§MНаверніть§! провінцію Гранада для продовження."
 TUT_CAM_CHAPTER02_PAGE06_TITLE:0 "§YБудівлі (6/19)§!"
 TUT_CAM_CHAPTER02_PAGE06_TEXT:0 "Будівлі є важливою частиною покращення державної економіки та військової сили. Більшість будівель можуть бути побудовані у всіх провінціях, але вони обмежені кількістю §Mбудівельних майданчиків§! в провінції. На будівництво всіх будівель витрачаються дукати.\n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_CAM_CHAPTER02_PAGE06_OBJECTIVES:1 "Збудуйте §MХрам§! у Гранаді для продовження."
 TUT_CAM_CHAPTER02_PAGE07_TITLE:0 "§YПодії (7/19)§!"
 TUT_CAM_CHAPTER02_PAGE07_TEXT:0 "Події трапляються випадково під час ігрового процесу. Вони часто дають вам можливість вибору між двома чи більше опціями які роблять гру більш динамічною. Також є специфічні події для деяких націй у грі що надають їй присмаку та історичного контексту."
 TUT_CAM_CHAPTER02_PAGE07_OBJECTIVES:0 "Клацніть кнопку на вікні для продовження."
 TUT_CAM_CHAPTER02_PAGE08_TITLE:0 "§YПовстанці (8/19)§!"
 TUT_CAM_CHAPTER02_PAGE08_TEXT:0 "Існують різні типи повстанців, в залежності від їхніх цілей. §MРизик повстання§! в провінції визначає ймовірність виникнення в ній повстанців. Ви можете §Mзнищити їх§! у бою чи вести з ними переговори у вкладці §MСтабільність і розширення§!.\n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_CAM_CHAPTER02_PAGE08_OBJECTIVES:0 "§MРозбийте повстанців§! для продовження."
 TUT_CAM_CHAPTER02_PAGE09_TITLE:0 "§YСтабільність (9/19)§!"
 TUT_CAM_CHAPTER02_PAGE09_TEXT:0 "Стабільність відображає добробут вашої нації. Стабільність пов'язана із §Mризиком повстання§!, §Mрівнем оподаткування§!, §Mторговою силою§! та ін. Стабільність можна підняти у вкладці §MСтабільність і розширення§! за §Mбали адміністативної сили§!. \n\n§YКлацніть на щиток у лівому верхньому кутку екрану, потім виберіть вкладку §MСтабільність і розширення§Y і клацніть §Mпідвищити§! біля смужки стабільності."
 TUT_CAM_CHAPTER02_PAGE09_OBJECTIVES:0 "§Mпідвищіть стабільність§! для продовження."
 TUT_CAM_CHAPTER02_PAGE10_TITLE:0 "§YДинастичний шлюб (10/19)§!"
 TUT_CAM_CHAPTER02_PAGE10_TEXT:0 "Династичний шлюб - один із договорів, який може бути підписано між двома націями.\n\n§YКоли у вас не буде вибрано юнітів, клацніть ПКМ на будь-яку §Mпортугальську провінцію§! для відкриття вікна дипломатичних відносин. Клацніть §MДинастичні дії§! і виберіть §MДинастичний шлюб§!.\n\nНе забудьте зняти паузу із гри.§W"
 TUT_CAM_CHAPTER02_PAGE10_OBJECTIVES:0 "Вступіть у §Mдинастичний шлюб з Португалією§! для продовження."
 TUT_CAM_CHAPTER02_PAGE11_TITLE:0 "§YДинастичний шлюб (11/19)§!"
 TUT_CAM_CHAPTER02_PAGE11_TEXT:0 "династичні шлюби з часом збільшують вашу §Mлегітимність§!, але дають одноразове зменшення легітимності при підписанні, яке залежить від різниці §Mпрестижу§! та §Mлегітимності§! між двома державами. Вступання в шлюб з іншою державою дає вам шанс розширити вашу §Mдинастію§! та можливість утворення §Mунії§!."
 TUT_CAM_CHAPTER02_PAGE11_OBJECTIVES:0 "Клацніть далі для продовження."
 TUT_CAM_CHAPTER02_PAGE12_TITLE:0 "§YПостанови (12/19)§!"
 TUT_CAM_CHAPTER02_PAGE12_TEXT:0 "Постанови дозволяють реформувати вашу націю. Якщо необхідності виконані в повному обсязі ви можете прийняти постанову та негайно отримати ефект від неї. за впровадження деяких постанов дуже тяжко братися, наприклад сформувати Німеччину чи Італію.\n\n§YКлацніть на §Mпро доступну постанову§! щоб перейти у §Mвкладку постанов§Y.§W"
 TUT_CAM_CHAPTER02_PAGE12_OBJECTIVES:0 "§MУтворіть Еспанію дипломатично§! для продовження."
 TUT_CAM_CHAPTER02_PAGE13_TITLE:0 "§YТехнології (13/19)§!"
 TUT_CAM_CHAPTER02_PAGE13_TEXT:0 "Технології можна розблокувати, витрачаючи §Mбали правителя§!. Технології поділені на §Mтри категорії§!, кожна з яких асоціюється з певним типом балів монарха.§!"
 TUT_CAM_CHAPTER02_PAGE13_OBJECTIVES:0 "Відкрийте §Mвкладку технологій§! для продовження."
 TUT_CAM_CHAPTER02_PAGE14_TITLE:0 "§YТехнології (14/19)§!"
 TUT_CAM_CHAPTER02_PAGE14_TEXT:0 "Випереджання в розвитку технологій дасть вам штраф до їх вартості. Гарною думкою є планування розблокування технологійта ідей різних категорійдля раціонального використання одних і тих самих балів правителя. Також плануйте розблокування згідно із здібностями вашого правителя."
 TUT_CAM_CHAPTER02_PAGE14_OBJECTIVES:0 "Розблокуйте §Mдворянську республіку (7)§! для продовження."
 TUT_CAM_CHAPTER02_PAGE14_inst_TITLE:0 "§YВпровадження інституцій (15/19)§!"
 TUT_CAM_CHAPTER02_PAGE14_inst_TEXT:0 "Бали правителя використовуються для відкриття технологій, вартість яких залежить від впроваджених §Mінституцій§!.На початок гри з усіх §Mінституцій§! відкритий тільки §Mфеодалізм§!, який §Mвпровадженно§! на території Європи і більшої частини Азії.\n\nКожні 50 років в будь-якої провінції народжується нова §Мінституція§!, яка згодом поширюється рештою світу.\n\nДля §Мвпровадження§! §Мінституції§! необхідно, вона повинна поширитися на більш ніж 10% Ваших провінцій. При появі нової інституції, кожна країна, ще не §Мвпровадила§! її, отримає штраф до вартості технологій, що з часом збільшується. Щоб дізнатися, які §Мінституції§! існують і наскільки вони поширені, натисніть на кнопку §Мінституції§! у вікні технологій."
 TUT_CAM_CHAPTER02_PAGE14_inst_OBJECTIVES:0 "Натисніть §Мдалі§!, щоб продовжити."
 TUT_CAM_CHAPTER02_PAGE15_TITLE:0 "§YГрупи ідей (16/19)§!"
 TUT_CAM_CHAPTER02_PAGE15_TEXT:0 "Нові групи ідей можуть бути обрані на деяких рівнях згідно із §Mадміністративними технологіями§!. технологія, яку ви щойно вивчили, дала можливість вибрати другу групу ідей. Групи ідей - це шлях до спеціалізації країни, можливість  зробити її унікальною, сильнішою та відомою. Ви не зможете змінити чи видалити групі ідей після її вибору."
 TUT_CAM_CHAPTER02_PAGE15_OBJECTIVES:0 "Відкрийте §Mвкладку ідей§! для продовження."
 TUT_CAM_CHAPTER02_PAGE16_TITLE:0 "§YГрупи ідей (17/19)§!"
 TUT_CAM_CHAPTER02_PAGE16_TEXT:0 "Розблокування однієї ідеї із групи ідей коштує §M400 адміністративних, дипломатичних, або військових балів монарха§! в залежності від типу групи. Гарною ідеєю буде вибрати таку групу ідей, для розблокування ідей з якої ви маєте достатньо балів монарха відповідного типу.\n\n§YКлацніть на кнопку §Mвільний слот§! і виберіть §MДослідницькі ідеї§!.§W"
 TUT_CAM_CHAPTER02_PAGE16_OBJECTIVES:0 "Виберіть групу ідей §MДослідження§! для продовження."
 TUT_CAM_CHAPTER02_PAGE17_TITLE:0 "§YІдеї (18/19)§!"
 TUT_CAM_CHAPTER02_PAGE17_TEXT:0 "Розблокування 3 ідей розблоковує 1 із ваших §Mнаціональних ідей§!. Більшість великих держав та деякі менші мають спеціальні національні ідеї. \n\n§MПодорож у Новий Світ§Y - це ідея із групи §MДослідження§Y, що дозволить вам наймати §Mдослідників§Y і §Mконкістадорів§Y. Вона необхідна для розблокування ідеї §MКолоніальні підприємства§Y."
 TUT_CAM_CHAPTER02_PAGE17_OBJECTIVES:0 "Розблокуйте ідею §MПодорож у Новий Світ§! для продовження."
 TUT_CAM_CHAPTER02_PAGE18_TITLE:0 "§YКінець розділу (19/19)§!"
 TUT_CAM_CHAPTER02_PAGE18_TEXT:0 "Це повідомлення вказує на закінчення розділу Еспанська інквізиція із навчального меню Кампанія Еспанської імперії."
 TUT_CAM_CHAPTER02_PAGE18_OBJECTIVES:0 "Клацніть §Mдалі§! для переходу в наступний розділ."
 TUT_CAM_CHAPTER03_TITLE:0 "Новий Світ"
