l_ukrainian:
 NO_EDICT_PLAIN:0 "Немає едиктів"
 desc_harmonized_dharmic:0 "Ми включили дхармічні релігії в нашу країну та національний образ."
 harmonized_muslim:0 "Гармонізація з ісламом"
 desc_harmonized_muslim:0 "Ми включили всі ісламські релігії в нашу країну та національний образ."
 harmonized_christian:0 "Гармонізація з християнством"
 desc_harmonized_christian:0 "Ми включили всі християнські релігії в нашу країну та національний образ."
 harmonization_classics_translated:0 "Класичний переклад"
 desc_harmonization_classics_translated:0 "Прагнучи спонукати варварів наблизитися до нашого цивілізованого суспільства, ми дозволили переклад конфуціанської класики на їхню мову. При цьому ми розбавили чисті ідеали мислення Конфуція, проте з'єднання наших та їхніх ідей принесе нам взаєморозуміння."
 harmonization_classics_defended:0 "Класичний захист"
 desc_harmonization_classics_defended:0 "Ми активно працювали проти розмивання конфуціанських ідей та думок, щоб пристосувати варварську філософію. Щоб стати цивілізованими, вони повинні визнати, що вони повинні стати такими ж, як ми, та відмовитися від безглуздого уявлення про те, що ми можемо стати подібними до них."
 harmonization_converted_minister:0 "Вчений міністр"
 desc_harmonization_converted_minister:0 "Один з наших міністрів виявив велику цікавість до науки, логіки та математики іноземної релігії. Ми дозволили йому вільно займатися своїми дослідженнями, що викликало обурення конфуціанських вчених та чиновників по всій країні."
 harmonization_local_rites_refused:1 "Відмова від місцевих обрядів"
 desc_harmonization_local_rites_refused:1 "Ми дуже жорстоко розправилися з місцевими чиновниками в цій області після того, як вони, використовуючи нашу владу, спробували впровадити місцеві релігійні обряди."
 harmony_banned_book:0 "Заборонений роман"
 desc_harmony_banned_book:0 "Ми заборонили популярний роман за те, що зводив наших людей зі істинного шляху."
 FOLLOWING_HARMONIZED_RELIGION:0 "Цей народ вже йде за гармонізованою релігією."
 FOLLOWING_HARMONIZED_RELIGION_GROUP:0 "Цей народ вже йде за релігією гармонізованої групи."
 HARMONIZED_RELIGION:1 "Гармонізована релігія"
 HARMONIZED_RELIGION_GROUP:0 "Гармонізована релігійна група"
 MODIFIER_HARMONIZATION_SPEED:0 "Швидкість релігійної гармонізації"
 IS_HARMONIZING_WITH:0 "§Y$WHO$§! гармонізується з релігією §Y$NAME$§!"
 IS_NOT_HARMONIZING_WITH:0 "§Y$WHO$§! НЕ гармонізується з релігією §Y$NAME$§!"
 IS_HARMONIZING_WITH_GROUP:0 "§Y$WHO$§! гармонізується з релігійною групою §Y$NAME$§!"
 IS_NOT_HARMONIZING_WITH_GROUP:0 "§Y$WHO$§! НЕ гармонізується з релігійною групою §Y$NAME$§!"
 string_tributary_overlord_title:0 "Сюзерен"
 string_sister_of_heaven:0 "Сестра Небес"
 string_daughter_of_heaven:0 "Дочка Небес"
 string_son_of_heaven:0 "Син Неба"
 confucian_events.1.t:0 "Гармонізація з язичницькими релігіями"
 confucian_events.1.d:0 "Нарешті наші зусилля з інтеграції наших підданих, які сповідують [pagan_province.Religion.GetName], почали приносити свої плоди. Наші язичницькі піддані почали приймати ідеали конфуціанства, і наші місцеві чиновники також інтегрували елементи місцевої релігії і культури в наш численний конфуціанський звід ідеалів. У міру того, як місцеві чиновники входять у нашу адміністрацію, язичницькі звичаї в тій чи іншій мірі почали просочуватися в інші верстви суспільства. Навіть серед чільних посадовців у провінції [Root.Capital.GetCapitalName] іноді можна знайти невеликий вівтар з пантеоном релігії [pagan_province.Religion.GetName].\nЯзичництво стало однією з багатьох релігій нашої конфуціанської країни [Root.GovernmentName]."
 confucian_events.1.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.2.t:0 "Гармонізація з християнством"
 confucian_events.2.d:0 "Згодом наші християнські піддані звикли і до наших шляхів, і до наших обрядів та наших вищих адміністративних ідеалів. Там, де була колись недовіра до класики і нашої системи освіти та управління зараз широко поширене розуміння. У свою чергу, наші християнські піддані були прийняті і стали частиною нашої країни [Root.GovernmentName], і деякі їхні звичаї тепер стали нашими. У провінції [Root.Capital.GetCapitalName] навіть деякі з найосвіченіших конфуціанських вчених можуть бути помічені в християнських звичаях та відвідуваннях християнських церков."
 confucian_events.2.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.3.t:0 "Гармонізація з ісламом"
 confucian_events.3.d:0 "Іслам століттями був релігією меншості в наших землях і не був для нас новою релігією, коли ми вперше стали володарями провінції [islamic_province.GetName]. Однак з часом він став все більше інтегрованою частиною нашого суспільства. Мусульманські ідеали були інтегровані та гармонізовані з нашими традиціями, обрядами та методами, і ми взяли найкраще з того, що ця релігія могла запропонувати для нашого власного використання. Ісламських вчених, лікарів, торговців, фермерів та селян можна знайти навіть у районах, прилеглих до провінції [Root.Capital.GetCapitalName]. Доки вони підкоряються і визнають, що наш [Root.Monarch.GetTitle] – також їхній правитель, послідовники Аллаха будуть невід'ємною частиною нашого суспільства."
 confucian_events.3.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.4.t:0 "Гармонізація з дхармічними релігіями"
 confucian_events.4.d:0 "Віра дхармічних народів була переплетена з нашою протягом тисячоліть, але наші вірування стільки ж були і роз'єднані. Довгий час вважалося, що там, де ми хвалили розум і класичну освіту, вони прагнули до різноманіття та давньої духовної сили. Однак в останні роки ми прагнули інтегрувати суспільство Дхарми з нашим та вписати їхні переконання в наші, настільки ж сильні, традиції філософії та навчання. Оскільки ми дивимося в майбутнє, спільне майбутнє вабить туди, де різноманітність пантеону Дхарми можна плекати разом з конфуціанською класикою. Разом ми створили новий, потужніший, набір обрядів і традицій для сильнішої та міцнішої держави."
 confucian_events.4.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.5.t:0 "Гармонізація з юдаїзмом"
 confucian_events.5.d:0 "Пройшли століття з тих пір, як перші євреї прибули в нашу країну, але лише недавно їхня чисельність у нашому суспільстві збільшилася. У ново-набутому захопленню їхньою стародавньою авраамічною релігією ми зробили все, що ми можемо, щоб інтегрувати її в наші обряди, традиції та освіту. Оскільки ми прагнули гармонізувати конфуціанську класику з вченням Тори, єврейські філософи, торговці, воїни та ремісники стали стали справжньою частиною нашого суспільства. Зрештою, оскільки традиції об'єднуються, ці люди стали наріжним каменем нашої країни [Root.GovernmentName]."
 confucian_events.5.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.6.t:0 "Гармонізація з зороастризмом"
 confucian_events.6.d:0 "Носії традиції, яка, як кажуть, навіть старше наших власних, зороастрійці – це люди, які бачили, як їхній політичний вплив приходить і потім зникає. Вочевидь, що нам було б чому дізнатися з цих навчань, так само як і вони могли б багато чому навчитися від нашої чудової традиції розуму, справедливості та неупередженості. Коли громади, подібні до тієї, що знаходиться в провінції [zoroastrian_province.GetName], стають частиною нашої країни [Root.GovernmentName], це дозволяє нашим традиціям почати новий етап гармонізації. Поєднання стародавніх навчань Зороастра і Конфуція. Ми все ще країна, де класики жили і вивчаються, але зороастрійці тепер є невід'ємною частиною нашого суспільства, і, в якійсь мірі, їхня мудрість стала нашою."
 confucian_events.6.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.7.t:0 "Гармонізація із синтоїзмом"
 confucian_events.7.d:0 "Згодом японці включили в традиційну конфуціанську релігію як традицію Конфуція, так і Будду, взявши те, що, на їхню думку, було найбільш істинною та найкращою частиною іноземних навчань і зробило її своєю. Багато в чому це, у свою чергу, спростило їхню релігію в плані інтеграції та узгодження з ідеологією нашої країни [Root.GetName]. З плином часу ідентичність синтоїзму стає все менше і менше, і синтоїстських послідовників можна зустріти у всіх шарах [Root.GetAdjective]ого суспільства, сформованих у нову групу в нашому складному державному апараті, але яку сторонній людині буде дуже важко відрізнити від своєї власної."
 confucian_events.7.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.8.t:0 "Гармонізація з релігією Тхеравади"
 confucian_events.8.d:0 "Палійські канони (Тапітака) буддизму Тхеравади у багатьох відношеннях є звичним способом організації традицій і навчання наших конфуціанських еліт. Згодом ці збірники законів і обрядів стали вивчати і ввійшли до складу звіду, який повинен вивчити і дотримуватися кожен освічений і впливовий член нашого суспільства. Ця традиція була гармонізована, і більш широке співтовариство буддистів Тхеравади вважає нас рівними, як і ми розглядаємо буддистів Тхеравади в наших кордонах як невід'ємну частину нашої країни [Root.GovernmentName]."
 confucian_events.8.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.9.t:0 "Гармонізація з релігією Махаяна"
 confucian_events.9.d:0 "Багато століть тому вчення Будди почали проникати в наші землі, і тепер це одна з найпоширеніших релігій у країні [Root.GetName]. Хоча ми й вважаємо класику конфуцiанського навчання основним принципом, яким керується наш [Root.GovernmentName], ми також шануємо традиції Будди і прагнення, що відчувають багато з наших вірян, – досягти закінчення вічного циклу.\nВоістину ми конфуціанська країна, керована народом буддистів Махаяни."
 confucian_events.9.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.10.t:0 "Гармонізація з релігією Ваджраяна"
 confucian_events.10.d:0 "Ті з наших підданих, які є затятими послідовниками великих і таємничих лам, все частіше усвідомлюють, наскільки корисною ідеологією є вчення Конфуція. Колись вони використовували традиції шляху Ваджраяни в судженні про світ, тепер же вони використовують для цього ту ж саму класику, що і ми. Ченці Ваджраяни і дворяни тепер, від верху до низу, є частиною нашого уряду, а їхні дикі, тантричні традиції, здається, приборкані нашими розумом і вченням."
 confucian_events.10.a:0 "'Схиліться перед гідними, наслідуйте просвітлених'"
 confucian_events.11.t:0 "Концепція Шанді"
 confucian_events.11.d:0 "Послідовники релігії [harmonization_province.Religion.GetName] все частіше інтегруються в їхньому повсякденному житті в наші конфуціанські концепції і традиції. Недавня тенденція полягає в тому, щоб ідентифікувати концепцію Шандді з їхніми власними верховними божествами. Ця інтерпретація дещо неортодоксальна для вчених-експертів нашої країни [Root.GovernmentName], але це дозволило адептам релігії [harmonization_province.Religion.GetName] інтегрувати в теологію ряд конфуціанських концепцій, обрядів, констант і класичного навчання.\nУ палацах провінції [Root.Capital.GetCapitalName] точаться дискусії щодо правильності такого шляху для послідовників релігії [harmonization_province.Religion.GetName], щоб піднести себе над варварами Хуа."
 confucian_events.11.a:0 "Ми повинні наставити їх на правильний шлях!"
 confucian_events.11.b:0 "Приймемо цю абстракцію."
 confucian_events.12.t:0 "Переклади класиків"
 confucian_events.12.d:0 "Послідовники релігії [harmonization_province.Religion.GetName] – це люди з сильними традиціями і обрядами, і їхня прихильність до архаїчної мови власних навчань утримує їх від цивілізаційного поступу. Якщо вони повинні коли-небудь піднятися від варварського Yi цього світу, можливо ми повинні забезпечити, щоб класика і належні обряди були доступні для їхнього перетравлення їхньою власною мовою.\nЄ деякі вчені, які вже почали створювати такі роботи. Чи повинні ми спонукати їх продовжувати синтезувати свої старі релігійні концепції з піднесеними принципами Конфуція?"
 confucian_events.12.a:0 "Нехай вони створюють свою власну версію."
 confucian_events.12.b:0 "Це було б пародією на нашу ідеологію!"
 confucian_events.13.t:0 "У що вірить [Root.Adm_Advisor.GetName]"
 confucian_events.13.d:0 "Наш надійний міністр і довірена особа, [Root.Adm_Advisor.GetName], тісно співпрацює з общиною, що сповідує релігію [harmonization_province.Religion.GetName], щоб допомогти їм підвищити свою варварську культуру. Зроблені висновки [Root.Adm_Advisor.GetHerHis] здивували і [Root.Adm_Advisor.GetSheHe] почали переймати багато концепцій релігії [harmonization_province.Religion.GetName] після інтенсивного вивчення їхньої науки і літератури. Багато хто побоюється, що [Root.Adm_Advisor.GetSheHe] занадто захопилися шляхами релігії [harmonization_province.Religion.GetName]. Деякі навіть стверджують, що [Root.Adm_Advisor.GetTitle] нашої держави були таємно ново-навернені, однаково паплюжачи і [Root.Adm_Advisor.GetHerHis] предків і [Root.GovernmentName]."
 confucian_events.13.a:0 "Змістити цього зрадника!"
 confucian_events.13.b:0 "Нам є чому повчитися у людей, які сповідують [harmonization_province.Religion.GetName]."
 confucian_events.14.t:0 "Права і обряди"
 confucian_events.14.d:1 "Незважаючи на те, що вони є частиною нашої країни [Root.GovernmentName], деякі традиції релігії [harmonization_province.Religion.GetName] можуть бути дуже важкими для сприйняття. Передбачається, що цивілізовані люди повинні дотримуватися того, що є правильним і логічним, відповідно до конфуцiанського вчення, але у цих чоловіків і жінок є багато звичаїв, що прямо суперечать таким правилам. Наші урядовці в провінції [harmonization_province.GetName] докладають усіх зусиль у боротьбі з місцевими жителями, які наполягають на слідуванні їхніми варварськими шляхами."
 confucian_events.14.a:0 "Варвари!"
 confucian_events.14.b:0 "Такі дрібниці не стосуються нас."
 confucian_events.15.t:0 "[Root.Monarch.GetTitle] розширює повноваження"
 confucian_events.15.d:0 "Хоча ті, хто сповідує [harmonization_province.Religion.GetName] є варварами, у них є деякі звичаї та обряди, якими ми могли б скористатися. Оскільки їхні традиції та церемонії, що стосуються правління, вже містить поняття вищої мирської влади, наприклад, такої, якою володіє наш [Root.Monarch.GetTitle], це саме те, що ми могли б ефективно використовувати. Місцеві чиновники в провінції [harmonization_province.GetName] вже робили це, але було запропоновано використовувати церемонії провінції [harmonization_province.Religion.GetName] навіть на вищих рівнях. Інші стверджують, що ми будемо ганьбити наших предків відвернувшись від того, що правильно, якщо ми дозволимо цим традиціям опоганити себе."
 confucian_events.15.a:0 "Мені подобається, як це звучить..."
 confucian_events.15.b:0 "Ми повинні розібратися з ганебними чиновниками!"
 confucian_events.16.t:0 "Приведення цивілізації до варварів"
 confucian_events.16.d:0 "З часом релігія [harmonization_province.Religion.GetName] перейняла багато наших звичаїв. Коли наш [Root.Dip_Advisor.GetTitle] відвідав провінцію [harmonization_province.GetName], [Root.Dip_Advisor.GetSheHe] виявив(ла), що її мешканці все ще далекі від цивілізації, і коли місцевий впливовий землевласник запросив [Root.Dip_Advisor.GetHerHim] для участі у святкуванні з присвоєння імені дитині, названого на ім'я його батька, це було останньою краплею.\n[Root.Dip_Advisor.GetTitle] повернулися з провінції з дуже низькою думкою щодо релігії [harmonization_province.Religion.GetName] та їхньої перспективи виявитися коли-небудь серед цивілізованих людей світу."
 confucian_events.16.a:0 "Ми залишимо їх напризволяще."
 confucian_events.16.b:0 "Давайте відправимо наших кращих з найкращих, щоб цивілізувати їх."
 confucian_events.17.t:0 "[harmonization_province.Religion.GetName] і цивілізація"
 confucian_events.17.d:1 "Деякі варвари більше сприйнятливі до доводів розуму та інтелекту, ніж інші. Віряни релігії [harmonization_province.Religion.GetName] у провінції [harmonization_province.GetName] вже прийняли багато з наших традицій, від більш важливих до навіть незначних речей. Іноземним гостям важко вирізнити регіон з держави [Root.GetName], позаяк, окрім деякої екстравагантності у мові, іменах та звичаях у місті [Root.Capital.Culture.GetName], все здається [Root.GetAdjective]им, що можна спостерігати й у будь-якій іншій частині держави [Root.GetName], де править [Root.GovernmentName]."
 confucian_events.17.a:0 "Прогрес!"
 confucian_events.17.b:0 "Ми повинні використати цю можливість на регіональному рівні!"
 confucian_events.18.t:0 "Сяорен?"
 confucian_events.18.d:0 "[Root.GovernmentName] має честь правити нашою державою, керування цим державним органом, у свою чергу, є головним обов'язком і привілеєм, яким володіє [Root.Monarch.GetTitle] нашої держави. Династія [Root.Monarch.Dynasty.GetName] в минулому пишалася цим і подавала приклад, дотримуючись суворого етикету, особистого аскетизму та ретельно відсіювала тих, хто не відповідав цьому ідеалові.\nТому з важким серцем [Root.Monarch.GetName] спостерігає, як розвивається [Root.Heir.GetHerHis] спадкоємець – [Root.Heir.GetName]. [Root.Heir.GetWomanMan], що навіть віддалено не нагадує ідеал, наш імператорський спадкоємець часто описується вчителями як дрібна людина, зосереджена на отриманні безпосередньої вигоди та емоційних задоволень. Однак при дворі є фракції, які були би дуже стривожені, якби право успадкування, якими володіє [Root.Heir.GetName], було би втрачено, і новий спадкоємець просто не отримав би їхньої підтримки."
 confucian_events.18.a:0 "[Root.Heir.GetWomanMan] не вартий(а) прекрасних палаців Сходу."
 confucian_events.18.b:0 "Нам потрібна підтримка фракцій, на які [Root.Heir.GetTitle] міг би розраховувати."
 confucian_events.19.t:1 "Популярний роман"
 confucian_events.19.d:1 "Місцевий роман про добре відому історію доби [Root.GetOldEra] стрімко набирає популярність серед наших читачів. Це саме по собі не є проблемою, але нам стало відомо, що ця новела фактично порушує основні догмати конфуціанської ідеології, оскільки центральна влада та [Root.Monarch.GetTitle] можуть отримати непокору народу, який розглядав би книгу як аргумент.\nНаша адміністрація тепер стверджує, що книга повинна бути заборонена, хоча деякі побоюються, що це лише зробить її привабливішою для тих, хто хоче її прочитати."
 confucian_events.19.a:1 "Він повинен бути негайно заборонений."
 confucian_events.19.b:1 "Ми наводимо приклад, а не декрет. Хай буде, що буде."
 confucian_events.20.t:1 "Державна служба"
 confucian_events.20.d:1 "Освіта, самовдосконалення та прихильність класиці є основою конфуцiанського уряду, та якщо наш [Root.GovernmentName] прагне до величі, ми повинні завжди жертвувати гроші, приділяти увагу та прикладати зусилля для забезпечення достатньої кількості освічених службовців. Тому викликає певне занепокоєння той факт, що останнім часом число людей, що шукають роботу в державних установах, скорочується."
 confucian_events.20.a:1 "Ми повинні розширити існуючу бюрократію!"
 confucian_events.20.b:0 "Поки що немає необхідності підкріплювати кадри."
 confucian_events.21.t:0 "Конфуціанська спадщина"
 confucian_events.21.d:0 "Починаючи з китайської окупації шанування Конфуція та конфуціанських ідеалів глибоко вкоренилися в нашому суспільстві. Від основного поклоніння Конфуцію в народній релігії простолюдинів до захоплення та вивчення нео-конфуціанських текстів при нашому дворі.\nХоча з цим й не погодилось би духовенство, але на думку інших, що ми спочатку конфуціанська країна, а вже потім буддійської релігії Махаяна."
 confucian_events.21.a:0 "Ми цивілізовані люди і почитаємо Вчителів."
 confucian_events.21.b:0 "Конфуціанство цікаво, але Дай В'єт є буддійською країною."
 ALREADY_HARMONIZING_RELIGION:0 "Ми вже гармонізовані з релігією §Y$NAME$§!."
 ALREADY_HARMONIZING_RELIGION_GROUP:0 "Ми вже гармонізовані з релігійною групою §Y$NAME$§!."
 HAS_HARMONIZED_WITH:0 "Гармонізовано з релігією §Y$NAME$§!"
 HAS_NOT_HARMONIZED_WITH:0 "НЕ гармонізовано з релігією §Y$NAME$§!"
 japan_has_encountered_the_west_tooltip:0 "Японія зіткнулася з Заходом"
 encountered_other_continent_tooltip:0 "Відкрито країну на іншому континенті."
 encountered_christian_tooltip:0 "Відкрито християнство."
 shinto_incident_recent_tooltip:1 "Минуло принаймні 30 років з моменту останньої події."
 incident_neo_confucianism_title:0 "Нео-конфуціанство"
 incident_neo_confucianism_desc:0 "Нео-конфуціанство не ново для Японії, воно поширилося з Китаю в епоху Камакура і, подібно до багатьох аспектів китайської та ширшої східноазійської культури, швидко вкоренилося. Її раціоналістична перспектива, перш за все, дуже добре підходить для зміцнення авторитету правителя, і якщо ми будемо заохочувати його розвиток в Японії, ми можемо розробити дієвіший принцип контролю над нашим народом."
 incident_nanban_title:0 "Торгівля Нанбана"
 incident_nanban_desc:0 "Західні торговці прибули на наші землі, приносячи товари, ідеї і навіть зброю, яких ми раніше не бачили. Цим іноземцям не вистачає манер і навіть гігієни, але те, як ми справляємося з цими торговцями може надати тривалий вплив на наше суспільство."
 incident_firearms_title:0 "Поширення вогнепальної зброї"
 incident_firearms_desc:0 "Порохова зброя, яку західні торговці принесли на наші береги, вочевидь, дуже небезпечна для нашого суспільства. Оскільки місцеві варіанти цих знарядь, Танегасима, вже почали проводитися, стає ясно, що невдовзі в країні буде великий запас зброї, з яким навіть простий селянин може перемогти самого добре підготовленого самурая."
 incident_spread_of_christianity_title:0 "Поширення християнства"
 incident_spread_of_christianity_desc:0 "Місіонери, що несуть у собі слова дивної західній релігії, прибули на наші береги, і їхні слова справили враження на дивно більшу частину японського населення. Християнські громади формуються на всьому протязі острова, і новонавернені японці самі звертають все більше своїх співвітчизників з кожним днем."
 incident_shogunate_authority_title:0 "Висхідна влада сьоґунату"
 incident_shogunate_authority_desc:0 "Протягом багатьох століть сьоґун, а не імператор, був справжньою силою в Японії. Однак авторитет сьоґунату сам по собі довгий час не був сильним. Здається, наш нинішній сьоґун взяв на себе зобов'язання змінити це, вимагаючи послуху та зміцнення старих законів і традицій, щоб посилити контроль над цією, понівеченою війною, країною."
 incident_ikko_shu_title:0 "Ікко-ікки"
 incident_ikko_shu_desc:0 "Буддизм Чистої Землі – не нова релігія на нашому острові, але під час громадянської війни, яка мучила Японію, безліч людей звернулося до неї. Цей груповий рух стає все більш воєнізованим, і їхні обіцянки про порятунок притягують до своїх лав фермерів, священиків, ченців та навіть дворян. Влада давніх традицій заперечується їхніми стійкими переконаннями."
 incident_wokou_title:0 "Пірати Вако"
 incident_wokou_desc:0 "Відносини між Китаєм, Кореєю і Японією завжди були тривожними. Зростаючий авторитет центральної влади в Японії призвів до утворення великої кількості піратських суспільств, частина з яких навіть фінансується за рахунок зовнішніх інвестицій. Оскільки наші порти використовуються цими морськими розбійниками, нам потрібно зайняти позицію щодо цього піратства."
 incident_urbanization_title:0 "Урбанізація"
 incident_urbanization_desc:0 "Суспільство швидко змінюється, оскільки все більше й більше людей мігрують із сільської місцевості у великі міста-фортеці країни. Міць давніх торговельних гільдій знаходиться на підйомі, і землевласники скаржаться, що фермери не залишаються на своїх ділянках."
 CONFIRM_HARMONIZATION:0 "Підтвердження гармонізації"
 CONFIRM_CANCEL_MISSIONARIES_DESC:0 "Це змусить місіонерів припинити роботу в наступних провінціях:\n§Y$PROVS$§!.\n"
 CONFIRM_HARMONIZATION_DESC:2 "Доки йде гармонізація, гармонія буде щороку знижуватись на $HARMONY|R$.\n Гармонізацію буде завершено $MONTH_YEAR|Y$."
 CANCEL_HARMONIZATION_DESC:0 "При скасуванні ви втратите весь процес гармонізації (поточне значення $PROGRESS|%|Y|0$)."
 REFUSED_CALL_LIBERTY_DESIRE:0 "Якщо ми відмовимось, бажання свободи країни $SUBJECT$ збільшиться на §R$VAL$§!."
 overlord_refused_call:0 "Сюзерен відмовився приєднатися до війни"
 RELIGIOUS_GROUP:0 "Група $NAME$"
 THE_RELIGIOUS_GROUP:0 "Релігійна група §Y$NAME$§!"
 WHEN_HARMONIZED:1 "Ефект гармонізації:"
 WHEN_HARMONIZED_LONG:1 "Після гармонізації до провінцій з релігією $HARMONIZED$ ставитимуться так само, як якби вони сповідували §Y$OUR$§! і ви отримаєте наступні ефекти:"
 HARMONIZE_NOT_ENOUGH_DEVELOPMENT:0 "\n§RБракує розвитку:§!\nВам потрібно принаймні $MIN|Y$ загального розвитку в провінції з цією релігією, щоб почати гармонізацію (поточне значення $CURVAL|Y$)."
 HARMONIZE_GROUP_NOT_ENOUGH_DEVELOPMENT:0 "\n§RБракує розвитку:§!\nВам потрібно принаймні $MIN|Y$ загального розвитку в провінції з цією релігійною групою, щоб почати гармонізацію (поточне значення $CURVAL|Y$)."
 MACRO_NO_VALID_DIPLO_ACTIONS:0 "Категорія $CATEGORY$ недоступна."
 ADD_TRUST_EFFECT:0 "Довіра до країни §Y$TOWARDS$§! зросте на $VAL$\n"
 ADD_TRUST_EFFECT_NEG:0 "Недовіра до країни §Y$TOWARDS$§! зросте на $VAL$\n"
 CANCEL_REVOKE_CONDOTTIERI_TITLE:0 "Скасувати/Відкликати кондотьєрів"
 TRIBUTE_INTERACTION:0 "Наш сюзерен $OVERLORD|Y$ може вимагати будь-яку щорічну данину."
 TRIBUTE_NOT_ENOUGH_DEV:0 "Щоб дати §Y1§! $SYMBOL$, даннику потрібно $MIN|Y$ загального розвитку (поточне значення $CURRENT|R$)."
 DIPLO_ACTION_NUM_ACCEPTING:0 "Країни, що ймовірно, погодяться: $NUM$."
 DIPLO_ACTION_NO_SELECTABLE:0 "§YЖодна країна не погодиться на цю дію.§!"
 DIPLO_ACTION_NUM_POSSIBLE_TARGETS:0 "Країни, яким доступна ця дія: $NUM$."
 FILTER_ALLIES:0 "Союзники"
 FILTER_RIVALS:0 "Суперники"
 FILTER_WAR_ENEMIES:0 "Вороги"
 FILTER_POS_OPINION:0 "Позитивна думка"
 FILTER_NEG_OPINION:0 "Негативна думка"
 FILTER_PLAYERS:0 "Гравці"
 FILTER_ALLIES_DESC:0 "Показати себе та наших союзників."
 FILTER_RIVALS_DESC:0 "Показати себе та наших суперників."
 FILTER_WAR_ENEMIES_DESC:0 "Показати себе та країни, з якими ми зараз у стані війни."
 FILTER_POS_OPINION_DESC:0 "Показати себе та країни з позитивною думкою про нас."
 FILTER_NEG_OPINION_DESC:0 "Показати себе та країни з негативною думкою про нас."
 FILTER_PLAYERS_DESC:0 "Показати себе та інших гравців."
 ZERO_TRIBUTE:0 "Занадто мало"
 celestial_empire_events.1.t:1 "Кінець [From.GetAdjective]ої династії [From.GovernmentName]"
 celestial_empire_events.1.d:1 "З падінням міста [From.Capital.GetCapitalName] були розгромлені останні залишки імперії Китаю. Небесний мандат і стародавня конфуціанська адміністрація тепер розглядаються як явно неіснуючі поняття, а вчене дворянство, як клас, буде повинно перетворитися на щось інше, або загинути.\nІ хоча пам'ять про Імперію буде жити, але про [Root.GovernmentName] держави [Root.GetName] будуть завжди пам'ятати як тих, хто знищив останніх представників династії [From.Monarch.GetTitle]."
 celestial_empire_events.1.a:0 "Гаразд."
 celestial_empire_events.2.t:0 "Ідеологія нашої імперії"
 celestial_empire_events.2.d:0 "Беручи мантію імператора Китаю, ми зробили крок у сторону давніх традицій. Держава [Root.GetName] успадкувала ряд інститутів, таких як екзаменаційна система і концепція Небесного мандата, які тісно пов'язані з китайською філософією конфуціанства.\nВід нас, як від нової імперії Китаю, залежить, якою мірою ми хочемо інтегрувати цю ідеологію з нашої власної, втім прийняття конфуціанської філософії, швидше за все, допоможе нам керувати величезною імперією, на яку ми претендуємо зараз, та зміцнити наш мандат у свідомості громадськості."
 celestial_empire_events.2.a:0 "[Root.Monarch.GetTitle] наш [Root.GetTributaryOverlord]!"
 celestial_empire_events.2.b:0 "Ми не спаплюжимо релігію [Root.Religion.GetName] наших власних предків!"
 celestial_empire_events.3.t:0 "Китаїзація"
 celestial_empire_events.3.d:0 "[Root.Culture.GetName] культура все частіше починає обурюватися новими китайськими звичаями, які ми вводимо по всій нашій території, починаючи від суду – до найнижчого чиновника в провінції. Через цю зростаючу недовіру до спроб нехтування нашими старими традиціями та нормами деякі навіть відкрито сумніваються в нашому праві на владу."
