l_english:
#TODO
 #Scripted effects and triggers here should probably be ported into coded triggers and effects for the sake of localization... 

 ME_GENERAL____:0 "§YГенерал§! додатково набуде "
 ME_GENERAL_3_1_2_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1_3_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3_1_3_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1_3_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1_3_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2__:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! "
 ME_GENERAL__2__1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2__2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2__3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2_1_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL__2_1_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2_1_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2_1_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2_2_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL__2_2_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2_2_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2_2_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2_3_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL__2_3_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2_3_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__2_3_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2__:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_1_2__1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2__2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2__3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2_1_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1_2_1_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2_1_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2_1_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2_2_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1_2_2_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2_2_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2_2_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2_3_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1_2_3_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2_3_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_2_3_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2__:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_2_2__1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2__2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2__3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2_1_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2_2_1_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2_1_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2_1_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2_2_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2_2_2_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2_2_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2_2_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2_3_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2_2_3_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2_3_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_2_3_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2__:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_3_2__1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2__2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2__3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2_1_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3_2_1_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2_1_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2_1_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2_2_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3_2_2_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2_2_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2_2_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2_3_:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3_2_3_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2_3_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_2_3_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3__:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! "
 ME_GENERAL__3__1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3__2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3__3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3_1_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL__3_1_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3_1_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3_1_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3_2_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL__3_2_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3_2_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3_2_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3_3_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL__3_3_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3_3_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__3_3_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3__:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_1_3__1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3__2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3__3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3_1_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1_3_1_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3_1_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3_1_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3_2_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1_3_2_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3_2_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3_2_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3_3_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1_3_3_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3_3_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_3_3_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3__:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_2_3__1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3__2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3__3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3_1_:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2_3_1_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3_1_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_3_1_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
