l_ukrainian:
 ONE_TIME_COST:0 "Одноразова виплата"
 MAPMODE_ECONOMY_DESC:0 "Зафарбовує провінції в залежності від рівня їхнього розвитку."
 MAPMODE_MANPOWER_DESC:0 "Зафарбовує провінції в залежності від кількості рекрутів. Червоним позначено малу кількість рекрутів, жовтим – середню кількість, і зеленим – провінції з великою кількістю рекрутів."
 MAPMODE_FORTLEVEL_DESC:2 "Зафарбовує провінції в залежності від дипломатичних відносин з власниками укріплень. Зелений означає дружні фортеці, червоним позначено ворожі цитаделі, у той час як пурпурові провінції показують нейтральні фортифікації. Укріплення вищих рівнів відмічено темно-синім."
 MAPMODE_TECH_COST_DESC:0 "Зафарбовує провінції в залежності від рівня технологій. Зелений колір позначає високий рівень технологій. Чим ближче до червоного кольору, тим менший рівень технологій."
 MAPMODE_TRADE_VALUE_DESC:0 "Зафарбовує провінції в залежності від об'ємів торгівлі. Синій колір позначає провінції, де добувається золото. Світло-червоний колір позначає провінції зі слабким торговим доходом, темно-червоний – трохи вищім, жовтий – з високим рівнем, а зелений – провінції з дуже високим рівнем торгових доходів."
 MAPMODE_SUPPLY_LIMIT_DESC:0 "Зафарбовує провінції в залежності від ліміту постачання. \nЯкщо не вибрано армію, червоний означає низький ліміт постачання, жовтий означає середній ліміт і зелений – високий ліміт постачання. \nЯкщо вибрано армію, провінції, що не можуть утримувати вибрану армію – червоні, у той час як ті, що можуть – зелені. Провінції, які ледве-ледве можуть утримувати вибрану армію, буде зафарбовано жовтим."
 MAPMODE_BUILDINGS_DESC:0 "Зафарбовує провінції в залежності від кількості будівель, які можна побудувати. Світло-зелений колір позначає провінції, де доступно ще багато будівель для будівництва, а темно-зелений – провінції, в яких залишилося небагато доступних споруд. Провінції з синіми штрихами мають унікальні споруди."
 MAPMODE_MISSIONARY_DESC:0 "Зафарбовує провінції в залежності від можливості навернути їх на державну релігію. Зелений колір позначає провінції з релігією, відмінною від державної, синій – провінції в яких здійснюється навернення, а сірий – провінції з державною релігією."
 MAPMODE_REGION_DESC:0 "Зафарбовує провінції в залежності від регіону, до якого вони належать. Наведіть курсор миші на будь-яку провінцію, щоб довідатися до якої округи, регіону та континенту вона належить."
 MAPMODE_AREAS_DESC:0 "Зафарбовує провінції в залежності від округи, до якої вони належать. Наведіть курсор миші на будь-яку провінцію, щоб довідатися до якої округи, регіону та континенту вона належить."
 MAPMODE_SUPER_REGION_DESC:0 "Зафарбовує провінції в залежності від субконтиненту, до якого вони належать. Наведіть курсор миші на будь-яку провінцію, щоб довідатися до якої округи, регіону, субконтиненту та континенту вона належить."
 MAPMODE_VICTORYCARDS_DESC:0 "Зафарбовує провінції в залежності від карток перемоги, до яких вони належать (якщо такі є). Наведіть курсор миші на будь-яку провінцію з карткою, щоб довідатися рахунок, який дає ця картка."
 MAPMODE_CULTURE_DESC:0 "Відображає приналежність провінцій до різних культурних груп та відображає імена цих культур."
 MAPMODE_OPINION_DESC:0 "Зафарбовує провінції в залежності від ставлення їхнього власника до обраної держави."
 MAPMODE_COALITION_DESC:1 "Зафарбовує провінції в залежності від ставлення їхнього власника до агресивної експансії обраної держави. Якщо їхня думка про агресивну експансію обраної держави нижче -50, а загальна думка нижче 0, вони можуть приєднатися до коаліції, їхня кольорова шкала буде бурштиново-червоною. Якщо їхня думка про агресивне розширення обраної держави нижче -50, але їхня загальна думка вища 0, їхня колірна шкала буде зелено-бурштиновою. В іншому випадку їхня кольорова гама сіро-зелена. Якщо держава позначена червоним, то вони проти вас в коаліції."
 MAPMODE_TRUCE_DESC:1 "Кольори провінцій залежать від наявності перемир'я між вашою та обраною державою. Гамма змінюється від темно-червоного до жовтого. Якщо країна зафарбована в сірий – перемир'я з нею немає. Зелені смуги вказують, що на зазначену державу є чинні casus belli."
 MAPMODE_UNREST_DESC:0 "Зафарбовує провінції в залежності від рівня заворушень. Червоний колір позначає провінції з більшим рівнем заворушень, жовтим позначається середній рівень заворушень. Зелений колір позначає провінції з низьким або ж відсутнім безладдям. Штрихуванням позначено провінції, захоплені повстанцями."
 MAPMODE_COLONIAL_DESC:0 "Зафарбовує провінції в залежності від колоніальної дальності і можливості колонізації. Зелений колір позначає неколонізовані провінції, які можуть бути колонізовані, червоний – провінції, що перебувають занадто далеко і не можуть бути колонізованими. Синій колір позначає провінції, де здійснюється колонізація. Чим темніший відтінок синього, тим успішніше проводиться колонізація. Сірим кольором позначені вже колонізовані провінції або міста."
 MAPMODE_RIVALS_DESC:0 "Позначає провінції, що належать державам, яких ви призначили суперниками, або які призначили вас своїм суперником."
 MAPMODE_REBELTYPES_DESC:0 "Зафарбовує провінції в залежності від типу повстанців, які діють у вашій державі."
 MAPMODE_GOVERNMENT_DESC:0 "Зафарбовує провінції різними кольорами в залежності від різноманітних типів правління."
 MAPMODE_OVERSEAS_DESC:0 "Зафарбовує всі заморські провінції червоним, тоді як не заморські – зеленим."
 MAPMODE_PLAYERS_DESC:0 "Позначає провінції, які перебувають у володінні гравців, а також відображає імена гравців поверху держав, якими вони грають."
 MAPMODE_CLIMATE_DESC:0 "Зафарбовує провінції в залежності від їхнього клімату, показуючи аридні, арктичні та тропічні провінції."
 MAPMODE_WEATHER_DESC:0 "Зафарбовує провінції в залежності від типу погоди, яку вони мають."
 MAPMODE_TRADE_GOODS_DESC:0 "Відображає товари і в якій провінції вони виробляються."
 MAPMODE_FEDERATIONS_DESC:0 "Відображає федерації, які існують у світі."
 MAPMODE_LOCAL_AUTONOMY_DESC:0 "Чим зеленіша провінція, тим ближче до 0% рівень місцевої автономії. Чим ближче до червоного колір провінції, тим ближче до 100% рівень її автономії."
 MAPMODE_ACCEPTEDCULTURES_DESC:0 "Відображає приналежність провінцій до визнаних культур та відображає назви цих культур.\n Світло-зеленим позначено державну (основну) культуру, темно-зеленим – визнані культури. Культури, що входять до тої ж групи, що й ваша основна культура, позначено жовтим, тоді як невизнані культури – червоним.\nКолір провінції, де відбувається процес зміни культури змінюється на жовтогарячий."
 MAPMODE_SIMPLE_TERRAIN_DESC:0 "Кожен колір відображає певний рельєф місцевості. Синій кордон означає, що війська, які її перетинають, отримують штраф за переправу через ріку. Смугами виділено провінції, що не контролюються своїм власником."
 MAPMODE_PATRIARCHS_DESC:2 "Показує володіння, де є місцеві організації (як-то святі ордени). Додатково, показує висвячених митрополитів і пашів."
 MAPMODE_DEVASTATION_DESC:1 "Відображає рівень розрухи у провінціях. Чим яскравіше червоний, тим більше розруха в провінції. Сірий означає відсутність розрухи."
 MAPMODE_DYNASTY:0 "Династії"
 MAPMODE_DYNASTY_DESC:0 "Зафарбовує провінції в залежності від правлячої династії та відображає імена цих династій."
 MAPMODE_TRADE_LEAGUES:0 "Торговельні ліги"
 MAPMODE_TRADE_LEAGUES_DESC:0 "Зафарбовує провінції в залежності від того, до якої з Торговельних Ліг вони належать. Якщо ви є лідером Торговельної Ліги, ви побачите які держави можуть приєднатися до вашої Торговельної Ліги і чи вони бажатимуть цього."
 MAPMODE_GREAT_POWERS:0 "Великі Держави"
 MAPMODE_GREAT_POWERS_DESC:0 "Зафарбовує провінції в залежності від поточного статусу Великої Держави. Великі Держави зафарбовані своїми державними кольорами, тоді як решта держав фарбується у сірих тонах. Держави, що втратили статус Великої, позначені смугами."
 MAPMODE_LOOT:0 "Грабунок"
 MAPMODE_LOOT_DESC:0 "Зафарбовує провінції, що належать державам, з якими ви знаходитесь у стані війни, в залежності від кількості здобичі, яку можна награбувати."
 MAPMODE_STATES_TERRITORIES:0 "Володіння і території"
 MAPMODE_STATES_TERRITORIES_DESC:0 "Зафарбовує провінції, які є володіннями зеленим, а провінції, що належать до територій – жовтим. Володіння, де розташована столиця позначено світло-зеленим кольором."
 MAPMODE_STATES_EDICTS:0 "Едикти володіння"
 MAPMODE_STATES_EDICTS_DESC:0 "Зафарбовує провінції в залежності від їхнього поточного едикту."
 REDUCE:0 "Зменшити"
 arid:0 "Аридний"
 COLONIAL_CORE:0 "Провінція $PROV|Y$ має статус національної території. Вона не спричиняє надрозширення, але матиме високий рівень автономії і припинить мати наше національне ядро у разі завоювання іншими державами. Територіальні провінції можуть бути перетворені на повноцінні національні, у разі коли вони стануть частиною державного володіння."
 OVEREXT_PROV_PART:0 "§Y$VAL|%$§! від загального значення надрозширення!"
 SORT_OVEREXT:0 "Сортувати за надрозширенням"
 COURTVIEW_UNION_WITH:0 "Особиста унія з державою $WHO|Y$"
 COUNTRY_MODIFIERS:0 "Модифікатори держави"
 LEDGER_TRADING_BONUS:0 "Торгов. бонус"
 CLAIMS:0 "Права і претензії"
 ABANDON_CORE_COST:0 "Відмова визнавати провінцію своєю національною дозволить покращити стосунки з цільовою державою. Це буде коштувати §Y$COST$§! престижу."
 ABANDON_CORE_TITLE:0 "Відмовитися від національної провінції"
 RETURN_PROVINCE_DESC_1:0 "Повернення провінції §Y$PROV$§! державі §Y$COUNTRY$§! покращить їхню думку про вас на $AMT$."
 RETURN_PROVINCE_DESC_2:0 " Це коштуватиме вам §R$COST$§! престижу."
 RETURN_PROVINCE_TITLE:0 "Повернути провінцію"
 ABANDON_CORE_OWNER:0 "Неможливо відмовитися від національної провінції, поки ви володієте нею."
 CONSTRUCTION_QUEUE:0 "Черга"
 CONSTRUCTION_QUEUE_NONE:0 "Немає."
 DISMANTLE_HRE_PRESTIGE_DESC:0 "§G$VAL$§! престижу буде отримано за ліквідацію Священної Римської Імперії."
 DEFENDER_HAVE_POSITIVE_PRESTIGE:0 "Поточний захисник має позитивний престиж."
 PROVVIEW_OCCUPIED_BY:0 "§YЗахоплено: $WHO$§!"
 PROVVIEW_OCCUPIED_BY_YOU:0 "§YЗахоплено вами§!"
 TRANSFER_OCCUPATION_SHIELD_DESC:1 "Клацніть на щит, якщо хочете передати захоплену провінцію своєму союзникові у поточній війні.\n§YЗатиснутий шифт дозволить передати множину за раз.§!"
 PROVINCE_TRANSFER_UNDER_SIEGE:0 "Неможливо передати контроль над провінцією, яка під облогою."
 PROVINCE_TRANSFER_NO_VALID:0 "У вас немає союзників, яким можна передати провінцію."
 TRANSFER_NOT_CONTROLLER:0 "Лише той, хто захопив провінцію, може передати контроль над нею."
 TRANSFER_VALID_ALLIES:0 "Ви можете передати контроль: $LIST$."
 CANCEL_MISSIONARY:0 "Припинити процес навернення."
 CANCEL_CULTURE_CONVERT:0 "Припинити асиміляцію."
 CANCEL_CORE_PROGRESS:0 "Припинити націоналізацію провінції."
 CANCEL_BUILDING:0 "Припинити будівництво."
 CANCEL_UNIT_PRODUCTION:0 "Припинити формування загону."
 CANCEL_MIL_CON_RULES:0 "Клацніть щоб §Rприпинити§! будівництво.\n\nЯкщо прогрес становить менше §Y$PERC1|%0$§!, ми отримаємо компенсацію в розмірі §G$PERC2|%0$§! від вартості будівлі. Якщо більше, то ми отримаємо лише §R$PERC3|%0$§!"
 CANCEL_MIL_CON_REFUND:0 "Отримаємо:"
 CANCEL_MIL_CON_REFUND_CASH:0 "CASH|+1$¤"
 CANCEL_MIL_CON_REFUND_MAN:0 "$MAN|+0$ рекрутів"
 CANCEL_MIL_CON_REFUND_SAILOR:0 "$MAN|+0$ моряків."
 HAS_NO_MANUFACTORY:0 "Немає мануфактури!"
 DESTROY_BUILDING_LEVEL_LIMIT:0 "Ви не можете знищити будинок групи $GROUP|Y$ до тих пір, поки не побудуєте будинок $LEVEL|Y$ рівня."
 PROVINCE_VALUES:0 "Вартість провінції"
 NO_ARMY_CONSTRUCTIONS_QUEUE:0 "Черга набору полків порожня!"
 NO_NAVY_CONSTRUCTIONS_QUEUE:0 "Черга будівництва флоту порожня!"
 NO_CONSTRUCTIONS_QUEUE:0 "Черга будівництва порожня."
 CULTURE_DESC:0 "Якщо культура провінції відрізняється від національної, вона виробляє менше товарів і, крім того, у ній підвищується ризик повстання. Культури автоматично класифікуються як визнані або невизнані, в залежності від того яка частина населення належить до певної культури. Зазвичай культура більшості жителів держави вважається державною (основною). Володіння провінціями однієї культурної групи з вашою державною культурою, передбачає менший штраф, ніж володіння провінціями з абсолютно іншими культурами."
 PROVVIEW_CLAIM_CORE_DESC:0 "Держави, перераховані нижче, вважають, що мають права на дану провінцію. Вони можуть мати претензії на неї, або вважають її своєю національною."
 SUPPLY_LIMIT_EFFICIENCY:0 "Ефективність постачання"
 TAX_INCOME_EFFICIENCY:0 "Ефективність оподатковування"
 NO_SETTLEMENT_PRODINCOME:0 "Неколонізовані провінції не дають доходу від виробництва."
 MANPOWER_EFFICIENCY:0 "Ефективність приросту рекрутів"
 SAILORS_EFFICIENCY:0 "Ефективність поповнення моряків"
 TRADE_POWER_EFFICIENCY:0 "Ефективність торговельного впливу"
 OUTLINER_DIPLOMAT_DELAYED:0 "§GКлацніть ПКМ, щоб відкликати дипломата.§!"
 OUTLINER_AUTODIPLOMAT_CHECKDATES:0 "Востаннє цілі перевірялися $LASTDATE|Y$. Повторно буде перевірено $NEXTDATE|Y$."
 OUTLINER_AUTODIPLOMAT_INSTANT:0 "Цей дипломат автоматично покращує стосунки у відповідності до правила '$RULENAME|Y$'."
 OUTLINER_AUTODIPLOMAT_DELAYED:0 "§GПКМ§! щоб скасувати автоматичні дії цього дипломата."
 OUTLINER_CANCEL:0 "\n§GПКМ щоб скасувати.§!"
 COUNTRYRIGHTCLICK_INTERESTING_MARK:0 "Позначити державу як особливо важливу."
 COUNTRYRIGHTCLICK_INTERESTING_UNMARK:0 "Зняти з держави позначення важливості."
 MP_SERVER_ID:1 "ID сервера: $VAL|Y$ (Клацніть, щоб скопіювати)"
 OVEREX:0 "Надрозширення"
 BORDER_DISTANCE:0 "Відстань між кордонами"
 DIPLO_ATTITUDE:0 "$ATTITUDE$ ставлення до держави $COUNTRY$: "
 DIPLO_ATTITUDE_MULTI:0 "Держава $COUNTRY01$ має $ATTITUDE$ ставлення стосовно держави $COUNTRY02$: "
 ATTITUDETO:0 "§YСтавлення $ADJ$ої держави до держави $NAME$:§!"
 PERSONALITYOF:0 "§YОсобистість:§!"
 GOVERNMENT_RANK_LESS_THAN:0 "Рівень Уряду нижче ніж "
 GOVERNMENT_RANK_GREATER_THAN:0 "Рівень Уряду щонайменше "
 BORDER_DISTANCE_LESS_THAN:1 "Відстань між кордонами з державою $COUNTRY|Y$ менша ніж"
 BORDER_DISTANCE_AT_LEAST:1 "Відстань між кордонами з державою $COUNTRY|Y$ щонайменше"
 DIPLOMATIC_DISTANCE_LESS_THAN:0 "Відстань між столицями менша ніж"
 DIPLOMATIC_DISTANCE_AT_LEAST:0 "Відстань між столицями щонайменше"
 PROVINCE_DISTANCE_LESS_THAN:0 "Відстань між $FROM|Y$ і $TO|Y$ менше, ніж $VALUE|Y$."
 PROVINCE_DISTANCE_AT_LEAST:0 "Відстань між $FROM|Y$ і $TO|Y$ принаймні $VALUE|Y$"
 ANTAGONISM_LESS_THAN:0 "Ворожнеча менша ніж"
 ANTAGONISM_AT_LEAST:0 "Ворожнеча щонайменше"
 BEFRIEND_LESS_THAN:0 "Дружба менша ніж"
 BEFRIEND_AT_LEAST:0 "Дружба щонайменше"
 PROTECT_LESS_THAN:0 "Заступництво менше ніж"
 PROTECT_AT_LEAST:0 "Заступництво щонайменше"
 VASSALIZE_LESS_THAN:0 "Бажання стати васалом менше ніж"
 VASSALIZE_AT_LEAST:0 "Бажання стати васалом щонайменше"
 PROTECTORATE_LESS_THAN:0 "Бажання мати протекторат менше ніж"
 PROTECTORATE_AT_LEAST:0 "Бажання мати протекторат щонайменше"
 ALLIANCE_LESS_THAN:0 "Бажання вступити в альянс менше ніж"
 ALLIANCE_AT_LEAST:0 "Бажання вступити в альянс щонайменше"
 THREAT_LESS_THAN:0 "Загроза менша ніж"
 THREAT_AT_LEAST:0 "Загроза щонайменше"
 RIVALRY_LESS_THAN:0 "Суперництво менше ніж"
 RIVALRY_AT_LEAST:0 "Суперництво щонайменше"
 TRUST_LESS_THAN:0 "Довіра менша ніж"
 TRUST_AT_LEAST:0 "Довіра щонайменше"
 NAVY_NONE:0 "Немає флоту"
 ARMY_NONE:0 "Немає армії"
 ARMY_BALANCE_LESS_THAN:2 "Розміри армій менше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 ARMY_BALANCE_AT_LEAST:2 "Розміри армій становлять щонайменше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 NAVY_BALANCE_LESS_THAN:2 "Розміри флотів менше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 NAVY_BALANCE_AT_LEAST:2 "Розміри флотів становлять щонайменше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 MILITARY_STRENGTH_LESS_THAN:2 "Військова сила менше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 MILITARY_STRENGTH_AT_LEAST:2 "Військова сила становить щонайменше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 ARMY_STRENGTH_LESS_THAN:2 "Могутність армій менше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 ARMY_STRENGTH_AT_LEAST:2 "Могутність армій становить щонайменше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 NAVY_STRENGTH_LESS_THAN:2 "Могутність флотів менше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 NAVY_STRENGTH_AT_LEAST:2 "Могутність флотів становить щонайменше §Y$PERCENTAGE$%§! порівняно з державою $COUNTRY|Y$"
 AI_PERSONALITY_CHANGE:0 "Ставлення змінюється на §Y$PER$§W.\n"
 AI_ATTITUDE_CHANGE:0 "Ставлення до держави §Y$COUNTRY$§! змінюється на §Y$ATT$§W.\n"
 IS_ON_CONTINENT:0 "Є присутнім в"
 IS_NOT_ON_CONTINENT:0 "Не є присутнім в"
 human:0 "Людина"
 an_ai_capitalist:0 "буде адміністратором"
 an_ai_diplomat:0 "буде дипломатом"
 an_ai_colonialist:0 "буде колонізатором"
 an_ai_balanced:0 "буде мати збалансовану особистість"
 an_ai_militarist:0 "буде мілітаристом"
 ai_capitalist:0 "Адміністратор"
 ai_diplomat:0 "Дипломат"
 ai_colonialist:0 "Колонізатор"
 ai_balanced:0 "Збалансований"
 ai_militarist:0 "Мілітарист"
 human_desc:0 "§Y$ADJ$ий§! правитель є людиною (гравець)."
 ai_capitalist_desc:0 "§Y$ADJ$ий§! правитель є адміністратором. Вони прагнуть покращити свою економіку будь-якими способами, але воліють не вступати у війну, якщо це не стосується їхніх торгових інтересів."
 ai_diplomat_desc:0 "§Y$ADJ$ий§! правитель є дипломатом. Вони шукатимуть впливових друзів та намагатимуться розширити свої дипломатичні зв'язки, але вони воліють не воювати, якщо мова не йде про повернення втрачених територій."
 ai_militarist_desc:0 "§Y$ADJ$ий§! правитель є мілітаристом. Вони будуть прагнути до агресивного розширення за рахунок своїх сусідів і не втратять шансу розв'язати війну."
 ai_balanced_desc:0 "§Y$ADJ$ий§! правитель має збалансовану особистість. Вони будуть намагатися знайти баланс між війною, дипломатією і торгівлею, не обираючи для себе якийсь єдиний шлях."
 ai_colonialist_desc:0 "§Y$ADJ$ий§! правитель є колонізатором. Їхні інтереси полягають у заморській експансії і вони намагатимуться підтримувати хороші відносини зі своїми сусідами на континенті."
 attitude_unknown:0 ""
 attitude_human:0 "Людина"
 attitude_hostile:0 "Вороже"
 attitude_rivalry:0 "Конкуруюче"
 attitude_outraged:0 "Обурене"
 attitude_friendly:0 "Дружнє"
 attitude_protective:0 "Заступницьке"
 attitude_overlord:0 "Сюзерен"
 attitude_loyal:0 "Покірне"
 attitude_disloyal:0 "Непокірне"
 attitude_rebellious:0 "Бунтівне"
 attitude_domineering:0 "Домінуюче"
 attitude_threatened:0 "Налякане"
 attitude_neutral:0 "Нейтральне"
 attitude_defensive:0 "Оборонне"
 attitude_allied:0 "Союзник"
 attitude_unknown_desc:0 "§Y$COUNTRY$§! не має уяви про державу §Y$TARGET$§!."
 attitude_human_desc:0 "§Y$COUNTRY$§! перебуває під керуванням людини. Ставлення до держави §Y$TARGET$§! залежить тільки від гравця."
 attitude_hostile_desc:1 "§Y$COUNTRY$§! не приховує ворожого ставлення до держави §Y$TARGET$§! й всіма способами прагне її завоювати – частково, або повністю. Дипломатичні переговори з ворожою державою практично неможливі."
 attitude_rivalry_desc:0 "§Y$COUNTRY$§! вважає державу §Y$TARGET$§! своїм суперником і намагається перевершити її в усьому. Найчастіше суперником призначають приблизно однакову за силою та розмірами державу, чиї кордони проходять поблизу власних. Дипломатичні переговори з суперником практично неможливі."
 attitude_defensive_desc:1 "§Y$COUNTRY$§! розглядає державу §Y$TARGET$§! як союзника у захисному альянсі. Вони навряд чи приєднаються до загарбницьких війн, розпочатих цією державою."
 attitude_outraged_desc:0 "§Y$COUNTRY$§! розглядає державу §Y$TARGET$§! як агресивного завойовника й прагне поставити цю державу на місце, зменшивши її у розмірі. Вона може сформувати проти такого агресора коаліцію."
 attitude_friendly_desc:1 "§Y$COUNTRY$§! розглядає державу §Y$TARGET$§! як природного союзника проти зовнішніх загроз. Вона з великою ймовірністю укладе альянс з цією державою."
 attitude_protective_desc:0 "§Y$COUNTRY$§! розглядає державу §Y$TARGET$§! як частину своєї сфери впливу та буде захищати її від агресорів, гарантуючи незалежність або зробивши її своїм васалом."
 attitude_overlord_desc:0 "§Y$COUNTRY$§! вважає державу §Y$TARGET$§! своїм васалом."
 attitude_loyal_desc:0 "§Y$COUNTRY$§! вважає державу §Y$TARGET$§! своїм сюзереном."
 attitude_disloyal_desc:0 "§Y$COUNTRY$§! вважає, що їхній сюзерен, держава §Y$TARGET$§!, пригноблює їх. Швидше за все вони не прийматимуть участі у війнах сюзерена."
 attitude_rebellious_desc:0 "§Y$COUNTRY$§! вважає державу §Y$TARGET$§! кривавим тираном. Є значна вірогідність того, що вони оголосять війну за незалежність."
 attitude_domineering_desc:0 "§Y$COUNTRY$§! розглядає державу §Y$TARGET$§! як свого майбутнього васала й не змарнує нагоди оголосити війну з метою нав'язати васалітет."
 attitude_threatened_desc:0 "§Y$COUNTRY$§! розглядає державу §Y$TARGET$§! як загрозу своїй незалежності. Вона буде шукати можливість подружитися з нею заради своєї безпеки, але може й знайти сильних союзників, якщо перший варіант обернеться невдачею."
 attitude_neutral_desc:1 "§Y$COUNTRY$§! не має певної думки про державу §Y$TARGET$§! через велику відстань або відсутність спільних інтересів. Вести переговори з нейтральною нацією трохи складніше."
 attitude_allied_desc:0 "§Y$COUNTRY$§! вважає державу §Y$TARGET$§! цінним союзником."
 WAR_ENTHUSIASM_HIGH:0 "§GВисоке§!"
 WAR_ENTHUSIASM_MEDIUM:0 "§YСереднє§!"
 WAR_ENTHUSIASM_LOW:0 "§RНизьке§!"
 WAR_ENTHUSIASM:0 "Їхнє бажання воювати: "
 MODIFIER_MAX_COALITION_SIZE:0 "Максимальний розмір коаліції"
 SIEGE_MERGE_UNITS:0 "Об'єднати полки, які ведуть облогу."
 SIEGE_MERGE_UNITS_MERGED:0 "Полки, які ведуть облогу вже об'єднано."
 SIEGE_MERGE_UNITS_DEFENDER:0 "Ви не є атакувальником, тому не можете об'єднувати полки."
 SIEGE_PHASE_DESC:0 "Кількість днів до наступної фази облоги: $DAYS|Y$. \nКожна фаза триває $PHASEDAYS|Y$ днів."
 SIEGE_ATTACKER_NO_COMMANDER:0 "Атакувальник не має командувача облогою."
 SIEGE_BONUS_LEADER:0 "Модифікатор прогресу облоги від §Yнавичок облоги командувача§!."
 SIEGE_BONUS_ARTILLERY:0 "Модифікатор прогресу облоги від §Yартилерії§!."
 SIEGE_BONUS_FORT:0 "Модифікатор прогресу облоги від §Yрівня укріплень§!."
 SIEGE_BONUS_BREACH:0 "Модифікатор прогресу облоги від §Yпролому в стіні§!."
 SIEGE_BONUS_NOBLOCKADE:0 "Модифікатор прогресу облоги від §YНЕ заблокованих§! портів."
 SIEGE_BONUS_BLOCKADED:0 "Модифікатор прогресу облоги від §Yзаблокованих§! портів."
 SIEGE_PROGRESS_DESC:0 "Модифікатор прогресу від поточного §Yстатусу облоги§!. Значення може змінюватися від $MIN|Y0$ до $MEMORY|Y0$."
 PORT_BLOCKADE:0 "$WHO$ (Базовий податок: $TAX|0$) блокує $VAL|0$"
 PORT_BLOCKADE_DESC:0 "Ефективність блокади розраховується шляхом порівняння загальної швидкості вашого флоту та базового податку провінції."
 PORT_BLOCKADE_BLOCKADE_POWER:1 "Загальна потужність блокади завдяки кораблям: $SPEED|0G$"
 PORT_BLOCKADE_CAPACITY:0 "Цей флот може повністю заблокувати провінції, що мають тут порти, загальний розвиток яких дорівнює $VAL|Y0$."
 NUM_OF_SHIPS:0 "Загальна кількість кораблів"
 SIEGE_BONUS_DICE:0 "Модифікатор прогресу облоги від останнього §Yкидка кістки§!."
 CLOSE_UNIT_VIEW:0 "§YЗакрити§!"
 DESELECT_ALL:0 "§YЗакрити все§!"
 DESELECT_ALL_DESC:0 "Це скасує вибір усіх підрозділів."
 REORGANIZE_UNITS:0 "§YПерерозподілити підрозділи§!"
 SELECT:0 "Вибрати"
 RIGHT_CLICK_TO_CENTER:0 "Клацніть ПКМ, щоб перейти до цього підрозділу."
 CLICK_TO_CENTER:1 "§YПерейти до цього підрозділу.§!"
 GAMESETUP_SHOW_UNSAFE:0 "Показати несумісні файли збереження"
 MENU_BAR_LOCALGAMES:0 "Локальний диск"
 MENU_BAR_CLOUDGAMES:0 "Steam Cloud"
 MENU_BAR_DELETE_ALL:0 "Видалити все"
 CONFIRMDELETETITLE:0 "Видалити файл"
 CONFIRMDELETETEXT:0 "Ви впевнені, що хочете видалити §Y$NAME$§!?"
 CONFIRM_DELETE_ALL_TITLE:0 "Видалити всі файли"
 CONFIRM_DELETE_ALL_TEXT:0 "Ви впевнені, що хочете видалити ВСІ збережені ігри у цьому каталозі? Цю дію не можливо буде скасувати."
 MENU_BAR_DISK_QUOTA:0 "Доступно $AVAIL$ з $TOTAL$"
 FE_CONTENT:0 "Контент"
 CULTURE_CONSTRUCTIONS:0 "Асиміляція культур"
 CORE_CONSTRUCTIONS:0 "Націоналізація"
 ADVISOR_FIRE:0 "Звільнити радника"
 NO_ADVISOR_HIRED:0 "Ви не наймали жодного $POWER$ радника"
 ECOVIEW_MAINT_TP_PENALTY:0 "Торгова сила легких кораблів: $VAL$"
 HRE_VOTE_SCORE_DESC:0 "Один раз на місяць §Y$ELECTOR$§w визначатиме яку державу вони підтримуватимуть. Вони надаватимуть перевагу державі, яка матиме найбільшу кількість балів голосування."
 HRE_OTHER_VOTE_SELF:0 "Курфюрст з держави §Y$ELECTOR$§w підтримує свою кандидатуру на імператорський престол."
 CURRENTLY_VOTING_FOR_SELF:0 "На даний момент ми підтримуємо свою кандидатуру."
 HRE_RELATION_SELF:0 "Ми оцінюємо свою державу в §Y$POINTS$§w балів при виборі кандидата на імператорський престол."
 DLC_NEWITEMINSTALLED_TITLE:0 "Встановлено новий контент"
 DLC_NEWITEMINSTALLED_DESC:0 "Встановлено доповнення $NAME$. Будь ласка перезапустіть гру."
 DLC_AVAILABLE_TITLE:0 "Доступний новий контент"
 DLC_AVAILABLE_DESC:0 "Доступно §Y$NUM$§! нових DLC"
 IDEAVIEW_ADMINISTRATIVE:0 "Адміністративні ідеї"
 IDEAVIEW_DIPLOMATIC:0 "Дипломатичні ідеї"
 IDEAVIEW_MILITARY:0 "Військові ідеї"
 POLICYVIEW_ADMINISTRATIVE:0 "Адміністративна політика"
 POLICYVIEW_DIPLOMATIC:0 "Дипломатична політика"
 POLICYVIEW_MILITARY:0 "Військова політика"
 CHANGE_CULTURE:0 "Змінити культуру"
 CHANGE_CULTURE_TO:0 "Змінити культуру на $CULTURE$§z§!у"
 DEVELOP_PROVINCE:0 "Розвивати провінцію"
 EXPLOIT_PROVINCE:0 "Визискати розвиток"
