l_ukrainian:
 # map
 PROV4790:0 "Панґґуянан"
 arrest_phetracha_tt:0 "Петрачу буде заарештовано."
 majapahit.1.t:0 "Поява героя"
 majapahit.1.d:1 "Не так давно до нашого двору прибув небіж прем'єр-міністра, про якого було абсолютно нічого невідомо, крім його імені – Дамарвулан. Він служив конюхом, але незабаром чутки про його природну красу дійшли до дочки міністра і, не дарма кажуть, що легше загасити пожежі, ніж юну любов.\nУчасть, яка чекає на нього за цю образу, ясна як літній день, проте наш[Root.GetMEndA] правитель[Root.GetMEndKaLj] [Root.Monarch.GetName] прокину[Root.GetMEndVSia] вночі, [Root.Monarch.GetHerHis] обличчя залите потом, [Root.Monarch.GetHerHis] очі ширші за сонце: 'Мені наснився сон,' – оголошує [Root.GetSheHe], – 'що молода людина, на ім'я Дамарвулан, врятувала наше королівство.'"
 majapahit.1.a:0 "Можливо, він наш рятівник."
 majapahit.1.b:0 "Вигнати його за злочин."
 damarwulan_tt:0 "§YДамарвулан§! повинен перемогти в §Y5§! битвах проти ворогів §YМаджапагіта§!."
 majapahit.2.t:0 "Перемога Дамарвулана"
 majapahit.2.d:1 "Легше все одно не стає. Гнила кров пахне так само як і наша, очі ворогів сповнені людяності – в ніч напередодні битви Дамарвулан все ще не спить.\nБитва закінчилася переможно, як і будь-яка інша битва для нього. Це вже п'ята битва, і він хотів би, щоб на числі п'ять все закінчилося. Коли він повертається до двору, його приймають з найбільшими почестями, його ім'я повторюється так багато разів, що він забуває, що це його ім'я, і думає, що це просто ще одне слово, що позначає 'перемога'. [Root.Monarch.GetName] підходить до нього, [Root.Monarch.GetHerHis] серце наповнене радістю. 'Юний Дамарвулан, – каже [Root.GetSheHe], – ти вже не такий молодий.'"
 majapahit.2.a:0 "Він стане нашим консортом."
 majapahit.2.b:0 "Він стане спадкоємцем [Root.GetTagOGO]."
 majapahit.2.c:0 "Для нього це велика честь."
 majapahit.3.t:0 "Падіння Маджапагіта"
 majapahit.3.d:0 "Маджапагіт – це імперія в смертельній агонії. Колись центр великої мережі васальних королівств і держав-данників, зараз Маджапагіт практично не має влади за межами столиці. Підтримка Китаєм наших суперників в Малацці, а також наростальна міць Брунею привели до краху нашої гегемонії. Що ще гірше – внутрішня боротьба за спадкоємність загрожує розірвати залишки імперії зсередини."
 majapahit.3.a:0 "Настали темні часи."
 majapahit.4.t:0 "Новий світанок [Root.GetTagOGO]"
 majapahit.4.d:0 "Попри всі труднощі, держава [Root.GetName] знову відродилася після десятиліть потрясінь і занепаду. Стабільність [Root.GetGovernmentOGO], вірність підданих і єдність віри зміцнюють нашу рішучість і нагадують про присягання Гаджі Мади: колись, Маджапагіт буде правити всією Нусантарою."
 majapahit.4.a:0 "Ми повернулися з краю прірви."
 majapahit.5.t:0 "Підйом Демака"
 majapahit.5.d:0 "Все більш автономна мусульманська спільнота в Демаці знайшла собі покровителя в особі маджапагітського принца-відступника на ім'я [Root.demak_sultan.GetName]. [Root.demak_sultan.GetName] не тільки проголосив незалежність султанату Демак, але й прагне захопити трон Маджапагіта. Загрузлі у своїх численних проблемах, ми майже не в змозі перешкодити Демаку зібратися з силами."
 majapahit.5.a:0 "Зрадники!"
 majapahit.6.t:0 "Підйом Матарама"
 majapahit.6.d:0 "Маджапагіт виявився нездатним керувати навіть своїми володіннями на Яві. На півдні острова виникла держава-суперник, яка називає себе султанатом Матарам і претендує на спадщину імперії. [Root.Monarch.GetTitle] мало що може зробити, крім як спостерігати, як [Root.Monarch.GetHerHis] імперія руйнується навколо н[Root.GetMEndEJijogo]."
 majapahit.7.t:2 "Непокора Маджапагіту"
 majapahit.7.d:0 "Правителі держави [maj_tributary_country.GetName] все частіше ігнорують [Root.GetAdjective]е правління. Тепер вони перейшли межу і відкрито кинули виклик, утримуючи данину і не поважаючи наших емісарів."
 majapahit.7.a:0 "Вони про це пошкодують."
 majapahit.7.b:0 "Піти на поступки, щоб відновити їхню відданість."
 majapahit.8.t:0 "[Root.maj_pretender.GetName] претендує на престол"
 majapahit.8.d:0 "Боротьба за спадкоємність стала звичайною справою [Root.Get_UV] [Root.GetTagDE]. З цієї нагоди принц на ім'я [Root.maj_pretender.GetName] зібрав армію і рушив на столицю, щоб повалити [Root.Monarch.GetTitleOGO]."
 majapahit.8.a:0 "Ми розчавимо цього випанка."
 majapahit.9.t:0 "Пропозиція допомоги"
 majapahit.9.d:0 "Ситуація [Root.Get_UV] [Root.GetTagDE] жахлива, але, схоже, ще не все втрачено. Група багатих мусульманських купців звернулася до [Root.Monarch.GetTitleOGO] з пропозицією. Вони щедро заплатять нам за торгові привілеї в наших портах і право вільно сповідувати свою релігію [Root.Get_UV] [Root.GetTagDE]. Бгаттара Саптапрабгу попереджають, що нестабільність імперії може залучити наш народ до іноземної віри торговців, відкинувши від основоположних традицій імперії Маджапагіт. Срібло, однак, є свого роду контраргументом."
 majapahit.9.a:0 "Їхня допомога вітається."
 majapahit.9.b:0 "Нам не потрібна допомога іншовірців. Вигнати їх."
 maj_muslim_traders_tt:0 "§YТорговці будуть євангелізувати свою сунітську віру в наших провінціях§!"
 majapahit.10.t:0 "Поширення ісламу в провінції [maj_sunni_province.GetName]"
 majapahit.10.d:0 "Мусульманські громади існують у Маджапагіті, принаймні, з часів Чжена Хе. Завдяки торгівлі, переміщенню людей та прозелітизації ці спільноти ставали дедалі більшими. У ці темні часи іслам пропонує розраду та стабільність громадам, які у своєму захисті більше не можуть покладатися на державу. Населення провінції [maj_sunni_province.GetName] широко прийняло сунітський іслам на шкоду традиційному гінду-буддизму."
 majapahit.10.a:0 "Вони наважаться відмовитися від богів?"
 maj_harmed_trade_relations:0 "Торгові стосунки постраждали"
 desc_maj_harmed_trade_relations:0 "Ми відмовилися від торговців-мусульман, які хотіли з нами торгувати та опинилися в економічній ізоляції."
 fall_of_majapahit:0 "Падіння Маджапагіта"
 desc_fall_of_majapahit:0 "Майже вся, колись славна імперія, Маджапагіт втрачена, а те, що залишилося, небезпечно близько до повного краху."
 grow_cloves_in_zanzibar_title:0 "Вирощуйте гвоздику на Занзібарі"
 grow_cloves_in_zanzibar_desc:0 "Ми виявили, що гвоздику, комерційно цінний товар, яку наразі можна знайти лише на Островах прянощів, можна вирощувати на острові Занзібар біля узбережжя Африки."
 MAJ_ideas:0 "Маджапагітські ідеї"
 MAJ_ideas_start:0 "Маджапагітські традиції"
 MAJ_ideas_bonus:0 "Маджапагітські амбіції"
 maj_restore_candi:0 "Відновлення святилищ Канді"
 maj_restore_candi_desc:0 "По всій Нусантарі розкидана низка храмів, відомих як Канді. Ми повинні відновити ці храми, де б ми їх не знайшли, щоб відновити віру наших людей."
 maj_gajah_madas_oath:0 "Клятва Гаджа Мади"
 maj_gajah_madas_oath_desc:0 "Гаджа Мада – великий державний діяч і полководець за часів золотої доби Маджапагіта, одного разу поклявся, що не вживатиме прянощі, поки не підкорить усю Нусантару. Його прагнення до єдності та завоювання живе в оновленій імперії Маджапагіт."
 maj_majapahit_armada:0 "Маджапагітська армада"
 maj_majapahit_armada_desc:0 "Колись Маджапагіт правив морями завдяки величезній армаді, в яку входили великі кораблі-джонки. Ми повинні зберегти вірність нашим морським традиціям і повернути флоту колишню славу."
 maj_reformed_bhattara_saptaprabhu:0 "Реформований Бгаттара Саптапрабгу"
 maj_reformed_bhattara_saptaprabhu_desc:0 "Монарха традиційно консультувала рада старійшин королівської родини. Прийшов час реформувати цю інституцію, щоб до неї увійшли найкваліфікованіші фахівці імперії."
 maj_nusantara_tributaries:0 "Данники Нусантари"
 maj_nusantara_tributaries_desc:0 "На піку нашої слави ми мали незліченне число данників по всій Нусантарі. Ми надавали їм більший ступінь автономії, поки вони платили данину і не кидали виклик нашій гегемонії."
 maj_maritime_silk_road:0 "Морський шовковий шлях"
 maj_maritime_silk_road_desc:0 "До наших проблем Маджапагіт очолював розгалужену та прибуткову торговельну мережу, яка доставляла шовк і прянощі зі сходу на захід. Коли ми відвоюємо нашу імперію, ми знову очолимо торгівлю."
 maj_nusa_tenggara:0 "Колонії Нуси-Тенґари"
 maj_nusa_tenggara_desc:0 "Колись Маджапагіт правив десятками дрібних королівств і племен Нуса-Тенґара на сході, а також далекими територіями на Молуккських островах і Сулавесі. У нашій оновленій імперії ми повинні використовувати безпосереднє управління і заснувати на цих островах колонії."
 lanfang_decision_title:0 "Запросити федерації конґсі"
 lanfang_decision_desc:0 "Китайські гірничодобувні компанії прагнуть розпочати розвідку золотих копалень Борнео. Ми повинні дозволити їм створити самоврядні спільноти, щоб вони могли максимально ефективно виконувати свою роботу."
 lanfang_decision_formation_title:0 "Запросити федерації конґсі"
 lanfang_decision_formation_desc:0 "Китайські гірничодобувні компанії прагнуть розпочати розвідку золотих копалень Борнео. Ми повинні дозволити їм створити самоврядні спільноти, щоб вони могли максимально ефективно виконувати свою роботу."
 kongsi_federation:0 "Федерації конґсі"
 kongsi_federation_desc:1 "Демократичний синдикат гірничодобувних республік, які діляться прибутком зі своїми членами. Оскільки республіки конґсі стали більш могутніми, вони також взяли на себе такі державні обов'язки, як освіта та управління сільським господарством."
 estate_nobles_command_of_the_military:0 "Командування військовими"
 estate_nobles_command_of_the_military_desc:0 "Дворянство управляє військовими, зробивши нас залежними від їхньої прихильності в застосуванні сили."
 estate_nobles_command_of_the_military_tt:0 "Найм §Yлідерів§! додає дворянам §Y5 впливу§!"
 EST_VAL_NOBLE_LEADER:0 "Командування військовими: §Y$VAL$%§!"
 restore_dai_viet_title:0 "Відновити Дай В'єт"
 restore_dai_viet_desc:0 "Дай В'єт був розірваний розбратом дворянських будинків. Ми повинні об'єднати в'єтнамський народ і відновити наше королівство."
 northern_and_southern_dynasties:0 "Північна та Південна династії"
 northern_and_southern_dynasties_desc:0 "Конфлікт між двома найвидатнішими дворянськими родинами загрожує розірвати країну, розділивши її на північ і південь."
 dai_disaster.1.t:0 "Північна та Південна династії"
 dai_disaster.1.d:0 "Некомпетентність правителя стала чудовою нагодою для суперницьких шляхетних родин набрати силу і виступити проти правління династії [Root.Monarch.Dynasty.GetName]. Країна зараз стоїть на межі великого поділу між північчю та півднем та кривавого конфлікту, який може тривати десятиліттями."
 dai_disaster.1.a:1 "Підтримати південну династію."
 dai_disaster.1.b:1 "Підтримати північну династію."
 north_vietnam_breaks_away:0 "§RПівнічна частина нашої країни стане новою державою.§!"
 south_vietnam_breaks_away:0 "§RПівденна частина нашої країни стане новою державою.§!"
 dai_disaster.2.t:0 "Дай В'єт розділений"
 dai_disaster.2.d:0 "Дай В'єт зруйновано. Напруженість між родинами [Root.Monarch.Dynasty.GetName] і [vietnam_rival_dynasty.Monarch.Dynasty.GetName] вилилася в драматичний поділ країни на північ і південь, викликавши те, що напевно обернеться довгою та жахливою громадянською війною."
 dai_disaster.2.a:0 "Ми переможемо зрадницьку династію [TOK.Monarch.Dynasty.GetName]!"
 dai_disaster.2.b:0 "Ми переможемо зрадницьку династію [ANN.Monarch.Dynasty.GetName]!"
 dai_disaster.3.t:0 "Династичні протиріччя [Root.Get_UV] [Root.GetTagDE]"
 dai_disaster.3.d:1 "Держава [Root.GetName] по цей час не змогла позбутися династичних чвар, і тепер кільком знатним родинам вдалося консолідувати достатньо влади, що поставило під загрозу цілісність країни. Вони чекають лише достатньо слабкого правителя, щоб реалізувати свій план і занурити країну в хаос."
 dai_disaster.3.a:0 "Ми повинні відновити єдність."
 do_your_missions_tt:0 "Якщо не виконати місію §YЗапобігти поділу§! – станеться лихо §RПівнічна та Південна династії§!"
 confucian_bureaucracy:0 "Конфуціанська бюрократія"
 confucian_bureaucracy_desc:0 "Система правління, де монарх призначає освічених бюрократів для управління державою відповідно до конфуціанських принципів."
 examination_system_reform:0 "Система іспитів"
 examination_system_reform_desc:0 "Ті, хто бажає вступити на державну службу та просуватися по кар'єрній драбині, повинні пройти ряд іспитів, які перевіряють їхні знання конфуціанської літератури та мистецтва управління державою."
 malay_islam_decision_title:0 "Прийняти іслам"
 malay_islam_decision_desc:0 "Іслам швидко стає домінантною релігією в Нусантарі. Нам слід подумати, чи відгукуються слова Пророка в наших серцях."
 opinion_malay_converted_to_islam:0 "Прийняли іслам"
 sakdina_system_reform:0 "Система сакдіна"
 sakdina_system_reform_desc:0 "Кожна людина повинна знати своє місце. Присвоївши числові ранги кожному з наших підданих, вони дізнаються про своє становище одне щодо одного і, що найголовніше, до короля."
 corvee_reform:0 "Система панщини"
 corvee_reform_desc:0 "Кожен селянин зобов'язаний служити державі, коли його закликають. Ця послуга може приймати форму будівельних робіт за грандіозними проєктами короля або ж в армії."
 uparaja_reform:0 "Система упораджей"
 uparaja_reform_desc:0 "Ми повинні познайомити королівських князів з народом і з державним управлінням, перш ніж вони успадкують престол, призначивши їх намісниками."
 ATJ_ideas:0 "Ачехські ідеї"
 ATJ_ideas_start:0 "Ачехські традиції"
 ATJ_ideas_bonus:0 "Ачехські ідеї"
 islamise_sumatra:0 "Ісламізувати Суматру"
 islamise_sumatra_desc:0 "Aceh was the first region in the Malay world to adopt Islam. Despite this, many still practice heathen faiths both in nearby nations and within our own lands. To demonstrate our faith in Allah, we should strive to convert others to the way of the Prophet."
 rise_of_aceh:0 "Підйом Ачеха"
 rise_of_aceh_desc:0 "We have ambitions beyond being a trade entrepot. Aceh will lead a great empire that will span throughout Nusantara."
 military_adventures:0 "Військові авантюри"
 military_adventures_desc:0 "Expansionism without a little risk bears few rewards. We should not be afarid to embark upon long campaigns in distant lands to increase our influence across the world."
 acehnese_moneylending:0 "Ачехське лихварство"
 acehnese_moneylending_desc:0 "A gold currency puts us at an economic advantage compared to many other states, but what really makes Aceh a hive of trade and commerce are the favourably low rates of interest. Our merchants are able to embark on new ventures without worrying that the moneylenders will take half their profits or more."
 export_economy:0 "Експортоорієнтована економіка"
 export_economy_desc:0 "Aceh's economy relies chiefly on the selling of valuable goods such as nutmeg, cloves, and betel nuts. What it struggles with is domestic food production which would allow for extended military and commercial ventures. We should organise trade partnerships to secure this surplus food in exchange for preferrential prices for our spices."
 BLI_ideas:0 "Балійські ідеї"
 BLI_ideas_start:0 "Балійські традиції"
 BLI_ideas_bonus:0 "Балійські ідеї"
 javanese_culture:0 "Imported Javanese Culture"
 javanese_culture_desc:0 "The old rule of Majapahit marked the strong influx of Javanese culture into Bali, most of all in architecture, dance and the theatre, in literature with the introduction of the Kawi script, in painting and sculpture and the wayang puppet theatre."
 aristocratic_refugees:0 "Aristocratic Refugees"
 aristocratic_refugees_desc:0 "With Islam rising and great kingdoms falling in the Indonesian archipelago, displaced Hindu nobility flock to Bali to restore their ancient honour."
 staunch_hindus:0 "Staunch Hindus"
 staunch_hindus_desc:0 "Religious change engulfs the Malay world. Islam and Christianity represent a threat to our ancient Hindu culture, and efforts must be made to preserve it at any cost."
 conquerer_dalems:0 "Conquerer Dalems"
 conquerer_dalems_desc:0 "Balinese monarchs, known as Dalems, have not shied away from ambitious conquests despite the relatively small size of their kingdoms. Dalem Baturenggong, for example, expanded his kingdom of Gelgel  to the islands to the East and even made forays into Java."
 bli_island_settlers:0 "Island Settlers"
 bli_island_settlers_desc:0 "The surrounding islands, with the notable exception of Java, are weak and uncultured in comparison to Bali. It would be relatively easy to settle these islands and introduce good governance, right religion, and a Balinese nobility."
 hindu_reformation:0 "Hindu Reformation"
 hindu_reformation_desc:0 "The half-hearted and disorganised approach to religion adopted by the failed nations that surround us has no place on Bali. Heeding the wise words of Dang Hyang Nirartha the worship of Shiva shall take supreme dominance over all other forms of religious life. New temples shall be constructed and the priesthood reformed to create a renewed and modern Hindu faith."
 rivals_to_slaves:0 "Rivals to Slaves"
 rivals_to_slaves_desc:0 "Why kill our enemies when they still have worth as slaves? Allowing our captured enemies to serve instead of die not only reflects the mercy of Bali's rulers, but also frees up new sources of manpower in the local population."
 SUN_ideas:0 "Сундські ідеї"
 SUN_ideas_start:0 "Сундські традиції"
 SUN_ideas_bonus:0 "Сундські ідеї"
 defensive_moats:0 "Оборонні рови"
 defensive_moats_desc:0 "Наші оборонні укріплення стримували загарбників незліченні рази і залишатимуться ефективними ще довгі роки."
 wooden_architecture:0 "Складна дерев'яна архітектура"
 wooden_architecture_desc:0 "Сундська архітектурна традиція підкреслює красу дерев'яних конструкцій. Нашим храмам і палацам заздрить увесь малайський світ."
 seren_taun:0 "Серен Таун"
 seren_taun_desc:0 "Фестиваль Серен Таун демонструє уклад життя сундського сільського господарства. Він має велике значення в сундських селах."
 sunda_galuh:0 "Союз Сунди та Ґалуха"
 sunda_galuh_desc:0 "Королівства Сунда та Ґалух колись були незалежними, але взаємопов'язаними державами. Ми об'єднали їх у єдине неподільне королівство."
 estate_burghers_orang_laut_alliances:0 "Союзи с оранг-лаутами"
 estate_burghers_orang_laut_alliances_desc:0 "Оранг-лаути – морські кочівники, що живуть в Малаккській протоці та в навколишньому океані. Вони добре нагороджують своїх союзників і можуть використовуватися для відбивання піратів або направлення торговців до наших портів."
 DAI_NAM:0 "Дай Нам"
 DAI_NAM_ADJ:0 "Дай-Намськ"
 VIET_NAM:0 "В'єт Нам"
 VIET_NAM_ADJ:0 "В'єт-Намськ"
 flavor_dai.4.t:0 "Небесний мандат"
 flavor_dai.4.d:0 "Небесний мандат – наш, забраний у недостойних і тиранічних Мін. Ми повинні дати ім'я новій державі, яка пануватиме над Китаєм тисячі років."
 lavor_dai.4.a:0 "Дай Нам."
 lavor_dai.4.b:0 "В'єт Нам."
 lavor_dai.4.c:0 "[Root.GetName]."
 flavor_dai.5.t:0 "Імперська цитадель"
 flavor_dai.5.d:0 "Ми визначили Хюе як потенційне місце для нової столиці [Root.GetTagOGO], проте ми також можемо оживити стару столицю [613.GetCapitalName]. Що б ми не вибрали, ми почнемо будівництво величної імперської цитаделі, з якої буде керувати наш[Root.GetMEndA] славетн[Root.GetMEndAYJ] [Root.Monarch.GetTitle]."
 flavor_dai.5.a:0 "Хюе стане чудовою столицею."
 flavor_dai.5.b:0 "Перейменуйте [613.GetCapitalName] на Ханой."
 stateless_society:0 "Бездержавне суспільство"
 stateless_society_desc:0 "Наш народ свідомо вирішив не організовувати себе в державу, вважаючи за краще просте життя, вільне від гнітючої ієрархії, що панує в низинній країні."
 STATELESS_SOCIETY:0 "Бездержавне суспільство"
 TRIBAL_LEADER:0 "Племінний лідер"
 TRIBAL_LEADER_fem:0 "Племінна лідерка"
 manpower_sailors_on_build_tt:0 "Отримайте §G1000§! рекрутів або §G200§! моряків за будівництво §Yказарм§!, §Yпольових таборів§!, §Yдоків§! і §Yсухих доків§!."
 HARIPHUNCHAI:0 "Гаріпхунчай"
 HARIPHUNCHAI_ADJ:0 "Гаріпхунчайськ"
 DVARAVATI:0 "Двараваті"
 DVARAVATI_ADJ:0 "Двараватійськ"
 BURMA:0 "Бірма"
 BURMA_ADJ:0 "Бірманськ"
 RAMANNADESA:0 "Раманьядеса"
 RAMANNADESA_ADJ:0 "Раманьядеськ"
 lxa_warning_tt:0 "§RОскільки ви граєте за §YЛансанг§!, претенденти, які окупували провінції §Y[4839.GetName]§!, §Y[614.GetName]§!, або §Y[615.GetName]§!, вирвавшись з-під вашої влади, можуть відколотися і створити свої держави.§!"
 flavor_lxa.1.t:0 "Королівство Чампасак"
 flavor_lxa.1.d:0 "Оскільки громадянська війна ще вирує, Чампасак перетворився на незалежне королівство, кероване колишнім принцом Лансанга. Скоро від нашої улюбленої країни нічого не залишиться."
 flavor_lxa.1.a:0 "Ми розчавимо претендентів. Врешті-решт."
 flavor_lxa.2.t:0 "Королівство В'єнтьян"
 flavor_lxa.2.d:0 "Оскільки громадянська війна ще вирує, В'єнтьян перетворився на незалежне королівство, кероване колишнім принцем Лансанга. Скоро від нашої улюбленої країни нічого не залишиться."
 flavor_lxa.3.t:0 "Королівство Луанг Прабанг"
 flavor_lxa.3.d:0 "Оскільки громадянська війна ще вирує, Луанг Прабанг перетворився на незалежне королівство, кероване колишнім принцом Лансанга. Скоро від нашої улюбленої країни нічого не залишиться."
 restore_lan_xang_title:0 "Відновити Лансанг"
 restore_lan_xang_desc:0 "Велика лаоська нація була роздроблена на частини. Від нас залежить возз'єднання нації, через контроль найважливіших міст та усування претендентів на престол."
 custom_idea_transport_power:0 "Марні вправи"
 custom_idea_transport_power_desc:0 "Хоча вкрай малоймовірно, що ми зможемо вижити в серйозному зіткненні, ми навчимо команди наших транспортних кораблів елементарним процедурам посадки, щоб дати їм ілюзію безпеки в разі нападу."
 MLC_ideas:0 "Малакканські ідеї"
 MLC_ideas_start:0 "Малакканські традиції"
 MLC_ideas_bonus:0 "Малакканські амбіції"
 mlc_vassal_princes:0 "Vassal Princes"
 mlc_vassal_princes_desc:0 "Malacca holds a strategic place in the Spice archipelago, if we want to take advantage of this we should start by acquiring some vassal states."
 mlc_maritime_laws:0 "Maritime Laws"
 mlc_maritime_laws_desc:0 "Nusantara is the home of our ancestors, we must accept the place that Allah has given to us and become the main trading port of the region. Nearby nations represent no maritime threat to us."
 mlc_new_hegemony:0 "Malaccan Hegemony"
 mlc_new_hegemony_desc:0 "Ours may be a young nation, but our history is surely not. We must restore the ancient Srivijaya empire to its former glory. Malacca shall be remembered."
 mlc_islamic_sultanate:0 "Islamic Sultanate"
 mlc_islamic_sultanate_desc:0 "It is difficult to spread our faith so far from the home of the Prophet, if we want a peaceful government we should be a little more... flexible. For now."
 mlc_habor_masters:0 "Harbor Masters"
 mlc_habor_masters_desc:0 "Our efforts to ensure religious tolerance in our nation have been paying off and Malacca is now a Nusantaran melting pot, where people from different cultures and faith find a place to rest. As a result of our benevolence, nearby islands are helping us to direct trade to our harbors."
 mlc_daulat:0 "Dualat"
 mlc_daulat_desc:0 "During our ancestors regin, Srivijayan kingship found its strength in the legitimacy of the lineage. As a newly formed nation, Malacca must learn from its ancestors and ensure the Sultan's daulat, sovereignty. He is to rule by the grace of Allah, and it has always been so."
 mlc_jawi_script:0 "Jawi Script"
 mlc_jawi_script_desc:0 "With Classical Malay as Nusantara's lingua franca, it is now time to change the Brahmic scripts into something more fitting to our faith. Jawi is based on our distant cousins Arabic script and it shall be an excellent option to unify Nusantaran writing systems."
 BEI_ideas:0 "Брунейські ідеї"
 BEI_ideas_start:0 "Брунейські традиції"
 BEI_ideas_bonus:0 "Брунейські амбіції"
 bei_galleys:0 "Galley Fleet"
 bei_galleys_desc:0 "The Bruneian fleet has always hold a core position in our national power. We need to think big, but start small. Paying close attention to our galleys should grant us some control over the seas."
 bei_sea_nomads:0 "Sea Nomads"
 bei_sea_nomads_desc:0 "The seafaring people of Orang Laut and Sama-Bajau live in houseboats in the near surroundings of our nation. If we can convince them to pay homage to Brunei, our maritime power may be increased and new sailors could be recruited."
 bei_diplomacy:0 "Bruneian Diplomacy"
 bei_diplomacy_desc:0 "If we want to establish a new thalassocracy in Nusantara, we certainly need some allies. Our diplomats have been present in nearby courts for quite some time now and Bruneian statesmanship has a strong reputation."
 bei_vassals:0 "Hegemon of Borneo"
 bei_vassals_desc:0 "A single island, a single nation. Brunei needs to reach the Kapuas River delta and extend our power over the whole island of Borneo. If we succeed in doing so, other Malay sultanates will have to address us as their leader."
 bei_naval_prowess:0 "Naval Prowess"
 bei_naval_prowess_desc:0 "Our alliances with regional sea nomads have given us a great naval armada. Bruneian ships can now be heard and seen in all Nusantara."
 bei_trade:0 "Merchant Alliances"
 bei_trade_desc:0 "Our merchants can be found as far as Ligor and Siam, but now it is time to look for even more advantageous partnerships. Europeans may have some interest in the region's spice trade, and the Portuguese seem to have the best merchants."
 MSA_ideas:0 "Малайські ідеї"
 MSA_ideas_start:0 "Малайські традиції"
 MSA_ideas_bonus:0 "Малайські амбіції"
 msa_advanced_galley_warfare:0 "Advanced Galley Warfare"
 msa_advanced_galley_warfare_desc:0 "Ours has always been a nation of seafarers, and the benefits of progress have finally arrived to our ships. This new technology should help us to be seen as a serious threat."
 msa_expert_haggling:0 "Expert Hagglers"
 msa_expert_haggling_desc:0 "Our merchant culture has made the Malayan people exceedingly good at trade. We can surely take advantage of our neighbours."
 msa_chart_the_seas:0 "Chart the Isles"
 msa_chart_the_seas_desc:0 "You cannot conquer what you cannot see. In order to become the lighthouse of the Malay archipelago we need to know where the crags are."
 msa_in_every_port:0 "Malay Merchants in Every Port"
 msa_in_every_port_desc:0 "Every coin that goes into the ocean must come back to us."
 msa_sea_nomads_steering:0 "Agreements with the Sea Nomads"
 msa_sea_nomads_steering_desc:0 "We know the seas and the seas know us. The tides have always gone easy on our people and the Sea Nomads have learned to respect that or, at least, fear it. They will be helping us ensure that our trade arrives."
 msa_spice_kings:0 "Spice Kings"
 msa_spice_kings_desc:0 "Our spice trade history goes back as far as 1500 BC, being part of the Maritime Silk Road is one of our greatest prides. There is no land impossible to reach."
 SIA_ideas:0 "Сіамські ідеї"
 SIA_ideas_start:0 "Сіамські традиції"
 SIA_ideas_bonus:0 "Сіамські амбіції"
 sia_royal_poets:0 "Королівські поети"
 sia_royal_poets_desc:0 "Який сенс вигравати війни, якщо нема кому про це співати? Наш двір буде безпечним місцем для поетів, а наша історія стане їхнім джерелом натхнення."
 sia_advanced_elephant_warfare:0 "Просунуті бойові слони"
 sia_advanced_elephant_warfare_desc:0 "В одному з наших найбільших і найстаріших віршів, «Юань Пгай» – «Поразка юанів», понад 100 рядків тексту присвячено перерахуванню і вшануванню кожного з наших бойових слонів. Покажімо їм, чому."
 sia_experienced_ambassadors:0 "Досвідчені посли"
 sia_experienced_ambassadors_desc:0 "У нас величезний досвід в політиці, а світанок нашого королівства характеризувався суперництвом між династіями. Безумовно, що ми можемо заробити певний вплив за допомогою нашої дипломатичної репутації."
 sia_encourage_immigration:0 "Заохочувати імміграцію"
 sia_encourage_immigration_desc:0 "Плато Корат на північному сході нашої країни досить знелюдніле, ми повинні заохочувати інші народи переїжджати до Сіаму й захоплюватися розкішшю нашого королівства."
 sia_integrating_the_realm:0 "Консолідація держави"
 sia_integrating_the_realm_desc:0 "Децентралізована система може призвести до втрати влади в наших віддалених провінціях. Якщо ми встановимо систему Чатусадом, ми отримаємо натомість чотири стовпи, які витримають усю вагу нашого королівства: армія, двір, скарбниця та сільське господарство."
 sia_education_reform:0 "Реформи освіти"
 sia_education_reform_desc:0 "Як сказав наш господь Будда, ми не визнаємо щось, тому що про це часто говорять, поки ми не відчуємо це самі. Освіта – це основа знань, тож якщо ми хочемо досягти успіху в технологіях, нам потрібно досягти успіху в освіті."
 sia_royal_absolutism:0 "Королівський абсолютизм"
 sia_royal_absolutism_desc:0 "Поступатися тільки Богу, ось яким повинен бути король. Вшановані та обоготворені, наші монархи панують над Землею, так само як Боги панують над Небом."
 LFA_ideas:0 "Ланьфанські ідеї"
 LFA_ideas_start:0 "Ланьфанські традиції"
 LFA_ideas_bonus:0 "Ланьфанські амбіції"
 lfa_free_elections:0 "Вільні вибори"
 lfa_free_elections_desc:0 "Кожній людині в нашій державі слід надати частку нашого уряду. Підступним шляхам плутократії тут не місце."
 lfa_mining_syndicates:0 "Гірничі синдикати"
 lfa_mining_syndicates_desc:0 "Діти Землі, вставайте! Ми повинні об'єднатися проти грошової тиранії, яка оточує наш світ. Інтереси народу повинні бути поставлені вище інтересів еліт."
 lfa_careful_diplomacy:0 "Ретельна дипломатія"
 lfa_careful_diplomacy_desc:0 "Інші країни можуть підозріло поставитися до нашого безпрецедентного демократичного успіху. Ми повинні триматися в тіні, але при цьому стежити за тим, щоб демократія завжди перемагала."
 lfa_national_militia:0 "Національне ополчення"
 lfa_national_militia_desc:0 "Діти пороху, вставайте, піднімайтесь знову! Необхідно створити національне ополчення, щоб захистити нас від ворогів нашої нації."
 lfa_integrate_local_communities:0 "Інтегрувати місцеві громади"
 lfa_integrate_local_communities_desc:0 "Не повинно бути розбіжностей між людиною і його ближнім. Культурні відмінності роблять нас багатшими, а не біднішими. Ланьфан – безпечне місце для кожної працьовитої людини."
