l_ukrainian:
 MAY_MERCHANTS:0 "Можна посилати §Yторговців§W.\n"
 dip_tech_cs_17_desc:0 "Подальший розвиток транспортних кораблів дозволив будувати більші та швидші судна, зберігаючи при цьому простоту і дешевизну флейтів. Торгові кораблі стали окремим класом, відмінним від військових суден."
 dip_tech_cs_18_desc:0 "Застосування різноманітних винаходів у морських битвах потребувало нових тактик. Еволюція бортових гармат означала, що намагання атакувати ворожий корабель з борту – більше не самий ефективний спосіб атаки, натомість таким способом стало формування бойової лінії для спрямування найбільшої вогневої потужності на ворога."
 dip_tech_cs_19_desc:0 "Військовий галеон, також відомий як швидкісний галеон, був створений за рахунок зменшення палуб звичайного галеону. Збільшення маневреності за рахунок числа гармат виявилася корисною в бою."
 dip_tech_cs_20_desc:0 "Навіть на початку XVII століття постійно діючі військові флоти були досить малими – навіть Морські Держави переважно утримували морські сили тільки для своїх першочергових потреб. Не дивлячись на це, з часом, ми рухаємося у напрямку більших, професійних флотів. Якщо ми не хочемо, щоб наші суперники випередили нас у морських перегонах, ми маємо докласти всіх зусиль для створення більшого, постійно діючого флоту з адміністративною структурою для його утримання та можливістю постійної військово-морської кар'єри для наших офіцерів."
 dip_tech_cs_21_desc:0 "Вперше застосована берберськими піратами, ця галера мала менше озброєння ніж галеас, але була компактнішою і маневренішою. Висока маневреність надавала значної переваги в бою."
 dip_tech_cs_22_desc:0 "У 1614 році якийсь дивакуватий лікар написав трактат, припускаючи що цинга – наслідок неправильної дієти і що її можна вилікувати за допомогою соку лимону або лайму. Як виявилося, цей дивний метод й справді працює і сік лайму став складовою раціону наших моряків. Тепер у інших країнах нас називають 'лаймі'."
 dip_tech_cs_23_desc:0 "Спочатку фрегатами називали швидкі і маневрені кораблі супроводу. Згодом фрегат став окремим класом військового корабля, призначеного для підтримки лінійних кораблів."
 dip_tech_cs_24_desc:0 "Спеціальна версія фрегату, розроблена для операцій в Балтійському морі. Зменшена осадка і додання весел дали кораблю чудову маневреність на мілководді. Проте довелося пожертвувати можливістю виходу в океан."
 dip_tech_cs_25_desc:0 "Додання третьої палуби зменшило маневреність, але збільшило вогневу потужність на близьких дистанціях. Додаткова палуба дозволяла такому кораблю обстрілювати палуби двопалубних суден, тримаючи у той самий час свою палубу захищеною."
 dip_tech_cs_26_desc:0 "Ост-Індійські кораблі були найбільшими торговими кораблями, маючи тоннаж до 1000 тонн, і довжину більше 53-х метрів. Ці королеви океанів були найзручнішим способом перевезення вантажів і людей по всьому світу."
 dip_tech_cs_27_desc:0 "Життя в морі повне небезпек, і тому всі злочини повинні жорстко каратися. Якщо не буде достатнього ефекту стримування, то ми можемо зіштовхнутися з великими проблемами. З часом виникла система публічних покарань і нашим завданням є її формалізація. Це значно підвищить дисципліну в морі."
 dip_tech_cs_28_desc:0 "Із зростанням торгівлі росли і ризики. Необхідно розробити нові шляхи для накопичення і захисту капіталу. У акціонерних товариствах усі ризики підприємства розподіляються між багатьма акціонерами."
 dip_tech_cs_29_desc:0 "Спочатку мічманами називали досвідчених моряків, які служили у середній частині корабля. Чоловіки, які прагнули стати офіцерами, намагалися отримати цю роль. Якщо ми узаконимо це звання та зробимо його умовою для отримання рангу офіцера, то наші майбутні капітани краще розумітимуть кораблі, якими будуть командувати."
 dip_tech_cs_30_desc:0 "Подальше зниження ризику пов'язане з розвитком страхування. За невелику щомісячну платню люди зможуть повністю компенсувати всі ризики, що суттєво позначиться на ефективності торгівлі."
 dip_tech_cs_31_desc:0 "Ми будуватимемо кораблі, які будуть трохи швидшими, ніж у наших ворогів. Навіть якщо від цього не буде ніякої військової користі, це збільшить бойовий дух наших моряків та змусить наших ворогів бути обачнішими, вступаючи у бій з рівнозначними силами нашого флоту."
 dip_tech_cs_32_desc:0 "Тривалий застій торгівлі між Європою і Китаєм породив дефіцит срібла в Європі і у всьому світі. Перехід від срібла до золота для карбування монет дозволить оживити торгівлю у всьому світі."
 FROM_TECH:0 "Від технології: $VAL|%=+1$"
 FROM_TECH_NON_PERC:0 "Від технології: $VAL|=+0$\n"
 CURRENT_TECH_DESC:0 "Поточний технологічний рівень: §Y'$TECH$'§!."
 central_african:0 "Центрально-африканська"
 central_african_desc:0 "У центрально-африканській технологічній групі, технології дорожчі на 65% (165%)."
 east_african:0 "Східно-африканська"
 east_african_desc:1 "У східно-африканській технологічній групі, технології дорожчі на 50% (150%)."
 western_desc:0 "У західній технологічній групі, ціна на технології стандартна (100%)."
 eastern_desc:0 "У східній технологічній групі, технології дорожчі на 20% (120%)."
 ottoman_desc:0 "У османській технологічній групі, технології дорожчі на 25% (125%)."
 muslim_desc:0 "У мусульманській технологічній групі, технології дорожчі на 40% (140%)."
 indian_desc:0 "У індійській технологічній групі, технології дорожчі на 50% (150%)."
 chinese_desc:0 "У китайській технологічній групі, технології дорожчі на 60% (160%)."
 nomad_group_desc:0 "У кочовій технологічній групі, технології дорожчі на 75% (175%)."
 sub_saharan_desc:0 "У західно-африканській технологічній групі, технології дорожчі на 60% (160%)."
 new_world_desc:0 "У технологічній групі Нового Світу, технології дорожчі на 150% (250%)."
