l_ukrainian:
 theocracy.1.t:0 "Державі $COUNTRY$ потрібен спадкоємець"
 EVTOPTA1026:0 "Для нас це неприйнятно"
 EVTNAME1027:0 "Боротьба Мексики за незалежність"
 EVTDESC1027:0 "Кілька десятиліть поганого колоніального правління і безгосподарності викликали незадоволення серед великих груп поселенців. Їх прагнення до незалежності міцніє з кожним днем, і великі повстання спалахують у кількох наших колоніях."
 EVTOPTA1027:0 "Ми не можемо дозволити собі ігнорувати це"
 EVTNAME1028:0 "Боротьба Колумбії за незалежність"
 EVTDESC1028:0 "Сторіччя колоніальної залежності спровокувала ріст націоналізму серед поселенців. Відносини нового покоління поселенців і Батьківщини стають все більш напруженими. У декількох колоніях почав формуватися рух опору, що значно збільшило нестабільність у цьому районі."
 EVTOPTA1028:0 "Ми не можемо дозволити собі ігнорувати це"
 EVTNAME1029:0 "Боротьба Перу за незалежність"
 EVTDESC1029:0 "Сторіччя колоніальної залежності спровокувала ріст націоналізму серед поселенців. Відносини нового покоління поселенців і Батьківщини стають все більш напруженими. У декількох колоніях почав формуватися рух опору, що значно збільшило нестабільність у цьому районі."
 EVTOPTA1029:0 "Ми не дозволимо цьому тривати"
 EVTNAME1030:0 "Боротьба Бразилії за незалежність"
 EVTDESC1030:0 "Кілька десятиліть поганого колоніального правління і безгосподарності викликали незадоволення серед великих груп поселенців. Їх прагнення до незалежності міцніє з кожним днем, і великі повстання спалахують у кількох наших колоніях."
 EVTOPTA1030:0 "Щось має бути зроблено!"
 EVTNAME1031:0 "Боротьба Чилі за незалежність"
 EVTDESC1031:0 "Сторіччя колоніальної залежності спровокувала ріст націоналізму серед поселенців. Відносини нового покоління поселенців і Батьківщини стають все більш напруженими. У декількох колоніях почав формуватися рух опору, що значно збільшило нестабільність у цьому районі."
 EVTOPTA1031:0 "Ми не дозволимо цьому тривати"
 EVTNAME1032:0 "Боротьба Ла-Плата за незалежність"
 EVTDESC1032:0 "Кілька десятиліть поганого колоніального правління і безгосподарності викликали незадоволення серед великих груп поселенців. Їх прагнення до незалежності міцніє з кожним днем, і великі повстання спалахують у кількох наших колоніях."
 EVTOPTA1032:0 "Ми не дозволимо цьому тривати"
 EVTNAME1051:0 "Приєднання до Священної Римської Імперії"
 EVTDESC1051:0 "Священна Римська Імперія являла собою федерацію королівств і князівств, яка деколи складала більшу частину центральної Європи. Імперія була погано організована протягом більшої частини свого існування і її розмір змінювався протягом часу, але німецькі та австрійські землі завжди були невід'ємною частиною Імперії."
 EVTOPTA1051:0 "Підготувати приєднання"
 EVTOPTB1051:0 "Зберегти нейтралітет"
 EVTNAME1052:0 "Покидання Священної Римської Імперії"
 EVTDESC1052:0 "Безперервний релігійний та політичний розбрат у Священній Римський Імперії знижує моральний стан населення у провінції $PROVINCENAME$. Відносини з імператором стали дуже поганими, і багато хто вважає, що залишити конфедерацію буле в інтересах провінції $PROVINCENAME$."
 EVTOPTA1052:0 "Покинути Імперію"
 EVTOPTB1052:0 "Спробувати поліпшити відносини"
 EVTNAME1053:0 "Покидання Священної Римської Імперії"
 EVTDESC1053:0 "Безперервний релігійний та політичний розбрат у Священній Римський Імперії знижує моральний стан населення у провінції $PROVINCENAME$. Відносини з імператором стали дуже поганими, а погана репутація нашого $MONARCH$ не дає поліпшити ситуацію. Багато хто вважає, що залишити конфедерацію буле в інтересах провінції $PROVINCENAME$."
 EVTOPTA1053:0 "Покинути Імперію"
 EVTOPTB1053:0 "Спробувати поліпшити відносини"
 EVTNAME1061:0 "Прагнення свободи"
 EVTDESC1061:1 "$MONARCH$ зі своїм сумнівним правлінням, прагнення населення до свободи та до втілення просвітлених ідеалів плекають революцію, яка здається майже неминучою. Простолюд об'єднався і взявся за зброю, намагаючись повалити уряд, ініціювавши тим самим одну з найкривавіших революцій нашого часу."
 EVTOPTA1061:0 "На нас чекають жахливі часи"
 EVTNAME1062:0 "Некомпетентність уряду"
 EVTDESC1062:0 "Нездатність уряду впоратися з національною кризою призвела до повстання. Люди вимагають негайного розпуску нинішнього уряду і бажають досягти цього за будь-яку ціну."
 EVTOPTA1062:0 "Про це не треба турбуватися"
 EVTOPTB1062:0 "Не допускайте їх подальшого заохочення"
 EVTNAME1063:0 "Закордонні бої"
 EVTDESC1063:0 "Перспективи фінансового розвитку держави $COUNTRY$ дуже похмурі останні пару років. $MONARCH$ безперервно витрачає кошти на війни в чужих землях, уряд нехтує фінансовий стан і політичну нестабільність у країні, а майже повне закінчення коштів веде країну $COUNTRY$ до банкрутства."
 EVTOPTA1063:0 "Скарбниця ще й близько не порожня"
 EVTOPTB1063:0 "Скоротити воєнні витрати"
 EVTNAME1064:0 "Відновлення порядку"
 EVTDESC1064:0 "Після декількох жахливих років, порядок нарешті відновився серед наших людей."
 EVTOPTA1064:0 "Добре"
 EVTNAME1071:0 "Національна криза"
 EVTDESC1071:0 "З відкриттям раніше невідомих материків і встановленням нових торгових шляхів народилася нова морська епоха. Першовідкривачі інших народів повертаються додому з цінним вантажем пряностей та товарів розкоші. Важливість нашої торговельної держави раптово знизилася, і несподіваний економічний занепад змушує уряд регулювати витрати."
 EVTOPTA1071:0 "Скоротити інвестиції у військову справу"
 EVTOPTB1071:0 "Скоротити інвестиції у торгівлю"
 EVTOPTC1071:0 "Скоротити інвестиції в управління"
 EVTNAME1072:0 "Загроза короні"
 EVTDESC1072:0 "Час від часу іноземні суперники висувають свої права на нашу корону. Оскільки монарх $MONARCH$ дуже обмежений у коштах, йому рекомендують перейти до переговорів з одним з претендентів, щоб втримати ситуацію під контролем."
 EVTOPTA1072:0 "Відмовитися від контактів"
 EVTOPTB1072:0 "Шукати компроміс"
 EVTNAME1073:0 "Державна роздробленість"
 EVTDESC1073:0 "Хоча країна $COUNTRY$ займає великі області, політично вона розколота. $MONARCH$ має владу, яка по всій імперії була суворо обмежено місцевими правителями, він стикається зі значними труднощами у керуванні великою імперією. Наявність у державі розрізненої суміші культурних груп з різними цінностями і переконаннями призводить до спалаху конфліктів по будь-яким незначним питанням."
 EVTOPTA1073:0 "Активізувати централізацію"
 EVTOPTB1073:0 "Залишити все як є"
 EVTNAME1074:0 "$TREASURER$ проводить реформи"
 EVTDESC1074:1 "Керування такою великою країною, як $COUNTRY$, вимагає широкого економічного планування, а відсутність дотепер хорошого фінансового радника виявилася досить згубною. Однак все змінилося, коли наш[Root.Adm_Advisor.GetAAEndOJuYM] [Root.Adm_Advisor.GetTitleKYM] ста[Root.Adm_Advisor.GetAAEndVLa] [Root.Adm_Advisor.GetName]. [Root.Adm_Advisor.GetSheHeCap] запровади[Root.Adm_Advisor.GetAAEndVLa] ряд фінансових реформ, включаючи справедливішу податкову систему та план фінансування державного боргу."
 EVTOPTA1074:0 "Виконати національний план фінансування боргу."
 EVTOPTB1074:0 "Провести податкову реформу."
 EVTNAME1075:0 "Епоха розквіту"
 EVTDESC1075:0 "$MONARCH$ зробив прославленими художні досягнення нашої країни та квітучу економіку. Художники, філософи та поети стікаються до міста $CAPITAL$, і економічний стан дозволяє нам зробити масштабне культурне меценатство. Будуються кілька витончених архітектурних споруд, створюються прекрасні сади для демонстрації багатства нашої країни, а багато членів нашої нової інтелектуальної еліти мають ідеї щодо вдосконалення різних частин нашої країни."
 EVTOPTA1075:0 "Інвестиції в покращення міської інфраструктури."
 EVTOPTB1075:0 "Інвестиції в покращення сільської інфраструктури."
 EVTOPTC1075:0 "Інвестиції в вдосконалення методів виробництва."
 EVTNAME1076:0 "Колоніальні авантюри"
 EVTDESC1076:0 "Відкриття Нового Світу стало для нас початком періоду процвітання. Попри величезне багатство, котре ми отримуємо та за допомогою якого $MONARCH$ утримує одну з найвидатніших армій світу, ми не змогли створити сильний флот, а [Root.Monarch.GetHerHis] спроби завоювати сусідні держави, на разі, з тріском провалилися."
 EVTOPTA1076:0 "Інвестувати в військово-морські сили"
 EVTOPTB1076:0 "Відмовитися від ідеї морської переваги"
 EVTNAME1081:0 "Папська держава"
 EVTDESC1081:0 "Глибоко релігійні католики Риму висловили бажання створити незалежну державу під владою Пап церкви. Більшість населення підтримало цю ідею, і тепер вони звернулися до $MONARCH$ для затвердження."
 EVTOPTA1081:0 "Ми ніколи не підтримаємо це"
 EVTOPTB1081:0 "Рим по праву належить йому"
 EVTNAME2001:0 "Протестантська Реформація"
 EVTDESC2001:0 "Через збільшення корупції серед ченців та священнослужителів Римсько-католицької церкви, все більше людей у Європі незадоволені її діяльністю. Багато хто критикує католицькі принципи та жадібність церкви. Чернець з міста $CAPITAL$ вже довгий час був занепокоєний ситуацією, але тільки зараз відкрито оголосив про невдоволення церквою, прокладаючи шлях до реформації віри."
 EVTOPTA2001:0 "Тільки час покаже, до чого це приведе"
 EVTNAME2002:0 "Поширення протестантизму"
 EVTDESC2002:0 "Збільшення політичних амбіцій Папства та його підкреслена увага до церковних ритуалів викликають занепокоєння у всієї Європи. Проповідники нових ідей стають все більш популярними серед різних верств населення, обіцяючи гідність і повагу до селян і порятунок без втрати багатства для заможних. Більшість мешканців провінції $PROVINCENAME$ почали сумніватися в положеннях і діях своїх релігійних лідерів."
 EVTOPTA2002:0 "Добре"
 EVTOPTA2011:0 "Тільки час покаже, до чого це приведе"
 EVTNAME2012:0 "Поширення Реформації"
 EVTDESC2012:0 "Після публікації 'Інститути християнської Церкви', де були представлені головні принципи та ідеї богословської Реформації, соціальне, політичне та філософське ставлення у Європі змінилося. Доктрина обраності та долі сильно вплинула на населення провінції $PROVINCENAME$, примусивши їх відмовитися від старих вірувань і прийняти Реформаторство."
 EVTOPTA2012:0 "Добре"
 EVTNAME2031:0 "Релігійні заворушення"
 EVTDESC2031:0 "Незважаючи на зусилля правителя стати посередником між релігійними групами нашої країни, між ними постійно з'являються конфлікти. Ситуація погіршується, і без радикальних заходів держава найближчим часом буде охоплена релігійною громадянською війною."
 EVTOPTA2031:0 "Викорінення єретиків заради миру"
 EVTOPTB2031:0 "Спробувати досягти віротерпимості"
 EVTNAME2032:0 "Зростання кількості єретиків"
 EVTDESC2032:0 "Незважаючи на суворі спроби викорінити єресь, населення деяких наших провінцій сильно прив'язане до своєї віри і пручається наверненню."
 EVTOPTA2032:0 "Відлучити сектантів"
 EVTOPTB2032:0 "Збільшити фінансування для навернення єретиків"
 EVTNAME2033:0 "Підкорення єретиків"
 EVTDESC2033:0 "Сувора боротьба нашої країни з єретиками не принесла результатів. Замість того, щоб навести порядок і об'єднати народ єдиною вірою, наші дії привели до збільшення насильства і жорстокості."
 EVTOPTA2033:0 "Збільшити фінансування для придушення єресі"
 EVTOPTB2033:0 "Ігнорувати їх"
 EVTOPTC2033:0 "Піти на поступки"
 EVTNAME2034:0 "Збільшення релігійної нетерпимості"
 EVTDESC2034:0 "Щоб ми не робили, люди не стають більш віротерпимими, спалахи насильства і заворушення поширюються. Насильство і звірства відбуваються з обох сторін, розширення релігійної прірви загрожує розірвати нашу країну з середини."
 EVTOPTA2034:0 "Спробувати придушити єретиків"
 EVTOPTB2034:0 "Спробувати навернути їх у нашу віру"
 EVTNAME2035:0 "Пусті слова"
 EVTDESC2035:0 "Указ про віротерпимість, який нещодавно оголосили $MONARCH$, виявився лише пустими словами. Після проголошення указу відбулося кілька випадків насильства і жорстокості по відношенню до релігійних меншин, які $MONARCH$ повністю проігнорували."
 EVTOPTA2035:0 "Краще витратити час на інше"
 EVTOPTB2035:0 "Випустити новий указ"
 EVTDESC3001:0 "Починаючи з $YEAR$ року, держава $COUNTRY$ зіткнулася з десятиліттями повного хаосу, який поступово поглинає країну з середини і доводить її до краху. У державі загострюються соціальні та економічні протиріччя, голод і чума знищують наших людей, а посилення опозиції до аристократії та церкви призвело до повстань і замахів на монарха."
 EVTOPTA3001:0 "Нас чекають важкі часи"
 EVTNAME3002:0 "Релігійна ворожнеча"
 EVTDESC3002:0 "Уряд держави $COUNTRY$ постійно стикається з зовнішнім впливом на місцеве населення для зміни його релігійних переконань. Викликані цим повстання були особливо жорстокими у провінції $PROVINCENAME$, і можливість розповсюдження заворушень за межі провінції стає серйозною загрозою для оточуючих областей."
 EVTOPTA3002:0 "Одна нація, одна віра!"
 EVTOPTB3002:0 "Віротерпимість"
 EVTNAME3003:0 "Державна нестабільність"
 EVTDESC3003:0 "Напруження від війни, зменшення чисельності населення і спроби дворян зберегти і зміцнити свою владу привели нашу країну до критичного стану. Селянські повстання поширюються все більше, і без радикальних заходів стабілізувати і почати відновлювати країну неможливо."
 EVTOPTA3003:0 "Війна – наша головна турбота"
 EVTOPTB3003:0 "Внутрішні проблеми важливіше"
 EVTNAME3004:0 "Селянські повстання"
 EVTDESC3004:0 "Голод, чума і збільшення зусиль по юридичному та економічному контролю селян викликають обурення простих людей. Заворушення назрівають серед нижніх верств населення, і це лише погіршить безладдя у нашій державі."
 EVTOPTA3004:0 "Пом'якшити кріпосницьке право"
 EVTOPTB3004:0 "Тримати маси в ланцюгах"
 EVTNAME3005:0 "Військове виснаження"
 EVTDESC3005:0 "Через чуму, голод та війну, що вирують у нашій країні, народ опинився в стані крайнього фізичного та психологічного виснаження. Наші люди вимагають від уряду зробити щось для полегшення їхніх страждань."
 EVTOPTA3005:0 "Зараз ми не будемо нічого робити"
 EVTOPTB3005:0 "Треба прислухатися до них"
 EVTNAME3006:0 "Змова"
 EVTDESC3006:0 "Через погане управляння, $MONARCH$ став жертвою змови амбітних супротивників. Опозиція сильнішає кожного дня, і зрозуміло, що $MONARCH$ не та людина, яка зможе керувати країною у важкі часи."
 EVTOPTA3006:0 "Нехай доля країни залишається в його руках"
 EVTOPTB3006:0 "$MONARCH$ зустрічає опір"
 EVTNAME3007:0 "Голод у державі $COUNTRY$"
 EVTDESC3007:0 "Значний неврожай залишив наших людей майже без їжі. Народ прохає уряд полегшити його стан, але допомога багатьом людям буде коштувати дорого."
 EVTOPTA3007:0 "Спробувати допомогти"
 EVTOPTB3007:0 "Ми безпорадні перед такою катастрофою..."
 EVTDESC3008:0 "Схоже, нестабільність останніх років нарешті скінчилася!"
 EVTOPTA3008:0 "Відновити порядок"
 EVTNAME3011:0 "Революція у державі $COUNTRY$"
 EVTDESC3011:1 "Десятиліття феодального гніту, релігійна нетерпимість та несправедлива система оподаткування призвели до появи революційних рухів на наших землях. [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] відчайдушно шукає шляхи виходу з кризи, у той час як наша країна опинилася на межі фінансового краху. Прагнення населення до свободи може виявитися занадто сильним, якщо не заперечити його належним чином."
 EVTOPTA3011:0 "Попереду важкі часи."
 EVTNAME3012:0 "Релігійна нетерпимість"
 EVTDESC3012:2 "З поширенням нових ідей в нашій країні почали виникати жваві дебати про становище релігійних меншин в державі [Root.GetUsableName]. Поки прихильники свободи віросповідання скористалися шансом закликати до реформ для поліпшення становища послідовників віри [minority_religion_province.Religion.GetName] та інших меншин, реакціонери наполягають на повномасштабному їх придушенні. Якщо проблема не буде вирішена належним чином, то ми ризикуємо зіткнутися зі сплесками насильства."
 EVTOPTA3012:0 "Одна нація, одна віра."
 EVTOPTB3012:0 "Терпіти все вірування."
 EVTNAME3013:0 "Кріпацтво"
 EVTDESC3013:0 "Заворушення назрівають серед нижчих верств нашого суспільства через важкий тягар, покладений на їхні плечі. Їхня незгода з маноріалізмом, високими податками і нестачею продовольства призвела до кількох повстань, що прокотилися хвилею по всій країні."
 EVTOPTA3013:0 "Обмежити кріпацтво."
 EVTOPTB3013:0 "Тримати маси в ланцюгах."
 EVTNAME3014:0 "Соціальна реформа"
 EVTDESC3014:1 "Жваві дискусії серед наших філософів про соціальні реформи та доброчесність справили значний вплив на більшу частину нашого населення. [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] побоюється, що деякі люди занадто легко піддаються впливу баламутів, а їхні бунтівні дії ще більше збільшать нестабільність в нашій державі."
 EVTOPTA3014:0 "Придушити вільнодумців."
 EVTOPTB3014:0 "Вони не становлять загрози."
 EVTNAME3015:1 "Урядова бюрократія"
 EVTDESC3015:1 "Централізований уряд нашої країни став дуже корумпованим і роздутим, що ускладнює проведення будь-якої політики, спрямованої на поліпшення становища. Однією з ключових революційних вимог є децентралізація влади та послаблення бюрократії, щоб не душити підприємницькі класи."
 EVTOPTA3015:1 "Скоротити бюрократію."
 EVTOPTB3015:1 "Розширити бюрократію."
 EVTNAME3016:0 "Сумне правління"
 EVTDESC3016:1 "[Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] діє нерішуче, а невизначеність адміністрації змушує багатьох наших людей відвернутися від свого правителя. Опозиція міцнішає з кожним днем, і, очевидно, [Root.Monarch.GetName] не найкраще підходить для керування країною у ці революційні часи."
 EVTOPTA3016:1 "Підтримати [Root.Monarch.GetTitleOGO]"
 EVTOPTB3016:1 "Протистояти [Root.Monarch.GetTitleOMU]"
 EVTNAME3017:0 "Шлях до банкрутства"
 EVTDESC3017:1 "Війна, втрати врожаю та безгосподарна економіка загалом проклали шлях до економічної кризи. Над нашою державою нависла загроза банкрутства, гроші швидко втрачають цінність, а купівельна спроможність з кожним днем зменшується."
 EVTOPTA3017:0 "Карбувати більше грошей."
 EVTOPTB3017:0 "Зміцнити нашу валюту."
 EVTNAME3018:0 "Фінансова криза"
 EVTDESC3018:0 "Наша нерозумна економіка спустошила фінансові резерви. Якщо ми хочемо оговтатися від цього, потрібно негайно поліпшити фінансове планування."
 EVTOPTA3018:0 "Скоротити воєнні витрати."
 EVTOPTB3018:0 "Війна має свою ціль."
 EVTNAME3019:0 "Кінець революції"
 EVTDESC3019:0 "Нестабільність останніх кількох років завершилася!"
 EVTOPTA3019:0 "Відновити порядок."
 EVTNAME3021:0 "Селянська війна"
 EVTDESC3021:0 "Протягом деякого часу селяни вимагали економічних, релігійних та політичних змін. Їхня незадоволеність виросла до такої міри, що насильницькі повстання стають загальною денною практикою. Незважаючи на відсутність центрального керівництва та належного озброєння, їм вдалося кинути виклик владі. Кілька важливих будівель, як релігійних, так і інших, були спалені та розграбовані на знак протесту."
 EVTOPTA3021:0 "Нас чекають важкі часи"
 EVTNAME3022:0 "Селянські протести"
 EVTDESC3022:0 "Протести та повстання спалахують у різних регіонах нашої держави. Розгнівані селяни вимагають негайних реформ у політичній та соціальній сферах. Важкі податки та жорстокість поміщиків змусили їх до крайніх мір."
 EVTOPTA3022:0 "Посилити кріпацтво"
 EVTOPTB3022:0 "Пом'якшити кріпацтво"
 EVTNAME3023:0 "Релігійне повстання"
 EVTDESC3023:0 "Ідеї Реформації привабили більшу частину пригнобленого селянства. Багато скарг засновані на соціальних мотивах, багато хто вважає, що вони отримають підтримку і полегшення їх тягот. Але з поширенням повстання та збільшенням звірств селян реформатори самі почали виступати проти 'кривавих селян'."
 EVTOPTA3023:0 "Знищити їх!"
 EVTOPTB3023:0 "Нехай самі вирішують, у що вірити"
 EVTNAME3024:0 "Застаріли війська"
 EVTDESC3024:0 "Військовий прогрес та розповсюдження пороху поступово зробили наші колишні збройні сили застарілими. Їхній високий статус залишився у минулому, лишилися лише бідність і розчарування. Вони вимагають від влади фінансової допомоги."
 EVTOPTA3024:0 "Їм немає місця в нашому суспільстві"
 EVTOPTB3024:0 "Вони ще можуть бути потрібні"
 EVTNAME3025:0 "Децентралізація держави"
 EVTDESC3025:0 "На перших етапах селянської війни, повстанці відбирали землю переважно у лордів та лицарів. Через політичну децентралізованість держави, місцеві повстання поширилися за кордони провінції, і поглинули більшу частину нашого народу."
 EVTOPTA3025:0 "Знищити повстанців"
 EVTOPTB3025:0 "Ми повинні домовитися з ними"
 EVTNAME3026:0 "Закінчення селянської війни"
 EVTDESC3026:0 "Схоже, нестабільність останніх років нарешті було подолано! Ми можемо більше не побоюватися боротьби селян за реформи, адже їхні сили виснажені."
 EVTOPTA3026:0 "Відновити порядок"
 EVTNAME3051:0 "Заворушення на національному підґрунті"
 EVTDESC3051:0 "Тривале пригнічення та експлуатація національних меншин в одній з наших провінцій досягло точки кипіння. Громадяни цієї провінції вирішили взяти в руки зброю для боротьби з гнобителями."
 EVTOPTA3051:0 "Придушити повстання"
 EVTOPTB3051:0 "Спробувати домовитися"
 EVTNAME3071:1 "[Root.NativeCulture.GetName]і люди входять до нашої колонії"
 EVTDESC3071:1 "Оскільки наша колонія в [Root.GetTagDE] продовжує рости та розвиватися, ми почали вдиратися на територію, що належить народу, що називає себе '[Root.NativeCulture.GetName]им'. Вони глузують і ображають нас своєю мовою та навіть почали здійснювати набіги на наші поселення. Один з наших людей, який співчуває цим дикунам, вивчив [Root.NativeCulture.GetName]у мову, і каже нам, що вони вважають, що наша колонія в [Root.GetTagDE] зазіхає на їхні споконвічні землі. Очевидно, вони вимагають від нас поступок, інакше війна буде неминуча."
 EVTOPTA3071:1 "Викинути цих дикунів з [Root.GetTagDE]!"
 EVTOPTB3071:1 "Просто заплатіть їм, щоб вони перестали на нас сичати."
 EVTOPTC3071:1 "Запропонуйте їм все, що вони захочуть, ми повинні жити в спокої."
 EVTNAME3072:1 "[Root.NativeCulture.GetName]і набіги на наші колонії"
 EVTDESC3072:2 "[Root.Culture.GetName]і поселенці в землях [Root.GetName] лише намагаються принести цивілізацію в дикі землі релігії [Root.GetSuperRegionName] і просвітити їх вищою культурою [Root.Culture.GetGroupName]. Однак, схоже, що [Root.NativeCulture.GetName]і дикуни відмовляються приймати наші переважні шляхи, а наше жорстоке поводження з цими тубільцями лише сприяло посиленню напруженості між [Root.NativeCulture.GetName]ими одноплемінниками та нашими колоністами. Питання лише в тому, як нам вирішити цю ситуацію?"
 EVTOPTA3072:1 "Ми покладемо цьому край продемонструвавши силу!"
 EVTOPTB3072:1 "Ситуацію не врятувати, покинути колонію."
 destroyed_colony_tt:1 "Наша колонія в землях §Y[Root.GetName]§! буде покинута!"
 EVTNAME3073:1 "[Root.NativeCulture.GetName]і люди просять про допомогу"
 EVTDESC3073:1 "Здається, наше жорстоке поводження з [Root.NativeCulture.GetName]ими людьми, які живуть у наших колоніях та навколо них, мало несприятливий вплив на їх подальше існування. Поєднання нетутешніх хвороб, які наші колоністи принесли навмисно і ненавмисно, спустошило [Root.NativeCulture.GetName]е населення, яке живе в землях [Root.GetName], і тепер їхні лідери звернулися до нас, благаючи нас змилосердитися над стражданнями свого народу."
 EVTOPTA3073:1 "Ці дикуни ще не пізнали справжніх страждань."
 EVTOPTB3073:1 "Можливо, одного разу нам слід виявити милосердя."
 EVTNAME3074:1 "Колоніальна експансія"
 EVTDESC3074:1 "Здавалося б, наше жорстоке поводження з [Root.NativeCulture.GetName]ими людьми, які проживають у землях [Root.GetName] значною мірою окупилося. Вигнання цих примітивів з їх багатого родючого ґрунту створило нові можливості для [Root.NativeCulture.GetName]их поселенців, що зайняли їх місце, і наші колоніальні компанії вже почали експлуатацію споконвічної [Root.NativeCulture.GetName]ої землі, але вони просять фінансову допомогу для завершення будівництва нового селища."
 EVTOPTA3074:1 "Заради слави, Бога і золота!"
 EVTOPTB3074:1 "Це занадто дорого."
 EVTNAME3075:1 "Вигідні торгові угоди з племенем культури [Root.NativeCulture.GetName]"
 EVTDESC3075:1 "Менші країни сумніваються, яку цінність має залучення [Root.NativeCulture.GetName]их людей до торгівлі, але наші купці знають це краще. Схоже, що ці люди не знають справжньої цінності того, що у них є, і нам випала чудова нагода завоювати багатства цих людей, забравши величезні запаси цінних товарів і металів в обмін на відносно тривіальні медичні засоби."
 EVTOPTA3075:1 "Укладемо угоду!"
 EVTOPTB3075:1 "Зробити інвестиції в їх плем'я."
 EVTOPTC3075:1 "Ми не будемо експлуатувати цих людей."
 EVTNAME3076:1 "[Root.NativeCulture.GetName]і люди звертаються за допомогою"
 EVTDESC3076:2 "Здається, торгівля між нашими колоністами у землях [Root.GetName] і [Root.NativeCulture.GetName]ими призвела до спалаху захворювань, зазвичай невластивих регіону [Root.GetSuperRegionName]. Вони приходять до нас з жахливими історіями про те, як поверталися товари, продані з нашої країни назад до їх племені, тільки для того, щоб заразити їх слабких і літніх людей безліччю хвороб, з якими їхні цілителі ніколи раніше не стикалися. Все, що вони просять, - це разова безкоштовна доставка медикаментів, і вони з радістю почнуть інтеграцію з нашою колонією."
 EVTOPTA3076:1 "Чи в змозі скарбниця дозволити собі такі витрати?"
 EVTOPTB3076:1 "Дати їм все, що потрібно і з верхом!"
 EVTNAME3077:1 "[Root.NativeCulture.GetName]і люди звертаються за наверненням у релігію [Root.Owner.Religion.GetName]!"
 EVTDESC3077.A:1 "Хоча ми активно не пропагуємо свою релігію в землях [Root.GetName], багато представників [Root.NativeCulture.GetName]ого племені прийняли релігію [Root.Owner.Religion.GetName] попри все і просять офіційно відмовлятися від своєї старої віри на користь нашої та приєднуватися до нашої колонії. Ми могли б прийняти цю пропозицію і застосувати її до всього [Root.NativeCulture.GetName]ого племені, що живе поруч з нашою колонією в землях [Root.GetName], але це може роздратувати деяких більш традиційних [Root.OriginalReligion.GetName]их представників їхнього племені."
 EVTDESC3077.B:1 "Ми завжди проводили політику, спрямовану на поширення торгівлі між нашим славним народом і дивними людьми нового світу. Однак останнім часом [Root.NativeCulture.GetName]і торговці приходять до нас не з проханням про їжу або медикаменти, а про символи та знаряддя поклоніння вірі [Root.Owner.Religion.GetName], і багато хто навіть просить бути висвяченими на священників, щоб вони могли поширювати віру серед усього свого племені! Якщо ми погодимося, ми об'єднаємося з [Root.NativeCulture.GetName]им народом у вірі, але ми ризикуємо розлютити деяких більш традиційних [Root.OriginalReligion.GetName]их представників їхнього племені."
 EVTDESC3077.C:1 "Ми зробили своїм святим обов'язком цивілізувати Новий Світ і просвітлити корінний народ своєю вірою [Root.Owner.Religion.GetName]. Коли наші священники та місіонери виконують свій святий обов'язок у землях [Root.GetName], вони повідомляють, що до них звертаються деякі [Root.NativeCulture.GetName]і шамани з проханням відмовитися від своїх [Root.OriginalReligion.GetName]их коренів і приєднатися до священного обов'язку, який несе [Root.Owner.Monarch.GetTitle] [Root.Owner.Monarch.GetName], та поширювати віру [Root.Owner.Religion.GetName] серед неосвічених членів місцевого [Root.NativeCulture.GetName]ого племені. Якщо ми погодимося, у нас з'явиться абсолютно новий клас [Root.NativeCulture.GetName]ого духовенства для поширення нашої віри, але ми ризикуємо розлютити деяких більш традиційних [Root.OriginalReligion.GetName]их представників їхнього племені."
