l_ukrainian:
 HINTS_DISABLE_ALL_HINTS:0 "Вимкнути"
 HINT_COMBATPOWER_TEXT:0 "Боєздатність це бонус, який надається вашим підрозділам в бою. Вона відрізняється від дисципліни тим, що дисципліна додатково збільшує захист військ."
 HINT_PREFERREDUNIT_TITLE:0 "Бажаний тип підрозділу"
 HINT_PREFERREDUNIT_TEXT:0 "Бажаний тип підрозділу - це той тип підрозділу, який ви будете наймати в провінціях. Існує багато типів, які відкриваються по мірі розвитку військових технологій. Коли ви відкриваєте нову одиницю, ви можете свій бажаний тип підрозділу. Після цього всі ваші підрозділи буде оновлено, але на деякий час зменшиться їхній бойовий дух."
 HINT_UNITBASECOST_TITLE:0 "Ціна найму підрозділу"
 HINT_UNITBASECOST_TEXT:0 "Найм кожного підрозділу коштує певну кількість золота. Базове значення - 10 для піхоти, 25 для кавалерії та 30 для артилерії. Загальна сума залежить від багатьох факторів, у тому числі від будівель та ідей."
 HINT_INFANTRY_TITLE:0 "Піхота"
 HINT_INFANTRY_TEXT:0 "Піхота є основою більшості армій. Вона є дешевою та ефективною, хоча на початку гри поступається кавалерії. З розвитком військових технологій збільшується вогнева сила піхоти, і кавалерія стає менш ефективною. Також піхота використовується для облоги і штурму."
 HINT_CAVALRY_TITLE:0 "Кавалерія"
 HINT_CAVALRY_TEXT:0 "Кавалерія дуже сильна на початку гри за рахунок високого показника натиску. Якщо у вашій армії збалансована кількість піхоти і кавалерії, то ви отримаєте модифікатор підтримки, який зменшує втрату солдат під час бою. Кількість Піхоти і кавалерії залежить від вашого технологічного рівня."
 HINT_ARTILLERY_TITLE:0 "Артилерія"
 HINT_ARTILLERY_TEXT:0 "Артилерія це підрозділи підтримки, які дозволяють вам швидше завершувати облогу. Вона також додає першим рядам війська 50% своїх показників натиску та сили вогню. Артилерія також може атакувати з тилу з вдвічі меншою ефективністю. Якщо артилерія знаходиться на передній лінії, то вона несе вдвічі більші втрати."
 HINT_TOLERANCETRUE_TITLE:0 "Істинна віра"
 HINT_TOLERANCETRUE_TEXT:0 "Терпимість до істинної віри зменшує ризик повстання в провінціях, які сповідують державну релігію."
 HINT_TOLERANCEHERETIC_TITLE:0 "Єретики"
 HINT_TOLERANCEHERETIC_TEXT:0 "Терпимість до єретиків впливає на ризик повстань в тих провінціях, які сповідують релігію тієї ж групи що й державна."
 HINT_TOLERANCEHEATHEN_TITLE:0 "Чужовірці"
 HINT_TOLERANCEHEATHEN_TEXT:0 "Терпимість до чужовірців впливає на ризик повстання в тих провінціях, де віра відрізняється від вашої державної."
 HINT_REFORMDESIRE_TITLE:0 "Бажання реформ"
 HINT_REFORMDESIRE_TEXT:0 "Бажання реформ визначає наскільки католики прагнуть до реформування віри. Високий показник бажання реформ врешті призведе до Реформації, що дозволяє католицьким державам і провінціям переходити до протестантизму або кальвінізму. Бажання реформ зазвичай збільшується за рахунок випадкових подій, і є спільним для всього католицького світу, а не лише для вашої країни."
 HINT_PAPALINFLUENCE_TITLE:0 "Папський вплив"
 HINT_PAPALINFLUENCE_TEXT:1 "Папський вплив - це ресурс, який можна використовувати для накопичення бонусів від Святого Престолу та щоб отримати контроль над Курією. Збільшення папського впливу відбувається за рахунок релігійної єдності, та хороших відносин з Папською державою. Певні ідеї також можуть збільшити цей показник."
 HINT_CHANGERELIGION_TITLE:0 "Зміна релігії"
 HINT_CHANGERELIGION_TEXT:0 "Коли показник Бажання реформ досягає досить високого рівня, щоб розблокувати Реформацію, ви маєте змогу змінити свою державну релігію на Протестантську, а пізніше на Реформаторську. Зміна релігії зменшує Стабільність на -5."
 HINT_CARDINAL_TITLE:0 "Кардинали"
 HINT_CARDINAL_TEXT:1 "Кардинали призначаються випадково з католицьких європейських провінцій. Володарі цих провінцій отримують бонус до їхнього папського впливу."
 HINT_OVEREXTENSION_TITLE:0 "Надрозширення"
 HINT_OVEREXTENSION_TEXT:0 "Кожна ваша провінція, яка не є національною, збільшує показник надрозширення. Його розмір залежить від базового податку провінції. Зазвичай, кожна одиниця розвитку збільшує надрозширення на 1%, хоча це число можна зменшити за допомогою адміністративної ефективності. Намагайтесь націоналізовувати свіжезавойовані провінції якомога швидше."
 HINT_SETTLERGROWTH_TITLE:0 "Зростання колоній"
 HINT_SETTLERGROWTH_TEXT:0 "Зростання колоній є бонусом до щорічного приросту чисельності поселенців в колонії. Коли чисельність поселенців досягне 1000, колонія перетвориться на міську провінцію, після чого її можна буде націоналізувати. Це дасть можливість будувати споруди і формувати війська."
 HINT_COLONISTTIME_TITLE:0 "Час подорожі колоніста"
 HINT_ADMINISTRATIVE_EFFICIENCY_TEXT:0 "Адміністративна ефективність залежить від рівня адміністративних технологій. Це показник того, наскільки ефективно ваша країна керує захопленими провінціями, безпосередньо зменшуючи надрозширення, отримане від кожної ненаціональної провінції та зниження вартості загарбання земель у війні. Проте вона також збільшує адміністративне навантаження на ваші колоніальні автономії, тим самим підвищуючи бажання волі."
 HINT_ADMINISTRATIVE_EFFICIENCY_TITLE:0 "Адміністративна ефективність"
 HINT_COLONISTTIME_TEXT:0 "Час подорожі колоніста - це час, який він проведе в дорозі до неколонізованої землі, до якої ви його відправили. Щойно він прибуде на місце, провінція буде перетворена на колонію."
 HINT_TRADERANGE_TITLE:0 "Дальність торгівлі"
 HINT_TRADERANGE_TEXT:0 "Дальність торгівлі визначає наскільки далеко ви можете відправляти своїх торговців. Торговець може збирати прибутки від торгівлі, або перенаправляти торгівлю в інший вузол."
 HINT_MERCANTILISM_TITLE:0 "Меркантилізм"
 HINT_MERCANTILISM_TEXT:0 "Меркантилізм - це бонус, який впливає на вашу торгову силу в провінціях. Чим більший цей показник, тим краще. Рівень меркантилізму збільшується і зменшується внаслідок випадкових подій."
 HINT_TRADESTEERING_TITLE:0 "Перенаправлення торгівлі"
 HINT_TRADESTEERING_TEXT:0 "Якщо ви хочете перенаправити торгівлю з одного торгового вузла в інший, то необхідно відправити туди торговця з відповідним завданням. Обсяг перенаправленої торгівлі залежить від вашої торгової сили. Ви не можете перенаправляти торговий потік у попередній вузол, або далі за ваше головне торговельне місто."
 HINT_TRADEEFF_TITLE:0 "Ефективність торгівлі"
 HINT_TRADEEFF_TEXT:0 "Ефективність торгівлі впливає на те, скільки додаткового доходу ви отримуєте від торгівлі."
 HINT_BASETAX_TITLE:0 "Базовий податок"
 HINT_BASETAX_TEXT:1 "Базовий податок є дуже важливим показником, який вказує наскільки цінною є провінція. Базовий податок залежить від кількості населення, якості землі та розвитку інфраструктури. Цей показник визначає вартість націоналізації провінції, і зміни її культури та релігії. Базовий податок, разом з іншим розвитком, визначає ваш ліміт військ та флоту (у прибережних провінціях)."
 HINT_TRADEPOWER_TITLE:0 "Торгова сила"
 HINT_TRADEPOWER_TEXT:0 "Торгова сила прямо пов'язана з часткою торгівлі, яку ви контролюєте в торговому вузлі. Торгова сила залежить від провінцій та легких кораблів, які захищають торгові шляхи. Торгова сила безпосередньо визначає скільки торгівлі ви можете перенаправляти, або який прибуток ви отримаєте від неї."
 HINT_TRADEVALUE_TITLE:0 "Торгова цінність"
 HINT_TRADEVALUE_TEXT:0 "Провінції виробляють товари, які мають відповідну цінність. Обсяг виготовленої продукції разом з ціною визначають торгову цінність. Торгова цінність впливає на об'єм торгівлі в торговому вузлі, а також визначає прибуток від виробництва в провінції."
 HINT_TRADEGOODS_TITLE:0 "Товари"
 HINT_TRADEGOODS_TEXT:0 "Кожна провінція виробляє певний вид товару. Це риба, морські снасті, зерно, мідь, залізо, вино, тканина, вовна, сіль, золото, фарфор, спеції, раби та слонова кістка. Золото є єдиним товаром, який не приймає участі в торгівлі, а одразу переходить в прибуток."
 HINT_PAPALCONTROLLER_TITLE:0 "Контроль над Папським престолом"
 HINT_PAPALCONTROLLER_TEXT:1 "Коли Папський престол отримує нового Папу, нова держава стає контролером Курії, в залежності від інвестованого ними папського впливу. Контролер Курії має доступ до бонусів та особливих папських указів, доступних через вікно дипломатії."
 HINT_PAPALACTIONS_TITLE:0 "Папські укази"
 HINT_PAPALACTIONS_TEXT:0 "Контролер Папського престолу має доступ до кількох додаткових дипломатичних дій під назвою 'Папські укази'. Вони включають в себе відлучення, що дає змогу відлучити від церкви будь-якого католицького правителя, якщо в того погані відносини з Папською державою. Також можна оголосити хрестовий похід проти язичників, що змусить інші католицькі держави напасти на них."
 HINT_VASSALS_TITLE:0 "Васали"
 HINT_VASSALS_TEXT:0 "Васали - це держави, підпорядковані іншим державам. Коли повелитель розпочинає війну, його васали автоматично до нього приєднуються. Васали також завжди мають право проходу через землі країни-повелителя. Кожен васал займає один слот дипломатичних відносин."
 HINT_ALLIANCE_TITLE:0 "Альянси"
 HINT_ALLIANCE_TEXT:0 "Коли ви оголошуєте війну, ви можете попросити союзників приєднатися до вас. Якщо атакують вашого союзника, то заклик до зброї отримаєте й ви. Відмова прийти на допомогу розірве союз та зменшить ваш престиж. Кожен союз займає один слот дипломатичних відносин."
 HINT_MILITARYACCESS_TITLE:0 "Військовий доступ"
 HINT_MILITARYACCESS_TEXT:0 "Військовий доступ дозволяє вашим військам пересуватися провінціями інших країн. Військовий доступ займає слот дипломатичних відносин."
 HINT_PROVINCE_TITLE:0 "Провінція"
 HINT_PROVINCE_TEXT:0 "Провінції є основною мірою для визначення сили і багатства вашого народу. У них виробляються товари, збираються податки, формуються військові загони і будуються кораблі. Багатство провінції визначається розміром базової податкової ставки та видом виробленого товару."
 HINT_CORE_TITLE:0 "Національна провінція"
 HINT_CORE_TEXT:0 "Національні провінції вважаються вашими законними землями. У національній провінції збільшується прибуток від податків, а також є змога будувати кораблі та формувати війська. Провінцію можна зробити національною за певну кількість адміністративних балів."
 HINT_RULER_TITLE:0 "Правитель"
 HINT_RULER_TEXT:0 "Бали правителя є одним з найбільш важливих ресурсів у грі. Вони нараховуються кожного місяця, і залежать від навичок вашого правителя та його радників. Правитель відіграє вирішальну роль у напрямку розвитку вашої країни. Якщо у вас є спадкоємець з високим дипломатичним досвідом, то ви вже знаєте, що отримаєте багато дипломатичних балів, коли він стане новим правителем."
 HINT_HEIR_TITLE:0 "Спадкоємець"
 HINT_HEIR_TEXT:0 "Бали монарха спадкоємця почнуть працювати після смерті поточного правителя."
 HINT_TRADENODE_TITLE:0 "Торговий вузол"
 HINT_TRADENODE_TEXT:1 "Вся торгівля зосереджена в торгових вузлах. Весь світ поділено на певні торгові вузли, і кожна провінція належить до одного з них. Торгова сила приносить прибуток у вузлі, або ж перенаправляється до наступного. Торгівлю не можна перенаправити з Венеції, Генуї або Антверпену."
 HINT_TRADEPOST_TITLE:0 "Торгова факторія"
 HINT_TRADEPOST_TEXT:0 "Торгові республіки мають можливість створити торговельні факторії в провінціях, якими володіють; торговельні факторії збільшують торговельний вплив у провінціях і збільшують межі морських сил. Торгова республіка може мати тільки одну факторію в кожному вузлі й не може створювати їх у столичному вузлі."
 HINT_FORTDEFENSE_TITLE:0 "Оборона укріплень"
 HINT_FORTDEFENSE_TEXT:0 "Оборона укріплень впливає на час між фазами облоги. Одна фаза облоги зазвичай триває 30 днів, однак при рівні захисту +50% час облоги збільшиться до 45 днів."
 HINT_EMPEROR_TITLE:0 "Імператор СРІ"
 HINT_EMPEROR_TEXT:0 "Вибори імператора проводяться після смерті попереднього імператора. Імператор править СРІ, і захищає її від зовнішніх ворогів. Він збільшує імперський авторитет, за допомогою якого можна проводити імперські реформи. Імператору надаються конкретні бонуси залежно від того, скільки імператорських реформ було прийнято."
 HINT_ELECTOR_TITLE:0 "Курфюрсти"
 HINT_ELECTOR_TEXT:0 "Імператор Священної Римської Імперії обирається курфюрстами. У Імперії має бути сім курфюрстів, а втрата хоч одного приведе до зниження імперського авторитету. Якщо курфюрст припинить своє існування, то Імператор повинен передати цей титул іншій державі."
 HINT_IMPERIALAUTHORITY_TITLE:0 "Імперський авторитет"
 HINT_IMPERIALAUTHORITY_TEXT:0 "Імперський авторитет потрібний Імператору СРІ для прийняття реформ в Імперії. Високий імперський авторитет збільшить ймовірність того, що країни-члени проголосують за нову імперську реформу. Імперський авторитет можна підвищити через зміцнення релігійної єдності в Імперії або завдяки захисту її від ворогів."
 HINT_UNITY_TITLE:0 "Релігійна єдність"
 HINT_UNITY_TEXT:0 "Релігійна єдність визначається відношенням числа провінцій з державною релігією до числа провінцій з іншими релігіями. Щоби навернути провінцію у вашу віру, необхідно відправити місіонера. Низька релігійна єдність призведе до зростання ризику повстань і збільшення вартості стабільності."
 HINT_FIRE_TITLE:0 "Вогонь підрозділів"
 HINT_FIRE_TEXT:0 "Вогонь нападників (помаранчеві позначки) віднімається від вогню захисників (зелені позначки). Потім накладаються модифікатори місцевості та вмінь генералів. Високий рівень вогню в нападі означає, що підрозділу буде легше завдавати шкоди вогнепальною зброєю, а високий рівень вогню в захисті - що вони мають кращий захист від вогнепальній зброї."
 HINT_SHOCK_TITLE:0 "Натиск підрозділів"
 HINT_SHOCK_TEXT:0 "Натиск нападників (помаранчеві позначки) віднімається від захисту оборонців (зелені позначки). Потім накладаються модифікатори місцевості та вмінь генералів. Високий рівень натиску означає, що підрозділу буде легше завдати шкоди в атаці, а при високому рівні захисту буде легше протистояти втратам від натиску."
 HINT_UNITMORALE_TITLE:0 "Бойовий дух"
 HINT_UNITMORALE_TEXT:0 "Бойовий дух нападників порівнюється з бойовим духом захисників. Потім накладаються модифікатори місцевості і навичок генералів. Шкода наноситься і живій силі, і бойовому духу війська. Високий наступальний бойовий дух спонукає ворогів до втечі, а високий оборонний допоможе довше протриматися."
 HINT_SHOCKMOD_TITLE:0 "Модифікатор натиску"
 HINT_SHOCKMOD_TEXT:0 "Під час фази натиску, після кидка кісток і накладання модифікаторів, загін атакує супротивника. Модифікатор натиску безпосередньо впливає на шкоду, яку буде нанесено бойовому духу і живій силі супротивника."
 HINT_FIREMOD_TITLE:0 "Модифікатор вогню"
 HINT_FIREMOD_TEXT:0 "Під час фази обстрілу, після кидка кісток та накладення модифікаторів, загін атакує супротивника. Модифікатор вогню безпосередньо впливає на шкоду, яку буде нанесено бойовому духу і живій силі супротивника."
 HINT_MILTAC_TITLE:0 "Військові тактики"
 HINT_MILTAC_TEXT:0 "Військові тактики впливають на отриману шкоду. Чим вище значення, тим менше втрат. Нові рівні тактик відкриваються з розвитком військових технологій."
 HINT_DISCIPLINE_TITLE:0 "Дисципліна"
 HINT_DISCIPLINE_TEXT:0 "Дисципліна впливає на рівень шкоди, яку наносять і отримують ваші війська. Це стосується як живої сили, так і бойового духу."
 HINT_COMBATWIDTH_TITLE:0 "Ширина фронту"
 HINT_COMBATWIDTH_TEXT:1 "Ширина фронту визначає число полків, які можуть одночасно вести бій. Параметр збільшується за рахунок розвитку військових технологій."
 HINT_FORTLVL_TITLE:0 "Рівень фортеці"
 HINT_FORTLVL_TEXT:0 "Облога фортеці більш високого рівня займе значно більше часу, крім того зменшується ймовірність виникнення негативних подій. Рівень фортеці змінюється за допомогою побудови відповідної будівлі."
 HINT_SIEGE_TITLE:0 "Облога"
 HINT_SIEGE_TEXT:0 "Облога починається коли ворожа армія займає провінцію під час війни. Вона може тривати місяцями, до повної капітуляції обложених. Кожна фаза облоги зазвичай триває 30 днів, але цей час змінюється в залежності від захисту фортеці. Можна спробувати взяти фортецю штурмом, але в такому випадку не уникнути значних втрат, навіть якщо було пробито стіну."
 HINT_COMBAT_TITLE:0 "Сухопутна битва"
 HINT_COMBAT_TEXT:0 "Битва відбувається, коли дві ворогуючі армії зустрічаються в одній провінції. Битва ділиться на два етапи: вогонь і натиск. Кожен триває 5 днів. Якщо у вас занадто велике співвідношення кавалерії до піхоти, то ця армія нестиме додаткові втрати. Артилерія ефективно зменшує пошкодження підрозділу, що знаходиться перед нею, і діє в другій лінії."
 HINT_COMBATADV_TITLE:0 "Сухопутна битва(розширено)"
 HINT_COMBATADV_TEXT:0 "Кожна сторона в битві кидає кістки, крім того застосовуються модифікатори рельєфу і навички генералів. Кожен полк атакує ворога в своєму діапазоні. З помаранчевих пунктів нападника віднімаються зелені пункти захисника. Результат ділиться на військову тактику, і множиться на дисципліну. В підсумку підраховується шкода бойовому духу і втрати сторін."
 HINT_BREACH_TITLE:0 "Пролом"
 HINT_BREACH_TEXT:0 "Пролом утворюється, якщо на кістках випаде 14. Він додає 3 до модифікатора прогресу облоги, і полегшує штурм фортеці."
 HINT_CANNONS_TITLE:0 "Гармати"
 HINT_CANNONS_TEXT:0 "Число гармат на кораблі впливає на рівень пошкоджень, який він наносить."
 HINT_HULLSIZE_TITLE:0 "Корпус"
 HINT_HULLSIZE_TEXT:0 "Розмір корпусу впливає на рівень пошкоджень, який може витримати корабель."
 HINT_LEADERFIRE_TITLE:0 "Вогнева сила командувача"
 HINT_LEADERFIRE_TEXT:0 "Вогнева сила нападника порівнюється з силою захисника. Результат додається до кісток."
 HINT_LEADERSHOCK_TITLE:0 "Сила натиску командувача"
 HINT_LEADERSHOCK_TEXT:0 "Сила натиску нападника порівнюється з силою захисника. Результат додається до кісток."
 HINT_LEADERMANEUVER_TITLE:0 "Маневреність командувача"
 HINT_LEADERMANEUVER_TEXT:0 "Маневреність командувача впливає на швидкість пересування військ і флоту. Для сухопутних армій вона також зменшує виснаження і збільшує швидкість поповнення полків. Маневреність морських командувачів впливає на розташування флоту, також кожний бал збільшує бонус торгового впливу коли командувача призначено керувати флотом, який захищає торговельний вузол."
 HINT_LEADERSIEGE_TITLE:0 "Навичка облоги командувача"
 HINT_LEADERSIEGE_TEXT:0 "Ця навичка прискорює облогу."
 HINT_MORALE_TITLE:0 "Бойовий дух"
 HINT_MORALE_TEXT:0 "Битва часто закінчується відступом однієї із сторін, яка при цьому зберігає частину військ. Бойовий дух показує скільки втрат може винести армія до втечі."
 HINT_MANEUVER_TITLE:0 "Маневр"
 HINT_MANEUVER_TEXT:0 "Маневр визначає діапазон, в якому загін може атакувати супротивника. У піхоти він спочатку 1, а у кавалерії і артилерії по 2. Його можна збільшити за допомогою розвитку технологій. Не слід плутати з маневреністю генералів."
 HINT_SEACOMBAT_TITLE:0 "Морські битви"
 HINT_SEACOMBAT_TEXT:0 "Битва починається, коли два ворогуючі флоти зустрічаються в одній провінції. Кораблі шукають цілі і атакують їх. Число гармат визначає нанесення пошкоджень, а корпус впливає на захист флоту. Модифікатор артилерійського вогню дає бонус тій стороні, яка має технологічну перевагу."
 HINT_BREAKUNION_TITLE:0 "Розрив унії"
 HINT_BREAKUNION_TEXT:0 "Молодший партнер в унії може скористатися спеціальним приводом для війни, щоб отримати незалежність. Буде проголошено власного правителя, якому доведеться виграти війну проти колишнього сюзерена. Свободу потрібно завоювати, оскільки білого миру не достатньо."
 HINT_INHERIT_TITLE:0 "Успадкування"
 HINT_INHERIT_TEXT:0 "Якщо ви є лідером унії, то у вас є шанс успадкувати молодшого партнера після смерті вашого правителя. Необхідно мати вищий престиж ніж у приєднуваної країни. При спадкоємстві всі провінції приєднаної країни стануть національними."
 HINT_INTEGRATE_TITLE:0 "Інтеграція"
 HINT_INTEGRATE_TEXT:0 "Ви можете вручну приєднати молодшого партнера в унії. Стосунки між країнами мають бути чудовими, і країна повинна знаходитися в унії не менше 50 років. Після завершення процесу приєднання ви отримаєте всі провінції залежної країни, і вони стануть вашими національними."
 HINT_POWERPROJECTION_TITLE:0 "Могутність"
 HINT_POWERPROJECTION_TEXT:0 "Могутність показує наскільки добре ваша держава проявляє себе на міжнародній арені. Вона досягається шляхом вибору суперників і ослаблення їх прямими чи непрямими методами. Високе значення могутності надає додаткові бали монарха, тому що правитель поширює свій вплив завдяки цим невеликим успіхам."
 HINT_POLICIES_TITLE:0 "Внутрішня політика"
 HINT_POLICIES_TEXT:0 "Внутрішня політика містить у собі спеціальні бонуси, які можна тимчасово використовувати. Одноразово можна використовувати до 5 політик, але кожна з них буде коштує правителеві 1 одиницю сили на місяць. Після прийняття, внутрішня політика не може бути відкликана протягом 10 років. Нові політики будуть розблоковані з повним вивченням певної групи ідей."
 HINT_RELIGIOUSREFORMS_TITLE:0 "Релігійні реформи"
 HINT_RELIGIOUSREFORMS_TEXT:0 "Деяким країнам необхідно проводити релігійні реформи, щоб уникнути застою й занепаду."
 HINT_FACTIONS_TITLE:0 "Фракції"
 HINT_FACTIONS_TEXT:0 "Деякі форми правління, такі як торговельні республіки або піднебесна імперія, мають політичні фракції, що конкурують за владу й вплив. Домінування однієї фракції над іншими відбувається завдяки діям правителя; і тільки домінуюча фракція дає свої специфічні бонуси. Ви можете прямо змінити співвідношення фракцій, використавши бали монарха."
 HINT_NATIVES_TITLE:0 "Тубільці"
 HINT_NATIVES_TEXT:0 "Тубільці мають свої унікальні особливості, такі як міграція й створення федерацій."
 HINT_PRIVATEERING_TITLE:0 "Каперство"
 HINT_PRIVATEERING_TEXT:0 "На каперську місію може відправитися будь-який флот, якщо він має у своєму складі фрегати. Капери будуть збільшувати торговельний вплив піратів в обраному торговельному вузлі. На відміну від місії по захисту торгівлі, капери не будуть збільшувати Ваш торговельний вплив."
 HINT_IMPROVERELATIONS_TITLE:0 "Поліпшення відносин"
 HINT_IMPROVERELATIONS_TEXT:0 "Ви можете відправити дипломата для поліпшення відносин з іншою державою. Щомісяця, поки дипломат працює над поліпшенням їх думки про вас, воно буде збільшуватися, поки не досягне максимуму. Після цього ви можете або залишити дипломата далі поліпшувати відносини або повернути його додому. Відносини з васалами, марками й молодшими уніатами можуть бути покращені набагато більше, ніж з іншими країнами."
 HINT_COPTS_TITLE:0 "Копти"
 HINT_COPTS_TEXT:0 "Копти."
