l_ukrainian:
 ARMY_PROFESSIONALISM_VALUE:0 "Професіоналізм армії: $VALUE|Y%2$"
 NO_DRILL_NO_LEADER:1 "Ви не можете муштрувати армію без командувача."
 NO_DRILL_NO_EXILED:1 "Ви не можете муштрувати армію під час відступу."
 NO_DRILL_MOVING:1 "Ви не можете муштрувати армію під час руху."
 NO_DRILL_CANT_MOVE:1 "Ви не можете муштрувати армію, яка не може рухатися."
 TRADING_POLICY_MOD:0 "$NAME|Y$ Торгова політика: $VAL$"
 MODIFIER_YEARLY_TRIBAL_ALLEGIANCE:0 "Щорічна Племінна Відданість"
 MODIFIER_SAME_CULTURE_ADVISOR_COST:0 "Вартість радників, що мають культуру правителя"
 MODIFIER_PROMOTE_CULTURE_COST:0 "Вартість просування культури"
 country_development:0 "Загальний розвиток"
 embrace_wahabism_title:0 ""
 embrace_wahabism_desc:0 ""
 talented_qadi:0 "Талановитий каді"
 desc_talented_qadi:0 "Ця провінція знаходиться під управлінням виключно талановитого каді, що гарантує компетентні та ефективні юридичні рішення в інтересах всього регіону."
 bad_loyal_mufti_modifier:0 "Лояльний шейх-уль-іслам"
 desc_bad_loyal_mufti_modifier:0 "Наш нинішній глава релігійної громади, хоч і володіє багатьма талантами, отримав призначення за свою відданість."
 ok_loyal_mufti_modifier:0 "Лояльний шейх-уль-іслам"
 desc_ok_loyal_mufti_modifier:0 "Наш нинішній глава релігійної громади, хоч і володіє багатьма талантами, отримав призначення за свою відданість."
 good_loyal_mufti_modifier:0 "Лояльний шейх-уль-іслам"
 desc_good_loyal_mufti_modifier:0 "Наш нинішній глава релігійної громади, хоч і володіє багатьма талантами, отримав призначення за свою відданість."
 bad_pious_mufti_modifier:0 "Праведний шейк-уль-іслам"
 desc_bad_pious_mufti_modifier:0 "Наш нинішній глава релігійної громади наділений сильним почуттям справедливості, і прагнутиме слідувати відповідно до нього за всяку ціну."
 ok_pious_mufti_modifier:0 "Праведний шейк-уль-іслам"
 desc_ok_pious_mufti_modifier:0 "Наш нинішній глава релігійної громади наділений сильним почуттям справедливості, і прагнутиме слідувати відповідно до нього за всяку ціну."
 good_pious_mufti_modifier:0 "Праведний шейк-уль-іслам"
 desc_good_pious_mufti_modifier:0 "Наш нинішній глава релігійної громади наділений сильним почуттям справедливості, і прагнутиме слідувати відповідно до нього за всяку ціну."
 bad_sufi_modifier:0 "Суфійський шейх-уль-іслам"
 desc_bad_sufi_modifier:0 "Наш нинішній глава релігійної громади був обраний з членів одного з впливових суфійських орденів держави, і його підтримка зміцнить владу правителя над населенням."
 ok_sufi_modifier:0 "Суфійський шейх-уль-іслам"
 desc_ok_sufi_modifier:0 "Наш нинішній глава релігійної громади був обраний з членів одного з впливових суфійських орденів держави, і його підтримка зміцнить владу правителя над населенням."
 good_sufi_modifier:0 "Суфійський шейх-уль-іслам"
 desc_good_sufi_modifier:0 "Наш нинішній глава релігійної громади був обраний з членів одного з впливових суфійських орденів держави, і його підтримка зміцнить владу правителя над населенням."
 new_madrassah:0 "Нове медресе"
 desc_new_madrassah:0 "Жителі столиці цієї провінції фінансували нове медресе, приваблююче впливових науковців з усього регіону."
 scholars_patronized_locally:0 "Місцеве сприяння науковцям"
 ghazis_from_abroad:0 "Газі"
 desc_ghazis_from_abroad:0 "Ми отримали багато іноземних воїнів, які прийшли, щоб приєднатися до війни проти невірних."
 sufi_shrine:0 "Суфійська святиня"
 desc_sufi_shrine:0 "Це місце гробниці видного суфійського шейха і пов'язаного з ним місця для поклоніння."
 foreign_shiite_urbanites:0 "Шиїтські городяни"
 desc_foreign_shiite_urbanites:0 "Шиїтські городяни з далеких країн оселилися в цій провінції, сприяючи економічному зростанню, але й приводячи до напруженості з місцевими жителями, які іноді мають інші традиції."
 foreign_shiite_settlers:0 "Шиїтські переселенці"
 desc_foreign_shiite_settlers:0 "Шиїти з далеких країн оселилися в цій провінції, сприяючи зростанню, але й приводячи до напруженості стосунків з більш традиційним місцевим населенням."
 local_sufi:0 "Впливовий суфій"
 desc_local_sufi:0 "Місцева громада знаходиться під сильним впливом харизматичного суфія. Цей духовний лідер далекий від повного впливу над улемів, але, тим не менш, він має тут багато послідовників, чимало з яких навертаються на іслам у перший раз."
 local_sufi_chased_away:0 "Посилення релігійної ортодоксальності"
 desc_local_sufi_chased_away:0 "Ми вилучили місцевого суфійського шейха з цього регіону, незважаючи на його вплив навіть у середовищі не-мусульман, і посилили релігійну ортодоксальність серед місцевих правовірних."
 has_religious_scholars_trigger_tooltip:0 "Запрошено богословів."
 academic_respect:0 "Взаємна повага"
 ruler_overriding_ulema:0 "Конфлікт між державою і судами"
 desc_ruler_overriding_ulema:0 "Втручаючись у судові справи в цьому регіоні, ми засмутили місцевих суддів і, як результат, спровокували невдоволення серед населення."
 courtly_disorder:0 "Граючи судами"
 desc_courtly_disorder:0 "Надзвичайно безпринципний торговець взяв за звичку використовувати релігійні суди для особистої вигоди, порушуючи порядок у цьому регіоні."
 upset_lodges:0 "Невдоволені суфійські братства"
 desc_upset_lodges:0 "Ми активно переслідували кожного, поміченого в підтримці шиїтських тенденцій у цій провінції, і в результаті сильно обмежили права місцевих суфійських братств."
 agreed_with_mufti:0 "Прогинання під суспільними протестами"
 desc_agreed_with_mufti:0 "Ми прогнулися під місцевими протестами на чолі із впливовим муфтієм, виконавши вимоги протестантів. Зниження напруги коштувало втрати обличчя місцевому гарнізону."
 disagreed_with_mufti:0 "Суспільні протести"
 desc_disagreed_with_mufti:0 "Соціальні протести в цій області були посилені підтримкою місцевого релігійного закладу. Наше небажання прислухатися до протестуючих розпалило учасників протестів."
 urban_decay:0 "Утруднене зростання"
 desc_urban_decay:0 "Столиця цієї провінції занадто швидко розрослася й благодійні організації не встигають за зростанням числа бідняків."
 waqfs_donated:0 "Створення нових вакфів"
 desc_waqfs_donated:0 "Щоб впоратися зі швидким зростанням міст у цій провінції ми зробили ряд нових щедрих пожертвувань, зменшивши видатки держави, але збільшивши можливості впоратися зі злиднями."
 upkeep_of_holy_cities:0 "Збереження святинь"
 desc_upkeep_of_holy_cities:0 "Ми зобов'язані оплачувати утримання святинь, що перебувають під нашим контролем. Для цієї мети ми виділили землі по всій території наших володінь."
 expanded_madrasah:0 "Всесвітньовідоме медресе"
 desc_expanded_madrasah:0 "Місцеве медресе стало досить відомим, залучаючи велику кількість богословів з усього регіону, і значно сприяючи розвитку всієї провінції."
 hampered_expansion_of_madrasah:0 "Перешкоди розвитку медресе"
 desc_hampered_expansion_of_madrasah:0 "Місцеве медресе стало досить відомим. Однак, місцеве населення не здатне зібрати достатньо коштів для підтримки по-справжньому великого медресе, і це стримує зростання всього регіону."
 sought_sufi_sheikh:0 "Розшукано гробницю суфійського шейха"
 desc_sought_sufi_sheikh:0 "Наш лідер прославився, знайшовши гробницю відомого суфійського шейха."
 ruler_not_favoring_sufis:0 "Утиск суфіїв"
 desc_ruler_not_favoring_sufis:0 "Наш правитель відмовився визнати суфійські святині, значно збільшивши підтримку з боку улеми."
 alevi_modifier:0 "Уповноважені алевіти"
 desc_alevi_modifier:0 "Ми передали владу місцевим алевітам, зробивши навернення провінції швидшим і менш проблемним."
 ulema_displeased:0 "Привілеї улемів порушено"
 desc_ulema_displeased:0 "Щоб зупинити корупцію серед керівників релігійних фондів, нам довелося обмежити права улемів."
 corrupt_sadrs:0 "Корумпований садр"
 desc_corrupt_sadrs:0 "Деякі з наших керівників релігійних фондів привласнювали собі частину грошей, які вони отримували, і використовували свій вплив, сприяючи тому, щоб їхні родичі платили менші податки."
 muslim_school_opinion_events.1.t:0 "[Root.GetReligiousSchool] і [school_opinion_increase_country.GetReligiousSchool] поважають один одного"
 muslim_school_opinion_events.1.d:0 "[Root.GetReligiousSchool] і [school_opinion_increase_country.GetReligiousSchool] ніколи не мали розбіжностей у питаннях теології, здатних перейти в конфлікт, і обидва звичаї часто існують пліч-о-пліч.\n[Root.GetAdjective]а [Root.GetReligiousSchool] і [school_opinion_increase_country.GetAdjective]а [school_opinion_increase_country.GetReligiousSchool] довго співпрацювали на державному рівні, що призвело до нової ери взаєморозуміння і поваги."
 muslim_school_opinion_events.1.a:0 "Аллах великий."
 muslim_school_opinion_events.2.t:0 "[Root.GetReligiousSchool] і [school_opinion_increase_country.GetReligiousSchool] нормалізували відносини"
 muslim_school_opinion_events.2.d:0 "[Root.GetReligiousSchool] і [school_opinion_increase_country.GetReligiousSchool] довгий час ворогували, а їхні стосунки були затьмарені взаємною недовірою та конфліктами. Доходило до того, що деякі богослови відкрито виступали із засудженням богословів іншого мазгабу та їхніх послідовників.\nОднак в останні роки напруженість помітно спала, а [Root.GetAdjective]і [Root.GetReligiousSchool] та [school_opinion_increase_country.GetAdjective]і [school_opinion_increase_country.GetReligiousSchool] богослови разом шукають шлях до толерантності та мирного співіснування."
 muslim_school_opinion_events.2.a:0 "Аллах великий."
 muslim_school_opinion_events.3.t:0 "Улеми і [Root.GetAdjective]о–[school_opinion_decrease_country.GetAdjective]а війна"
 muslim_school_opinion_events.3.d:0 "Затяжний [school_opinion_decrease_country.GetAdjective]о-[Root.GetAdjective]ий конфлікт поширився й у релігійному середовищі. Взаємна повага і терпимість впали до рекордно низького рівня, і вчення мазгабу [school_opinion_decrease_country.GetReligiousSchool] піддається маргіналізації в [Root.GetAdjective]ому суспільстві."
 muslim_school_opinion_events.3.a:0 "Обурливо."
 muslim_school_events.1.t:0 "Талановитий суддя"
 muslim_school_events.1.d:0 "Отримання освіти у сфері богослов'я і права часто є тривалим процесом, який охоплював вивчення класичних законів права під керівництвом шейхів різних медресе. За кожну вивчену книгу або коментар до неї учень отримує сертифікат – іджазу. Цінність іджази не завжди однакова, а залежить від того, що являє собою медресе та його шейх.\nОстаннім часом у медресе по всій країні говорять про особливо видатного богослова, і, без сумніву, цю людину чекає приголомшлива кар'єра кадія або муфтія."
 muslim_school_events.1.a:0 "Я чув, що область [mufti_province.GetAreaName] потребує нового кадія."
 muslim_school_events.1.b:0 "У ролі муфтія він нестиме закон нинішньому поколінню жителів міста [Root.Capital.GetCapitalName]."
 muslim_school_events.2.t:0 "Шейх-уль-іслам"
 muslim_school_events.2.d:0 "Там, де кадії – судді на місцях, муфтії займаються трактуванням законів і вчень. Однак [Root.GovernmentName] таких розмірів, як у нас, потребує всеосяжного контролю над усіма муфтіями. Традиційно цим займається шейх-уль-іслам.\nШейх-уль-іслам не тільки особисто видає фетви, а й призначає багатьох регіональних муфтіїв у нашій державі і, фактично, саме він забезпечує виконання указів, які видає [Root.Monarch.GetTitle]. Природно, що людина, яку ми оберемо, трактуватиме вчення так, як це роблять [Root.GetReligiousSchool], але існує ряд видатних кандидатів на наш вибір."
 muslim_school_events.2.a:0 "Виберемо на цю посаду найвірнішого і найвизначнішого муфтія."
 muslim_school_events.2.a.tt:0 "[Root.Monarch.GetTitle] майже завжди отримає підтримку вірного шейх-уль-іслама, а шанс підтримки з боку релігійної спільноти зросте."
 muslim_school_events.2.b:0 "Найбільш ерудованого і непохитного кандидата буде обрано шейх-уль-ісламом."
 muslim_school_events.2.b.tt:0 "Праведний шейх-уль-іслам буде підтримувати нас, поки ми правитимо згідно із законами благочестя. Це також збільшить частоту подій, пов'язаних з вимогами богословів."
 muslim_school_events.2.c:0 "Знаменитий суфій дасть цій посаді гідність, яку вона заслуговує."
 muslim_school_events.2.c.tt:0 "Суфійський шейх-уль-іслам підтримуватиме нас, поки ми підтримуватимемо суфізм у державі. Це також збільшить частоту подій, пов'язаних із суфізмом."
 muslim_school_events.3.t:0 "Нове медресе"
 muslim_school_events.3.d:0 "Видатні представники області [madrassah_province.GetAreaName] зробили ряд благодійних пожертвувань на заснування нового медресе в місті [madrassah_province.GetCapitalName]. Вони запросили богословів не лише з усієї області [madrassah_province.GetAreaName], але й зі столиці – міста [Root.Capital.GetCapitalName], і навіть іноземних."
 muslim_school_events.3.a:0 "Чудово."
 muslim_school_events.4.t:0 "Газі"
 muslim_school_events.4.d:0 "Протягом століть у війнах, спрямованих на поширення віри, на передовій ісламу боролися святі воїни, 'газі', розорюючи землі ворога й зміцнюючи лави правовірних. Наша війна проти [infidel.GetAdjective]их невірних привернула увагу таких воїнів. Вони прийшли, щоб вступити в наші ряди й довести своє звання святих воїнів і, можливо, через обіцяну здобич."
 muslim_school_events.4.a:0 "Їм завжди раді."
 muslim_school_events.5.t:0 "Опіка містом [holy_city.GetCapitalName]"
 muslim_school_events.5.d:0 "Щороку в священне місто [holy_city.GetCapitalName] прибуває все більше паломників, які прагнуть до місцевих святинь. Віруючі приходять з усіх куточків ісламського світу, приносячи з далеких місць у наші порти торгівлю, товари, капітал, новини та ідеї."
 muslim_school_events.5.a:0 "Бог є добро."
 muslim_school_events.6.t:0 "Міграція шиїтів"
 muslim_school_events.6.d:0 "Хоча шиїзм широко поширений в ісламському світі, більшість шиїтів живуть на землях, керованих сунітськими або навіть не мусульманськими державами. Щоби вижити, нашим братам по вірі часто доводиться вдаватися до політики Такія, навмисно вдаючи, що дистанціювалися від шиїтської віри. Як [Root.GovernmentName], що сповідує шиїзм, ми залучаємо до себе братів по вірі, які більше не бажають жити, приховуючи свою релігійну приналежність. Багато з них є освіченими і працездатними членами суспільства."
 muslim_school_events.6.a:0 "Запросимо їх до наших міст."
 muslim_school_events.6.b:0 "Відправимо їх на заселення порубіжжя."
 muslim_school_events.7.t:0 "Суфійський синкретизм"
 muslim_school_events.7.d:0 "Суфії з їхнім містичним і менш законницьким підходом до ісламу, мають більше підтримки серед чужовірців, ніж серед високоосвічених улемів або воїнів віри. Виявляючи благочестя за допомогою танців і співу та змішуючи ісламські традиції з місцевими, суфії мають ненайкращі стосунки з релігійними інституціями.\nСуфійський лідер зумів заручитися значною підтримкою в провінції [sufi_province.GetName], і безліччю новонавернених релігії [sufi_province.Religion.GetName], які приєднуються до його учнів. Його послідовники розчищають землі для нових поселень, де вони можуть жити разом і це цілком може призвести до значного зростання впливу ісламу в усьому регіоні. Чимало улемів просить, щоби ми відправили його геть, через побоювання, що він уведе правовірних в оману, розмиваючи лінію між ісламом і релігією [sufi_province.Religion.GetName]."
 muslim_school_events.7.a:0 "Він виконує Божу роботу."
 muslim_school_events.7.b:0 "Хай він проповідує в іншому місці."
 muslim_school_events.8.t:1 "Іноземні богослови пожвавлюють вчену думку"
 muslim_school_events.8.d:0 "Богослови, яких ми запросили в нашу країну, значно збагатили місцеву релігійну науку. Вони залишили свій слід у нашій країні і надихнули нове покоління улемів."
 muslim_school_events.8.a:0 "Вони потрібні мені в столиці – місті [Root.Capital.GetCapitalName]."
 muslim_school_events.8.b:0 "Вони повинні знаходити собі місця по всій нашій країні."
 muslim_school_events.9.t:0 "Богослови-[scholar_country.GetReligiousSchool]"
 muslim_school_events.9.d:0 "Дозволивши [scholar_country.GetAdjective]им богословам викладати в наших медресе, ми не сприяли розширенню теологічного диспуту в країні, але зміцнили наші зв'язки з їхньою батьківщиною."
 muslim_school_events.9.a:0 "Чудово."
 muslim_school_events.10.t:0 "Розбіжності в середовищі богословів"
 muslim_school_events.10.d:0 "Не всі богослови згодні один з одним. Зазвичай це не така вже й велика проблема, оскільки не викликає особливих розбіжностей у науковому світі. Але часом розбіжності приймають більш особисту форму, і деякі стверджують, що саме це стало причиною конфлікту між запрошеними богословами та місцевими релігійними діячами, що завдало великої шкоди нашій міжнародній репутації."
 muslim_school_events.10.a:0 "Невдало."
 muslim_school_events.11.t:0 "Гра судами"
 muslim_school_events.11.d:0 "Незважаючи на те, що школа, де сповідують [Root.GetReligiousSchool], є офіційно дозволеною, у всій нашій країні існує багато судів і кадіїв, а всі чотири мазгаби вважаються придатними чинити цивільне судочинство. Це означає, що в якійсь мірі можна 'грати в суди', подаючи справу на розгляд кадію з того мазгабу, який з найбільшою ймовірністю винесе позитивне рішення в конкретній справі.\nЗаповзятливий торговець з провінції [shiites_here.GetCapitalName] настільки досяг успіху в такого роду справах, що розлютив не лише місцеве населення та своїх конкурентів по бізнесу, але й місцевого управителя. Ми мало що можемо зробити в цій ситуації, не посягаючи на привілеї улемів."
 muslim_school_events.11.a:0 "Просто переконаємося, що із цією людиною розібралися."
 muslim_school_events.11.b:0 "Прагматизм вище богослов'я."
 muslim_school_events.12.t:0 "Такія"
 muslim_school_events.12.d:0 "Протягом століть багато послідовників Алі вважали за необхідне переховуватися й симулювати прихильність іншим релігійним обрядам, щоби зберегти свою віру. Влада в провінції [shiites_here.GetName] все частіше підозрює, що в місцевих суфійських братствах зростає число шиїтів і бажає отримати наше благословення на їхнє викорінення."
 muslim_school_events.12.a:0 "Ми не потерпимо єретиків!"
 muslim_school_events.12.b:0 "Ми повинні поважати суфійські братства."
 muslim_school_events.13.t:0 "Протести в провінції [protest_province.GetName]"
 muslim_school_events.13.d:0 "Володіючи значною духовною владою і будучи частиною релігійної громади, члени Улеми іноді вирішують приєднатися до народних протестів. Недавня сварка між місцевим гарнізоном і міським населенням провінції [protest_province.GetName] привернула увагу відомого муфтія з області [protest_province.GetAreaName].\nКомандувач місцевим гарнізоном побоюється, що ситуація може загостритися, і якщо ми не вислухаємо протестуючих, це може нам дорого обійтися."
 muslim_school_events.13.a:0 "Відшкодуємо збитки жителям провінції [protest_province.GetName]."
 muslim_school_events.13.b:0 "Муфтій чи ні, ми нічого не можемо вдіяти."
 muslim_school_events.14.t:0 "Голота міста [urbanization_province.GetCapitalName]"
 muslim_school_events.14.d:0 "Зі зростанням міст стара краса марніє, а стіни, які колись її підтримували, руйнуються. У місті [urbanization_province.GetCapitalName] це згодом призвело до змін. Брудні майстерні, такі як шкіряні, перемістилися за межі міських стін, як і цвинтарі. Однак, найбільш помітним стало збільшення числа бідняків на вулицях. Оскільки існуючі благодійні організації не змогли йти в ногу зі швидким зростанням міста, було висунуто пропозицію про більше перенаправлення державної власності на вакф – благодійні пожертви для утримання громадських харчевень і лазень для бездомних."
 muslim_school_events.14.a:0 "Ми, звичайно, підтримаємо цей почин."
 muslim_school_events.14.b:0 "Місцева знать може дозволити собі благодійність з власних кишень, еге ж?"
 muslim_school_events.15.t:0 "Місто [holy_city.GetCapitalName]"
 muslim_school_events.15.d:0 "Як покровителі святих мечетей міста [holy_city.GetCapitalName] ми несемо відповідальність не лише за Священну мечеть. Очікується, що держава, що претендує на цю честь, дбатиме як про населення святих міст, так і про приваблених ними паломників. Для цього багато правителів виділяють значні ресурси в межах самих міст та на великих територіях далеких сільськогосподарських угідь, щоби годувати й утримувати весь регіон.\nДеякі кажуть, що [Root.Monarch.GetName] не приділяє цим містам заслуженої уваги, що паломники більше не відчувають себе в безпеці, і нужда оселилася на вулицях міста [holy_city.GetCapitalName]."
 muslim_school_events.15.a:0 "Виділимо більше земель для їхнього утримання."
 muslim_school_events.15.b:0 "На жаль, зараз у нас більше немає ресурсів."
 muslim_school_events.16.t:0 "Розширення медресе в провінції [madrasa_province.GetCapitalName]"
 muslim_school_events.16.d:0 "Медресе в місті [madrasa_province.GetCapitalName] набирає популярність не лише як центр навчання мазгабу, де викладають [Root.GetReligiousSchool], а й через своїх шейхів з інших шкіл. Богослови мазгабу, де викладають [Root.GetReligiousScholars] з інших країн світу зробили собі ім'я в медресе міста [madrasa_province.GetCapitalName], в результаті зростає як сама установа, так і прилеглий ринковий район, прискорюючи зростання міста в цілому.\nВсе ж, зростання міст ніколи не відбувалося без проблем, і медресе, що розростається, потребує підтримки. Якщо [Root.Monarch.GetTitle] особисто виділить крупнішу благодійну пожертву на утримання та підтримку більшого медресе, це принесе користь як місту, так і всьому регіону."
 muslim_school_events.16.a:0 "Ми повинні зробити свій внесок у цей почин."
 muslim_school_events.16.b:0 "Місцеві жителі можуть годувати й платити за них."
 muslim_school_events.17.t:0 "Дарга"
 muslim_school_events.17.d:0 "Суфійський шейх у провінції [dargah_province.GetName] помер і його послідовники зараз зводять святиню на його честь. Паломники з різних куточків країни вже починають прибувати в провінцію, щоби побачити усипальницю цієї великої людини, яку дехто називає святою. Місцева знать зробила щедру пожертву, а його колишні учні відкрили будиночок поблизу.\nХоча немає нічого поганого у шануванні великої людини, деякі, більш традиціоналістичні серед побожних і улемів відчувають, що цей культ або поклоніння – блюзнірство.\nЯкщо [Root.Monarch.GetName] вирішить відвідати святиню в провінції [dargah_province.GetName], цей візит може мати значні наслідки, як для престижу святині, так і для сприйняття самого правителя в суспільстві."
 muslim_school_events.17.a:0 "Шукатимемо вказівки в цьому святому місці."
 muslim_school_events.17.b:0 "Ми не повинні підтримувати місцеві забобони."
 muslim_school_events.18.t:0 "Алевіти провінції [alevi_province.GetName]"
 muslim_school_events.18.d:0 "Хоча вони не є нашими безпосередніми братами по вірі, багато тюркських племен в Анатолії належать до шиїтів-алевітів. Подібно послідовникам джафарійського мазгабу, алевіти відносяться до двонадесятників і вірять у пришестя дванадцятого імама. У їхніх віруваннях також міцно закріпилися традиції містицизму і суфізму. Під владою сунітів їм доводиться жити за великим рахунком ізольовано від суспільства, їм заборонено укладати шлюби із сунітами, а держава не відчуває до них особливої довіри.\nЧимало жителів провінції [alevi_province.GetName] є алевітами, і вони вітали нас як своїх нових володарів. Їхні містичні традиції багато в чому відрізняються від наших, але прийнявши цих людей ми могли б набагато швидше поширити шиїзм у цьому регіоні."
 muslim_school_events.18.a:0 "Віддамо владу в регіоні нашим братам по вірі."
 muslim_school_events.18.b:0 "Хоча ми їх вітаємо, управління залишиться в руках місцевої влади."
 muslim_school_events.19.t:0 "Мирська улема"
 muslim_school_events.19.d:0 "Не всі члени Улеми великі богослови або інтелектуали. Корупція може зрости в будь-якому куточку держави, і декому буває важко відрізнити те, що приносить користь вірі від особистої вигоди. [Root.Monarch.GetName] звертає увагу на те, що безліч благочестивих дарів в імперії було отримано за допомогою шахрайства або незаконно передано в спадок. Наш візир пропонує провести перевірку такого роду дарів по всій країні, особливо в регіонах, які спочатку нам не належали.\nПоза всяким сумнівом, це смертельно образить улемів, які побачать у цьому зазіхання на їхні привілеї та нападки на весь стан у цілому."
 muslim_school_events.19.a:0 "Кілька переступів, ніщо в порівнянні з тим, що ці люди дають нам."
 muslim_school_events.19.b:0 "Лише зрадникам є чого боятися."
 muslim_school_events.20.t:0 "Мазгаб держави [Root.GetName]"
 muslim_school_events.20.d:0 "Як молода країна, ми ще не протегуємо жодній конкретній релігійній школі. Хоч є багато способів слідувати законам Бога, ми повинні мати конкретну керівну доктрину, якій могли б слідувати наші правителі."
 muslim_school_events.20.a:0 "Гаразд."
 muslim_school_events.20.b:0 "Слідуватимо вченню Абу Ханіфа."
 muslim_school_events.20.c:0 "Є лише шлях ханбалітів."
 muslim_school_events.20.dd:0 "Малик ібн Анас вказав нам правильний шлях."
 muslim_school_events.20.e:0 "Учення Імама аль-Шафії є найактуальнішими."
 muslim_school_events.20.f:0 "Джафарійський мазгаб направлятиме нас до пришестя Махді."
 muslim_school_events.20.g:0 "Ісмаїл ібн Джафар і його послідовники будуть нашими провідниками."
 muslim_school_events.20.h:0 "Ніколи не приховувати наші принципи! Ми повинні дотримуватися вчення Зейда ібн Алі."
 muslim_school_events.21.t:0 "Неосуфізм і реакція традиціоналістів"
 muslim_school_events.21.d:0 "[Root.Monarch.GetTitle] викликає невдоволення у багатьох улемів. Побожні мусульмани зневажають нас за призначення чужовірців на високі посади, а також прийняття чужовірних традицій і звичаїв. Втручання держави в трактування законів та інші традиційні сфери діяльності улемів не додало нам друзів у середовищі законників.\nХаризматичні шейхи суфійського ордена Накшбанді відкрито виступають проти держави, вважаючи наше трактування ісламських законів невірним, а подекуди й гріховним."
 muslim_school_events.21.a:0 "На жаль, їх введено в оману."
 muslim_school_events.21.a.tt:0 "З цього моменту релігійне співтовариство реагуватиме рішучіше на нечестиву поведінку правителя."
 muslim_school_events.21.a.ttb:0 "§YУлеми§! тепер очікуватимуть отримати більше землі."
 muslim_school_events.22.t:0 "Вакхабізм"
 muslim_school_events.22.d:0 "Зростаючий рух у середовищі ханбалійських улемів держави [Root.GetName] виступає за повернення до чистішої віри. Вони люто опираються будь-яким нововведенням у релігійних звичаях і всьому, що не відповідає письмовим джерелам ісламського права. Категорично виступаючи проти всіх форм суфізму, поклоніння святим або не ісламським традиціям, вони обіцяють справжнє релігійне суспільство всім, хто приймає їхнє вчення."
 muslim_school_events.22.a:0 "Цікаво."
 muslim_school_events.22.a.tt:0 "Тепер племінні федерації зможуть змінити свій мазгаб на ханбалійський."
 muslim_school_events.23.t:0 "Суфійські святині"
 muslim_school_events.23.d:0 "Практика протегувати або навіть забезпечувати всім необхідним святині, пов'язані з гробницями знаменитих суфіїв, вже давно стала каменем спотикання в середовищі улемів. З приходом до влади прихильників традиціоналізму, вони стали тиснути на правителя з вимогою заборонити подібну практику."
 muslim_school_events.23.a:0 "Ми повинні вчинити так, як вони просять."
 muslim_school_events.23.b:0 "Ні. Старі наставники були великими людьми!"
 EST_VAL_NEO_SUFISM:1 "Неосуфізм і традиціоналізм: §Y$VAL$%§!"
 compile_x_fiqh_title:0 "[Root.GetReligiousSchool] складають фікг"
 compile_x_fiqh_desc:0 "Не завжди зрозуміло, навіть самим начитаним улемам, як найкращим чином трактувати Шаріат, тож протягом століть у деяких районах існувала велика кількість суперечливих рішень. Якби ми змогли приділити достатньо часу і зусиль, щоби дозволити найкращим умам зібрати й записати всебічний огляд фікга, якому вчать [Root.GetReligiousSchool], це, ймовірно, було би величезною допомогою всім кадіям і муфтіям у нашій державі."
 compile_x_fiqh_tooltip_part1:0 "Складання фетви імені [Root.Monarch.GetName] візьме багато років, протягом яких діятиме такий модифікатор:"
 compile_x_fiqh_tooltip_part2:0 "Після завершення проекту модифікатор відійде, і ми отримаємо такі переваги:"
 alert_can_use_iqta_ability_instant:0 "§YМожна запровадити вміння Податкова політика!§!"
 alert_can_use_iqta_ability_delayed:0 "Можна запровадити вміння $POWERS|Y$."
 alert_can_use_malmluk_ability_instant:0 "§YМожна взаємодіяти з культурами!§!"
 alert_can_use_malmluk_ability_delayed:0 "Можна запровадити вміння $POWERS|Y$."
 alert_can_use_feudal_theocracy_ability_instant:0 "§YМожна запровадити вміння Феодальна теократія!§!"
 alert_can_use_feudal_theocracy_ability_delayed:0 "Можна запровадити вміння $POWERS|Y$."
 alert_can_use_tribal_federation_ability_instant:0 "§YМожна вимагати данину з племен!§!"
 alert_can_use_tribal_federation_ability_delayed:0 "Можна запровадити вміння $POWERS|Y$."
 IQTA_TAXATION_POLICY_PERIOD:2 "Протягом цього періоду ви не можете запровадити податкову політику Ікта."
 RELIGIOUS_SCHOLAR_EXPIRY_TITLE:0 "Вчений-теолог покидає країну"
 RELIGIOUS_SCHOLAR_EXPIRY_SETUP:0 "Коли вчений-теолог покидає нашу країну."
 RELIGIOUS_SCHOLAR_EXPIRY_HEADER:0 "Вчений-теолог покидає країну"
 RELIGIOUS_SCHOLAR_EXPIRY_1:0 "$MOD$"
 RELIGIOUS_SCHOLAR_EXPIRY_2:0 "покидають країну"
 RELIGIOUS_SCHOLAR_EXPIRY_3:0 "$COUNTRY$"
 RELIGIOUS_SCHOLAR_EXPIRY_4:0 "$MOD|Y$, які були нашими гостями протягом 20 років, тепер перейшли в інші медресе."
 RELIGIOUS_SCHOLAR_EXPIRY_5:0 ""
 RELIGIOUS_SCHOLAR_EXPIRY_6:0 ""
 RELIGIOUS_SCHOLAR_EXPIRY_LOG:0 "$MOD$ покидають країну $COUNTRY$."
 RELIGIOUS_SCHOLAR_EXPIRY_BTN1:0 "Гаразд"
 RELIGIOUS_SCHOLAR_EXPIRY_BTN2:0 "Гаразд"
 RELIGIOUS_SCHOLAR_EXPIRY_BTN3:0 "Перейти"
 RELIGIOUS_SCHOLAR_EXPIRY_MAP:0 ""
 MISSIONARY_ZEAL_CONVERSION_SPEED_MOD:0 "$WHO$ ефективність місіонера: $VAL$\n"
