l_ukrainian:
 FLAGSHIPS_IN_NAVY:0 "Цей флот містить флагмани."
 pirates.7.d:0 "On the island of Tortuga, off the coast of Haiti, a clandestine gathering of pirates and privateers convenes for what will be the first of many such meetings. The assembled captains enter a makeshift cabin begin to draft an agreement.\n\nSome hours later, the captains emerge from their conference and present to their crews the Pirate Code of the Brethren. With these Articles the Brethren of the Coast is founded and united by a code of conduct to be shared, with some modifications, among all crews.\n\nThe Brethren have made Tortuga their base of operations. From here they will set out under black sails to terrorize the Caribbean."
 pirates.7.a:0 "A pirate's life for me!"
 pirates.7.b:0 "We will eradicate these criminals."
 pirates.8.t:0 "Piracy in Palembang"
 pirates.8.d:1 "Palembang has fallen far from its time as capital of the great Srivijaya empire. The city has been abandoned by the collapsed Majapahit kingdom and for decades has been plagued by Chinese pirates who use the port as a base for their smuggling operations. When Admiral Zheng He weighed anchor in the city during his expeditions, he drove out the pirates and appointed Shi Jinqing to rule the city. But Zheng He and Shi Jinqing are now dead, and the pirates have to begun to gather once again. Left unchecked they will surely attempt to retake seize the city."
 pirates.8.a:0 "A pirate's life for me!"
 pirates.8.b:0 "They will no longer find refuge in Palembang."
 pirates.9.t:0 "The Lin Daoqian Band"
 pirates.9.d:0 "The notorious Chinese pirate Lin Daoqian and his ruthless band of cutthroats have made port in Pattani, where he seeks an audience with [Root.Monarch.GetTitle] [Root.Monarch.GetName]. Lin is renowned for his brutality. It is said that in Taiwan he massacred the native people and used their blood as caulk to seal a leak in his ship.\n\nHe states that his purpose in Pattani is to offer his services to the [Root.Monarch.GetTitle] in exchange for sanctuary from Chinese authorities. By his reputation and the size of his fleet however, it is likely that his true ambitions in the city extend beyond what he claims."
 pirates.9.a:0 "A pirate's life for me!"
 pirates.9.b:0 "They will find no refuge in our city."
 pirates.9.c:0 "Send him back to the sea. May he suffer death by drowning."
 pirates.10.t:0 "Sunken Treasure"
 pirates.10.d:0 "Rumors abound that the location of a sunken treasure fleet has been discovered. Wrecked by a raging hurricane, the lost galleon is said to have taken some one thousand sailors and millions of [sunken_ship_country.GetAdjective] dollars to its watery grave.\n\nNow that its purported location is widely know it is sure to attract opportunistic salvagers and perhaps even the [sunken_ship_country.GetAdjective] authorities seeking to recover their gold."
 pirates.10.a:0 "Arrange an ambush for would-be salvagers."
 pirates.10.b:0 "Lower the diving bell. The gold will be ours!"
 pirates.11.t:0 "The Tyranny of Captain [Root.captain_name.GetName]"
 pirates.11.d:0 "When a pirate captain flies the black flag he must invoke terror in the hearts of all who lay eyes upon it. But he must also command the respect of his crew, and at least in theory commands the ship with their consent.\n\nCaptain [Root.captain_name.GetName] of the [Root.GetRandomShipName] has gained for themselves a cruel and tyrannical reputation. The punishments they mete out for even the most minor and unsubstantiated offences are excessive even by the standards of lawless men. Unrest is growing, and it is only a matter of time before the crew take matters into their own hands."
 pirates.11.a:0 "Mutiny!"
 pirates.11.b:0 "The captain's word is law."
 pirates.12.t:0 "Division of Plunder"
 pirates.12.d:0 "Our latest prize turned out to be carrying a much more valuable cargo than expected. This fact has not yet been revealed to the crews, who would expect and demand that the additional plunder be added to their share. The captains of the involved ships wish sequester the money to refit their ships and purchase additional cannon, while the fence’s representative argues that it is best spent on bribing officials in legitimate ports. As an argument breaks out, a drunken crewman stumbles into the room and hears too much."
 pirates.12.a:0 "Divide it evenly amongst the crew."
 pirates.12.b:0 "The fence will take their cut."
 pirates.12.c:0 "The Captain will receive an extra share."
 pirates.13.t:0 "Forged Shipping Manifests"
 pirates.13.d:0 "Piracy is a dangerous business, but smuggling can carry just as much risk if the proper precautions are not taken. Our smugglers make their profits by purchasing stolen goods from pirate crews and selling them on for profit in legitimate markets. To sell these illegally acquired goods the smugglers must bribe port officials to ignore their origin or else present passable documents that proclaim their legitimacy.\n\n[Root.skilled_forger.GetName], a skilled forger, has recently entered our service and procured for us a number of documents that should be accepted in almost any port, ensuring that our operations will continue to run smoothly."
 pirates.13.a:0 "This is good for business."
 pirates.14.t:0 "Privateer Defects"
 pirates.14.d:0 "The privateer Captain [Root.defecting_privateer.GetName] has made quite a name for himself in the service of the [privateer_origin_country.GetAdjective] Navy. The payment he has been receiving for his prizes however is much less than the full value of the prizes themselves. Like many savvy privateers, [Root.defecting_privateer.GetName] has realized that he could make a greater profit by turning pirate. He has tossed his Letter of Marque overboard and made port in [Root.Capital.GetCapitalName]. As a pirate of [Root.GetName] he will be free to plunder to his heart’s content and keep the spoils he has rightfully stolen."
 pirates.14.a:0 "To profit and plunder!"
 pirates.15.t:0 "Slave Ship Captured"
 pirates.15.d:0 "After boarding our latest prize we discovered the cargo holds to be packed with captive slaves. Many among our crews have experienced the horrors of slavery for themselves, and naturally their first instinct was to demand that the slaves be freed and incorporated into the crew.\n\nThe less scrupulous crewmen with a particular lust for gold would prefer to instead treat these people as cargo and sell them on to the fence as such. There will be nothing in the way of moneyed compensation for their efforts to take this prize, they argue, if we refuse to profit from trading in slaves."
 pirates.15.a:0 "Liberate them! Let them live free in [Root.GetName]."
 pirates.15.b:0 "They are just cargo to be sold for profit."
 pirates.16.t:0 "Careening"
 pirates.16.d:0 "It is time once again to careen the ships. This arduous process requires the crews to drag the ships onto a secure beach at high tide and safely lower them onto their sides to expose the hull for repairs. It is a task dreaded by every pirate, not only because the risk of damage to the ship and injury to the crew is high but because of the backbreaking labor they must perform to see the job done right. Several advocates among the crew feel that a more relaxed approach should be taken to careening, despite the captain’s insistence that failing to make the proper repairs will cause far more problems down the line."
 pirates.16.a:0 "Ensure the crews do a thorough job."
 pirates.16.b:0 "Let the crews relax."
 pirates.17.t:0 "Smugglers Struggling"
 pirates.17.d:0 "Even at the best of times there it is difficult to smuggle contraband into foreign ports. These are most certainly not the best of times. Many of our smugglers are returning to [Root.Capital.GetCapitalName] having had their goods confiscated. Some do not return at all and await the gallows."
 pirates.17.a:0 "Unfortunate."
 pirates.18.t:0 "Electing a Quartermaster"
 pirates.18.d:0 "As the previous quartermaster of the [Root.GetFlagshipName] appears to have taken a long walk off a short plank, we find ourselves in need of a new candidate for the role. A quartermaster has a unique position on a pirate ship. Elected by the crew, he is expected to be their representative and to champion their needs against the often arbitrary authority of the captain.\n\nTwo candidates immediately present themselves. [Root.crew_representative.GetName] is a true advocate for the crew; he has both the humility to listen to their concerns and the fortitude to stand up to the captain. Meanwhile [Root.captains_puppet.GetName] is firmly in the Captain’s pocket; he is skilled at manipulating the crew into believing that the Captain’s wishes are also their own. Who will win the hearts and minds of the assembled pirates?"
 pirates.18.a:0 "[Root.crew_representative.GetName], a voice for the crew."
 pirates.18.b:0 "[Root.captains_puppet.GetName], the Captain's puppet."
 pirates.19.t:0 "Crew Blacklisted"
 pirates.19.d:0 "The crew of the [Root.GetRandomShipName] are a menace. Though they have an excellent record of delivering prizes, as soon as they make port their drunkenness and violence cause so much damage and disruption in [Root.Capital.GetCapitalName] that many wonder if they are worth the trouble they cause.\n\n After a particularly destructive episode, the local smuggling consortium has decided to blacklist the entire crew, making them unable to sell their plunder anywhere in [Root.GetName]. This has caused upset among the pirates that call the island home; they believe their natural rights to live as they please are being violated, and several rabble-rousers compare the smugglers to snobbish aristocrats."
 pirates.19.a:0 "Maintain the ban."
 pirates.19.b:0 "Lift the ban."
 pirates.20.t:0 "The Golden Age of Piracy"
 pirates.20.d:0 "Wars between colonial powers are bloody affairs that leave a legacy of devastation and villainy in their wake. Piracy has become rampant in the Caribbean. Former privateers have raised the black flag as they discover that peacetime is bad for profits, while naval captains disenfranchised by the outcome of the wars disavow their former sovereigns. The conflict between great powers has thus inadvertently ushered in a Golden Age of piracy."
 pirates.20.a:0 "A great annoyance. Or perhaps a great opportunity?"
 golden_age_of_piracy_tooltip:0 "The §YGolden Age of Piracy§! triggered modifier will be available for the next 50 years."
 golden_age_of_piracy:0 "Golden Age of Piracy"
 desc_golden_age_of_piracy:0 "Piracy has become rampant in the Caribbean. Any merchant vessel traversing these waters puts it self at the mercy of pirates and privateers."
 become_pirates_decision_title:0 "Hoist the Black Flag"
 become_pirates_decision_desc:0 "How can laws and civilization compete with freedom and the promise of treasure? It’s time to hoist the black flag and declare a Pirate Republic!"
 MODIFIER_TREASURE_FLEET_INCOME:0 "Прибуток від золотого флоту"
 TREASURE_FLEET_INCOME_MODIFIED_BY:0 "Сума залежить від: "
 grand_armada:0 "Велика Армада"
 grand_armada_desc:0 "Великий конвой буде супроводжувати золоті флоти, котрі приносять багатство Америк у наші порти."
 portuguese_marines:0 "Морські піхотинці Португалії"
 portuguese_marines_desc:0 "Щоб створити справжню світову імперію, ми повинні вміти завдавати удари по ворожих фортецях з моря."
 CAN_ESTABLISH_ORDER:0 "Можна встановити місію Святого Ордену у володінні $LOCATION|Y$."
 CAN_NOT_ESTABLISH_ORDER:0 "Не можна встановлювати місію Святого Ордену у володінні $LOCATION|Y$."
 MODIFIER_CENTER_OF_TRADE_UPGRADE_COST:0 "Вартість розвитку центру торгівлі"
 MODIFIER_MISSIONARY_MAINTENANCE_COST:0 "Витрати на утримання місій"
 MODIFIER_NAVAL_TRADITION_FROM_TRADE:1 "Зміна морських традицій від захисту торгівлі"
 MODIFIER_ADMIRAL_COST:0 "Вартість найму адмірала"
 MODIFIER_EXPEL_MINORITIES_COST:0 "Вартість вислання меншостей"
 IDEA_MAY_FABRICATE_FOR_VASSALS:1 "Можна фабрикувати претензії для суб'єктів"
 order_events.1.t:0 "Домініканці протестують проти тубільної політики"
 order_events.1.d:0 "Монах-домініканець нещодавно повернувся в державу [Root.GetName] з провінції [las_casas_province.GetName], де брав участь у заснуванні нашої колонії та стежив за її розростанням разом з іншими членами ордену. Він обурився нашому ставленню до корінного населення американських колоній і відкрито виступив проти нашої жорстокої колоніальної політики.\n\nВідцуравшись від свого минулого, в якому він виступав, як безпосередній учасник тих подій, він тепер постав перед троном, щоби переконати правителя й переконати [Root.Monarch.GetHerHim] про поблажливість у ставленні до корінного населення."
 order_events.1.a:0 "[Root.GetName] – це християнська нація. Ми повинні проявляти милосердя."
 order_events.1.b:0 "Якщо ми зробимо поправки, можливо, ми могли би переконати їх торгувати з нами."
 order_events.1.c:0 "Наївні писання ченця не можуть бути основою державної політики."
 order_events.2.t:0 "Malleus Maleficarum"
 order_events.2.d:1 "Книга про чаклунство, яка, як вважали, спочатку була написана десь у Центральній Європі, знайшлася в домініканському монастирі в провінції [maleficarum_province.GetName]. Маllеus Маlеfiсаrum, Молот відьом, не тільки попереджає про небезпеку відьом для суспільства, а й пояснює способи боротьби з ними. У книзі подібні чаклунські практики належать до єретичних і стверджується, що суди повинні залучати за це до відповідальності та карати відповідним чином.\n\nХоча домініканці в провінції [maleficarum_province.GetName] далекі від єдності щодо достовірності книги, деякі вважають, що вона виникла всередині ордену. Її доля продовжує залишатися предметом суперечок."
 order_events.2.a:0 "Рознесіть цю мудрість по всій землі!"
 order_events.2.b:0 "Тримайте книгу в монастирі для вивчення."
 order_events.2.c:0 "Знищити цю книгу."
 order_events.3.t:0 "Домініканський університет"
 order_events.3.d:0 "Орден Проповідників часто встановлює місії поблизу університетів і має давню історію підтримки таких установ. У провінції [dominican_university_province.GetName] вони опинились без такого центру й намагаються самі його створити. Вони вже зібрали значні кошти, але зараз шукають підтримки для своїх прагнень у [Root.GetAdjective]ої корони."
 order_events.3.a:0 "[Root.GetName] потребує більше місць для навчання."
 order_events.3.b:0 "По-перше вони повинні зосередитись на релігійних установах."
 order_events.3.c:0 "Замість цього нехай вони повідомляють про свої дослідження в місто [Root.Capital.GetCapitalName]."
 order_events.4.t:0 "Переслідування фратічеллі"
 order_events.4.d:0 "Послідовники Святого Франциска проживають життя в бідності та смиренні, але деякі заходять ще далі у своєму запереченні багатства. Група [Root.GetAdjective]их францисканців зайняла жорсткішу позицію, ставлячи під сумнів благочестя як вищих церковних чиновників, так і інших Орденів, які володіють власністю. Вони вказують на життя Христа та апостолів, вільне від розкоші нинішньої церкви.\n\nДомініканський інквізитор [Root.Adm_Advisor.GetName] зазначає, що ці погляди небезпечно близькі до ідей фратічеллі – єретиків, переслідуваних інквізицією. Радник пропонує судити цих так званих францисканців і дозволити [Root.Adm_Advisor.GetHerHis] Ордену взяти на себе їхні обов'язки з розповсюдження релігії."
 order_events.4.a:0 "Виженіть цих єретиків і запросіть інший орден."
 order_events.4.b:0 "[Root.Adm_Advisor.GetName] перевищує свої повноваження."
 order_events.5.t:0 "Посередництво між гілками"
 order_events.5.d:0 "У минулому було зроблено декілька спроб об'єднати гілки Ордену Францисканців. До сих пір вони були невдалими, в основному через занадто великі принципові розходження між гілками. [PAP.Monarch.GetTitle] [PAP.Monarch.GetName] не має таких амбіцій, але все одно повинен вирішити, чи слід спробувати об'єднати гілки цього часто роз'єднаного ордену або ж узаконити їхні відмінності. Володіючи значним впливом на Папу, [Root.GetName] має унікальну можливість вплинути на хід подій."
 order_events.5.a:0 "Спробуйте зблизити гілки."
 order_events.5.b:0 "Надайте більше влади старшому ордену Спостережників."
 order_events.5.c:0 "Дозвольте гілкам підтримувати різні практики."
 order_events.6.t:0 "Відгалуження ордену"
 order_events.6.d:0 "На практиці францисканці представляють не єдиний орден, а групу орденів, які слідують вченню Святого Франциска. Утворення таких орденів не є реалією, що відноситься до минулого. Часом окремі громади відходять від загальноприйнятих практик, особливо за часів розбіжностей всередині церкви.\n\nГрупа францисканців з провінції [franciscan_origin_province.GetName] звернулася з проханням залишити своє братство, бажаючи переселитися до провінції [franciscan_target_province.GetName] щоб жити життям, яке, за їхнім твердженням, більше відповідає навчанням Святого Франциска. Чи повинні ми дозволити подібне дроблення?"
 order_events.6.a:0 "Поки вони називають себе францисканцями, на це можна погодитися."
 order_events.6.b:0 "Тільки під наглядом існуючого ордену."
 order_events.6.c:0 "Негайно знищити цю єресь!"
 order_events.7.t:0 "Єзуїти закликають до реформи"
 order_events.7.d:0 "Ніхто не сумнівається в щирості зусиль Ордену єзуїтів щодо захисту католицької віри від протестантських єресей. Їх заклики до реформування церкви були сприйняті в державі [Root.GetName] як частина контрреформації. Проте, їхні спроби позбавити наші установи від корупції та жадібності іноді суперечать іншим представникам церкви.\n\nЗ поширенням протестантизму єзуїти прийшли до впевненості, що вони зможуть відновити владу та авторитет, пішовши, в першу чергу, на деякі поступки в стосунках між цими новонаверненими та місцевими єпископами. Чи можемо ми довірити їм тактовно розв'язати цю проблему?"
 order_events.7.a:0 "Ми дозволимо, якщо це допоможе нам навернути єретиків."
 order_events.7.b:0 "Не їм судити про реформу церкви."
 order_events.8.t:0 "Єзуїтські місії в колоніях"
 order_events.8.d:0 "Товариство Ісуса завжди брало активну участь в місіонерській діяльності, а їх представники вже присутні в [Root.GetAdjective]ій колонії в провінції [jesuit_mission_origin.GetName]. Тепер, упевнені в тому, що у них є всі необхідні ресурси в цій колонії, вони сподіваються встановити поблизу нову місію. З нашого благословення і заручившись обіцянками підтримки їхніх подальших зусиль, вони вважають, що володіють достатнім числом людей, щоб заснувати постійне поселення в цих незайманих землях на славу держави [Root.GetName] та католицької віри."
 order_events.8.a:0 "Похвальна ініціатива."
 order_events.8.b:0 "Вони повинні залишатися в провінції [jesuit_mission_origin.GetName]."
 order_events.8.c:0 "Вони повинні зосередити свої зусилля на наших вже існуючих колоніях."
 order_events.9.t:0 "Богословські дебати"
 order_events.9.d:1 "Орден єзуїтів має значний вплив, що може зробити досить суперечливими навіть академічні розбіжності з папством. Недавня суперечка з питань богослов'я привела до конфлікту в провінції [order_events_9_prov.GetAreaName] між [Root.GetAdjective]ими єзуїтами та деякими кардиналами. Тепер [PAP.Monarch.GetTitle] [PAP.Monarch.GetName] стурбований тим, що це може послабити доктрину в державі [Root.GetName], навіть якщо спір повинен був залишатися суто внутрішнім питанням. Ми будемо змушені прийняти ту чи іншу сторону, якщо не публічно, то, принаймні, перед залученими сторонами."
 order_events.9.a:0 "Спробуйте отримати прихильність Святого Престолу, підтримуючи встановлену доктрину."
 order_events.9.b:0 "Спробуйте заспокоїти [Root.GetAdjective]их єзуїтів відлунням їхніх же аргументів."
 order_events.9.c:0 "Відмовтеся прийняти чиюсь сторону й залиште це богословам."
 order_events.9.e:0 "Хай [Root.Adm_Advisor.GetName] витончено вирішить цю проблему."
 ADD_FLAGSHIP_EFFECT:0 "У провінції $PROV|Y$ з'явиться новий флагман $TYPE|Y$, названий $NAME|Y$."
 ADD_NAMED_SHIP_EFFECT:0 "У провінції $PROV|Y$ з'явиться новий корабель $TYPE|Y$, названий $NAME|Y$."
 MODIFIER_GLOBAL_NAVAL_BARRAGE_COST:0 "Вартість морського шквального вогню"
 flavor_nav.1.t:0 "Терранова"
 flavor_nav.1.d:0 "Корабель, заповнений баськими китобоями та їхніми сім'ями, кинув якір у далекого берега землі, що ми називаємо Терранова - Новий Світ. [Root.Monarch.GetTitle], спонсорували їх власним коштом, доручили їм створити колонію на цьому холодному північному острові.\n\nСаме жкоролівство Наварра, як і раніше, ризикує опинитися в положенні малої країни у владі великих держав, що її оточують. Дехто задумується, чи можемо ми уникнути наших неприємностей, покинувши землі наших предків і заснувавши новий дім для нашого народу в Терранові."
 flavor_nav.1.a:0 "Залишімо Старий Світ позаду!"
 flavor_nav.1.b:0 "Ми не покинемо нашу батьківщину."
 flavor_nav.2.t:0 "Арагонська спадщина"
 flavor_nav.2.d:0 "Хоча король Альфонса V не має законних дітей, лінії спадкоємства в Арагоні здається нічого не загрожує, оскільки брата короля, принца Хуана, було оголошено наступним в черзі на престол. Принц Хуан довгий час був одружений з королевою Бланкою Наваррською, яка, на жаль, померла навесні в рік Господа нашого 1441. Замість того, щоб передати королівство Наварра їхньому синові Карлосу, Хуан зумів сам зайняти престол і тепер одноосібно править як король Наварри. Наслідком цього є те, що корони Арагона і Наварри буде об'єднано, якщо король Альфонс помре, поки Хуан ще живий, за умови, що Наварра залишиться незалежною державою."
 flavor_nav.2.a:0 "Сподіватимемося, успадкування пройде плавно."
 flavor_nav.4.t:0 "Смерть короля Альфонсо"
 flavor_nav.4.d:0 "Трагічна смерть короля Альфонса Великодушного поклала кінець владі престижу і процвітання Корони Арагону. Схоже, з його смертю король Хуан Наваррський готовий зайняти трон. Так покладено початок особистої унії між Короною Арагона і королівством Наварра.\n\nОднак знать Каталонії незадоволена правонаступництвом короля Хуана; вони зажадали великих поступок в обмін на визнання його правління."
 flavor_nav.4.d2:0 "Трагічна смерть короля Альфонса Великодушного поклала кінець владі престижу і процвітання Корони Арагону. Схоже, з його смертю король Хуан Наваррський готовий зайняти трон. Передбачалося й було вирішено, що після своєї коронації Хуан перенесе свій двір в місто [Root.Capital.GetCapitalName] і правитиме насамперед як король Арагона. Але у короля Хуана можуть бути інші плани..."
 flavor_nav.4.a:0 "Ми повинні прийняти вимоги Каталонії."
 flavor_nav.4.b:0 "Подивимося як вчинить король Хуан."
 flavor_nav.4.c:0 "Ми не підемо на поступки!"
 flavor_nav.5.a:0 "Наварра повинна очолити цей союз!"
 flavor_nav.5.b:0 "Наша доля - бути під Арагоном."
 MISSIONARY_MAINT_ENVOY_ENTRY:0 "$NAME|Y$ в провінції $LOCATION|Y$ коштує $COST|R$¤/місяць.\n"
 CONFIRMMISSION_MAINTENANCE_COST:1 "Через її розвиток і автономію навернення цієї провінції коштуватиме $COST|R$¤/місяць."
 PROVINCEMISSION_MAINTENANCE_COST:0 "Цього місяця ми заплатили місіонеру $COST|R$¤."
 MODIFIER_LOCAL_MISSIONARY_MAINTENANCE_COST:0 "Місцева вартість фінансування місій"
 DEATH_NAMED_ADMIRAL_BECOMES_RULER:0 "Нашою державою правитиме адмірал $NAME|Y$."
 DEATH_ADMIRAL_BECOMES_RULER:0 "Нашою державою правитиме адмірал."
 DISALLOWED_TRADE_GOODS:0 "Заборонені товари: "
 DEATH_NAMED_GENERAL_BECOMES_RULER:0 "Нашою державою правитиме генерал $NAME|Y$."
 DEATH_GENERAL_BECOMES_RULER:0 "Нашою державою правитиме генерал."
 mechanic_generals_become_rulers_yes:0 "Генерал стане правителем, коли нинішній правитель помре."
 mechanic_generals_become_rulers_no:0 "" # deliberately blank
 manufacturing_center:0 "Виробничий центр імперії"
 manufacturing_center_desc:0 "Наші громадяни є основою, на яку спирається влада торгової імперії нашого повелителя. До нас доставляється іноземна сировина, яку ми потім переробляємо на готову продукцію."
 council_of_the_indies_reform:0 "Рада Індій"
 council_of_the_indies_reform_desc:0 "Нашим великим колоніальним володінням необхідна центральна адміністрація, підпорядкована безпосередньо Короні. Хоча віце-королі будуть правити відповідними територіями, верховодити в колоніях буде Рада, а її суди поширять наші закони до найвіддаленіших куточків Нового Світу."
 council_of_captains_reform:0 "Рада капітанів"
 council_of_captains_reform_desc:0 "Піратська Республіка повинна керуватися волею своїх найвидатніших капітанів. Саме їхній союз об'єднує нашу націю, тому їніх рішення повинні мати пріоритет над будь-якою іншою владою."
 articles_of_agreement_reform:0 "Корабельний уклад"
 articles_of_agreement_reform_desc:0 "Корабельний уклад є наріжним каменем громадського порядку на борту піратського корабля. Він гарантує, що кожен екіпаж має рівний голос у всіх питаннях і рівну частку від награбованого. Такий уклад повинен бути встановлений для самої республіки, щоб забезпечити свободу і рівність усіх піратів."
 smugglers_haven_reform:0 "Притулок контрабандистів"
 smugglers_haven_reform_desc:0 "Неможливо займатися піратством, не маючи можливості продати крадене. Ми повинні забезпечити в Республіці умови, придатні для контрабандистських операцій."
 pirate_king_reform:0 "Pirate King"
 pirate_king_reform_desc:0 "Every great empire stands in opposition to us. To stand any chance of survival we must rally behind our own Pirate King, and the King's word will be law."
 war_against_the_world_doctrine_reform:0 "War Against the World Doctrine"
 war_against_the_world_doctrine_reform_desc:0 "The tyrants of the world must be unseated! We can no longer tolerate kings and despots making slaves of our fellow man. And so we shall adopt a new doctrine: war against the world!"
 black_market_consortium_reform:0 "Black Market Consortium"
 black_market_consortium_reform_desc:1 "The pirates that run amok in the Republic cannot be trusted to bathe themselves, let alone to govern a nation whose future hands on the edge of a cutlass. A Consortium formed of the most influential black market merchants shall be established as its true governors. Profit must come before liberty."
 pirates_become_republic_reform:0 "Lower the Black Flag"
 pirates_become_republic_reform_desc:0 "The time has come to end our lives of piracy and settle down to establish a more stable Republic."
 PIRATE_WAR_NAME:0 "$ORDER$$FIRST$ Piratical War against $SECOND$"
 cb_war_against_the_world:0 "War Against the World"
 cb_war_against_the_world_desc:0 "All the world brands us monsters; we will fight them all to protect our liberty!"
 pirate_king_decision_title:0 "Enthrone a Pirate King"
 pirate_king_decision_desc:0 "Every great empire stands in opposition to us. To stand any chance of survival we must rally behind our own Pirate King, and the King's word will be law."
 black_market_consortium_decision_title:0 "Establish a Black Market Consortium"
 black_market_consortium_decision_desc:0 "The pirates that run amok in the Republic cannot be trusted to bathe themselves, let alone to govern a nation whose future hands on the edge of a cutlass. A Consortium formed of the most influential black market merchants shall be established as its true governors. Profit must come before liberty."
 war_against_the_world_decision_title:0 "Enact War Against the World Doctrine"
 war_against_the_world_decision_desc:0 "The tyrants of the world must be unseated! We can no longer tolerate kings and despots making slaves of our fellow man. And so we shall adopt a new doctrine: war against the world!"
 pirate_kingdom:0 "Pirate Kingdom"
 pirate_kingdom_desc:0 "Every great empire stands in opposition to us. To survive we have rallied behind our own Pirate King, and the King's word is law. Only the strongest among us must be allowed to rule."
 war_against_the_world_government:0 "Liberi Government"
 war_against_the_world_government_desc:0 "The tyrants of the world must be unseated! We can no longer tolerate kings and despots making slaves of our fellow man. And so we shall adopt a new doctrine: war against the world!"
 black_market_consortium_government:0 "Black Market Consortium"
 black_market_consortium_government_desc:0 "The pirates that run amok in the Republic cannot be trusted to bathe themselves, let alone to govern a nation whose future hands on the edge of a cutlass. A Consortium formed of the most influential black market merchants shall be established as its true governors. Profit must come before liberty."
 MODIFIER_INFANTRY_FIRE:0 "Вогнева міць піхоти"
 MODIFIER_CAVALRY_FIRE:0 "Вогнева міць кавалерії"
 MODIFIER_ARTILLERY_FIRE:0 "Вогнева міць артилерії"
 MODIFIER_INFANTRY_SHOCK:0 "Натиск піхоти"
 MODIFIER_CAVALRY_SHOCK:0 "Натиск кавалерії"
 MODIFIER_ARTILLERY_SHOCK:0 "Натиск артилерії"
 shadhili_order:0 "Шазілія"
 shadhili_order_desc:0 "Суфійський орден або тарикат, заснований в Марокко, спрямований на інтелектуальні заняття, такі як література та поезія."
 qadiri_order:0 "Кадірія"
 qadiri_order_desc:0 "Спочатку заснований в Ірані, Кадірійський тарикат є однією з гілок суфізму, що охоплює безліч різних інтерпретацій у всьому світі."
 aissawa_order:0 "Айсава"
 aissawa_order_desc:0 "Молодша гілка суфізму, чия спадщина псалмів і молитов перетворилася на ритуали, що включають музику і танці."
 order_piety_tooltip:0 "Ви зрушите на §Y2§! у бік містицизму за §Yкожну провінцію у володінні.§!"
 CONFIRM_ABANDON_HOLY_ORDER:0 "$NAME|Y$ покинуть це володіння:\n$EFFECT$"
 HOLY_ORDER_ALREADY_ESTABLISHED:0 "§RУ ціьому володінні вже встановлена місія Святого Ордену.§!"
 privateering:0 "Каперство"
 flagship_events.1.t:0 "Флагман захоплено державою [From.GetName]!"
 flagship_events.1.d:0 "[Root.GetLostFlagshipName], гордість держави [Root.GetName], нещодавно був втягнутий у жорстокий бій проти [From.GetAdjective]ої армади. Попри вчинений опір, він потрапив до рук ворога. Наш флот залишився без флагмана й, що ще гірше, нам доведеться змиритися з тим, що [Root.GetLostFlagshipName], можливо, буде використано проти нас."
 flagship_events.1.a:0 "Приниження!"
 flagship_events.2.t:0 "[captured_flagship_country.GetAdjective]ий флагман захоплено!"
 flagship_events.2.d:0 "Під час битви з [captured_flagship_country.GetAdjective]им флотом, нам вдалося захопити корабель [captured_flagship_country.GetLostFlagshipName], флагман, яким вони так раніше пишалися. Хоча це, безумовно, корабель, що вражає, ми не тільки його перемогли, але й змогли захопити його більш-менш неушкодженим. Сподіваюся, це стане їм уроком – наскільки безглуздо перевіряти нашу міць у світових океанах."
 flagship_events.2.a:0 "[Root.GetAdjective]ий прапор гордо майорітиме над ним!"
 flagship_events.3.t:0 "Флагман потоплено державою [From.GetName]!"
 flagship_events.3.d:0 "Флагман [Root.GetLostFlagshipName], перлина [Root.GetAdjective]ого флоту, було сьогодні трагічно втрачено під час морської битви з [From.GetAdjective]ою загрозою. Попри героїчний останній бій, наш флагман тепер на дні океану."
 flagship_events.3.a:0 "Про часи, коли він ходив по морях, розповідатимуть легенди!"
 flagship_events.4.t:0 "[sunk_flagship_country.GetAdjective]ий флагман потоплено!"
 flagship_events.4.d:0 "З усіх кораблів [sunk_flagship_country.GetAdjective]ого флоту жоден не мав такої репутації, як [sunk_flagship_country.GetLostFlagshipName]. Знаючи це, ми готувалися до зустрічі з цим кораблем і сьогодні наші приготування себе виправдали. У сьогоднішній битві корабель [sunk_flagship_country.GetLostFlagshipName] було потоплено, що завдало істотного удару по [sunk_flagship_country.GetAdjective]ому бойовому духу й нагадало їм, що жоден корабель, яким би легендарним він не був, не є непотоплюваним."
 flagship_events.4.a:0 "Добре, що здихалися!"
 flavor_pap.EVTNAME9:0 "Sublimis Deus"
 flavor_pap.EVTDESC9:0 "Папа заборонив поневолювати корінних жителів Америки. Він пише, що віра в те, що вони – нижчі тварини, нездатні отримати Божу благодать, є брудною брехнею, поширюваною самим ворогом роду людського. Натомість, Його Святість наполягає на тому, що, як і всі наділені душею істоти, ці люди прагнуть до Божого світла, а тому всі благочестиві правителі повинні поспішати поширювати між ними католицьку віру."
 flavor_pap.9.a:0 "Нав'язати волю Папи."
 flavor_pap.9.b:0 "Те, чого не знає Папа, не може йому зашкодити."
 IS_EXPELLING_FROM:0 "Меншості висилають з провінції $SOURCE|Y$."
 IS_NOT_EXPELLING_FROM:0 "Меншості не висилають з провінції $SOURCE|Y$."
 expel_minority_events.1.t:0 "Притулок у провінції [expelling_province.Religion.GetName]"
