l_ukrainian:
 native:1 "Корінне плем'я"
 mechanic_can_inherit_personal_unions_yes:0 "Вмикає механіку §YУспадкування молодших партнерів в особистій унії§!."
 mechanic_can_inherit_personal_unions_no:0 "Вимикає механіку §YУспадкування молодших партнерів в особистій унії§!."
 mechanic_claim_states_yes:0 "Можна претендувати на цілу державу."
 mechanic_claim_states_no:1 "Не можна претендувати на цілу державу."
 mechanic_religion_yes:0 "Є теократією."
 mechanic_religion_no:0 "Не є теократією."
 mechanic_republic_yes:0 "Є республікою."
 mechanic_republic_no:0 "Не є республікою."
 mechanic_dictatorship_yes:0 "Є диктатурою."
 mechanic_dictatorship_no:0 "Не є диктатурою."
 mechanic_monarchy_yes:0 "Є монархією."
 mechanic_monarchy_no:0 "Не є монархією."
 mechanic_tribal_yes:0 "Є племенем."
 mechanic_tribal_no:0 "Не є племенем."
 mechanic_is_elective_yes:0 "Нового монарха обирають з числа чинних кандидатів."
 mechanic_is_elective_no:0 "Нового монарха не обирають."
 mechanic_has_devotion_yes:0 "Використовується механіка праведності."
 mechanic_has_devotion_no:0 "Механіка праведності недоступна."
 mechanic_has_meritocracy_yes:0 "Використовується механіка меритократії."
 mechanic_has_meritocracy_no:0 "Механіка меритократії недоступна."
 mechanic_maintain_dynasty_yes:0 "Династія незмінна."
 mechanic_maintain_dynasty_no:0 "Династія може бути змінена."
 mechanic_has_harem_yes:0 "Правитель має гарем."
 mechanic_has_harem_no:0 "Правитель не має гарему."
 mechanic_has_pashas_yes:3 "Можна посадити §Yпашу§!."
 mechanic_has_janissaries_yes:0 "Можна набирати §Yяничар§!."
 mechanic_has_janissaries_no:0 "Більше не можна набирати §Yяничар§!."
 mechanic_boost_income_yes:1 "Вмикає механіки торгових республік (Васали передають вам торгову силу, збільшуються витрати на управління державою, зменшується ціна торгових компаній)."
 mechanic_boost_income_no:0 "Вимикає механіки торгових республік."
 mechanic_can_use_trade_post_yes:1 "Можна створювати §Yторгові пости§!."
 mechanic_can_use_trade_post_no:2 "Не можна створювати §Yторгові пости§!."
 mechanic_can_form_trade_league_yes:1 "Можна засновувати §Yторгову лігу§!."
 mechanic_can_form_trade_league_no:1 "Не можна засновувати §Yторгову лігу§!."
 mechanic_trade_city_reform:1 "Можна створювати §Y$VALUE$§!."
 mechanic_assimilation_cultures:0 "Інтеграція культур у суспільство."
 mechanic_states_general_mechanic:2 "Вмикає механіку §Y$LEFT$ проти $RIGHT$§!."
 statists_MECHANIC_TOOLTIP:0 "Штатисти"
 orangists_MECHANIC_TOOLTIP:0 "Оранжисти"
 monarchists_MECHANIC_TOOLTIP:0 "Монархісти"
 mechanic_allow_vassal_war_yes:0 "Війни між васалами дозволено."
 mechanic_allow_vassal_war_no:0 "Війни між васалами заборонено."
 mechanic_allow_vassal_alliance_yes:0 "Союзи між васалами дозволено."
 mechanic_allow_vassal_alliance_no:0 "Союзи між васалами заборонено."
 mechanic_min_autonomy:1 "Мінімальна автономія дорівнює §Y$VALUE$§!."
 mechanic_royal_marriage_yes:0 "Династичні шлюби дозволено."
 mechanic_royal_marriage_no:0 "Династичні шлюби заборонено."
 mechanic_nomad_yes:1 "Є §Yкочовиками§!."
 republic_desc:0 "Республіка - це держава, керована її громадянами. Влада не успадковується, а передається обраному голові держави."
 theocracy_desc:0 "У теократії вважають, що будь-яка влада походить від Бога. Правлячим класом є духовенство, а правитель обирається з їхнього числа."
 FACTIONS:0 "Доступні фракції: "
 mechanic_is_trading_city_yes:1 "Є §Yторговим містом§!."
 mechanic_free_city_yes:1 "Є §Yвільним містом§!."
 ability_russian_mechanic:0 "Царський уряд"
 ability_feudal_theocracy_mechanic:1 "Феодальна теократія"
 feudal_theocracy_mechanic:0 "Феодальна теократія"
 monarchy_mechanic:0 "Монархія"
 republic_mechanic:0 "Республіка"
 theocracy_mechanic:0 "Теократія"
 mechanic_allow_migration_yes:0 "Дозволена міграція"
 mechanic_native_mechanic_no:0 " " # навмисно залишено порожнім
 mechanic_native_mechanic_yes:0 "Використовуються механіки індіанців."
 mechanic_different_religion_acceptance:0 "Визнання інших релігій: $VALUE|R$"
 mechanic_different_religion_group_acceptance:0 "Визнання інших релігійних груп: $VALUE|R$"
 SUPPORT_LOCAL_HEIR_MONTHLY_GAIN:0 "Підтримка місцевого спадкоємця: $SUPPORT|+2$/щомісяця\n$MODIFIERS$\n"
 permanent_marathas_council_reform:0 "Постійна маратхська рада"
 permanent_marathas_council_reform_desc:0 "Маратхські генерали і цивільні лідери грають важливу роль в балансі сил всередині нашої держави. Ми повинні формалізувати їхні зібрання та створити постійну раду маратхів для керівництва державою."
 governmental_purbias_register_reform:0 "Державний реєстр пурбій"
 governmental_purbias_register_reform_desc:0 "Держава вживає заходів для залучення елітних раджпутських воїнів зі всієї Індії. Слід зробити певні кроки щодо об'єднання цих воїнів у згуртовані полки відразу після прибуття, щоби мати можливість розгортати їх ще ефективніше."
 mechanic_maratha_general_interaction_yes:2 "Вмикає привілей стану маратхів '§YВійськовий провід маратхів§!', який дає максимум §G+10%§! дисципліни і §R-15%§! прибутку від податків, пропорційно кількості земель у власності маратхів."
 mechanic_maratha_general_interaction_no:0 " " # intentionally empty
 mechanic_better_purbias_interaction_yes:1 "Привілей стану раджпутів '§YВербування пурбій§!' додатково підвищить дисципліну раджпутських полків на §G5%§!."
 mechanic_better_purbias_interaction_no:0 " " # intentionally empty
 venice_merchants_reform:0 "Венеціанський уряд"
 venice_merchants_reform_desc:0 "Ясновельможна республіка Венеція використовує складну і заплутану систему виборів на публічну посаду. Кілька таємних жеребкувань обирають 41 виборця, кожен з яких потім кидає бюлетень в урну. З урни виймається лише один бюлетень, а людина, чиє ім'я написане на ньому, стає новим дожем. Система намагається боротися з виборчою корупцією та забезпечує чесні вибори."
 mechanic_lottery_election_yes:0 "Вибори через жеребкування."
 mechanic_lottery_election_no:0 " " # intentionally empty
 mechanic_election_on_death_yes:0 "Вибори відбуваються лише після смерті правителя."
 mechanic_election_on_death_no:0 " " # intentionally empty
 mechanic_is_merchant_republic_yes:1 "Є §Yторговою республікою§!"
 mechanic_is_merchant_republic_no:0 " " # intentionally empty
 lottery_reform:0 "Вибори більшістю голосів"
 lottery_reform_desc:0 "Вибори більшістю голосів схильні до корупції або, ще гірше, до популізму. Ми використовуватимемо складну систему відводу, щоб визначити, хто повинен очолити нашу республіку, вибравши майже випадковим чином з числа чинних кандидатів."
 appointment_by_committee_reform:0 "Призначення комітетом"
 appointment_by_committee_reform_desc:0 "Відмовимося від довільних призначень у державних установах. Буде створено комітети для визначення найкращого кандидата на певну посаду, щоб компетентність у питаннях управління стала нормою в нашій державі."
 bureaucratic_aparatus_reform:0 "Бюрократичний апарат"
 bureaucratic_aparatus_reform_desc:0 "Бюрократія розширюється, щоб задовольнити потреби зростаючої бюрократії."
 great_mongol_state_legacy:0 "Велика монгольська держава"
 great_mongol_state_legacy_desc:0 "Монгольську імперію Чингісхана було відновлено під нашим керівництвом. Ми відроджуємо систему управління, створену великим ханом, уникаючи помилок його недостойних спадкоємців."
 great_mongol_state_reform:0 "Велика монгольська держава"
 great_mongol_state_reform_desc:0 "Монгольську імперію Чингісхана було відновлено під нашим керівництвом. Ми відроджуємо систему управління, створену великим ханом, уникаючи помилок його недостойних спадкоємців."
 mechanic_has_term_election_no:1 "Заборонити §Yвибори§!"
 NEEDS_REGULAR_ELECTIONS:0 "Правитель не повинен правити довічно."
 mechanic_has_term_election_yes:1 "Дозволити §Yвибори§!"
 native_chiefdom_reform_desc:0 "Ми повинні прийняти традиції нашого народу. Вождівство дозволяє нашим старійшинам ділитися їхнім дорогоцінним досвідом."
 native_federation_reform_desc:0 "Разом ми сильніші. Ставши федерацією, ми матимемо підтримку наших союзників не лише завдяки дипломатії, але й завдяки кровній спорідненості."
 native_clan_council_reform_desc:0 "Дуже важливо завоювати повагу наших людей. Обрання до ради тих, хто готовий жертвувати всім заради інтересів племені, застрахує нас від концентрації влади в руках однієї людини."
 native_martial_tradition_reform_desc:0 "У хащі, мусимо боротися за наші життя. Матінка Природа така ж небезпечна, як і великодушна, а ми вміємо захиститися проти її звірів і тих, хто хоче відібрати в нас її землі."
 native_oral_tradition_reform_desc:0 "Ми – це наші історії. Минуле вчить нас про те, що може статися в майбутньому."
 native_land_tradition_reform_desc:0 "Ми завжди тут були. Ми тут були, коли земла прийняла свої обриси і форми. Ми тут будемо, коли вона вигорить і зникне."
 native_war_band_reform_desc:0 "Відчуття безпеки – це найважливіше в житті. Сфокусувавшись на військовій справі, ми забезпечимо добробут нашому племені."
 native_seasonal_travel_reform_desc:0 "Як змінюється світ протягом року, так повинні й ми. Якщо ми слідуватимемо шляхом пор року, – ми знайдемо процвітання."
 native_settle_down_reform_desc:1 "Інколи слідувати за бурею не так важливо, як знайти прихисток від неї. Прийшов час нам осісти й збудувати більш постійні поселення.\n\nМи втратимо §R1§! стабільності, якщо цю реформу буде замінено."
 native_codified_power_reform_desc:0 "Закон понад усе. Це робить світ справедливішим й урівнює всіх членів нашого племені."
 native_trading_with_foreigners_reform_desc:0 "Прибуття чужинців на нашу землю дозволило нам оримати доступ до нових технологій, які кардинально змінили наше життя як у воєнний, так і в мирний час."
 native_becomes_monarchy_reform_desc:0 "Родовід наших правителів – це благословіння богів. Їхня благородна кров робить їх достойними честі вести нас до процвітання."
 native_becomes_republic_reform_desc:0 "Для забезпечення справедливого уряду влада повинна обиратися демократично. Обираючи наших лідерів, ми обираємо долю нашого народу."
 native_becomes_theocracy_reform_desc:0 "Допуск смертних до визначення таких важливих справ, як доля нашого народу, – це не те, що можна робити без духовного проводу. Наш правитель повинен стати голосом богів."
 native_becomes_horde_reform_desc:0 "Деякі духи ніколи не підкоряться. Нема нічого надійнішого за наші власні душі, коли доходить до управління нашим народом. Ми ніколи не повинні втратити цю свободу."
 native_hereditary_reform_desc:0 "Ті, що були до нас, знають що ми шукаємо. Вони пройшли через війни і через мирні часи, через добробут і через голод. Наші правителі повинні прислухатися до їхніх розсудливих порад і до свого благословенного родоводу."
 native_diplomatic_cermonies_reform_desc:0 "Одна справа – бути разом в уряді, – важлива, але скута праця. І геть інша – ділити разом їжу, воду, одні й тіж ритуали під час сходу і заходу сонця та наших співів."
 native_remain_being_native_reform_desc:0 "Цивілізація, будь то монархія, республіка чи будь-який інший вид, принесла природі лише руйнування. Ми не можемо дозволити собі йти цією мерзенною стежкою та продовжимо шлях, намічений нам природою."
