l_ukrainian:
 DIPLO_NO_FIGHTING:0 "Немає поточних боїв: "
 DIPLO_LOAN_INTEREST_ABOVE:0 "Відсотки за позикою будуть вищі ніж $VAL|Y%$: "
 DIPLO_LOAN_TOO_MANY:0 "Держава $WHO$ має забагато позик: "
 DIPLO_LOAN_CANT_AFFORD_INTEREST:0 "Держава $WHO$ не спроможна платити відсоток $INTEREST|Y%$: "
 DIPLO_LOAN_NOT_NEED_LOAN:0 "Державі $WHO$ не потрібні позики: "
 DIPLO_LOAN_EARNS_ENOUGH:0 "Держава $WHO$ заробляє занадто багато: "
 DIPLO_LOAN_EXPIRY_SOON:0 "Дата виплати позики занадто рання: "
 DIPLO_LOAN_COST_SOON:0 "Позика коштуватиме занадто дорого, і віддавати її потрібно дуже рано: "
 DIPLO_LOAN_TOO_SMALL:0 "Позика занадто мала, щоб турбуватися: "
 DIPLO_ALREADY_HAVE_LOAN:0 "Держава $LENDER$ вже позичила державі $WHO$ гроші."
 DIPLO_TOO_MANY_RELATIONS:0 "Держава $WHO$ має забагато дипломатичних стосунків: "
 DIPLO_BASE:0 "Базове значення: "
 DIPLO_DIP_POWER_COST_ABOVE:0 "Вартість дипломатичної сили держави $WHO$ більша ніж $VAL|Y$: "
 DIPLO_NO_ALLIANCE_NO_GUARANTEE:0 "Держава $COUNTRY01$ не в союзі та не має гарантій від держави $COUNTRY02$: "
 DIPLO_ALLIANCE:0 "Держава $COUNTRY01$ в союзі з державою $COUNTRY02$: "
 DIPLO_TOO_SMALL:0 "Недостатньо провінцій: "
 DIPLO_RELATIVE_WORTH_OF_PROV:0 "Відносна цінність провінції: "
 DIPLO_RECENTLY_THREATENED:0 "Недавно поступилися перед загрозою: "
 DIPLO_NOT_OUR_CORE:0 "Не є $ADJ$ою національною провінцією: "
 DIPLO_BASE_VALUE:0 "Базове значення: "
 DIPLO_INTERESTS_IN_REGION:0 "$ADJ$і інтереси в регіоні: "
 DIPLO_RIVALS_INTERESTS_IN_REGION:0 "Інтереси суперника в регіоні: "
 DIPLO_IS_COLONIZER:0 "Держава $WHO$ є колонізатором: "
 DIPLO_NO_TRADE_LEAGUE_LEAD:0 "Держава $WHO$ могла би очолити лігу: "
 DIPLO_TRADE_LEAGUE_MORE:0 "Ще один член в їхній лізі: "
 DIPLO_TRADE_LEAGUE_SIZE:0 "Розмір Торговельної ліги ($NUM$): "
 DIPLO_WOULD_DISMISS:0 "Розпустить війська: "
 DIPLO_FREE_TROOPS:0 "Вільні війська: "
 DIPLO_TROOP_QUALITY:0 "Якість війська: "
 DIPLO_TROOP_QUANTITY:0 "Чисельність війська: "
 DIPLO_TOO_EXPENSIVE:0 "Занадто дорого: "
 DIPLO_NOT_AT_WAR:0 "Не воюють: "
 DIPLO_NOT_IN_IMPORTANT_WAR:0 "Не воюють у важливій війні: "
 DIPLO_CANT_PAY_UPFRONT:0 "Не спроможні заплатити аванс: "
 DIPLO_BUDGET_SURPLUS:0 "Надлишковий бюджет $GOLD|1$¤: "
 DIPLO_UNFAVORABLE_COST:0 "Невигідна ціна: "
 DIPLO_MONTHLY_COST:0 "Місячна вартість $GOLD|1$¤: "
 DIPLO_WAR_BALANCE_GOOD:0 "Військове співвідношення виглядає непогано: "
 DIPLO_IS_RIVAL:0 "Є суперником: "
 DIPLO_NO_ACCESS_TO_CAPITAL:0 "Не мають доступу до столиці по суходолу: "
 DIPLO_CONDOTTIERI_MALUS:0 "Не вірять, що ви візьмете участь: "
 DIPLO_VASSAL_WAR:0 "Форма правління дозволяє васалам вести війни: "
 DIPLO_TRIBUTARIES:0 "Число данників: "
 DIPLO_IS_CELESTIAL_EMPEROR:0 "$WHO$ – Імператор Піднебесної: "
 DIPLO_IS_HORDE_EMPIRE:0 "$WHO$ – Ординська Імперія: "
