l_ukrainian:
 X_BECOMES_HARMONIZED:0 "Релігія $NAME|Y$ тепер гармонізована.\n"
 TARGET_LOSE_CLAIM_EFFECT:0 "§Y$WHO$§W втратить претензії: §Y$LOSE$§W.\n"
 HAVE_NOT_CORE_CLAIM_AGAINST:0 "Не має претензії проти держави "
 HAVE_CORE_CLAIM_AGAINST:0 "Має претензію проти держави "
 IS_NOT_RELIGION_REFORMED:0 " НЕ реформували релігію."
 IS_RELIGION_REFORMED:0 " реформували релігію."
 IS_NOT_IN_LEAGUE_WAR:0 " НЕ воює на стороні Ліги."
 IS_IN_LEAGUE_WAR:0 " воює на стороні Ліги."
 IS_NOT_LEAGUE_LEADER:0 " НЕ є лідером Релігійної Ліги."
 IS_LEAGUE_LEADER:0 " лідер Релігійної Ліги."
 IS_NOT_IN_COALITION_WAR:0 " НЕ воює у війні коаліцій."
 IS_IN_COALITION_WAR:0 " воює у війні коаліцій."
 IS_NOT_IN_COALITION:0 " НЕ перебуває у коаліції."
 IS_IN_COALITION:0 " перебуває у коаліції."
 LEADS_NOT_COALITION:0 " НЕ є лідером коаліції."
 LEADS_COALITION:0 " є лідером коаліції."
 ANY_COALITION_MEMBER_STARTS:0 "Будь-який учасник коаліції"
 TRIG_NOT_SPAWNED_REBELS:0 "Тип повстанців НЕ "
 TRIG_SPAWNED_REBELS:0 "Тип повстанців "
 TRIG_NOT_ANY_SPAWNED_REBELS:0 "Не має жодних повстанців."
 TRIG_ANY_SPAWNED_REBELS:0 "Має повстанців."
 TRIG_NOT_NOTSPAWNED_REBELS:0 "Невідповідний тип повстанців не "
 TRIG_NOTSPAWNED_REBELS:0 "Невідповідний тип повстанців "
 IS_NOT_SEA_ZONE:0 "сухопутна"
 IS_SEA_ZONE:0 "морська"
 DYNASTY_CHANGE:0 "$NEW$ змінює на престолі правителя $WHO$\n"
 IS_NOT_STRONGEST_TRADE_POWER:1 "Держава $WHO|Y$ НЕ має найбільшого торговельного впливу у вузлі $WHERE|Y$."
 HAS_NOT_MORE_TRADE_POWER:0 "Торгова сила держави $WHO|Y$ менше $VAL$%."
 HAS_SAME_OR_MORE_TRADE_POWER:1 "Торгова сила держави $WHO|Y$ щонайменше §Y$VAL$%§W."
 TOTAL_HAS_NOT_MORE_PRIVATEERS:0 "Загалом піратів у вузлі $WHERE|Y$ менше, ніж §Y$VAL$%§! торгової сили."
 TOTAL_HAS_SAME_OR_MORE_PRIVATEERS:0 "Загалом піратів у вузлі $WHERE|Y$ щонайменше §Y$VAL$%§! торгової сили."
 HAS_NOT_MORE_PRIVATEERS:0 "Торгова сила $WHO|Y$их каперів менше $VAL$."
 HAS_SAME_OR_MORE_PRIVATEERS:0 "Торгова сила $WHO|Y$их каперів щонайменше $VAL$%."
 HAS_PRIVATEERS_IN_ANY_NODE:0 "$WHO|Y$ має каперів у принаймні одному (будь-якому) вузлі."
 HAS_NOT_PRIVATEERS_IN_ANY_NODE:0 "$WHO|Y$ не має каперів у жодному вузлі."
 HAS_NOT_MORE_PRIVATEERS_IN_NODE:0 "$WHO|Y$ має менше $VAL$% каперів у вузлі $WHERE|Y$."
 HAS_SAME_OR_MORE_PRIVATEERS_IN_NODE:0 "$WHO|Y$ має $VAL$% або більше каперів у вузлі $WHERE|Y$."
 HAS_ACTIVE_FERVOR:0 "$WHO|Y$ використовує релігійне завзяття."
 HAS_NOT_ACTIVE_FERVOR:0 "$WHO|Y$ НЕ використовує релігійне завзяття."
 IS_STRONGEST_TRADE_POWER:1 "Держава $WHO|Y$ має найбільший торговельний вплив у вузлі $WHERE|Y$."
 IS_NOT_MOST_TRADE_POWER_PROVINCES:0 "§Y$WHO$§W НЕ має найбільшого торговельного впливу, отриманого за рахунок провінцій."
 IS_MOST_TRADE_POWER_PROVINCES:0 "§Y$WHO$§W має найбільший торговельний вплив, отриманий за рахунок провінцій."
 ANY_TRADE_NODE_TR:0 "Будь-який торговий вузол"
 ANY_ACTIVE_TRADE_NODE_TR:1 "Будь-який торговий вузол з купцем"
 RECALL_MERCHANT_EFFECT:0 "$WHO$ з держави §Y$COUNTRY$§! покидає провінцію §Y$WHERE$§!\n"
 RULER_MODIFIER_ADDED:1 "Держава $WHERE$ отримує модифікатор '$WHAT|Y$' $TIME$, що дає такі ефекти:\n$EFFECT$\n\n"
 RULER_MODIFIER_ADDED_TIME_DATE:0 "до $DATE|Y$, якщо $WHO|Y$ не вмре раніше"
 RULER_MODIFIER_ADDED_TIME_DURATION:0 "на $DURATION|Y$, якщо $WHO|Y$ не вмре раніше"
 RULER_MODIFIER_ADDED_TIME_FOREVER:0 " поки не помре $WHO|Y$"
 HAS_TRADE_MODIFIER:0 "$WHO$ має модифікатор §Y$WHAT$§! у провінції §Y$WHERE$§!.\n"
 HAS_NOT_TRADE_MODIFIER:0 "$WHO$ не має модифікатора §Y$WHAT$§! у провінції §Y$WHERE$§!.\n"
 TRADE_MODIFIER_EFFECT:0 "Торговий вплив: $VAL$"
 TRADE_MODIFIER_EFFECT_PERCENT:0 "Модифікатор торгового впливу: $VAL$"
 TRADE_MODIFIER_ADDED:1 "Держава $WHO$ отримує модифікатор §Y$WHAT$§! ($EFFECT$) у вузлі §Y$WHERE$§! до $DATE$.\n"
 TRADE_MODIFIER_REMOVED:1 "Держава $WHO$ втрачає модифікатор §Y$WHAT$§! ($EFFECT$) у вузлі §Y$WHERE$§!\n"
 HAVE_CORE_ALREADY:0 "Ця провінція вже є націоналізованою."
 ANY_CORE_PROVINCE_STARTS:0 "Будь-яка національна провінція"
 ANY_CORE_COUNTRY_STARTS:0 "Будь-яка країна"
 ANY_LOCAL_ENEMY_STARTS:0 "Будь-який ворог"
 ANY_HERETIC_PROVINCE_STARTS:0 "Будь-яка єретична провінція"
 ANY_PRIVATEERING_COUNTRY:0 "Будь-яка держава, що займається піратством у вузлі $NODE$"
 ALL_PRIVATEERING_COUNTRY:0 "Усі держави, що займаються піратством у вузлі $NODE$"
 TARGET_GETS_NEW_CORE_EFFECT:0 "§Y$WHO$§W націоналізує §Y$NEW$§W.\n"
 TARGET_LOSE_CORE_EFFECT:0 "§Y$WHO$§W втратить націоналізацію §Y$LOSE$§W.\n"
 AT_LEAST_ONE_PROVINCE_IN_SUPERREGION:0 "Щонайменше одна провінція розташована на субконтиненті $SUPERREGION$"
 NOT_ONE_PROVINCE_IN_SUPERREGION:0 "Жодної провінції на субконтиненті $SUPERREGION$"
 ALL_PROVINCES_IN_SUPERREGION:0 "Усі провінції розташовані на субконтиненті $SUPERREGION$"
 NOT_ALL_PROVINCES_IN_SUPERREGION:0 "Не всі провінції розташовані на субконтиненті $SUPERREGION$"
 IS_NOT_IN_THE_SAME_REGION:0 "Знаходиться НЕ в тому регіоні, що"
 IS_IN_THE_SAME_REGION:0 "Знаходиться в тому ж регіоні, що"
 ANY_NEIGHBOR_PROVINCE_STARTS:0 "Будь-яка сусідня провінція"
 ALL_NEIGHBOR_PROVINCE_STARTS:0 "Усі сусідні провінції"
 ALL_EMPTY_NEIGHBOR_PROVINCE_STARTS:0 "Усі порожні сусідні провінції"
 ALL_PROVINCE_STARTS:0 "Усі провінції"
 ALL_STATE_PROVINCE_STARTS:0 "Усі провінції у Володіннях"
 ALL_OWNED_PROVINCE_STARTS:0 "Усі приналежні провінції"
 ALL_CORE_PROVINCE_STARTS:0 "Будь-які національні провінції"
 ALL_HERETIC_PROVINCE_STARTS:0 "Усі єретичні провінції"
 ALL_ACTIVE_TRADE_NODE_TR:0 "Усі активні торговельні вузли"
 ALL_TRADE_NODE_TR:0 "Усі торговельні вузли"
 ALL_RIVAL_COUNTRY_STARTS:0 "Усі суперники"
 ALL_THREAT_COUNTRY_STARTS:0 "Усі загрози"
 ALL_ELECTOR_STARTS:0 "Усі курфюрсти"
 ALL_ALLY_STARTS:0 "Усі союзники"
 ALL_LOCAL_ENEMY_STARTS:0 "Усі місцеві вороги"
 ALL_CORE_COUNTRY_STARTS:0 "Усі національні для провінції країни"
 ALL_KNOWN_COUNTRY_STARTS:0 "Усі відомі нам країни"
 ALL_COUNTRY_STARTS:0 "Усі країни (за винятком держави $COUNTRY|Y$)"
 ALL_COUNTRIES_INCLUDING_SELF_STARTS:0 "Усі країни"
 ALL_COALITION_MEMBER_STARTS:0 "Усі учасники коаліції"
 HAS_AT_LEAST_COALITION_MEMBERS:0 "Має щонайменше $VAL$ членів коаліції."
 HAS_FEWER_COALITION_MEMBERS:0 "Має менше $VAL$ членів коаліції."
 achievement_tooltip_colonial_management:0 "Щонайменше трьох своїх колоніальних губернаторів ви призначили напряму."
 ALL_NEIGHBOR_COUNTRY_STARTS:0 "Усі сусідні країни"
 ALL_PROVINCES_IN_REGION:0 "Усі провінції в регіоні $REGION$"
 NOT_ALL_PROVINCES_IN_REGION:0 "Не всі провінції в регіоні $REGION$"
 ALL_PROVINCES_IN_AREA:0 "Усі провінції в окрузі $AREA$"
 NOT_ALL_PROVINCES_IN_AREA:0 "Не всі провінції в окрузі $AREA$"
 AT_LEAST_ONE_PROVINCE_IN_AREA:0 "Принаймні одна провінція в окрузі $AREA$"
 NOT_ONE_PROVINCE_IN_AREA:0 "Не має провінцій в окрузі $AREA$"
 ALL_PROVINCES_IN_CONTINENT:0 "Усі провінції на континенті $CONTINENT$"
 NOT_ALL_PROVINCES_IN_CONTINENT:0 "Не всі провінції на континенті $CONTINENT$"
 AT_LEAST_ONE_PROVINCE_IN_PROVINCEGROUP:0 "Щонайменше одна провінція в групі $PROVINCEGROUP$"
 NOT_ONE_PROVINCE_IN_PROVINCEGROUP:0 "Жодної провінції в групі $PROVINCEGROUP$"
 ALL_PROVINCES_IN_PROVINCEGROUP:0 "Усі провінції в групі $PROVINCEGROUP$"
 NOT_ALL_PROVINCES_IN_PROVINCEGROUP:0 "Не всі провінції в групі $PROVINCEGROUP$"
 UNIT_TYPE_IS_NOT:0 "Тип підрозділу НЕ $NAME$"
 UNIT_TYPE_IS:0 "Тип підрозділу $NAME$"
 HAVE_LESS_GLOBAL_MODIFIER:0 "Має менше $VALUE$ $MODIFIER$"
 HAVE_MORE_GLOBAL_MODIFIER:0 "Має щонайменше $VALUE$ $MODIFIER$"
 HAVE_LESS_LOCAL_MODIFIER:0 "Має менше $VALUE$ $MODIFIER$"
 HAVE_MORE_LOCAL_MODIFIER:0 "Має щонайменше $VALUE$ $MODIFIER$"
 IS_THREATENED_BY:0 "Наляканий державою "
 NOT_IS_THREATENED_BY:0 "Не наляканий державою "
 TOTAL_BASE_TAX_LESS_THAN:0 "Загальний базовий податок менше "
 TOTAL_BASE_TAX_MORE_THAN:0 "Загальний базовий податок щонайменше "
 HAS_CLIMATE:0 "Має §Y$CLIMATE$§! клімат"
 HAS_NOT_CLIMATE:0 "Має НЕ §Y$CLIMATE$§! клімат"
 HAS_WINTER:0 "Має §Y$WINTER$§!"
 HAS_NOT_WINTER:0 "Не має §Y$WINTER$§!"
 NUMBER_OF_TRADE_COMPANIES_LESS_THAN:0 "Число торгових компаній менше $VALUE|Y$"
 NUMBER_OF_TRADE_COMPANIES_AT_LEAST:1 "Має щонайменше $VALUE|Y$ торгові компанії"
 NOT_OWNED_BY_TRADE_COMPANY:0 "Не належить торговій компанії\n"
 OWNED_BY_TRADE_COMPANY:0 "Належить торговій компанії\n"
 TRADE_COMPANY_SIZE_LESS_THAN:0 "Розмір торгової компанії менше $VALUE|Y$"
 TRADE_COMPANY_SIZE_AT_LEAST:0 "Розмір торгової компанії щонайменше $VALUE|Y$"
 IS_NOT_IN_TRADE_COMPANY_REGION:0 "Не є частиною торгового регіону $REGION|Y$"
 IS_IN_TRADE_COMPANY_REGION:0 "Частина торгового регіону $REGION|Y$"
 NUMBER_OF_TRADE_COMPANIES_IN_REGION_SIZE_LESS_THAN:0 "Торгових компаній у регіоні менше $VALUE|Y$"
 NUMBER_OF_TRADE_COMPANIES_IN_REGION_AT_LEAST:0 "Торгових компаній у регіоні щонайменше $VALUE|Y$"
 NOT_ONE_PROVINCE_IN_TRADE_COMPANY_REGION:0 "Немає жодної провінції в регіоні торгової компанії ($REGION$)"
 AT_LEAST_ONE_PROVINCE_IN_TRADE_COMPANY_REGION:0 "Є принаймні одна провінція в регіоні торгової компанії ($REGION$)"
 NOT_ALL_PROVINCES_IN_TRADE_COMPANY_REGION:0 "Не всі провінції в регіоні торгової компанії ($REGION$)"
 ALL_PROVINCES_IN_TRADE_COMPANY_REGION:0 "Усі провінції в регіоні торгової компанії ($REGION$)"
 IS_CONSTRUCTING_TRIGGER:0 "У стані $TYPE$"
 IS_NOT_CONSTRUCTING_TRIGGER:0 "Не в стані $TYPE$."
 IS_PERMANENT_ACCEPTED_CULTURE:0 "§Y$CULTURE$§zа§W культура є визнаною навічно"
 IS_NOT_PERMANENT_ACCEPTED_CULTURE:0 "§Y$CULTURE$§zа§W культура НЕ є визнаною навічно"
 MERCHANT_CONSTRUCTION:0 "торгівля"
 DIPLOMAT_CONSTRUCTION:0 "переговори"
 ARMY_CONSTRUCTION:0 "вербування до армії"
 NAVY_CONSTRUCTION:0 "будівництво корабля"
 BUILDING_CONSTRUCTION:0 "будівництво споруди"
 MISSIONARY_CONSTRUCTION:0 "навернення в релігію"
 CORE_CONSTRUCTION:0 "націоналізація провінції"
 CULTURE_CONSTRUCTION:0 "зміна культури"
 GREAT_PROJECT_CONSTRUCTION:0 "будівництво великого проекту"
 CANAL_CONSTRUCTION:0 "будівництво каналу"
 ANY_CONSTRUCTION:0 "будівництво чогось"
 HAVE_LESS_THAN_X_BUILDINGS:0 "Має менше $VALUE$ $BUILDING$"
 HAVE_MORE_THAN_X_BUILDINGS:0 "Має щонайменше $VALUE$ $BUILDING$"
 HAVE_LESS_THAN_X_SUBJECTS:0 ""Має менше $VALUE$ $SUBJECT$"
 HAVE_MORE_THAN_X_SUBJECTS:0 "Має принаймні $VALUE$ $SUBJECT$"
 OWNS_CORE_PROVINCE:0 "Володіє та вважає національною: "
 NOT_OWNS_CORE_PROVINCE:0 "Не володіє, але вважає національною: "
 RULER_AGE_LESS_THAN:0 "Вік правителя менше "
 RULER_AGE_AT_LEAST:0 "Вік правителя щонайменше "
 HAS_GREAT_PROJECT:1 "Великий проект $NAME|Y$"
 HAS_NOT_GREAT_PROJECT:1 "Немає великого проекту $NAME|Y$"
 START_GREAT_PROJECT:0 "Почати будівництво великого проекту – $NAME|Y$."
 CONSTRUCTION_DELAYED:0 "Будівництво проекту $NAME$ закінчиться на $DAYS|Y$ днів пізніше."
 CONSTRUCTION_HURRIED:0 "Будівництво проекту $NAME$ закінчиться на $DAYS|Y$ днів раніше."
 CONSTRUCTION_PROGRESS_AT_LEAST:0 "Прогрес будівництва щонайменше $VAL|%$"
 CONSTRUCTION_PROGRESS_LESS_THAN:0 "Прогрес будівництва менше $VAL|%$"
 CONSTRUCTION_CANCELED:0 "Будівництво скасоване."
 ADD_PERMANENT_ACCEPTED_CULTURE:0 "§Y$CULTURE$§zа§W культура стане навічно визнаною.\n"
 REMOVE_PERMANENT_ACCEPTED_CULTURE:0 "§Y$CULTURE$§zа§W культура припинить бути навічно визнаною.\n"
 SAVE_EVENT_TARGET_EFFECT:0 "Зберегти державу $TARGET|Y$ у якості $NAME|Y$"
 HAS_NOT_REBEL_FACTION:0 "Немає повстанців – $FACTION|Y$"
 HAS_REBEL_FACTION:0 "Є повстанці – $FACTION|Y$"
 NOT_GUARANTEED_BY:0 "Немає гарантій від держави $WHO|Y$"
 GUARANTEED_BY:0 "Гарантована державою $WHO|Y$"
 HAS_NOT_GUARANTEED:0 "Немає гарантій державі $WHO|Y$"
 HAS_GUARANTEED:0 "Є гарантії державі $WHO|Y$"
 SWITCH_TAG:0 "Грати за державу $TAG|Y$.\n"
 REBELS:0 "повстанці"
 CLEAR_SCRIPTED_PERSONALITIES:0 "Особистості правителів вилучено для держави. (команда у налаштуваннях)"
 RULER_HAS_PERSONALITY:0 "$NAME$ – $PERSONALITY$\n"
 RULER_HAS_NOT_PERSONALITY:0 "$NAME$ – НЕ $PERSONALITY$\n"
 HEIR_HAS_PERSONALITY:0 "Спадкоємець '$NAME$' – $PERSONALITY$\n"
 HEIR_HAS_NOT_PERSONALITY:0 "Спадкоємець '$NAME$' – НЕ $PERSONALITY$\n"
 CONSORT_HAS_PERSONALITY:0 "Консорт '$NAME$' – $PERSONALITY$\n"
 CONSORT_HAS_NOT_PERSONALITY:0 "Консорт '$NAME$' – НЕ $PERSONALITY$\n"
 ADD_RULER_PERSONALITY:0 "$NAME$ тепер $PERSONALITY|Y$.\n"
 REMOVE_RULER_PERSONALITY:0 "$NAME$ більше не $PERSONALITY|Y$.\n"
 KILL_CONSORT_DESCRIPTION:0 "$CONSORTNAME|Y$ – Консорта держави $COUNTRYNAME$ – вбито.\n"
 REMOVE_CONSORT_DESCRIPTION:0 "$CONSORTNAME$ більше не є Консортом держави $COUNTRYNAME$.\n"
 WARSCORE_AGAINST_LESS_THAN:0 "Воєнний рахунок проти держави $WHO$ менше $SCORE|Y%$"
 WARSCORE_AGAINST_MORE_THAN:0 "Воєнний рахунок проти держави $WHO$ щонайменше $SCORE|Y%$"
 NOT_HAS_HARSH_TREATMENT:0 "Жорстке ставлення не застосовується"
 HAS_HARSH_TREATMENT:0 "Застосовується жорстке ставлення"
 ADD_TRUCE_WITH_EFFECT:0 "Настане перемир'я з державою $WHO|Y$"
 NOT_IS_REPUBLIC:0 "Не республіка"
 IS_REPUBLIC:0 "Республіка"
 HAS_DEITY:0 "Обраний $DEITY|Y$"
 NOT_HAS_DEITY:0 "Не обраний $DEITY|Y$"
 CHANGE_DEITY_EFFECT:1 "Змінити божество на $NAME|Y$($MODIFIER$)"
 IN_LEAGUE:0 "Є членом §YЛіги за $RELIGION$§!"
 NOT_IN_LEAGUE:0 "Не є членом §YЛіги за $RELIGION$§!"
 HAS_OPINION_MOD:0 "Має модифікатор стосунків "
 HAS_NOT_OPINION_MOD:0 "Не має модифікатора стосунків "
 HAS_NO_SECONDARY_RELIGION:0 "Не має вторинної релігії"
 HAS_A_SECONDARY_RELIGION:0 "Має вторинну релігію"
 SECONDARY_RELIGION_IS:0 "Держава §Y$WHO$§! має §Y$NAME$§! за вторинну релігію"
 SECONDARY_RELIGION_ISNOT:0 "Держава §Y$WHO$§! не має §Y$NAME$§! за вторинну релігію"
 SECONDARY_RELIGION_PROV_IS:0 "Держава §Y$WHO$§! має §Y$NAME$§! за синкретичну віру"
 SECONDARY_RELIGION_PROV_ISNOT:0 "Держава §Y$WHO$§! не має §Y$NAME$§! за синкретичну віру"
 HAS_MATCHING_RELIGION:0 "§Y$REL$§! є релігією, або синкретичною вірою держави §Y$WHO$§!"
 HAS_NOT_MATCHING_RELIGION:0 "§Y$REL$§! НЕ є релігією, або синкретичною вірою держави §Y$WHO$§!"
 HAS_MATCHING_RELIGION_COUNTRY:1 "Релігія держави §Y$WHO$§! – синкретична віра або гармонізована релігія – збігається з основною релігією або синкретичною вірою держави §Y$OTHER$§!"
 HAS_NOT_MATCHING_RELIGION_COUNTRY:1 "Релігія держави §Y$WHO$§! – синкретична віра або гармонізована релігія – НЕ збігається з основною релігією або синкретичною вірою держави §Y$OTHER$§!"
 HAS_BEEN_DISCOVERED_YEARS:0 " була відкрита більше $YEARS$ років тому."
 HAS_NOT_BEEN_DISCOVERED_YEARS:0 " НЕ була відкрита більше $YEARS$ років тому."
 DOES_NOT_HAVE_ATTITUDE_ABOUT:0 "НЕ має §Y$ATTITUDE$§! ставлення до держави §Y$WHO$§!"
 HAS_ATTITUDE_ABOUT:0 "Має §Y$ATTITUDE$§! ставлення до держави §Y$WHO$§!"
 IS_NOT_PERMANENT_COUNTRY_CLAIM:0 "НЕ є довічною $COUNTRYADJ$§Yою§! претензією."
 IS_PERMANENT_COUNTRY_CLAIM:0 "Довічна $COUNTRYADJ$§Yа§! претензія."
 DOESNT_HAVE_PERMANENT_CLAIM_ON:0 "НЕ має довічної претензії на "
 HAS_PERMANENT_CLAIM_ON:0 "Має довічну претензію на "
 INCREASE_DISASTER_PROGRESS_EFFECT:0 "Прогрес лиха §Y$DISASTER$§! збільшено на §R$VALUE$§!"
 DECREASE_DISASTER_PROGRESS_EFFECT:0 "Прогрес лиха §Y$DISASTER$§! зменшено на §G$VALUE$§!"
 DOES_NOT_HAVE_DISASTER_PROGRESS:0 "Прогрес лиха $DISASTER|Y$ менше $VALUE|Y$"
 HAS_DISASTER_PROGRESS:0 "Прогрес лиха $DISASTER|Y$ щонайменше $VALUE|Y$"
 IS_ADMIRAL:0 "Адмірал"
 IS_GENERAL:0 "Генерал"
 HAS_HAREM:0 "Має гарем"
 CHANGE_CONSORT_REGENT_TO_RULER_EFFECT_DESC:0 "$CONSORTREGENTNAME|Y$ стане повноправним правителем.\n"
 CHANGE_CONSORT_REGENT_TO_RULER_EFFECT_LEGITIMACY_DESC:0 "$CONSORTREGENTNAME|Y$ стане повноправним правителем, чия легітимність буде дорівнювати $NEWLEGITIMACY|Y$.\n"
 HAS_SAVED_EVENT_TARGET:0 "Зберіг мету події"
 HAS_NOT_SAVED_EVENT_TARGET:0 "НЕ зберіг мету події"
 HAS_GAME_STARTED:0 "Гра почалася.\n"
 HAS_GAME_NOT_STARTED:0 "Гра НЕ почалася.\n"
 HEIR_CAN_BE_CHILD_OF_CONSORT:0 "Спадкоємець потенційно може бути дитиною Консорта.\n"
 HEIR_CAN_NOT_BE_CHILD_OF_CONSORT:0 "Спадкоємець не може бути дитиною Консорта.\n"
 NEIGHBOR_TECH_DISCOUNT_LESS_THAN:0 "Знижка від великого технологічного розвитку сусідів менше §Y$VAL$%§!."
 NEIGHBOR_TECH_DISCOUNT_IS_AT_LEAST:0 "Знижка від великого технологічного розвитку сусідів щонайменше §Y$VAL$%§!."
 IS_RELIGION_GRANT_COLONIAL_CLAIM:0 "Було даровано державі $COUNTRY|Y$, як колоніальні претензії головою релігії $RELIGION|Y$."
 IS_NOT_RELIGION_GRANT_COLONIAL_CLAIM:0 "НЕ було даровано державі $COUNTRY|Y$, як колоніальні претензії головою релігії $RELIGION|Y$."
 IS_ANY_RELIGION_GRANT_COLONIAL_CLAIM:0 "Було даровано як колоніальні претензії будь-якій державі."
 IS_NOT_ANY_RELIGION_GRANT_COLONIAL_CLAIM:0 "НЕ було даровано як колоніальні претензії будь-якій державі."
 HAVENT_TERRITORIAL_CORE:0 "НЕ має територіальної націоналізації в провінції "
 HAVE_TERRITORIAL_CORE_IN:0 "Має територіальну націоналізацію в провінції "
 IS_NOT_COUNTRY_TERRITORIAL_CORE:0 "НЕ є $COUNTRYADJ$§Yою§! територіально націоналізованою провінцією."
 IS_COUNTRY_TERRITORIAL_CORE:0 "Є $COUNTRYADJ$§Yою§! територіально націоналізованою провінцією."
 HAVENT_STATE_CORE:0 "НЕ має націоналізованого володіння в провінції "
 HAVE_STATE_CORE_IN:0 "Має націоналізоване володіння в провінції "
 IS_NOT_COUNTRY_STATE_CORE:0 "НЕ є $COUNTRYADJ$§Yим§! національним володінням."
 IS_COUNTRY_STATE_CORE:0 "Є $COUNTRYADJ$§Yим§! національним володінням."
 NEW_TERRITORIAL_CORE_EFFECT_EMPEROR:0 "Імператор отримає територіальні права на землю §Y$NEW$§W.\n"
 TARGET_GETS_NEW_TERRITORIAL_CORE_EFFECT:0 "§Y$WHO$§W отримає територіальні права на землю §Y$NEW$§W.\n"
 dlc_or_feudalism_tooltip:1 "Мають реформовані вірування або запозичили феодалізм."
 WAR_START_DATE:0 "Дата початку після"
 WAR_DURATION_DAYS:0 "Тривалість (днів): $VAL|Y$"
 WAR_GOAL_PROVINCE:0 "Провінція-мета війни: $VAL|Y$"
 IS_IN_WAR_WARSCORE_MORE:0 "Рахунок війни перевищує $VAL|Y$."
 IS_IN_WAR_WARSCORE_LESS:0 "Рахунок війни менше $VAL|Y$."
 DEFENDER_WARLEADER:0 "Лідер війни сторони, що обороняється"
 ATTACKER_WARLEADER:0 "Лідер війни сторони, що атакує"
 CELESTIAL_REFORM_LEVEL_NOT:0 "Реформу $REFORMNAME|Y$ НЕ проведено."
 CELESTIAL_REFORM_LEVEL:0 "Реформу $REFORMNAME|Y$ проведено."
 SET_CELESTIAL_EMPEROR_DESC:0 "$COUNTRYNAME$ стає імператором Китаю.\n"
 DISMANTLE_CELESTIAL_EMPIRE_DESC:0 "Імперію Китаю розпущено.\n"
 REFORM_CELESTIAL_EMPIRE_DESC:0 "Імперію Китаю реформовано.\n"
 ADD_MANDATE_DESC:0 "Число мандатів $DIRECTION$ на $MANDATECHANGE|Y$.\n"
 SET_MANDATE_DESC:0 "Число мандатів дорівнюватиме $MANDATEVALUE|Y$.\n"
 IS_SUBJECT_TYPE:0 "$SUBJECTTYPE$.\n"
 IS_NOT_SUBJECT_TYPE:1 "НЕ $SUBJECTTYPE$.\n"
 HAVE_LESS_LEADERS_THAN:0 "Число командувачів менше $VALUE|Y$"
 HAVE_MORE_LEADERS_THAN:0 "Число командувачів більше $VALUE|Y$"
 USES_ISOLATIONISM:0 "Держава $COUNTRY|Y$ використовує ізоляціонізм.\n"
 USES_NOT_ISOLATIONISM:0 "Держава $COUNTRY|Y$ НЕ використовує ізоляціонізм.\n"
 ISOLATIONISM_AT_LEAST:0 "Рівень ізоляціонізму щонайменше $VALUE|Y$.\n"
 ISOLATIONISM_LESS_THAN:0 "Рівень ізоляціонізму нижче $VALUE|Y$.\n"
 INCIDENT_VARIABLE_VALUE:0 "Значення інциденту $INCIDENTNAME|Y$ щонайменше $VALUE|Y$\n"
 INCIDENT_VARIABLE_VALUE_NOT:0 "Значення інциденту $INCIDENTNAME|Y$ менше $VALUE|Y$\n"
 IS_INCIDENT_POTENTIAL:0 "Інцидент $INCIDENTNAME|Y$ в державі $COUNTRYNAME|Y$ можливий у майбутньому.\n"
 IS_INCIDENT_POTENTIAL_NOT:0 "Інцидент $INCIDENTNAME|Y$ в державі $COUNTRYNAME|Y$ НЕможливий у майбутньому.\n"
 IS_INCIDENT_ACTIVE:0 "Інцидент $INCIDENTNAME|Y$ активний у державі $COUNTRYNAME|Y$.\n"
 IS_INCIDENT_ACTIVE_NOT:0 "Інцидент $INCIDENTNAME|Y$ НЕ активний у державі $COUNTRYNAME|Y$.\n"
 IS_INCIDENT_ACTIVE_ANY:0 "У державі $COUNTRYNAME|Y$ активний будь-який інцидент.\n"
 IS_INCIDENT_ACTIVE_ANY_NOT:0 "У державі $COUNTRYNAME|Y$ НЕ активний жодний інцидент.\n"
 IS_INCIDENT_PAST:1 "Інцидент $INCIDENTNAME|Y$ стався в державі $COUNTRYNAME|Y$.\n"
 IS_INCIDENT_PAST_NOT:1 "Інцидент $INCIDENTNAME|Y$ НЕ стався в державі $COUNTRYNAME|Y$.\n"
 IS_INCIDENT_POSSIBLE:1 "Інцидент $INCIDENTNAME|Y$ може відбутися в державі $COUNTRYNAME|Y$.\n"
 IS_INCIDENT_POSSIBLE_NOT:1 "Інцидент $INCIDENTNAME|Y$ НЕ може відбутися в державі $COUNTRYNAME|Y$.\n"
 ADD_ISOLATIONISM_EFFECT:0 "Збільшити рівень ізоляціонізму на $VALUE|Y$.\n"
 ADD_ISOLATIONISM_EFFECT_REDUCE:0 "Знизити рівень ізоляціонізму на $VALUE|Y$\n"
 SET_ISOLATIONISM_EFFECT:0 "Встановити рівень ізоляціонізму $VALUE|Y$.\n"
 ADD_INCIDENT_VARIABLE_VALUE_EFFECT:0 "Додати $VALUE|Y$ до інциденту $INCIDENTNAME|Y$.\n"
 SET_INCIDENT_VARIABLE_VALUE_EFFECT:0 "Встановити значення інциденту $INCIDENTNAME|Y$ на $VALUE|Y$.\n"
 END_INCIDENT_EFFECT:0 "Закінчити інцидент $INCIDENTNAME|Y$.\n"
