l_ukrainian:
 ALLOW_ATTACH:0 "Союзники\nможуть приєднуватися"
 canal_events.EVTNAME20:0 "Спалах захворювання"
 canal_events.EVTDESC20:0 "Спалах захворювання вразив наших будівельників у провінції [Root.GetName]! Багато робітників померли від лихоманки, нудоти та у деяких випадках кровотечі з очей і рота. У доповідях згадується, що шкіра деяких жертв ставала жовтою..."
 canal_events.EVTOPTA20:0 "Послати солдат замінити їх"
 canal_events.EVTOPTB20:0 "Помолимося за них"
 canal_events.EVTNAME21:0 "Спалах захворювання"
 canal_events.EVTDESC21:0 "Спалах захворювання вразив наших будівельників у провінції [Root.GetName]! У доповідях згадується озноб у супроводі лихоманки, іноді ускладнений блювотою, судомами й сліпотою. Найчастіше захворювання проявляється поблизу боліт й болотистих земель, і називається болотною лихоманкою або малярією."
 canal_events.EVTOPTA21:0 "Послати солдат замінити їх"
 canal_events.EVTOPTB21:0 "Не ризикуйте життями даремно"
 canal_events.EVTNAME22:0 "Жорстокі грози"
 canal_events.EVTDESC22:0 "Навіть погода схоже налаштована проти нашого проекту в провінції [Root.GetName]. Жорстокі грози знищили більшу частину будівельних таборів, а зсуви ґрунту серйозно відкинули нас назад."
 canal_events.EVTOPTA22:0 "Відправити туди більше ресурсів"
 canal_events.EVTOPTB22:0 "Нічого не поробиш"
 canal_events.EVTNAME23:0 "Проект перетинає ріку"
 canal_events.EVTDESC23:0 "Чергова проблема з'явилася при будівництві в провінції [Root.GetName]. Місцева ріка знаходиться на шляху проекту. Через сильну течію, особливо в сезон дощів, воду не можна пускати в канал, тому що це загрожуватиме судноплавству. Нам доведеться повернути русло ріки..."
 canal_events.EVTOPTA23:0 "Найняти більше робітників"
 canal_events.EVTOPTB23:0 "Послати солдат"
 canal_events.EVTNAME24:0 "Відсутність прісної води"
 canal_events.EVTDESC24:0 "Наш канал у провінції [Root.GetName] значно заглибився в сушу. На жаль це привело до того, що віддалені табори залишилися без доступу до джерел прісної води. Необхідні додаткові ресурси щоб забезпечувати їх всім необхідним."
 canal_events.EVTOPTA24:0 "Розберемося"
 canal_events.EVTOPTB24:0 "Нехай самі розбираються"
 trade_company_events.EVTNAME1:0 "Переселення"
 trade_company_events.EVTDESC1:0 "[Root.Tradecompany.GetName] прагне прогнати місцевих із провінції [Root.GetName], щоб розчистити місце під плантації, і зрештою поселити тут велику кількість колоністів."
 trade_company_events.EVTOPTA1:0 "Підтримати цю ініціативу"
 trade_company_events.EVTOPTB1:0 "Заборонити такі дії"
 trade_company_events.EVTNAME2:0 "План переселення провалився"
 trade_company_events.EVTDESC2:0 "[Root.Owner.Culture.GetName] програма по переселенню колоністів у провінцію [Root.GetName] пройшла не так, як планувалося. Схоже далеко не всі виявили бажання переїхати сюди."
 trade_company_events.EVTOPTA2:0 "Забудьте про переселення"
 trade_company_events.EVTOPTB2:0 "Заохотити переселенців"
 trade_company_events.EVTNAME3:0 "Переселення вдалося"
 trade_company_events.EVTDESC3:0 "[Root.Owner.Culture.GetName] програма по переселенню колоністів у провінцію [Root.GetName] залучила достатньо людей."
 trade_company_events.EVTOPTA3:0 "Прекрасно"
 trade_company_events.EVTNAME4:0 "Новий форт"
 trade_company_events.EVTDESC4:0 "Для того щоб ефективніше протистояти атакам тубільців і ворожих іноземних держав, [Root.Tradecompany.GetName] вирішила побудувати новий форт у провінції [Root.GetName]."
 trade_company_events.EVTOPTA4:0 "Прекрасна ідея!"
 trade_company_events.EVTOPTB4:0 "Краще не провокувати місцевих."
 trade_company_events.EVTNAME5:0 "Прикордонний конфлікт"
 trade_company_events.EVTDESC5:0 "[Root.Tradecompany.GetName] своїми агресивними діями спровокувала конфлікт із сусідньою державою."
 trade_company_events.EVTOPTA5:0 "Припиніть це!"
 trade_company_events.EVTOPTB5:0 "Підтримати їх"
 trade_company_events.EVTNAME6:0 "Різанина в провінції [Root.GetName]"
 trade_company_events.EVTDESC6:0 "Змова була розкрита в провінції [Root.GetName]! [Root.Tradecompany.GetName] занадто довго викликала невдоволення місцевих жителів, і ті разом з іноземними торговцями запланували захопити місцеві укріплення, і вбити місцевого губернатора, щоб підірвати діяльність торгової компанії. Усі змовники були засуджені й обезголовлені за наказом губернатора. Цей інцидент виявляється дуже малоймовірним, хоча..."
 trade_company_events.EVTOPTA6:0 "Кинути губернатора у в'язницю"
 trade_company_events.EVTOPTB6:0 "Підтримати губернатора"
 trade_company_events.EVTNAME7:0 "Різанина в провінції [From.GetName]"
 trade_company_events.EVTDESC7:0 "[Root.Tradecompany.GetName] вражена! Місцевий губернатор і цілий ряд чиновників були вбитими в провінції [Root.GetName]! [From.Tradecompany.GetName] втратилася свого керівника, який був схоплений у провінції [From.GetName], визнаний винним у шпигунстві й обезголовлений."
 trade_company_events.EVTOPTA7:0 "Обурливо!"
 trade_company_events.EVTNAME8:0 "Розширення торгової компанії"
 trade_company_events.EVTDESC8:0 "[Root.Tradecompany.GetName] незадоволена нашими діями в регіоні. Вони вимагають щоб ми заявили претензії на прилягаючі території для розширення її бази для проведення операцій."
 trade_company_events.EVTOPTA8:0 "Заявити претензії"
 trade_company_events.EVTTOOLTIP8:0 "[Root.Tradecompany.GetName] очікує захоплення провінції [Root.GetName] у найближчі кілька років."
 trade_company_events.EVTOPTB8:0 "Ігнорувати їх"
 trade_company_events.EVTNAME9:0 "Торгова компанія незадоволена"
 trade_company_events.EVTDESC9:0 "[Root.Tradecompany.GetName] дуже незадоволена недостатньою підтримкою з нашого боку. Кілька років назад вони просили допомогти розширити їхні кордони на сусідні провінції. Ми навіть заявили претензії на них. Але далі цього справа не пішла."
 trade_company_events.EVTOPTA9:0 "Пообіцяти знову"
 trade_company_events.EVTOPTB9:0 "Знайти інші способи підтримки"
 trade_company_events.EVTOPTC9:0 "Не звертати уваги"
 trade_company_events.EVTNAME10:0 "Бум у торговій компанії"
 trade_company_events.EVTDESC10:0 "[Root.Tradecompany.GetName] показує стійкий ріст, і частина їхніх прибутків починає надходити до скарбниці держави [Root.Owner.GetName]."
 trade_company_events.EVTOPTA10:0 "Отримати з цього вигоду"
 trade_company_events.EVTOPTB10:0 "Вимагати дивіденди за нашими внесками"
 trade_company_events.EVTNAME11:0 "Проблеми з торговою компанією"
 trade_company_events.EVTDESC11:0 "Наша [Root.Tradecompany.GetName] зіштовхнулася з рядом серйозних фінансових труднощів. Вони посилаються на недолік експансії вкупі зі значною конкуренцією з боку торгових компаній інших народів. У довгостроковій перспективі ми повинні допомогти їм розширитися, і пересвідчитися що вони є домінуючою силою в регіоні. Однак поки що їм потрібне вливання капіталу, військових та морських ресурсів."
 trade_company_events.EVTOPTA11:0 "Це в наших інтересах"
 trade_company_events.EVTOPTB11:0 "Це не наші проблеми"
 trade_company_annoyed:0 "Торгова компанія розсерджена"
 desc_trade_company_annoyed:0 "Недавні дії їхньої рідної держави розсердили торгову компанію."
 trade_company_upset:0 "Торгова компанія засмучена"
 desc_trade_company_upset:0 "Недавні дії їх рідної держави засмутили торгову компанію."
 trade_company_greatly_upset:0 "Торгова компанія дуже засмучена"
 desc_trade_company_greatly_upset:0 "Недавні дії їх рідної держави дуже засмутили торгову компанію."
 beheaded_governor:0 "Обезголовлений губернатор"
 trade_company_boom:0 "Бум у торговій компанії"
 desc_trade_company_boom:0 "В одній з наших торгових компаній спостерігався стабільний ріст протягом тривалого часу, що збільшує нашу загальну ефективність торгівлі."
 trade_company_trouble:0 "Проблеми з торговою компанією"
 desc_trade_company_trouble:0 "Одна з наших торговельних компаній зіштовхнулася з фінансовими труднощами, що вплинуло на нашу загальну ефективність торгівлі."
 trade_company_west_africa:0 "Західно-африканський торговий регіон"
 trade_company_south_africa:0 "Південно-африканський торговий регіон"
 trade_company_east_africa:0 "Східно-африканський торговий регіон"
 trade_company_west_india:0 "Західно-індійський торговий регіон"
 trade_company_east_india:0 "Східно-індійський торговий регіон"
 trade_company_indonesia:0 "Індонезійський торговий регіон"
 trade_company_philippines:0 "Пилипинський торговий регіон"
 trade_company_indochina:0 "Індокитайський торговий регіон"
 trade_company_south_china:0 "Південно-китайський торговий регіон"
 trade_company_east_china:0 "Східно-китайський торговий регіон"
 trade_company_north_china:0 "Північно-китайський торговий регіон"
 TRADE_COMPANY_WEST_AFRICA_Africa_Trade_Company:0 "Західно-африканська компанія"
 TRADE_COMPANY_SOUTH_AFRICA_Africa_Trade_Company:0 "Південно-африканська компанія"
 TRADE_COMPANY_EAST_AFRICA_Africa_Trade_Company:0 "Східно-африканська компанія"
 TRADE_COMPANY_WEST_INDIA_India_Trade_Company:0 "Західно-індійська компанія"
 TRADE_COMPANY_EAST_INDIA_India_Trade_Company:0 "Східно-індійська компанія"
 TRADE_COMPANY_INDONESIA_Indonesia_Trade_Company:0 "Індонезійська компанія"
 TRADE_COMPANY_PHILIPPINES_Indonesia_Trade_Company:0 "Пилипинська компанія"
 TRADE_COMPANY_INDOCHINA_China_Trade_Company:0 "Індокитайська компанія"
 TRADE_COMPANY_SOUTH_CHINA_China_Trade_Company:0 "Південно-китайська компанія"
 TRADE_COMPANY_EAST_CHINA_China_Trade_Company:0 "Східно-китайська компанія"
 TRADE_COMPANY_NORTH_CHINA_China_Trade_Company:0 "Північно-китайська компанія"
 TRADE_COMPANY_WEST_AFRICA_Root_Culture_GetName:0 "[Root.Culture.GetName] Західно-африканська компанія"
 TRADE_COMPANY_SOUTH_AFRICA_Root_Culture_GetName:0 "[Root.Culture.GetName] Південно-африканська компанія"
 TRADE_COMPANY_EAST_AFRICA_Root_Culture_GetName:0 "[Root.Culture.GetName] Східно-африканська компанія"
 TRADE_COMPANY_WEST_INDIA_Root_Culture_GetName:0 "[Root.Culture.GetName] Західно-індійська компанія"
 TRADE_COMPANY_EAST_INDIA_Root_Culture_GetName:0 "[Root.Culture.GetName] Східно-індійська компанія"
 TRADE_COMPANY_INDONESIA_Root_Culture_GetName:0 "[Root.Culture.GetName] Індонезійська компанія"
 TRADE_COMPANY_PHILIPPINES_Root_Culture_GetName:0 "[Root.Culture.GetName] Пилипинська компанія"
 TRADE_COMPANY_INDOCHINA_Root_Culture_GetName:0 "[Root.Culture.GetName] Індокитайська компанія"
 TRADE_COMPANY_SOUTH_CHINA_Root_Culture_GetName:0 "[Root.Culture.GetName] Південно-китайська компанія"
 TRADE_COMPANY_EAST_CHINA_Root_Culture_GetName:0 "[Root.Culture.GetName] Східно-китайська компанія"
 TRADE_COMPANY_NORTH_CHINA_Root_Culture_GetName:0 "[Root.Culture.GetName] Північно-китайська компанія"
 TRADE_COMPANY_INDIA_British_East_India_Company:0 "Британська Ост-Індійська компанія"
 TRADE_COMPANY_INDONESIA_Dutch_East_India_Company:0 "Голландська Ост-Індійська компанія"
 CAPITAL_NOT_IN_EMPIRE:0 "Належить державі $COUNTRY$, чия столиця $CAPITAL$ не є частиною Імперії."
 OVERLORD_CAPITAL_NOT_IN_EMPIRE:0 "Це васал держави $COUNTRY$, чия столиця $CAPITAL$ не є частиною Імперії."
 IS_AN_ELECTOR:0 "$COUNTRY$ є курфюрстом."
 FE_USE_TI:0 "Terra Incognita"
 FE_ONLY_HOST_SAVE:0 "Лише host та спостерігач можуть зберігати гру"
 FE_ONLY_HOST_PAUSE:0 "Тільки host може ставити на паузу"
 FE_ONLY_HOST_PAUSE_DESC:0 "Якщо цю опцію увімкнено у мережевій грі, тоді лише host може ставити на паузу під час гри."
 FE_ONLY_HOST_SAVE_DESC:0 "Якщо цю опцію увімкнено у мережевій грі, тоді лише host та спостерігач можуть зберігати гру. Це упередить збереження гри учасниками та підглядання за іншими гравцями ."
 FE_EDIT_SAVE:0 "Змінюване збереження"
 FE_EDIT_SAVE_DESC:0 "Надає або відбирає можливість для ручного редагування збереження в період між ігровими сесіями. Якщо цю опцію вимкнено, гравці не зможуть продовжити гру в одиночному режимі."
 FE_LOCK_LEDGER:0 "Закритий журнал"
 FE_LOCKED_LEDGER_DESC:0 "Надає або відбирає можливість перегляду журналу. Можна використовувати в мережевій грі, щоб гравці не мали змоги отримати доступ до певної інформації."
 FE_DYNAMIC_PROVINCE_DESC:0 "Ця опція дозволяє провінції змінити свою назву, при зміні в ній панівної культури. Якщо опція вимкнена, то назва провінції може бути змінена лише користувачем вручну."
 CANT_START_EDIT_LOCK:0 "Це збереження доступне тільки для мережевої гри."
 LEDGER_LOCKED:0 "Перегляд журналу заборонений у цій грі."
 BECOME_PROTECTORATE_DESC:0 "$WHO$ передасть державі $BOSS$ 50% своєї торгової сили, а держава $BOSS$ допоможе державі $WHO$ у їхньому технологічному прогресі. Також держава $WHO$ не зможе укладати союзи ні з ким, крім держави $BOSS$."
 FE_RANDOMWORLD_DESC:0 "§YВипадковий Новий Світ§! дозволяє відчути себе справжнім дослідником. Цей режим робить повністю випадковими Північну та Південну Америки."
 FE_RANDOMWORLD_DESC2:0 "Гра з §YВипадковим Новим Світом§! доступна тільки з найбільш ранньої дати."
 FE_OBSERVE_DESC:0 "Спостерігач"
 FE_OBSERVE_DESC2:0 "Режим спостерігача дозволяє приєднатися до гри, не обираючи для гри країну, даючи можливість просто дивитися за розвитком подій."
 FE_OBSERVE_SERVER:0 "§R- Host не може бути спостерігачем.§!"
 FE_USETI_DESC:0 "Включає або відключає Terra Incognita у стадії вибору держави. Особливо корисно, якщо ви включили опцію §YВипадковий Новий Світ§!, і хочете відчути себе першовідкривачем."
 NOCOLONIALCOLONISENONCITYADJACENT:0 "Колоніальні нації можуть колонізувати тільки суміжні провінції всередині свого колоніального регіону."
 OBSERVER_SELECT_COUNTRY_D:0 "Ви можете також утримуючи Ctrl, натиснути на будь-яку країну на карті, або вибрати гравця в меню праворуч."
 temperate:0 "Помірний"
 ALREADY_CALLED_TO_ARMS:0 "Вже закликані в одну з війн."
 SupportIndependenceREQDESC:0 "§Y$ACTOR$§! просять підтримати їхній сепаратизм. Це означає, що ми отримаємо заклик до війни, коли вони почнуть свою війну за незалежність. Ви згодні?"
 SupportOurIndependenceREQDESC:0 "Держава §Y$ACTOR$§! пропонує підтримати наш сепаратизм. Це означає, що коли ми почнемо війну за незалежність, їм прийде заклик до війни. Ви згодні?"
 LIBERATECOLONY:0 "Звільнення колонії"
 PROTECTORATES_NOT_ADVANCED:0 "Ми не достатньо розвинені, щоб створювати протекторати."
 PROTECTORATES_THEY_NOT_ADVANCED:0 "Вони не досить розвинені, щоб мати протекторати."
 TRANSFER_TRADE_POWER_THEY_NOT_ADVANCED:0 "Вони не досить розвинені, щоб передавати нам торгову силу."
 OWNED_BY_OR_VASSALS:0 "Належить державі §Y$COUNTRY$§! або її автономіям."
 NOT_OWNED_BY_OR_VASSALS:0 "Не належить державі §Y$COUNTRY$§! або її автономіям."
 OWNED_BY_OR_NON_SOVEREIGN_SUBJECTS:0 "Належить державі $COUNTRY|Y$ або її суб'єктам (не включаючи данників)."
 NOT_OWNED_BY_OR_NON_SOVEREIGN_SUBJECTS:0 "Не належить державі $COUNTRY|Y$ або її суб'єктам (не включаючи данників)."
 FE_USE_DYNAMIC_PROVINCE_NAMES:0 "Динамічні провінції"
