l_ukrainian:
 nw_native_ideas:0 "Ідеї тубільців Північного Заходу"
 dreamtime_rebels_title:0 "Релігійні"
 dreamtime_rebels_name:0 "Фанатики релігії $RELIGION$"
 dreamtime_rebels_desc:0 "Релігійні фанатики повстають у провінціях, де сповідують відмінну від державної релігію. Вони прагнуть поширити свій культ, знищуючи всіх невірних."
 dreamtime_rebels_army:0 "Військо фанатиків віри $RELIGION$"
 WAGYLKOOP:0 "Вагілкооп"
 MOORAMOORA:0 "Мурамура"
 GINGARRURNDE:0 "Гінгаррурнде"
 aboriginal_australian:0 "Аборигенськ"
 yura:0 "Юраськ"
 paman:0 "Паманськ"
 gunwinyguan:0 "Гунвінігуанськ"
 nyoongah:0 "Нюнганськ"
 palawa:0 "Палавськ"
 gamilaraay:0 "Гаміларайськ"
 kulin:0 "Кулінськ"
 aboriginal_tech:0 "Аборигенська"
 aboriginal_tech_desc:0 "У технологічній групі аборигенів технологічні рівні дорожчі на 250% (350%)."
 aboriginal_boomerang:0 "Мисливці з бумерангами"
 aboriginal_boomerangDESCR:0 "The boomerang is a traditional weapon used by both hunters and warriors in Australia. Although it is not as deadly as a spear or arrow, the boomerang is a reliable and reusable hunting tool and a deadly weapon in the hands of a skilled warrior. The reduced fatality rate of a boomerang makes it the ideal tool for battles where the aim is to take prisoners, not inflict casualties."
 aboriginal_warrior:0 "Аборигенські списоносці"
 aboriginal_warriorDESCR:0 "The spear is a deadly and versatile weapon used throughout all of Australia. From a young age, boys are educated to wield a spear and when they become men, their spear becomes their greatest ally; just as deadly at range as it is up close."
 aboriginal_ambusher:0 "Aboriginal Ambusher"
 aboriginal_ambusherDESCR:0 "Ambush tactics are vital when facing a superior enemy, and warriors who can master the art of the ambush need not fear mere numbers alone. Often striking at night, Aboriginal ambush tactics proved to be deadly in leaving their foes scattered and confused as their spears met their target."
 aboriginal_infantry:0 "Ritual Warrior"
 aboriginal_infantryDESCR:0 "Warfare in Australia is rarely anything but formal. Warrior bands would set out often for ritualistic practice, and these bold religious warriors shock and terrify their opponents with the deadly power of the gods and ancestors behind their weapons."
 aboriginal_reformed_boomerang:0 "Reformed Boomerang Warrior"
 aboriginal_reformed_boomerangDESCR:0 "The evolution of new military tactics has made the boomerang find a new purpose on the battlefield. By using the boomerang from the back-row with spearmen on the front, we may be able to fell our foes before they even see us coming."
 aboriginal_outback_warriors:0 "Outback Warriors"
 aboriginal_outback_warriorsDESCR:0 "The outback is home to little but sand and deadly wildlife, but the Aboriginal practice of walkabout necessitated the training of hunting and warfare in the harshest conditions."
 aboriginal_arquebusier:0 "Ambush Arquebusier"
 aboriginal_arquebusierDESCR:0 "Wars between colonists and Aboriginals were fought on uneven grounds; with the colonists possessing advanced firearms and greater numbers than the Aboriginals. What few victories the Aboriginal warriors fought were often defensive and using advanced defensive tactics."
 aboriginal_tasmanian_arquebusier:0 "Offensive Arquebusier"
 aboriginal_tasmanian_arquebusierDESCR:0 "The boomerang and spear warriors often utilized heavy offensive tactics, and the Aboriginal hunting background allowed the warriors to contest the gunpowder warriors of the West. By embracing the arrival of gunpowder, however, Aboriginal warriors may be able to find equal footing with foreign armies."
 aboriginal_riflemen:0 "Frontier Riflemen"
 aboriginal_riflemenDESCR:0 "The Frontier Wars were a series of harsh and deadly conflicts between the Aboriginals and the arriving colonists. Even though the Aboriginals were facing a foe with a logistical and tactical advantage, the hunting and fighting techniques of the Aboriginal warrior made them a deadly force on the battlefield, even in an unfair fight."
 aboriginal_guerrillas:0 "Black War Infantry"
 aboriginal_guerrillasDESCR:0 "The Black Wars were a series of deadly conflicts on the Tasmanian island between the English colonists and the native Palawa. What we have learned from our deadly clashes with the West will no doubt reshape aboriginal warfare forever."
 aboriginal_horseman:0 "Aboriginal Horsemen"
 aboriginal_horsemanDESCR:0 "With the arrival of horsemen to Australia, Aboriginal warfare will be changed forever."
 aboriginal_cavalry:0 "Aboriginal Cavalry"
 aboriginal_cavalryDESCR:0 "Adopting more advanced mounted warfare tactics from abroad, the Aboriginal cavalry is able to support infantry more effectively on the battlefield."
 aboriginal_hussar:0 "Aboriginal Hussar"
 aboriginal_hussarDESCR:0 "Light cavalry specializing in raiding and hit-and-run tactics."
 aboriginal_swarm_cav:0 "Aboriginal Swarm Cavalry"
 aboriginal_swarm_cavDESCR:0 "Swarm cavalry were loose order cavalry armed with bows or carbines and would use harassing fire tactics to disorder the enemy before charging. The loose order the cavalry made them less vulnerable to fire from the enemy, but if the opposition could withstand their harassing attacks they would quickly fall under a charge."
 aboriginal_dragoon:0 "Aboriginal Dragoon"
 aboriginal_dragoonDESCR:0 "Horsemen armed with muskets who would dismount in battle and fight as infantry."
 TIW_ideas:0 "Тівійські ідеї"
 TIW_ideas_start:0 "Тівійські традиції"
 TIW_ideas_bonus:0 "Тівійські амбіції"
 TIW_yiminga:0 "Yiminga"
 TIW_yiminga_desc:0 "Our skin, or “Yiminga” is matrilineal and is carried down from mother to her children. It is the female dynasties which determine the fate of our children; their group, life, spirit, breath, and pulse. The female brings life and form to the child, and the male locates a spirit to bring for the unborn child. While other tribes would scorn the efforts of the females, we know it is from them that our social class and family is determined, and it is only right that they share a place in power with their male counterparts."
 TIW_dreaming_totem:0 "The Dreaming Totem"
 TIW_dreaming_totem_desc:0 "The dreaming totem of a Tiwi is a sacred animal assigned to a Tiwi by their father. A Tiwi with a totem may not kill or consume the flesh of their spirit animal; to do so would be the spiritual cannibalism. It’s an integral part of a Tiwi’s individual identity and is used as a mark of identity during dances and ceremonies."
 TIW_kulama:0 "Kulama"
 TIW_kulama_desc:0 "During the dreamtime, a boobook owl man and his wife Pintoma decided to perform the first Kulama ceremony. The ceremony involved the preparation of the poisonous Kulama yam for food, and a complex series of dances and performances. Everyone, from us here on the ground, to the gods and spirits all around us perform the Kulama ceremony to celebrate the life that has been given to us."
 TIW_purrukapali:0 "Purrukapali"
 TIW_purrukapali_desc:0 "The Legend of Purrukapali tells of the tragic death of Purrukapali’s son who dried out until death under the care of his neglectful mother. Purrukapali, distressed by what had happened, picked up the dried corpse of his boy and carried him to the wise Japara who promised to restore the boy to life in time, but Purrukapali in a fit of distress and impatience engaged Japara in a great battle. Purrukapali picked up the dead body of his son and carried him into the sea, proclaiming that death should come to all creation so that all would experience the grief he feels. The site where he carried his son became a strong whirlpool that would drown anyone who came near it. Japara, who ended Purrukapali’s madness, was reincarnated into the moon and became trapped in a cycle of death and reincarnation every three days."
 TIW_marriage:0 "Tiwi Marriage Traditions"
 TIW_marriage_desc:0 "Marriage is integral for economic, social, and political advantage. Marriage is as important to our livelihood as fishing, farming, and foraging, and a Tiwi woman who is unmarried is simply idle and belligerent. Remarriage is common for our people, and often lower members of society such as low-ranking hunters would often marry the widows of more successful men. Remarriage must happen quickly, for each day a woman remains unmarried is a day of great shame."
 TIW_isolationism:0 "Tiwi Isolationism"
 TIW_isolationism_desc:0 "Our society has a long history of harsh isolationism. Outsiders have only sought to plunder and take advantage of our bountiful lands and destroy our culture and this must not be allowed to pass. Our language, lands, and culture must be preserved and if that means sacrificing our ties to outsiders then that is the way it must be."
 TIW_one_people:0 "One People"
 TIW_one_people_desc:0 "“Tiwi” in our language means “One People”. We have one language, one religion, and one people. There is only Tiwi, and anyone who forms a part of our great nation shall adopt the Tiwi way of life, and the Tiwi identity and all that that involves."
 generic_aboriginal_ideas:0 "Ідеї аборигенів"
 generic_aboriginal_ideas_start:0 "Традиції аборигенів"
 generic_aboriginal_ideas_bonus:0 "Амбіції аборигенів"
 aborig_art:0 "Aboriginal Art"
 aborig_art_desc:0 "While others would express themselves through the spoken word, we preserve our legacy and culture through our stunning visual arts. The preservation of our culture is dependent on our ability to continue to master the language of color, shape, and an artistic interpretation of the spiritual world."
 aborig_walkabout:0 "Walkabout"
 aborig_walkabout_desc:0 "The traditional Aboriginal Walkabout is a ceremony in which an Aboriginal boy is expected to journey across the harsh Australian wilderness to a holy site such as Uluru, and it is on his journey that he transitions from boy to man. The journey can last as long as six months, and in this time, the man is expected to live out in the wilderness without any outside assistance. It is a hard passage to go through, but it ensures that only the strongest amongst us survives."
 aborig_outback:0 "People of the Outback"
 aborig_outback_desc:0 "The Outback is a harsh unforgiving place. Even today, many areas of the outback are almost completely uninhabited and venturing there is seen as a death sentence. But, nonetheless, the Aboriginals were able to survive in such harsh conditions and even make lives for themselves out there. "
 aborig_sacred:0 "The Sacred Lands"
 aborig_sacred_desc:0 "The Aboriginal religious beliefs often assign divine significance to all places in Australia. Notable landmarks and features across the continent are often described as being the resting places for the gods, or relics of ancient conflicts that took place during the Dreamtime. The Rainbow Serpent, which is often seen as a creator god, is claimed to be the bringer of rain, and when a rainbow appears in the sky, it is the rainbow serpent moving from one watering hole to another."
 aborig_dreamtime:0 "Dreamtime"
 aborig_dreamtime_desc:0 "The Dreamtime refers to the time before the creation of the universe; when all that existed were spirits and gods. Different tribes have differing explanations for what brought the world into existence from the Dreamtime, but almost all tribes in Australia believed in this time before material existence. To practice meditation or worship of gods and ancestors is often described as “Dreaming”, and tapping into the knowledge of the Dreamtime scape. This is because in the Dreamtime, one’s entire ancestry exists as one, and the knowledge of your ancestors is readily available in the Dreamtime if one is able to access it."
 aborig_music:0 "Musical Tradition"
 aborig_music_desc:0 "Aboriginal music is distinctly unique in its composition. The digeridoo is a traditional instrument used in Aboriginal music, and prior to the arrival of the colonists, Australia would be the only place one could hear the tones of this unique instrument. There are songs and compositions created by the aboriginals that are as old as 1500 years and are still played today. "
 aborig_fire_stick_farming:0 "Fire-stick Farming"
 aborig_fire_stick_farming_desc:0 "Australia is a harsh and unforgiving land, but we’ve learned to exploit the Bush to its maximum potential. Fire-stick farming is a technique mastered by Aboriginal Australians where we burn away the scrub to make room for edible crops like bush potatoes and to reshape dead forests into ideal kangaroo hunting grounds."
 EOR_ideas:0 "Еорські ідеї"
 EOR_ideas_start:0 "Еорські традиції"
 EOR_ideas_bonus:0 "Еорські амбіції"
 EOR_lifestyle:0 "Еорський спосіб життя"
 EOR_lifestyle_desc:0 "We are a coastal people, living primarily in villages by the sea and surviving off of the sea’s great bounty. We do not need to grow crops or maintain plantations when the sea grants us all the great bounty we need. We are experts at navigating the small shores and natural harbors of our homeland and shall continue to survive with this coastal way of life."
 EOR_bands:0 "Twenty-Nine Bands"
 EOR_bands_desc:0 "The Eora are a collection of 29 different bands of people. The bands are united by common ancestors and families, and intermarriage between bands is common and keeps our disparate people strong and united. Administrating these major bands and uniting our nation together in this loose government style will prove useful as our tribe continues to expand and more people come to call themselves Eora."
 EOR_enduring:0 "Enduring Culture"
 EOR_enduring_desc:0 "The culture of Eora is ancient beyond any knowledge, and has endured through war, conquest, and changing times. Eora artwork and culture can exist and thrive in the smallest of our villages to the vast expansive cities of the future. As times change and people of increasing number come to join our nation, one thing shall always endure; the Eora spirit."
 EOR_protect:0 "Protect the Ancestral Land"
 EOR_protect_desc:0 "The Aboriginal people of Sydney were stoic defenders of their homeland and would resist the offenses of foreign invaders against their land, even against their own self-interest. In many wars and conflicts which have come to the shores of Australia, Eora men and women would eagerly volunteer to fight and defend their land; even during times when they were seen as second-class citizens. It’s our willingness to fight and defend the sacred land which rallies new generations constantly to our cause."
 EOR_sacred:0 "The Sacred Shore"
 EOR_sacred_desc:0 "We are the traditional custodians of this sacred land. While other tribes would abandon their homes in a heartbeat for more fertile lands, we Eora have always been here and always will be here. Our 29 nations live together in harmony around the Sydney harbor, and the co-operation of our people is what will make Eora lands the envy of the world."
 EOR_pemulwuy:0 "Pemulwuy"
 EOR_pemulwuy_desc:0 "When the colonists came to visit the Eora, they rapidly began plundering our shores of fish, emptying our land of wildlife, and polluting our waters with filth. The Eora lifestyle was coming to an end. However, brave warriors like Pemulwuy would stand against these foreign invaders and end their disruptive behavior. The ferocity and bravery displayed by Pemulwuy shall prove as an example to all, and the Eora people will fight even against impossible odds."
 EOR_berewaldal:0 "Berewaldal"
 EOR_berewaldal_desc:0 "There are people from beyond our lands; beyond even Australia itself. We know they envy the lucrative produce that Eora has to offer, and we know that one way or another they will find a way to take it from us. Perhaps it is not with violence, but with clever words that we may negotiate with these outsiders and find a solution that will be good for both of our people."
 KAU_ideas:0 "Каурнські ідеї"
 KAU_ideas_start:0 "Каурнські традиції"
 KAU_ideas_bonus:0 "Каурнські амбіції"
 KAU_totemic_matriarchy:0 "Totemic Matriarchy"
 KAU_totemic_matriarchy_desc:0 "The Kaurna people trace our ancestry through our mothers, and all ancestral lines can be traced back to the Dreamtime. Every man and woman has a touch of the divine in their blood, and through our mothers we grow closer to the Dreaming."
 KAU_pangkarra:0 "The Pangkarra System"
 KAU_pangkarra_desc:0 "Our society is divided amongst several distinct bands, each operating independently but united by the Kaurna identity. Administrating our people is an easy task when we allow them to freely organize themselves."
 KAU_coastal_pangkarra:0 "Coastal Pangkarra"
 KAU_coastal_pangkarra_desc:0 "Along with being autonomous and minimally governed, all Pangkarra must be granted access to the sea by birthright. Fishing and maritime trade are a vital part of the Kaurna lifestyle and any Pangkarra without coastal access is no Pangkarra at all."
 KAU_redgum_shelters:0 "Redgum Shelters"
 KAU_redgum_shelters_desc:0 "While other societies are sedentary and soft, the Kaurna people move with the passing of the seasons. In summer, the ocean overflows with fish, but in winter the rains come and the maintenance of fires in our Redgum Shelters becomes vital for our survival."
 KAU_communal_ownership:0 "Communal Ownership"
 KAU_communal_ownership_desc:0 "No individual has the right to claim ownership of that which belongs to the Kaurna people. Property belongs not to landowners or nobility, but to the tribe and the people who inhabit it. This communal ownership ensures that no man or woman is left behind, and the tribe prospers or suffers as one."
 KAU_old_tjilbruke:0 "Old Tjilbruke"
 KAU_old_tjilbruke_desc:0 "Our people share the story of Tjilbruke; a great hero of the Kaurna tribe from the time of the Dreaming. Tjilbruke brought peace to the Kaurna people with his laws and proclamations which kept our people safe. So dedicated to justice was Tjilbruke that he sentenced even his own nephew to death for breaking the sacred laws of the Kaurna."
 KAU_south_australia_act:0 "South Australia Act"
 KAU_south_australia_act_desc:0 "Unlike other Aboriginal people, the colonial powers from abroad recognize our independence and right to self-government, to such a point that our name appears on their maps and their companies are forbidden from settling our territories."
 PLW_ideas:0 "Палавські ідеї"
 PLW_ideas_start:0 "Палавські традиції"
 PLW_ideas_bonus:0 "Палавські амбіції"
 PLW_oyster:0 "Oyster Bay"
 PLW_oyster_desc:0 "The Great Oyster Bay is an area on our island rich with oysters, mussels, scallops, urchins and countless other easily harvestable maritime goods. Even whales and fur seals would occasionally wander to Palawan shores and bring with them the great bounty of their meats, bone, and fur. Our island truly is a blessed land, and we have mastered the harvesting of sites like Oyster Bay for their great bounty and know how to trade them with other tribes for great profit."
 PLW_dual_identity:0 "Dual-Identity"
 PLW_dual_identity_desc:0 "The Palawa identity can be broken down into two hierarchies; the domestic unit of families, and the clan unit which would be a separate clan of 40-50 people, and both identities would exist under the hierarchy of the tribe."
 PLW_darwin:0 "Darwin Glass"
 PLW_darwin_desc:0 "Unknown centuries ago, our island was struck with a great monument from the gods which landed squarely in the centre of our island. Though it caused great destruction, it also brought with it a powerful building material ideal for crafting into spears and jewellery. Our island may well be the only site in the world to contain this precious material, and we must capitalize on this through trade and warfare."
 PLW_parlevar:0 "Parlevar"
 PLW_parlevar_desc:0 "In the beginning of time, the creators Moinee and Droemerdene set about their work crafting the world. Moinee was the architect of the world; forming land and rivers of our island, and finally taking the wandering spirit of Parlevar and granting him the body of the first man. What followed shortly after was the Kangaroo, which Moinee made in Parlevar’s image, who then emerged from the soil in the ground. Droemerdene took the form of a star and acted as humanity’s guide and transformed these kangaroo-men into human beings; removing their tales and fashioning knees so they may rest. The original human beings were Palawa, and hence any who resist the Palawa identity are merely denying their ancestors."
 PLW_writers:0 "First Aboriginal Writers"
 PLW_writers_desc:0 "Though Aboriginal cultures were often defined through oral tradition and visual arts, we Palawa were among the first to adopt the written word as a way of preserving the legacy of the ancestors and sharing the knowledge of our people. Our earliest works included information about the island itself, our history, and great works of poetry written in Palawa languages. Our quick mastery of the written word is a clear demonstration that we Palawa are expert at embracing new ideas and shifting our old traditions to flow with the changing times."
 PLW_survivors:0 "Survivors of the Black War"
 PLW_survivors_desc:0 "When the colonists came to our island, they sought to eradicate our people and take our lands. The conflict was bloody, and almost eradicated all life on our island. We fought bravely against a superior foe; refusing to back down with gun barrels pointed to our heads."
 PLW_enduring:0 "Enduring People"
 PLW_enduring_desc:0 "After the bloody conflicts with foreign colonial armies, only four hundred Palawa were left alive to continue our legacy. Over the years, our numbers would begin to multiply again until we regained our original population. Although the scars of what was done to our people may never heal, we will always be able to stand up from even the bloodiest of conflicts and recover the numbers we lost in one-sided conflict."
 LAR_ideas:0 "Ларракійські ідеї"
 LAR_ideas_start:0 "Ларракійські традиції"
 LAR_ideas_bonus:0 "Ларракійські амбіції"
 LAR_makassar_trade:0 "The Makassarian Trade"
 LAR_makassar_trade_desc:0 "For centuries, the Larrakia have been one of few people to engage in trade with those from beyond Australia’s shores. The merchants of Makassar come seeking Australia’s most coveted goods; sea cucumbers, clothing, and tobacco. While others would remain insular and trade only with the locals, the Larrakian goods are carried all the way to the distant shores of China."
 LAR_federation:0 "The Larrakia Federation"
 LAR_federation_desc:0 "Lands owned by the Larrakia alone are not enough to entice foreign traders, so we engage in close friendly relations with our neighbors, so much so that our cultures intermarry and share ceremonies, songs, and Dreaming Stories."
 LAR_dreaming:0 "Larrakia Dreaming"
 LAR_dreaming_desc:0 "The Dreaming Stories of the Larrakia make our lands every bit a part of our nation as our people. Our connection to the earth and seas we inhabit is every bit as spiritual as it is physical, and all across the shores of Northern Australia, we tell the Dreaming Stories that shaped the world."
 LAR_dowed:0 "Dowed"
 LAR_dowed_desc:0 "The first Larrakia man, Dowed was raised from the Earth by Nanganburra and educated in how to procreate, create law, and to speak. When he grew old, many refused to obey him and the laws he created, and his punishments caused many people to die. Through Dowed we learn the delicate balance between legalism and mercy."
 LAR_ceremonial_scarring:0 "Ceremonial Scarring"
 LAR_ceremonial_scarring_desc:0 "Scarring in Larrakia society is a voluntary act that one inflicts upon one’s body. The body is cut and scarred to celebrate marriage, the birth of children, or the death of a celebrated family member. To be scarred is to have a life of memories, and to be clean is to be naive and inexperienced, and the more clean one’s skin is, the less right they have to take part in ceremonies and celebrations."
 LAR_hospitality:0 "Larrakia Hospitality"
 LAR_hospitality_desc:0 "When strangers appear on the shores of Larrakia, whether they be friend or foe, they are treated with hospitality and respect, no matter their origins or intentions. Whether Makassarian traders or European colonizers, the Larrakia will always provide safe shores where you may be welcomed as friends."
 LAR_kenbi_land_claim:0 "The Kenbi Land Claim"
 LAR_kenbi_land_claim_desc:0 "When colonizers came to the shores of Australia and illegally plundered and pillaged the lands of the Larrakia, we retaliated in the only language they understood; the language of the law. We laid out, in a three-meter-long document, the precise reasoning why the colonial companies were violating international laws, and our mastery of the law makes us a formidable opponent for any would-be colonizer."
 GMI_ideas:0 "Каміларойські ідеї"
 GMI_ideas_start:0 "Каміларойські традиції"
 GMI_ideas_bonus:0 "Каміларойські амбіції"
 GMI_sacred_caves:0 "The Sacred Caves"
 GMI_sacred_caves_desc:0 "Water and wind shape the rocks of our home, and from them our ancestors created tools with which to cultivate and shape the earth around us. We live amongst the land, and the land provides us with all that we need."
 GMI_land_of_languages:0 "Land of Languages"
 GMI_land_of_languages_desc:0 "The Kamilaroi social environment is characterized by a whole slew of different people speaking different languages and dialects, meeting among the Kamilaroi for trade and intermarriage between our people."
 GMI_fertile_soils:0 "Fertile Soils of Kamilaroi"
 GMI_fertile_soils_desc:0 "The Kamilaroi inhabit some of Australia’s most fertile plains, made this way by careful considered bushfire farming."
 GMI_dhulu:0 "Dhulu"
 GMI_dhulu_desc:0 "Australia is full of countless peoples and languages all across the continent, and the Kamilaroi is one of Australia’s largest tribal confederations. Communication among subtribes is key for keeping our people united, and we have invented a practice of delivering messages in the form of Dhulu to commune with our brothers across the plains."
 GMI_matrilineal_lineage:0 "Matrilineal Lineage"
 GMI_matrilineal_lineage_desc:0 "It is from our mothers’ womb that we are born, so it is by our mothers’ blood that we track our lineage. While others would adopt the family name of their father, fathers are unreliable and one is never truly certain who their real father is. By tracking lineage matrilineally, we always know where our blood has come from."
 GMI_familial_law:0 "Familial Law"
 GMI_familial_law_desc:0 "The norms of one’s kin dictate the behavior and obligations one owes to their family. In Kamilaroi society, laws exist on a national, tribal, and familial level and differentiate for each family. One’s family head is as much one’s master as one’s chief."
 GMI_red_kangaroo:0 "Red Kangaroo"
 GMI_red_kangaroo_desc:0 "Gambu Ganuuru was a great and wise leader of our people who held firm against a foreign invader. Since his death, we sing songs of his triumphs and celebrate him as the Red Kangaroo of the Kamilaroi."
 aboriginal_moluccan_trade_title:0 "Брати участь в макасарській торгівлі"
 aboriginal_moluccan_trade_desc:0 "Небагато іноземців знають про те, що треба плисти в Австралію, щоб скористатися її багатствами, але макасарці знають, що ми багаті та гідні торгової подорожі. Ці макасарці приносять із собою дивні історії про чужоземних богів, тож ми можемо багато чому навчитися з їхнього розуміння сновидінь."
 dreamtime_conquer_tasmania_title:0 "Об'єднати палава"
 dreamtime_conquer_tasmania_desc:0 "Палава ізольовані та віддалені від решти континенту, тому в них є свої власні історії сновидінь, абсолютно не схожі на ті, що можна знайти на материку. Об'єднання їх під нашим прапором та інтегрування їхніх історій з нашими власними надасть нашим людям доступ до безлічі нових історій сновидінь!"
 dreamtime_humiliate_rival_title:0 "Принизити наших ворогів"
 dreamtime_humiliate_rival_desc:0 "Багато історій розповідають про великі битви між титанами, але ми не гідні ділитися цими легендарними битвами Часу сновидінь, якщо ми не продемонструємо їхній героїзм самі!"
 dreamtime_spirits_title:0 "Духи"
 dreamtime_spirits_desc:0 "Серед нашого народу є ті, хто не вірить в історії сновидінь. Зараз, як ніколи, важливо надати приклади історій нашого народу, завербувати прибічників серед цих зайд і дати їм усвідомити сновидіння."
 dreamtime_own_dharma_title:0 "Дхарма"
 dreamtime_own_dharma_desc:0 "Люди дхармічних релігій слідують за багатьма богами та приймають різні форми. Вивчаючи їхні шляхи глибше, ми отримали кілька унікальних уявленнь про Час сновидінь."
 dreamtime_christian_title:0 "Сон про Байаме"
 dreamtime_christian_desc:1 "Незнайомці прибувають до берегів Австралії, проповідуючи про хрест і прадавнього мученика. Хоча ми не приймемо цю нову віру всім серцем, ці нові одкровення, безсумнівно, вплинуть на круговид Історій сновидінь."
 dreamtime_sulawesi_title:0 "Домінувати в Сулавесі"
 dreamtime_sulawesi_desc:0 "Протягом багатьох років макасарці були єдиними торговцями, яких коли-небудь знала Австралія, але не більше. Об'єднавши острів Сулавесі, ми зможемо контролювати торгівлю в Макасарі та доставляти наші товари через моря до Китаю та Індонезії."
 dreamtime_boats_title:0 "Сон про відкрите море"
 dreamtime_boats_desc:0 "Колись наші люди перетинали морську далину на судах, здатних здійснювати міжконтинентальні подорожі, але соковиті береги Австралії зробили нас самовдоволеними. Ми повинні відродити мандрівний дух нашого народу заради нашого світлого майбутнього."
 dreamtime_chinese_emperor_title:0 "Сон про драконів"
 dreamtime_chinese_emperor_desc:0 "Удалині від наших берегів живе Імператор Драконів. Цей імператор явно є породженням Вагіла, тож ми повинні зробити так, щоб китайське населення дізналося про це викриття."
 dreamtime_rainbow_serpent_title:0 "Веселковий змій"
 dreamtime_rainbow_serpent_desc:0 "Історії сновидінь в Австралії сильно різняться, але одна річ залишається незмінною – це віра у Веселкового змія. Тільки вивчивши всі аспекти сновидіння, ми зможемо по-справжньому зрозуміти природу Веселкового змія."
 ancestor_story:0 "Предки"
 ancestor_story_desc:0 "Нас перенесли сюди на спинах наших предків, а найсвятіший з усіх предків може піднестися в сновидінні та залишитися з нами в духовному світі."
 erathipa_story:0 "Ератіпа"
 erathipa_story_desc:1 "Ератіпа – фігура з Часу сновидінь, валун, який набув форми вагітної жінки. Ератіпа зберігає душі померлих дітей у своєму череві, а будь-яка жінка, яка наблизиться до Ератіпе, буде благословенна плодючістю."
 crow_story:0 "Ворон"
 crow_story_desc:0 "Ворон – захисник людства зі сновидінь, котрий зустрічається в історіях по всій Австралії. Саме ворону ми повинні дякувати за відкриття вогню людству, а його діти тут, на Землі, повинні шануватися як святі створіння."
 moinee_story:0 "Мойні"
 moinee_story_desc:0 "Першими палава були кенгуру, перетворені на людей доброзичливим духом-творцем Мойні. Він порізав землю, щоб звільнити місце для річок і островів, відокремивши Тасманію від решти континенту."
 military_story:0 "Адноартина"
 military_story_desc:0 "Адноартина була суперницею Марінді. Битви між Адноартиною та Маранді стали легендарними, а їхня битва біля підніжжя Улуру була настільки кровопролитною, що вони прийняли вигляд тварин; Марінді – собаки, а Адноартина – ящірки. Їхня боротьба тривала кілька днів, поки вони підіймалися все вище і вище по поверхні Улуру. Опинившись на вершині, Адноартіна вкусила Марінді за шию і з'їла його, і ця божественна кров Марінді придала Улуру червоний колір."
 islam_story:0 "Ісламські сновидіння"
 islam_story_desc:0 "Макасарські торговці принесли з собою дивні та чарівні історії. Хоча іслам ніколи не замінить Час сновидінь, безсумнівно, що віра макасарців вплинула на всіх, хто їх чув."
 dharma_story:0 "Дхармічне сновидіння"
 dharma_story_desc:0 "Ми слідуємо старовинним шляхам гіндуїстських богів. Від них ми дізналися про реінкарнацію та про те, як ефективно організувати суспільство за допомогою каст."
 baiame_story:0 "Баіаме"
 baiame_story_desc:0 "Баіаме – Бог-творець і Небесний Отець. Він спустився з небес і дав світові океан, річки та гори. Потім він повернувся до людства, щоб дати їм закони, традиції, мову і голос, яким можна було співати."
 spirits_story:0 "Духи"
 spirits_story_desc:0 "Багато духів населяють священні місця по всій Австралії, а їхні історії з Часу сновидінь впливають на світ навколо нас; як духовно, так і фізично."
 conquest_story:0 "Лумалума"
 conquest_story_desc:0 "Злісний бог жадібності та обжерливості, Лумалума займався канібалізмом; пожирав мертвих, доки не перетворився на кита."
 djunkgao_story:0 "Сестри Джункгао"
 djunkgao_story_desc:0 "Сестри Джункгао народили зі своєї утроби річки та океани світу, перш ніж прийняли смертність і стали першими жінками у світі."
 wagyl_story:0 "Вагіл"
 wagyl_story_desc:0 "Вагіл – це прояв веселкового змія, якому поклоняються ньонга. Він ковзає по Західній Австралії в сновидіннях, утворюючи річки на своєму шляху."
 rainbow_story:0 "Веселковий змій"
 rainbow_story_desc:0 "Веселковий змій – одне з небагатьох божеств, яким поклоняються у всьому світі сновидінь. Історії про мету Райдужного змія в Сновидіннях сильно розрізняються залежно від віри, але Його часто приписують дощу або воді, і він є доброзичливою силою для всіх людей."
 ADD_TRIBAL_LAND:0 "§YОголосити провінцію $PROV$ племінною землею§!"
 ADD_TRIBAL_LAND_DESC:0 "Оголошення провінції $PROV|Y$ нашою племінною землею коштуватиме $COST|Y$ £adm£."
 ADD_TRIBAL_LAND_SAME:0 "Провінція $PROV|Y$ вже наша."
 ADD_TRIBAL_LAND_OWNED:0 "Провінцію $PROV|Y$ вже оголошено племінною землею племені $OWNER|Y$."
 CONFIRM_CANCEL_ADD_TRIBAL_LAND:0 "Оголосити племінну землю"
 CONFIRM_CANCEL_ADD_TRIBAL_LAND_DESC:0 "Оголошення провінції $PROV|Y$ нашою племінною землею коштуватиме нам $COST|Y$ £adm£."
 CONFIRM_CANCEL_ADD_TRIBAL_LAND_ABANDON_DESC:0 "Оголошення провінції $PROV|Y$ нашою племінною землею коштуватиме нам $COST|Y$ £adm£.\n\n§RОскільки ця провінція не пов'язана з нашою старою землею, її буде покинуто!§!"
 ADD_TRIBAL_LAND_COST:0 "\n\n§RНе достатньо $COST|Y$ £adm£§!"
 NATIVES_CANT_BURN_COLONIES:0 "Тубільці не можуть спалювати колонії."
 MIGRATORY_TRIBE_CANT_DEVELOP:0 "§RМігруючі племена не можуть розвивати провінції.§!"
 MIGRATORY_TRIBE_CANT_EXPLOIT:0 "§RМігруючі племена не можуть зменшувати розвиток провінції.§!"
