l_ukrainian:
 usa_dlc.EVTNAME1:0 "Конгрес Конфедерації"
 usa_dlc.EVTNAME52:0 "Ньюйоркське товариство за звільнення від рабства"
 usa_dlc.EVTDESC52:0 "Деякі багаті та впливові білі громадяни виступають проти работоргівлі в нашій державі. Вони навіть заснували Ньюйоркське товариство за звільнення від рабства. Вони не заспокояться поки не доб'ються скасування рабства, вони навіть заснували безкоштовну школу для африканських дітей, відвідувати яку можуть сироти й діти з бідних родин афроамериканців та рабів. Джон Джей є одним із лідерів цього суспільства. Раніше він намагався подати законопроект за заборону рабства, а коли його ідея не увінчалася успіхом, він заснував рух за скасування рабства. У Нью-Йорку почалися масові заворушення, спрямовані проти ньюйоркських торговців та власників газет, які так чи інакше були пов'язані з работоргівлею. Невелика група активістів відвідує редакції газет, щоб попередити видавців не публікувати рекламні оголошення про купівлю чи продаж рабів."
 usa_dlc.EVTOPTA52:0 "Дозволити їм далі займатися своєю справою."
 usa_dlc.EVTOPTB52:0 "Потрібно негайно їх зупинити!"
 usa_dlc.EVTNAME60:0 "Створення Континентальної армії"
 usa_dlc.EVTDESC60:0 "10 травня 1775 року представники тринадцяти штатів зібралися у Філадельфії, щоб обговорити створення Континентальної армії під керівництвом  Джорджа Вашингтона з Вірджинії. Ця подія дуже важлива для молодої нації, оскільки професійна армія є першим кроком до визнання США в Старому Світі. Однак зараз ведуться суперечки з приводу типу нової армії. Що виберете ви, сер?"
 usa_dlc.EVTOPTA60:0 "Набирати професійну армію"
 usa_dlc.EVTOPTB60:0 "Набирати місцеве ополчення"
 usa_dlc.EVTOPTC60:0 "Закликати добровольців"
 usa_dlc.EVTNAME61:0 "Друкований верстат Конгресу"
 usa_dlc.EVTDESC61:0 "У 1779 році воєнний стан був важким, але стан економіки був ще гіршим. Конгрес ще не був ефективним управлінським апаратом, і його члени дозволяли вільний друк валюти, що привело до росту інфляції. Рішення про друк нових грошей було колективним, і люди мали різні думки із цього приводу. Як би ви вирішили це питання, сер?"
 usa_dlc.EVTOPTA61:0 "Надрукувати більше грошей"
 usa_dlc.EVTOPTB61:0 "Використовувати з розумом"
 usa_dlc.EVTOPTC61:0 "Негайно припинити друк"
 usa_dlc.EVTNAME62:0 "Вибори президента США в 1796 році"
 usa_dlc.EVTDESC62:0 "Передвиборна ситуація 1796 року: Федералісти зібралися під прапором Джона Адамса, який пообіцяв зміцнити стабільний уряд Вашингтона. Джефферсон і антифедералісти були проти розширення місць в уряді, крім того їм зіграв на руку розповсюджений страх перед можливим роялізмом. Прихильники Адамса у свою чергу отримали широку підтримку засуджуючи французьку революцію, порівнюючи її з автократією, тоді як антифедералісти підтримували ідеї цієї революції. З іншого боку антифедералісти все ще розглядали Англію в якості головного противника, і заявляли що Адамс не занадто щиро запевняє всіх у своїй ворожості до британського уряду. Однак завдяки підтримці Вашингтона і спробам уродженців Нової Англії зупинити саботування кампанії Адамса Александером Гамільтоном, Адамс отримав незначну перевагу голосів 71-68.\nкКого ж Дух Америки вибере цього разу?"
 usa_dlc.EVTOPTA62:0 "Джон Адамс"
 usa_dlc.EVTOPTB62:0 "Томас Джефферсон"
 usa_dlc.EVTNAME63:0 "Федеральний податок на майно"
 usa_dlc.EVTDESC63:0 "У липні 1798 року президент Адамс видав законодавчий акт, який встановлює федеральний податок на майно, і це привело до певних наслідків. Найбільш яскравим прикладом було повстання Фраїв у 1799 році, коли озброєні жителі Пенсільванії виступили проти збирачів податків. Крім того це також привело до різних суперечок стосовно межі повноважень органів влади. В залежності від позиції президента представники Конгресу могли б прийняти інший пакет законів оподатковування. Яким буде ваше рішення, пане Президент?"
 usa_dlc.EVTOPTA63:0 "Обмежені федеральні права на оподатковування"
 usa_dlc.EVTOPTB63:0 "Скасувати федеральне оподатковування"
 usa_dlc.EVTOPTC63:0 "Необмежені федеральні права на оподатковування"
 usa_dlc.EVTNAME64:0 "Вибори президента США у 1800 році"
 usa_dlc.EVTDESC64:0 "Передвиборна ситуація 1800 року: федералісти закликали вибирати Бога і релігійного президента Адамса, а не безбожника Джефферсона. Також федералісти фактично монополізували пресу завдяки Закону про підбурювання, який забороняв опозицію як зрадників. Хоча цей закон все-таки зіграв на руку антифедералістам, які тепер стали називатися республіканцями. Джеймс Медісон написав дискусійну Резолюцію Вірджинії й Кентуккі 1789-1799 р., яка назвала Закон про підбурювання неконституційним. В останній момент виборці в Нью-Йорку змінили свою думку, і перевага виявилася на стороні Джефферсона. Однак Аарон Берр, який попередньо балотувався на пост віце-президента, отримав однакову кількість голосів із Джефферсоном, і запропонував провести голосування в Палаті представників, де перемогу отримав все-таки Джефферсон. Голоси розділилися наступним чином: Джефферсон - 73, Берр - 73, Адамс - 65.\nКого Дух Америки вибере цього разу?"
 usa_dlc.EVTOPTA64:0 "Томас Джефферсон"
 usa_dlc.EVTOPTB64:0 "Аарон Берр"
 usa_dlc.EVTOPTC64:0 "Джон Адамс"
 usa_dlc.EVTNAME65:0 "Купівля Луїзіани"
 usa_dlc.EVTDESC65:0 "У 1803 імператор Франції Наполеон Бонапарт потребував велику кількість грошей для втілення мрії про французьку гегемонію в Європі. Він запропонував нам купити територію Луїзіани, величезний район між рікою Міссісіпі та Скелястими горами, за 15 мільйонів доларів. Президент і Сенат погодилися на цю пропозицію, і територія США стала майже вдвічі більшою. Сер, ви можете отримати запропоновану провінцію за 1000 золота. Яким буде ваш вибір, пане Президент? "
 usa_dlc.EVTOPTA65:0 "Прийняти пропозицію"
 usa_dlc.EVTOPTB65:0 "Відхилити пропозицію"
 usa_dlc.EVTNAME66:0 "Вибори президента США у 1804 році"
 usa_dlc.EVTDESC66:0 "Передвиборна ситуація 1804 року: Президент Джефферсон вміло придушив опір паралізованої Партії федералістів, яка була серйозно ослабленою після Ессекської хунти, яка безуспішно намагалася підбурити деякі східні штати вийти зі складу США, і сформувати Конфедерацію Нової Англії, яка була б вільною від демократії Джефферсона. Багато представників еліти все ще підтримували федералістів і Пінкні, але простий народ був не дуже задоволений діями хунти. Ще більшою проблемою була купівля Луїзіани, і федералісти боялися, що наплив нових іммігрантів змінить ситуацію не на їхню користь. Таким чином Джефферсон суттєво похитнув до недавнього часу стабільну Нову Англію федералістів, і здобув переконливу перемогу на виборах. Розподіл голосів був наступним: Джефферсон - 162, Пінкні - 14.\nКого Дух Америки вибере цього разу?"
 usa_dlc.EVTOPTA66:0 "Томас Джефферсон"
 usa_dlc.EVTOPTB66:0 "Чарльз Пінкні"
 usa_dlc.EVTNAME67:0 "Вибори президента США у 1808 році"
 usa_dlc.EVTDESC67:0 "Передвиборна ситуація 1808 року: Після відставки з поста президента Томас Джефферсон рекомендував Джеймса Медісона в якості свого наступника. Медісон був вразливий тільки перед однією проблемою - ембарго. Займаючи посаду держсекретаря США, він наклав ембарго на Францію й Англію, і встановив політику протекціонізму в економіці. Цей вчинок не зустрів схвалення в жодному з політичних таборів. Федералісти під керівництвом Чарльза Пінкні знову набиралися сил, а республіканці, підтримуючи ідею вільної торгівлі, пропонували на посаду президента Джорджа Клінтона, якого раніше вважали найбільш ймовірним кандидатом на пост віце-президента. Однак до цього справа не дійшла, а Пінкні не зміг конкурувати авторитетною позицією колишнього президента Джефферсона. Саме Джефферсон зміг об'єднати всіх друзів і суперників, і подарувати перемогу Медісону. Розподіл голосів був наступним: Медісон 122, Пінкні 47, Клінтон 6.\nКого Дух Америки вибере цього разу?"
 usa_dlc.EVTOPTA67:0 "Джеймс Медісон"
 usa_dlc.EVTOPTB67:0 "Чарльз Пінкні"
 usa_dlc.EVTOPTC67:0 "Джордж Клінтон"
 usa_dlc.EVTNAME68:0 "Яструби і голуби 1812 року"
 usa_dlc.EVTDESC68:0 "Аж до війни 1812 року англійці не визнавали незалежність США. Англія зневажала права американських кораблів у нейтральних водах, різними способами чинила перешкоди американським морякам, і конфісковувала їхні товари у відкритому морі. Англія також підтримувала повстання індіанців на заході США. До того ж войовничі настрої таких американських панів, як Генрі Клей і Джон Келхун, які наполегливо намагалися всіх переконати почати війну і захопити Канаду, змусили президента вчинити таку необачну дію. Коли він звернувся до Конгресу про доцільність оголосити війну, Південь і Захід підтримали це рішення, а Нова Англія проголосувала проти. Ця війна була не дуже успішною для США, і Королівському флоту навіть вдалося спалити Білий дім. Лише битву під Новим Орлеаном у 1815 році можна вважати перемогою. Війна закінчилася білим миром, але все могло би скластися інакше. Кого ви оберете, пане Президент?"
 usa_dlc.EVTOPTA68:0 "Підтримати 'яструбів\'"
 usa_dlc.EVTOPTB68:0 "Підтримати 'голубів'"
 usa_dlc.EVTNAME69:0 "Вибори президента США у 1812 році"
 usa_dlc.EVTDESC69:0 "Передвиборна ситуація 1812 року: Війна 1812 року визначила основні ідеї у передвиборних кампаніях. Оскільки США зазнали кілька ранніх поразок на Заході, прихильники Девітта Клінтона звинувачували президента в некомпетентності щодо ведення війни, яку федералісти вважали нічим не обґрунтованою. Прихильники Медісона навпаки відстоювали необхідність ведення цієї війни, тому що вона укріпила б незалежність США. Медісон не користувався особливою популярністю, але проти Клінтона зіграло два фактори. По-перше Клінтон однаково намагався завоювати підтримку і 'голубів' і 'яструбів', і тому не зміг отримати значної довіри. По-друге Медісон був президентом США у воєнний час, і народ хотів бути саме під його захистом. Голоси розподілилися наступним чином: Медісон - 128, Клінтон - 89.\nКого Дух Америки вибере цього разу?"
 usa_dlc.EVTOPTA69:0 "Джеймс Медісон"
 usa_dlc.EVTOPTB69:0 "Девітт Клінтон "
 usa_dlc.EVTNAME70:0 "Вибори президента США у 1816 році"
 usa_dlc.EVTDESC70:0 "Передвиборна ситуація 1816 року: В цей час не було жодних значних проблем. Джеймса Монро підтримували відразу два колишні президенти — Джефферсон і Медісон. Крім того сам Монро був чудовим тактиком, і практично не брав участі у передвиборній кампанії. Результат виборів був відомим із самого початку передвиборної кампанії, немов у країні існувала лише одна Республіканська партія. Федералісти ж ніяк не могли завоювати підтримку через їхнє небажання вплутуватися у війну 1812 року, однак їх підтримувала значна частина Нової Англії. Організованість партії була просто ніякою, але все-таки вона вирішила підтримати кандидатуру Руфуса Кінга. Він видавався просто ліліпутом проти гіганта республіканців, яких підтримувала більша частина населення Нью-Йорка, Вірджинії та Півдня, де їх кампанія проходила найбільш успішно. Чотири президентські крісла підряд зміцнили партію на відміну від федералістів, які переживають не кращі свої часи. Джеймс Монро фактично розгромив своїх опонентів, хоча навіть ця перемога не зможе зрівнятися з перемогою на президентських виборах 1820 року, коли за Монро проголосували всі виборці за винятком одного. Підсумки ж цих виборів були наступними: Монро - 183, Кінг - 34.\nКого Дух Америки вибере цього разу?"
 usa_dlc.EVTOPTA70:0 "Джеймс Монро"
 usa_dlc.EVTOPTB70:0 "Руфус Кінг "
 usa_dlc.EVTNAME71:0 "Договір Адамса-Оніса"
 usa_dlc.EVTDESC71:0 "Під час Першої Семінольської війни (1817-1818) американські війська напали на індіанців-семінолів і рабів-втікачів у Флориді, які вчинили набіг на Джорджію, і вбили місцевих жителів. Щоб викорінити цю проблему генерал Ендрю Джексон спалив поселення у Флориді, і скинув місцевого губернатора. Цей випадок дав Іспанії зрозуміти, що США здатна захопити Флориду коли забажає. У зв'язку з цим іспанський уряд запропонував передати Флориду у власність США,  в обмін на певну суму. Договір підписали держсекретар США Джон Квінсі Адамс, і Міністр закордонних справ Іспанії Луїс де Оніс. Пане Президент, чи маємо ми прийняти цю пропозицію?"
 usa_dlc.EVTOPTA71:0 "Прийняти пропозицію"
 usa_dlc.EVTOPTB71:0 "Відкинути її"
 usa_dlc.EVTNAME72:0 "Кінець економічної залежності від Англії"
 usa_dlc.EVTDESC72:0 "Після другої війни проти Англії, Війни 1812 року, економічна залежність США від Англії нарешті завершилася. Наша промисловість заповнила порожнечу, яка з'явилася через  тимчасове припинення торгівлі з Європою. Америка зробила перший крок на шляху перетворення з аграрної країни в промислового гіганта."
 usa_dlc.EVTOPTA72:0 "Нарешті!"
 usa_dlc.EVTNAME100:0 "Більше булочок людям"
 usa_dlc.EVTDESC100:0 "Люди скаржаться на якість булочок, які вони купують. Вони хочуть найсмачніші булочки з корицею і різною начинкою, але за ціною звичайних."
 usa_dlc.EVTOPTA100:0 "Дати їм булочки!"
 usa_dlc.EVTOPTB100:0 "Булочки для всіх!"
 usa_dlc.EVTOPTC100:0 "Ти не отримаєш булочку!"
 usa_dlc.EVTOPTD100:0 "Мої прекрасссні булочки!"
 american_republic:0 "Американська республіка"
 american_republic_ruler:0 "Президент"
 american_republic_ruler_female:0 "Президент"
 american_republic_desc:0 "Американська республіка - це конфедерація Тринадцяти штатів Америки, кожен з яких є незалежним, і має власний уряд. Головою цієї конфедерації штатів є президент, який обирається раз на 7 років."
 federal_republic:0 "Федеральна республіка"
 federal_republic_ruler:0 "Президент"
 federal_republic_ruler_female:0 "Президент"
 federal_republic_desc:0 "Федеральна республіка - це федерація Тринадцяти штатів Америки, кожен з яких є незалежним та має власний уряд. Головою цієї федерації штатів є президент, який обирається раз на 4 роки."
 opinion_supplied_indians:0 "Поставляє зброю індіанцям"
 opinion_supplied_weapons:0 "Поставляє нам зброю"
 opinion_treaty_of_amity_and_commerce:0 "Договір про дружбу і співробітництво"
 opinion_disgruntled:0 "Незадоволена"
 opinion_disappointed:0 "Розчарована"
 opinion_acknowledged_independence:0 "Визнали незалежність"
 opinion_florida:0 "Купили Флориду"
 opinion_louisiana:0 "Продали нам Луїзіану"
 opinion_warhawks:0 "Яструби"
 opinion_doves:0 "Голуби"
 opinion_correct_ruler:0 "Історичний правитель"
 opinion_yay_independence:0 "Визнали незалежність США"
 opinion_nay_independence:0 "Не визнали незалежність США"
 gbr_weapons:0 "Великобританія поставляє зброю"
 desc_gbr_weapons:0 "Великобританія поставляє нам зброю"
 cultural_assimilation:0 "Культурна асиміляція індіанців"
 desc_cultural_assimilation:0 "Політика сформульована Джорджем Вашингтоном і Генрі Ноксом, і використовується щоб асимілювати тубільне населення Америки, перетворивши їхню культуру в євро-американську."
 american_academy_of_arts_and_sciences:0 "Американська академія мистецтв і наук"
 desc_american_academy_of_arts_and_sciences:0 "Мета Американської академії мистецтв і наук — розвивати мистецтво й науку, які можуть служити честі, гідності й щастю вільних, незалежних і доброчесних людей."
 indian_trade_and_intercourse_act:0 "Закон про торгівлю і взаємини з індіанцями"
 desc_indian_trade_and_intercourse_act:0 "Цей закон регулює торгові відносини між індіанцями та поселенцями."
 indian_trade:0 "Торгівля з індіанцями"
 desc_indian_trade:0 "Торгівля між індіанцями та поселенцями ніяк не регулюється."
 north_american_fur_trade:0 "Торгівля хутром в Північній Америці"
 desc_north_american_fur_trade:0 "Завдяки торгівлі хутром наша держава процвітає."
 dunlap_broadside:0 "Листівки Данлепа"
 desc_dunlap_broadside:0 "Листівки Данлепа це копії Декларації незалежності, які були надруковані ірландським іммігрантом Данлепом."
 american_philosophical_society:0 "Американське філософське товариство"
 desc_american_philosophical_society:0 "Американське філософське товариство недавно заснувало Магелланову премію, яка вручається за досягнення в навігації, астрономії або філософії."
 massachusetts_humane_society:0 "Массачусетське товариство порятунку"
 desc_massachusetts_humane_society:0 "Массачусетське товариство порятунку публікує порядок надання допомоги потерпілим від корабельних аварій чи інших морських нещасть, а також займається розміщенням засобів для надання допомоги, і тимчасових притулків для потерпілих по всій береговій лінії Массачусетської затоки."
 committee_of_safety:0 "Комітет безпеки"
 desc_committee_of_safety:0 "Комітети безпеки формувалися із загонів 'Синів волі'. Вони був органами влади у всіх колоніях до створення Конгресу конфедерації. Вони контролювали ополчення, а також мали право організувати обов'язковий військовий заклик."
 great_fire:0 "Велика пожежа в Нью-Йорку"
 desc_great_fire:0 "Пожежа почалася в таверні 'Бійцівські півні', біля Уайтхолл-Сліп, і незабаром охопила весь Манхеттен."
 first_bank_usa:0 "Перший банк США"
 desc_first_bank_usa:0 "Створення Національного банку США було частиною плану міністра фінансів Александера Гамільтона по встановленню порядку, чіткості й черговості ведення операцій у фінансовій сфері молодої держави."
 us_mint:0 "Монетний двір США"
 desc_us_mint:0 "Монетний акт 1792 року передбачав створення Монетного двору в США. Також згідно із цим актом срібний долар вважався основною валютою, а при карбуванні й підрахунку грошей використовувалася десяткова система."
 cotton_gin:0 "Бавовноочисна машина"
 desc_cotton_gin:0 "Бавовноочисна машина - це апарат, який допомагає швидко відокремити волокна бавовни від насіння. Цей винахід належить промисловцю Елі Вітні."
 articles_of_confederation:0 "Статті Конфедерації"
 desc_articles_of_confederation:0 "Континентальний Конгрес затвердив Статті Конфедерації, і тепер у США новий уряд."
 new_articles_of_confederation:0 "Нові Статті Конфедерації"
 desc_new_articles_of_confederation:0 "Континентальний Конгрес затвердив Нові Статті Конфедерації."
 protest_manumission_society:0 "Протест проти Товариства за звільнення від рабства"
 desc_protest_manumission_society:0 "Американські работорговці протестують проти Товариства за звільнення від рабства, яке вимагає заборонити работоргівлю."
 manumission_society:0 "Товариство за звільнення від рабства"
 desc_manumission_society:0 "Товариство за звільнення від рабства було засновано багатими й впливовими білими людьми, які виступали за скасування рабства і звільнення всіх рабів."
 northwest_ordinance_slavery_prohibited:0 "У Північно-західному ордонансі заборонене рабство"
 desc_northwest_ordinance_slavery_prohibited:0 "'У Північно-західному ордонансі не повинно бути ні рабства ні примусової праці.'"
 usa_slavery:0 "Рабство в США"
 desc_usa_slavery:0 "У США дозволене рабство. У всіх штатах кожна вільна людина може купувати рабів і примушувати їх працювати."
 abolish_slavery:0 "Скасування рабства"
 desc_abolish_slavery:0 "Рабство скасовано. Ніхто більш не в праві володіти іншими людьми, і примушувати їх працювати."
 harsh_laws_usa:0 "Суворе законодавство"
 desc_harsh_laws_usa:0 "Покаранням за злочини є тюремні ув'язнення на довгий термін, і смертна кара."
 medium_laws_usa:0 "Законодавство помірної суворості"
 desc_medium_laws_usa:0 "Покаранням за злочини є тюремні ув'язнення, і штрафи."
 mild_laws_usa:0 "Законодавство на рівні штатів"
 desc_mild_laws_usa:0 "Кожний штат має право самостійно встановлювати види покарання за злочини."
 easy_laws_usa:0 "Гуманне законодавство"
 desc_easy_laws_usa:0 "Покаранням за злочини є тюремні ув'язнення на короткий термін і величезні штрафи."
